 (Half Day),(نصف يوم)
Loading,تحميل
Loading Report,تحميل تقرير
Log,سجل
"Log of Activities performed by users against Tasks that can be used for tracking time, billing.",تسجيل الدخول من الأنشطة التي يقوم بها المستخدمين من المهام التي يمكن استخدامها لتتبع الوقت، والفواتير.
Log of Scheduler Errors,سجل أخطاء جدولة
Login After,بعد الدخول
Login Before,تسجيل الدخول قبل
Login Id,الدخول معرف
Logo,شعار
Logout,خروج
Long Text,نص طويل
Lost Reason,فقد السبب
Low,منخفض
Lower Income,ذات الدخل المنخفض
Lucida Grande,سدا غراندي
MIS Control,MIS التحكم
MREQ-,MREQ-
MTN Details,تفاصيل MTN
Mail Footer,البريد تذييل
Mail Password,البريد كلمة المرور
Mail Port,البريد ميناء
Mail Server,خادم البريد
Main Reports,الرئيسية تقارير
Main Section,القسم العام
Maintain Same Rate Throughout Sales Cycle,الحفاظ على نفس المعدل خلال دورة المبيعات
Maintain same rate throughout purchase cycle,الحفاظ على نفس معدل طوال دورة الشراء
Maintenance,صيانة
Maintenance Date,تاريخ الصيانة
Maintenance Details,تفاصيل الصيانة
Maintenance Schedule,صيانة جدول
Maintenance Schedule Detail,صيانة جدول التفاصيل
Maintenance Schedule Item,صيانة جدول السلعة
Maintenance Schedules,جداول الصيانة
Maintenance Status,الحالة الصيانة
Maintenance Time,صيانة الزمن
Maintenance Type,صيانة نوع
Maintenance Visit,صيانة زيارة
Maintenance Visit Purpose,صيانة زيارة الغرض
Major/Optional Subjects,الرئيسية / اختياري الموضوعات
Make Bank Voucher,جعل قسيمة البنك
Make Difference Entry,جعل دخول الفرق
Make Time Log Batch,جعل الوقت الدفعة دخول
Make a new,جعل جديدة
Make sure that the transactions you want to restrict have a Link field 'territory' that maps to a 'Territory' master.,تأكد من أن المعاملات التي تريد تقييد يكون &#39;إقليم&#39; حقل الارتباط التي تعين على الماجستير الأرض &#39;.
Male,ذكر
Manage cost of operations,إدارة تكلفة العمليات
Manage exchange rates for currency conversion,إدارة سعر صرف العملة لتحويل العملات
Mandatory,إلزامي
"Mandatory if Stock Item is ""Yes"". Also the default warehouse where reserved quantity is set from Sales Order.",إلزامية إذا البند الأسهم هو &quot;نعم&quot;. أيضا المستودع الافتراضي حيث يتم تعيين الكمية المحجوزة من ترتيب المبيعات.
Manufacture against Sales Order,تصنيع ضد ترتيب المبيعات
Manufacture/Repack,تصنيع / أعد حزم
Manufactured Qty,الكمية المصنعة
Manufactured quantity will be updated in this warehouse,وسيتم تحديث هذه الكمية المصنعة في مستودع
Manufacturer,الصانع
Manufacturer Part Number,الصانع الجزء رقم
Manufacturing,تصنيع
Manufacturing Quantity,تصنيع الكمية
Margin,هامش
Marital Status,الحالة الإجتماعية
Market Segment,سوق القطاع
Married,متزوج
Mass Mailing,الشامل البريدية
Master,سيد
Master Name,ماجستير اسم
Master Type,ماجستير نوع
Masters,الماجستير
Match,مباراة
Match non-linked Invoices and Payments.,غير مطابقة الفواتير والمدفوعات المرتبطة.
Material Issue,المواد العدد
Material Receipt,المادة استلام
Material Request,طلب المواد
Material Request Date,طلب المواد تاريخ
Material Request Detail No,تفاصيل طلب المواد لا
Material Request For Warehouse,طلب للحصول على المواد مستودع
Material Request Item,طلب المواد الإغلاق
Material Request Items,العناصر المادية طلب
Material Request No,طلب مواد لا
Material Request Type,طلب نوع المواد
Material Request used to make this Stock Entry,طلب المواد المستخدمة لجعل هذا المقال الاوراق المالية
Material Requirement,متطلبات المواد
Material Transfer,لنقل المواد
Materials,المواد
Materials Required (Exploded),المواد المطلوبة (انفجرت)
Max 500 rows only.,ماكس 500 الصفوف فقط.
Max Attachments,المرفقات ماكس
Max Days Leave Allowed,اترك أيام كحد أقصى مسموح
Max Discount (%),ماكس الخصم (٪)
"Meaning of Submit, Cancel, Amend",معنى تقديم، إلغاء وتعديل
Medium,متوسط
"Menu items in the Top Bar. For setting the color of the Top Bar, go to <a href=""#Form/Style Settings"">Style Settings</a>","عناصر القائمة في الشريط العلوي. لتحديد لون الشريط العلوي، انتقل إلى <a href=""#Form/Style Settings"">إعدادات نمط</a>"
Merge,دمج
Merge Into,الاندماج في
Merge Warehouses,دمج مستودعات
Merging is only possible between Group-to-Group or 					Ledger-to-Ledger,دمج ممكن فقط بين مجموعة مجموعة إلى مجموعة أو ليدجر إلى ليدجر
"Merging is only possible if following \					properties are same in both records.					Group or Ledger, Debit or Credit, Is PL Account",دمج غير ممكن إلا إذا عقب \ الخصائص هي نفسها في كل السجلات. مجموعة أو ليدجر، الخصم أو الائتمان، هل الحساب PL
Message,رسالة
Message Parameter,رسالة معلمة
Messages greater than 160 characters will be split into multiple messages,سيتم انقسم رسالة أكبر من 160 حرف في mesage متعددة
Messages,رسائل
Method,طريقة
Middle Income,المتوسطة الدخل
Middle Name (Optional),الاسم الأوسط (اختياري)
Milestone,معلم
Milestone Date,معلم تاريخ
Milestones,معالم
Milestones will be added as Events in the Calendar,سيتم إضافة معالم وأحداث في تقويم
Millions,الملايين
Min Order Qty,دقيقة الكمية ترتيب
Minimum Order Qty,الحد الأدنى لطلب الكمية
Misc,منوعات
Misc Details,تفاصيل منوعات
Miscellaneous,متفرقات
Miscelleneous,متفرقات
Mobile No,رقم الجوال
Mobile No.,رقم الجوال
Mode of Payment,طريقة الدفع
Modern,حديث
Modified Amount,تعديل المبلغ
Modified by,تعديلها من قبل
Module,وحدة
Module Def,وحدة مواطنه
Module Name,اسم وحدة
Modules,وحدات
Monday,يوم الاثنين
Month,شهر
Monthly,شهريا
Monthly Attendance Sheet,ورقة الحضور الشهرية
Monthly Earning & Deduction,الدخل الشهري وخصم
Monthly Salary Register,سجل الراتب الشهري
Monthly salary statement.,بيان الراتب الشهري.
Monthly salary template.,الراتب الشهري القالب.
More,أكثر
More Details,مزيد من التفاصيل
More Info,المزيد من المعلومات
More content for the bottom of the page.,المزيد من المحتوى لأسفل الصفحة.
Moving Average,المتوسط ​​المتحرك
Moving Average Rate,الانتقال متوسط ​​معدل
Mr,السيد
Ms,MS
Multiple Item Prices,الأسعار الإغلاق متعددة
Multiple root nodes not allowed.,العقد الجذرية متعددة غير مسموح به.
Mupltiple Item prices.,أسعار الإغلاق Mupltiple.
Must be Whole Number,يجب أن يكون عدد صحيح
Must have report permission to access this report.,يجب أن يكون لديك إذن للوصول إلى تقرير هذا التقرير.
Must specify a Query to run,يجب تحديد استعلام لتشغيل
My Settings,الإعدادات
NL-,NL-
Name,اسم
Name Case,اسم القضية
Name and Description,الاسم والوصف
Name and Employee ID,الاسم والرقم الوظيفي
Name as entered in Sales Partner master,كما تم إدخالها في اسم الشريك الرئيسي المبيعات
Name is required,مطلوب اسم
Name of organization from where lead has come,اسم المنظمة من حيث الرصاص قد حان
Name of person or organization that this address belongs to.,اسم الشخص أو المنظمة التي ينتمي إلى هذا العنوان.
Name of the Budget Distribution,اسم توزيع الميزانية
Name of the entity who has requested for the Material Request,اسم الكيان الذي المطلوبة لطلب المواد
Naming,تسمية
Naming Series,تسمية السلسلة
Naming Series mandatory,تسمية السلسلة إلزامية
Negative balance is not allowed for account ,لا يسمح الرصيد السلبي للحساب
Net Pay,صافي الراتب
Net Pay (in words) will be visible once you save the Salary Slip.,سوف تدفع صافي (في كلمة) تكون مرئية بمجرد حفظ زلة الراتب.
Net Total,مجموع صافي
Net Total (Company Currency),المجموع الصافي (عملة الشركة)
Net Weight,الوزن الصافي
Net Weight UOM,الوزن الصافي UOM
Net Weight of each Item,الوزن الصافي لكل بند
Net pay can not be negative,صافي الأجر لا يمكن أن تكون سلبية
Never,أبدا
New,جديد
New BOM,BOM جديدة
New Communications,جديد الاتصالات
New Delivery Notes,ملاحظات التسليم جديدة
New Enquiries,استفسارات جديدة
New Leads,جديد العروض
New Leave Application,إجازة جديدة التطبيق
New Leaves Allocated,الجديد يترك المخصصة
New Leaves Allocated (In Days),أوراق الجديدة المخصصة (بالأيام)
New Material Requests,تطلب المواد الجديدة
New Password,كلمة مرور جديدة
New Projects,مشاريع جديدة
New Purchase Orders,أوامر الشراء الجديدة
New Purchase Receipts,إيصالات شراء جديدة
New Quotations,الاقتباسات الجديدة
New Record,رقم قياسي جديد
New Sales Orders,أوامر المبيعات الجديدة
New Stock Entries,مقالات جديدة للأسهم
New Stock UOM,ألبوم جديد UOM
New Supplier Quotations,الاقتباسات مورد جديد
New Support Tickets,تذاكر الدعم الفني جديدة
New Workplace,مكان العمل الجديد
New value to be set,القيمة الجديدة التي سيتم تحديدها
Newsletter,النشرة الإخبارية
Newsletter Content,النشرة الإخبارية المحتوى
Newsletter Status,النشرة الحالة
"Newsletters to contacts, leads.",النشرات الإخبارية إلى جهات الاتصال، ويؤدي.
Next Communcation On,وفي المراسلات القادمة
Next Contact By,لاحق اتصل بواسطة
Next Contact Date,تاريخ لاحق اتصل
Next Date,تاريخ القادمة
Next State,الدولة القادمة
Next actions,الإجراءات التالية
Next email will be sent on:,سيتم إرسال البريد الإلكتروني التالي على:
No,لا
"No Account found in csv file, 							May be company abbreviation is not correct",لم يتم العثور على ملف CSV في الحساب، قد يكون اختصار الشركة ليست تصحيح
No Action,أي إجراء
No Communication tagged with this ,لا الاتصالات المفتاحية هذه
No Copy,اي نسخة
No Customer Accounts found. Customer Accounts are identified based on \			'Master Type' value in account record.,لم يتم العثور على حسابات العملاء. ويتم تحديد حسابات العملاء على أساس القيمة \ &#39;نوع الماجستير في سجل الحساب.
No Item found with Barcode,البند رقم جدت مع الباركود
No Items to Pack,أي عناصر لحزمة
No Leave Approvers. Please assign 'Leave Approver' Role to atleast one user.,لا اترك الموافقون. يرجى تعيين &#39;اترك الموافق&#39; دور أتلست مستخدم واحد.
No Permission,لا يوجد تصريح
No Permission to ,لا توجد صلاحية ل
No Permissions set for this criteria.,لم يحدد ضوابط لهذه المعايير.
No Report Loaded. Please use query-report/[Report Name] to run a report.,أي تقرير المحملة. الرجاء استخدام استعلام تقرير / [اسم التقرير] لتشغيل التقرير.
No Supplier Accounts found. Supplier Accounts are identified based on \			'Master Type' value in account record.,لم يتم العثور على مزود الحسابات. ويتم تحديد حسابات المورد على أساس القيمة \ &#39;نوع الماجستير في سجل الحساب.
No User Properties found.,العثور على خصائص المستخدم.
No default BOM exists for item: ,لا وجود لBOM الافتراضي البند:
No further records,لا توجد سجلات أخرى
No of Requested SMS,لا للSMS مطلوب
No of Sent SMS,لا للSMS المرسلة
No of Visits,لا الزيارات
No one,لا احد
No permission to write / remove.,لا توجد صلاحية لكتابة / إزالة.
No record found,العثور على أي سجل
No records tagged.,لا توجد سجلات المعلمة.
No salary slip found for month: ,لا زلة راتب شهر تم العثور عليها ل:
"No table is created for Single DocTypes, all values are stored in tabSingles as a tuple.",يتم إنشاء أي جدول لDocTypes واحدة، يتم تخزين كافة القيم في tabSingles باعتبارها المجموعة.
None,لا شيء
None: End of Workflow,لا شيء: نهاية سير العمل
Not,ليس
Not Active,لا بالموقع
Not Applicable,لا ينطبق
Not Billed,لا صفت
Not Delivered,ولا يتم توريدها
Not Found,لم يتم العثور على
Not Linked to any record.,لا يرتبط أي سجل.
Not Permitted,لا يسمح
Not allowed for: ,لا يسمح لل:
Not enough permission to see links.,لا إذن بما يكفي لرؤية الروابط.
Not in Use,لا تكون قيد الاستعمال
Not interested,غير مهتم
Not linked,لا ترتبط
Note,لاحظ
Note User,ملاحظة العضو
Note is a free page where users can share documents / notes,ملاحظة عبارة عن صفحة الحرة حيث يمكن للمستخدمين تبادل الوثائق / ملاحظات
"Note: Backups and files are not deleted from Dropbox, you will have to delete them manually.",ملاحظة: لا يتم حذف النسخ الاحتياطية والملفات من قطاف، وسوف تضطر إلى حذف عليها يدويا.
"Note: Backups and files are not deleted from Google Drive, you will have to delete them manually.",ملاحظة: لا يتم حذف النسخ الاحتياطية والملفات من محرك جوجل، سيكون لديك لحذفها يدويا.
Note: Email will not be sent to disabled users,ملاحظة: لن يتم إرسالها إلى البريد الإلكتروني للمستخدمين ذوي الاحتياجات الخاصة
"Note: For best results, images must be of the same size and width must be greater than height.",ملاحظة: للحصول على أفضل النتائج، يجب أن تكون الصور من نفس الحجم والعرض يجب أن تكون أكبر من الارتفاع.
Note: Other permission rules may also apply,ملاحظة: قد قواعد أخرى إذن تنطبق أيضا
Note: You Can Manage Multiple Address or Contacts via Addresses & Contacts,ملاحظة: يمكنك إدارة اتصالات متعددة أو العنوان عن طريق العناوين واتصالات
Note: maximum attachment size = 1mb,ملاحظة: الحد الأقصى لحجم المرفقات 1MB =
Notes,تلاحظ
Nothing to show,لا شيء لإظهار
Notice - Number of Days,إشعار - عدد أيام
Notification Control,إعلام التحكم
Notification Email Address,عنوان البريد الإلكتروني الإخطار
Notify By Email,إبلاغ عن طريق البريد الإلكتروني
Notify by Email on creation of automatic Material Request,إبلاغ عن طريق البريد الإلكتروني على خلق مادة التلقائي طلب
Number Format,عدد تنسيق
O+,O +
O-,O-
OPPT,OPPT
Office,مكتب
Old Parent,العمر الرئيسي
On,في
On Net Total,على إجمالي صافي
On Previous Row Amount,على المبلغ الصف السابق
On Previous Row Total,على إجمالي الصف السابق
"Once you have set this, the users will only be able access documents with that property.",وبمجرد الانتهاء من تعيين هذا، سوف يكون المستخدمون قادرين الوصول إلى المستندات فقط مع تلك الممتلكات.
Only Administrator allowed to create Query / Script Reports,المسؤول الوحيد المسموح به لإنشاء تقارير الاستعلام / سكربت
Only Administrator can save a standard report. Please rename and save.,مسؤول فقط يمكن حفظ تقرير القياسية. الرجاء إعادة تسمية وحفظ.
Only Allow Edit For,السماح فقط للتحرير
Only Stock Items are allowed for Stock Entry,ويسمح فقط البنود المالية للدخول الاوراق المالية
Only System Manager can create / edit reports,لا يمكن إلا أن إدارة نظام إنشاء / تحرير التقارير
Only leaf nodes are allowed in transaction,ويسمح العقد ورقة فقط في المعاملة
Open,فتح
Open Sans,مفتوحة بلا
Open Tickets,تذاكر مفتوحة
Opening Date,فتح تاريخ
Opening Entry,فتح دخول
Opening Time,يفتح من الساعة
Opening for a Job.,فتح عن وظيفة.
Operating Cost,تكاليف التشغيل
Operation Description,وصف العملية
Operation No,العملية لا
Operation Time (mins),عملية الوقت (دقائق)
Operations,عمليات
Opportunity,فرصة
Opportunity Date,الفرصة تاريخ
Opportunity From,فرصة من
Opportunity Item,فرصة السلعة
Opportunity Items,فرصة الأصناف
Opportunity Lost,فقدت فرصة
Opportunity Type,الفرصة نوع
Options,خيارات
Options Help,خيارات مساعدة
Order Confirmed,أكدت أجل
Order Lost,فقدت النظام
Order Type,نوع النظام
Ordered Items To Be Billed,أمرت البنود التي يتعين صفت
Ordered Items To Be Delivered,أمرت عناصر ليتم تسليمها
Ordered Quantity,أمرت الكمية
Orders released for production.,أوامر الإفراج عن الإنتاج.
Organization Profile,الملف الشخصي المنظمة
Original Message,رسالة الأصلي
Other,آخر
Other Details,تفاصيل أخرى
Out,خارج
Out of AMC,من AMC
Out of Warranty,لا تغطيه الضمان
Outgoing,المنتهية ولايته
Outgoing Mail Server,خادم البريد الصادر
Outgoing Mails,الرسائل الالكترونية الصادرة
Outstanding Amount,المبلغ المعلقة
Outstanding for Voucher ,غير المسددة لقسيمة
Over Heads,على رؤوس
Overhead,فوق
Overlapping Conditions found between,وجدت الشروط المتداخلة بين
Owned,تملكها
PAN Number,PAN عدد
PF No.,PF رقم
PF Number,PF عدد
PI/2011/,PI/2011 /
PIN,PIN
PO,PO
POP3 Mail Server,POP3 خادم البريد
POP3 Mail Server (e.g. pop.gmail.com),POP3 خادم البريد (على سبيل المثال pop.gmail.com)
POP3 Mail Settings,إعدادات البريد POP3
POP3 mail server (e.g. pop.gmail.com),POP3 خادم البريد (على سبيل المثال pop.gmail.com)
POP3 server e.g. (pop.gmail.com),خادم POP3 مثل (pop.gmail.com)
POS Setting,POS إعداد
POS View,POS مشاهدة
PR Detail,PR التفاصيل
PRO,PRO
PS,PS
Package Item Details,تفاصيل حزمة الإغلاق
Package Items,حزمة البنود
Package Weight Details,تفاصيل حزمة الوزن
Packing Details,تفاصيل التغليف
Packing Detials,التعبئة ديتيالس
Packing List,قائمة التعبئة
Packing Slip,زلة التعبئة
Packing Slip Item,التعبئة الإغلاق زلة
Packing Slip Items,التعبئة عناصر زلة
Packing Slip(s) Cancelled,التعبئة زلة (ق) ألغي
Page,صفحة
Page Background,خلفية الصفحة
Page Border,حد الصفحة
Page Break,الصفحة استراحة
Page HTML,صفحة HTML
Page Headings,عناوين الصفحة
Page Links,الصفحة روابط
Page Name,الصفحة اسم
Page Role,الصفحة الدور
Page Text,نص الصفحة
Page content,صفحة المحتوى
Page not found,لم يتم العثور على الصفحة
Page text and background is same color. Please change.,نص الصفحة والخلفية هي نفس اللون. الرجاء تغيير.
Page to show on the website,صفحة للعرض على الموقع
"Page url name (auto-generated) (add "".html"")",الصفحة اسم عنوان (تم إنشاؤه تلقائيا) (إضافة &quot;. HTML&quot;)
Paid Amount,دفع المبلغ
Parameter,المعلمة
Parent Account,الأصل حساب
Parent Cost Center,الأم تكلفة مركز
Parent Customer Group,الأم العملاء مجموعة
Parent Detail docname,الأم تفاصيل docname
Parent Item,الأم المدينة
Parent Item Group,الأم الإغلاق المجموعة
Parent Label,الأصل تسمية
Parent Sales Person,الأم المبيعات شخص
Parent Territory,الأم الأرض
Parent is required.,مطلوب الأصل.
Parenttype,Parenttype
Partially Completed,أنجزت جزئيا
Participants,المشاركين
Partly Billed,وصفت جزئيا
Partly Delivered,هذه جزئيا
Partner Target Detail,شريك الهدف التفاصيل
Partner Type,نوع الشريك
Partner's Website,موقع الشريك
Passive,سلبي
Passport Number,رقم جواز السفر
Password,كلمة السر
Password Expires in (days),انتهاء صلاحية كلمة المرور في (الأيام)
Patch,بقعة
Patch Log,سجل التصحيح
Pay To / Recd From,دفع إلى / من Recd
Payables,الذمم الدائنة
Payables Group,دائنو مجموعة
Payment Collection With Ageing,كوكتيل الدفع مع شيخوخة
Payment Days,يوم الدفع
Payment Entries,مقالات الدفع
Payment Entry has been modified after you pulled it. 			Please pull it again.,تم تعديل الدخول الدفع بعد سحبها. يرجى تسحبه مرة أخرى.
Payment Made With Ageing,دفع يجعل مع شيخوخة
Payment Reconciliation,دفع المصالحة
Payment Terms,شروط الدفع
Payment to Invoice Matching Tool,دفع الفاتورة إلى أداة مطابقة
Payment to Invoice Matching Tool Detail,دفع الفاتورة لتفاصيل أداة مطابقة
Payments,المدفوعات
Payments Made,المبالغ المدفوعة
Payments Received,الدفعات المستلمة
Payments made during the digest period,المبالغ المدفوعة خلال الفترة دايجست
Payments received during the digest period,المبالغ التي وردت خلال الفترة دايجست
Payroll Setup,الرواتب الإعداد
Pending,ريثما
Pending Review,في انتظار المراجعة
Pending SO Items For Purchase Request,العناصر المعلقة وذلك لطلب الشراء
Percent,في المئة
Percent Complete,كاملة في المئة
Percentage Allocation,نسبة توزيع
Percentage Allocation should be equal to ,يجب أن تكون نسبة التوزيع المتساوي لل
Percentage variation in quantity to be allowed while receiving or delivering this item.,السماح الاختلاف في نسبة الكمية في حين تلقي أو تقديم هذا البند.
Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,النسبة المئوية يسمح لك لتلقي أو تقديم المزيد من ضد الكمية المطلوبة. على سبيل المثال: إذا كنت قد أمرت 100 وحدة. و10٪ ثم يسمح بدل الخاص بك لتلقي 110 وحدة.
Performance appraisal.,تقييم الأداء.
Period Closing Voucher,فترة الإغلاق قسيمة
Periodicity,دورية
Perm Level,بيرم المستوى
Permanent Accommodation Type,نوع الإقامة الدائمة
Permanent Address,العنوان الدائم
Permission,إذن
Permission Level,إذن المستوى
Permission Levels,إذن مستويات
Permission Manager,إذن إدارة
Permission Rules,إذن قوانين
Permissions,أذونات
Permissions Settings,أذونات إعدادات
Permissions are automatically translated to Standard Reports and Searches,يتم تحويل تلقائيا إلى أذونات تقارير الموحدة والبحث
"Permissions are set on Roles and Document Types (called DocTypes) by restricting read, edit, make new, submit, cancel, amend and report rights.",يتم تعيين الأذونات على الأدوار وأنواع المستندات (وتسمى DocTypes) عن طريق تقييد قراءة وتحرير، وجعل جديدة، يقدم، إلغاء وتعديل وتقرير حقوق.
Permissions at higher levels are 'Field Level' permissions. All Fields have a 'Permission Level' set against them and the rules defined at that permissions apply to the field. This is useful incase you want to hide or make certain field read-only.,الأذونات على مستويات أعلى من الأذونات &quot;المستوى الميداني. جميع الحقول لديك مجموعة من &quot;مستوى إذن&quot; ضدهم والقواعد المحددة في تلك الأذونات تنطبق على هذا المجال. هذا مفيد طارئ تريد إخفاء أو مجال معين جعل للقراءة فقط.
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.",الأذونات في 0 مستوى الأذونات هي &quot;مستوى الوثيقة، أي أنها الأساسي للوصول إلى المستند.
Permissions translate to Users based on what Role they are assigned,ترجمة أذونات للمستخدمين استنادا إلى ما هو الدور الذي أوكل إليهم
Person,شخص
Person To Be Contacted,الشخص الذي يمكن الاتصال به
Personal,الشخصية
Personal Details,تفاصيل شخصية
Personal Email,البريد الالكتروني الشخصية
Phone,هاتف
Phone No,رقم الهاتف
Phone No.,رقم الهاتف
Pick Columns,اختيار الأعمدة
Pincode,Pincode
Place of Issue,مكان الإصدار
Plan for maintenance visits.,خطة للزيارات الصيانة.
Planned Qty,المخطط الكمية
Planned Quantity,المخطط الكمية
Plant,مصنع
Please Enter Abbreviation or Short Name properly as it will be added as Suffix to all Account Heads.,الرجاء إدخال الإسم المختصر اختصار أو بشكل صحيح كما سيتم إضافة لاحقة على أنها لجميع رؤساء الحساب.
Please Update Stock UOM with the help of Stock UOM Replace Utility.,يرجى تحديث UOM الأسهم مع مساعدة من الأسهم UOM المرافق استبدال.
Please attach a file first.,يرجى إرفاق ملف الأول.
Please attach a file or set a URL,يرجى إرفاق ملف أو تعيين URL
Please check,يرجى مراجعة
Please enter Default Unit of Measure,الرجاء إدخال حدة القياس الافتراضية
Please enter Delivery Note No or Sales Invoice No to proceed,الرجاء إدخال التسليم ملاحظة لا أو فاتورة المبيعات لا للمضي قدما
Please enter Employee Number,الرجاء إدخال رقم الموظف
Please enter Expense Account,الرجاء إدخال حساب المصاريف
Please enter Expense/Adjustment Account,الرجاء إدخال حساب المصاريف / تعديل
Please enter Purchase Receipt No to proceed,الرجاء إدخال شراء الإيصال لا على المضي قدما
Please enter Reserved Warehouse for item ,الرجاء إدخال مستودع محفوظة لبند
Please enter valid,الرجاء إدخال صالح
Please enter valid ,الرجاء إدخال صالح
Please install dropbox python module,الرجاء تثبيت قطاف بيثون وحدة
Please make sure that there are no empty columns in the file.,يرجى التأكد من أنه لا توجد أعمدة فارغة في الملف.
Please mention default value for ',يرجى ذكر القيمة الافتراضية ل&#39;
Please reduce qty.,يرجى تقليل الكمية.
Please refresh to get the latest document.,يرجى تحديث للحصول على أحدث وثيقة.
Please save the Newsletter before sending.,يرجى حفظ النشرة قبل الإرسال.
Please select Bank Account,الرجاء اختيار حساب البنك
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,الرجاء تحديد مضي قدما إذا كنت تريد أيضا لتشمل التوازن العام المالي السابق يترك لهذه السنة المالية
Please select Date on which you want to run the report,يرجى تحديد التاريخ الذي تريد تشغيل التقرير
Please select Naming Neries,الرجاء اختيار تسمية Neries
Please select Price List,الرجاء اختيار قائمة الأسعار
Please select Time Logs.,الرجاء اختيار التوقيت السجلات.
Please select a,الرجاء تحديد
Please select a csv file,يرجى تحديد ملف CSV
Please select a file or url,يرجى تحديد ملف أو URL
Please select a service item or change the order type to Sales.,يرجى تحديد عنصر الخدمة أو تغيير نوع النظام في المبيعات.
Please select a sub-contracted item or do not sub-contract the transaction.,يرجى تحديد عنصر التعاقد من الباطن أو لا التعاقد من الباطن على الصفقة.
Please select a valid csv file with data.,يرجى تحديد ملف CSV صالح مع البيانات.
Please select month and year,الرجاء اختيار الشهر والسنة
Please select the document type first,الرجاء اختيار نوع الوثيقة الأولى
Please select: ,يرجى تحديد:
Please set Dropbox access keys in,الرجاء تعيين مفاتيح الوصول دروببوإكس في
Please set Google Drive access keys in,يرجى تعيين مفاتيح الوصول إلى محرك جوجل في
Please setup Employee Naming System in Human Resource > HR Settings,يرجى الموظف الإعداد نظام التسمية في الموارد البشرية&gt; إعدادات HR
Please specify,يرجى تحديد
Please specify Company,يرجى تحديد شركة
Please specify Company to proceed,يرجى تحديد الشركة للمضي قدما
Please specify Default Currency in Company Master \			and Global Defaults,يرجى تحديد العملة الافتراضية في ماجستير شركة \ وافتراضيات العالمية
Please specify a,الرجاء تحديد
Please specify a Price List which is valid for Territory,الرجاء تحديد قائمة الأسعار التي هي صالحة للأراضي
Please specify a valid,يرجى تحديد صالحة
Please specify a valid 'From Case No.',الرجاء تحديد صالح &#39;من القضية رقم&#39;
Please specify currency in Company,يرجى تحديد العملة في شركة
Point of Sale,نقطة بيع
Point-of-Sale Setting,نقطة من بيع إعداد
Post Graduate,دكتوراة
Post Topic,كتابة موضوع
Postal,بريدي
Posting Date,تاريخ النشر
Posting Date Time cannot be before,تاريخ النشر التوقيت لا يمكن أن يكون قبل
Posting Time,نشر التوقيت
Posts,المشاركات
Potential Sales Deal,صفقة محتملة المبيعات
Potential opportunities for selling.,فرص محتملة للبيع.
"Precision for Float fields (quantities, discounts, percentages etc). Floats will be rounded up to specified decimals. Default = 3",الدقة للحقول تعويم (الكميات، الخصومات، والنسب المئوية وغيرها). سوف يتم تقريب يطفو تصل إلى الكسور العشرية المحدد. الافتراضي = 3
Preferred Billing Address,يفضل عنوان الفواتير
Preferred Shipping Address,النقل البحري المفضل العنوان
Prefix,بادئة
Present,تقديم
Prevdoc DocType,Prevdoc DOCTYPE
Prevdoc Doctype,Prevdoc DOCTYPE
Preview,معاينة
Previous Work Experience,خبرة العمل السابقة
Price,السعر
Price List,قائمة الأسعار
Price List Currency,قائمة الأسعار العملات
Price List Currency Conversion Rate,سعر تحويل عملة قائمة قيم
Price List Exchange Rate,معدل سعر صرف قائمة
Price List Master,قائمة الأسعار ماجستير
Price List Name,قائمة الأسعار اسم
Price List Rate,قائمة الأسعار قيم
Price List Rate (Company Currency),قائمة الأسعار معدل (عملة الشركة)
Price List for Costing,قائمة الأسعار لحساب التكاليف
Price Lists and Rates,قوائم الأسعار وزيادة معدلات
Primary,أساسي
Print Format,طباعة شكل
Print Format Style,طباعة شكل ستايل
Print Format Type,طباعة نوع تنسيق
Print Heading,طباعة عنوان
Print Hide,طباعة إخفاء
Print Width,طباعة العرض
Print Without Amount,طباعة دون المبلغ
Print...,طباعة ...
Priority,أفضلية
Private,خاص
Proceed to Setup,المضي قدما في الإعداد
Process,عملية
Process Payroll,عملية كشوف المرتبات
Produced Quantity,أنتجت الكمية
Product Enquiry,المنتج استفسار
Production Order,الإنتاج ترتيب
Production Orders,أوامر الإنتاج
Production Plan Item,خطة إنتاج السلعة
Production Plan Items,عناصر الإنتاج خطة
Production Plan Sales Order,أمر الإنتاج خطة المبيعات
Production Plan Sales Orders,خطة الإنتاج أوامر المبيعات
Production Planning (MRP),تخطيط الإنتاج (MRP)
Production Planning Tool,إنتاج أداة تخطيط المنزل
"Products will be sorted by weight-age in default searches. More the weight-age, higher the product will appear in the list.",سيتم فرز المنتجات حسب العمر، الوزن في عمليات البحث الافتراضي. أكثر من الوزن في سن، وأعلى المنتج تظهر في القائمة.
Profile,الملف الشخصي
Profile Defaults,الملف الشخصي الافتراضيات
Profile Represents a User in the system.,الملف الشخصي يمثل مستخدم في النظام.
Profile of a Blogger,الملف الشخصي من مدون
Profile of a blog writer.,الملف الشخصي للكاتب بلوق.
Project,مشروع
Project Costing,مشروع يكلف
Project Details,تفاصيل المشروع
Project Milestone,مشروع تصنيف
Project Milestones,مشروع معالم
