 (Half Day),(Poludnevni)
Net Weight UOM,Težina UOM
Net Weight of each Item,Težina svake stavke
Net pay can not be negative,Neto plaća ne može biti negativan
Never,Nikad
New,Novi
New BOM,Novi BOM
New Communications,Novi komunikacije
New Delivery Notes,Novi otpremnice
New Enquiries,Novi Upiti
New Leads,Nova vodi
New Leave Application,Novi dopust Primjena
New Leaves Allocated,Novi Leaves Dodijeljeni
New Leaves Allocated (In Days),Novi Lišće alociran (u danima)
New Material Requests,Novi materijal Zahtjevi
New Password,Novi Lozinka
New Projects,Novi projekti
New Purchase Orders,Novi narudžbenice
New Purchase Receipts,Novi Kupnja Primici
New Quotations,Novi Citati
New Record,Novi rekord
New Sales Orders,Nove narudžbe
New Stock Entries,Novi Stock upisi
New Stock UOM,Novi kataloški UOM
New Supplier Quotations,Novi dobavljač Citati
New Support Tickets,Novi Podrška Ulaznice
New Workplace,Novi radnom mjestu
New value to be set,Nova vrijednost treba postaviti
Newsletter,Bilten
Newsletter Content,Newsletter Sadržaj
Newsletter Status,Newsletter Status
"Newsletters to contacts, leads.","Brošure za kontakte, vodi."
Next Communcation On,Sljedeća komunikacijski Na
Next Contact By,Sljedeća Kontakt Do
Next Contact Date,Sljedeća Kontakt Datum
Next Date,Sljedeća Datum
Next State,Sljedeća država
Next actions,Sljedeći akcije
Next email will be sent on:,Sljedeća e-mail će biti poslan na:
No,Ne
"No Account found in csv file, 							May be company abbreviation is not correct","Ne računa se u CSV datoteku, može se tvrtka kratica nije ispravan"
No Action,Nema Akcija
No Communication tagged with this ,Ne Komunikacija označio s ovim
No Copy,Ne Kopirajte
No Customer Accounts found. Customer Accounts are identified based on \			'Master Type' value in account record.,Nema kupaca račune pronađena. Kupac Računi su identificirani na temelju \ &#39;Master&#39; tip vrijednosti u računu rekord.
No Item found with Barcode,Nema artikla naći s Barcode
No Items to Pack,Nema stavki za pakiranje
No Leave Approvers. Please assign 'Leave Approver' Role to atleast one user.,Ne Ostavite odobravateljima. Molimo dodijeliti &#39;Ostavite Odobritelj&#39; Uloga da atleast jednom korisniku.
No Permission,Bez dozvole
No Permission to ,Nema dozvole za
No Permissions set for this criteria.,Nema dozvole postavljen za ove kriterije.
No Report Loaded. Please use query-report/[Report Name] to run a report.,Ne Izvješće Loaded. Molimo koristite upita izvješće / [Prijavi Ime] pokrenuti izvješće.
No Supplier Accounts found. Supplier Accounts are identified based on \			'Master Type' value in account record.,Nema Supplier Računi pronađena. Supplier Računi su identificirani na temelju \ &#39;Master&#39; tip vrijednosti u računu rekord.
No User Properties found.,Nema Svojstva korisnika pronađena.
No default BOM exists for item: ,Ne postoji zadani troškovnik za predmet:
No further records,Nema daljnjih zapisi
No of Requested SMS,Nema traženih SMS
No of Sent SMS,Ne poslanih SMS
No of Visits,Bez pregleda
No one,Niko
No permission to write / remove.,Nema dozvole za pisanje / uklanjanje.
No record found,Ne rekord naći
No records tagged.,Nema zapisa tagged.
No salary slip found for month: ,Bez plaće slip naći za mjesec dana:
"No table is created for Single DocTypes, all values are stored in tabSingles as a tuple.","Nema stol je stvoren za jednokrevetnu DocTypes, sve vrijednosti su pohranjene u tabSingles što tuple."
None,Nijedan
None: End of Workflow,Ništa: Kraj Workflow
Not,Ne
Not Active,Ne aktivna
Not Applicable,Nije primjenjivo
Not Billed,Ne Naplaćeno
Not Delivered,Ne Isporučeno
Not Found,Not Found
Not Linked to any record.,Nije povezan s bilo rekord.
Not Permitted,Nije dopušteno
Not allowed for: ,Nije dopušteno:
Not enough permission to see links.,Nije dovoljno dozvolu za vidjeti linkove.
Not in Use,Nije u uporabi
Not interested,Ne zanima
Not linked,Ne povezan
Note,Primijetiti
Note User,Napomena Upute
Note is a free page where users can share documents / notes,Napomena je besplatno stranicu na kojoj korisnici mogu dijeliti dokumente / bilješke
"Note: Backups and files are not deleted from Dropbox, you will have to delete them manually.","Napomena: Backup i datoteke se ne brišu na Dropbox, morat ćete ih izbrisati ručno."
"Note: Backups and files are not deleted from Google Drive, you will have to delete them manually.","Napomena: Backup i datoteke se ne brišu na Google Drive, morat ćete ih izbrisati ručno."
Note: Email will not be sent to disabled users,Napomena: E-mail neće biti poslan invalide
"Note: For best results, images must be of the same size and width must be greater than height.","Napomena: Za najbolje rezultate, slike moraju biti iste veličine i širine mora biti veća od visine."
Note: Other permission rules may also apply,Napomena: Ostala pravila dozvole također može primijeniti
Note: You Can Manage Multiple Address or Contacts via Addresses & Contacts,Napomena: možete upravljati s više adresa ili kontakti preko adrese i kontakti
Note: maximum attachment size = 1mb,Napomena: maksimalna veličina privitka = 1MB
Notes,Bilješke
Nothing to show,Ništa pokazati
Notice - Number of Days,Obavijest - Broj dana
Notification Control,Obavijest kontrola
Notification Email Address,Obavijest E-mail adresa
Notify By Email,Obavijesti e-poštom
Notify by Email on creation of automatic Material Request,Obavijesti putem e-pošte na stvaranje automatskog Materijal Zahtjeva
Number Format,Broj Format
O+,O +
O-,O-
OPPT,OPPT
Office,Ured
Old Parent,Stari Roditelj
On,Na
On Net Total,Na Net Total
On Previous Row Amount,Na prethodnu Row visini
On Previous Row Total,Na prethodni redak Ukupno
"Once you have set this, the users will only be able access documents with that property.","Nakon što ste postavili ovo, korisnici će moći pristupom dokumentima s tom imovinom."
Only Administrator allowed to create Query / Script Reports,Samo administrator dopustio stvaranje upita / Skripta Izvješća
Only Administrator can save a standard report. Please rename and save.,Samo administrator može uštedjeti standardne izvješće. Molimo preimenovati i spasiti.
Only Allow Edit For,Samo Dopusti Uredi za
Only Stock Items are allowed for Stock Entry,Samo Stock Predmeti su dopuštene za upis dionica
Only System Manager can create / edit reports,Samo Manager sustav može stvoriti / uređivati ​​izvješća
Only leaf nodes are allowed in transaction,Samo leaf čvorovi su dozvoljeni u transakciji
Open,Otvoreno
Open Sans,Otvoreni Sans
Open Tickets,Otvoreni Ulaznice
Opening Date,Otvaranje Datum
Opening Entry,Otvaranje unos
Opening Time,Radno vrijeme
Opening for a Job.,Otvaranje za posao.
Operating Cost,Operativni troškovi
Operation Description,Operacija Opis
Operation No,Operacija Ne
Operation Time (mins),Operacija Vrijeme (min)
Operations,Operacije
Opportunity,Prilika
Opportunity Date,Prilika Datum
Opportunity From,Prilika Od
Opportunity Item,Prilika artikla
Opportunity Items,Prilika Proizvodi
Opportunity Lost,Prilika Izgubili
Opportunity Type,Prilika Tip
Options,Mogućnosti
Options Help,Opcije Pomoć
Order Confirmed,Red Potvrđeno
Order Lost,Red Izgubili
Order Type,Vrsta narudžbe
Ordered Items To Be Billed,Naručeni Stavke biti naplaćeno
Ordered Items To Be Delivered,Naručeni Proizvodi se dostavljaju
Ordered Quantity,Količina Ž
Orders released for production.,Narudžbe objavljen za proizvodnju.
Organization Profile,Organizacija Profil
Original Message,Izvorni Poruka
Other,Drugi
Other Details,Ostali podaci
Out,Van
Out of AMC,Od AMC
Out of Warranty,Od jamstvo
Outgoing,Društven
Outgoing Mail Server,Odlazni Mail Server
Outgoing Mails,Odlazni mailova
Outstanding Amount,Izvanredna Iznos
Outstanding for Voucher ,Izvanredna za bon
Over Heads,Više od šefova
Overhead,Dometnut
Overlapping Conditions found between,Preklapanje Uvjeti naći između
Owned,U vlasništvu
PAN Number,PAN Broj
PF No.,PF broj
PF Number,PF Broj
PI/2011/,PI/2011 /
PIN,PIN
PO,PO
POP3 Mail Server,POP3 Mail Server
POP3 Mail Server (e.g. pop.gmail.com),POP3 Mail Server (npr. pop.gmail.com)
POP3 Mail Settings,POP3 Mail Postavke
POP3 mail server (e.g. pop.gmail.com),POP3 mail server (npr. pop.gmail.com)
POP3 server e.g. (pop.gmail.com),POP3 poslužitelj npr. (pop.gmail.com)
POS Setting,POS Podešavanje
POS View,POS Pogledaj
PR Detail,PR Detalj
PRO,PRO
PS,PS
Package Item Details,Paket Stavka Detalji
Package Items,Paket Proizvodi
Package Weight Details,Paket Težina Detalji
Packing Details,Pakiranje Detalji
Packing Detials,Pakiranje detials
Packing List,Pakiranje Popis
Packing Slip,Odreskom
Packing Slip Item,Odreskom predmet
Packing Slip Items,Odreskom artikle
Packing Slip(s) Cancelled,Odreskom (e) Otkazano
Page,Stranica
Page Background,Page Pozadinska
Page Border,Stranica granica
Page Break,Prijelom stranice
Page HTML,Stranica HTML
Page Headings,Stranica Naslovi
Page Links,Stranica Linkovi
Page Name,Stranica Ime
Page Role,Stranica Uloga
Page Text,Stranica Tekst
Page content,Sadržaj stranice
Page not found,Stranica nije pronađena
Page text and background is same color. Please change.,Stranica tekst i pozadina iste boje. Molimo promijeniti.
Page to show on the website,Stranica pokazati na web stranici
"Page url name (auto-generated) (add "".html"")",Stranica url ime (automatski generirani) (dodaj &quot;. Html&quot;)
Paid Amount,Plaćeni iznos
Parameter,Parametar
Parent Account,Roditelj račun
Parent Cost Center,Roditelj troška
Parent Customer Group,Roditelj Kupac Grupa
Parent Detail docname,Roditelj Detalj docname
Parent Item,Roditelj artikla
Parent Item Group,Roditelj artikla Grupa
Parent Label,Roditelj Label
Parent Sales Person,Roditelj Prodaja Osoba
Parent Territory,Roditelj Regija
Parent is required.,Roditelj je potrebno.
Parenttype,Parenttype
Partially Completed,Djelomično Završeni
Participants,Sudionici
Partly Billed,Djelomično Naplaćeno
Partly Delivered,Djelomično Isporučeno
Partner Target Detail,Partner Ciljana Detalj
Partner Type,Partner Tip
Partner's Website,Web stranica partnera
Passive,Pasivan
Passport Number,Putovnica Broj
Password,Lozinka
Password Expires in (days),Lozinka Istječe (dana)
Patch,Zakrpa
Patch Log,Patch Prijava
Pay To / Recd From,Platiti Da / RecD Od
Payables,Obveze
Payables Group,Obveze Grupa
Payment Collection With Ageing,Plaćanje Collection S Starenje
Payment Days,Plaćanja Dana
Payment Entries,Plaćanja upisi
Payment Entry has been modified after you pulled it. 			Please pull it again.,Plaćanje Stupanje je izmijenjen nakon što ga je izvukao. Molimo povucite ga opet.
Payment Made With Ageing,Uplaćeno S Starenje
Payment Reconciliation,Plaćanje pomirenje
Payment Terms,Uvjeti plaćanja
Payment to Invoice Matching Tool,Plaćanje fakture podudaranje alat
Payment to Invoice Matching Tool Detail,Plaćanje fakture podudaranje alat Detalj
Payments,Plaćanja
Payments Made,Uplate Izrađen
Payments Received,Uplate primljeni
Payments made during the digest period,Plaćanja tijekom razdoblja digest
Payments received during the digest period,Uplate primljene tijekom razdoblja digest
Payroll Setup,Plaće za postavljanje
Pending,Čekanju
Pending Review,U tijeku pregled
Pending SO Items For Purchase Request,Otvorena SO Proizvodi za zahtjev za kupnju
Percent,Postotak
Percent Complete,Postotak Cijela
Percentage Allocation,Postotak Raspodjela
Percentage Allocation should be equal to ,Postotak Raspodjela treba biti jednaka
Percentage variation in quantity to be allowed while receiving or delivering this item.,Postotak varijacije u količini biti dopušteno dok prima ili isporuku ovu stavku.
Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,Postotak koju smiju primiti ili isporučiti više od naručene količine. Na primjer: Ako ste naručili 100 jedinica. i tvoj ispravak je 10% onda se smiju primati 110 jedinica.
Performance appraisal.,Ocjenjivanje.
Period Closing Voucher,Razdoblje Zatvaranje bon
Periodicity,Periodičnost
Perm Level,Perm Level
Permanent Accommodation Type,Stalni Tip smještaja
Permanent Address,Stalna adresa
Permission,Dopuštenje
Permission Level,Dopuštenje Razina
Permission Levels,Razine dozvola
Permission Manager,Dopuštenje Manager
Permission Rules,Dopuštenje Pravila
Permissions,Dopuštenja
Permissions Settings,Dozvole Postavke
Permissions are automatically translated to Standard Reports and Searches,Dozvole automatski su prevedeni na standardnih izvješća i traži
"Permissions are set on Roles and Document Types (called DocTypes) by restricting read, edit, make new, submit, cancel, amend and report rights.","Dozvole su postavljene na ulogama i vrstama dokumenata (zove DocTypes) ograničavanjem čitati, uređivati, napraviti novi, podnijeti, otkazati, izmijeniti i prijaviti prava."
Permissions at higher levels are 'Field Level' permissions. All Fields have a 'Permission Level' set against them and the rules defined at that permissions apply to the field. This is useful incase you want to hide or make certain field read-only.,Dozvole na višim razinama &#39;terenu&#39; dozvole. Svi Polja imaju &#39;razinu dozvole&#39; set protiv njih i pravilima definiranim u to dozvole primjenjuju se na terenu. To je korisno obložiti želite sakriti ili napraviti određenu polje samo za čitanje.
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.","Dozvole na razini 0 su &#39;dokument razini&#39; dozvole, odnosno oni su primarni za pristup dokumentu."
Permissions translate to Users based on what Role they are assigned,Dozvole prevesti na korisnike na temelju onoga što Uloga im se dodjeljuju
Person,Osoba
Person To Be Contacted,Osoba biti kontaktirani
Personal,Osobno
Personal Details,Osobni podaci
Personal Email,Osobni e
Phone,Telefon
Phone No,Telefonski broj
Phone No.,Telefonski broj
Pick Columns,Pick stupce
Pincode,Pincode
Place of Issue,Mjesto izdavanja
Plan for maintenance visits.,Plan održavanja posjeta.
Planned Qty,Planirani Kol
Planned Quantity,Planirana količina
Plant,Biljka
Please Enter Abbreviation or Short Name properly as it will be added as Suffix to all Account Heads.,Molimo unesite Skraćenica ili skraćeni naziv ispravno jer će biti dodan kao sufiks na sve računa šefova.
Please Update Stock UOM with the help of Stock UOM Replace Utility.,Obnovite Stock UOM uz pomoć burze UOM Zamijeni Utility.
Please attach a file first.,Molimo priložite datoteku prva.
Please attach a file or set a URL,Molimo priložite datoteku ili postaviti URL
Please check,Molimo provjerite
Please enter Default Unit of Measure,Unesite Zadana jedinica mjere
Please enter Delivery Note No or Sales Invoice No to proceed,Unesite otpremnica br ili prodaja Račun br postupiti
Please enter Employee Number,Unesite broj zaposlenika
Please enter Expense Account,Unesite trošak računa
Please enter Expense/Adjustment Account,Unesite Rashodi / Prilagodba račun
Please enter Purchase Receipt No to proceed,Unesite kupiti primitka No za nastavak
Please enter Reserved Warehouse for item ,Unesite Rezervirano skladište za stavku
Please enter valid,Unesite vrijede
Please enter valid ,Unesite vrijede
Please install dropbox python module,Molimo instalirajte Dropbox piton modul
Please make sure that there are no empty columns in the file.,Molimo provjerite da nema praznih stupaca u datoteci.
Please mention default value for ',Molimo spomenuti zadanu vrijednost za &#39;
Please reduce qty.,Molimo smanjiti Qty.
Please refresh to get the latest document.,Osvježite se dobiti najnovije dokument.
Please save the Newsletter before sending.,Molimo spremite Newsletter prije slanja.
Please select Bank Account,Odaberite bankovni račun
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,Molimo odaberite prenositi ako želite uključiti prethodnoj fiskalnoj godini je ravnoteža ostavlja na ovoj fiskalnoj godini
Please select Date on which you want to run the report,Molimo odaberite datum na koji želite pokrenuti izvješće
Please select Naming Neries,Molimo odaberite Imenovanje Neries
Please select Price List,Molimo odaberite Cjenik
Please select Time Logs.,Molimo odaberite vrijeme Evidencije.
Please select a,Molimo odaberite
Please select a csv file,Odaberite CSV datoteku
Please select a file or url,Molimo odaberite datoteku ili url
Please select a service item or change the order type to Sales.,Molimo odaberite stavku usluga ili promijeniti vrstu naloga za prodaju.
Please select a sub-contracted item or do not sub-contract the transaction.,Molimo odaberite sklopljen ugovor stavku ili ne podugovaranje transakciju.
Please select a valid csv file with data.,Odaberite valjanu CSV datoteke s podacima.
Please select month and year,Molimo odaberite mjesec i godinu
Please select the document type first,Molimo odaberite vrstu dokumenta prvi
Please select: ,Molimo odaberite:
Please set Dropbox access keys in,Molimo postavite Dropbox pristupne ključeve
Please set Google Drive access keys in,Molimo postavite Google Drive pristupne tipke u
Please setup Employee Naming System in Human Resource > HR Settings,Molimo postavljanje zaposlenika sustav imenovanja u ljudskim resursima&gt; HR Postavke
Please specify,Navedite
Please specify Company,Navedite tvrtke
Please specify Company to proceed,Navedite Tvrtka postupiti
Please specify Default Currency in Company Master \			and Global Defaults,Navedite Default valutu u trgovačkim društvima Master \ i Global defaultno
Please specify a,Navedite
Please specify a Price List which is valid for Territory,Navedite cjenik koji vrijedi za teritoriju
Please specify a valid,Navedite važeći
Please specify a valid 'From Case No.',Navedite važeću &#39;iz Predmet br&#39;
Please specify currency in Company,Navedite valutu u Društvu
Point of Sale,Point of Sale
Point-of-Sale Setting,Point-of-Sale Podešavanje
Post Graduate,Post diplomski
Post Topic,Post Tema
Postal,Poštanski
Posting Date,Objavljivanje Datum
Posting Date Time cannot be before,Datum postanja vrijeme ne može biti prije
Posting Time,Objavljivanje Vrijeme
Posts,Postovi
Potential Sales Deal,Potencijal Prodaja Deal
Potential opportunities for selling.,Potencijalni mogućnosti za prodaju.
"Precision for Float fields (quantities, discounts, percentages etc). Floats will be rounded up to specified decimals. Default = 3","Precision za plutaju polja (količine, popusti, postoci i sl.). Pluta će se zaokružuje na navedenim decimala. Default = 3"
Preferred Billing Address,Željena adresa za naplatu
Preferred Shipping Address,Željena Dostava Adresa
Prefix,Prefiks
Present,Sadašnje
Prevdoc DocType,Prevdoc DOCTYPE
Prevdoc Doctype,Prevdoc DOCTYPE
Preview,Prikaz
Previous Work Experience,Radnog iskustva
Price,Cijena
Price List,Cjenik
Price List Currency,Cjenik valuta
Price List Currency Conversion Rate,Cjenik valuta pretvorbe Stopa
Price List Exchange Rate,Cjenik tečajna
Price List Master,Cjenik Master
Price List Name,Cjenik Ime
Price List Rate,Cjenik Stopa
Price List Rate (Company Currency),Cjenik stopa (Društvo valuta)
Price List for Costing,Cjenik za obračun troškova
Price Lists and Rates,Cjenike i cijene
Primary,Osnovni
Print Format,Ispis formata
Print Format Style,Print Format Style
Print Format Type,Ispis formatu
Print Heading,Ispis Naslov
Print Hide,Ispis Sakrij
Print Width,Širina ispisa
Print Without Amount,Ispis Bez visini
Print...,Ispis ...
Priority,Prioritet
Private,Privatan
Proceed to Setup,Nastavite Postava
Process,Proces
Process Payroll,Proces plaće
Produced Quantity,Proizveden Količina
Product Enquiry,Na upit
Production Order,Proizvodnja Red
Production Orders,Nalozi
Production Plan Item,Proizvodnja plan artikla
Production Plan Items,Plan proizvodnje Proizvodi
Production Plan Sales Order,Proizvodnja plan prodajnog naloga
Production Plan Sales Orders,Plan proizvodnje narudžbe
Production Planning (MRP),Planiranje proizvodnje (MRP)
Production Planning Tool,Planiranje proizvodnje alat
"Products will be sorted by weight-age in default searches. More the weight-age, higher the product will appear in the list.","Proizvodi će biti razvrstani po težine dobi u zadane pretraživanja. Više težina-dob, veća proizvod će se pojaviti na popisu."
Profile,Profil
Profile Defaults,Profil Zadano
Profile Represents a User in the system.,Profil Predstavlja korisnika u sustavu.
Profile of a Blogger,Profil od Bloggeru
Profile of a blog writer.,Profil blog pisac.
Project,Projekt
Project Costing,Projekt Costing
Project Details,Projekt Detalji
Project Milestone,Projekt Prekretnica
Project Milestones,Projekt Dostignuća
Project Name,Naziv projekta
Project Start Date,Projekt datum početka
Project Type,Vrsta projekta
Project Value,Projekt Vrijednost
Project activity / task.,Projekt aktivnost / zadatak.
Project master.,Projekt majstor.
Project will get saved and will be searchable with project name given,Projekt će biti spašen i da će se moći pretraživati ​​s projektom ime dano
Project wise Stock Tracking,Projekt mudar Stock Praćenje
Projected Qty,Predviđen Kol
Projects,Projekti
Prompt for Email on Submission of,Pitaj za e-poštu na podnošenje
Properties,Nekretnine
Property,Vlasništvo
Property Setter,Nekretnine seter
Property Setter overrides a standard DocType or Field property,Nekretnine seter nadjačava standardni DOCTYPE ili polja nekretnine
Property Type,Vrsta nekretnine
Provide email id registered in company,Osigurati e id registriran u tvrtki
Public,Javni
Published,Objavljen
Published On,Objavljeno Dana
Pull Emails from the Inbox and attach them as Communication records (for known contacts).,"Povucite e-pošte iz mape Primljeno, te ih priložiti kao Communication zapisa (za poznate kontakte)."
Pull Payment Entries,Povucite plaćanja tekstova
Pull sales orders (pending to deliver) based on the above criteria,Povucite prodajne naloge (na čekanju za isporuku) na temelju navedenih kriterija
Purchase,Kupiti
Purchase Analytics,Kupnja Analytics
Purchase Common,Kupnja Zajednička
Purchase Date,Kupnja Datum
Purchase Details,Kupnja Detalji
Purchase Discounts,Kupnja Popusti
Purchase Document No,Kupnja Dokument br
Purchase Document Type,Kupnja Document Type
Purchase In Transit,Kupnja u tranzitu
Purchase Invoice,Kupnja fakture
Purchase Invoice Advance,Kupnja fakture Predujam
Purchase Invoice Advances,Kupnja fakture Napredak
Purchase Invoice Item,Kupnja fakture predmet
Purchase Invoice Trends,Trendovi kupnje proizvoda
Purchase Order,Narudžbenica
Purchase Order Date,Narudžbenica Datum
Purchase Order Item,Narudžbenica predmet
Purchase Order Item No,Narudžbenica Br.
Purchase Order Item Supplied,Narudžbenica artikla Isporuka
Purchase Order Items,Narudžbenica artikle
Purchase Order Items Supplied,Narudžbenica Proizvodi Isporuka
Purchase Order Items To Be Billed,Narudžbenica Proizvodi se naplaćuje
Purchase Order Items To Be Received,Narudžbenica Proizvodi treba primiti
Purchase Order Message,Narudžbenica poruku
Purchase Order Required,Narudžbenica Obvezno
Purchase Order Trends,Narudžbenica trendovi
Purchase Order sent by customer,Narudžbenica poslao kupca
Purchase Orders given to Suppliers.,Kupnja naloge koje je dao dobavljače.
Purchase Receipt,Račun kupnje
Purchase Receipt Item,Kupnja Potvrda predmet
Purchase Receipt Item Supplied,Kupnja Prijem artikla Isporuka
Purchase Receipt Item Supplieds,Kupnja Supplieds Stavka primitka
Purchase Receipt Items,Kupnja primitka artikle
Purchase Receipt Message,Kupnja Potvrda poruku
Purchase Receipt No,Račun kupnje Ne
Purchase Receipt Required,Kupnja Potvrda Obvezno
Purchase Receipt Trends,Račun kupnje trendovi
Purchase Register,Kupnja Registracija
Purchase Return,Kupnja Povratak
Purchase Returned,Kupnja Vraćeno
Purchase Taxes and Charges,Kupnja Porezi i naknade
Purchase Taxes and Charges Master,Kupnja Porezi i naknade Master
Purpose,Svrha
Purpose must be one of ,Svrha mora biti jedan od
Python Module Name,Python modula Naziv
QA Inspection,QA Inspekcija
QAI/11-12/,QAI/11-12 /
QTN,QTN
Qty,Kol
Qty Consumed Per Unit,Kol Potrošeno po jedinici
Qty To Manufacture,Količina za proizvodnju
Qty as per Stock UOM,Količina po burzi UOM
Qualification,Kvalifikacija
Quality,Kvalitet
Quality Inspection,Provera kvaliteta
Quality Inspection Parameters,Inspekcija kvalitete Parametri
Quality Inspection Reading,Kvaliteta Inspekcija čitanje
Quality Inspection Readings,Inspekcija kvalitete Čitanja
Quantity,Količina
Quantity Requested for Purchase,Količina Traženi za kupnju
Quantity already manufactured,Količina je već proizvedeni
Quantity and Rate,Količina i stopa
Quantity and Warehouse,Količina i skladišta
Quantity cannot be a fraction.,Količina ne može biti dio.
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,Količina predmeta dobije nakon proizvodnju / pakiranje od navedenih količina sirovina
Quantity should be equal to Manufacturing Quantity. ,Količina trebala biti jednaka količina proizvodnju.
Quarter,Četvrtina
Quarterly,Tromjesečni
Query,Pitanje
Query Options,Upita Mogućnosti
Query Report,Izvješće upita
Query must be a SELECT,Upit mora biti SELECT
Quick Help for Setting Permissions,Brza pomoć za postavljanje dopuštenja
Quick Help for User Properties,Brza pomoć za korisnike Nekretnine
Quotation,Citat
Quotation Date,Ponuda Datum
Quotation Item,Citat artikla
Quotation Items,Kotaciji Proizvodi
Quotation Lost Reason,Citat Izgubili razlog
Quotation Message,Citat Poruka
Quotation Sent,Citat Sent
Quotation Series,Ponuda Serija
Quotation To,Ponuda za
Quotation Trend,Citat Trend
Quotations received from Suppliers.,Citati dobio od dobavljače.
Quotes to Leads or Customers.,Citati na vodi ili kupaca.
Raise Material Request when stock reaches re-order level,Podignite Materijal Zahtjev kad dionica dosegne ponovno poredak razinu
Raised By,Povišena Do
Raised By (Email),Povišena Do (e)
Random,Slučajan
Range,Domet
Rate,Stopa
Rate ,Stopa
Rate (Company Currency),Ocijeni (Društvo valuta)
Rate Of Materials Based On,Stopa materijali na temelju
Rate and Amount,Kamatna stopa i iznos
Rate at which Customer Currency is converted to customer's base currency,Stopa po kojoj Kupac valuta se pretvaraju u kupca osnovne valute
Rate at which Price list currency is converted to company's base currency,Stopa po kojoj Cjenik valute se pretvaraju u tvrtke bazne valute
Rate at which Price list currency is converted to customer's base currency,Stopa po kojoj Cjenik valute se pretvaraju u kupca osnovne valute
Rate at which customer's currency is converted to company's base currency,Stopa po kojoj se valuta klijenta se pretvaraju u tvrtke bazne valute
Rate at which supplier's currency is converted to company's base currency,Stopa po kojoj supplier valuta se pretvaraju u tvrtke bazne valute
Rate at which this tax is applied,Stopa po kojoj je taj porez se primjenjuje
Raw Material Item Code,Sirovine Stavka Šifra
Raw Materials Supplied,Sirovine nabavlja
Raw Materials Supplied Cost,Sirovine Isporuka Troškovi
Re-Order Level,Re-Order Razina
Re-Order Qty,Re-Order Kol
Re-order,Ponovno bi
Re-order Level,Ponovno bi Razina
Re-order Qty,Ponovno bi Kol
Read,Čitati
Read Only,Read Only
Reading 1,Čitanje 1
Reading 10,Čitanje 10
Reading 2,Čitanje 2
Reading 3,Čitanje 3
Reading 4,Čitanje 4
Reading 5,Čitanje 5
Reading 6,Čitanje 6
Reading 7,Čitanje 7
Reading 8,Čitanje 8
Reading 9,Čitanje 9
Reason,Razlog
Reason for Leaving,Razlog za odlazak
Reason for Resignation,Razlog za ostavku
Recd Quantity,RecD Količina
Receivable / Payable account will be identified based on the field Master Type,Potraživanja / obveze prema dobavljačima račun će se utvrditi na temelju vrsti terenu Master
Receivables,Potraživanja
Receivables / Payables,Potraživanja / obveze
Receivables Group,Potraživanja Grupa
Received Date,Datum pozicija
Received Items To Be Billed,Primljeni Proizvodi se naplaćuje
Received Qty,Pozicija Kol
Received and Accepted,Primljeni i prihvaćeni
Receiver List,Prijemnik Popis
Receiver Parameter,Prijemnik parametra
Recipient,Primalac
Recipients,Primatelji
Reconciliation Data,Pomirenje podataka
Reconciliation HTML,Pomirenje HTML
Reconciliation JSON,Pomirenje JSON
Record item movement.,Zabilježite stavku pokret.
Recurring Id,Ponavljajući Id
Recurring Invoice,Ponavljajući Račun
Recurring Type,Ponavljajući Tip
Reduce Deduction for Leave Without Pay (LWP),Smanjite odbitak za ostaviti bez plaća (lwp)
Reduce Earning for Leave Without Pay (LWP),Smanjenje plaća za ostaviti bez plaće (lwp)
Ref Code,Ref. Šifra
Ref Date is Mandatory if Ref Number is specified,Ref. Datum obvezni ako Ref. broj je navedeno
Ref DocType,Ref. DOCTYPE
Ref Name,Ref. Ime
Ref Rate,Ref. Stopa
Ref SQ,Ref. SQ
Ref Type,Ref. Tip
Reference,Upućivanje
Reference Date,Referentni datum
Reference DocName,Referentna DocName
Reference DocType,Referentna DOCTYPEhtml
Reference Name,Referenca Ime
Reference Number,Referentni broj
Reference Type,Referentna Tip
Refresh,Osvježiti
Registered but disabled.,Registrirani ali onemogućen.
Registration Details,Registracija Brodu
Registration Details Emailed.,Registracija Detalji Poslano.
Registration Info,Registracija Info
Rejected,Odbijen
Rejected Quantity,Odbijen Količina
Rejected Serial No,Odbijen Serijski br
Rejected Warehouse,Odbijen galerija
Relation,Odnos
Relieving Date,Rasterećenje Datum
Relieving Date of employee is ,Rasterećenje Datum zaposleniku
Remark,Primjedba
Remarks,Primjedbe
Remove Bookmark,Uklonite Bookmark
Rename Log,Preimenovanje Prijavite
Rename Tool,Preimenovanje alat
Rename...,Promjena naziva ...
Rented,Iznajmljuje
Repeat On,Ponovite Na
Repeat Till,Ponovite Do
Repeat on Day of Month,Ponovite na dan u mjesecu
Repeat this Event,Ponovite ovaj događaj
Replace,Zamijeniti
Replace Item / BOM in all BOMs,Zamijenite predmet / BOM u svim sastavnicama
