(Half Day),(Halber Tag)
Naming Series Options,Benennen Optionen Series
Negative balance is not allowed for account,Negativer Saldo wird nicht für Konto erlaubt
Net Pay,Net Pay
Net Pay (in words) will be visible once you save the Salary Slip.,"Net Pay (in Worten) sichtbar sein wird, sobald Sie die Gehaltsabrechnung zu speichern."
Net Total,Total Net
Net Total (Import),Net Total (Import)
Net Total*,* Net Total
Net Weight,Nettogewicht
Net Weight UOM,Nettogewicht UOM
Net Weight of each Item,Nettogewicht der einzelnen Artikel
New,Neu
New BOM,New BOM
New Communications,New Communications
New Delivery Notes,New Delivery Notes
New Enquiries,New Anfragen
New Leads,New Leads
New Leave Application,New Leave Anwendung
New Leaves Allocated,Neue Blätter Allocated
New Leaves Allocated (In Days),New Leaves Allocated (in Tagen)
New Material Requests,Neues Material Requests
New Name,Neuer Name
New Password,New Password
New Projects,Neue Projekte
New Purchase Orders,New Bestellungen
New Purchase Receipts,New Kaufbelege
New Quotations,New Zitate
New Record,Neuer Rekord
New Sales Orders,New Sales Orders
New Stock Entries,New Stock Einträge
New Stock UOM,New Stock UOM
New Supplier Quotations,Neuer Lieferant Zitate
New Support Tickets,New Support Tickets
New Update,Neues Update
New Workplace,New Workplace
New value to be set,Neuer Wert eingestellt werden
Newsletter,Mitteilungsblatt
Newsletter Content,Newsletter Inhalt
Newsletter Status,Status Newsletter
Next Communcation On,Weiter Communcation On
Next Contact By,Von Next Kontakt
Next Contact Date,Weiter Kontakt Datum
Next Date,Nächster Termin
Next State,Weiter State
Next actions,Nächste Veranstaltungen
Next email will be sent on:,Weiter E-Mail wird gesendet:
No,Auf
No Action,In Aktion
No Communication tagged with this,In dieser Mitteilung getaggt mit
No Copy,No Copy
No Permission,In Permission
No Permission to,In der Erlaubnis zur
No Permissions set for this criteria.,In die Berechtigungen für diese Kriterien.
No User Properties found.,In der User Properties gefunden.
No of Requested SMS,Kein SMS Erwünschte
No of Sent SMS,Kein SMS gesendet
No of Visits,Anzahl der Besuche
No records tagged.,In den Datensätzen markiert.
"No table is created for Single DocTypes, all values are stored in tabSingles as a tuple.","Auf dem Tisch wird für Single doctypes erstellt wurden, werden alle Werte in den tabSingles das Tupel gespeichert."
None: End of Workflow,None: End of-Workflow
Not,Nicht
Not Active,Nicht aktiv
Not Applicable,Nicht zutreffend
Not Billed,Nicht Billed
Not Delivered,Nicht zugestellt
Not Found,Nicht gefunden
Not Linked to any record.,Nicht zu jedem Datensatz verknüpft.
Not Permitted,Nicht zulässig
Not allowed,Nicht erlaubt
Not allowed for:,Nicht erlaubt sind:
Not enough permission to see links.,Nicht genügend Berechtigung Links zu sehen.
Not in Use,Nicht im Einsatz
Not interested,Kein Interesse
Not linked,Nicht verbunden
Note: Email will not be sent to disabled users,Hinweis: E-Mail wird nicht für behinderte Nutzer gesendet werden
Note: Other permission rules may also apply,Hinweis: Weitere Regeln können die Erlaubnis auch gelten
Note: You Can Manage Multiple Address or Contacts via Addresses & Contacts,Hinweis: Sie können mehrere Kontakte oder Adresse via Adressen & Kontakte verwalten
Note: maximum attachment size = 1mb,Hinweis: Die maximale Größe von Anhängen = 1mb
Notes,Aufzeichnungen
Nothing to show,"Nichts zu zeigen,"
Notice - Number of Days,Hinweis - Anzahl der Tage
Notification Control,Meldungssteuervorrichtung
Notification Email Address,Benachrichtigung per E-Mail-Adresse
Notify By Email,Benachrichtigen Sie Per E-Mail
Notify by Email on Re-order,Benachrichtigen Sie per E-Mail auf Re-order
Number Format,Number Format
O+,Die +
O-,O-
OPPT,OPPT
Ocean,Ozean
Old Parent,Old Eltern
Old Style Reports,Old Style Reports
On,Auf
On Net Total,On Net Total
On Previous Row Amount,Auf Previous Row Betrag
On Previous Row Total,Auf Previous Row insgesamt
"Once you have set this, the users will only be able access documents with that property.","Sobald Sie dies eingestellt haben, werden die Benutzer nur Zugriff auf Dokumente mit dieser Eigenschaft sein."
One or multiple Sales Order no which generated this Purchase Requisition,"Eine oder mehrere Sales Order zur Requisition, die diese generiert Kauf"
Only Allow Edit For,Für nur erlauben bearbeiten
Only System Manager can create / edit reports,Nur System-Manager können / Berichte bearbeiten
Only leaf nodes are allowed in transaction,Nur Blattknoten in Transaktion zulässig
Open,Öffnen
Open Sans,Offene Sans
Open Tickets,Open Tickets
Opening Date,Eröffnungsdatum
Opening Time,Öffnungszeit
Opening for a Job.,Öffnung für den Job.
Operating Cost,Betriebskosten
Operation Description,Operation Beschreibung
Operation No,In Betrieb
Operation Time (mins),Betriebszeit (Min.)
Operations,Geschäftstätigkeit
Operator,Operator
Opportunity,Gelegenheit
Opportunity Date,Gelegenheit Datum
Opportunity From,Von der Chance
Opportunity Item,Gelegenheit Artikel
Opportunity Items,Gelegenheit Artikel
Opportunity Lost,Chance vertan
Opportunity No,Die Gelegenheit
Opportunity Type,Gelegenheit Typ
Options,Optionen
Options Help,Optionen Hilfe
Order Confirmed,Bestellung bestätigt
Order Lost,Lost Order
Order Type,Auftragsart
Ordered Items To Be Billed,Bestellte Artikel in Rechnung gestellt werden
Ordered Items To Be Delivered,Bestellte Artikel geliefert werden
Ordered Qty,Bestellte Menge
Ordered Quantity,Bestellte Menge
Orders released for production.,Bestellungen für die Produktion freigegeben.
Organization,Organisation
Original Message,Original Message
Other,Andere
Other Details,Weitere Details
Other Income Detail,Sonstige Erträge Detailansicht
Out going mail server and support ticket mailbox,Fahren Sie Mail-Server und Mailbox Support-Ticket
Out of AMC,Von AMC
Out of Warranty,Außerhalb der Garantie
Outgoing,Abgehend
Outgoing Mail Server,Postausgangsserver
Outgoing Mails,Ausgehende Mails
Outstanding Amount,Ausstehenden Betrag
Outstanding cannot be less than zero. \				 	Please match exact outstanding.,Outstanding kann nicht kleiner als Null ist. \ Bitte passen genaue hervorragend.
Outstanding for Voucher,Hervorragend für Gutschein
Over Heads,Über Heads
Overhead,Oben
Overload Query,Abfrage Overload
Overwrite,Überschreiben
Owned,Besitz
P.O. Date,P.O. Datum
P.O. No,In P.O.
PAN Number,PAN-Nummer
PF No.,PF Nr.
PF Number,PF-Nummer
PI/2011/,PI/2011 /
PIN,PIN
PO,PO
PO Date,PO Datum
PO No,In PO
POP3 Mail Server,POP3 Mail Server
POP3 Mail Server (e.g. pop.gmail.com),POP3 Mail Server (beispielsweise pop.gmail.com)
POP3 Mail Settings,POP3-Mail-Einstellungen
POP3 mail server (e.g. pop.gmail.com),POP3-Mail-Server (pop.gmail.com beispielsweise)
POP3 server e.g. (pop.gmail.com),POP3-Server beispielsweise (pop.gmail.com)
POS Setting,POS Setting
PR Detail,PR Detailansicht
PRO,PRO
PS,PS
Package Item Details,Package Artikeldetails
Package Items,Package Angebote
Package Weight Details,Paket-Details Gewicht
Packed Quantity,Verpackt Menge
Packing Details,Verpackungs-Details
Packing Detials,Verpackung Detials
Packing List,Packliste
Packing Slip,Packzettel
Packing Slip Item,Packzettel Artikel
Packing Slip Items,Packzettel Artikel
Page,Seite
Page Break,Seitenwechsel
Page HTML,HTML-Seite
Page Len,Len Seite
Page Name,Page Name
Page Role,Seite Role
Page content,Seiteninhalt
Page not found,Seite nicht gefunden
Page to show on the website,Seite auf der Webseite zeigen
"Page url name (auto-generated) (add "".html"")","Seite url Namen (automatisch generierte) (zus. ""Html"")"
Paid Amount,Gezahlten Betrag
Parameter,Parameter
Parent Account,Hauptkonto
Parent BOM,Eltern GUT
Parent Cost Center,Eltern Kostenstellenrechnung
Parent Customer Group,Eltern Customer Group
Parent Detail docname,Eltern Detailansicht docname
Parent Doc Type,Eltern Doc Type
Parent Item,Übergeordneter Artikel
Parent Item Group,Übergeordneter Artikel Gruppe
Parent Label,Eltern Etikett
Parent Sales Person,Eltern Sales Person
Parent Territory,Eltern Territory
Parenttype,ParentType
Partially Completed,Teilweise abgeschlossen
Participants,Die Teilnehmer
Particulars,Einzelheiten
Partly Billed,Teilweise Billed
Partly Delivered,Teilweise Lieferung
Partner,Partner
Partner Target Detail,Partner Zieldetailbericht
Partner Type,Partner Typ
Passport Number,Passnummer
Password,Kennwort
Password Expires in (days),Kennwort läuft ab in (Tage)
Patch,Fleck
Patch Log,Anmelden Patch-
Pay To / Recd From,Pay To / From RECD
Payables,Verbindlichkeiten
Payables Group,Verbindlichkeiten Gruppe
Payment Entries,Payment Einträge
Payment Entry has been modified after you pulled it. 			Please pull it again.,"Payment Eintrag wurde geändert, nachdem Sie ihn gezogen. Bitte ziehen Sie es erneut."
Payment Reconciliation,Payment Versöhnung
Payment Terms,Zahlungsbedingungen
Payment days,Payment Tag
Payment to Invoice Matching Tool,Zahlung an Rechnung Matching-Tool
Payment to Invoice Matching Tool Detail,Zahlung an Rechnung Matching Werkzeug-Detail
Payments,Zahlungen
Payroll Setup,Payroll-Setup
Pending,Schwebend
Pending Review,Bis Bewertung
Percent,Prozent
Percent Complete,Percent Complete
Percentage Allocation,Prozentuale Aufteilung
Percentage variation in quantity to be allowed while receiving or delivering this item.,Prozentuale Veränderung in der Menge zu dürfen während des Empfangs oder der Lieferung diesen Artikel werden.
Percentage you are allowed to receive or deliver more against the quantity ordered. <p>For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units</p>,"Prozentuale Ihnen erlaubt zu empfangen oder zu liefern mehr gegen die Menge bestellt werden. <p> Zum Beispiel: Wenn Sie 100 Einheiten bestellt. und Ihre Allowance ist 10%, dann dürfen Sie 110 Einheiten </ p> und Sie bekommen"
Performance appraisal.,Leistungsbeurteilung.
Period Closing Voucher,Periodenverschiebung Gutschein
Periodicity,Periodizität
Perm Level,Perm Stufe
Permanent Accommodation Type,Permanent Art der Unterkunft
Permanent Address,Permanent Address
Permission Control,Permission Steuerung
Permission Engine,Permission Motor
Permission Level,Berechtigungsstufe
Permission Levels,Berechtigungsstufen
Permission Manager,Permission Manager
Permission Rules,Permission-Regeln
Permissions,Berechtigungen
Permissions Settings,Berechtigungen Einstellungen
Permissions are automatically translated to Standard Reports and Searches,Berechtigungen werden automatisch auf Standard Reports und Suchen übersetzt
"Permissions are set on Roles and Document Types (called DocTypes) by restricting read, edit, make new, submit, cancel, amend and report rights.","Berechtigungen für Rollen und Dokumenttypen (genannt doctypes) werden durch die Beschränkung lesen, bearbeiten, neue gesetzt, einreichen, abzubrechen, und Bericht Amend Rechte."
Permissions at higher levels are 'Field Level' permissions. All Fields have a 'Permission Level' set against them and the rules defined at that permissions apply to the field. This is useful incase you want to hide or make certain field read-only.,"Berechtigungen sind auf höheren Ebenen 'Level Field' Berechtigungen. Alle Felder haben eine ""Permission Level 'Satz gegen sie und die Regeln zu diesem definierten Berechtigungen gelten für das Feld. Dies ist nützlich, falls man sich zu verstecken oder zu bestimmten Gebiet nur gelesen werden soll."
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.","Berechtigungen sind auf Stufe 0 'Level Document ""-Berechtigungen, dh sie sind für die primäre Zugang zu dem Dokument."
Permissions translate to Users based on what Role they are assigned,"Berechtigungen für Benutzer auf, welche Rolle sie zugeordnet sind, basiert übersetzen"
Permissions will be based on this DocType,Berechtigungen werden auf dieser DocType basieren
Person,Person
Person To Be Contacted,Person kontaktiert werden
Personal Details,Persönliche Details
Personal Email,Persönliche E-Mail
Phone,Telefon
Phone No,Phone In
Phone No.,Telefon Nr.
Pick Columns,Wählen Sie Spalten
Pin Code,Pin Code
Pincode,Pincode
Place of Issue,Ausstellungsort
Plan for scheduled maintenance contracts.,Plan für geplante Wartungsverträge.
Planned Qty,Geplante Menge
Planned Quantity,Geplante Menge
Please Enter Abbreviation or Short Name properly as it will be added as Suffix to all Account Heads.,Bitte geben Abkürzung oder das Kurzer Name enquiry.c es auf alle Suffix Konto Heads hinzugefügt werden.
Please check,Bitte überprüfen Sie
Please click on another report from the menu.,Bitte klicken Sie auf einen anderen Bericht aus dem Menü.
Please enter Bill Date,Bitte geben Sie Bill Datum
Please enter valid,Bitte geben Sie eine gültige
Please save the Newsletter before sending.,Bitte bewahren Sie den Newsletter vor dem Versenden.
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,Bitte wählen Sie Carry Forward Auch wenn Sie zum vorherigen Geschäftsjahr die Blätter aufnehmen möchten zum Ausgleich in diesem Geschäftsjahr
Please select:,Bitte wählen Sie:
Please specify Default Currency in Company Master \			and Global Defaults,Bitte geben Sie Standardwährung in Company Master \ Global and Defaults
Please specify a valid,Bitte geben Sie eine gültige
Plot Control,Plot Steuerung
Point of Sale,Point of Sale
Point-of-Sale Setting,Point-of-Sale-Einstellung
Points,Punkte
Post Graduate,Post Graduate
Post Topic,Beitrag Thema
Posting Date,Buchungsdatum
Posting Time,Posting Zeit
Potential Sales Deal,Sales Potential Deal
Potential opportunities for selling.,Potenzielle Chancen für den Verkauf.
"Precision for Float fields (quantities, discounts, percentages etc) only for display. Floats will still be calculated up to 6 decimals.","Präzision ist Float Felder (quantities, Rabatte, Prozente etc) nur zur Anzeige. Floats noch bis zu 6 Dezimalstellen berechnet werden."
Prefix,Präfix
Present,Präsentieren
Prevdoc DocType,Prevdoc DocType
Prevdoc Doctype,Prevdoc Doctype
Preview,Vorschau
Previous Work Experience,Berufserfahrung
Price,Preis
Price List,Preisliste
Price List Currency,Währung Preisliste
Price List Currency Conversion Rate,Preisliste Currency Conversion Rate
Price List Exchange Rate,Preisliste Wechselkurs
Price List Master,Meister Preisliste
Price List Name,Preis Name
Price List Rate,Preis List
Price List Rate*,Preis List *
Price List and Currency,Listenpreis und Währungsrechner
Price Lists and Rates,Preislisten und Preise
Primary,Primär
Print Format,Drucken Format
Print Heading,Unterwegs drucken
Print Hide,Drucken ausblenden
Print Width,Druckbreite
Print Without Amount,Drucken ohne Amount
Priority,Priorität
Private,Privat
Process,Prozess
Process Payroll,Payroll-Prozess
Produced Quantity,Produziert Menge
Product,Produkt
Product Categories,Produktkategorien
Product Category for website,Produktkategorie für Website
Product Enquiry,Produkt-Anfrage
Product Group,Product Group
"Product Groups that are listed on the website. The first product group from this list will be listed by default on the ""Products Page""","Produktgruppen, die auf der Website aufgeführt sind. Das erste Produkt aus dieser Gruppe Liste wird standardmäßig auf der ""Products Page"" aufgeführt werden"
Product Settings,Produkt-Settings
Production,Produktion
Production Order,Fertigungsauftrag
Production Plan Item,Production Plan Artikel
Production Plan Items,Production Plan Artikel
Production Plan Sales Order,Production Plan Sales Order
Production Plan Sales Orders,Production Plan Kundenaufträge
Production Planning (MRP),Production Planning (MRP)
Production Planning Tool,Production Planning-Tool
Products Settings,Produkte Einstellungen
"Products will be sorted by weight-age in default searches. More the weight-age, higher the product will appear in the list.","Die Produkte werden Gew.-age in Verzug Suchbegriffe sortiert werden. Mehr das Gewicht-Alter, wird das Produkt höher erscheinen in der Liste."
Profile,Profil
Profile Control,Profile Control
Profile Defaults,Profil Defaults
Profile Represents a User in the system.,Stellt ein Benutzerprofil im System.
Program / Seminar Title,Programm / Seminar Titel
Project,Projekt
Project Activity,Projekt Activity
Project Activity Update,Projekt Activity aktualisieren
Project Control,Project Control
Project Costing,Projektkalkulation
Project Details,Project Details
Project Milestone,Projekt Milestone
Project Milestones,Projektmeilensteine
Project Name,Project Name
Project Start Date,Projekt Startdatum
Project Tasks,Projektaufgaben
Project Type,Projekttyp
Project Value,Projekt Wert
Project activity / task.,Projektaktivität / Aufgabe.
Project master.,Projekt Meister.
Project will get saved and will be searchable with project name given,Projekt wird gespeichert und erhalten werden durchsuchbare mit Projekt-Namen
Projected Qty,Prognostizierte Anzahl
Projects,Projekte
Projects Home,Home Projekte
Prompt email sending to customers and suppliers,Prompt Mail senden an Kunden und Lieferanten
Prompt for Email on Submission of,Eingabeaufforderung für E-Mail auf Vorlage von
Properties,Eigenschaften
Property,Eigentum
Property Setter,Property Setter
Property Setter overrides a standard DocType or Field property,Property Setter überschreibt die Standard-DocType Feld oder Eigenschaft
Property Type,Art der Immobilie
Provide email id registered in company,Bieten E-Mail-ID in Unternehmen registriert
Public,Öffentlichkeit
Published,Veröffentlicht
Pull Emails from the Inbox and attach them as Communication records (for known contacts).,Ziehen Sie Emails aus dem Posteingang und bringen Sie die Kommunikation Them zeichnet (für bekannte Kontakte).
Pull Opportunity Detail,Ziehen Sie Gelegenheit Detailansicht
Pull Payment Entries,Ziehen Sie Payment Einträge
Pull Purchase Order Details,Ziehen Sie Purchase Order Details
Pull Quotation Items,Ziehen Sie Angebotspositionen
Pull Sales Order Items,Ziehen Sie Sales Order Artikel
Pull items from Sales Order mentioned in the above table.,Ziehen Sie Elemente aus Sales Order in der obigen Tabelle erwähnt.
Pull sales orders (pending to deliver) based on the above criteria,"Ziehen Sie Kundenaufträge (anhängig zu liefern), basierend auf den oben genannten Kriterien"
Pur Order,Bestellen Pur
Pur Receipt,Pur Receipt
Purchase,Kaufen
Purchase Analytics,Kauf Analytics
Purchase Common,Erwerb Eigener
Purchase Date,Kauf Datum
Purchase Details,Kaufinformationen
Purchase Discounts,Kauf Rabatte
Purchase Document No,Die Kaufdokument
Purchase Document Type,Kauf Document Type
Purchase Invoice,Kaufrechnung
Purchase Invoice Advance,Advance Purchase Rechnung
Purchase Invoice Advances,Kaufrechnung Advances
Purchase Invoice Item,Kaufrechnung Artikel
Purchase Order,Auftragsbestätigung
Purchase Order Date,Bestelldatum
Purchase Order Item,Bestellposition
Purchase Order Item No,In der Bestellposition
Purchase Order Item Supplied,Bestellposition geliefert
Purchase Order Items,Bestellpositionen
Purchase Order Items Supplied,Bestellung Lieferumfang
Purchase Order Items To Be Received,Bestellpositionen empfangen werden
Purchase Order Message,Purchase Order Nachricht
Purchase Order Required,Bestellung erforderlich
Purchase Order sent by customer,Bestellung durch den Kunden geschickt
Purchase Orders given to Suppliers.,Bestellungen Angesichts zu Lieferanten.
Purchase Receipt,Kaufbeleg
Purchase Receipt Item,Kaufbeleg Artikel
Purchase Receipt Item Supplied,Kaufbeleg Liefergegenstand
Purchase Receipt Item Supplieds,Kaufbeleg Artikel Supplieds
Purchase Receipt Items,Kaufbeleg Artikel
Purchase Receipt Message,Kaufbeleg Nachricht
Purchase Receipt No,Kaufbeleg
Purchase Receipt Required,Kaufbeleg erforderlich
Purchase Return,Kauf zurückgeben
Purchase Returned,Kehrte Kauf
Purchase Returns,Kauf und Versandkosten
Purchase Taxes and Charges,Purchase Steuern und Abgaben
Purchase Taxes and Charges Master,Steuern und Gebühren Meister Kauf
Purpose,Zweck
Purpose must be one of,Zweck muss einer der
QA Inspection,QA Inspection
QA No,In QA
QAI/11-12/,QAI/11-12 /
QTN,QTN
Qty,Menge
Qty Consumed Per Unit,Menge pro verbrauchter
Qty To Manufacture,Um Qty Herstellung
Qty as per Stock UOM,Menge pro dem Stock UOM
Qualification,Qualifikation
Quality,Qualität
Quality Inspection,Qualitätsprüfung
Quality Inspection Parameters,Qualitätsprüfung Parameter
Quality Inspection Reading,Qualitätsprüfung Lesen
Quality Inspection Readings,Qualitätsprüfung Readings
Quantity,Menge
Quantity Requested for Purchase,Beantragten Menge für Kauf
Quantity already manufactured,Bereits Menge hergestellt
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,Anzahl der Artikel nach der Herstellung / Umpacken vom Angesichts quantities von Rohstoffen Erhalten
Quantity should be equal to Manufacturing Quantity.,Sollte gleich Menge Menge Manufacturing.
Quarter,Quartal
Quarterly,Vierteljährlich
Query,Abfrage
Query Options,Abfrageoptionen
Query Report,Query Report
Question,Frage
Quick Help for Setting Permissions,Schnelle Hilfe für Festlegen von Berechtigungen
Quick Help for User Properties,Schnelle Hilfe für User Properties
Quotation,Zitat
Quotation Date,Quotation Datum
Quotation Item,Zitat Artikel
Quotation Items,Angebotspositionen
Quotation Lost Reason,Zitat Passwort Reason
Quotation Message,Quotation Nachricht
Quotation No,In Quotation
Quotation No.,Zitat Nr.
Quotation Sent,Gesendete Quotation
Quotation To,Um Angebot
Quotation no against which this Sales Order is made,Welche in Anführungszeichen gegen diese Sales Order wird
Quotes to Leads or Customers.,Zitate oder Leads zu Kunden.
Raise Exception,Raise Exception
Raise Material Request,Heben Material anfordern
Raise Material Request when stock reaches re-order level,"Heben Anfrage Material erreicht, wenn der Vorrat re-order-Ebene"
Raise Production Order,Heben Fertigungsauftrag
Raised By,Raised By
Raised By (Email),Raised By (E-Mail)
Random,Zufällig
Range,Reichweite
Rate,Rate
Rate,Rate
Rate Of Materials Based On,Rate Of Materialien auf Basis von
Rate at which Customer Currency is converted to customer's base currency,"Kunden Rate, mit der Währung wird nach Kundenwunsch Basiswährung umgerechnet"
Rate at which Price list currency is converted to company's base currency,"Geschwindigkeit, mit der Währung der Preisliste zu Unternehmen der Basiswährung umgewandelt wird"
Rate at which Price list currency is converted to customer's base currency,"Geschwindigkeit, mit der Währung der Preisliste des Kunden Basiswährung umgewandelt wird"
Rate at which customer's currency is converted to company's base currency,"Rate, mit der Kunden Währung ist an Unternehmen Basiswährung umgerechnet"
Rate at which supplier's currency is converted to company's base currency,"Geschwindigkeit, mit der Lieferanten Währung Unternehmens Basiswährung umgewandelt wird"
Rate at which this tax is applied,"Geschwindigkeit, mit der dieser Steuer an"
Rate*,Rate *
Raw Material Details,Raw Material Einzelheiten
Raw Material Item Code,Artikel Raw Material Code
Raw Materials Supplied Cost,Kostengünstige Rohstoffe geliefert
Re-Calculate Values,Neu berechnen Werte
Re-Order Level,Re-Order Stufe
Re-Order Qty,Re-Order Menge
Re-order,Re-Order
Re-order Level,Re-Order-Ebene
Re-order Qty,Re-Bestellung Menge
Read,Lesen
Read Only,Nur Lesen
Reading 1,Reading 1
Reading 10,Lesen 10
Reading 2,Reading 2
Reading 3,Reading 3
Reading 4,Reading 4
Reading 5,Reading 5
Reading 6,Lesen 6
Reading 7,Lesen 7
Reading 8,Lesen 8
Reading 9,Lesen 9
Reason,Grund
Reason for Leaving,Grund für das Verlassen
Reason for Resignation,Grund zur Resignation
Recalculate,Recalculate
Recd Quantity,Menge RECD
Receivables,Forderungen
Receivables Group,Forderungen Gruppe
Received Date,Datum empfangen
Received Qty,Erhaltene Menge
Receiver List,Receiver Liste
Receiver Name,Name des Empfängers
Receiver Parameter,Empfänger Parameter
Recent,Kürzlich
Recipient,Empfänger
Recipients,Empfänger
Reconciliation Data,Datenabgleich
Reconciliation HTML,HTML Versöhnung
Reconciliation JSON,Überleitung JSON
Recurring Id,Wiederkehrende Id
Recurring Invoice,Wiederkehrende Rechnung
Recurring Type,Wiederkehrende Typ
Ref Code,Ref Code
Ref Doc should be submitted?,Ref Doc Sollte eingereicht werden?
Ref DocType,Ref DocType
Ref Name,Ref Namen
Ref Rate,Ref Rate
Ref Rate,Ref Rate
Ref Rate*,Ref Rate *
Ref SQ,Ref SQ
Ref Type,Ref Type
Reference,Referenz
Reference Date,Stichtag
Reference DocType Key,Key Reference DocType
Reference Docname Key,Key Reference docname
Reference Name,Reference Name
Reference Number,Reference Number
Reference Type,Referenztyp
Refresh,Erfrischen
Registration Details,Registrierung Details
Registration Info,Registrierung Info
Reject HTML,Ablehnen HTML
Rejected,Abgelehnt
Rejected Quantity,Abgelehnt Menge
Rejected Serial No,Abgelehnt Serial In
Rejected Warehouse,Abgelehnt Warehouse
Related Page,Verwandte Seite
Relation,Relation
Relieving Date,Entlastung Datum
Remark,Bemerkung
Remarks,Bemerkungen
Remove,Entfernen
Remove Bookmark,Lesezeichen entfernen
Rename,Umbenennen
Rename Tool,Umbenennen-Tool
Rented,Gemietet
Repeat on Day of Month,Wiederholen Sie auf Tag des Monats
Replace,Ersetzen
Replace Item / BOM in all BOMs,Ersetzen Item / BOM in allen Stücklisten
"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM","Ersetzen Sie die insbesondere gut in allen anderen Stücklisten, wo sie verwendet wird. Es wird die alte BOM Link zu ersetzen, aktualisieren kosten und regenerieren ""Explosion Stücklistenposition"" Tabelle pro neuen GOOD"
Replied,Beantwortet
Report,Bericht
Report Date,Report Date
Report Hide,Ausblenden Bericht
Report Name,Report Name
Report Saved,Gespeichert Bericht
Report Script,Bericht Script
Report Server Script,Report Server Script
Report was not saved (there were errors),Bericht wurde nicht gespeichert (es gab Fehler)
Reports,Reports
Reports to,Berichte an
Represents the states allowed in one document and role assigned to change the state.,Stellt die Zustände in einem Dokument und Veränderung zugewiesene Rolle des Staates erlaubt.
Reqd,Reqd
Reqd By Date,Reqd Nach Datum
Request Type,Art der Anfrage
Request for Information,Request for Information
Request for purchase.,Ankaufsgesuch.
Requested By,Angefordert von
Required By,Erforderliche By
Required Date,Erforderlich Datum
Required Qty,Erwünschte Stückzahl
Required only for sample item.,Nur erforderlich für die Probe Element.
Required raw materials issued to the supplier for producing a sub - contracted item.,Erforderliche Rohstoffe Ausgestellt an den Lieferanten produziert eine sub - Vertragsgegenstand.
Reseller,Wiederverkäufer
Reserved Quantity,Reserviert Menge
Reserved Warehouse,Warehouse Reserved
Resignation Letter Date,Rücktrittsschreiben Datum
Resolution,Auflösung
Resolution Date,Resolution Datum
Resolution Details,Auflösung Einzelheiten
Resolved By,Gelöst von
Restrict IP,Beschränken IP
Restrict submission rights based on amount,Beschränken Einreichung Rechte nach Betrag
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),Beschränken Sie Benutzer aus dieser IP-Adresse nur. Mehrere IP-Adressen können durch Trennung mit einem Komma hinzugefügt werden. Nimmt auch Teil einer IP-Adressen wie (111.111.111)
Restricting By User,Durch Einschränken von Benutzerrechten
Retailer,Einzelhändler
Return Date,Zurück Datum
Return Type,Rückgabetyp
Returned Qty,Kehrte Menge
Review Date,Bewerten Datum
Rgt,Rgt
Right,Rechts
Role,Rolle
Role Name,Rolle Name
Roles,Rollen
Roles Assigned,Assigned Roles
Roles Assigned To User,Zugewiesenen Rollen Benutzer
Roles HTML,Rollen HTML
Rounded Total,Abgerundete insgesamt
Rounded Total (Export),Abgerundete Total (Export)
Row,Reihe
Row #,Zeile #
Row #,Zeile #
Rule Definition,Rule Definition
Rule Name,Name der Regel
Rule Priority,Priority Rule
Rule Status,Rule-Status
Rules defining transition of state in the workflow.,Regeln definieren Zustandsübergang im Workflow.
"Rules for how states are transitions, like next state and which role is allowed to change state etc.","Regeln für die Staaten sind Übergänge, wie neben Staat und welche Rolle darf Staates usw. ändern"
Run,Laufen
SLE Exists,SLE Exists
SMS,SMS
SMS Center,SMS Center
SMS Control,SMS Control
SMS Gateway URL,SMS Gateway URL
SMS Log,SMS Log
SMS Parameter,SMS Parameter
SMS Parameters,SMS-Parameter
SMS Receiver,SMS-Empfänger
SMS Sender Name,SMS Absender Name
SMS Settings,SMS-Einstellungen
SMTP Server (e.g. smtp.gmail.com),SMTP Server (beispielsweise smtp.gmail.com)
SO,SO
SO Date,SO Datum
SO Detail,SO Details
SO Pending Qty,SO Pending Menge
SO/10-11/,SO/10-11 /
SO1112,SO1112
SQTN,SQTN
STE,STE
SUP,SUP
SUPP,SUPP
SUPP/10-11/,SUPP/10-11 /
Salary,Gehalt
Salary Information,Angaben über den Lohn
Salary Manager,Manager Gehalt
Salary Mode,Gehalt Modus
Salary Slip,Gehaltsabrechnung
Salary Slip Deduction,Lohnabzug Rutsch
Salary Slip Earning,Earning Gehaltsabrechnung
Salary Structure,Gehaltsstruktur
Salary Structure Deduction,Gehaltsstruktur Abzug
Salary Structure Earning,Earning Gehaltsstruktur
Salary Structure Earnings,Ergebnis Gehaltsstruktur
Salary components.,Gehaltsbestandteile.
Sales,Vertrieb
Sales Analytics,Sales Analytics
Sales BOM,Vertrieb BOM
Sales BOM Help,Vertrieb BOM Hilfe
Sales BOM Item,Vertrieb Stücklistenposition
Sales BOM Items,Vertrieb Stücklistenpositionen
Sales Browser,Vertrieb Browser
Sales Browser Control,Vertrieb Browser Control
