 (Half Day),(ครึ่งวัน)
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.",สิทธิ์ &#39;ระดับเอกสาร&#39; สิทธิ์ที่ 0 ระดับคือพวกเขาเป็นหลักสำหรับการเข้าถึงเอกสาร
Permissions translate to Users based on what Role they are assigned,แปลสิทธิ์ให้ผู้ใช้งานตามสิ่งที่พวกเขาบทบาทที่ได้รับมอบหมาย
Person,คน
Person To Be Contacted,คนที่จะได้รับการติดต่อ
Personal,ส่วนตัว
Personal Details,รายละเอียดส่วนบุคคล
Personal Email,อีเมลส่วนตัว
Phone,โทรศัพท์
Phone No,โทรศัพท์ไม่มี
Phone No.,หมายเลขโทรศัพท์
Pick Columns,เลือกคอลัมน์
Pincode,Pincode
Place of Issue,สถานที่ได้รับการรับรอง
Plan for maintenance visits.,แผนสำหรับการเข้าชมการบำรุงรักษา
Planned Qty,จำนวนวางแผน
Planned Quantity,จำนวนวางแผน
Plant,พืช
Please Enter Abbreviation or Short Name properly as it will be added as Suffix to all Account Heads.,กรุณาใส่ชื่อย่อหรือชื่อสั้นอย่างถูกต้องตามก็จะถูกเพิ่มเป็นคำต่อท้ายทุกหัวบัญชี
Please Update Stock UOM with the help of Stock UOM Replace Utility.,กรุณาปรับปรุง UOM สินค้าด้วยความช่วยเหลือของสินค้ายูทิลิตี้แทนที่ UOM
Please attach a file first.,กรุณาแนบไฟล์แรก
Please attach a file or set a URL,กรุณาแนบไฟล์หรือตั้งค่า URL
Please check,กรุณาตรวจสอบ
Please enter Default Unit of Measure,กรุณากรอกหน่วยเริ่มต้นจากวัด
Please enter Delivery Note No or Sales Invoice No to proceed,กรุณากรอกหมายเหตุการจัดส่งสินค้าหรือใบแจ้งหนี้การขายยังไม่ได้ดำเนินการต่อไป
Please enter Employee Number,กรุณากรอกจำนวนพนักงาน
Please enter Expense Account,กรุณากรอกบัญชีค่าใช้จ่าย
Please enter Expense/Adjustment Account,กรุณากรอกบัญชีค่าใช้จ่าย / ปรับ
Please enter Purchase Receipt No to proceed,กรุณากรอกใบเสร็จรับเงินยังไม่ได้ดำเนินการต่อไป
Please enter Reserved Warehouse for item ,กรุณากรอกคลังสินค้าสงวนไว้สำหรับรายการ
Please enter valid,กรุณากรอกตัวอักษรที่ถูกต้อง
Please enter valid ,กรุณากรอกตัวอักษรที่ถูกต้อง
Please install dropbox python module,กรุณาติดตั้ง dropbox หลามโมดูล
Please make sure that there are no empty columns in the file.,กรุณาตรวจสอบให้แน่ใจว่าไม่มีคอลัมน์ที่ว่างเปล่าในแฟ้ม
Please mention default value for ',กรุณาระบุค่าเริ่มต้นสำหรับ &#39;
Please reduce qty.,โปรดลดจำนวน
Please refresh to get the latest document.,กรุณารีเฟรชที่จะได้รับเอกสารล่าสุด
Please save the Newsletter before sending.,กรุณาบันทึกชื่อก่อนที่จะส่ง
Please select Bank Account,เลือกบัญชีธนาคาร
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,เลือกดำเนินการต่อถ้าคุณยังต้องการที่จะรวมถึงความสมดุลในปีงบประมาณก่อนหน้านี้ออกไปในปีงบการเงิน
Please select Date on which you want to run the report,กรุณาเลือกวันที่ที่คุณต้องการเรียกใช้รายงาน
Please select Naming Neries,กรุณาเลือก Neries การตั้งชื่อ
Please select Price List,เลือกรายชื่อราคา
Please select Time Logs.,เลือกบันทึกเวลา
Please select a,กรุณาเลือก
Please select a csv file,เลือกไฟล์ CSV
Please select a file or url,โปรดเลือกไฟล์หรือพิมพ์ URL
Please select a service item or change the order type to Sales.,เลือกรายการสินค้าที่บริการหรือเปลี่ยนชนิดของคำสั่งให้ขาย
Please select a sub-contracted item or do not sub-contract the transaction.,กรุณาเลือกรายการย่อยทำสัญญาหรือทำสัญญาไม่ย่อยการทำธุรกรรม
Please select a valid csv file with data.,โปรดเลือกไฟล์ CSV ที่ถูกต้องกับข้อมูล
Please select month and year,กรุณาเลือกเดือนและปี
Please select the document type first,เลือกประเภทของเอกสารที่แรก
Please select: ,กรุณาเลือก:
Please set Dropbox access keys in,กรุณาตั้งค่าคีย์ในการเข้าถึง Dropbox
Please set Google Drive access keys in,โปรดตั้ง Google คีย์การเข้าถึงไดรฟ์ใน
Please setup Employee Naming System in Human Resource > HR Settings,กรุณาตั้งค่าระบบการตั้งชื่อของพนักงานในฝ่ายทรัพยากรบุคคล&gt; การตั้งค่าทรัพยากรบุคคล
Please specify,โปรดระบุ
Please specify Company,โปรดระบุ บริษัท
Please specify Company to proceed,โปรดระบุ บริษัท ที่จะดำเนินการ
Please specify Default Currency in Company Master \			and Global Defaults,โปรดระบุสกุลเงินเริ่มต้นใน บริษัท มาสเตอร์ \ และค่าเริ่มต้นทั่วโลก
Please specify a,โปรดระบุ
Please specify a Price List which is valid for Territory,โปรดระบุรายชื่อราคาที่ถูกต้องสำหรับดินแดน
Please specify a valid,โปรดระบุที่ถูกต้อง
Please specify a valid 'From Case No.',โปรดระบุที่ถูกต้อง &#39;จากคดีหมายเลข&#39;
Please specify currency in Company,โปรดระบุสกุลเงินใน บริษัท
Point of Sale,จุดขาย
Point-of-Sale Setting,การตั้งค่า point-of-Sale
Post Graduate,หลังจบการศึกษา
Post Topic,เริ่มหัวข้อ
Postal,ไปรษณีย์
Posting Date,โพสต์วันที่
Posting Date Time cannot be before,วันที่เวลาโพสต์ไม่สามารถก่อน
Posting Time,โพสต์เวลา
Posts,กระทู้
Potential Sales Deal,Deal ขายที่มีศักยภาพ
Potential opportunities for selling.,โอกาสที่มีศักยภาพสำหรับการขาย
"Precision for Float fields (quantities, discounts, percentages etc). Floats will be rounded up to specified decimals. Default = 3","สำหรับเขตข้อมูลที่มีความแม่นยำลอย (ปริมาณ, ฯลฯ ส่วนลดร้อยละ) ลอยจะกลมถึงทศนิยมตามที่ระบุ = 3 เริ่มต้น"
Preferred Billing Address,ที่อยู่การเรียกเก็บเงินที่ต้องการ
Preferred Shipping Address,ที่อยู่การจัดส่งสินค้าที่ต้องการ
Prefix,อุปสรรค
Present,นำเสนอ
Prevdoc DocType,DocType Prevdoc
Prevdoc Doctype,Doctype Prevdoc
Preview,ตัวอย่าง
Previous Work Experience,ประสบการณ์การทำงานก่อนหน้า
Price,ราคา
Price List,บัญชีแจ้งราคาสินค้า
Price List Currency,สกุลเงินรายการราคา
Price List Currency Conversion Rate,รายชื่อราคาสกุลเงินอัตราการแปลง
Price List Exchange Rate,ราคาอัตราแลกเปลี่ยนรายชื่อ
Price List Master,ต้นแบบรายการราคา
Price List Name,ชื่อรายการราคา
Price List Rate,อัตราราคาตามรายการ
Price List Rate (Company Currency),อัตราราคาปกติ (สกุลเงิน บริษัท )
Price List for Costing,รายชื่อราคาต้นทุน
Price Lists and Rates,รายการราคาสินค้าและราคา
Primary,ประถม
Print Format,พิมพ์รูปแบบ
Print Format Style,Style Format พิมพ์
Print Format Type,พิมพ์รูปแบบประเภท
Print Heading,พิมพ์หัวเรื่อง
Print Hide,พิมพ์ซ่อน
Print Width,ความกว้างพิมพ์
Print Without Amount,พิมพ์ที่ไม่มีจำนวน
Print...,พิมพ์ ...
Priority,บุริมสิทธิ์
Private,ส่วนตัว
Proceed to Setup,ดำเนินการติดตั้ง
Process,กระบวนการ
Process Payroll,เงินเดือนกระบวนการ
Produced Quantity,จำนวนที่ผลิต
Product Enquiry,สอบถามสินค้า
Production Order,สั่งซื้อการผลิต
Production Orders,คำสั่งซื้อการผลิต
Production Plan Item,สินค้าแผนการผลิต
Production Plan Items,แผนการผลิตรายการ
Production Plan Sales Order,แผนสั่งซื้อขาย
Production Plan Sales Orders,ผลิตคำสั่งขายแผน
Production Planning (MRP),การวางแผนการผลิต (MRP)
Production Planning Tool,เครื่องมือการวางแผนการผลิต
"Products will be sorted by weight-age in default searches. More the weight-age, higher the product will appear in the list.",สินค้าจะถูกจัดเรียงโดยน้ำหนักอายุเริ่มต้นในการค้นหา เพิ่มเติมน้ำหนักอายุผลิตภัณฑ์ที่สูงขึ้นจะปรากฏในรายการ
Profile,รายละเอียด
Profile Defaults,ค่าดี​​ฟอลต์รายละเอียด
Profile Represents a User in the system.,รายละเอียดหมายถึงผู้ใช้ในระบบ
Profile of a Blogger,ดูรายละเอียดของ Blogger
Profile of a blog writer.,ดูรายละเอียดของนักเขียนบล็อก
Project,โครงการ
Project Costing,โครงการต้นทุน
Project Details,รายละเอียดของโครงการ
Project Milestone,Milestone โครงการ
Project Milestones,ความคืบหน้าโครงการ
Project Name,ชื่อโครงการ
Project Start Date,วันที่เริ่มต้นโครงการ
Project Type,ประเภทโครงการ
Project Value,มูลค่าโครงการ
Project activity / task.,กิจกรรมโครงการ / งาน
Project master.,ต้นแบบโครงการ
Project will get saved and will be searchable with project name given,โครงการจะได้รับการบันทึกไว้และจะไม่สามารถค้นหาที่มีชื่อโครงการที่กำหนด
Project wise Stock Tracking,หุ้นติดตามโครงการที่ชาญฉลาด
Projected Qty,จำนวนที่คาดการณ์ไว้
Projects,โครงการ
Prompt for Email on Submission of,แจ้งอีเมลในการยื่น
Properties,สรรพคุณ
Property,คุณสมบัติ
Property Setter,สถานที่ให้บริการ Setter
Property Setter overrides a standard DocType or Field property,สถานที่ให้บริการ Setter แทนที่สถานที่ให้บริการหรือสาขา DocType มาตรฐาน
Property Type,ประเภทอสังหาริมทรัพย์
Provide email id registered in company,ให้ ID อีเมลที่ลงทะเบียนใน บริษัท
Public,สาธารณะ
Published,เผยแพร่
Published On,เผยแพร่เมื่อ
Pull Emails from the Inbox and attach them as Communication records (for known contacts).,ดึงอีเมลจากกล่องขาเข้าและแนบพวกเขาเป็นบันทึกการสื่อสาร (สำหรับรายชื่อที่รู้จักกัน)
Pull Payment Entries,ดึงคอมเมนต์การชำระเงิน
Pull sales orders (pending to deliver) based on the above criteria,ดึงยอดขาย (รอการส่งมอบ) คำสั่งตามเกณฑ์ดังกล่าวข้างต้น
Purchase,ซื้อ
Purchase Analytics,Analytics ซื้อ
Purchase Common,ซื้อสามัญ
Purchase Date,สั่งซื้อวันที่
Purchase Details,รายละเอียดการซื้อ
Purchase Discounts,ส่วนลดการซื้อ
Purchase Document No,สั่งซื้อไม่มีเอกสาร
Purchase Document Type,ซื้อเอกสารประเภท
Purchase In Transit,ซื้อในระหว่างการขนส่ง
Purchase Invoice,ซื้อใบแจ้งหนี้
Purchase Invoice Advance,ใบแจ้งหนี้การซื้อล่วงหน้า
Purchase Invoice Advances,ซื้อใบแจ้งหนี้เงินทดรอง
Purchase Invoice Item,สั่งซื้อสินค้าใบแจ้งหนี้
Purchase Invoice Trends,แนวโน้มการซื้อใบแจ้งหนี้
Purchase Order,ใบสั่งซื้อ
Purchase Order Date,สั่งซื้อวันที่สั่งซื้อ
Purchase Order Item,สั่งซื้อสินค้าสั่งซื้อ
Purchase Order Item No,สั่งซื้อสินค้าสั่งซื้อไม่มี
Purchase Order Item Supplied,รายการสั่งซื้อที่จำหน่าย
Purchase Order Items,ซื้อสินค้าสั่งซื้อ
Purchase Order Items Supplied,รายการสั่งซื้อที่จำหน่าย
Purchase Order Items To Be Billed,รายการใบสั่งซื้อที่จะได้รับจำนวนมากที่สุด
Purchase Order Items To Be Received,รายการสั่งซื้อที่จะได้รับ
Purchase Order Message,สั่งซื้อสั่งซื้อข้อความ
Purchase Order Required,จำเป็นต้องมีการสั่งซื้อ
Purchase Order Trends,ซื้อแนวโน้มการสั่งซื้อ
Purchase Order sent by customer,ใบสั่งซื้อที่ส่งมาจากลูกค้า
Purchase Orders given to Suppliers.,ใบสั่งซื้อที่กำหนดให้ผู้ซื้อผู้ขาย
Purchase Receipt,ซื้อใบเสร็จรับเงิน
Purchase Receipt Item,ซื้อสินค้าใบเสร็จรับเงิน
Purchase Receipt Item Supplied,รายการรับซื้อจำหน่าย
Purchase Receipt Item Supplieds,สั่งซื้อสินค้าใบเสร็จรับเงิน Supplieds
Purchase Receipt Items,ซื้อสินค้าใบเสร็จรับเงิน
Purchase Receipt Message,ซื้อใบเสร็จรับเงินข้อความ
Purchase Receipt No,ใบเสร็จรับเงินซื้อไม่มี
Purchase Receipt Required,รับซื้อที่จำเป็น
Purchase Receipt Trends,ซื้อแนวโน้มใบเสร็จรับเงิน
Purchase Register,สั่งซื้อสมัครสมาชิก
Purchase Return,ซื้อกลับ
Purchase Returned,ซื้อกลับ
Purchase Taxes and Charges,ภาษีซื้อและค่าบริการ
Purchase Taxes and Charges Master,ภาษีซื้อและปริญญาโทค่า
Purpose,ความมุ่งหมาย
Purpose must be one of ,วัตถุประสงค์ต้องเป็นหนึ่งใน
Python Module Name,ชื่อโมดูลหลาม
QA Inspection,QA การตรวจสอบ
QAI/11-12/,QAI/11-12 /
QTN,QTN
Qty,จำนวน
Qty Consumed Per Unit,Consumed จำนวนต่อหน่วย
Qty To Manufacture,จำนวนการผลิต
Qty as per Stock UOM,จำนวนตามสต็อก UOM
Qualification,คุณสมบัติ
Quality,คุณภาพ
Quality Inspection,การตรวจสอบคุณภาพ
Quality Inspection Parameters,พารามิเตอร์ตรวจสอบคุณภาพ
Quality Inspection Reading,การตรวจสอบคุณภาพการอ่าน
Quality Inspection Readings,การตรวจสอบคุณภาพการอ่าน
Quantity,ปริมาณ
Quantity Requested for Purchase,ปริมาณที่ขอซื้อ
Quantity already manufactured,จำนวนผลิตแล้ว
Quantity and Rate,จำนวนและอัตรา
Quantity and Warehouse,ปริมาณและคลังสินค้า
Quantity cannot be a fraction.,จำนวนไม่สามารถเป็นเศษส่วน
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,ปริมาณของรายการที่ได้รับหลังจากการผลิต / repacking จากปริมาณที่กำหนดของวัตถุดิบ
Quantity should be equal to Manufacturing Quantity. ,จำนวนควรจะเท่ากับจำนวนการผลิต
Quarter,หนึ่งในสี่
Quarterly,ทุกสามเดือน
Query,สอบถาม
Query Options,ตัวเลือกแบบสอบถาม
Query Report,รายงานแบบสอบถาม
Query must be a SELECT,แบบสอบถามจะต้องเลือก
Quick Help for Setting Permissions,ความช่วยเหลือด่วนสำหรับการตั้งค่าสิทธิ์
Quick Help for User Properties,ความช่วยเหลือด่วนสำหรับคุณสมบัติของผู้ใช้
Quotation,ใบเสนอราคา
Quotation Date,วันที่ใบเสนอราคา
Quotation Item,รายการใบเสนอราคา
Quotation Items,รายการใบเสนอราคา
Quotation Lost Reason,ใบเสนอราคา Lost เหตุผล
Quotation Message,ข้อความใบเสนอราคา
Quotation Sent,ใบเสนอราคาส่ง
Quotation Series,ชุดใบเสนอราคา
Quotation To,ใบเสนอราคาเพื่อ
Quotation Trend,เทรนด์ใบเสนอราคา
Quotations received from Suppliers.,ใบเสนอราคาที่ได้รับจากผู้จัดจำหน่าย
Quotes to Leads or Customers.,เพื่อนำไปสู่​​คำพูดหรือลูกค้า
Raise Material Request when stock reaches re-order level,ยกคำขอวัสดุเมื่อหุ้นถึงระดับใหม่สั่ง
Raised By,โดยยก
Raised By (Email),โดยยก (อีเมล์)
Random,สุ่ม
Range,เทือกเขา
Rate,อัตรา
Rate ,อัตรา
Rate (Company Currency),อัตรา (สกุลเงิน บริษัท )
Rate Of Materials Based On,อัตราวัสดุตาม
Rate and Amount,อัตราและปริมาณ
Rate at which Customer Currency is converted to customer's base currency,อัตราที่สกุลเงินลูกค้าจะแปลงเป็นสกุลเงินหลักของลูกค้า
Rate at which Price list currency is converted to company's base currency,อัตราที่สกุลเงินรายการราคาจะถูกแปลงเป็นสกุลเงินหลักของ บริษัท
Rate at which Price list currency is converted to customer's base currency,อัตราที่สกุลเงินรายการราคาจะถูกแปลงเป็นสกุลเงินหลักของลูกค้า
Rate at which customer's currency is converted to company's base currency,อัตราที่สกุลเงินของลูกค้าจะถูกแปลงเป็นสกุลเงินหลักของ บริษัท
Rate at which supplier's currency is converted to company's base currency,อัตราที่สกุลเงินของซัพพลายเออร์จะถูกแปลงเป็นสกุลเงินหลักของ บริษัท
Rate at which this tax is applied,อัตราที่ภาษีนี้จะถูกใช้
Raw Material Item Code,วัสดุดิบรหัสสินค้า
Raw Materials Supplied,วัตถุดิบ
Raw Materials Supplied Cost,วัตถุดิบที่จำหน่ายค่าใช้จ่าย
Re-Order Level,ระดับ Re-Order
Re-Order Qty,จำนวน Re-Order
Re-order,Re-order
Re-order Level,ระดับ Re-order
Re-order Qty,จำนวน Re-order
Read,อ่าน
Read Only,อ่านอย่างเดียว
Reading 1,Reading 1
Reading 10,อ่าน 10
Reading 2,Reading 2
Reading 3,Reading 3
Reading 4,Reading 4
Reading 5,Reading 5
Reading 6,Reading 6
Reading 7,อ่าน 7
Reading 8,อ่าน 8
Reading 9,อ่าน 9
Reason,เหตุผล
Reason for Leaving,เหตุผลที่ลาออก
Reason for Resignation,เหตุผลในการลาออก
Recd Quantity,จำนวน Recd
Receivable / Payable account will be identified based on the field Master Type,บัญชีลูกหนี้ / เจ้าหนี้จะได้รับการระบุขึ้นอยู่กับประเภทปริญญาโทสาขา
Receivables,ลูกหนี้
Receivables / Payables,ลูกหนี้ / เจ้าหนี้
Receivables Group,กลุ่มลูกหนี้
Received Date,วันที่ได้รับ
Received Items To Be Billed,รายการที่ได้รับจะถูกเรียกเก็บเงิน
Received Qty,จำนวนที่ได้รับ
Received and Accepted,และได้รับการยอมรับ
Receiver List,รายชื่อผู้รับ
Receiver Parameter,พารามิเตอร์รับ
Recipient,ผู้รับ
Recipients,ผู้รับ
Reconciliation Data,ข้อมูลการตรวจสอบ
Reconciliation HTML,HTML สมานฉันท์
Reconciliation JSON,JSON สมานฉันท์
Record item movement.,การเคลื่อนไหวระเบียนรายการ
Recurring Id,รหัสที่เกิดขึ้น
Recurring Invoice,ใบแจ้งหนี้ที่เกิดขึ้นประจำ
Recurring Type,ประเภทที่เกิดขึ้น
Reduce Deduction for Leave Without Pay (LWP),ลดการหักออกโดยไม่จ่าย (LWP)
Reduce Earning for Leave Without Pay (LWP),ลดรายได้สำหรับการออกโดยไม่จ่าย (LWP)
Ref Code,รหัส Ref
Ref Date is Mandatory if Ref Number is specified,วันที่มีผลบังคับใช้ Ref หาก Ref จำนวนที่ระบุไว้
Ref DocType,DocType Ref
Ref Name,ชื่อ Ref
Ref Rate,อัตรา Ref
Ref SQ,SQ Ref
Ref Type,ประเภท Ref
Reference,การอ้างอิง
Reference Date,วันที่อ้างอิง
Reference DocName,DocName อ้างอิง
Reference DocType,DocType อ้างอิง
Reference Name,ชื่ออ้างอิง
Reference Number,เลขที่อ้างอิง
Reference Type,ชนิดการอ้างอิง
Refresh,รีเฟรช
Registered but disabled.,สมาชิก แต่ปิดการใช้งาน
Registration Details,รายละเอียดการลงทะเบียน
Registration Details Emailed.,รายละเอียดการลงทะเบียนส่งอีเมล
Registration Info,ข้อมูลการลงทะเบียน
Rejected,ปฏิเสธ
Rejected Quantity,จำนวนปฏิเสธ
Rejected Serial No,หมายเลขเครื่องปฏิเสธ
Rejected Warehouse,คลังสินค้าปฏิเสธ
Relation,ความสัมพันธ์
Relieving Date,บรรเทาวันที่
Relieving Date of employee is ,วันที่บรรเทาของพนักงานคือ
Remark,คำพูด
Remarks,ข้อคิดเห็น
Remove Bookmark,ลบบุ๊คมาร์ค
Rename Log,เปลี่ยนชื่อเข้าสู่ระบบ
Rename Tool,เปลี่ยนชื่อเครื่องมือ
Rename...,เปลี่ยนชื่อ ...
Rented,เช่า
Repeat On,ทำซ้ำ
Repeat Till,ทำซ้ำจน
Repeat on Day of Month,ทำซ้ำในวันเดือน
Repeat this Event,ทำซ้ำเหตุการณ์นี้
Replace,แทนที่
Replace Item / BOM in all BOMs,แทนที่รายการ / BOM ใน BOMs ทั้งหมด
"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM",แทนที่ BOM โดยเฉพาะใน BOMs อื่น ๆ ทั้งหมดที่ถูกนำมาใช้ มันจะเข้ามาแทนที่การเชื่อมโยง BOM เก่าปรับปรุงค่าใช้จ่ายและให้ชีวิตใหม่ &quot;ระเบิดรายการ BOM&quot; ตารางเป็นต่อใหม่ BOM
Replied,Replied
Report,รายงาน
Report Builder,สร้างรายงาน
Report Builder reports are managed directly by the report builder. Nothing to do.,รายงานตัวสร้างรายงานที่มีการจัดการโดยตรงโดยการสร้างรายงาน ไม่มีอะไรจะทำ
Report Date,รายงานวันที่
Report Hide,แจ้งซ่อน
Report Name,ชื่อรายงาน
Report Type,ประเภทรายงาน
Report was not saved (there were errors),รายงานไม่ถูกบันทึกไว้ (มีข้อผิดพลาด)
Reports,รายงาน
Reports to,รายงานไปยัง
Represents the states allowed in one document and role assigned to change the state.,หมายถึงรัฐที่ได้รับอนุญาตในเอกสารหนึ่งและบทบาทที่ได้รับมอบหมายในการเปลี่ยนสถานะ
Reqd,reqd
Reqd By Date,reqd โดยวันที่
Request Type,ชนิดของการร้องขอ
Request for Information,การร้องขอข้อมูล
Request for purchase.,ขอซื้อ
Requested By,การร้องขอจาก
Requested Items To Be Ordered,รายการที่ได้รับการร้องขอที่จะสั่งซื้อ
Requested Items To Be Transferred,รายการที่ได้รับการร้องขอจะถูกถ่ายโอน
Requests for items.,ขอรายการ
Required By,ที่จำเป็นโดย
Required Date,วันที่ที่ต้องการ
Required Qty,จำนวนที่ต้องการ
Required only for sample item.,ที่จำเป็นสำหรับรายการตัวอย่าง
Required raw materials issued to the supplier for producing a sub - contracted item.,ต้องออกวัตถ​​ุดิบเพื่อจำหน่ายสำหรับการผลิตย่อย - รายการสัญญา
Reseller,ผู้ค้าปลีก
Reserved Quantity,จำนวนสงวน
Reserved Warehouse,คลังสินค้าสงวน
Reserved Warehouse in Sales Order / Finished Goods Warehouse,คลังสินค้าสำรองในการขายการสั่งซื้อ / โกดังสินค้าสำเร็จรูป
Reserved Warehouse is missing in Sales Order,สงวนคลังสินค้าขาดหายไปในการขายสินค้า
Resignation Letter Date,วันที่ใบลาออก
Resolution,ความละเอียด
Resolution Date,วันที่ความละเอียด
Resolution Details,รายละเอียดความละเอียด
Resolved By,แก้ไขได้โดยการ
Restrict IP,จำกัด IP
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),จำกัด ผู้ใช้จากที่อยู่ IP นี้เท่านั้น ที่อยู่ IP หลายสามารถเพิ่มโดยการแยกด้วยเครื่องหมายจุลภาค ยังยอมรับที่อยู่ IP บางส่วนเช่น (111.111.111)
Restricting By User,จำกัด ของผู้ใช้
Retail,ค้าปลีก
Retailer,พ่อค้าปลีก
Review Date,ทบทวนวันที่
Rgt,RGT
Right,ขวา
Role,บทบาท
Role Allowed to edit frozen stock,บทบาทอนุญาตให้แก้ไขหุ้นแช่แข็ง
Role Name,ชื่อบทบาท
Role that is allowed to submit transactions that exceed credit limits set.,บทบาทที่ได้รับอนุญาตให้ส่งการทำธุรกรรมที่เกินวงเงินที่กำหนด
Roles,บทบาท
Roles Assigned,บทบาทที่ได้รับมอบหมาย
Roles Assigned To User,บทบาทที่ได้รับมอบหมายให้กับผู้ใช้
Roles HTML,HTML บทบาท
Root ,ราก
Root cannot have a parent cost center,รากไม่สามารถมีศูนย์ต้นทุนผู้ปกครอง
Rounded Total,รวมกลม
Rounded Total (Company Currency),รวมกลม (สกุลเงิน บริษัท )
Row,แถว
Row ,แถว
Row #,แถว #
Row # ,แถว #
Rules defining transition of state in the workflow.,กฎการกำหนดเปลี่ยนแปลงของรัฐในเวิร์กโฟลว์
"Rules for how states are transitions, like next state and which role is allowed to change state etc.",กฎสำหรับวิธีการเปลี่ยนรัฐเช่นรัฐต่อไปและบทบาทที่ได้รับอนุญาตให้เปลี่ยนสถานะ ฯลฯ
Rules to calculate shipping amount for a sale,กฎระเบียบในการคำนวณปริมาณการขนส่งสินค้าสำหรับการขาย
SLE Exists,SLE มีอยู่
SMS,SMS
SMS Center,ศูนย์ SMS
SMS Control,ควบคุมการส่ง SMS
SMS Gateway URL,URL เกตเวย์ SMS
SMS Log,เข้าสู่ระบบ SMS
SMS Parameter,พารามิเตอร์ SMS
SMS Parameters,พารามิเตอร์ SMS
SMS Sender Name,ส่ง SMS ชื่อ
SMS Settings,การตั้งค่า SMS
SMTP Server (e.g. smtp.gmail.com),SMTP Server (smtp.gmail.com เช่น)
SO,ดังนั้น
SO Date,ดังนั้นวันที่
SO Pending Qty,ดังนั้นรอจำนวน
SO/10-11/,SO/10-11 /
SO1112,SO1112
SQTN,SQTN
STE,STE
SUP,SUP
SUPP,SUPP
SUPP/10-11/,SUPP/10-11 /
Salary,เงินเดือน
Salary Information,ข้อมูลเงินเดือน
Salary Manager,Manager เงินเดือนที่ต้องการ
Salary Mode,โหมดเงินเดือน
Salary Slip,สลิปเงินเดือน
Salary Slip Deduction,หักเงินเดือนสลิป
Salary Slip Earning,สลิปเงินเดือนรายได้
Salary Structure,โครงสร้างเงินเดือน
Salary Structure Deduction,หักโครงสร้างเงินเดือน
Salary Structure Earning,โครงสร้างเงินเดือนรายได้
Salary Structure Earnings,กำไรโครงสร้างเงินเดือน
Salary breakup based on Earning and Deduction.,การล่มสลายเงินเดือนขึ้นอยู่กับกำไรและหัก
Salary components.,ส่วนประกอบเงินเดือน
Sales,ขาย
Sales Analytics,Analytics ขาย
Sales BOM,BOM ขาย
Sales BOM Help,ช่วยเหลือ BOM ขาย
Sales BOM Item,รายการ BOM ขาย
Sales BOM Items,ขายสินค้า BOM
Sales Common,ขายทั่วไป
Sales Details,รายละเอียดการขาย
Sales Discounts,ส่วนลดการขาย
Sales Email Settings,ขายการตั้งค่าอีเมล
Sales Extras,พิเศษขาย
Sales Invoice,ขายใบแจ้งหนี้
Sales Invoice Advance,ขายใบแจ้งหนี้ล่วงหน้า
Sales Invoice Item,รายการใบแจ้งหนี้การขาย
Sales Invoice Items,รายการใบแจ้งหนี้การขาย
Sales Invoice Message,ข้อความขายใบแจ้งหนี้
Sales Invoice No,ขายใบแจ้งหนี้ไม่มี
Sales Invoice Trends,แนวโน้มการขายใบแจ้งหนี้
Sales Order,สั่งซื้อขาย
Sales Order Date,วันที่สั่งซื้อขาย
Sales Order Item,รายการสั่งซื้อการขาย
Sales Order Items,ขายสินค้าสั่งซื้อ
Sales Order Message,ข้อความสั่งซื้อขาย
Sales Order No,สั่งซื้อยอดขาย
Sales Order Required,สั่งซื้อยอดขายที่ต้องการ
Sales Order Trend,เทรนด์การสั่งซื้อการขาย
Sales Partner,พันธมิตรการขาย
Sales Partner Name,ชื่อพันธมิตรขาย
Sales Partner Target,เป้าหมายยอดขายพันธมิตร
Sales Partners Commission,สำนักงานคณะกรรมการกำกับการขายหุ้นส่วน
Sales Person,คนขาย
Sales Person Incharge,incharge คนขาย
Sales Person Name,ชื่อคนขาย
Sales Person Target Variance (Item Group-Wise),ยอดขายของกลุ่มเป้าหมายคน (กลุ่มสินค้า-ฉลาด)
Sales Person Targets,ขายเป้าหมายคน
Sales Person-wise Transaction Summary,การขายอย่างย่อรายการคนฉลาด
Sales Register,ขายสมัครสมาชิก
Sales Return,ขายกลับ
Sales Taxes and Charges,ภาษีการขายและค่าใช้จ่าย
Sales Taxes and Charges Master,ภาษีการขายและค่าใช้จ่ายปริญญาโท
Sales Team,ทีมขาย
Sales Team Details,ขายรายละเอียดทีม
Sales Team1,ขาย Team1
Sales and Purchase,การขายและการซื้อ
Sales campaigns,แคมเปญการขาย
Sales persons and targets,คนขายและเป้าหมาย
Sales taxes template.,ภาษีการขายแม่
Sales territories.,เขตการขาย
Salutation,ประณม
Same file has already been attached to the record,ไฟล์เดียวกันได้ถูกแนบมากับบันทึก
Sample Size,ขนาดของกลุ่มตัวอย่าง
Sanctioned Amount,จำนวนตามทำนองคลองธรรม
Saturday,วันเสาร์
Save,ประหยัด
Schedule,กำหนด
