 (Half Day),(Demi-journée)
Number Format,Format numérique
O+,O +
O-,O-
OPPT,OPPT
Office,Fonction
Old Parent,Parent Vieux
On,Sur
On Net Total,Le total net
On Previous Row Amount,Le montant rangée précédente
On Previous Row Total,Le total de la rangée précédente
"Once you have set this, the users will only be able access documents with that property.","Une fois que vous avez défini, les utilisateurs ne peuvent accéder aux documents capables de cette propriété."
Only Administrator allowed to create Query / Script Reports,Seul l&#39;administrateur autorisé à créer des requêtes / script Rapports
Only Administrator can save a standard report. Please rename and save.,Seul l&#39;administrateur peut enregistrer un rapport standard. S&#39;il vous plaît renommer et sauvegarder.
Only Allow Edit For,Autoriser uniquement Modifier Pour
Only Stock Items are allowed for Stock Entry,Seuls les articles de stock sont autorisées pour le stock d&#39;entrée
Only System Manager can create / edit reports,System Manager Seulement pouvez créer / éditer des rapports
Only leaf nodes are allowed in transaction,Seuls les noeuds feuilles sont autorisées dans une transaction
Open,Ouvert
Open Sans,Sans ouverts
Open Tickets,Open Billets
Opening Date,Date d&#39;ouverture
Opening Entry,Entrée ouverture
Opening Time,Ouverture Heure
Opening for a Job.,Ouverture d&#39;un emploi.
Operating Cost,Coût d&#39;exploitation
Operation Description,Description de l&#39;opération
Operation No,Opération No
Operation Time (mins),Temps de fonctionnement (min)
Operations,Opérations
Opportunity,Occasion
Opportunity Date,Date de possibilité
Opportunity From,De opportunité
Opportunity Item,Article occasion
Opportunity Items,Articles Opportunité
Opportunity Lost,Une occasion manquée
Opportunity Type,Type d&#39;opportunité
Options,Options de
Options Help,Options Aide
Order Confirmed,Afin Confirmé
Order Lost,Acheter Perdu
Order Type,Type d&#39;ordre
Ordered Items To Be Billed,Articles commandés à facturer
Ordered Items To Be Delivered,Articles commandés à livrer
Ordered Quantity,Quantité commandée
Orders released for production.,Commandes validé pour la production.
Organization Profile,Profil de l&#39;organisation
Original Message,Message d&#39;origine
Other,Autre
Other Details,Autres détails
Out,Out
Out of AMC,Sur AMC
Out of Warranty,Hors garantie
Outgoing,Sortant
Outgoing Mail Server,Serveur de courrier sortant
Outgoing Mails,Mails sortants
Outstanding Amount,Encours
Outstanding for Voucher ,Exceptionnelle pour Voucher
Over Heads,Au cours chefs
Overhead,Au-dessus
Overlapping Conditions found between,Conditions chevauchement constaté entre
Owned,Détenue
PAN Number,Nombre PAN
PF No.,PF n °
PF Number,Nombre PF
PI/2011/,PI/2011 /
PIN,PIN
PO,PO
POP3 Mail Server,Serveur de messagerie POP3
POP3 Mail Server (e.g. pop.gmail.com),POP3 Mail Server (par exemple pop.gmail.com)
POP3 Mail Settings,Paramètres de messagerie POP3
POP3 mail server (e.g. pop.gmail.com),POP3 serveur de messagerie (par exemple pop.gmail.com)
POP3 server e.g. (pop.gmail.com),Serveur POP3 par exemple (pop.gmail.com)
POS Setting,Réglage POS
POS View,POS View
PR Detail,Détail PR
PRO,PRO
PS,PS
Package Item Details,Détails d&#39;article de l&#39;emballage
Package Items,Articles paquet
Package Weight Details,Détails Poids de l&#39;emballage
Packing Details,Détails d&#39;emballage
Packing Detials,Detials emballage
Packing List,Packing List
Packing Slip,Bordereau
Packing Slip Item,Emballage article Slip
Packing Slip Items,Emballage Articles Slip
Packing Slip(s) Cancelled,Bordereau d&#39;expédition (s) Annulé
Page,Page
Page Background,Fond de page
Page Border,Bordure de page
Page Break,Saut de page
Page HTML,Page HTML
Page Headings,Page vedettes
Page Links,Page Liens
Page Name,Nom de la page
Page Role,Rôle page
Page Text,Page texte
Page content,Contenu de la page
Page not found,Page non trouvée
Page text and background is same color. Please change.,Texte de la page et le fond est la même couleur. S&#39;il vous plaît changer.
Page to show on the website,Page à afficher sur le site Web
"Page url name (auto-generated) (add "".html"")",Nom url de la page (généré automatiquement) (ajouter &quot;. Html&quot;)
Paid Amount,Montant payé
Parameter,Paramètre
Parent Account,Compte Parent
Parent Cost Center,Centre de coûts Parent
Parent Customer Group,Groupe Client parent
Parent Detail docname,DocName Détail Parent
Parent Item,Article Parent
Parent Item Group,Groupe d&#39;éléments Parent
Parent Label,Étiquette Parent
Parent Sales Person,Parent Sales Person
Parent Territory,Territoire Parent
Parent is required.,Parent est nécessaire.
Parenttype,ParentType
Partially Completed,Partiellement réalisé
Participants,Les participants
Partly Billed,Présentée en partie
Partly Delivered,Livré en partie
Partner Target Detail,Détail Cible partenaire
Partner Type,Type de partenaire
Partner's Website,Le site web du partenaire
Passive,Passif
Passport Number,Numéro de passeport
Password,Mot de passe
Password Expires in (days),Mot de passe Expire dans (jours)
Patch,Pièce
Patch Log,Connexion Patch
Pay To / Recd From,Pay To / RECD De
Payables,Dettes
Payables Group,Groupe Dettes
Payment Collection With Ageing,Collection de paiement avec le vieillissement
Payment Days,Jours de paiement
Payment Entries,Les entrées de paiement
Payment Entry has been modified after you pulled it. 			Please pull it again.,Entrée paiement a été modifié après l&#39;avoir retiré. S&#39;il vous plaît tirez à nouveau.
Payment Made With Ageing,Paiement effectué avec le vieillissement
Payment Reconciliation,Rapprochement de paiement
Payment Terms,Conditions de paiement
Payment to Invoice Matching Tool,Paiement à l&#39;outil Invoice Matching
Payment to Invoice Matching Tool Detail,Paiement à l&#39;outil Détail Facture Matching
Payments,Paiements
Payments Made,Paiements effectués
Payments Received,Paiements reçus
Payments made during the digest period,Les paiements effectués au cours de la période digest
Payments received during the digest period,Les paiements reçus au cours de la période digest
Payroll Setup,Configuration de la paie
Pending,En attendant
Pending Review,Attente d&#39;examen
Pending SO Items For Purchase Request,"Articles en attente Donc, pour demande d&#39;achat"
Percent,Pour cent
Percent Complete,Pour cent complet
Percentage Allocation,Répartition en pourcentage
Percentage Allocation should be equal to ,Pourcentage allocation doit être égale à
Percentage variation in quantity to be allowed while receiving or delivering this item.,Pourcentage de variation de la quantité à être autorisé lors de la réception ou la livraison de cet article.
Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,Pourcentage que vous êtes autorisé à recevoir ou de livrer plus sur la quantité commandée. Par exemple: Si vous avez commandé 100 unités. et votre allocation est de 10% alors que vous êtes autorisé à recevoir 110 unités.
Performance appraisal.,L&#39;évaluation des performances.
Period Closing Voucher,Bon clôture de la période
Periodicity,Périodicité
Perm Level,Perm niveau
Permanent Accommodation Type,Type d&#39;hébergement permanent
Permanent Address,Adresse permanente
Permission,Permission
Permission Level,Niveau d&#39;autorisation
Permission Levels,Niveaux d&#39;autorisation
Permission Manager,Responsable autorisation
Permission Rules,Règles d&#39;autorisation
Permissions,Autorisations
Permissions Settings,Réglages autorisations
Permissions are automatically translated to Standard Reports and Searches,Les autorisations sont automatiquement convertis en rapports standard et Recherches
"Permissions are set on Roles and Document Types (called DocTypes) by restricting read, edit, make new, submit, cancel, amend and report rights.","Les autorisations sont définies sur les rôles et les types de documents (appelé DocTypes) en limitant lire, modifier, faire de nouvelles, de soumettre, d&#39;annuler, de modifier et rapporter droits."
Permissions at higher levels are 'Field Level' permissions. All Fields have a 'Permission Level' set against them and the rules defined at that permissions apply to the field. This is useful incase you want to hide or make certain field read-only.,Autorisations à des niveaux supérieurs sont des permissions &quot;sur le terrain&quot;. Tous les champs ont ensemble un «niveau d&#39;autorisation» à leur encontre et les règles définies à ce que les autorisations s&#39;appliquent à ce domaine. Cette fonction est utile en cas vous souhaitez masquer ou rendre certain domaine en lecture seule.
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.","Autorisations au niveau 0 sont des permissions &quot;Niveau du document», c&#39;est à dire qu&#39;ils sont primaires pour l&#39;accès au document."
Permissions translate to Users based on what Role they are assigned,Permission traduire pour les utilisateurs en fonction de ce rôle leur est attribué
Person,Personne
Person To Be Contacted,Personne à contacter
Personal,Personnel
Personal Details,Données personnelles
Personal Email,Courriel personnel
Phone,Téléphone
Phone No,N ° de téléphone
Phone No.,N ° de téléphone
Pick Columns,Choisissez Colonnes
Pincode,Le code PIN
Place of Issue,Lieu d&#39;émission
Plan for maintenance visits.,Plan pour les visites de maintenance.
Planned Qty,Quantité planifiée
Planned Quantity,Quantité planifiée
Plant,Plante
Please Enter Abbreviation or Short Name properly as it will be added as Suffix to all Account Heads.,S&#39;il vous plaît Entrez Abréviation ou nom court correctement car il sera ajouté comme suffixe à tous les chefs de compte.
Please Update Stock UOM with the help of Stock UOM Replace Utility.,S&#39;il vous plaît jour Stock UOM avec l&#39;aide de Stock UOM utilitaire de remplacement.
Please attach a file first.,S&#39;il vous plaît joindre un fichier en premier.
Please attach a file or set a URL,S&#39;il vous plaît joindre un fichier ou définir une URL
Please check,S&#39;il vous plaît vérifier
Please enter Default Unit of Measure,S&#39;il vous plaît entrer unité de mesure par défaut
Please enter Delivery Note No or Sales Invoice No to proceed,S&#39;il vous plaît entrer livraison Remarque Aucune facture de vente ou Non pour continuer
Please enter Employee Number,S&#39;il vous plaît entrer Nombre d&#39;employés
Please enter Expense Account,S&#39;il vous plaît entrer Compte de dépenses
Please enter Expense/Adjustment Account,S&#39;il vous plaît entrer Charges / Ajustement compte
Please enter Purchase Receipt No to proceed,S&#39;il vous plaît entrer Achat réception Non pour passer
Please enter Reserved Warehouse for item ,S&#39;il vous plaît entrer entrepôt réservé pour objet
Please enter valid,S&#39;il vous plaît entrer une adresse valide
Please enter valid ,S&#39;il vous plaît entrer une adresse valide
Please install dropbox python module,S&#39;il vous plaît installer Dropbox module Python
Please make sure that there are no empty columns in the file.,S&#39;il vous plaît assurez-vous qu&#39;il n&#39;y a pas de colonnes vides dans le fichier.
Please mention default value for ',S&#39;il vous plaît mentionner la valeur par défaut pour &#39;
Please reduce qty.,S&#39;il vous plaît réduire Cdt.
Please refresh to get the latest document.,S&#39;il vous plaît Refresh pour obtenir la dernière version du document.
Please save the Newsletter before sending.,S&#39;il vous plaît enregistrer le bulletin avant de l&#39;envoyer.
Please select Bank Account,S&#39;il vous plaît sélectionner compte bancaire
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,S&#39;il vous plaît sélectionnez Report si vous souhaitez également inclure le solde de l&#39;exercice précédent ne laisse à cet exercice
Please select Date on which you want to run the report,S&#39;il vous plaît sélectionner la date à laquelle vous souhaitez exécuter le rapport
Please select Naming Neries,S&#39;il vous plaît choisir Neries nommage
Please select Price List,S&#39;il vous plaît sélectionnez Liste des Prix
Please select Time Logs.,S&#39;il vous plaît choisir registres de temps.
Please select a,S&#39;il vous plaît sélectionner un
Please select a csv file,S&#39;il vous plaît sélectionner un fichier csv
Please select a file or url,S&#39;il vous plaît sélectionner un fichier ou une URL
Please select a service item or change the order type to Sales.,S&#39;il vous plaît sélectionner un élément de service ou de changer le type d&#39;ordre de ventes.
Please select a sub-contracted item or do not sub-contract the transaction.,S&#39;il vous plaît sélectionner une option de sous-traitance ou de ne pas sous-traiter la transaction.
Please select a valid csv file with data.,S&#39;il vous plaît sélectionner un fichier CSV valide les données.
Please select month and year,S&#39;il vous plaît sélectionner le mois et l&#39;année
Please select the document type first,S&#39;il vous plaît sélectionner le type de document premier
Please select: ,S&#39;il vous plaît choisir:
Please set Dropbox access keys in,S&#39;il vous plaît configurer les touches d&#39;accès Dropbox dans
Please set Google Drive access keys in,S&#39;il vous plaît configurer Google touches d&#39;accès au lecteur de
Please setup Employee Naming System in Human Resource > HR Settings,S&#39;il vous plaît configuration Naming System employés en ressources humaines&gt; Paramètres RH
Please specify,S&#39;il vous plaît spécifier
Please specify Company,S&#39;il vous plaît préciser Company
Please specify Company to proceed,Veuillez indiquer Société de procéder
Please specify Default Currency in Company Master \			and Global Defaults,S&#39;il vous plaît indiquer Devise par défaut en Master Société \ et valeurs par défaut globales
Please specify a,S&#39;il vous plaît spécifier une
Please specify a Price List which is valid for Territory,S&#39;il vous plaît spécifier une liste de prix qui est valable pour le territoire
Please specify a valid,S&#39;il vous plaît spécifier une validité
Please specify a valid 'From Case No.',S&#39;il vous plaît indiquer une valide »De Affaire n &#39;
Please specify currency in Company,S&#39;il vous plaît préciser la devise dans la société
Point of Sale,Point de vente
Point-of-Sale Setting,Point-of-Sale Réglage
Post Graduate,Message d&#39;études supérieures
Post Topic,Message Sujet
Postal,Postal
Posting Date,Date de publication
Posting Date Time cannot be before,Date d&#39;affichage temps ne peut pas être avant
Posting Time,Affichage Temps
Posts,Messages
Potential Sales Deal,Potentiel de l&#39;offre de vente
Potential opportunities for selling.,Possibilités pour la vente.
"Precision for Float fields (quantities, discounts, percentages etc). Floats will be rounded up to specified decimals. Default = 3","Précision pour les champs de flotteur (quantités, des réductions, des pourcentages, etc.) Flotteurs seront arrondies à décimales spécifiées. Par défaut = 3"
Preferred Billing Address,Préféré adresse de facturation
Preferred Shipping Address,Preferred Adresse de livraison
Prefix,Préfixe
Present,Présent
Prevdoc DocType,Prevdoc DocType
Prevdoc Doctype,Prevdoc Doctype
Preview,Avant-première
Previous Work Experience,L&#39;expérience de travail antérieure
Price,Prix
Price List,Liste des Prix
Price List Currency,Devise Prix
Price List Currency Conversion Rate,Liste de prix de conversion de devises Taux
Price List Exchange Rate,Taux de change Prix de liste
Price List Master,Maître Liste des Prix
Price List Name,Nom Liste des Prix
Price List Rate,Prix ​​Liste des Prix
Price List Rate (Company Currency),Tarifs Taux (Société Monnaie)
Price List for Costing,Liste de prix pour Costing
Price Lists and Rates,Liste des prix et tarifs
Primary,Primaire
Print Format,Format d&#39;impression
Print Format Style,Format d&#39;impression style
Print Format Type,Imprimer Type de format
Print Heading,Imprimer Cap
Print Hide,Imprimer Cacher
Print Width,Largeur d&#39;impression
Print Without Amount,Imprimer Sans Montant
Print...,Imprimer ...
Priority,Priorité
Private,Privé
Proceed to Setup,Passez à Configuration
Process,Processus
Process Payroll,Paie processus
Produced Quantity,Quantité produite
Product Enquiry,Demande d&#39;information produit
Production Order,Ordre de fabrication
Production Orders,ordres de fabrication
Production Plan Item,Élément du plan de production
Production Plan Items,Éléments du plan de production
Production Plan Sales Order,Plan de Production Ventes Ordre
Production Plan Sales Orders,Vente Plan d&#39;ordres de production
Production Planning (MRP),Planification de la production (MRP)
Production Planning Tool,Outil de planification de la production
"Products will be sorted by weight-age in default searches. More the weight-age, higher the product will appear in the list.","Les produits seront triés par poids-âge dans les recherches par défaut. Plus le poids-âge, plus le produit apparaîtra dans la liste."
Profile,Profil
Profile Defaults,Par défaut le profil
Profile Represents a User in the system.,Représente un profil utilisateur dans le système.
Profile of a Blogger,Profil d&#39;un Blogger
Profile of a blog writer.,Profil d&#39;un auteur de blog.
Project,Projet
Project Costing,Des coûts de projet
Project Details,Détails du projet
Project Milestone,Des étapes du projet
Project Milestones,Étapes du projet
Project Name,Nom du projet
Project Start Date,Date de début du projet
Project Type,Type de projet
Project Value,Valeur du projet
Project activity / task.,Activité de projet / tâche.
Project master.,Projet de master.
Project will get saved and will be searchable with project name given,Projet seront sauvegardés et sera consultable avec le nom de projet donné
Project wise Stock Tracking,Projet sage Stock Tracking
Projected Qty,Qté projeté
Projects,Projets
Prompt for Email on Submission of,Prompt for Email relative à la présentation des
Properties,Propriétés
Property,Propriété
Property Setter,Setter propriété
Property Setter overrides a standard DocType or Field property,Setter propriété se substitue à une propriété standard ou DocType terrain
Property Type,Type de propriété
Provide email id registered in company,Fournir id e-mail enregistrée dans la société
Public,Public
Published,Publié
Published On,Publié le
Pull Emails from the Inbox and attach them as Communication records (for known contacts).,Tirez e-mails à partir de la boîte de réception et les attacher comme des enregistrements de communication (pour les contacts connus).
Pull Payment Entries,Tirez entrées de paiement
Pull sales orders (pending to deliver) based on the above criteria,Tirez les ordres de vente (en attendant de livrer) sur la base des critères ci-dessus
Purchase,Acheter
Purchase Analytics,Achat Analytics
Purchase Common,Achat commune
Purchase Date,Date d&#39;achat
Purchase Details,Conditions de souscription
Purchase Discounts,Rabais sur l&#39;achat
Purchase Document No,Achat document n
Purchase Document Type,Achat Type de document
Purchase In Transit,Achat En transit
Purchase Invoice,Achetez facture
Purchase Invoice Advance,Paiement à l&#39;avance Facture
Purchase Invoice Advances,Achat progrès facture
Purchase Invoice Item,Achat d&#39;article de facture
Purchase Invoice Trends,Achat Tendances facture
Purchase Order,Bon de commande
Purchase Order Date,Date d&#39;achat Ordre
Purchase Order Item,Achat Passer commande
Purchase Order Item No,Achetez article ordonnance n
Purchase Order Item Supplied,Point de commande fourni
Purchase Order Items,Achetez articles de la commande
Purchase Order Items Supplied,Articles commande fourni
Purchase Order Items To Be Billed,Purchase Order articles qui lui seront facturées
Purchase Order Items To Be Received,Articles de bons de commande pour être reçu
Purchase Order Message,Achat message Ordre
Purchase Order Required,Bon de commande requis
Purchase Order Trends,Bon de commande Tendances
Purchase Order sent by customer,Bon de commande envoyé par le client
Purchase Orders given to Suppliers.,Achetez commandes faites aux fournisseurs.
Purchase Receipt,Achat Réception
Purchase Receipt Item,Achat d&#39;article de réception
Purchase Receipt Item Supplied,Article reçu d&#39;achat fournis
Purchase Receipt Item Supplieds,Achat Supplieds point de réception
Purchase Receipt Items,Acheter des articles reçus
Purchase Receipt Message,Achat message de réception
Purchase Receipt No,Achetez un accusé de réception
Purchase Receipt Required,Réception achat requis
Purchase Receipt Trends,Achat Tendances reçus
Purchase Register,Achat S&#39;inscrire
Purchase Return,Achat de retour
Purchase Returned,Achetez retour
Purchase Taxes and Charges,Impôts achat et les frais
Purchase Taxes and Charges Master,Impôts achat et Master frais
Purpose,But
Purpose must be one of ,But doit être l&#39;un des
Python Module Name,Python Nom du module
QA Inspection,QA inspection
QAI/11-12/,QAI/11-12 /
QTN,QTN
Qty,Qté
Qty Consumed Per Unit,Quantité consommée par unité
Qty To Manufacture,Quantité à fabriquer
Qty as per Stock UOM,Qté en stock pour Emballage
Qualification,Qualification
Quality,Qualité
Quality Inspection,Inspection de la Qualité
Quality Inspection Parameters,Paramètres inspection de la qualité
Quality Inspection Reading,Lecture d&#39;inspection de la qualité
Quality Inspection Readings,Lectures inspection de la qualité
Quantity,Quantité
Quantity Requested for Purchase,Quantité demandée pour l&#39;achat
Quantity already manufactured,Quantité déjà fabriqué
Quantity and Rate,Quantité et taux
Quantity and Warehouse,Quantité et entrepôt
Quantity cannot be a fraction.,Quantité ne peut pas être une fraction.
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,Quantité de produit obtenue après fabrication / reconditionnement des quantités données de matières premières
Quantity should be equal to Manufacturing Quantity. ,Quantité devrait être égale à la fabrication quantité.
Quarter,Trimestre
Quarterly,Trimestriel
Query,Question
Query Options,Options de requête
Query Report,Rapport de requêtes
Query must be a SELECT,Requête doit être un SELECT
Quick Help for Setting Permissions,Aide rapide pour Définition des autorisations
Quick Help for User Properties,Aide rapide pour Propriétés de l&#39;utilisateur
Quotation,Citation
Quotation Date,Date de Cotation
Quotation Item,Article devis
Quotation Items,Articles de devis
Quotation Lost Reason,Devis perdu la raison
Quotation Message,Devis message
Quotation Sent,Citation Envoyé
Quotation Series,Série de devis
Quotation To,Devis Pour
Quotation Trend,Tendance devis
Quotations received from Suppliers.,Citations reçues des fournisseurs.
Quotes to Leads or Customers.,Citations à prospects ou clients.
Raise Material Request when stock reaches re-order level,Soulever demande de matériel lorsque le stock atteint le niveau de réapprovisionnement
Raised By,Raised By
Raised By (Email),Raised By (e-mail)
Random,Aléatoire
Range,Gamme
Rate,Taux
Rate ,Taux
Rate (Company Currency),Taux (Société Monnaie)
Rate Of Materials Based On,Taux de matériaux à base
Rate and Amount,Taux et le montant
Rate at which Customer Currency is converted to customer's base currency,Vitesse à laquelle la devise du client est converti en devise de base du client
Rate at which Price list currency is converted to company's base currency,Taux auquel la monnaie Liste de prix est converti en devise de base entreprise
Rate at which Price list currency is converted to customer's base currency,Taux auquel la monnaie Liste de prix est converti en devise de base du client
Rate at which customer's currency is converted to company's base currency,Vitesse à laquelle la devise du client est converti en devise de base entreprise
Rate at which supplier's currency is converted to company's base currency,Taux auquel la monnaie du fournisseur est converti en devise de base entreprise
Rate at which this tax is applied,Vitesse à laquelle cet impôt est appliqué
Raw Material Item Code,Raw Code article Matière
Raw Materials Supplied,Des matières premières fournies
Raw Materials Supplied Cost,Coût des matières premières fournies
Re-Order Level,Re-Order niveau
Re-Order Qty,Re-Cdt
Re-order,Re-order
Re-order Level,Re-order niveau
Re-order Qty,Re-order Quantité
Read,Lire
Read Only,Lecture seule
Reading 1,Lecture 1
Reading 10,Lecture le 10
Reading 2,Lecture 2
Reading 3,Reading 3
Reading 4,Reading 4
Reading 5,Reading 5
Reading 6,Lecture 6
Reading 7,Lecture le 7
Reading 8,Lecture 8
Reading 9,Lectures suggérées 9
Reason,Raison
Reason for Leaving,Raison du départ
Reason for Resignation,Raison de la démission
Recd Quantity,Quantité recd
Receivable / Payable account will be identified based on the field Master Type,Compte à recevoir / payer sera identifié en fonction du champ Type de maître
Receivables,Créances
Receivables / Payables,Créances / dettes
Receivables Group,Groupe de créances
Received Date,Date de réception
Received Items To Be Billed,Articles reçus à être facturé
Received Qty,Quantité reçue
Received and Accepted,Reçus et acceptés
Receiver List,Liste des récepteurs
Receiver Parameter,Paramètre récepteur
Recipient,Destinataire
Recipients,Récipiendaires
Reconciliation Data,Données de réconciliation
Reconciliation HTML,Réconciliation HTML
Reconciliation JSON,Réconciliation JSON
Record item movement.,Enregistrer le mouvement de l&#39;objet.
Recurring Id,Id récurrent
Recurring Invoice,Facture récurrente
Recurring Type,Type de courant
Reduce Deduction for Leave Without Pay (LWP),Réduire la déduction de congé sans solde (PLT)
Reduce Earning for Leave Without Pay (LWP),Réduire Gagner de congé sans solde (PLT)
Ref Code,Code de référence de
Ref Date is Mandatory if Ref Number is specified,Ref date est obligatoire si le numéro de Ref est spécifié
Ref DocType,Réf DocType
Ref Name,Nom Réf
Ref Rate,Prix ​​réf
Ref SQ,Réf SQ
Ref Type,Type de référence
Reference,Référence
Reference Date,Date de Référence
Reference DocName,Référence DocName
Reference DocType,Référence DocType
Reference Name,Nom de référence
Reference Number,Numéro de référence
Reference Type,Type de référence
Refresh,Rafraîchir
Registered but disabled.,Inscrit mais désactivé.
Registration Details,Détails de l&#39;enregistrement
Registration Details Emailed.,Modalités d&#39;inscription envoyé par courriel.
Registration Info,D&#39;informations Inscription
Rejected,Rejeté
Rejected Quantity,Quantité rejetée
Rejected Serial No,Rejeté N ° de série
Rejected Warehouse,Entrepôt rejetée
Relation,Rapport
Relieving Date,Date de soulager
Relieving Date of employee is ,Soulager la date de l&#39;employé est
Remark,Remarque
Remarks,Remarques
Remove Bookmark,Supprimer le signet
Rename Log,Renommez identifiez-vous
Rename Tool,Renommer l&#39;outil
Rename...,Renommer ...
Rented,Loué
Repeat On,Répéter l&#39;opération sur
Repeat Till,Répétez Till
Repeat on Day of Month,Répétez le Jour du Mois
Repeat this Event,Répétez cette événement
Replace,Remplacer
Replace Item / BOM in all BOMs,Remplacer l&#39;élément / BOM dans toutes les nomenclatures
"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM","Remplacer une nomenclature particulière dans toutes les nomenclatures d&#39;autres où il est utilisé. Il remplacera le lien de nomenclature ancienne, mettre à jour les coûts et régénérer &quot;Explosion de nomenclature article&quot; la table comme pour une nouvelle nomenclature"
Replied,Répondu
Report,Rapport
Report Builder,Report Builder
Report Builder reports are managed directly by the report builder. Nothing to do.,Ses rapports sont gérés directement par le constructeur de rapport. Rien à faire.
Report Date,Date du rapport
Report Hide,Signaler Cacher
Report Name,Nom du rapport
Report Type,Rapport Genre
Report was not saved (there were errors),Rapport n&#39;a pas été sauvé (il y avait des erreurs)
Reports,Rapports
Reports to,Rapports au
Represents the states allowed in one document and role assigned to change the state.,Représente les états autorisés dans un document et le rôle assigné à changer l&#39;état.
Reqd,Reqd
Reqd By Date,Reqd par date
Request Type,Type de demande
Request for Information,Demande de renseignements
Request for purchase.,Demande d&#39;achat.
Requested By,Demandé par
Requested Items To Be Ordered,Articles demandés à commander
Requested Items To Be Transferred,Articles demandé à être transférés
Requests for items.,Les demandes d&#39;articles.
Required By,Requis par
Required Date,Requis Date
Required Qty,Quantité requise
Required only for sample item.,Requis uniquement pour les articles de l&#39;échantillon.
Required raw materials issued to the supplier for producing a sub - contracted item.,Matières premières nécessaires délivrés au fournisseur pour la production d&#39;un élément sous - traitance.
Reseller,Revendeur
Reserved Quantity,Quantité réservés
Reserved Warehouse,Réservé Entrepôt
Reserved Warehouse in Sales Order / Finished Goods Warehouse,Entrepôt réservé à des commandes clients / entrepôt de produits finis
Reserved Warehouse is missing in Sales Order,Réservé entrepôt est manquant dans l&#39;ordre des ventes
Resignation Letter Date,Date de lettre de démission
Resolution,Résolution
Resolution Date,Date de Résolution
Resolution Details,Détails de la résolution
Resolved By,Résolu par
Restrict IP,Restreindre IP
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),Restreindre l&#39;utilisateur à partir de cette adresse IP. Plusieurs adresses IP peuvent être ajoutés par séparant par des virgules. Accepte également les adresses IP partielles comme (111.111.111)
Restricting By User,En restreignant l&#39;utilisateur
Retail,Détail
Retailer,Détaillant
Review Date,Date de revoir
Rgt,Rgt
Right,Droit
Role,Rôle
Role Allowed to edit frozen stock,Rôle autorisés à modifier stock congelé
Role Name,Rôle Nom
Role that is allowed to submit transactions that exceed credit limits set.,Rôle qui est autorisé à soumettre des transactions qui dépassent les limites de crédit fixées.
Roles,Rôles
Roles Assigned,Les rôles assignés
Roles Assigned To User,Rôles assignés à l&#39;utilisateur
Roles HTML,Rôles HTML
Root ,Racine
Root cannot have a parent cost center,Racine ne peut pas avoir un centre de coûts parent
Rounded Total,Totale arrondie
Rounded Total (Company Currency),Totale arrondie (Société Monnaie)
Row,Rangée
Row ,Rangée
Row #,Row #
Row # ,Row #
Rules defining transition of state in the workflow.,Règles définissant la transition de l&#39;état dans le workflow.
"Rules for how states are transitions, like next state and which role is allowed to change state etc.","Règles pour la manière dont les États sont des transitions, comme état suivant et dont le rôle est autorisé à changer d&#39;état, etc"
Rules to calculate shipping amount for a sale,Règles de calcul du montant de l&#39;expédition pour une vente
SLE Exists,Existe SLE
SMS,SMS
SMS Center,Centre SMS
SMS Control,SMS Control
SMS Gateway URL,URL SMS Gateway
SMS Log,SMS Log
SMS Parameter,Paramètre SMS
SMS Parameters,Paramètres SMS
SMS Sender Name,SMS Sender Nom
SMS Settings,Paramètres SMS
SMTP Server (e.g. smtp.gmail.com),Serveur SMTP (smtp.gmail.com par exemple)
SO,SO
SO Date,SO Date
SO Pending Qty,SO attente Qté
SO/10-11/,SO/10-11 /
SO1112,SO1112
SQTN,SQTN
STE,STE
SUP,SUP
SUPP,SUPP
SUPP/10-11/,SUPP/10-11 /
Salary,Salaire
Salary Information,Information sur le salaire
Salary Manager,Salaire Responsable
Salary Mode,Mode de rémunération
Salary Slip,Glissement des salaires
Salary Slip Deduction,Déduction bulletin de salaire
Salary Slip Earning,Slip Salaire Gagner
Salary Structure,Grille des salaires
Salary Structure Deduction,Déduction structure salariale
Salary Structure Earning,Structure salariale Gagner
Salary Structure Earnings,Bénéfice structure salariale
Salary breakup based on Earning and Deduction.,rupture des salaires basée sur l&#39;obtention et la déduction.
Salary components.,Éléments du salaire.
Sales,Ventes
Sales Analytics,Analytics Sales
Sales BOM,BOM ventes
Sales BOM Help,Aide nomenclature des ventes
Sales BOM Item,Article nomenclature des ventes
Sales BOM Items,Articles ventes de nomenclature
Sales Common,Les ventes courantes
Sales Details,Détails ventes
Sales Discounts,Escomptes sur ventes
Sales Email Settings,Réglages Courriel Ventes
Sales Extras,Extras ventes
Sales Invoice,Facture de vente
Sales Invoice Advance,Advance facture de vente
Sales Invoice Item,Article facture de vente
Sales Invoice Items,Facture de vente Articles
Sales Invoice Message,Message facture de vente
Sales Invoice No,Aucune facture de vente
