 (Half Day),（半天）
No Permission,无权限
No Permission to ,没有权限
No Permissions set for this criteria.,没有权限设置此标准。
No Report Loaded. Please use query-report/[Report Name] to run a report.,无报告加载。请使用查询报告/ [报告名称]运行报告。
No Sitemap,没有网站地图
No Supplier Accounts found. Supplier Accounts are identified based on \			'Master Type' value in account record.,没有供应商帐户发现。供应商账户的基础上确定的帐户记录\&#39;硕士&#39;的值。
No User Properties found.,没有用户属性中找到。
No accounting entries for following warehouses,没有对下述仓库会计分录
No addresses created,没有发起任何地址
No contacts created,没有发起任何接触
No default BOM exists for item: ,没有默认的BOM存在项目：
No further records,没有进一步的记录
No of Requested SMS,无的请求短信
No of Sent SMS,没有发送短信
No of Visits,没有访问量的
No one,没有人
No permission to edit,无权限进行编辑
No permission to write / remove.,没有权限写入/删除。
No record found,没有资料
No records tagged.,没有记录标记。
No salary slip found for month: ,没有工资单上发现的一个月：
None,无
None: End of Workflow,无：结束的工作流程
Not,不
Not Active,不活跃
Not Applicable,不适用
Not Available,不可用
Not Billed,不发单
Not Delivered,未交付
Not Found,未找到
Not Linked to any record.,不链接到任何记录。
Not Permitted,不允许
Not Set,没有设置
Not allowed entry in Warehouse,在仓库不准入境
Not allowed for: ,不允许：
Not equals,不等于
Note,注
Note User,注意用户
Note is a free page where users can share documents / notes,Note是一款免费的网页，用户可以共享文件/笔记
Note:,注意：
"Note: Backups and files are not deleted from Dropbox, you will have to delete them manually.",注意：备份和文件不会从Dropbox的删除，你将不得不手动删除它们。
"Note: Backups and files are not deleted from Google Drive, you will have to delete them manually.",注意：备份和文件不能从谷歌驱动器中删除，你将不得不手动删除它们。
Note: Email will not be sent to disabled users,注：电子邮件将不会被发送到用户禁用
"Note: For best results, images must be of the same size and width must be greater than height.",注意：为达到最佳效果，图象必须具有相同的尺寸和宽度必须大于高度。
Note: Other permission rules may also apply,注：其它权限规则也可申请
Note: maximum attachment size = 1mb,注：附件大小上限= 1MB
Notes,笔记
Notes:,注意事项：
Nothing to show,没有显示
Nothing to show for this selection,没什么可显示该选择
Notice (days),通告（天）
Notification Control,通知控制
Notification Count,通知计数
Notification Email Address,通知电子邮件地址
Notify By Email,通知通过电子邮件
Notify by Email on creation of automatic Material Request,在创建自动材料通知要求通过电子邮件
Number Format,数字格式
O+,O +
O-,O-
OPPT,OPPT
Offer Date,要约日期
Office,办公室
Old Parent,老家长
On,上
On Net Total,在总净
On Previous Row Amount,在上一行金额
On Previous Row Total,在上一行共
"Once you have set this, the users will only be able access documents with that property.",一旦你设置这个，用户将只能访问文档与该属性。
Only Administrator allowed to create Query / Script Reports,只有管​​理员可以创建查询/报告的脚本
Only Administrator can save a standard report. Please rename and save.,只有管​​理员可以保存一个标准的报告。请重新命名并保存。
Only Allow Edit For,只允许编辑
"Only Serial Nos with status ""Available"" can be delivered.",只有串行NOS与状态“可用”可交付使用。
Only Stock Items are allowed for Stock Entry,只股票项目所允许的股票输入
Only System Manager can create / edit reports,只有系统管理员可以创建/编辑报道
Only leaf nodes are allowed in transaction,只有叶节点中允许交易
Open,开
Open Count,打开计数
Open Production Orders,清生产订单
Open Sans,开放三世
Open Tickets,开放门票
Opening,开盘
Opening (Cr),开幕（CR）
Opening (Dr),开幕（博士）
Opening Accounting Entries,开幕会计分录
Opening Accounts and Stock,开户和股票
Opening Date,开幕日期
Opening Date and Closing Date should be within same Fiscal Year,开幕日期和截止日期应在同一会计年度
Opening Date should be before Closing Date,开幕日期应该是截止日期之前
Opening Entry,开放报名
Opening Qty,开放数量
Opening Time,开放时间
Opening Value,开度值
Opening for a Job.,开放的工作。
Operating Cost,营业成本
Operation Description,操作说明
Operation No,操作无
Operation Time (mins),操作时间（分钟）
Operations,操作
Opportunity,机会
Opportunity Date,日期机会
Opportunity From,从机会
Opportunity Item,项目的机会
Opportunity Items,项目的机会
Opportunity Lost,失去的机会
Opportunity Type,机会型
Optional. This setting will be used to filter in various transactions.,可选。此设置将被应用于各种交易进行过滤。
Options,选项
Options Help,选项​​帮助
Order Type,订单类型
Ordered,订购
Ordered Items To Be Billed,订购物品被标榜
Ordered Items To Be Delivered,订购项目交付
Ordered Qty,订购数量
"Ordered Qty: Quantity ordered for purchase, but not received.",订购数量：订购数量的报价，但没有收到。
Ordered Quantity,订购数量
Orders released for production.,发布生产订单。
Org History,组织历史
Org History Heading,组织历史航向
Organization,组织
Organization Name,组织名称
Organization Profile,组织简介
Original Message,原始消息
Other,其他
Other Details,其他详细信息
Out,出
Out Qty,输出数量
Out Value,出价值
Out of AMC,出资产管理公司
Out of Warranty,超出保修期
Outgoing,传出
Outgoing Email Settings,传出电子邮件设置
Outgoing Mail Server,发送邮件服务器
Outgoing Mails,传出邮件
Outstanding Amount,未偿还的金额
Outstanding for Voucher ,杰出的优惠券
Overhead,开销
Overheads,费用
Overview,概观
Owned,资
Owner,业主
PAN Number,潘号码
PF No.,PF号
PF Number,PF数
PI/2011/,PI/2011 /
PIN,密码
PL or BS,PL或BS
PO,PO
PO Date,PO日期
PO No,订单号码
POP3 Mail Server,POP3邮件服务器
POP3 Mail Server (e.g. pop.gmail.com),POP3邮件服务器（如：pop.gmail.com）
POP3 Mail Settings,POP3邮件设定
POP3 mail server (e.g. pop.gmail.com),POP3邮件服务器（如：pop.gmail.com）
POP3 server e.g. (pop.gmail.com),POP3服务器如（pop.gmail.com）
POS Setting,POS机设置
POS View,POS机查看
PR Detail,PR详细
PR Posting Date,公关寄发日期
PRO,PRO
PS,PS
Package Item Details,包装物品详情
Package Items,包装产品
Package Weight Details,包装重量详情
Packed Item,盒装产品
Packing Details,装箱明细
Packing Detials,包装往绩详情
Packing List,包装清单
Packing Slip,装箱单
Packing Slip Item,装箱单项目
Packing Slip Items,装箱单项目
Packing Slip(s) Cancelled,装箱单（S）已注销
Page,页面
Page Background,页面背景
Page Border,页面边框
Page Break,分页符
Page HTML,页面的HTML
Page Headings,页面标题
Page Links,网页链接
Page Name,网页名称
Page Name Field,页面名称字段
Page Role,第角色
Page Text,页面文字
Page already exists,页面已经存在
Page content,页面内容
Page not found,找不到网页
Page or Generator,页或生成
Page to show on the website,页面显示在网站上
"Page url name (auto-generated) (add "".html"")",页面的URL名称（自动生成）（加上“。的HTML”）
Paid,支付
Paid Amount,支付的金额
Parameter,参数
Parent Account,父帐户
Parent Cost Center,父成本中心
Parent Customer Group,母公司集团客户
Parent Detail docname,家长可采用DocName细节
Parent Item,父项目
Parent Item Group,父项目组
Parent Label,父标签
Parent Sales Person,母公司销售人员
Parent Territory,家长领地
Parent is required.,家长是必需的。
Parenttype,Parenttype
Partially Billed,部分帐单
Partially Completed,部分完成
Partially Delivered,部分交付
Participants,参与者
Partly Billed,天色帐单
Partly Delivered,部分交付
Partner Target Detail,合作伙伴目标详细信息
Partner Type,合作伙伴类型
Partner's Website,合作伙伴的网站
Passive,被动
Passport Number,护照号码
Password,密码
Password Expires in (days),在（天）密码过期
Password Updated,密码更新
Patch,补丁
Patch Log,补丁日志
Pay To / Recd From,支付/ RECD从
Payables,应付账款
Payables Group,集团的应付款项
Payment Collection With Ageing,代收货款随着老龄化
Payment Days,金天
Payment Due Date,付款到期日
Payment Entries,付款项
Payment Entry has been modified after you pulled it. 			Please pull it again.,付款输入已修改你拉后。请重新拉。
Payment Made With Ageing,支付MADE WITH老龄化
Payment Reconciliation,付款对账
Payment cannot be made for empty cart,付款方式不能为空购物车制造
Payment to Invoice Matching Tool,付款发票匹配工具
Payment to Invoice Matching Tool Detail,付款发票匹配工具详细介绍
Payments,付款
Payments Made,支付的款项
Payments Received,收到付款
Payments made during the digest period,在消化期间支付的款项
Payments received during the digest period,在消化期间收到付款
Payroll Settings,薪资设置
Payroll Setup,薪资设定
Pending,有待
Pending Amount,待审核金额
Pending Review,待审核
Pending SO Items For Purchase Request,待处理的SO项目对于采购申请
Percent,百分之
Percent Complete,完成百分比
Percentage Allocation,百分比分配
Percentage Allocation should be equal to ,百分比分配应等于
Percentage variation in quantity to be allowed while receiving or delivering this item.,同时接收或传送资料被允许在数量上的变化百分比。
Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,百分比你被允许接收或传递更多针对订购的数量。例如：如果您订购100个单位。和你的津贴是10％，那么你被允许接收110个单位。
Performance appraisal.,绩效考核。
Period,期
Period Closing Voucher,期末券
Periodicity,周期性
Perm Level,权限等级
Permanent Address,永久地址
Permanent Address Is,永久地址
Permission,允许
Permission Level,权限级别
Permission Levels,权限级别
Permission Manager,权限管理
Permission Rules,权限规则
Permissions,权限
Permissions Settings,权限设置
Permissions are automatically translated to Standard Reports and Searches,权限会自动转换为标准报表和搜索
"Permissions are set on Roles and Document Types (called DocTypes) by restricting read, edit, make new, submit, cancel, amend and report rights.",权限是通过限制读取，编辑，做出新的，提交，取消，修改和报告权的角色和文件类型（称为文档类型）设置。
Permissions at higher levels are 'Field Level' permissions. All Fields have a 'Permission Level' set against them and the rules defined at that permissions apply to the field. This is useful incase you want to hide or make certain field read-only.,在更高级别的权限是“现场级”的权限。所有栏位有一个“权限级别”设置对他们和那个权限应用到该字段中定义的规则。柜面你想要隐藏或使某些领域只读这是有用的。
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.",在0级权限是“文件级”的权限，也就是说，它们是主要用于访问文件。
Permissions translate to Users based on what Role they are assigned,权限转化为基于什么样的角色，他们被分配用户
Person,人
Personal,个人
Personal Details,个人资料
Personal Email,个人电子邮件
Phone,电话
Phone No,电话号码
Phone No.,电话号码
Pick Columns,摘列
Pincode,PIN代码
Place of Issue,签发地点
Plan for maintenance visits.,规划维护访问。
Planned Qty,计划数量
"Planned Qty: Quantity, for which, Production Order has been raised,",计划数量：数量，为此，生产订单已经提高，
Planned Quantity,计划数量
Plant,厂
Please Enter Abbreviation or Short Name properly as it will be added as Suffix to all Account Heads.,请输入缩写或简称恰当，因为它会被添加为后缀的所有帐户头。
Please Select Company under which you want to create account head,请选择公司要在其下创建账户头
Please attach a file first.,请附上文件第一。
Please attach a file or set a URL,请附上一个文件或设置一个URL
Please change the value,请更改该值
Please check,请检查
Please create new account from Chart of Accounts.,请从科目表创建新帐户。
Please do NOT create Account (Ledgers) for Customers and Suppliers. They are created directly from the Customer / Supplier masters.,请不要用于客户及供应商建立的帐户（总帐）。他们直接从客户/供应商创造的主人。
Please enter Cost Center,请输入成本中心
Please enter Default Unit of Measure,请输入缺省的计量单位
Please enter Delivery Note No or Sales Invoice No to proceed,请输入送货单号或销售发票号码进行
Please enter Employee Id of this sales parson,请输入本销售牧师的员工标识
Please enter Expense Account,请输入您的费用帐户
Please enter Item Code to get batch no,请输入产品编号，以获得批号
Please enter Item Code.,请输入产品编号。
Please enter Production Item first,请先输入生产项目
Please enter Purchase Receipt No to proceed,请输入外购入库单没有进行
Please enter Reserved Warehouse for item ,请输入预留仓库的项目
Please enter account group under which account \					for warehouse ,请输入下占\仓库帐户组
Please enter company first,请先输入公司
Please enter company name first,请先输入公司名称
Please install dropbox python module,请安装Dropbox的Python模块
Please make sure that there are no empty columns in the file.,请确保没有空列在文件中。
Please mention default value for ',请提及默认值&#39;
Please reduce qty.,请减少数量。
Please refresh to get the latest document.,请刷新以获得最新的文档。
Please save the Newsletter before sending.,请发送之前保存的通讯。
Please select Bank Account,请选择银行帐户
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,请选择结转，如果你还需要包括上一会计年度的资产负债叶本财年
Please select Date on which you want to run the report,请选择您要运行报告日期
Please select Price List,请选择价格表
Please select Time Logs.,请选择时间记录。
Please select a,请选择一个
Please select a csv file,请选择一个csv文件
Please select a file or url,请选择一个文件或URL
Please select a service item or change the order type to Sales.,请选择服务项目，或更改订单类型销售。
Please select a sub-contracted item or do not sub-contract the transaction.,请选择一个分包项目或不分包交易。
Please select a valid csv file with data.,请选择与数据的有效csv文件。
"Please select an ""Image"" first",请选择“图像”第一
Please select month and year,请选择年份和月份
Please select options and click on Create,请选择选项并点击Create
Please select the document type first,请选择文档类型第一
Please select: ,请选择：
Please set Dropbox access keys in,请设置Dropbox的访问键
Please set Google Drive access keys in,请设置谷歌驱动器的访问键
Please setup Employee Naming System in Human Resource > HR Settings,请设置员工命名系统中的人力资源&gt;人力资源设置
Please setup your chart of accounts before you start Accounting Entries,请设置您的会计科目表你开始会计分录前
Please specify,请注明
Please specify Company,请注明公司
Please specify Company to proceed,请注明公司进行
Please specify Default Currency in Company Master \			and Global Defaults,请在公司主\和全球默认指定默认货币
Please specify a,请指定一个
Please specify a Price List which is valid for Territory,请指定一个价格表，有效期为领地
Please specify a valid,请指定一个有效
Please specify a valid 'From Case No.',请指定一个有效的“从案号”
Please specify currency in Company,请公司指定的货币
Please submit to update Leave Balance.,请提交更新休假余额。
Please write something,请写东西
Please write something in subject and message!,请写东西的主题和消息！
Plot,情节
Plot By,阴谋
Plugin,插件
Point of Sale,销售点
Point-of-Sale Setting,销售点的设置
Post Graduate,研究生
Post Publicly,公开发布
Post Topic,发表帖子
Postal,邮政
Posting Date,发布日期
Posting Date Time cannot be before,发文日期时间不能前
Posting Time,发布时间
Posts,帖子
Potential Sales Deal,潜在的销售新政
Potential opportunities for selling.,潜在的机会卖。
"Precision for Float fields (quantities, discounts, percentages etc). Floats will be rounded up to specified decimals. Default = 3",精度浮点字段（数量，折扣，百分比等）。花车将四舍五入到指定的小数。默认值= 3
Preferred Billing Address,首选帐单地址
Preferred Shipping Address,首选送货地址
Prefix,字首
Present,现
Prevdoc DocType,Prevdoc的DocType
Prevdoc Doctype,Prevdoc文档类型
Previous Work Experience,以前的工作经验
Price List,价格表
Price List Country,价格表国家
Price List Currency,价格表货币
Price List Exchange Rate,价目表汇率
Price List Master,价格表主
Price List Name,价格列表名称
Price List Rate,价格列表费率
Price List Rate (Company Currency),价格列表费率（公司货币）
Primary,初级
Print,打印
Print Format,打印格式
Print Format Style,打印格式样式
Print Format Type,打印格式类型
Print Heading,打印标题
Print Hide,打印隐藏
Print Width,打印宽度
Print Without Amount,打印量不
Print...,打印...
Printing,印花
Priority,优先
Private,私人
Process Payroll,处理工资
Produced,生产
Produced Quantity,生产的产品数量
Product Enquiry,产品查询
Production Order,生产订单
Production Order must be submitted,生产订单必须提交
Production Orders,生产订单
Production Orders in Progress,在建生产订单
Production Plan Item,生产计划项目
Production Plan Items,生产计划项目
Production Plan Sales Order,生产计划销售订单
Production Plan Sales Orders,生产计划销售订单
Production Planning (MRP),生产计划（MRP）
Production Planning Tool,生产规划工具
Products or Services You Buy,产品或服务您选购
"Products will be sorted by weight-age in default searches. More the weight-age, higher the product will appear in the list.",产品将重量年龄在默认搜索排序。更多的重量，年龄，更高的产品会出现在列表中。
Profile,轮廓
Profile Defaults,简介默认
Profile Represents a User in the system.,资料表示系统中的一个用户。
Profile of a Blogger,是Blogger的个人资料
Project,项目
Project Costing,项目成本核算
Project Details,项目详情
Project Milestone,项目里程碑
Project Milestones,项目里程碑
Project Name,项目名称
Project Start Date,项目开始日期
Project Type,项目类型
Project Value,项目价值
Project activity / task.,项目活动/任务。
Project master.,项目主。
Project will get saved and will be searchable with project name given,项目将得到保存，并会搜索与项目名称定
Project wise Stock Tracking,项目明智的库存跟踪
Project wise Stock Tracking ,项目明智的库存跟踪
Projected,预计
Projected Qty,预计数量
Projects,项目
Prompt for Email on Submission of,提示电子邮件的提交
Properties,属性
Property,属性
Property Setter,属性setter
Property Setter overrides a standard DocType or Field property,属性setter覆盖一个标准的DocType或Field属性
Property Type,物业类型
Provide email id registered in company,提供的电子邮件ID在公司注册
Public,公
Published,发布时间
Published On,发表于
Pull Emails from the Inbox and attach them as Communication records (for known contacts).,从收件箱拉电子邮件，并将它们附加的通信记录（称为触点）。
Pull Payment Entries,拉付款项
Pull sales orders (pending to deliver) based on the above criteria,基于上述标准拉销售订单（待定提供）
Purchase,采购
Purchase / Manufacture Details,采购/制造详细信息
Purchase Analytics,购买Analytics（分析）
Purchase Common,购买普通
Purchase Details,购买详情
Purchase Discounts,购买折扣
Purchase In Transit,购买运输
Purchase Invoice,购买发票
Purchase Invoice Advance,购买发票提前
Purchase Invoice Advances,采购发票进展
Purchase Invoice Item,采购发票项目
Purchase Invoice Trends,购买发票趋势
Purchase Order,采购订单
Purchase Order Date,采购订单日期
Purchase Order Item,采购订单项目
Purchase Order Item No,采购订单编号
Purchase Order Item Supplied,采购订单项目提供
Purchase Order Items,采购订单项目
Purchase Order Items Supplied,采购订单项目提供
Purchase Order Items To Be Billed,采购订单的项目被标榜
Purchase Order Items To Be Received,采购订单项目可收
Purchase Order Message,采购订单的消息
Purchase Order Required,购货订单要求
Purchase Order Trends,采购订单趋势
Purchase Orders given to Suppliers.,购买给供应商的订单。
Purchase Receipt,外购入库单
Purchase Receipt Item,采购入库项目
Purchase Receipt Item Supplied,采购入库项目提供
Purchase Receipt Item Supplieds,采购入库项目Supplieds
Purchase Receipt Items,采购入库项目
Purchase Receipt Message,外购入库单信息
Purchase Receipt No,购买收据号码
Purchase Receipt Required,外购入库单要求
Purchase Receipt Trends,购买收据趋势
Purchase Register,购买注册
Purchase Return,采购退货
Purchase Returned,进货退出
Purchase Taxes and Charges,购置税和费
Purchase Taxes and Charges Master,购置税及收费硕士
Purpose,目的
Purpose must be one of ,目的必须是一个
Python Module Name,Python的模块名称
QA Inspection,质素保证视学
QAI/11-12/,QAI/11-12 /
QTN,QTN
Qty,数量
Qty Consumed Per Unit,数量消耗每单位
Qty To Manufacture,数量制造
Qty as per Stock UOM,数量按库存计量单位
Qty to Deliver,数量交付
Qty to Order,数量订购
Qty to Receive,数量来接收
Qty to Transfer,数量转移到
Qualification,合格
Quality,质量
Quality Inspection,质量检验
Quality Inspection Parameters,质量检验参数
Quality Inspection Reading,质量检验阅读
Quality Inspection Readings,质量检验读物
Quantity,数量
Quantity Requested for Purchase,需求数量的购买
Quantity and Rate,数量和速率
Quantity and Warehouse,数量和仓库
Quantity cannot be a fraction.,量不能是一小部分。
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,制造/从原材料数量给予重新包装后获得的项目数量
Quantity should be equal to Manufacturing Quantity. ,数量应等于生产数量。
Quarter,季
Quarterly,季刊
Query,询问
Query Options,查询选项
Query Report,查询报表
Query must be a SELECT,查询必须是一个SELECT
Quick Help,快速帮助
Quick Help for Setting Permissions,快速帮助设置权限
Quick Help for User Properties,快速帮助用户属性
Quotation,行情
Quotation Date,报价日期
Quotation Item,产品报价
Quotation Items,报价产品
Quotation Lost Reason,报价遗失原因
Quotation Message,报价信息
Quotation Series,系列报价
Quotation To,报价要
Quotation Trend,行情走势
Quotation Trends,报价趋势
Quotation is cancelled.,报价将被取消。
Quotations received from Suppliers.,从供应商收到的报价。
Quotes to Leads or Customers.,行情到引线或客户。
Raise Material Request when stock reaches re-order level,提高材料时，申请股票达到再订购水平
Raised By,提出
Raised By (Email),提出（电子邮件）
Random,随机
Range,范围
Rate,率
Rate ,率
Rate (Company Currency),率（公司货币）
Rate Of Materials Based On,率材料的基础上
Rate and Amount,率及金额
Rate at which Customer Currency is converted to customer's base currency,速率客户货币转换成客户的基础货币
Rate at which Price list currency is converted to company's base currency,速率价目表货币转换为公司的基础货币
Rate at which Price list currency is converted to customer's base currency,速率价目表货币转换成客户的基础货币
Rate at which customer's currency is converted to company's base currency,速率客户的货币转换为公司的基础货币
Rate at which supplier's currency is converted to company's base currency,速率供应商的货币转换为公司的基础货币
Rate at which this tax is applied,速率此税适用
Raw Material Item Code,原料产品编号
Raw Materials Supplied,提供原料
Raw Materials Supplied Cost,原料提供成本
Re-Order Level,再订购水平
Re-Order Qty,重新订购数量
Re-order,重新排序
Re-order Level,再订购水平
Re-order Qty,再订购数量
Read,阅读
Read Only,只读
Reading 1,阅读1
Reading 10,阅读10
Reading 2,阅读2
Reading 3,阅读3
Reading 4,4阅读
Reading 5,阅读5
Reading 6,6阅读
Reading 7,7阅读
Reading 8,阅读8
Reading 9,9阅读
Reason,原因
Reason for Leaving,离职原因
Reason for Resignation,原因辞职
Reason for losing,原因丢失
Recd Quantity,RECD数量
Receivable / Payable account will be identified based on the field Master Type,应收/应付帐款的帐户将基于字段硕士识别
Receivables,应收账款
Receivables / Payables,应收/应付账款
Receivables Group,应收账款集团
Received,收到
Received Date,收稿日期
Received Items To Be Billed,收到的项目要被收取
Received Qty,收到数量
Received and Accepted,收到并接受
Receiver List,接收器列表
Receiver Parameter,接收机参数
Recipient,接受者
Recipients,受助人
Reconciliation Data,数据对账
Reconciliation HTML,和解的HTML
Reconciliation JSON,JSON对账
Record item movement.,记录项目的运动。
Recurring Id,经常性标识
Recurring Invoice,经常性发票
Recurring Type,经常性类型
Reduce Deduction for Leave Without Pay (LWP),减少扣除停薪留职（LWP）
Reduce Earning for Leave Without Pay (LWP),降低盈利停薪留职（LWP）
Ref Code,参考代码
Ref DocType,参考的DocType
Ref Name,楼盘名称
Ref SQ,参考SQ
Ref Type,楼盘类型
Reference,参考
Reference Date,参考日期
Reference DocName,可采用DocName参考
Reference DocType,参考的DocType
Reference Name,参考名称
Reference Number,参考号码
Reference Type,参考类型
Refresh,刷新
Refreshing....,清爽....
Registered but disabled.,注册但被禁用。
Registration Details,报名详情
Registration Details Emailed.,报名资料通过电子邮件发送。
Registration Info,注册信息
Rejected,拒绝
Rejected Quantity,拒绝数量
Rejected Serial No,拒绝序列号
Rejected Warehouse,拒绝仓库
Rejected Warehouse is mandatory against regected item,拒绝仓库是必须反对regected项目
Relation,关系
Relieving Date,解除日期
Relieving Date of employee is ,减轻员工的日期是
Remark,备注
Remarks,备注
Remove Bookmark,删除书签
Rename,重命名
Rename Log,重命名日志
Rename Tool,重命名工具
Rename...,重命名...
Rent Cost,租金成本
Rent per hour,每小时租
Rented,租
Repeat On,重复开
Repeat Till,重复直到
Repeat on Day of Month,重复上月的日
Repeat this Event,重复此事件
Replace,更换
Replace Item / BOM in all BOMs,更换项目/物料清单中的所有材料明细表
"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM",在它被使用的所有其他的BOM替换特定的物料清单。它会取代旧的BOM链接，更新成本，并重新生成“物料清单爆炸物品”表按照新的物料清单
Replied,回答
Report,报告
Report Builder,报表生成器
Report Builder reports are managed directly by the report builder. Nothing to do.,报表生成器报表直接由报表生成器来管理。无事可做。
Report Date,报告日期
Report Hide,报告隐藏
Report Name,报告名称
Report Type,报告类型
Report issues at,在报告问题
Report was not saved (there were errors),报告没有被保存（有错误）
Reports,报告
Reports to,报告以
Represents the states allowed in one document and role assigned to change the state.,代表一个文档，并分配到改变国家角色允许的状态。
Reqd,REQD
Reqd By Date,REQD按日期
Request Type,请求类型
Request for Information,索取资料
Request for purchase.,请求您的报价。
Requested,要求
Requested For,对于要求
Requested Items To Be Ordered,要求项目要订购
Requested Items To Be Transferred,要求要传输的项目
Requested Qty,请求数量
"Requested Qty: Quantity requested for purchase, but not ordered.",要求的数量：数量要求的报价，但没有下令。
Requests for items.,请求的项目。
Required By,必选
Required Date,所需时间
Required Qty,所需数量
Required only for sample item.,只对样品项目所需。
Required raw materials issued to the supplier for producing a sub - contracted item.,发给供应商，生产子所需的原材料 - 承包项目。
Reseller,经销商
Reserved,保留的
Reserved Qty,保留数量
"Reserved Qty: Quantity ordered for sale, but not delivered.",版权所有数量：订购数量出售，但未交付。
Reserved Quantity,保留数量
Reserved Warehouse,保留仓库
Reserved Warehouse in Sales Order / Finished Goods Warehouse,在销售订单/成品仓库保留仓库
Reserved Warehouse is missing in Sales Order,保留仓库在销售订单失踪
Reset Filters,重设过滤器
Reset Password Key,重设密码钥匙
Resignation Letter Date,辞职信日期
Resolution,决议
Resolution Date,决议日期
Resolution Details,详细解析
Resolved By,议决
Restrict IP,限制IP
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),仅此IP地址限制用户。多个IP地址，可以通过用逗号分隔的补充。也接受像（111.111.111）部分的IP地址
Restricting By User,通过限制用户
Retail,零售
Retailer,零售商
Review Date,评论日期
Rgt,RGT
Right,右边
Role,角色
Role Allowed to edit frozen stock,角色可以编辑冻结股票
Role Name,角色名称
Role that is allowed to submit transactions that exceed credit limits set.,作用是允许提交超过设定信用额度交易的。
Roles,角色
Roles Assigned,角色分配
Roles Assigned To User,角色分配给用户
Roles HTML,角色的HTML
Root ,根
Root cannot have a parent cost center,根本不能有一个父成本中心
Rounded Total,总圆角
Rounded Total (Company Currency),圆润的总计（公司货币）
Row,排
Row ,排
Row #,行＃
Row # ,行＃
Rules defining transition of state in the workflow.,规则定义的工作流状态的过渡。
"Rules for how states are transitions, like next state and which role is allowed to change state etc.",规则的状态是如何过渡，就像下一个状态以及作用是允许改变状态等。
Rules to calculate shipping amount for a sale,规则来计算销售运输量
S.O. No.,SO号
SMS,短信
SMS Center,短信中心
SMS Control,短信控制
SMS Gateway URL,短信网关的URL
SMS Log,短信日志
SMS Parameter,短信参数
SMS Sender Name,短信发送者名称
SMS Settings,短信设置
SMTP Server (e.g. smtp.gmail.com),SMTP服务器（如smtp.gmail.com）
SO,SO
SO Date,SO日期
SO Pending Qty,SO待定数量
SO Qty,SO数量
SO/10-11/,SO/10-11 /
SO1112,SO1112
SQTN,SQTN
STE,STE
SUP,SUP
SUPP,人联党
SUPP/10-11/,SUPP/10-11 /
Salary,薪水
Salary Information,薪资信息
Salary Manager,薪资管理
Salary Mode,薪酬模式
Salary Slip,工资单
Salary Slip Deduction,工资单上扣除
Salary Slip Earning,工资单盈利
Salary Structure,薪酬结构
Salary Structure Deduction,薪酬结构演绎
Salary Structure Earning,薪酬结构盈利
Salary Structure Earnings,薪酬结构盈利
Salary breakup based on Earning and Deduction.,工资分手基于盈利和演绎。
Salary components.,工资组成部分。
Sales,销售
Sales Analytics,销售分析
Sales BOM,销售BOM
Sales BOM Help,销售BOM帮助
Sales BOM Item,销售BOM项目
Sales BOM Items,销售BOM项目
Sales Details,销售信息
Sales Discounts,销售折扣
Sales Email Settings,销售电子邮件设置
Sales Extras,额外销售
Sales Funnel,销售漏斗
Sales Invoice,销售发票
Sales Invoice Advance,销售发票提前
Sales Invoice Item,销售发票项目
Sales Invoice Items,销售发票项目
Sales Invoice Message,销售发票信息
Sales Invoice No,销售发票号码
Sales Invoice Trends,销售发票趋势
Sales Order,销售订单
Sales Order Date,销售订单日期
Sales Order Item,销售订单项目
Sales Order Items,销售订单项目
Sales Order Message,销售订单信息
Sales Order No,销售订单号
Sales Order Required,销售订单所需
Sales Order Trend,销售订单趋势
Sales Order Trends,销售订单趋势
Sales Partner,销售合作伙伴
Sales Partner Name,销售合作伙伴名称
Sales Partner Target,销售目标的合作伙伴
Sales Partners Commission,销售合作伙伴委员会
Sales Person,销售人员
Sales Person Incharge,销售人员Incharge
Sales Person Name,销售人员的姓名
Sales Person Target Variance (Item Group-Wise),销售人员目标方差（项目组明智）
Sales Person Target Variance Item Group-Wise,销售人员目标差异项目组，智者
Sales Person Targets,销售人员目标
Sales Person-wise Transaction Summary,销售人员明智的交易汇总
Sales Register,销售登记
Sales Return,销售退货
Sales Returned,销售退回
Sales Taxes and Charges,销售税金及费用
Sales Taxes and Charges Master,销售税金及收费硕士
Sales Team,销售团队
Sales Team Details,销售团队详细
Sales Team1,销售TEAM1
Sales and Purchase,买卖
Sales campaigns,销售活动
Sales persons and targets,销售人员和目标
Sales taxes template.,销售税模板。
Sales territories.,销售地区。
Salutation,招呼
Same Serial No,同样的序列号
Same file has already been attached to the record,相同的文件已经被连接到记录
Sample Size,样本大小
Sanctioned Amount,制裁金额
Saturday,星期六
Save,节省
Schedule,时间表
Schedule Date,时间表日期
Schedule Details,计划详细信息
Scheduled,预定
Scheduled Date,预定日期
