 (Half Day),(आधे दिन)
New Password,नया पासवर्ड
New Projects,नई परियोजनाएं
New Purchase Orders,नई खरीद आदेश
New Purchase Receipts,नई खरीद रसीद
New Quotations,नई कोटेशन
New Record,नया रिकॉर्ड
New Sales Orders,नई बिक्री आदेश
New Stock Entries,नई स्टॉक प्रविष्टियां
New Stock UOM,नई स्टॉक UOM
New Supplier Quotations,नई प्रदायक कोटेशन
New Support Tickets,नया समर्थन टिकट
New Workplace,नए कार्यस्थल
New value to be set,नई करने के लिए सेट किया जा मूल्य
Newsletter,न्यूज़लैटर
Newsletter Content,न्यूजलेटर सामग्री
Newsletter Status,न्यूज़लैटर स्थिति
"Newsletters to contacts, leads.","संपर्क करने के लिए समाचार पत्र, होता है."
Next Communcation On,अगला कम्युनिकेशन
Next Contact By,द्वारा अगले संपर्क
Next Contact Date,अगले संपर्क तिथि
Next Date,अगली तारीख
Next State,अगले राज्य
Next actions,अगली कार्रवाई
Next email will be sent on:,अगले ईमेल पर भेजा जाएगा:
No,नहीं
"No Account found in csv file, 							May be company abbreviation is not correct","Csv फ़ाइल में कोई खाता, सही नहीं है कंपनी संक्षिप्त नाम हो सकता है"
No Action,कोई कार्रवाई नहीं
No Communication tagged with this ,इस के साथ टैग कोई संचार
No Copy,कोई नकल
No Customer Accounts found. Customer Accounts are identified based on \			'Master Type' value in account record.,कोई ग्राहक लेखा पाया. ग्राहक लेखा खाते के रिकॉर्ड में \ &#39;मास्टर प्रकार&#39; मूल्य के आधार पर पहचाने जाते हैं.
No Item found with Barcode,कोई आइटम बारकोड के साथ पाया
No Items to Pack,पैक करने के लिए कोई आइटम नहीं
No Leave Approvers. Please assign 'Leave Approver' Role to atleast one user.,अनुमोदकों छोड़ दो नहीं. आवंटित एक उपयोगकर्ता कम से कम करने के लिए रोल &#39;अनुमोदक छोड़ दो&#39; कृपया.
No Permission,अनुमति नहीं है
No Permission to ,करने के लिए कोई अनुमति
No Permissions set for this criteria.,कोई अनुमतियाँ इस मापदंड के लिए निर्धारित किया है.
No Report Loaded. Please use query-report/[Report Name] to run a report.,कोई रिपोर्ट भरा हुआ है. उपयोग क्वेरी रिपोर्ट / [रिपोर्ट नाम] की एक रिपोर्ट चलाने के लिए कृपया.
No Supplier Accounts found. Supplier Accounts are identified based on \			'Master Type' value in account record.,कोई प्रदायक लेखा पाया. प्रदायक लेखा खाते के रिकॉर्ड में \ &#39;मास्टर प्रकार&#39; मूल्य के आधार पर पहचाने जाते हैं.
No User Properties found.,कोई उपयोगकर्ता के गुण पाया.
No default BOM exists for item: ,कोई डिफ़ॉल्ट बीओएम मद के लिए मौजूद है:
No further records,आगे कोई रिकॉर्ड
No of Requested SMS,अनुरोधित एसएमएस की संख्या
No of Sent SMS,भेजे गए एसएमएस की संख्या
No of Visits,यात्राओं की संख्या
No one,कोई नहीं
No permission to write / remove.,लिखने के लिए कोई अनुमति / हटा दें.
No record found,कोई रिकॉर्ड पाया
No records tagged.,कोई रिकॉर्ड टैग.
No salary slip found for month: ,महीने के लिए नहीं मिला वेतन पर्ची:
"No table is created for Single DocTypes, all values are stored in tabSingles as a tuple.","कोई तालिका एकल doctypes के लिए बनाया है, सभी मूल्यों एक टपल tabSingles में संग्रहीत कर रहे हैं."
None,कोई नहीं
None: End of Workflow,कोई नहीं: कार्यप्रवाह समाप्ति
Not,नहीं
Not Active,सक्रिय नहीं
Not Applicable,लागू नहीं
Not Billed,नहीं बिल
Not Delivered,नहीं वितरित
Not Found,नहीं मिला
Not Linked to any record.,लिंक्ड कोई रिकॉर्ड नहीं है.
Not Permitted,अनुमति नहीं
Not allowed for: ,के लिए अनुमति नहीं है:
Not enough permission to see links.,पर्याप्त के लिए लिंक को देखने की अनुमति नहीं है.
Not in Use,व्यर्थ
Not interested,कोई दिलचस्पी नहीं
Not linked,नहीं जुड़ा हुआ
Note,नोट
Note User,नोट प्रयोक्ता
Note is a free page where users can share documents / notes,"नोट उपयोगकर्ताओं दस्तावेजों / नोट्स साझा कर सकते हैं, जहां एक मुक्त पृष्ठ है"
"Note: Backups and files are not deleted from Dropbox, you will have to delete them manually.","नोट: बैकअप और फ़ाइलें ड्रॉपबॉक्स से नहीं हटाया जाता है, तो आप स्वयं उन्हें नष्ट करना होगा."
"Note: Backups and files are not deleted from Google Drive, you will have to delete them manually.","नोट: बैकअप और फ़ाइलें गूगल ड्राइव से नष्ट नहीं कर रहे हैं, आप स्वयं उन्हें नष्ट करना होगा."
Note: Email will not be sent to disabled users,नोट: ईमेल अक्षम उपयोगकर्ताओं के लिए नहीं भेजा जाएगा
"Note: For best results, images must be of the same size and width must be greater than height.","नोट: सर्वोत्तम परिणामों के लिए, छवियों को एक ही आकार और चौड़ाई का होना आवश्यक ऊंचाई से अधिक होना चाहिए."
Note: Other permission rules may also apply,नोट: अन्य अनुमति के नियम भी लागू हो सकता है
Note: You Can Manage Multiple Address or Contacts via Addresses & Contacts,नोट: आप पते और संपर्क के माध्यम से एकाधिक पता या संपर्क प्रबंधित कर सकते हैं
Note: maximum attachment size = 1mb,नोट: अधिकतम कुर्की आकार 1mb =
Notes,नोट्स
Nothing to show,दिखाने के लिए कुछ भी नहीं
Notice - Number of Days,सूचना - दिनों की संख्या
Notification Control,अधिसूचना नियंत्रण
Notification Email Address,सूचना ईमेल पता
Notify By Email,ईमेल से सूचित
Notify by Email on creation of automatic Material Request,स्वचालित सामग्री अनुरोध के निर्माण पर ईमेल द्वारा सूचित करें
Number Format,संख्या स्वरूप
O+,O +
O-,O-
OPPT,OPPT
Office,कार्यालय
Old Parent,पुरानी माता - पिता
On,पर
On Net Total,नेट कुल
On Previous Row Amount,पिछली पंक्ति राशि पर
On Previous Row Total,पिछली पंक्ति कुल पर
"Once you have set this, the users will only be able access documents with that property.","एक बार जब आप यह निर्धारित किया है, उपयोगकर्ताओं को केवल उस संपत्ति के साथ सक्षम पहुँच दस्तावेज होगा."
Only Administrator allowed to create Query / Script Reports,केवल प्रशासक प्रश्न / स्क्रिप्ट रिपोर्टें बनाने की अनुमति
Only Administrator can save a standard report. Please rename and save.,केवल प्रशासक एक मानक रिपोर्ट बचा सकता है. नाम बदलने और बचा लो.
Only Allow Edit For,केवल के लिए संपादित करें अनुमति दें
Only Stock Items are allowed for Stock Entry,केवल स्टॉक आइटम स्टॉक एंट्री के लिए अनुमति दी जाती है
Only System Manager can create / edit reports,केवल सिस्टम मैनेजर रिपोर्ट बनाने / संपादित कर सकते हैं
Only leaf nodes are allowed in transaction,केवल पत्ता नोड्स के लेनदेन में की अनुमति दी जाती है
Open,खुला
Open Sans,ओपन संस
Open Tickets,ओपन टिकट
Opening Date,तिथि खुलने की
Opening Entry,एंट्री खुलने
Opening Time,समय खुलने की
Opening for a Job.,एक नौकरी के लिए खोलना.
Operating Cost,संचालन लागत
Operation Description,ऑपरेशन विवरण
Operation No,कोई ऑपरेशन
Operation Time (mins),आपरेशन समय (मिनट)
Operations,संचालन
Opportunity,अवसर
Opportunity Date,अवसर तिथि
Opportunity From,अवसर से
Opportunity Item,अवसर आइटम
Opportunity Items,अवसर आइटम
Opportunity Lost,मौका खो दिया
Opportunity Type,अवसर प्रकार
Options,विकल्प
Options Help,विकल्पों की मदद से
Order Confirmed,आदेश की पुष्टि की
Order Lost,आदेश खोया
Order Type,आदेश प्रकार
Ordered Items To Be Billed,हिसाब से बिलिंग किए आइटम
Ordered Items To Be Delivered,हिसाब से दिया जा आइटम
Ordered Quantity,आदेशित मात्रा
Orders released for production.,उत्पादन के लिए आदेश जारी किया.
Organization Profile,संगठन प्रोफाइल
Original Message,मूल संदेश
Other,अन्य
Other Details,अन्य विवरण
Out,आउट
Out of AMC,एएमसी के बाहर
Out of Warranty,वारंटी के बाहर
Outgoing,बाहर जाने वाला
Outgoing Mail Server,जावक मेल सर्वर
Outgoing Mails,जावक मेल
Outstanding Amount,बकाया राशि
Outstanding for Voucher ,वाउचर के लिए बकाया
Over Heads,सिर पर
Overhead,उपरि
Overlapping Conditions found between,ओवरलैपिंग स्थितियां बीच पाया
Owned,स्वामित्व
PAN Number,पैन नंबर
PF No.,पीएफ सं.
PF Number,पीएफ संख्या
PI/2011/,PI/2011 /
PIN,पिन
PO,पीओ
POP3 Mail Server,POP3 मेल सर्वर
POP3 Mail Server (e.g. pop.gmail.com),POP3 मेल सर्वर (जैसे pop.gmail.com)
POP3 Mail Settings,POP3 मेल सेटिंग्स
POP3 mail server (e.g. pop.gmail.com),POP3 मेल सर्वर (जैसे pop.gmail.com)
POP3 server e.g. (pop.gmail.com),POP3 सर्वर जैसे (pop.gmail.com)
POS Setting,स्थिति सेटिंग
POS View,स्थिति देखें
PR Detail,पीआर विस्तार
PRO,प्रो
PS,पुनश्च
Package Item Details,संकुल आइटम विवरण
Package Items,पैकेज आइटम
Package Weight Details,पैकेज वजन विवरण
Packing Details,पैकिंग विवरण
Packing Detials,पैकिंग detials
Packing List,सूची पैकिंग
Packing Slip,पर्ची पैकिंग
Packing Slip Item,पैकिंग स्लिप आइटम
Packing Slip Items,पैकिंग स्लिप आइटम
Packing Slip(s) Cancelled,पैकिंग स्लिप (ओं) रद्द
Page,पेज
Page Background,पृष्ठ पृष्ठभूमि
Page Border,पृष्ठ बॉर्डर
Page Break,पृष्ठातर
Page HTML,पृष्ठ HTML
Page Headings,पृष्ठ शीर्षकों
Page Links,पेज लिंक
Page Name,पेज का नाम
Page Role,पृष्ठ रोल
Page Text,पृष्ठ पाठ
Page content,पृष्ठ सामग्री
Page not found,पृष्ठ नहीं मिला
Page text and background is same color. Please change.,पृष्ठ पाठ और पृष्ठभूमि एक ही रंग है. बदलाव करें.
Page to show on the website,वेबसाइट पर दिखाने के लिए
"Page url name (auto-generated) (add "".html"")",पृष्ठ url (ऑटो उत्पन्न) नाम (जोड़ &quot;html.&quot;)
Paid Amount,राशि भुगतान
Parameter,प्राचल
Parent Account,खाते के जनक
Parent Cost Center,माता - पिता लागत केंद्र
Parent Customer Group,माता - पिता ग्राहक समूह
Parent Detail docname,माता - पिता विस्तार docname
Parent Item,मूल आइटम
Parent Item Group,माता - पिता आइटम समूह
Parent Label,माता - पिता लेबल
Parent Sales Person,माता - पिता बिक्री व्यक्ति
Parent Territory,माता - पिता टेरिटरी
Parent is required.,माता - पिता की आवश्यकता है.
Parenttype,Parenttype
Partially Completed,आंशिक रूप से पूरा
Participants,प्रतिभागियों
Partly Billed,आंशिक रूप से बिल
Partly Delivered,आंशिक रूप से वितरित
Partner Target Detail,साथी लक्ष्य विवरण
Partner Type,साथी के प्रकार
Partner's Website,साथी की वेबसाइट
Passive,निष्क्रिय
Passport Number,पासपोर्ट नंबर
Password,पासवर्ड
Password Expires in (days),पासवर्ड में समाप्त (दिन)
Patch,पैच
Patch Log,पैच प्रवेश करें
Pay To / Recd From,/ रिसी डी से भुगतान
Payables,देय
Payables Group,देय समूह
Payment Collection With Ageing,बूढ़े के साथ भुगतान संग्रह
Payment Days,भुगतान दिन
Payment Entries,भुगतान प्रविष्टियां
Payment Entry has been modified after you pulled it. 			Please pull it again.,भुगतान एंट्री के बाद आप इसे खींच संशोधित किया गया है. कृपया इसे फिर से खींच.
Payment Made With Ageing,भुगतान बूढ़े के साथ मेड
Payment Reconciliation,भुगतान सुलह
Payment Terms,अदायगी की शर्तें
Payment to Invoice Matching Tool,चालान मिलान उपकरण के लिए भुगतान
Payment to Invoice Matching Tool Detail,चालान मिलान उपकरण विस्तार करने के लिए भुगतान
Payments,भुगतान
Payments Made,भुगतान मेड
Payments Received,भुगतान प्राप्त
Payments made during the digest period,पचाने की अवधि के दौरान किए गए भुगतान
Payments received during the digest period,भुगतान पचाने की अवधि के दौरान प्राप्त
Payroll Setup,पेरोल सेटअप
Pending,अपूर्ण
Pending Review,समीक्षा के लिए लंबित
Pending SO Items For Purchase Request,खरीद के अनुरोध के लिए लंबित है तो आइटम
Percent,प्रतिशत
Percent Complete,पूरा प्रतिशत
Percentage Allocation,प्रतिशत आवंटन
Percentage Allocation should be equal to ,प्रतिशत आवंटन के बराबर होना चाहिए
Percentage variation in quantity to be allowed while receiving or delivering this item.,मात्रा में प्रतिशत परिवर्तन प्राप्त करने या इस मद के लिए अनुमति दी गई है.
Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,आप मात्रा के खिलाफ और अधिक प्राप्त या वितरित करने के लिए अनुमति दी जाती प्रतिशत का आदेश दिया. उदाहरण के लिए: यदि आप 100 यूनिट का आदेश दिया है. और अपने भत्ता 10% तो आप 110 इकाइयों को प्राप्त करने के लिए अनुमति दी जाती है.
Performance appraisal.,प्रदर्शन मूल्यांकन.
Period Closing Voucher,अवधि समापन वाउचर
Periodicity,आवधिकता
Perm Level,स्तर Perm
Permanent Accommodation Type,स्थायी आवास प्रकार
Permanent Address,स्थायी पता
Permission,अनुमति
Permission Level,अनुमति स्तर
Permission Levels,अनुमति स्तरों
Permission Manager,अनुमति प्रबंधक
Permission Rules,अनुमति नियम
Permissions,अनुमतियाँ
Permissions Settings,अनुमतियाँ सेटिंग्स
Permissions are automatically translated to Standard Reports and Searches,अनुमतियाँ स्वतः मानक रिपोर्टों और खोज पर अनुवाद कर रहे हैं
"Permissions are set on Roles and Document Types (called DocTypes) by restricting read, edit, make new, submit, cancel, amend and report rights.","अनुमतियाँ भूमिकाओं और दस्तावेज़ प्रकार (नामक doctypes) पर पढ़ने, संपादित, नया बनाने के लिए सीमित द्वारा स्थापित कर रहे हैं, सबमिट रद्द, संशोधन और अधिकार की रिपोर्ट."
Permissions at higher levels are 'Field Level' permissions. All Fields have a 'Permission Level' set against them and the rules defined at that permissions apply to the field. This is useful incase you want to hide or make certain field read-only.,उच्च स्तर पर अनुमतियाँ &#39;फील्ड लेवल अनुमतियाँ हैं. सभी क्षेत्रों उनके खिलाफ एक &#39;अनुमति स्तर&#39; सेट और कि अनुमति पर परिभाषित नियमों क्षेत्र के लिए लागू होते हैं. यह उपयोगी है बैठाना आप को छिपाने के लिए या कुछ क्षेत्र केवल पढ़ने के लिए करना चाहते हैं.
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.","स्तर 0 पर अनुमतियाँ हैं &#39;दस्तावेज़ स्तर&#39; की अनुमति है, यानी वे दस्तावेज़ तक पहुँच के लिए प्राथमिक रहे हैं."
Permissions translate to Users based on what Role they are assigned,अनुमतियाँ क्या भूमिका वे आवंटित कर रहे है इस आधार पर उपयोगकर्ताओं के लिए अनुवाद
Person,व्यक्ति
Person To Be Contacted,व्यक्ति से संपर्क किया जा
Personal,व्यक्तिगत
Personal Details,व्यक्तिगत विवरण
Personal Email,व्यक्तिगत ईमेल
Phone,फ़ोन
Phone No,कोई फोन
Phone No.,फोन नंबर
Pick Columns,स्तंभ उठाओ
Pincode,Pincode
Place of Issue,जारी करने की जगह
Plan for maintenance visits.,रखरखाव के दौरे के लिए योजना.
Planned Qty,नियोजित मात्रा
Planned Quantity,नियोजित मात्रा
Plant,पौधा
Please Enter Abbreviation or Short Name properly as it will be added as Suffix to all Account Heads.,संक्षिप्त या लघु नाम ठीक से दर्ज करें सभी खाता प्रमुखों को प्रत्यय के रूप में जोड़ दिया जाएगा.
Please Update Stock UOM with the help of Stock UOM Replace Utility.,स्टॉक UOM बदलें उपयोगिता की मदद से स्टॉक UOM अद्यतन करें.
Please attach a file first.,पहले एक फ़ाइल संलग्न करें.
Please attach a file or set a URL,एक फ़ाइल संलग्न या एक यूआरएल निर्धारित करें
Please check,कृपया जाँच करें
Please enter Default Unit of Measure,उपाय के डिफ़ॉल्ट यूनिट दर्ज करें
Please enter Delivery Note No or Sales Invoice No to proceed,नहीं या बिक्री चालान नहीं आगे बढ़ने के लिए डिलिवरी नोट दर्ज करें
Please enter Employee Number,कर्मचारी संख्या दर्ज करें
Please enter Expense Account,व्यय खाते में प्रवेश करें
Please enter Expense/Adjustment Account,व्यय / समायोजन खाता दर्ज करें
Please enter Purchase Receipt No to proceed,आगे बढ़ने के लिए कोई खरीद रसीद दर्ज करें
Please enter Reserved Warehouse for item ,आइटम के लिए आरक्षित गोदाम दर्ज करें
Please enter valid,वैध दर्ज करें
Please enter valid ,वैध दर्ज करें
Please install dropbox python module,ड्रॉपबॉक्स अजगर मॉड्यूल स्थापित करें
Please make sure that there are no empty columns in the file.,फाइल में कोई रिक्त स्तंभ हैं कि कृपया सुनिश्चित करें.
Please mention default value for ',डिफ़ॉल्ट मान के लिए उल्लेख करें &#39;
Please reduce qty.,मात्रा कम करें.
Please refresh to get the latest document.,नवीनतम दस्तावेज प्राप्त करने के लिए ताज़ा करें.
Please save the Newsletter before sending.,भेजने से पहले न्यूज़लैटर बचाने.
Please select Bank Account,बैंक खाते का चयन करें
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,का चयन करें कृपया आगे ले जाना है अगर तुम भी शामिल करना चाहते हैं पिछले राजकोषीय वर्ष की शेष राशि इस वित्त वर्ष के लिए छोड़ देता है
Please select Date on which you want to run the report,"आप रिपोर्ट को चलाना चाहते हैं, जिस पर तिथि का चयन करें"
Please select Naming Neries,नामकरण Neries का चयन करें
Please select Price List,मूल्य सूची का चयन करें
Please select Time Logs.,समय लॉग्स का चयन करें.
Please select a,कृपया चुनें एक
Please select a csv file,एक csv फ़ाइल का चयन करें
Please select a file or url,एक फाइल या यूआरएल का चयन करें
Please select a service item or change the order type to Sales.,एक सेवा आइटम का चयन करें या बिक्री के क्रम प्रकार में बदलाव करें.
Please select a sub-contracted item or do not sub-contract the transaction.,एक उप अनुबंधित आइटम का चयन करें या उप अनुबंध लेन - देन नहीं कर दीजिये.
Please select a valid csv file with data.,डेटा के साथ एक मान्य csv फ़ाइल का चयन करें.
Please select month and year,माह और वर्ष का चयन करें
Please select the document type first,पहला दस्तावेज़ प्रकार का चयन करें
Please select: ,कृपया चुनें:
Please set Dropbox access keys in,में ड्रॉपबॉक्स पहुँच कुंजियों को सेट करें
Please set Google Drive access keys in,गूगल ड्राइव पहुंच कुंजी में सेट करें
Please setup Employee Naming System in Human Resource > HR Settings,मानव संसाधन में सेटअप कर्मचारी नामकरण प्रणाली कृपया&gt; मानव संसाधन सेटिंग्स
Please specify,कृपया बताएं
Please specify Company,कंपनी निर्दिष्ट करें
Please specify Company to proceed,कंपनी आगे बढ़ने के लिए निर्दिष्ट करें
Please specify Default Currency in Company Master \			and Global Defaults,कंपनी \ मास्टर और वैश्विक मूलभूत में डिफ़ॉल्ट मुद्रा निर्दिष्ट करें
Please specify a,कृपया बताएं एक
Please specify a Price List which is valid for Territory,राज्य क्षेत्र के लिए मान्य है जो एक मूल्य सूची निर्दिष्ट करें
Please specify a valid,एक वैध निर्दिष्ट करें
Please specify a valid 'From Case No.',&#39;केस नंबर से&#39; एक वैध निर्दिष्ट करें
Please specify currency in Company,कंपनी में मुद्रा निर्दिष्ट करें
Point of Sale,बिक्री के प्वाइंट
Point-of-Sale Setting,प्वाइंट की बिक्री की सेटिंग
Post Graduate,स्नातकोत्तर
Post Topic,विषय पोस्ट
Postal,डाक का
Posting Date,तिथि पोस्टिंग
Posting Date Time cannot be before,पोस्टिंग दिनांक समय से पहले नहीं किया जा सकता
Posting Time,बार पोस्टिंग
Posts,डाक
Potential Sales Deal,संभावित बिक्री सौदा
Potential opportunities for selling.,बेचने के लिए संभावित अवसरों.
"Precision for Float fields (quantities, discounts, percentages etc). Floats will be rounded up to specified decimals. Default = 3","फ्लोट क्षेत्रों के लिए प्रेसिजन (मात्रा, छूट, प्रतिशत आदि). तैरता निर्दिष्ट दशमलव के लिए गोल किया जाएगा. डिफ़ॉल्ट = 3"
Preferred Billing Address,पसंदीदा बिलिंग पता
Preferred Shipping Address,पसंदीदा शिपिंग पता
Prefix,उपसर्ग
Present,पेश
Prevdoc DocType,Prevdoc doctype
Prevdoc Doctype,Prevdoc Doctype
Preview,पूर्वावलोकन
Previous Work Experience,पिछले कार्य अनुभव
Price,कीमत
Price List,कीमत सूची
Price List Currency,मूल्य सूची मुद्रा
Price List Currency Conversion Rate,मूल्य सूची मुद्रा रूपांतरण दर
Price List Exchange Rate,मूल्य सूची विनिमय दर
Price List Master,मूल्य सूची मास्टर
Price List Name,मूल्य सूची का नाम
Price List Rate,मूल्य सूची दर
Price List Rate (Company Currency),मूल्य सूची दर (कंपनी मुद्रा)
Price List for Costing,लागत के लिए मूल्य सूची
Price Lists and Rates,मूल्य सूची और दरें
Primary,प्राथमिक
Print Format,प्रारूप प्रिंट
Print Format Style,प्रिंट प्रारूप शैली
Print Format Type,प्रारूप टाइप प्रिंट
Print Heading,शीर्षक प्रिंट
Print Hide,छिपाएँ प्रिंट
Print Width,प्रिंट चौड़ाई
Print Without Amount,राशि के बिना प्रिंट
Print...,प्रिंट ...
Priority,प्राथमिकता
Private,निजी
Proceed to Setup,सेटअप करने के लिए आगे बढ़ें
Process,प्रक्रिया
Process Payroll,प्रक्रिया पेरोल
Produced Quantity,उत्पादित मात्रा
Product Enquiry,उत्पाद पूछताछ
Production Order,उत्पादन का आदेश
Production Orders,उत्पादन के आदेश
Production Plan Item,उत्पादन योजना मद
Production Plan Items,उत्पादन योजना आइटम
Production Plan Sales Order,उत्पादन योजना बिक्री आदेश
Production Plan Sales Orders,उत्पादन योजना विक्रय आदेश
Production Planning (MRP),उत्पादन योजना (एमआरपी)
Production Planning Tool,उत्पादन योजना उपकरण
"Products will be sorted by weight-age in default searches. More the weight-age, higher the product will appear in the list.","उत्पाद डिफ़ॉल्ट खोजों में वजन उम्र के द्वारा हल किया जाएगा. अधिक वजन उम्र, उच्च उत्पाद की सूची में दिखाई देगा."
Profile,रूपरेखा
Profile Defaults,प्रोफ़ाइल डिफ़ॉल्ट्स
Profile Represents a User in the system.,प्रणाली में एक उपयोगकर्ता का प्रतिनिधित्व करता है.
Profile of a Blogger,एक ब्लॉगर की प्रोफाइल
Profile of a blog writer.,एक ब्लॉग लेखक का प्रोफ़ाइल.
Project,परियोजना
Project Costing,लागत परियोजना
Project Details,परियोजना विवरण
Project Milestone,परियोजना मील का पत्थर
Project Milestones,परियोजना मील के पत्थर
Project Name,इस परियोजना का नाम
Project Start Date,परियोजना प्रारंभ दिनांक
Project Type,परियोजना के प्रकार
Project Value,परियोजना मूल्य
Project activity / task.,परियोजना / कार्य कार्य.
Project master.,मास्टर परियोजना.
Project will get saved and will be searchable with project name given,परियोजना और बच जाएगा परियोजना भी नाम के साथ खोजा होगा
Project wise Stock Tracking,परियोजना वार स्टॉक ट्रैकिंग
Projected Qty,अनुमानित मात्रा
Projects,परियोजनाओं
Prompt for Email on Submission of,प्रस्तुत करने पर ईमेल के लिए संकेत
Properties,गुण
Property,संपत्ति
Property Setter,संपत्ति सेटर
Property Setter overrides a standard DocType or Field property,संपत्ति सेटर ओवरराइड एक मानक doctype या फील्ड संपत्ति
Property Type,सम्पत्ती के प्रकार
Provide email id registered in company,कंपनी में पंजीकृत ईमेल आईडी प्रदान
Public,सार्वजनिक
Published,प्रकाशित
Published On,पर प्रकाशित
Pull Emails from the Inbox and attach them as Communication records (for known contacts).,ईमेल इनबॉक्स से खींचो और उन्हें संचार रिकॉर्ड (ज्ञात संपर्कों के लिए) के रूप में देते हैं.
Pull Payment Entries,भुगतान प्रविष्टियां खींचो
Pull sales orders (pending to deliver) based on the above criteria,उपरोक्त मानदंडों के आधार पर बिक्री के आदेश (वितरित करने के लिए लंबित) खींचो
Purchase,क्रय
Purchase Analytics,खरीद विश्लेषिकी
Purchase Common,आम खरीद
Purchase Date,तिथि खरीद
Purchase Details,खरीद विवरण
Purchase Discounts,खरीद छूट
Purchase Document No,कोई दस्तावेज़ खरीद
Purchase Document Type,दस्तावेज़ प्रकार की खरीद
Purchase In Transit,ट्रांजिट में खरीद
Purchase Invoice,चालान खरीद
Purchase Invoice Advance,चालान अग्रिम खरीद
Purchase Invoice Advances,चालान अग्रिम खरीद
Purchase Invoice Item,चालान आइटम खरीद
Purchase Invoice Trends,चालान रुझान खरीद
Purchase Order,आदेश खरीद
Purchase Order Date,खरीद आदेश दिनांक
Purchase Order Item,खरीद आदेश आइटम
Purchase Order Item No,आदेश आइटम नहीं खरीद
Purchase Order Item Supplied,खरीद आदेश आइटम की आपूर्ति
Purchase Order Items,आदेश आइटम खरीद
Purchase Order Items Supplied,खरीद आदेश वस्तुओं की आपूर्ति
Purchase Order Items To Be Billed,बिल के लिए खरीद आदेश आइटम
Purchase Order Items To Be Received,खरीद आदेश प्राप्त किए जाने आइटम
Purchase Order Message,खरीद आदेश संदेश
Purchase Order Required,खरीदने के लिए आवश्यक आदेश
Purchase Order Trends,आदेश रुझान खरीद
Purchase Order sent by customer,खरीद ग्राहक द्वारा भेजे गए आदेश
Purchase Orders given to Suppliers.,खरीद आपूर्तिकर्ताओं के लिए दिए गए आदेश.
Purchase Receipt,रसीद खरीद
Purchase Receipt Item,रसीद आइटम खरीद
Purchase Receipt Item Supplied,खरीद रसीद आइटम की आपूर्ति
Purchase Receipt Item Supplieds,खरीद रसीद आइटम Supplieds
Purchase Receipt Items,रसीद वस्तुओं की खरीद
Purchase Receipt Message,खरीद रसीद संदेश
Purchase Receipt No,रसीद खरीद नहीं
Purchase Receipt Required,खरीद रसीद आवश्यक
Purchase Receipt Trends,रसीद रुझान खरीद
Purchase Register,पंजीकरण खरीद
Purchase Return,क्रय वापसी
Purchase Returned,खरीद वापस आ गए
Purchase Taxes and Charges,खरीद कर और शुल्क
Purchase Taxes and Charges Master,खरीद कर और शुल्क मास्टर
Purpose,उद्देश्य
Purpose must be one of ,उद्देश्य से एक होना चाहिए
Python Module Name,अजगर मॉड्यूल नाम
QA Inspection,क्यूए निरीक्षण
QAI/11-12/,QAI/11-12 /
QTN,QTN
Qty,मात्रा
Qty Consumed Per Unit,मात्रा रूपये प्रति यूनिट की खपत
Qty To Manufacture,विनिर्माण मात्रा
Qty as per Stock UOM,मात्रा स्टॉक UOM के अनुसार
Qualification,योग्यता
Quality,गुणवत्ता
Quality Inspection,गुणवत्ता निरीक्षण
Quality Inspection Parameters,गुणवत्ता निरीक्षण पैरामीटर
Quality Inspection Reading,गुणवत्ता निरीक्षण पढ़ना
Quality Inspection Readings,गुणवत्ता निरीक्षण रीडिंग
Quantity,मात्रा
Quantity Requested for Purchase,मात्रा में खरीद करने के लिए अनुरोध
Quantity already manufactured,मात्रा पहले से ही निर्मित
Quantity and Rate,मात्रा और दर
Quantity and Warehouse,मात्रा और वेयरहाउस
Quantity cannot be a fraction.,मात्रा एक अंश नहीं हो सकता.
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,वस्तु की मात्रा विनिर्माण / कच्चे माल की दी गई मात्रा से repacking के बाद प्राप्त
Quantity should be equal to Manufacturing Quantity. ,मात्रा विनिर्माण मात्रा के बराबर होना चाहिए.
Quarter,तिमाही
Quarterly,त्रैमासिक
Query,प्रश्न
Query Options,क्वेरी विकल्प
Query Report,क्वेरी रिपोर्ट
Query must be a SELECT,प्रश्न एक का चयन किया जाना चाहिए
Quick Help for Setting Permissions,अनुमतियाँ सेट करने के लिए त्वरित मदद
Quick Help for User Properties,उपयोगकर्ता के गुण के लिए त्वरित सहायता
Quotation,उद्धरण
Quotation Date,कोटेशन तिथि
Quotation Item,कोटेशन आइटम
Quotation Items,कोटेशन आइटम
Quotation Lost Reason,कोटेशन कारण खोया
Quotation Message,कोटेशन संदेश
Quotation Sent,कोटेशन भेजे गए
Quotation Series,कोटेशन सीरीज
Quotation To,करने के लिए कोटेशन
Quotation Trend,कोटेशन रुझान
Quotations received from Suppliers.,कोटेशन आपूर्तिकर्ता से प्राप्त किया.
Quotes to Leads or Customers.,सुराग या ग्राहक के लिए उद्धरण.
