 (Half Day),(Meio Dia)
Milestone,Marco
Milestone Date,Data do Marco
Milestones,Marcos
Milestones will be added as Events in the Calendar,Marcos serão adicionados como eventos no calendário
Millions,Milhões
Min Order Qty,Pedido Mínimo
Minimum Order Qty,Pedido Mínimo
Misc,Diversos
Misc Details,Detalhes Diversos
Miscellaneous,Diversos
Miscelleneous,Diversos
Mobile No,Telefone Celular
Mobile No.,Telefone Celular.
Mode of Payment,Forma de Pagamento
Modified Amount,Quantidade modificada
Modified by,Modificado(a) por
Module,Módulo
Module Def,Módulo Def
Module Name,Nome do Módulo
Modules,Módulos
Modules Setup,Configuração dos Módulos
Monday,Segunda-feira
Month,Mês
Monthly,Mensal
Monthly salary statement.,Declaração salarial mensal.
Monthly salary template.,Modelo de declaração salarial mensal.
More,Mais
More Details,Mais detalhes
More Info,Mais informações
More content for the bottom of the page.,Mais conteúdo para a parte de baixo da página.
Moving Average,Média móvel
Moving Average Rate,Taxa da Média Móvel
Mr,Sr.
Ms,Sra.
Multi Ledger Report Detail,Detalhe do Relatório de múltiplos Livros-Razão
Multiple Item Prices,Preços de múltiplos itens
Mupltiple Item prices.,Preços de múltiplos itens.
Must have report permission to access this report.,Deve ter permissão para acessar relatório deste relatório.
Must specify a Query to run,Deve especificar uma consulta para executar
My Company,Minha Empresa
My Settings,Minhas Configurações
NL-,NL-
Name,Nome
Name Case,Caso Nome
Name as entered in Sales Partner master,Nome como consta no cadastro de Parceiros de Vendas
Name of organization from where lead has come,Nome da Organização de onde veio o Prospecto
Name of person or organization that this address belongs to.,Nome da pessoa ou organização a que este endereço pertence.
Name of the Budget Distribution,Nome da Distribuição de Orçamento
Name of the entity who has requested for the Material Request,Nome da entidade que solicitou para a solicitação de materiais
Name of the entity who has requested for the Purchase Requisition,Nome da entidade que solicitou para o Pedido de Compra
Naming,Nomeando
Naming Series,Séries nomeadas
Naming Series Options,Opções das Séries nomeadas
Negative balance is not allowed for account ,Saldo negativo não é permitido por conta
Net Pay,Pagamento Líquido
Net Pay (in words) will be visible once you save the Salary Slip.,Pagamento líquido (por extenso) será visível quando você salvar a folha de pagamento.
Net Total,Total Líquido
Net Total (Import),Total Líquido (Importação)
Net Total*,Total Líquido*
Net Weight,Peso Líquido
Net Weight UOM,UDM do Peso Líquido
Net Weight of each Item,Peso líquido de cada item
New,Novo
New BOM,Nova LDM
New Communications,Nova Comunicação
New Delivery Notes,Novas Guias de Remessa
New Enquiries,Novas Consultas
New Leads,Novos Prospectos
New Leave Application,Aplicação deixar Nova
New Leaves Allocated,Novas Licenças alocadas
New Leaves Allocated (In Days),Novas Licenças alocadas (em dias)
New Material Requests,Novos Pedidos Materiais
New Name,Novo nome
New Password,Nova senha
New Projects,Novos Projetos
New Purchase Orders,Novas Ordens de Compra
New Purchase Receipts,Novos Recibos de Compra
New Quotations,Novas Cotações
New Record,Novo Registro
New Sales Orders,Novos Pedidos de Venda
New Stock Entries,Novos lançamentos de estoque
New Stock UOM,Nova UDM de estoque
New Supplier Quotations,Novas cotações de fornecedores
New Support Tickets,Novos pedidos de suporte
New Update,Nova Atualização
New Workplace,Novo local de trabalho
New value to be set,Novo valor a ser definido
Newsletter,Boletim informativo
Newsletter Content,Conteúdo do boletim
Newsletter Status,Estado do boletim
Next Communcation On,Próximo Comunicação em
Next Contact By,Próximo Contato Por
Next Contact Date,Data do próximo Contato
Next Date,Próxima data
Next State,Próximo Estado
Next actions,Próximas ações
Next email will be sent on:,Próximo e-mail será enviado em:
No,Não
No Action,Nenhuma ação
No Communication tagged with this ,Nenhuma comunicação marcada com esta
No Copy,Nenhuma cópia
No Permission,Nenhuma permissão
No Permission to ,Sem permissão para
No Permissions set for this criteria.,Sem permissões definidas para este critério.
No Report Loaded. Please use query-report/[Report Name] to run a report.,"Não Relatório Loaded. Por favor, use-consulta do relatório / [Nome do relatório] para executar um relatório."
No User Properties found.,Propriedades do Usuário não encontradas.
No of Requested SMS,Nº de SMS pedidos
No of Sent SMS,Nº de SMS enviados
No of Visits,Nº de Visitas
No records tagged.,Não há registros marcados.
"No table is created for Single DocTypes, all values are stored in tabSingles as a tuple.","Nenhuma tabela é criada para DocTypes simples, todos os valores são armazenados em tabSingles como uma tupla."
None: End of Workflow,Nenhum: Fim do fluxo de trabalho
Not,Não
Not Active,Não Ativo
Not Applicable,Não Aplicável
Not Billed,Não Faturado
Not Delivered,Não Entregue
Not Found,Não Encontrado
Not Linked to any record.,Não relacionado a qualquer registro.
Not Permitted,Não Permitido
Not allowed for: ,Não é permitido para:
Not enough permission to see links.,Sem permissão suficiente para ver os links.
Not in Use,Não está em uso
Not interested,Não está interessado
Not linked,Não ligados
Note: Email will not be sent to disabled users,Nota: e-mails não serão enviado para usuários desabilitados
Note: Other permission rules may also apply,Nota: Outras regras de permissão também podem se aplicar
Note: You Can Manage Multiple Address or Contacts via Addresses & Contacts,Nota: você pode gerenciar Múltiplos Endereços ou Contatos através de Endereços & Contatos
Note: maximum attachment size = 1mb,Nota: tamanho máximo do anexo = 1MB
Notes,Notas
Nothing to show,Nada para mostrar
Notice - Number of Days,Aviso - número de dias
Notification Control,Controle de Notificação
Notification Email Address,Endereço de email de notificação
Notify By Email,Notificar por e-mail
Notify by Email on Re-order,Notificar por e-mail ao Reordenar
Number Format,Formato de número
O+,O+
O-,O-
OPPT,OPPT
Ocean,Oceano
Old Parent,Pai Velho
Old Style Reports,Relatórios no Estilo Antigo
On,Em
On Net Total,No Total Líquido
On Previous Row Amount,No Valor na linha anterior
On Previous Row Total,No Total na linha anterior
"Once you have set this, the users will only be able access documents with that property.","Depois de ter definido isso, os usuários só poderão acessar documentos com esta propriedade."
One or multiple Sales Order no which generated this Material Request,Um ou nenhum Ordem múltipla de vendas que gerou este pedido se
One or multiple Sales Order no which generated this Purchase Requisition,Um ou vários nº de Ordens de Venda que gerou este Pedido de Compra
Only Administrator allowed to create Query / Script Reports,Administrador só é permitido para criar Consulta / Script Relatórios
Only Administrator can save a standard report. Please rename and save.,"Somente o administrador pode salvar um relatório padrão. Por favor, renomear e salvar."
Only Allow Edit For,Somente permite edição para
Only System Manager can create / edit reports,Somente o Gerente do Sistema pode criar / editar relatórios
Only leaf nodes are allowed in transaction,Somente nós-folha são permitidos em transações
Open,Abrir
Open Sans,Open Sans
Open Tickets,Tickets abertos
Opening Date,Data de abertura
Opening Time,Horário de abertura
Opening for a Job.,Vaga de emprego.
Operating Cost,Custo de Operação
Operation Description,Descrição da operação
Operation No,Nº da operação
Operation Time (mins),Tempo de Operação (minutos)
Operations,Operações
Operator,Operador
Opportunity,Oportunidade
Opportunity Date,Data da oportunidade
Opportunity From,Oportunidade De
Opportunity Item,Item da oportunidade
Opportunity Items,Itens da oportunidade
Opportunity Lost,Oportunidade perdida
Opportunity No,Nº da oportunidade
Opportunity Type,Tipo de Oportunidade
Options,Opções
Options Help,Ajuda sobre Opções
Order Confirmed,Ordem Confirmada
Order Lost,Ordem Perdida
Order Type,Tipo de Ordem
Ordered Items To Be Billed,Itens encomendados a serem faturados
Ordered Items To Be Delivered,Itens encomendados a serem entregues
Ordered Qty,Qtde. encomendada
Ordered Quantity,Quantidade encomendada
Orders released for production.,Ordens liberadas para produção.
Organization,Organização
Original Message,Mensagem original
Other,Outro
Other Details,Outros detalhes
Other Income Detail,Detalhe sobre Outras Receitas
Out going mail server and support ticket mailbox,Servidor de e-mail de saída e caixa de correio de tickets de suporte
Out of AMC,Fora do CAM
Out of Warranty,Fora de Garantia
Outgoing,De Saída
Outgoing Mail Server,Servidor de e-mails de saída
Outgoing Mails,E-mails de saída
Outstanding Amount,Quantia em aberto
Outstanding cannot be less than zero. \				 	Please match exact outstanding.,Excelente não pode ser menor que zero. \ Por favor correspondência exata excelente.
Outstanding for Voucher ,Destaque para Vale
Over Heads,Despesas gerais
Overhead,Despesas gerais
Overload Query,Consulta sobrecarregada
Overwrite,Sobrescrever
Owned,Pertencente
P.O. Date,Data PO
P.O. No,Nº PO
PAN Number,Número PAN
PF No.,Nº PF.
PF Number,Número PF
PI/2011/,PI/2011 /
PIN,PIN
PO,PO
PO Date,Data PO
PO No,Nº PO
POP3 Mail Server,Servidor de e-mail POP3
POP3 Mail Server (e.g. pop.gmail.com),"Servidor de e-mail POP3 (por exemplo, pop.gmail.com)"
POP3 Mail Settings,Configurações de e-mail pop3
POP3 mail server (e.g. pop.gmail.com),"Servidor de e-mail POP3 (por exemplo, pop.gmail.com)"
POP3 server e.g. (pop.gmail.com),"Servidor de e-mail POP3 (por exemplo, pop.gmail.com)"
POS Setting,Configuração de PDV
PR Detail,Detalhe PR
PRO,PRO
PS,PS
Package Item Details,Detalhes do Item do Pacote
Package Items,Itens do pacote
Package Weight Details,Detalhes do peso do pacote
Packed Quantity,Quantidade embalada
Packing Details,Detalhes da embalagem
Packing Detials,Detalhes da embalagem
Packing List,Lista de embalagem
Packing Slip,Guia de Remessa
Packing Slip Item,Item da Guia de Remessa
Packing Slip Items,Itens da Guia de Remessa
Page,Página
Page Break,Quebra de página
Page HTML,Página HTML
Page Len,Página Len
Page Name,Nome da Página
Page Role,Função da página
Page content,Conteúdo da página
Page not found,Página não encontrada
Page to show on the website,Página para mostrar no site
"Page url name (auto-generated) (add "".html"")",Nome da página url (gerado automaticamente) (adicione &quot;.html&quot;)
Paid Amount,Valor pago
Parameter,Parâmetro
Parent Account,Conta pai
Parent BOM,LDM pai
Parent Cost Center,Centro de Custo pai
Parent Customer Group,Grupo de Clientes pai
Parent Detail docname,Docname do Detalhe pai
Parent Doc Type,Tipo Doc pai
Parent Item,Item Pai
Parent Item Group,Grupo de item pai
Parent Label,Etiqueta pai
Parent Sales Person,Vendedor pai
Parent Territory,Território pai
Parenttype,Parenttype
Partially Completed,Parcialmente concluída
Participants,Participantes
Particulars,Características
Partly Billed,Parcialmente faturado
Partly Delivered,Parcialmente entregue
Partner,Parceiro
Partner Target Detail,Detalhe da Meta do parceiro
Partner Type,Tipo de parceiro
Passport Number,Número do Passaporte
Password,Senha
Password Expires in (days),Senha expira em (dias)
Patch,Remendo
Patch Log,Log de Patches
Pay To / Recd From,Pagar Para/ Recebido De
Payables,Contas a pagar
Payables Group,Grupo de contas a pagar
Payment Entries,Lançamentos de pagamento
Payment Entry has been modified after you pulled it. 			Please pull it again.,"Entrada de pagamento foi modificada depois que você tirou isso. Por favor, puxe-o novamente."
Payment Reconciliation,Reconciliação de pagamento
Payment Terms,Condições de Pagamento
Payment days,Dias de pagamento
Payment to Invoice Matching Tool,Ferramenta de Pagamento contra Fatura correspondente
Payment to Invoice Matching Tool Detail,Detalhe da Ferramenta de Pagamento contra Fatura correspondente
Payments,Pagamentos
Payroll Setup,Configuração da folha de pagamento
Pending,Pendente
Pending Review,Revisão pendente
Percent,Por cento
Percent Complete,Porcentagem Concluída
Percentage Allocation,Alocação percentual
Percentage variation in quantity to be allowed while receiving or delivering this item.,Variação percentual na quantidade a ser permitido ao receber ou entregar este item.
Percentage you are allowed to receive or deliver more against the quantity ordered. <p>For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units</p>,"Percentagem que estão autorizados a receber ou entregar além da quantidade encomendada. <p> Por exemplo: Se você encomendou 100 unidades e seu limite é de 10%, então você está autorizado a receber 110 unidades </p>"
Performance appraisal.,Avaliação de desempenho.
Period Closing Voucher,Comprovante de Encerramento período
Periodicity,Periodicidade
Perm Level,Nível Permanente
Permanent Accommodation Type,Tipo de Alojamento Permanente
Permanent Address,Endereço permanente
Permission Control,Controle de Permissão
Permission Engine,Mecanismo de Permissão
Permission Level,Nível de Permissão
Permission Levels,Níveis de Permissão
Permission Manager,Gerenciador de Permissão
Permission Rules,Regras de Permissão
Permissions,Permissões
Permissions Settings,Configurações de Permissões
Permissions are automatically translated to Standard Reports and Searches,As permissões são automaticamente traduzidos para Relatórios Padrão e Pesquisas
"Permissions are set on Roles and Document Types (called DocTypes) by restricting read, edit, make new, submit, cancel, amend and report rights.","As permissões são definidas em Funções e Tipos de Documentos (chamados DocTypes) restringindo direitos de leitura, edição, criação, envio, cancelamento e alteração."
Permissions at higher levels are 'Field Level' permissions. All Fields have a 'Permission Level' set against them and the rules defined at that permissions apply to the field. This is useful incase you want to hide or make certain field read-only.,Permissões em níveis mais elevados são permissões em &quot;Nível de Campo&quot;. Todos os campos têm um &#39;Nível de Permissão&quot; estabelecido contra eles e as regras definidas naquele Nível de Permissão se aplicam ao campo. Isto é útil no caso de você querer ocultar ou tornar um determinado campo em somente leitura.
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.","Permissões no nível 0 são permissões ao &#39;Nível de Documento&quot;, ou seja, são básicas para o acesso ao documento."
Permissions translate to Users based on what Role they are assigned,As Permissões passam aos usuários com base na função a que são atribuídos
Person,Pessoa
Person To Be Contacted,Pessoa a ser contatada
Personal Details,Detalhes pessoais
Personal Email,E-mail pessoal
Phone,Telefone
Phone No,Nº de telefone
Phone No.,Nº de telefone.
Pick Columns,Escolha as Colunas
Pin Code,Código PIN
Pincode,PINCODE
Place of Issue,Local de Emissão
Plan for scheduled maintenance contracts.,Plano para contratos de manutenção programados.
Planned Qty,Qtde. planejada
Planned Quantity,Quantidade planejada
Please Enter Abbreviation or Short Name properly as it will be added as Suffix to all Account Heads.,Por favor insira a correta Abreviação ou Nome Curto pois ele será adicionado como sufixo a todas as Contas.
Please check,"Por favor, verifique"
Please enter Bill Date,Por favor insira Data Bill
Please enter valid ,"Por favor, insira válido"
Please save the Newsletter before sending.,"Por favor, salve o boletim antes de enviar."
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,Por favor selecione Encaminhar se você também quer incluir o saldo de licenças do ano fiscal anterior neste ano fiscal
Please select: ,"Por favor, selecione: "
Please specify Default Currency in Company Master \			and Global Defaults,"Por favor, especificar a moeda padrão na empresa MASTER \ e Padrões Globais"
Please specify a valid,"Por favor, especifique um válido"
Point of Sale,Ponto de Venda
Point-of-Sale Setting,Configurações de Ponto-de-Venda
Points,Pontos
Post Graduate,Pós-Graduação
Post Topic,Postar Tópico
Posting Date,Data da Postagem
Posting Time,Horário da Postagem
Potential Sales Deal,Negócio de Vendas em potencial
Potential opportunities for selling.,Oportunidades potenciais para a venda.
"Precision for Float fields (quantities, discounts, percentages etc) only for display. Floats will still be calculated up to 6 decimals.","Precisão para campos Float (quantidade, descontos, percentuais, etc) é apenas para exibição. Floats ainda serão calculado até 6 casas decimais."
Prefix,Prefixo
Present,Apresentar
Prevdoc DocType,Prevdoc DocType
Prevdoc Doctype,Prevdoc Doctype
Preview,Visualização
Previous Work Experience,Experiência anterior de trabalho
Price List,Lista de Preços
Price List Currency,Moeda da Lista de Preços
Price List Currency Conversion Rate,Taxa de conversão da moeda da lista de preços
Price List Exchange Rate,Taxa de Câmbio da Lista de Preços
Price List Master,Cadastro de Lista de Preços
Price List Name,Nome da Lista de Preços
Price List Rate,Taxa de Lista de Preços
Price List Rate*,Taxa de Lista de Preços*
Price List and Currency,Lista de Preços e Moeda
Price Lists and Rates,Listas de Preços e Tarifas
Primary,Primário
Print Format,Formato de impressão
Print Heading,Cabeçalho de impressão
Print Hide,Ocultar impressão
Print Width,Largura de impressão
Print Without Amount,Imprimir Sem Quantia
Priority,Prioridade
Private,Privado
Process,Processo
Process Payroll,Processa folha de pagamento
Produced Quantity,Quantidade produzida
Product Categories,Categorias de Produtos
Product Category for website,Categoria de Produto para o site
Product Enquiry,Consulta de Produto
Product Group,Grupo de Produtos
"Product Groups that are listed on the website. The first product group from this list will be listed by default on the ""Products Page""",Grupos de produtos listados no site. O primeiro grupo de produtos desta lista serão listados por padrão na &quot;Página de Produtos&quot;
Product Settings,Configurações do produto
Production,Produção
Production Order,Ordem de Produção
Production Plan Item,Item do plano de produção
Production Plan Items,Itens do plano de produção
Production Plan Sales Order,Ordem de Venda do Plano de Produção
Production Plan Sales Orders,Ordens de Venda do Plano de Produção
Production Planning (MRP),Planejamento de Produção (PRM)
Production Planning Tool,Ferramenta de Planejamento da Produção
Products Settings,Configurações de produtos
"Products will be sorted by weight-age in default searches. More the weight-age, higher the product will appear in the list.","Os produtos serão classificados por peso em buscas padrão. Maior o peso, mais alto o produto irá aparecer na lista."
Profile,Perfil
Profile Control,Controle de Perfil
Profile Defaults,Padrões de Perfil
Profile Represents a User in the system.,Perfil representa um usuário no sistema.
Program / Seminar Title,Programa / Título do Seminário
Project,Projeto
Project Activity,Atividade do Projeto
Project Activity Update,Atualização da Atividade do Projeto
Project Control,Controle de Projeto
Project Costing,Custo do Projeto
Project Details,Detalhes do Projeto
Project Milestone,Marco do Projeto
Project Milestones,Marcos do Projeto
Project Name,Nome do Projeto
Project Start Date,Data de início do Projeto
Project Tasks,Tarefas do Projeto
Project Type,Tipo de Projeto
Project Value,Valor do Projeto
Project activity / task.,Atividade / tarefa do projeto.
Project master.,Cadastro de Projeto.
Project will get saved and will be searchable with project name given,O Projeto será salvo e poderá ser pesquisado através do nome dado
Projected Qty,Qtde. Projetada
Projects,Projetos
Projects Home,Início de Projetos
Prompt email sending to customers and suppliers,E-mail Prompt envio a clientes e fornecedores
Prompt for Email on Submission of,Solicitar e-mail no envio da
Properties,Propriedades
Property,Propriedade
Property Setter,Setter propriedade
Property Setter overrides a standard DocType or Field property,Setter propriedade substitui uma propriedade DocType ou Campo padrão
Property Type,Tipo de propriedade
Provide email id registered in company,Fornecer Endereço de E-mail registrado na empresa
Public,Público
Published,Publicado
Pull Emails from the Inbox and attach them as Communication records (for known contacts).,Puxar e-mails da caixa de entrada e anexe-os como registros de comunicação (para contatos conhecidos).
Pull Opportunity Detail,Puxar Detalhe da oportunidade
Pull Payment Entries,Puxar os lançamentos de pagamento
Pull Purchase Order Details,Puxar Detalhes da Ordem de Compra
Pull Quotation Items,Puxar Itens da cotação
Pull Sales Order Items,Puxar itens da Ordem de Venda
Pull items from Sales Order mentioned in the above table.,Puxar itens da Ordem de Venda mencionada na tabela acima.
Pull sales orders (pending to deliver) based on the above criteria,Puxar as Ordens de Venda (pendentes de entrega) com base nos critérios acima
Pur Order,Ordem Pur
Pur Receipt,Recibo Pur
Purchase,Compras
Purchase Analytics,Análise de compras
Purchase Common,Compras comum
Purchase Date,Data da compra
Purchase Details,Detalhes da compra
Purchase Discounts,Descontos da compra
Purchase Document No,Nº do Documento de Compra
Purchase Document Type,Tipo do Documento de Compra
Purchase Invoice,Nota Fiscal de Compra
Purchase Invoice Advance,Antecipação da Nota Fiscal de Compra
Purchase Invoice Advances,Antecipações da Nota Fiscal de Compra
Purchase Invoice Item,Item da Nota Fiscal de Compra
Purchase Order,Ordem de Compra
Purchase Order Date,Data da Ordem de Compra
Purchase Order Item,Item da Ordem de Compra
Purchase Order Item No,Nº do Item da Ordem de Compra
Purchase Order Item Supplied,Item da Ordem de Compra fornecido
Purchase Order Items,Itens da Ordem de Compra
Purchase Order Items Supplied,Itens da Ordem de Compra fornecidos
Purchase Order Items To Be Received,Comprar itens para ser recebido
Purchase Order Message,Mensagem da Ordem de Compra
Purchase Order Required,Ordem de Compra Obrigatória
Purchase Order sent by customer,Ordem de Compra enviada pelo cliente
Purchase Orders given to Suppliers.,Ordens de Compra dadas a fornecedores.
Purchase Receipt,Recibo de Compra
Purchase Receipt Item,Item do Recibo de Compra
Purchase Receipt Item Supplied,Item do Recibo de Compra Fornecido
Purchase Receipt Item Supplieds,Item do Recibo de Compra Fornecido
Purchase Receipt Items,Itens do Recibo de Compra
Purchase Receipt Message,Mensagem do Recibo de Compra
Purchase Receipt No,Nº do Recibo de Compra
Purchase Receipt Required,Recibo de Compra Obrigatório
Purchase Request,Pedido de Compra
Purchase Request Item,Item do Pedido de Compra
Purchase Requisition Details,Detalhes da Pedido de Compra
Purchase Return,Devolução de Compra
Purchase Returned,Compra Devolvida
Purchase Returns,Devoluções de Compra
Purchase Taxes and Charges,Impostos e Encargos sobre Compras
Purchase Taxes and Charges Master,Cadastro de Impostos e Encargos sobre Compras
Purpose,Finalidade
Purpose must be one of ,Finalidade deve ser um dos
QA Inspection,Inspeção QA
QA No,Nº QA
QAI/11-12/,QAI/11-12 /
QTN,QTN
Qty,Qtde.
Qty Consumed Per Unit,Qtde. consumida por unidade
Qty To Manufacture,Qtde. Para Fabricação
Qty as per Stock UOM,Qtde. como por UDM de estoque
Qualification,Qualificação
Quality,Qualidade
Quality Inspection,Inspeção de Qualidade
Quality Inspection Parameters,Parâmetros da Inspeção de Qualidade
Quality Inspection Reading,Leitura da Inspeção de Qualidade
Quality Inspection Readings,Leituras da Inspeção de Qualidade
Quantity,Quantidade
Quantity Requested for Purchase,Quantidade Solicitada para Compra
Quantity already manufactured,Quantidade já fabricada
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,Quantidade do item obtido após a fabricação / reembalagem a partir de determinadas quantidades de matéria-prima
Quantity should be equal to Manufacturing Quantity. ,Quantidade deve ser igual à Quantidade de Fabricação.
Quarter,Trimestre
Quarterly,Trimestral
Query,Consulta
Query Options,Opções de Consulta
Query Report,Relatório da Consulta
Query must be a SELECT,Consulta deve ser um SELECT
Question,Pergunta
Quick Help for Setting Permissions,Ajuda rápida para Configurar Permissões
Quick Help for User Properties,Ajuda rápida para Propriedades do Usuário
Quotation,Cotação
Quotation Date,Data da Cotação
Quotation Item,Item da Cotação
Quotation Items,Itens da Cotação
Quotation Lost Reason,Razão da perda da Cotação
Quotation Message,Mensagem da Cotação
Quotation No,Nº da Cotação
Quotation No.,Nº da Cotação.
Quotation Sent,Cotação Enviada
Quotation To,Cotação para
Quotation no against which this Sales Order is made ,Nº da Cotação contra a qual esta Ordem de Venda é feita
Quotes to Leads or Customers.,Cotações para Prospectos ou Clientes.
Raise Exception,Levantar Exceção
Raise Material Request,Levante solicitar material
Raise Material Request when stock reaches re-order level,Levante solicitar material quando o estoque atinge novo pedido de nível
Raise Production Order,Levantar Ordem de Produção
Raised By,Levantadas por
Raised By (Email),Levantadas por (e-mail)
Random,Aleatório
Range,Alcance
Rate,Taxa
Rate ,Taxa
Rate Of Materials Based On,Taxa de materiais com base em
Rate at which Customer Currency is converted to customer's base currency,Taxa na qual a moeda do cliente é convertida para a moeda base do cliente
Rate at which Price list currency is converted to company's base currency,Taxa na qual a moeda da lista de preços é convertida para a moeda base da empresa
Rate at which Price list currency is converted to customer's base currency,Taxa na qual a moeda da lista de preços é convertida para a moeda base do cliente
Rate at which customer's currency is converted to company's base currency,Taxa na qual a moeda do cliente é convertida para a moeda base da empresa
Rate at which supplier's currency is converted to company's base currency,Taxa na qual a moeda do fornecedor é convertida para a moeda base da empresa
Rate at which this tax is applied,Taxa em que este imposto é aplicado
Rate*,Taxa*
Raw Material Details,Detalhes de Materias-Primas
Raw Material Item Code,Código de Item de Matérias-Primas
Raw Materials Supplied Cost,Custo de fornecimento de Matérias-Primas
Re-Calculate Values,Re-calcular valores
Re-Order Level,Nível para novo pedido
Re-Order Qty,Qtde. para novo pedido
Re-order,Re-vista
Re-order Level,Re fim-Level
Re-order Qty,Re-vista Qtde
Read,Ler
Read Only,Somente leitura
Reading 1,Leitura 1
Reading 10,Leitura 10
Reading 2,Leitura 2
Reading 3,Leitura 3
Reading 4,Leitura 4
Reading 5,Leitura 5
Reading 6,Leitura 6
Reading 7,Leitura 7
Reading 8,Leitura 8
Reading 9,Leitura 9
Reason,Motivo
Reason for Leaving,Motivo da saída
Reason for Resignation,Motivo para Demissão
Recalculate,Recalcular
Recd Quantity,Quantidade Recebida
Receivables,Recebíveis
Receivables Group,Grupo de recebíveis
Received Date,Data de recebimento
Received Qty,Qtde. recebida
Receiver List,Lista de recebedores
Receiver Name,Nome do recebedor
Receiver Parameter,Parâmetro do recebedor
Recent,Recente
Recipient,Destinatário
Recipients,Destinatários
Reconciliation Data,Dados de reconciliação
Reconciliation HTML,Reconciliação HTML
Reconciliation JSON,Reconciliação JSON
Recurring Id,Id recorrente
Recurring Invoice,Nota Fiscal Recorrente
Recurring Type,Tipo de recorrência
Ref Code,Código de Ref.
Ref Doc should be submitted?,Doc de Ref. deve ser enviado?
Ref DocType,DocType de Ref.
Ref Name,Nome de Ref.
Ref Rate,Taxa de Ref.
Ref Rate ,Taxa de Ref.
Ref Rate*,* Taxa de Ref.
Ref SQ,Ref SQ
Ref Type,Tipo de Ref.
Reference,Referência
Reference Date,Data de Referência
Reference DocType Key,Referência DocType chave
Reference Docname Key,Referência Docname chave
Reference Name,Nome de Referência
Reference Number,Número de Referência
Reference Type,Tipo de Referência
Refresh,Atualizar
Registration Details,Detalhes de Registro
Registration Info,Informações do Registro
Reject HTML,Rejeitar HTML
Rejected,Rejeitado
Rejected Quantity,Quantidade rejeitada
Rejected Serial No,Nº de Série Rejeitado
Rejected Warehouse,Almoxarifado Rejeitado
Related Page,Página Relacionada
Relation,Relação
Relieving Date,Data da Liberação
Remark,Observação
Remarks,Observações
Remove,Remover
Remove Bookmark,Remover Bookmark
Rename,Renomear
Rename Tool,Ferramenta de Renomear
Rented,Alugado
Repeat on Day of Month,Repita no Dia do Mês
Replace,Substituir
Replace Item / BOM in all BOMs,Substituir item / LDM em todas as LDMs
"Replace a particular BOM in all other BOMs where it is used. It will replace the old BOM link, update cost and regenerate ""BOM Explosion Item"" table as per new BOM","Substituir uma LDM específica em todas as LDMs outros onde ela é usada. Isso irá substituir o link da LDM antiga, atualizar o custo e regenerar a tabela &quot;Item de Explosão da LDM&quot; com a nova LDM"
Replied,Respondeu
Report,Relatório
Report Builder,Report Builder
Report Builder reports are managed directly by the report builder. Nothing to do.,Os relatórios do Report Builder são gerenciados diretamente pelo construtor relatório. Nada a fazer.
Report Date,Data do Relatório
Report Hide,Ocultar Relatório
Report Name,Nome do Relatório
Report Script,Script do relatório
Report Server Script,Script do Servidor de Relatório
Report Type,Tipo de relatório
Report was not saved (there were errors),O Relatório não foi salvo (houve erros)
Reports,Relatórios
Reports to,Relatórios para
Represents the states allowed in one document and role assigned to change the state.,Representa os estados permitidos em um documento a função atribuída a alterações do estado.
Reqd,Requerido
Reqd By Date,Requisições Por Data
Request Material for Transfer or Purchase.,Material para solicitar transferência ou compra.
Request Type,Tipo de Solicitação
Request for Information,Pedido de Informação
Request for purchase.,Pedido de Compra.
Requested By,Solicitado por
Required By,Exigido por
Required Date,Data Obrigatória
Required Qty,Quantidade requerida
Required only for sample item.,Necessário apenas para o item de amostra.
Required raw materials issued to the supplier for producing a sub - contracted item.,Matérias-primas necessárias emitidas para o fornecedor para a produção de um item sub-contratado.
Reseller,Revendedor
Reserved Quantity,Quantidade Reservada
Reserved Warehouse,Almoxarifado Reservado
Resignation Letter Date,Data da carta de demissão
Resolution,Resolução
Resolution Date,Data da Resolução
Resolution Details,Detalhes da Resolução
Resolved By,Resolvido por
Restrict IP,Restringir IP
Restrict submission rights based on amount,Restringir direitos de envio com base no valor
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),Restringir usuário a partir deste endereço IP. Vários endereços IP podem ser adicionados ao separar com vírgulas. São aceitos também endereços IP parciais como (111.111.111)
Restricting By User,Restringindo por Usuário
Retailer,Varejista
Return Date,Data de retorno
Return Type,Tipo de retorno
Returned Qty,Qtde. retornada
Review Date,Data da Revisão
Rgt,Dir.
Right,Direito
Role,Função
Role Name,Nome da Função
Roles,Funções
Roles Assigned,Funções atribuídas
Roles Assigned To User,Funções atribuídas ao Usuário
Roles HTML,Funções HTML
Rounded Total,Total arredondado
Rounded Total (Export),Total arredondado (Exportação)
Row,Linha
Row #,Linha #
Row # ,Linha #
Rule Definition,Definição da regra
Rule Name,Nome da regra
Rule Priority,Prioridade da regra
Rule Status,Estado da regra
Rules defining transition of state in the workflow.,Regras que definem a transição de estado no fluxo de trabalho.
