 (Half Day),(Полудневни)
Lead Type,Олово Тип
Leave Allocation,Оставите Алокација
Leave Allocation Tool,Оставите Тоол доделе
Leave Application,Оставите апликацију
Leave Approver,Оставите Аппровер
Leave Approver can be one of,Оставите одобраватељ може бити један од
Leave Approvers,Оставите Аппроверс
Leave Balance Before Application,Оставите биланс Пре пријаве
Leave Block List,Оставите Блоцк Лист
Leave Block List Allow,Оставите листу блокираних Аллов
Leave Block List Allowed,Оставите Блоцк Лист Дозвољени
Leave Block List Date,Оставите Датум листу блокираних
Leave Block List Dates,Оставите Датуми листу блокираних
Leave Block List Name,Оставите Име листу блокираних
Leave Blocked,Оставите Блокирани
Leave Control Panel,Оставите Цонтрол Панел
Leave Encashed?,Оставите Енцасхед?
Leave Encashment Amount,Оставите Износ Енцасхмент
Leave Setup,Оставите Сетуп
Leave Type,Оставите Вид
Leave Type Name,Оставите Име Вид
Leave Without Pay,Оставите Без плате
Leave allocations.,Оставите алокације.
Leave blank if considered for all branches,Оставите празно ако се сматра за све гране
Leave blank if considered for all departments,Оставите празно ако се сматра за сва одељења
Leave blank if considered for all designations,Оставите празно ако се сматра за све ознакама
Leave blank if considered for all employee types,Оставите празно ако се сматра за све типове запослених
Leave blank if considered for all grades,Оставите празно ако се сматра за све разреде
Leave blank if you have not decided the end date.,Оставите празно ако нисте одлучили крајњи датум.
Leave by,Оставите по
"Leave can be approved by users with Role, ""Leave Approver""",Оставите може бити одобрен од стране корисника са улогом &quot;Оставите Аппровер&quot;
Ledger,Надгробна плоча
Left,Лево
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,Правно лице / Подружница са посебном контном припадају организацији.
Letter Head,Писмо Глава
Letter Head Image,Писмо Глава Имаге
Letter Head Name,Писмо Глава Име
Level,Ниво
"Level 0 is for document level permissions, higher levels for field level permissions.","Ниво 0 је за дозволе нивоу документа, вишим нивоима за дозвола на терену."
Lft,ЛФТ
Link,Линк
Link to other pages in the side bar and next section,Линк ка другим страницама у бочној траци и наредне секција
Linked In Share,Линкед Ин Схаре
Linked With,Повезан са
List,Списак
List items that form the package.,Листа ствари које чине пакет.
List of holidays.,Списак празника.
List of patches executed,Списак закрпа извршених
List of records in which this document is linked,Списак књига у којима су повезани овај документ
List of users who can edit a particular Note,Листа корисника који може да измени одређене белешке
List this Item in multiple groups on the website.,Наведи ову ставку у више група на сајту.
Live Chat,Ливе Цхат
Load Print View on opening of an existing form,Учитај Погледај штампани о отварању постојеће форме
Loading,Утовар
Loading Report,Учитавање извештај
Log,Лог
"Log of Activities performed by users against Tasks that can be used for tracking time, billing.","Лог послова које корисници против задатке који се могу користити за праћење времена, наплате."
Log of Scheduler Errors,Дневник планер грешака
Login After,Пријава После
Login Before,Пријава Пре
Login Id,Пријава Ид
Logo,Лого
Logout,Одјава
Long Text,Дуго Текст
Lost Reason,Лост Разлог
Low,Низак
Lower Income,Доња прихода
Lucida Grande,Луцида Гранде
MIS Control,МИС Контрола
MREQ-,МРЕК-
MTN Details,МТН Детаљи
Mail Footer,Пошта подножје
Mail Password,Маил Пассворд
Mail Port,Пошта Порт
Mail Server,Маил Сервер
Main Reports,Главни Извештаји
Main Section,Главни Секција
Maintain Same Rate Throughout Sales Cycle,Одржавајте исту стопу Широм продајног циклуса
Maintain same rate throughout purchase cycle,Одржавајте исту стопу током куповине циклуса
Maintenance,Одржавање
Maintenance Date,Одржавање Датум
Maintenance Details,Одржавање Детаљи
Maintenance Schedule,Одржавање Распоред
Maintenance Schedule Detail,Одржавање Распоред Детаљ
Maintenance Schedule Item,Одржавање Распоред шифра
Maintenance Schedules,Планове одржавања
Maintenance Status,Одржавање статус
Maintenance Time,Одржавање време
Maintenance Type,Одржавање Тип
Maintenance Visit,Одржавање посета
Maintenance Visit Purpose,Одржавање посета Сврха
Major/Optional Subjects,Мајор / Опциони предмети
Make Bank Voucher,Направите ваучер Банк
Make Difference Entry,Направите унос Дифференце
Make Time Log Batch,Направите Батцх тиме лог
Make a new,Направите нови
Make sure that the transactions you want to restrict have a Link field 'territory' that maps to a 'Territory' master.,Уверите се да су трансакције желите да ограничите имају &#39;територију&#39; линком поља која мапира на &quot;Територија&quot; господара.
Male,Мушки
Manage cost of operations,Управљање трошкове пословања
Manage exchange rates for currency conversion,Управљање курсеве за конверзију валута
Mandatory,Обавезан
"Mandatory if Stock Item is ""Yes"". Also the default warehouse where reserved quantity is set from Sales Order.","Обавезно ако лагеру предмета је &quot;Да&quot;. Такође, стандардна складиште у коме је резервисано количина постављен од продајних налога."
Manufacture against Sales Order,Производња против налога за продају
Manufacture/Repack,Производња / препаковати
Manufactured Qty,Произведено Кол
Manufactured quantity will be updated in this warehouse,Произведено количина ће бити ажурирани у овом складишту
Manufacturer,Произвођач
Manufacturer Part Number,Произвођач Број дела
Manufacturing,Производња
Manufacturing Quantity,Производња Количина
Margin,Маржа
Marital Status,Брачни статус
Market Segment,Сегмент тржишта
Married,Ожењен
Mass Mailing,Масовна Маилинг
Master,Мајстор
Master Name,Мастер Име
Master Type,Мастер Тип
Masters,Мајстори
Match,Меч
Match non-linked Invoices and Payments.,Матцх нису повезане фактурама и уплатама.
Material Issue,Материјал Издање
Material Receipt,Материјал Пријем
Material Request,Материјал Захтев
Material Request Date,Материјал Захтев Датум
Material Request Detail No,Материјал Захтев Детаљ Нема
Material Request For Warehouse,Материјал Захтев за магацине
Material Request Item,Материјал Захтев шифра
Material Request Items,Материјални захтева Артикли
Material Request No,Материјал Захтев Нема
Material Request Type,Материјал Врста Захтева
Material Request used to make this Stock Entry,Материјал Захтев се користи да би овај унос Стоцк
Material Requirement,Материјал Захтев
Material Transfer,Пренос материјала
Materials,Материјали
Materials Required (Exploded),Материјали Обавезно (Екплодед)
Max 500 rows only.,Мак 500 редова једини.
Max Attachments,Мак Прилози
Max Days Leave Allowed,Мак Дани Оставите животиње
Max Discount (%),Максимална Попуст (%)
"Meaning of Submit, Cancel, Amend","Значење Субмит, Цанцел, Допунити"
Medium,Средњи
"Menu items in the Top Bar. For setting the color of the Top Bar, go to <a href=""#Form/Style Settings"">Style Settings</a>","Ставке менија у врху. За подешавање боје на горњој траци, идите на <a href=""#Form/Style Settings"">подешавања стила</a>"
Merge,Спојити
Merge Into,Се стопи у
Merge Warehouses,Обједињавање складиштима
Merging is only possible between Group-to-Group or 					Ledger-to-Ledger,Спајање је могуће само између групе-у-групи или регистар-то-Леџер
"Merging is only possible if following \					properties are same in both records.					Group or Ledger, Debit or Credit, Is PL Account","Спајање је могуће само ако је после \ својства су иста у оба записа. Група или Леџер, дебитна или кредитна, ПЛ је налог"
Message,Порука
Message Parameter,Порука Параметар
Messages greater than 160 characters will be split into multiple messages,Порука већи од 160 карактера ће бити подељен на више Упис
Messages,Поруке
Method,Метод
Middle Income,Средњи приход
Middle Name (Optional),Средње име (опционо)
Milestone,Прекретница
Milestone Date,Милестоне Датум
Milestones,Прекретнице
Milestones will be added as Events in the Calendar,Прекретнице ће бити додат као Догађаји у календару
Millions,Милиони
Min Order Qty,Минимална количина за поручивање
Minimum Order Qty,Минимална количина за поручивање
Misc,Остало
Misc Details,Остало Детаљи
Miscellaneous,Разноличан
Miscelleneous,Мисцелленеоус
Mobile No,Мобилни Нема
Mobile No.,Мобиле Но
Mode of Payment,Начин плаћања
Modern,Модеран
Modified Amount,Измењено Износ
Modified by,Изменио
Module,Модул
Module Def,Модул Деф
Module Name,Модуле Наме
Modules,Модули
Monday,Понедељак
Month,Месец
Monthly,Месечно
Monthly Attendance Sheet,Гледалаца Месечни лист
Monthly Earning & Deduction,Месечна зарада и дедукције
Monthly Salary Register,Месечна плата Регистрација
Monthly salary statement.,Месечна плата изјава.
Monthly salary template.,Месечна плата шаблон.
More,Више
More Details,Више детаља
More Info,Више информација
More content for the bottom of the page.,Више садржаја за дну странице.
Moving Average,Мовинг Авераге
Moving Average Rate,Мовинг Авераге рате
Mr,Господин
Ms,Мс
Multiple Item Prices,Вишеструки Итем Цене
Multiple root nodes not allowed.,Вишеструки корена чворови нису дозвољени.
Mupltiple Item prices.,Муплтипле Итем цене.
Must be Whole Number,Мора да буде цео број
Must have report permission to access this report.,Мора да има дозволу извештај да приступите овом извештају.
Must specify a Query to run,Морате навести упит за покретање
My Settings,Моја подешавања
NL-,НЛ-
Name,Име
Name Case,Име Цасе
Name and Description,Име и опис
Name and Employee ID,Име и број запослених
Name as entered in Sales Partner master,"Име, као ушао у продаји партнера мастер"
Name is required,Име је обавезно
Name of organization from where lead has come,Назив организације одакле је дошао олово
Name of person or organization that this address belongs to.,Име особе или организације која је ова адреса припада.
Name of the Budget Distribution,Име дистрибуције буџета
Name of the entity who has requested for the Material Request,Име ентитета који је тражио за материјал захтеву
Naming,Именовање
Naming Series,Именовање Сериес
Naming Series mandatory,Именовање Сериес обавезно
Negative balance is not allowed for account ,Негативан салдо није дозвољено за рачун
Net Pay,Нето плата
Net Pay (in words) will be visible once you save the Salary Slip.,Нето плата (у речи) ће бити видљив када сачувате Слип плату.
Net Total,Нето Укупно
Net Total (Company Currency),Нето Укупно (Друштво валута)
Net Weight,Нето тежина
Net Weight UOM,Тежина УОМ
Net Weight of each Item,Тежина сваког артикла
Net pay can not be negative,Нето плата не може бити негативна
Never,Никад
New,Нови
New BOM,Нови БОМ
New Communications,Нова Цоммуницатионс
New Delivery Notes,Нове испоруке Белешке
New Enquiries,Нови Упити
New Leads,Нови Леадс
New Leave Application,Нова апликација одсуство
New Leaves Allocated,Нови Леавес Издвојена
New Leaves Allocated (In Days),Нове Лишће Издвојена (у данима)
New Material Requests,Нови материјал Захтеви
New Password,Нова лозинка
New Projects,Нови пројекти
New Purchase Orders,Нове наруџбеницама
New Purchase Receipts,Нове Куповина Примици
New Quotations,Нове Цитати
New Record,Нови Рекорд
New Sales Orders,Нове продајних налога
New Stock Entries,Нове Стоцк Ентриес
New Stock UOM,Нова берза УОМ
New Supplier Quotations,Новог добављача Цитати
New Support Tickets,Нова Суппорт Тицкетс
New Workplace,Новом радном месту
New value to be set,Нова вредност коју треба подесити
Newsletter,Билтен
Newsletter Content,Билтен Садржај
Newsletter Status,Билтен статус
"Newsletters to contacts, leads.","Билтене контактима, води."
Next Communcation On,Следећа Цоммунцатион На
Next Contact By,Следеће Контакт По
Next Contact Date,Следеће Контакт Датум
Next Date,Следећи датум
Next State,Следећа држава
Next actions,Следеће акције
Next email will be sent on:,Следећа порука ће бити послата на:
No,Не
"No Account found in csv file, 							May be company abbreviation is not correct","Нема рачуна наћи у ЦСВ датотеке, може бити компанија скраћеница се не исправи"
No Action,Нема Акција
No Communication tagged with this ,Не Комуникација означена са овим
No Copy,Нема копирања
No Customer Accounts found. Customer Accounts are identified based on \			'Master Type' value in account record.,Нема купаца Рачуни. Кориснички рачуни су идентификовани на основу вредности \ &#39;типа&#39; Мастер у обзир запису.
No Item found with Barcode,Ниједан предмет пронађена Барцоде
No Items to Pack,Нема огласа за ПАЦК
No Leave Approvers. Please assign 'Leave Approver' Role to atleast one user.,Не Оставите Аппроверс. Молимо доделити &#39;Оставите Аппровер улогу да атлеаст један корисник.
No Permission,Без дозвола
No Permission to ,Немате дозволу за
No Permissions set for this criteria.,Нема Дозволе сет за овим критеријумима.
No Report Loaded. Please use query-report/[Report Name] to run a report.,Не Извештај Лоадед. Молимо Вас да користите упит-извештај / [извештај Име] да покренете извештај.
No Supplier Accounts found. Supplier Accounts are identified based on \			'Master Type' value in account record.,Нема Супплиер Рачуни. Добављач Рачуни су идентификовани на основу вредности \ &#39;типа&#39; Мастер у обзир запису.
No User Properties found.,Нема корисника Некретнине пронађен.
No default BOM exists for item: ,Не постоји стандардна БОМ ставке:
No further records,Нема даљих евиденција
No of Requested SMS,Нема тражених СМС
No of Sent SMS,Број послатих СМС
No of Visits,Број посета
No one,Нико
No permission to write / remove.,Немате дозволу за писање / уклони.
No record found,Нема података фоунд
No records tagged.,Нема података означени.
No salary slip found for month: ,Нема плата за месец пронађен клизање:
"No table is created for Single DocTypes, all values are stored in tabSingles as a tuple.","Није сто је направљен за појединачне ДоцТипес, све вредности се чувају у табСинглес као торка."
None,Ниједан
None: End of Workflow,Ништа: Крај Воркфлов
Not,Не
Not Active,Није пријављен
Not Applicable,Није применљиво
Not Billed,Није Изграђена
Not Delivered,Није Испоручено
Not Found,Није пронађено
Not Linked to any record.,Није повезано са било запис.
Not Permitted,Није дозвољено
Not allowed for: ,Није дозвољено:
Not enough permission to see links.,Није довољно дозволу да виде линкове.
Not in Use,Ван употребе
Not interested,Нисам заинтересован
Not linked,Није повезан
Note,Приметити
Note User,Напомена Корисник
Note is a free page where users can share documents / notes,Напомена је бесплатна страница на којој корисници могу да деле документе / Нотес
"Note: Backups and files are not deleted from Dropbox, you will have to delete them manually.","Напомена: Резервне копије и датотеке се не бришу из Дропбок, мораћете да их обришете ручно."
"Note: Backups and files are not deleted from Google Drive, you will have to delete them manually.","Напомена: Резервне копије и датотеке се не бришу из Гоогле Дриве, мораћете да их обришете ручно."
Note: Email will not be sent to disabled users,Напомена: Е-маил неће бити послат са инвалидитетом корисницима
"Note: For best results, images must be of the same size and width must be greater than height.","Напомена: За најбоље резултате, слике морају бити исте величине и ширине мора бити већа од висине."
Note: Other permission rules may also apply,Напомена: Остале дозвола правила могу да се примењују
Note: You Can Manage Multiple Address or Contacts via Addresses & Contacts,Напомена: Можете да управљате са више адреса или контакте преко адресе и контакти
Note: maximum attachment size = 1mb,Напомена: максимална величина прилога = 1мб
Notes,Белешке
Nothing to show,Ништа да покаже
Notice - Number of Days,Обавештење - Број дана
Notification Control,Обавештење Контрола
Notification Email Address,Обавештење е-маил адреса
Notify By Email,Обавестити путем емаила
Notify by Email on creation of automatic Material Request,Обавестити путем емаила на стварању аутоматског материјала захтеву
Number Format,Број Формат
O+,О +
O-,О-
OPPT,ОППТ
Office,Канцеларија
Old Parent,Стари Родитељ
On,На
On Net Total,Он Нет Укупно
On Previous Row Amount,На претходни ред Износ
On Previous Row Total,На претходни ред Укупно
"Once you have set this, the users will only be able access documents with that property.","Када сте поставили ово, корисници ће бити у могућности приступа документима са том имовином."
Only Administrator allowed to create Query / Script Reports,Само администратор дозвољено да створе Упит / Сцрипт Репортс
Only Administrator can save a standard report. Please rename and save.,Само администратор може да спаси стандардног извештаја. Молимо преименовати и сачувати.
Only Allow Edit For,Само Дозволи Едит За
Only Stock Items are allowed for Stock Entry,Само залихама дозвољено за улазак стока
Only System Manager can create / edit reports,Само Систем Манагер можете да креирате / едит извештаје
Only leaf nodes are allowed in transaction,Само листа чворови су дозвољени у трансакцији
Open,Отворено
Open Sans,Отворене Санс
Open Tickets,Отворене Улазнице
Opening Date,Датум отварања
Opening Entry,Отварање Ентри
Opening Time,Радно време
Opening for a Job.,Отварање за посао.
Operating Cost,Оперативни трошкови
Operation Description,Операција Опис
Operation No,Операција Нема
Operation Time (mins),Операција време (минуте)
Operations,Операције
Opportunity,Прилика
Opportunity Date,Прилика Датум
Opportunity From,Прилика Од
Opportunity Item,Прилика шифра
Opportunity Items,Оппортунити Артикли
Opportunity Lost,Прилика Лост
Opportunity Type,Прилика Тип
Options,Опције
Options Help,Опције Помоћ
Order Confirmed,Налог Потврђена
Order Lost,Налог Лост
Order Type,Врста поруџбине
Ordered Items To Be Billed,Ж артикала буду наплаћени
Ordered Items To Be Delivered,Ж Ставке да буде испоручена
Ordered Quantity,Наручено Количина
Orders released for production.,Поруџбине пуштен за производњу.
Organization Profile,Организација Профил
Original Message,Оригинал Мессаге
Other,Други
Other Details,Остали детаљи
Out,Напоље
Out of AMC,Од АМЦ
Out of Warranty,Од гаранције
Outgoing,Друштвен
Outgoing Mail Server,Оутгоинг маил сервер
Outgoing Mails,Одлазни Маилс
Outstanding Amount,Изванредна Износ
Outstanding for Voucher ,Изванредна за ваучер
Over Heads,Над главама
Overhead,Преко главе
Overlapping Conditions found between,Преклапање Услови налази између
Owned,Овнед
PAN Number,ПАН Број
PF No.,ПФ број
PF Number,ПФ број
PI/2011/,ПИ/2011 /
PIN,ПИН
PO,ПО
POP3 Mail Server,ПОП3 Маил Сервер
POP3 Mail Server (e.g. pop.gmail.com),ПОП3 Маил Сервер (нпр. поп.гмаил.цом)
POP3 Mail Settings,ПОП3 Маил подешавања
POP3 mail server (e.g. pop.gmail.com),ПОП3 маил сервера (нпр. поп.гмаил.цом)
POP3 server e.g. (pop.gmail.com),ПОП3 сервер нпр (поп.гмаил.цом)
POS Setting,ПОС Подешавање
POS View,ПОС Погледај
PR Detail,ПР Детаљ
PRO,ПРО
PS,ПС
Package Item Details,Пакет Детаљи артикла
Package Items,Пакет Артикли
Package Weight Details,Пакет Тежина Детаљи
Packing Details,Паковање Детаљи
Packing Detials,Паковање детиалс
Packing List,Паковање Лист
Packing Slip,Паковање Слип
Packing Slip Item,Паковање Слип Итем
Packing Slip Items,Паковање слип ставке
Packing Slip(s) Cancelled,Отпремници (а) Отказан
Page,Страна
Page Background,Страница Позадина
Page Border,Ивица странице
Page Break,Страна Пауза
Page HTML,Страна ХТМЛ
Page Headings,Заглавља
Page Links,Страница Линкови
Page Name,Страница Име
Page Role,Страна Улога
Page Text,Текст странице
Page content,Садржај странице
Page not found,Страница није пронађена
Page text and background is same color. Please change.,Страна текста и позадине је иста боја. Молимо Вас да промените.
Page to show on the website,Страница за приказивање на сајту
"Page url name (auto-generated) (add "".html"")",Паге урл име (ауто-генерисани) (адд &quot;хтмл&quot;).
Paid Amount,Плаћени Износ
Parameter,Параметар
Parent Account,Родитељ рачуна
Parent Cost Center,Родитељ Трошкови центар
Parent Customer Group,Родитељ групу потрошача
Parent Detail docname,Родитељ Детаљ доцнаме
Parent Item,Родитељ шифра
Parent Item Group,Родитељ тачка Група
Parent Label,Родитељ Лабел
Parent Sales Person,Продаја Родитељ Особа
Parent Territory,Родитељ Територија
Parent is required.,Родитељ је потребно.
Parenttype,Паренттипе
Partially Completed,Дјелимично Завршено
Participants,Учесници
Partly Billed,Делимично Изграђена
Partly Delivered,Делимично Испоручено
Partner Target Detail,Партнер Циљна Детаљ
Partner Type,Партнер Тип
Partner's Website,Партнер аутора
Passive,Пасиван
Passport Number,Пасош Број
Password,Шифра
Password Expires in (days),Лозинка Истиче у (дана)
Patch,Закрпа
Patch Log,Патцх Пријава
Pay To / Recd From,Плати Да / Рецд Од
Payables,Обавезе
Payables Group,Обавезе Група
Payment Collection With Ageing,Са наплате старењу
Payment Days,Дана исплате
Payment Entries,Платни Ентриес
Payment Entry has been modified after you pulled it. 			Please pull it again.,Плаћање Улаз је измењена након што је извукао. Молимо повуците га поново.
Payment Made With Ageing,Плаћање Маде Витх старењу
Payment Reconciliation,Плаћање помирење
Payment Terms,Услови плаћања
Payment to Invoice Matching Tool,Плаћање фактуре Матцхинг Тоол
Payment to Invoice Matching Tool Detail,Плаћање фактуре Матцхинг Тоол Детаљ
Payments,Исплате
Payments Made,Исплате Маде
Payments Received,Уплате примљене
Payments made during the digest period,Плаћања извршена током периода дигест
Payments received during the digest period,Исплаћују током периода од дигест
Payroll Setup,Платне Сетуп
Pending,Нерешен
Pending Review,Чека критику
Pending SO Items For Purchase Request,Чекању СО Артикли за куповину захтеву
Percent,Проценат
Percent Complete,Проценат Комплетна
Percentage Allocation,Проценат расподеле
Percentage Allocation should be equal to ,Проценат расподеле треба да буде једнака
Percentage variation in quantity to be allowed while receiving or delivering this item.,Проценат варијација у количини да буде дозвољено док прима или пружа ову ставку.
Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,Проценат вам је дозвољено да примају или испоручи више од количине наредио. На пример: Ако сте наредили 100 јединица. и ваш додатак је 10% онда вам је дозвољено да примају 110 јединица.
Performance appraisal.,Учинка.
Period Closing Voucher,Период Затварање ваучера
Periodicity,Периодичност
Perm Level,Перм ниво
Permanent Accommodation Type,Стални Тип смештаја
Permanent Address,Стална адреса
Permission,Дозвола
Permission Level,Дозвола Ниво
Permission Levels,Нивои дозвола
Permission Manager,Дозвола Менаџер
Permission Rules,Правила дозвола
Permissions,Дозволе
Permissions Settings,Дозволе Подешавања
Permissions are automatically translated to Standard Reports and Searches,Дозволе су аутоматски преведени на стандардних извештаја и претрагама
"Permissions are set on Roles and Document Types (called DocTypes) by restricting read, edit, make new, submit, cancel, amend and report rights.","Дозволе су постављени на улога и врсте докумената (зове ДоцТипес) ограничавањем читање, уређивање, направити нови, поднесе, отказивање, мења и извештај права."
Permissions at higher levels are 'Field Level' permissions. All Fields have a 'Permission Level' set against them and the rules defined at that permissions apply to the field. This is useful incase you want to hide or make certain field read-only.,Дозволе на вишим нивоима су &#39;на терену&#39; дозволе. Сва поља су поставили &#39;ниво дозволе &quot;против њих и правилима дефинисаним у то дозволе важе на терен. Ово је корисно обложити желите да сакријете или направити одређену област само за читање.
"Permissions at level 0 are 'Document Level' permissions, i.e. they are primary for access to the document.","Дозволе на нивоу 0 су &quot;нивоу документа&quot; дозволе, односно они су примарни за приступ документу."
Permissions translate to Users based on what Role they are assigned,Дозволе превести Корисницима на основу онога што су додељени Улога
Person,Особа
Person To Be Contacted,Особа да буду контактирани
Personal,Лични
Personal Details,Лични детаљи
Personal Email,Лични Е-маил
Phone,Телефон
Phone No,Тел
Phone No.,Број телефона
Pick Columns,Пицк колоне
Pincode,Пинцоде
Place of Issue,Место издавања
Plan for maintenance visits.,План одржавања посете.
Planned Qty,Планирани Кол
Planned Quantity,Планирана количина
Plant,Биљка
Please Enter Abbreviation or Short Name properly as it will be added as Suffix to all Account Heads.,"Молимо Вас да унесете знак или скраћени назив исправно, јер ће бити додат као суфикса свим налог шефовима."
Please Update Stock UOM with the help of Stock UOM Replace Utility.,Ажурирајте УЦГ Стоцк уз помоћ Акционарског УЦГ Замени Утилити.
Please attach a file first.,Молимо приложите прво датотеку.
Please attach a file or set a URL,Молимо вас да приложите датотеку или поставите УРЛ
Please check,Молимо вас да проверите
Please enter Default Unit of Measure,Унесите јединицу мере Дефаулт
Please enter Delivery Note No or Sales Invoice No to proceed,Унесите Напомена испоруку не продаје Фактура или Не да наставите
Please enter Employee Number,Унесите број запослених
Please enter Expense Account,Унесите налог Екпенсе
Please enter Expense/Adjustment Account,Унесите трошак / Подешавање налога
Please enter Purchase Receipt No to proceed,Унесите фискални рачун Не да наставите
Please enter Reserved Warehouse for item ,Унесите Резервисано складиште за ставку
Please enter valid,Молимо Вас да унесете важећи
Please enter valid ,Молимо Вас да унесете важећи
Please install dropbox python module,Молимо вас да инсталирате Дропбок питон модул
Please make sure that there are no empty columns in the file.,Молимо Вас проверите да нема празних колона у датотеци.
Please mention default value for ',Молимо вас да поменете дефаулт вредност за &#39;
Please reduce qty.,Смањите Кти.
Please refresh to get the latest document.,Освежите да би добили најновије документ.
Please save the Newsletter before sending.,Молимо сачувајте билтен пре слања.
Please select Bank Account,Изаберите банковни рачун
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,Молимо изаберите пренети ако такође желите да укључите претходну фискалну годину је биланс оставља на ову фискалну годину
Please select Date on which you want to run the report,Изаберите датум на који желите да покренете извештај
Please select Naming Neries,Изаберите Именовање Нериес
Please select Price List,Изаберите Ценовник
Please select Time Logs.,Изаберите Дневници време.
Please select a,Изаберите
Please select a csv file,Изаберите ЦСВ датотеку
Please select a file or url,Изаберите фајл или УРЛ
Please select a service item or change the order type to Sales.,Изаберите ставку сервиса или промените врсту налога за продају.
Please select a sub-contracted item or do not sub-contract the transaction.,Изаберите уступани ставку или не под-уговор трансакцију.
Please select a valid csv file with data.,Изаберите важећу ЦСВ датотеку са подацима.
Please select month and year,Изаберите месец и годину
Please select the document type first,Прво изаберите врсту документа
Please select: ,Молимо одаберите:
Please set Dropbox access keys in,Молимо сет Дропбок тастера за приступ у
Please set Google Drive access keys in,Молимо да подесите Гоогле диска тастере приступа у
Please setup Employee Naming System in Human Resource > HR Settings,Молимо сетуп Емплоиее Именовање систем у људске ресурсе&gt; Подешавања ХР
Please specify,Наведите
Please specify Company,Молимо наведите фирму
Please specify Company to proceed,Наведите компанија наставити
Please specify Default Currency in Company Master \			and Global Defaults,Наведите Валуте подразумевајуће у компанији Мастер \ и глобалне Дефаултс
Please specify a,Наведите
Please specify a Price List which is valid for Territory,Наведите ценовник који важи за територију
Please specify a valid,Наведите важећи
Please specify a valid 'From Case No.',Наведите тачну &#39;Од Предмет бр&#39;
Please specify currency in Company,Наведите валуту у компанији
Point of Sale,Поинт оф Сале
Point-of-Sale Setting,Поинт-оф-Сале Подешавање
Post Graduate,Пост дипломски
Post Topic,Пост Тема
Postal,Поштански
Posting Date,Постављање Дате
Posting Date Time cannot be before,Објављивање Датум Време не може бити раније
Posting Time,Постављање Време
Posts,Поруке
Potential Sales Deal,Потенцијал продаје Деал
Potential opportunities for selling.,Потенцијалне могућности за продају.
"Precision for Float fields (quantities, discounts, percentages etc). Floats will be rounded up to specified decimals. Default = 3","Прецизни за Флоат поља (количине, попусти, проценти итд). Плута се заокружује на наведеним децимале. Уобичајено = 3"
Preferred Billing Address,Жељени Адреса за наплату
Preferred Shipping Address,Жељени Адреса испоруке
Prefix,Префикс
Present,Представљање
Prevdoc DocType,Превдоц ДОЦТИПЕ
Prevdoc Doctype,Превдоц ДОЦТИПЕ
Preview,Преглед
Previous Work Experience,Претходно радно искуство
Price,Цена
Price List,Ценовник
Price List Currency,Ценовник валута
Price List Currency Conversion Rate,Ценовник валута Стопа конверзије
Price List Exchange Rate,Цена курсној листи
Price List Master,Ценовник Мастер
Price List Name,Ценовник Име
Price List Rate,Ценовник Оцени
Price List Rate (Company Currency),Ценовник Цена (Друштво валута)
Price List for Costing,Ценовник за Цостинг
Price Lists and Rates,Ценовници и стопе
Primary,Основни
Print Format,Принт Формат
Print Format Style,Штампаном формату Стил
Print Format Type,Принт откуцајте формат
Print Heading,Штампање наслова
Print Hide,Принт Сакриј
Print Width,Ширина штампе
Print Without Amount,Принт Без Износ
Print...,Штампа ...
Priority,Приоритет
Private,Приватан
Proceed to Setup,Наставите подесити
Process,Процес
Process Payroll,Процес Паиролл
Produced Quantity,Произведена количина
Product Enquiry,Производ Енкуири
Production Order,Продуцтион Ордер
Production Orders,Налога за производњу
Production Plan Item,Производња план шифра
Production Plan Items,Производни план Артикли
Production Plan Sales Order,Производња Продаја план Наручи
Production Plan Sales Orders,Производни план продаје Поруџбине
Production Planning (MRP),Производња планирање (МРП)
Production Planning Tool,Планирање производње алата
"Products will be sorted by weight-age in default searches. More the weight-age, higher the product will appear in the list.","Производи ће бити сортирани по тежини узраста у подразумеваним претрагама. Више тежине старости, већа производ ће се појавити на листи."
Profile,Профил
Profile Defaults,Профил Дефаултс
Profile Represents a User in the system.,Профил Представља корисника у систему.
Profile of a Blogger,Профил од Блоггер
Profile of a blog writer.,Профил од блога писца.
Project,Пројекат
Project Costing,Трошкови пројекта
Project Details,Пројекат Детаљи
Project Milestone,Пројекат Милестоне
Project Milestones,Пројекат Прекретнице
Project Name,Назив пројекта
Project Start Date,Пројекат Датум почетка
Project Type,Тип пројекта
Project Value,Пројекат Вредност
Project activity / task.,Пројекат активност / задатак.
Project master.,Пројекат господар.
Project will get saved and will be searchable with project name given,Пројекат ће се чувају и да ће моћи да претражују са пројектом именом датом
Project wise Stock Tracking,Пројекат мудар Праћење залиха
Projected Qty,Пројектовани Кол
Projects,Пројекти
Prompt for Email on Submission of,Упитај Емаил за подношење
Properties,Некретнине
Property,Имовина
Property Setter,Имовина сетер
