Pension Funds,Pensionifondid
On Duty,Tööl
Variable,Muutuv
Row {0}: Depreciation Start Date is required,Rida {0}: nõutav amortisatsiooni alguskuupäev
Option,Võimalus
Out Patient SMS Alerts,Patsiendi SMS-märguanded
Sales Account,Müügikonto
Weather Parameter,Ilm parameeter
Allocate,Jaota
Maintenance Schedule Detail,Hoolduse ajakava detail
BOM Update Tool,BOM-i värskendustööriist
Notice Period,Teatamisperiood
Lead Owner Efficiency,Peamise omaniku tõhusus
Total Characters,Tähemärkide koguarv
Alcohol Past Use,Alkoholi minevikus kasutamine
Divorced,Lahutatud
Allocate Advances Automatically (FIFO),Jagage ettemaksed automaatselt (FIFO)
Is Compensatory,Kas kompenseeriv
Employees working on a holiday,Puhkusel töötavad töötajad
Mobile,Mobiil
"Timesheets help keep track of time, cost and billing for activites done by your team","Töögraafikud aitavad jälgida teie meeskonna tehtud toimingute aega, kulusid ja arveldusi"
Order Information,Tellimuse teave
Subtotal,Vahesumma
Invoice Discounting,Arve diskonteerimine
Nos,Nr
Freeze Stock Entries,Külmutage laoseisu
Item {0} not found,Üksust {0} ei leitud
You have entered duplicate items. Please rectify and try again.,Olete sisestanud dubleerivad üksused. Palun parandage ja proovige uuesti.
Rate,Hinda
Saving {0},{0} salvestamine
Total Message(s),Sõnum (id) kokku
Group by Account,Konto konto järgi
In Words will be visible once you save the Quotation.,Sõnad on nähtavad pärast pakkumise salvestamist.
Quantity to Produce,Kogus tootmiseks
Actual Start Time,Tegelik algusaeg
Laboratory User,Laboratoorne kasutaja
Online Auctions,Online-oksjonid
Fee Creation Status,Tasu loomise staatus
Softwares,Tarkvara
Sales Order to Payment,Müügikorraldus maksmiseks
This is based on transactions against this Healthcare Practitioner.,See põhineb tehingutel selle tervishoiutöötaja vastu.
Assigning Structures...,Struktuuride määramine ...
Details of the operations carried out.,Toimingute üksikasjad.
Operation Time must be greater than 0 for Operation {0},Operatsiooni {0} tööaeg peab olema suurem kui 0
A qustion must have at least one correct options,Kostmises peab olema vähemalt üks õige valik
Folio no.,Folio no.
A Negative,Negatiivne
{0} is mandatory for Item {1},{0} on kirje {1} jaoks kohustuslik
Production Analytics,Tootmise analüüs
Row #{0}: Set Supplier for item {1},Rida # {0}: seadistage tarnija {1} jaoks
Records,Salvestused
Case No(s) already in use. Try from Case No {0},Juba kasutusel olev juhtum (id). Proovige juhtumist nr {0}
Website URL,Veebilehe aadress
Report Type is mandatory,Aruande tüüp on kohustuslik
Policy No,Poliitika nr
Replies,Vastused
Variable Name,Muutuja nimi
Utilities,Utiliidid
Total Completed Qty,Lõpetatud kogus kokku
No Items with Bill of Materials to Manufacture,Materjalide arvuga ei ole toodetud
Blanket Order Rate,Tekkide tellimuse määr
Track separate Income and Expense for product verticals or divisions.,Jälgi toote tulu ja kulu toote vertikaalsete või jagunemiste puhul.
Warning: Invalid SSL certificate on attachment {0},Hoiatus: Vigane SSL-sertifikaat manuses {0}
Opp Count,Opp Count
As Examiner,Eksamineerijana
Default Expense Claim Payable Account,Võlgnevuse sissenõutavaks muutmise konto
HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-. MM.-
Docs Search,Dokumentide otsing
End Date can not be less than Start Date,Lõppkuupäev ei tohi olla väiksem kui alguskuupäev
No Items with Bill of Materials.,Puuduvad üksused materjaliarvega.
Single unit of an Item.,Üksuse üksus.
Quotations,Tsitaadid
Could not generate Secret,Salasõna ei õnnestunud luua
Valuation and Total,Hindamine ja kokku
Member Activity,Liikmete tegevus
Import Attendance,Impordi osalemine
Account for Change Amount,Muuda summa konto
Item Price Stock,Toote hinna varu
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-
"Request for Quotation is disabled to access from portal, for more check portal settings.","Tsitaadi taotlus on keelatud, et pääseda portaali, rohkemate portaali seadistuste jaoks."
Mapped Header,Kaardistatud päis
"Item Code, warehouse, quantity are required on row","Toode Kood, ladu, kogus on vajalik"
Bank Account Details,Pangakonto andmed
Homepage Slideshow,Kodulehe slaidiesitus
"Partially Sponsored, Require Partial Funding","Osaliselt sponsoreeritud, nõuda osalist rahastamist"
Payment of {0} from {1} to {2},{0} maksmine {1} -st {2} -ni
Serial No Status,Seerianumber puudub
Donor,Doonor
Item UOM,Üksus UOM
Row {0}: select the workstation against the operation {1},Rida {0}: valige tööjaam operatsiooni {1} vastu
Default Return Warehouse,Default Return Warehouse
{0} must be submitted,{0} tuleb esitada
Estimated Cost,Hinnanguline maksumus
Quot/Lead %,Quot / Lead%
Member information.,Liikmete andmed.
Reverse Journal Entry,Reverse Journal Entry
Set a sales goal you'd like to achieve for your company.,"Määrake müügieesmärk, mida soovite oma firma jaoks saavutada."
Special,Eriline
Reserved Qty for Subcontract: Raw materials quantity to make subcotracted items.,"Allhankelepingu reserveeritud kogus: toorainekogus, et teha alltöövõetud punkte."
In print,Prindi
Could not retrieve information for {0}.,{0} kohta teavet ei saanud.
Billing currency must be equal to either default company's currency or party account currency,Arveldusvaluuta peab olema võrdne kas ettevõtte vaikimisi valuuta või kontoga
Please enter Employee Id of this sales person,Palun sisestage selle müügipersonali töötaja ID
Create Opening Sales and Purchase Invoices,Loo avamise müügi ja ostu arveid
Treatment Period,Ravi periood
Setting up Email,E-posti seadistamine
Debit Note Amount,Deebetraha summa
Rate at which Price list currency is converted to customer's base currency,"Hinda, millal hinnakiri valuuta konverteeritakse kliendi baasvaluutaks"
Certification,Sertifitseerimine
"Here you can maintain height, weight, allergies, medical concerns etc","Siin saate hoida kõrgust, kaalu, allergiat, meditsiinilisi probleeme jne"
Print Heading,Prindipea
Withdrawn,Endassetõmbunud
Select company first,Valige esimene ettevõte
Application period cannot be across two allocation records,Taotlusperiood ei saa olla kahe jaotusdokumendi vahel
Rate:,Hinda:
Employee {0} has no maximum benefit amount,Töötajal {0} ei ole maksimaalset kasu
Employee Skills,Töötaja oskused
Student Name: ,Õpilase nimi:
Sent On,Saadetud
Sales Invoice,Müügiarve
Response Time can't be greater than Resolution Time,Reaktsiooniaeg ei tohi olla suurem kui eraldusvõime aeg
"For Course based Student Group, the Course will be validated for every Student from the enrolled Courses in Program Enrollment.",Kursusel põhineva üliõpilasgrupi jaoks valitakse kursus iga õpilase jaoks programmis registreerimise kursustest.
Intra-State Supplies,Riigisisesed tarned
Create User Permission,Loo kasutajaluba
Please save the report again to rebuild or update,Salvestage või värskendage raport uuesti
Territory,Territoorium
Quarter,Kvartal
Grand Total (Company Currency),Grand Total (ettevõtte valuuta)
Prescription Dosage,Retseptide annustamine
Hour Rate,Tundide arv
Latitude,Latitude
Expense Date,Kulude kuupäev
Show Payment Details,Kuva makseandmed
Default Payable Account,Vaikimisi makstav konto
Serial No {0} does not belong to any Warehouse,Seerianumber {0} ei kuulu ühegi lao juurde
Group by Party,Grupp poolte kaupa
Evening,Õhtu
SAL-CAM-.YYYY.-,SAL-CAM-.YYYY.-
Exchange Gain/Loss,Exchange&#39;i kasum / kahjum
Make Sales Invoice,Tehke müügiarvet
Create Missing Party,Loo kadunud pool
For quantity {0} should not be grater than work order quantity {1},"Kogus {0} ei tohiks olla riiv, kui töö tellimuse kogus {1}"
Additional Charges,Lisatasud
Assessment Result Tool,Hindamise tulemuste tööriist
Contra Entry,Contra sisenemine
Application Status,Rakenduse olek
Total Amount in Words,Summa kokku sõnades
"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment. ","Jälgi müügikampaaniaid. Investeeringute tasuvuse mõõtmiseks jälgige kampaaniatest viiteid, hinnapakkumisi, müügitellimusi jne."
Missing Currency Exchange Rates for {0},Valuutakursside puudumine {0}
Pricing Rule Item Group,Hinnakujunduse reegli üksus
Reading 8,Lugemine 8
From Fiscal Year,Alates eelarveaastast
Tally Creditors Account,Tally võlausaldajate konto
Print Section,Prindi osa
This is a root department and cannot be edited.,See on juureosakond ja seda ei saa muuta.
Project Quantity,Projekti kogus
Standard contract terms for Sales or Purchase.,Müügi või ostu tüüptingimused.
Customer PO Details,Kliendi PO üksikasjad
Patient not found,Patsienti ei leitud
Remove item if charges is not applicable to that item,"Eemaldage üksus, kui selle elemendi puhul ei kohaldata tasusid"
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Kliendirühm on sama nimega, palun muutke Kliendi nime või muutke Kliendirühm"
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","Standardne maksumall, mida saab rakendada kõikide müügitehingute puhul. See mall võib sisaldada maksude ja teiste kulutuste / sissetulekute loendit, nagu &quot;Transport&quot;, &quot;Kindlustus&quot;, &quot;Käitlemine&quot; jne. Kirjed **. Kui ** on ** teemad **, millel on erinevad maksumäärad, tuleb need lisada ** kirje ** ** tabelisse ** kirje ** kapten. #### Veergude kirjeldus 1. Arvutustüüp: - See võib olla ** Net Total ** (see on põhisumma summa). - ** Eelmisel real kokku / summa ** (kumulatiivsete maksude või tasude puhul). Kui valite selle valiku, rakendatakse seda maksu protsendina eelmisest reast (maksude tabelis) või kogusummas. - ** Tegelik ** (nagu mainitud). 2. Konto juht: Konto pearaamat, mille alla see maks on kirjendatud. 4. Kirjeldus: maksu kirjeldus (trükitakse arvetesse / hinnapakkumistesse). 5. Hind: maksumäär. 6. Summa: maksusumma. 7. Kokku: Kumulatiivne kogusumma siiani. 8. Sisestage rida: kui põhineb &quot;Eelmise rea kokku&quot;, saate valida selle numbri aluseks oleva rea numbri (vaikimisi on eelmine rida). 9. Kas see maks sisaldab baasmäära? See on kasulik, kui soovite anda klientidele kindla hinna (koos kõigi maksudega)."
To Date must be greater than From Date,Kuupäev peab olema suurem kui alates kuupäevast
Parent Customer Group,Vanemate kliendirühm
Prices will not be shown if Price List is not set,"Hinnad ei kuvata, kui Hinnakiri ei ole määratud"
ERPNext Settings,ERPNext seaded
Time Sheet for manufacturing.,Tootmise ajakava.
Student Language,Õpilaste keel
Please set the Payment Schedule,Palun määrake maksegraafik
Name of Organizer,Korraldaja nimi
Please set Depreciation related Accounts in Asset Category {0} or Company {1},Palun määrake amortisatsiooniga seotud kontod vara kategoorias {0} või ettevõttes {1}
Setup cheque dimensions for printing,Seadistus kontrollib printimise mõõtmeid
"If you have any questions, please get back to us.","Kui teil on küsimusi, pöörduge palun meile tagasi."
Purchase Receipt {0} is not submitted,Ostukviitungit {0} ei esitata
Total Expense Claim (via Expense Claim),Kogukulude nõue (kulutaotluse kaudu)
Quality Goal,Kvaliteedi eesmärk
Support Portal,Toetusportaal
End date of task <b>{0}</b> cannot be less than <b>{1}</b> expected start date <b>{2}</b>,Ülesande <b>{0}</b> lõppkuupäev ei tohi olla väiksem kui <b>{1}</b> eeldatav alguskuupäev <b>{2}</b>
Employee {0} is on Leave on {1},Töötaja {0} on lahkumisel {1}
Held On,Hoidmine toimub
Practitioner Schedules,Praktikute graafikud
Begin On (Days),Alustage (päevad)
"If enabled, then system will create the material even if the raw materials are available","Kui see on lubatud, loob süsteem materjali isegi siis, kui tooraine on saadaval"
Work Order has been {0},Töörežiim on olnud {0}
Admission Schedule Date,Sisenemise ajakava
Asset Value Adjustment,Vara väärtuse korrigeerimine
Supplies made to Unregistered Persons,Registreerimata isikutele tarnitud tarned
All Jobs,Kõik töökohad
Appointment Type,Kohtumise tüüp
Allow Overtime,Luba ületunde
Available Qty at Warehouse,Laos saadaval olev kogus
Sales Invoice Item,Müügiarve kirje
HR,HR
Assessment Terms,Hindamise tingimused
Increment for Attribute {0} cannot be 0,Atribuudi {0} juurdekasv ei saa olla 0
Carry Forward,Kanna edasi
Dependent Task,Sõltuv ülesanne
Allowed To Transact With,Lubatud tehingu tegemiseks
Become a Seller,Hakka müüjaks
Bank Reconciliation,Panga lepitamine
Types of activities for Time Logs,Time Logs&#39;i tegevuste liigid
POS Closing Voucher Invoices,POS sulgemise kviitungite arved
AB Negative,AB Negatiivne
Budget Detail,Eelarve üksikasjad
Normal reference range for an adult is 16–20 breaths/minute (RCP 2012),Täiskasvanu normaalne võrdluspiirkond on 16–20 hingetõmmet / minut (RCP 2012)
Sales Orders,Müügitellimused
Create Journal Entry,Loo ajakirja kirje
Secured Loans,Tagatud laenud
To Shareholder,Aktsionärile
Maintenance Schedule,Hooldusgraafik
"chapters/chapter_name
leave blank automatically set after saving chapter.",peatükid / peatükk_nimi jätavad tühjaks salvestamise peatükki automaatselt.
Payment Success Url,Maksete edukuse URL
Delivered Amount,Tarnitud kogus
Min Amt can not be greater than Max Amt,Min Amt ei tohi olla suurem kui Max Amt
Salary Structure not found for employee {0} and date {1},Töötaja {0} ja kuupäeva {1} palkade struktuur ei ole
Invoice Appointments Automatically,Arve nimetamine automaatselt
Please fill in all the details to generate Assessment Result.,Hindamise tulemuse loomiseks täitke kõik üksikasjad.
Variance ({}),Variatsioon ({})
Patient Name,Patsiendi nimi
Your Organization,Teie organisatsioon
Fulfilment Details,Täitmise üksikasjad
Total Billed Amount (via Sales Invoices),Arve kogusumma (müügiarvete kaudu)
Kg,Kg
Appointment cancelled,Kohtumine tühistati
Reminder Message,Meeldetuletuse teade
Balance Loan Amount,Bilansilaenu summa
Manage Sales Person Tree.,Müügipersonali puu haldamine.
There are more holidays than working days this month.,Sellel kuul on rohkem puhkusi kui tööpäevadel.
Default BOM,Vaikimisi BOM
Operating Cost (Company Currency),Tegevuskulud (ettevõtte valuuta)
Item Price,Punkt Hind
Party Name,Partei nimi
Please select a customer,Palun valige klient
Course Intro,Kursuse sissejuhatus
New Program,Uus programm
"Number of new Cost Center, it will be included in the cost center name as a prefix","Uue kulukeskuse number, see lisatakse kulukeskuse nimele prefiksina"
Select the customer or supplier.,Valige klient või tarnija.
Valid till date cannot be before transaction date,Kehtiv kuupäev ei saa olla enne tehingu kuupäeva
Cannot deactivate or cancel BOM as it is linked with other BOMs,"BOM-i ei saa desaktiveerida ega tühistada, kuna see on seotud teiste BOM-idega"
Place Of Supply (State/UT),Tarnekoht (riik / TÜ)
Job Title,Töö nimetus
Fee Component,Tasu komponent
C-Form records,C-vormi dokumendid
Payment Cancelled. Please check your GoCardless Account for more details,Makse tühistatud. Täpsema teabe saamiseks kontrollige oma GoCardless&#39;i kontot
Less than a year,Vähem kui aasta
Work Order {0} must be submitted,Töörežiim {0} tuleb esitada
Filter Total Zero Qty,Filtreeri kokku nullväärtus
Applicant for a Job,Tööandja taotleja
No records found in the Invoice table,Arve tabelis ei leitud ühtegi kirjet
Chart of Accounts Importer,Kontode importija
Item or Warehouse for row {0} does not match Material Request,{0} rea jaoks olev kirje või ladu ei vasta materjali päringule
IGST Amount,IGST summa
Delivery Notes {0} updated,Edastamise märkused {0} uuendatud
Lodging Required,Kohustuslik majutus
Total Revenue,Kogutulu
Student Group Student,Student Group Student
Buyer of Goods and Services.,Kaupade ja teenuste ostja.
Vehicle,Sõiduk
Quantity ({0}) cannot be a fraction in row {1},Kogus ({0}) ei saa olla rida {1}
Bonus Amount,Boonuse summa
Amount Difference,Summa erinevus
Maintenance Tasks,Hooldusülesanded
Stop Birthday Reminders,Peatage sünnipäeva meeldetuletused
Payment Account,Maksekonto
Stock Frozen Upto,Varu külmutatud Upto
Default Material Request Type,Vaikimisi materjali päringu tüüp
Clinical Procedure Item,Kliinilise protseduuri punkt
Finance Book,Finantsraamat
From Datetime,Alates Datetime
Currency of the price list {0} must be {1} or {2},Hinnakirja {0} valuuta peab olema {1} või {2}
Open Orders,Avatud tellimused
Admit,Tunnista
Total {0} ({1}),Kokku {0} ({1})
GitHub ID,GitHub ID
From Address 1,Aadressist 1
Total hours: {0},Kokku tunde: {0}
Transfer Date,Ülekande kuupäev
Enter name of campaign if source of enquiry is campaign,"Kui kampaania on allikas, sisestage kampaania nimi"
This Item is a Template and cannot be used in transactions. Item attributes will be copied over into the variants unless 'No Copy' is set,"See üksus on mall ja seda ei saa tehingutes kasutada. Üksuste atribuudid kopeeritakse variandidesse, kui pole määratud „No Copy”"
Regular,Regulaarne
Maximum discount for Item {0} is {1}%,Toote {0} maksimaalne allahindlus on {1}%
Not Started,Alustamata
Treatment Task,Raviülesanne
Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,Row {0}: kasutaja pole rakendatud reegli <b>{1}</b> elemendi <b>{2}</b>
Landed Cost Help,Lossitud kulude abi
Scoring Criteria,Hindamiskriteeriumid
Matching Invoices,Vastavad arved
Donor Name,Doonori nimi
Select Property,Valige Property
Homepage Section,Kodulehekülje osa
Grade,Hinne
Production Plan Material Request,Tootmisplaani materjali taotlus
Send Email,Saada email
Retain Sample,Säilitage proov
Row #{0} (Payment Table): Amount must be negative,Rida # {0} (maksetabel): summa peab olema negatiivne
Warehouse wise Item Balance Age and Value,Ladu mõistlik kirje saldo Vanus ja väärtus
The gross weight of the package. Usually net weight + packaging material weight. (for print),Pakendi kogumass. Tavaliselt netokaal + pakkematerjali kaal. (printimiseks)
Laboratory Testing Datetime,Laboratoorsed testid Datetime
The Item {0} cannot have Batch,Üksusel {0} ei saa olla partiisidet
Sales Pipeline by Stage,Müügitorustik etapil
Student Group Strength,Õpilaste rühma tugevus
Bank Statement Transaction Entry,Panga väljavõtte tehingute kanne
Get Items from Open Material Requests,Saage elemendid avatud materjali taotlustest
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Eelarveaasta ** on majandusaasta. Kõik raamatupidamiskanded ja muud suuremad tehingud jälgitakse ** eelarveaasta ** alusel.
Procedure Name,Menetluse nimi
Add Sales Partners,Lisage müügipartnereid
Qty Total,Kogusumma
Outstanding,Väljapaistev
Employee Tax Exemption Proof Submission,Töötajate maksuvabastuse tõendamine
Requirement,Nõue
No active or default Salary Structure found for employee {0} for the given dates,Töötajale {0} antud tähtaegade jooksul aktiivset või vaikimisi makstavat palgasüsteemi ei ole
Quantity should be greater than 0,Kogus peaks olema suurem kui 0
Supplier Quotation Item,Tarnijate hinnapunkt
Appraisal Template,Hindamismall
Hub Category to Publish,Avaldatava Hubi kategooria
Current Openings,Praegused avad
Customer Database.,Kliendiandmebaas.
As On Date,Nagu kuupäev
Delivery Note {0} is not submitted,Edastamise märkust {0} ei esitata
Appraisal Template Goal,Hinnangu malli eesmärk
Closing (Cr),Sulgemine (Cr)
Restaurant Reservation,Restorani broneerimine
Last Order Amount,Viimase tellimuse summa
Learn,Õpi
Multiple default mode of payment is not allowed,Mitme vaikimisi makseviis ei ole lubatud
This will be day 1 of the crop cycle,See on saagikoristuse 1. päev
{0} {1} is not associated with {2} {3},{0} {1} ei ole seotud {2} {3}
Expense or Difference account is mandatory for Item {0} as it impacts overall stock value,"Kulude või erinevuste konto on kirje {0} jaoks kohustuslik, kuna see mõjutab üldist varude väärtust"
Price List Exchange Rate,Hinnakirja vahetuskurss
Amount (Company Currency),Summa (ettevõtte valuuta)
Driver,Juht
CGST Account,CGST konto
Disbursement Date,Väljamakse kuupäev
New task,Uus ülesanne
Customer Feedback Table,Kliendi tagasiside tabel
{0} - {1} is not enrolled in the Course {2},{0} - {1} ei ole kursusel {2}
Difference Amount,Erinevuse summa
Cheques and Deposits incorrectly cleared,Kontrollid ja hoiused on valesti kustutatud
Cash Entry,Sissepääs sularahale
GST Settings,GST seaded
Item-wise Sales Register,Müügikohane müügiregister
Item has variants.,Üksusel on variandid.
Difference Amount must be zero,Erinevus peab olema null
Institution,Institutsioon
Tobacco Current Use,Tubaka praegune kasutamine
Setup your ,Seadistage oma
Payment Entry Deduction,Makse sissemakse mahaarvamine
Procedure,Menetlus
Total Stock Summary,Kogusumma kokkuvõte
Additional Discount,Täiendav allahindlus
Patient Name By,Patsiendi nimi
Rate / UOM,Rate / UOM
Job Offer Terms,Tööpakkumise tingimused
Debit Amount in Account Currency,Deebet summa konto valuutas
{0} must appear only once,{0} peab ilmuma ainult üks kord
Expense / Difference account ({0}) must be a 'Profit or Loss' account,Kulude / erinevuste konto ({0}) peab olema konto kasum või kahjum
Row No {0}: Amount cannot be greater than Pending Amount against Expense Claim {1}. Pending Amount is {2},Rida nr {0}: Summa ei tohi olla suurem kui kulumääruse {1} oodatav summa. Ootel olev summa on {2}
Earnest Money,Teenitud raha
All Supplier scorecards.,Kõik tarnija skoorid.
Terms and Conditions Details,Tingimused ja tingimused
Get Entries,Hankige kirjeid
Service Item,Teenuse üksus
Customer's Purchase Order,Kliendi ostutellimus
Syntax error in formula or condition: {0},Süntaksi viga valemis või seisundis: {0}
Agriculture User,Põllumajandus Kasutaja
Please enter Reqd by Date,Palun sisesta Reqd kuupäeva järgi
Total Monthly Sales,Kuu müük kokku
Monthly Distribution Percentage,Igakuine jaotusprotsent
Reconciliation JSON,JSONi lepitamine
No Item with Barcode {0},Ükski vöötkoodiga {0} puudub
Scrapped,Kooritud
Delivery Trip,Tarne reis
Application Fee,Taotluse tasu
Sales orders are not available for production,Müügitellimused ei ole tootmiseks saadaval
Attribute,Atribuut
Rename Log,Logi ümber
'Based On' and 'Group By' can not be same,&quot;Põhineb&quot; ja &quot;Grupi järgi&quot; ei saa olla samad
Show Ageing Warehouse-wise,Näita vananemise laost
Write Off Outstanding Amount,Kirjutage välja silmapaistev summa
Employee Details,Töötaja andmed
Start Time can't be greater than End Time for {0}.,Start Time ei saa olla suurem kui {0} lõpp-aeg.
Discount Amount,Soodus
Item Details,Üksuse üksikasjad
Duplicate Tax Declaration of {0} for period {1},Korduv {0} maksudeklaratsioon perioodi {1} kohta
From Delivery Note,Toimetamise märkusest
Holiday,Puhkus
Line spacing for amount in words,Rida vahe sõnade kaupa
Item Group Defaults,Üksuse grupi vaikeseaded
Abbr,Abbr
Warranty Claim against Serial No.,Garantiinõue seerianumbri vastu
Quality,Kvaliteet
{0} is not a stock Item,{0} ei ole varude kirje
Raw Materials Supplied Cost,Tooraine tarnitud kulud
Permanent Address,Püsiaadress
Booked Fixed Asset,Broneeritud püsivara
Your tickets,Teie piletid
Create Supplier Quotation,Loo tarnija pakkumine
Inspection Required before Purchase,Enne ostmist on nõutav kontroll
Payment Ordered,Makse tellimine
"There seems to be an issue with the server's GoCardless configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Tundub, et serveri GoCardless konfiguratsiooniga on probleem. Ärge muretsege, vea korral tagastatakse summa teie kontole."
"Payment Mode is not configured. Please check, whether account has been set on Mode of Payments or on POS Profile.","Makseviis ei ole konfigureeritud. Palun kontrollige, kas konto on seadistatud makseviisile või POS-profiilile."
Purchase Orders Items Overdue,Ostukorraldused Ülejäänud summad
Inspection Required,Nõutav on kontroll
{0} {1} is cancelled so the action cannot be completed,"{0} {1} tühistatakse, nii et tegevust ei saa lõpetada"
Project Template Task,Projekti malli ülesanne
Circular Reference Error,Ringkirjeldusviga
{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,{0} {1}: „Kasumi ja kahjumi” tüüpi konto {2} ei ole avamiskirjas lubatud
Cross Listing of Item in multiple groups,Üksuse ristnimekiri mitmes rühmas
Account with existing transaction cannot be converted to ledger,Olemasoleva tehinguga kontot ei saa konverteerida pearaamatusse
Display Items In Stock,Kuva üksused laos
Service Level,Teenuse tase
"Other outward supplies(Nil rated,Exempted)","Muud välised tarned (nullitud, vabastatud)"
TDS Payable Monthly,TDS makstakse igakuiselt
Please select Posting Date before selecting Party,Palun valige enne postituse valimist postitamise kuupäev
GST Purchase Register,GST ostu register
Automatically Add Taxes and Charges from Item Tax Template,Lisa maksude ja tasude automaatne lisamine elemendi maksumallist
Stock Options,Aktsiaoptsioonid
Healthcare Schedule Time Slot,Tervishoiuteenuste ajakava Aeg
Tap items to add them here,Nende lisamiseks puudutage üksusi
Invoice Portion,Arve osa
Tax Category for overriding tax rates.,Maksukategooria ülekaalukate maksumäärade puhul.
Retained Earnings,Säilitamata kasum
Requested Amount,Taotletud summa
Additional Amount,Täiendav summa
Quiz Configuration,Viktoriinikonfiguratsioon
General,Üldine
Annual Expenses,Iga-aastased kulud
Expected End Date can not be less than Expected Start Date,Oodatav lõppkuupäev ei tohi olla väiksem kui eeldatav alguskuupäev
Disable In Words,Keela sõnades
CUST-.YYYY.-,CUST-.YYYY.-
Net pay cannot be negative,Netopalk ei tohi olla negatiivne
No of Interactions,Interaktsioonide arv
Row {0}# Item {1} cannot be transferred more than {2} against Purchase Order {3},Rida {0} # Üksust {1} ei saa üle {2} osta tellimuse {3} vastu
Processing Chart of Accounts and Parties,Kontode ja poolte töötlemise graafik
Convert Item Description to Clean HTML,Teisenda elemendi kirjeldus puhtaks HTML-ks
All Supplier Groups,Kõik tarnijagrupid
Final Assessment Grades,Lõplik hindamisaste
Cannot close task {0} as its dependant task {1} is not closed.,"Ülesannet {0} ei saa sulgeda, kuna selle sõltuv ülesanne {1} ei ole suletud."
Promotional Scheme Price Discount,Reklaamiskeemi hinna allahindlus
Installation Note,Paigaldus Märkus
Application Form Route,Taotlusvormi marsruut
Planned Operating Cost,Kavandatud tegevuskulud
Colour,Värv
{0} is not in Optional Holiday List,{0} ei ole valikulises puhkuse nimekirjas
Show Marks,Näita märke
Max Benefit Amount (Yearly),Maksimaalne hüvitise summa (aasta)
Depreciation Row {0}: Next Depreciation Date cannot be before Purchase Date,Amortisatsioonirida {0}: Järgmine amortisatsioonipäev ei saa olla enne ostukuupäeva
Customer Group,Kliendirühm
Fiscal Year Start Date should be one year earlier than Fiscal Year End Date,Eelarveaasta alguskuupäev peaks olema üks aasta varem kui eelarveaasta lõppkuupäev
BOM Items and Scraps,BOM-elemendid ja -lehed
High Sensitivity,Suur tundlikkus
Apply Discount on Rate,Rakenda allahindlust hinnas
"Update BOM cost automatically via Scheduler, based on latest valuation rate / price list rate / last purchase rate of raw materials.","Uuenda BOMi maksumust automaatselt ajastaja kaudu, tuginedes viimastele hindamismääradele / hinnakirja hinnale / viimastele tooraine ostumääradele."
Tally Company,Tally Company
Quiz Question,Küsimuse küsimus
Task Depends On,Ülesanne sõltub
Lead Id,Plii Id
Subscription Plan Detail,Tellimuse plaani üksikasjad
Created {0} scorecards for {1} between: ,Loodud {0} tulemuskaardid {1} vahel:
This Week's Summary,Selle nädala kokkuvõte
Pricing Rule Item Code,Hinnakujunduse eeskirja kood
Storage Temperature,Ladustamistemperatuur
Direct Income,Otsene sissetulek
Amt,Amt
Sales Analytics,Müügianalüütika
Total Billable Amount (via Timesheets),Arve kogusumma (ajakirjade kaudu)
Domains,Domeenid
"Not permitted, configure Lab Test Template as required","Ei ole lubatud, seadistage Lab Test Template vastavalt vajadusele"
Default Unit of Measure,Vaikimisi mõõtühik
Distinct unit of an Item,Üksuse üksus
Synch Products,Toodete sünkroonimine
Path,Tee
Task ID,Ülesande ID
Opening (Dr),Avamine (Dr)
% Completed,% Lõpetatud
Commission Rate,Komisjoni määr
Central Tax,Kesk maks
Total Outstanding Amount,Tasumata summa kokku
Maximum Exemption Amount,Maksimaalne erand
Based on price list,Hinnakirja alusel
