Pension Funds,ಪಿಂಚಣಿ ನಿಧಿಗಳು
Instructor,ಬೋಧಕ
Show Public Attachments,ಸಾರ್ವಜನಿಕ ಲಗತ್ತುಗಳನ್ನು ತೋರಿಸಿ
Fields will be copied over only at time of creation.,ಸೃಷ್ಟಿ ಸಮಯದಲ್ಲಿ ಮಾತ್ರ ಜಾಗವನ್ನು ನಕಲಿಸಲಾಗುತ್ತದೆ.
Vehicle No,ವಾಹನ ಸಂಖ್ಯೆ
CRM-LEAD-.YYYY.-,ಸಿಆರ್ಎಂ-ಲೆಡ್-.YYYY.-
Payment Entry is already created,ಪಾವತಿ ಎಂಟ್ರಿ ಈಗಾಗಲೇ ರಚಿಸಲಾಗಿದೆ
Multiple Variants,ಬಹು ರೂಪಾಂತರಗಳು
Please select a csv file,ದಯವಿಟ್ಟು CSV ಫೈಲ್ ಆಯ್ಕೆಮಾಡಿ
Serial No Details,ಸೀರಿಯಲ್ ಯಾವುದೇ ವಿವರಗಳು
Source and Target Location cannot be same,ಮೂಲ ಮತ್ತು ಟಾರ್ಗೆಟ್ ಸ್ಥಳವು ಒಂದೇ ಆಗಿರಬಾರದು
Show Employee,ನೌಕರರನ್ನು ತೋರಿಸು
Writeoff,ರೈಟ್ಆಫ್
ISS-.YYYY.-,ISS - .YYYY.-
Payment Request,ಪಾವತಿ ವಿನಂತಿ
Selected Price List should have buying and selling fields checked.,ಆಯ್ದ ಧಾರಣೆ ಪಟ್ಟಿ ಪರಿಶೀಲಿಸಿದ ಕ್ಷೇತ್ರಗಳನ್ನು ಖರೀದಿಸಿ ಮಾರಾಟ ಮಾಡಬೇಕು.
Cannot covert to Group because Account Type is selected.,ಗ್ರೂಪ್ಗೆ ರಹಸ್ಯವಾಗಿಡಲು ಸಾಧ್ಯವಿಲ್ಲ ಏಕೆಂದರೆ ಖಾತೆಯ ಪ್ರಕಾರವನ್ನು ಆಯ್ಕೆ ಮಾಡಲಾಗಿದೆ.
Exchange Gain / Loss Account,ವಿನಿಮಯ ಲಾಭ / ನಷ್ಟ ಖಾತೆ
Project Template,ಪ್ರಾಜೆಕ್ಟ್ ಟೆಂಪ್ಲೇಟು
Reorder Qty,Qty ಮರುಕ್ರಮಗೊಳಿಸಿ
Too many columns. Export the report and print it using a spreadsheet application.,ತುಂಬಾ ಕಾಲಮ್ಗಳು. ವರದಿ ರಫ್ತು ಮತ್ತು ಸ್ಪ್ರೆಡ್ಶೀಟ್ ಅಪ್ಲಿಕೇಶನ್ ಬಳಸಿ ಮುದ್ರಿಸಿ.
Salary Slips Submitted,ವೇತನ ಸ್ಲಿಪ್ಸ್ ಸಲ್ಲಿಸಲಾಗಿದೆ
For Supplier,ಪೂರೈಕೆದಾರರಿಗಾಗಿ
Accounting entries have already been made in currency {0} for company {1}. Please select a receivable or payable account with currency {0}.,ಕಂಪನಿ {1} ಗೆ ಕರೆನ್ಸಿ {0} ನಲ್ಲಿ ಅಕೌಂಟಿಂಗ್ ನಮೂದುಗಳನ್ನು ಈಗಾಗಲೇ ಮಾಡಲಾಗಿದೆ. ಕರೆನ್ಸಿ {0} ನೊಂದಿಗೆ ಸ್ವೀಕೃತವಾದ ಅಥವಾ ಪಾವತಿಸಬಹುದಾದ ಖಾತೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ.
New Asset Value,ಹೊಸ ಆಸ್ತಿ ಮೌಲ್ಯ
Volunteer Type,ಸ್ವಯಂಸೇವಕ ಕೌಟುಂಬಿಕತೆ
Printed On,ಮುದ್ರಿಸಲಾಗಿದೆ
Grant Leaves,ಗ್ರಾಂಟ್ ಎಲೆಗಳು
Vehicle Value,ವಾಹನ ಮೌಲ್ಯ
Project Billing Summary,ಪ್ರಾಜೆಕ್ಟ್ ಬಿಲ್ಲಿಂಗ್ ಸಾರಾಂಶ
Receipt,ರಸೀತಿ
Please click on 'Generate Schedule' to get schedule,ವೇಳಾಪಟ್ಟಿ ಪಡೆಯಲು &#39;ವೇಳಾಪಟ್ಟಿ ರಚಿಸಿ&#39; ಕ್ಲಿಕ್ ಮಾಡಿ
TDS Rate %,ಟಿಡಿಎಸ್ ದರ%
Contact Number,ಸಂಪರ್ಕ ಸಂಖ್ಯೆ
POS Closing Voucher,ಪಿಓಎಸ್ ಮುಚ್ಚುವ ಚೀಟಿ
Quality Inspection Template Name,ಗುಣಮಟ್ಟ ಇನ್ಸ್ಪೆಕ್ಷನ್ ಟೆಂಪ್ಲೇಟು ಹೆಸರು
Added {0} users,{0} ಬಳಕೆದಾರರನ್ನು ಸೇರಿಸಲಾಗಿದೆ
Convert to Non-Group,ಗುಂಪಿಗೆ ಪರಿವರ್ತಿಸಿ
Set as Lost,ಲಾಸ್ಟ್ನಂತೆ ಹೊಂದಿಸಿ
Payroll Entry,ವೇತನದಾರರ ನಮೂದು
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2}.,{0} ಕಡ್ಡಾಯವಾಗಿದೆ. {1} ಗೆ {2} ಗೆ ಕರೆನ್ಸಿ ಎಕ್ಸ್ಚೇಂಜ್ ರೆಕಾರ್ಡ್ ಅನ್ನು ರಚಿಸಲಾಗಿಲ್ಲ.
Transporter Name,ಟ್ರಾನ್ಸ್ಪೋರ್ಟರ್ ಹೆಸರು
"Planned Qty: Quantity, for which, Work Order has been raised, but is pending to be manufactured.","ಯೋಜಿತ Qty: ಇದಕ್ಕಾಗಿ, ಕೆಲಸದ ಆದೇಶವನ್ನು ಹೆಚ್ಚಿಸಲಾಗಿದೆ, ಆದರೆ ತಯಾರಿಸಬೇಕಾದ ಬಾಕಿ ಉಳಿದಿದೆ."
Has Variants,ರೂಪಾಂತರಗಳು
Securities & Commodity Exchanges,ಸೆಕ್ಯುರಿಟೀಸ್ &amp; ಕಮೊಡಿಟಿ ಎಕ್ಸ್ಚೇಂಜ್ಗಳು
Deferred Expense,ಮುಂದೂಡಲ್ಪಟ್ಟ ಖರ್ಚು
Salary Slip ID,ವೇತನ ಸ್ಲಿಪ್ ID
Membership ID,ಸದಸ್ಯತ್ವ ID
Sales Register,ಮಾರಾಟದ ನೋಂದಣಿ
Please specify a valid 'From Case No.',ದಯವಿಟ್ಟು &#39;ಕೇಸ್ ನಂ ನಿಂದ&#39; ಮಾನ್ಯವನ್ನು ನಿರ್ದಿಷ್ಟಪಡಿಸಿ.
Primary Address and Contact Detail,ಪ್ರಾಥಮಿಕ ವಿಳಾಸ ಮತ್ತು ಸಂಪರ್ಕ ವಿವರಗಳು
This is based on transactions against this Customer. See timeline below for details,ಇದು ಈ ಗ್ರಾಹಕ ವಿರುದ್ಧ ವಹಿವಾಟುಗಳನ್ನು ಆಧರಿಸಿದೆ. ವಿವರಗಳಿಗಾಗಿ ಕೆಳಗೆ ಟೈಮ್ಲೈನ್ ನೋಡಿ
Hotels,ಹೊಟೇಲ್
Valid for Countries,ದೇಶಗಳಿಗೆ ಮಾನ್ಯ
Territory Target Variance Based On Item Group,ಐಟಂ ಗ್ರೂಪ್ನ ಆಧಾರದ ಮೇಲೆ ಪ್ರದೇಶದ ಟಾರ್ಗೆಟ್ ರೂಪಾಂತರ
Rename Tool,ಟೂಲ್ ಮರುಹೆಸರಿಸಿ
Total Payable Amount,ಒಟ್ಟು ಪಾವತಿಸಬಹುದಾದ ಮೊತ್ತ
Add All Suppliers,ಎಲ್ಲಾ ಪೂರೈಕೆದಾರರನ್ನು ಸೇರಿಸಿ
Row {0}: Currency of the BOM #{1} should be equal to the selected currency {2},ಸಾಲು {0}: BOM # {1} ನ ಕರೆನ್ಸಿ ಆಯ್ಕೆಮಾಡಿದ ಕರೆನ್ಸಿಗೆ ಸಮಾನವಾಗಿರುತ್ತದೆ {2}
Product,ಉತ್ಪನ್ನ
Value {0} for Attribute {1} does not exist in the list of valid Item Attribute Values for Item {2},ಗುಣಲಕ್ಷಣ {1} ಗೆ ಮೌಲ್ಯ {0} ಐಟಂಗಾಗಿ ಮಾನ್ಯ ಐಟಂ ಲಕ್ಷಣ ಮೌಲ್ಯಗಳ ಪಟ್ಟಿಯಲ್ಲಿ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ {2}
Weight (In Kilogram),ತೂಕ (ಕಿಲೋಗ್ರಾಂನಲ್ಲಿ)
Leave Approver,ಅನುಮೋದನೆಯನ್ನು ಬಿಡಿ
Transactions,ಟ್ರಾನ್ಸಾಕ್ಷನ್ಸ್
Resolution Details,ರೆಸಲ್ಯೂಶನ್ ವಿವರಗಳು
Delivery Note Item,ವಿತರಣೆ ಗಮನಿಸಿ ಐಟಂ
Connected to QuickBooks,ಕ್ವಿಕ್ಬುಕ್ಸ್ಗಳಿಗೆ ಸಂಪರ್ಕಿಸಲಾಗಿದೆ
Shelf Life In Days,ದಿನಗಳಲ್ಲಿ ಶೆಲ್ಫ್ ಜೀವನ
Key Reports,ಪ್ರಮುಖ ವರದಿಗಳು
Possible Supplier,ಸಂಭಾವ್ಯ ಪೂರೈಕೆದಾರ
Issued Items Against Work Order,ಕೆಲಸದ ಆದೇಶಕ್ಕೆ ವಿರುದ್ಧವಾಗಿ ನೀಡಿರುವ ಐಟಂಗಳು
Creating {0} Invoice,{0} ಸರಕುಪಟ್ಟಿ ರಚಿಸಲಾಗುತ್ತಿದೆ
Joining Date,ಸೇರುವ ದಿನಾಂಕ
Requesting Site,ಸೈಟ್ಗೆ ವಿನಂತಿಸಲಾಗುತ್ತಿದೆ
Against Expense Account,ಖರ್ಚು ಖಾತೆಗೆ ವಿರುದ್ಧವಾಗಿ
Cannot create a Delivery Trip from Draft documents.,ಡ್ರಾಫ್ಟ್ ದಾಖಲೆಗಳಿಂದ ಡೆಲಿವರಿ ಟ್ರಿಪ್ ರಚಿಸಲಾಗುವುದಿಲ್ಲ.
Lead to Quotation,ಕೊಟೇಶನ್ಗೆ ದಾರಿ ಮಾಡಿಕೊಡಿ
Check this if the Student is residing at the Institute's Hostel.,ವಿದ್ಯಾರ್ಥಿಯು ಇನ್ಸ್ಟಿಟ್ಯೂಟ್ನ ಹಾಸ್ಟೆಲ್ನಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದರೆ ಅದನ್ನು ಪರಿಶೀಲಿಸಿ.
Student {0} - {1} appears Multiple times in row {2} & {3},ವಿದ್ಯಾರ್ಥಿ {0} - {1} ಹಲವು ಬಾರಿ ಸಾಲುಗಳಲ್ಲಿ ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತದೆ {2} &amp; {3}
Creating Payment Entries......,ಪಾವತಿ ನಮೂದುಗಳನ್ನು ರಚಿಸಲಾಗುತ್ತಿದೆ ......
Total Planned Qty,ಒಟ್ಟು ಯೋಜನೆ ಕ್ಯೂಟಿ
Cost,ವೆಚ್ಚ
Healthcare Service Unit Type,ಆರೋಗ್ಯ ಸೇವೆ ಘಟಕ ಪ್ರಕಾರ
Please enter atleast 1 invoice in the table,ದಯವಿಟ್ಟು ಕೋಷ್ಟಕದಲ್ಲಿ ಕನಿಷ್ಟ 1 ಸರಕುಪಟ್ಟಿ ನಮೂದಿಸಿ
Sales Order {0} is not submitted,ಮಾರಾಟದ ಆದೇಶ {0} ಸಲ್ಲಿಸಲಾಗಿಲ್ಲ
Attendance has been marked successfully.,ಹಾಜರಾತಿಯನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಗುರುತಿಸಲಾಗಿದೆ.
Pre Sales,ಪೂರ್ವ ಮಾರಾಟ
Project master.,ಪ್ರಾಜೆಕ್ಟ್ ಮಾಸ್ಟರ್.
Daily Work Summary,ಡೈಲಿ ವರ್ಕ್ ಸಾರಾಂಶ
Partially Depreciated,ಭಾಗಶಃ ಖಿನ್ನತೆ
'Days Since Last Order' must be greater than or equal to zero,&#39;ಕೊನೆಯ ದಿನದಿಂದ ದಿನಗಳು&#39; ಶೂನ್ಯಕ್ಕಿಂತ ಹೆಚ್ಚಿರಬೇಕು ಅಥವಾ ಸಮನಾಗಿರಬೇಕು
For Default Supplier (optional),ಡೀಫಾಲ್ಟ್ ಪೂರೈಕೆದಾರಕ್ಕಾಗಿ (ಐಚ್ಛಿಕ)
Leave Encashed?,ಎನ್ಕಶ್ ಮಾಡಿದ್ದೀರಾ?
Discuss ID,ID ಯನ್ನು ಚರ್ಚಿಸಿ
Please set GST Accounts in GST Settings,GST ಸೆಟ್ಟಿಂಗ್ಗಳಲ್ಲಿ GST ಖಾತೆಗಳನ್ನು ಹೊಂದಿಸಿ
Billing Currency,ಬಿಲ್ಲಿಂಗ್ ಕರೆನ್ಸಿ
Student Activity,ವಿದ್ಯಾರ್ಥಿ ಚಟುವಟಿಕೆ
Either target qty or target amount is mandatory,ಗುರಿ qty ಅಥವ target ಪ್ರಮಾಣವು ಕಡ್ಡಾಯವಾಗಿರುತ್ತದೆ
{0} is now the default Fiscal Year. Please refresh your browser for the change to take effect.,{0} ಈಗ ಡೀಫಾಲ್ಟ್ ಹಣಕಾಸಿನ ವರ್ಷವಾಗಿದೆ. ಬದಲಾವಣೆ ಜಾರಿಗೆ ಬರಲು ದಯವಿಟ್ಟು ನಿಮ್ಮ ಬ್ರೌಸರ್ ಅನ್ನು ರಿಫ್ರೆಶ್ ಮಾಡಿ.
From Address 2,ವಿಳಾಸ 2 ರಿಂದ
"Of the supplies shown in 3.1 (a) above, details of inter-State supplies made to unregisterd
	persons, composition taxable persons and UIN holders","3.1 (ಎ) ಮೇಲೆ ತೋರಿಸಲಾದ ಸರಬರಾಜುಗಳಲ್ಲಿ, ನೋಂದಾಯಿಸದ ವ್ಯಕ್ತಿಗಳು, ಸಂಯೋಜಿತ ತೆರಿಗೆದಾರರು ಮತ್ತು UIN ಹೊಂದಿರುವವರಿಗೆ ಮಾಡಿದ ಅಂತರ-ಸಂಸ್ಥಾನದ ಸರಬರಾಜುಗಳ ವಿವರಗಳು"
Default Inventory Account,ಡೀಫಾಲ್ಟ್ ಇನ್ವೆಂಟರಿ ಖಾತೆ
The Year End Date cannot be earlier than the Year Start Date. Please correct the dates and try again.,ವರ್ಷಾಂತ್ಯದ ದಿನಾಂಕವು ವರ್ಷ ಪ್ರಾರಂಭ ದಿನಾಂಕಕ್ಕಿಂತ ಮುಂಚೆಯೇ ಇರಬಾರದು. ದಿನಾಂಕಗಳನ್ನು ಸರಿಪಡಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.
Target  Amount,ಟಾರ್ಗೆಟ್ ಮೊತ್ತ
Hotel Rooms of type {0} are unavailable on {1},ಹೋಟೆಲ್ ಕೊಠಡಿಗಳು {0} {1} ನಲ್ಲಿ ಲಭ್ಯವಿಲ್ಲ
New Customer Revenue,ಹೊಸ ಗ್ರಾಹಕರ ಆದಾಯ
Applicable Charges,ಅನ್ವಯಿಸುವ ಶುಲ್ಕಗಳು
Point of Sale,ಪಾಯಿಂಟ್ ಆಫ್ ಮಾರಾಟ
Approving User  (above authorized value),ಅನುಮೋದಿಸುವ ಬಳಕೆದಾರ (ಅಧಿಕೃತ ಮೌಲ್ಯದ ಮೇಲೆ)
Amount {0} {1} transferred from {2} to {3},{0} {1} {2} ರಿಂದ {3} ಕ್ಕೆ ವರ್ಗಾಯಿಸಲಾದ ಮೊತ್ತ
Customer {0} does not belong to project {1},ಗ್ರಾಹಕ {0} ಪ್ರಾಜೆಕ್ಟ್ಗೆ ಸೇರಿಲ್ಲ {1}
From Party Name,ಪಕ್ಷದ ಹೆಸರು
Maintenance Status,ನಿರ್ವಹಣೆ ಸ್ಥಿತಿ
Pending Qty,ಬಾಕಿ ಉಳಿದಿದೆ
 or ,ಅಥವಾ
Not Delivered,"ತಲುಪಿಲ್ಲ, ವಿತರಣೆಯಾಗಿಲ್ಲ"
Leave Type {0} cannot be allocated since it is leave without pay,ಬಿಡಿ ಇಲ್ಲದೆ ಬಿಟ್ಟುಹೋಗುವಾಗ ಬಿಡಿಬಿಡಿ {0} ಅನ್ನು ನಿಯೋಜಿಸಲಾಗುವುದಿಲ್ಲ
Debit Amount,ಡೆಬಿಟ್ ಮೊತ್ತ
Already record exists for the item {0},ಈಗಾಗಲೇ {0} ಐಟಂಗಾಗಿ ರೆಕಾರ್ಡ್ ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ
Sub Assemblies,ಸಬ್ ಅಸೆಂಬ್ಲೀಸ್
"If multiple Pricing Rules continue to prevail, users are asked to set Priority manually to resolve conflict.","ಅನೇಕ ಪ್ರೈಸಿಂಗ್ ರೂಲ್ಸ್ ಮುಂದುವರಿಯುವುದಾದರೆ, ಘರ್ಷಣೆಯನ್ನು ಪರಿಹರಿಸಲು ಬಳಕೆದಾರರನ್ನು ಆದ್ಯತೆ ಹೊಂದಿಸಲು ಕೇಳಲಾಗುತ್ತದೆ."
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',&#39;ಮಾನ್ಯತೆ&#39; ಅಥವಾ &#39;ಮೌಲ್ಯಾಂಕನ ಮತ್ತು ಒಟ್ಟು&#39; ಗಾಗಿ ವರ್ಗವು ಯಾವಾಗ ಕಡಿತಗೊಳಿಸಬಾರದು
BOM and Manufacturing Quantity are required,BOM ಮತ್ತು ಉತ್ಪಾದನಾ ಪ್ರಮಾಣವು ಅಗತ್ಯವಿದೆ
Item {0} has reached its end of life on {1},ಐಟಂ {0} ಅದರ ಜೀವನದ ಅಂತ್ಯವನ್ನು ತಲುಪಿದೆ {1}
Reading 6,ಓದುವಿಕೆ 6
Material Consumption is not set in Manufacturing Settings.,ಉತ್ಪಾದನಾ ಸೆಟ್ಟಿಂಗ್ಗಳಲ್ಲಿ ವಸ್ತು ಬಳಕೆ ಇಲ್ಲ.
Assessment Group Name,ಅಸೆಸ್ಮೆಂಟ್ ಗ್ರೂಪ್ ಹೆಸರು
Manufacturer Part Number,ತಯಾರಕ ಭಾಗ ಸಂಖ್ಯೆ
Payroll Payable,ವೇತನದಾರರ ಪಾವತಿಸಲಾಗುವುದು
Row #{0}: {1} can not be negative for item {2},ಸಾಲು # {0}: {1} ಐಟಂಗೆ ಋಣಾತ್ಮಕವಾಗಿರಲು ಸಾಧ್ಯವಿಲ್ಲ {2}
Balance Qty,ಬ್ಯಾಟನ್ಸ್ ಕ್ವಿಟಿ
1 Loyalty Points = How much base currency?,1 ಲಾಯಲ್ಟಿ ಪಾಯಿಂಟುಗಳು = ಎಷ್ಟು ಬೇಸ್ ಕರೆನ್ಸಿ?
Inpatient Record,ಒಳರೋಗಿ ರೆಕಾರ್ಡ್
Customer's Item Code,ಗ್ರಾಹಕರ ಐಟಂ ಕೋಡ್
Change Item Code,ಐಟಂ ಕೋಡ್ ಬದಲಾಯಿಸಿ
Student Group Instructor,ವಿದ್ಯಾರ್ಥಿ ಗುಂಪು ಬೋಧಕ
Transaction Type,ವಹಿವಾಟಿನ ಪ್ರಕಾರ
House rented dates should be atleast 15 days apart,ಹೌಸ್ ಬಾಡಿಗೆ ದಿನಾಂಕಗಳು ಕನಿಷ್ಠ 15 ದಿನಗಳ ಅಂತರದಲ್ಲಿರಬೇಕು
View Form,ಫಾರ್ಮ್ ವೀಕ್ಷಿಸಿ
Valuation Rate is mandatory if Opening Stock entered,ಆರಂಭಿಕ ಸ್ಟಾಕ್ ನಮೂದಿಸಿದಲ್ಲಿ ಮೌಲ್ಯಮಾಪನ ದರ ಕಡ್ಡಾಯವಾಗಿದೆ
Exit Interview Details,ಇಂಟರ್ವ್ಯೂ ವಿವರಗಳನ್ನು ನಿರ್ಗಮಿಸಿ
Accounting Details,ಲೆಕ್ಕಪರಿಶೋಧಕ ವಿವರಗಳು
Maintenance Schedule {0} must be cancelled before cancelling this Sales Order,ಈ ಮಾರಾಟದ ಆದೇಶವನ್ನು ರದ್ದುಮಾಡುವ ಮೊದಲು ನಿರ್ವಹಣೆ ವೇಳಾಪಟ್ಟಿ {0} ಅನ್ನು ರದ್ದುಗೊಳಿಸಬೇಕು
HR-DRI-.YYYY.-,ಎಚ್ಆರ್-ಡಿಆರ್ಐ- YYYY.-
Mention if non-standard receivable account,ಸ್ಟಾಂಡರ್ಡ್ ಅಲ್ಲದ ಸ್ವೀಕಾರಾರ್ಹ ಖಾತೆಯನ್ನು ಸೂಚಿಸಿ
Prescription,ಪ್ರಿಸ್ಕ್ರಿಪ್ಷನ್
Set as Closed,ಮುಚ್ಚಿದಂತೆ ಹೊಂದಿಸಿ
Opening Accumulated Depreciation,ಸಂಗ್ರಹವಾದ ಸವಕಳಿ ತೆರೆಯುತ್ತದೆ
Sand Composition (%),ಮರಳು ಸಂಯೋಜನೆ (%)
MFG-PP-.YYYY.-,MFG-PP- .YYYY.-
Import Day Book Data,ಆಮದು ದಿನ ಪುಸ್ತಕ ಡೇಟಾ
Asset Owner Company,ಆಸ್ತಿ ಮಾಲೀಕ ಕಂಪನಿ
Cost center is required to book an expense claim,ವೆಚ್ಚದ ಹಕ್ಕನ್ನು ಕಾಯ್ದಿರಿಸಲು ಖರ್ಚಿನ ಕೇಂದ್ರವು ಅಗತ್ಯವಾಗಿರುತ್ತದೆ
{0} valid serial nos for Item {1},ಐಟಂಗೆ {0} ಮಾನ್ಯವಾದ ಸೀರಿಯಲ್ ನೋಸ್ {1}
Cannot promote Employee with status Left,ನೌಕರರು ಸ್ಥಿತಿಯನ್ನು ಎಡಕ್ಕೆ ಪ್ರಚಾರ ಮಾಡಲಾಗುವುದಿಲ್ಲ
Expiry (In Days),ಮುಕ್ತಾಯ (ದಿನಗಳಲ್ಲಿ)
Notify Other,ಇತರೆ ಸೂಚಿಸಿ
Please select Company,ದಯವಿಟ್ಟು ಕಂಪನಿ ಆಯ್ಕೆಮಾಡಿ
Item-wise Purchase Register,ಐಟಂ-ಬುದ್ಧಿವಂತ ಖರೀದಿ ರಿಜಿಸ್ಟರ್
Reason For Leaving,ಬಿಡುವುದಕ್ಕೆ ಕಾರಣ
Earning & Deduction,ಸಂಪಾದನೆ ಮತ್ತು ಕಡಿತ
Employee Referral,ಉದ್ಯೋಗಿ ಉಲ್ಲೇಖ
Qty to Order,ಆದೇಶಕ್ಕೆ Qty
Request for purchase.,ಖರೀದಿಗೆ ವಿನಂತಿಸಿ.
Moving Average Rate,ಸರಾಸರಿ ದರವನ್ನು ಸರಿಸಲಾಗುತ್ತಿದೆ
Tax template for buying transactions.,ವಹಿವಾಟುಗಳನ್ನು ಖರೀದಿಸಲು ತೆರಿಗೆ ಟೆಂಪ್ಲೇಟ್.
Send SMS,SMS ಕಳುಹಿಸಿ
Unverified Webhook Data,ಪರಿಶೀಲಿಸದ ವೆಬ್ಹಕ್ ಡೇಟಾ
Human Resource,ಮಾನವ ಸಂಪನ್ಮೂಲ
{0} {1} has been modified. Please refresh.,{0} {1} ಮಾರ್ಪಡಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ರಿಫ್ರೆಶ್ ಮಾಡಿ.
Asset Depreciation Ledger,ಆಸ್ತಿ ಸವಕಳಿ ಲೆಡ್ಜರ್
Tree Details,ಮರ ವಿವರಗಳು
Create missing customer or supplier.,ಕಳೆದುಹೋದ ಗ್ರಾಹಕ ಅಥವಾ ಪೂರೈಕೆದಾರರನ್ನು ರಚಿಸಿ.
Blood Pressure (diastolic),ರಕ್ತದೊತ್ತಡ (ಡಯಾಸ್ಟೊಲಿಕ್)
As per rules 42 & 43 of CGST Rules,ಸಿಜಿಎಸ್ಟಿ ನಿಯಮಗಳ ನಿಯಮ 42 ಮತ್ತು 43 ರ ಪ್ರಕಾರ
Show in Website (Variant),ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ತೋರಿಸು (ರೂಪಾಂತರ)
Please set the Email ID for the Student to send the Payment Request,ಪಾವತಿ ವಿನಂತಿ ಕಳುಹಿಸಲು ದಯವಿಟ್ಟು ವಿದ್ಯಾರ್ಥಿಯ ಇಮೇಲ್ ID ಯನ್ನು ಹೊಂದಿಸಿ
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.","ಪ್ಯಾಕೇಜುಗಳನ್ನು ತಲುಪಿಸಲು ಸ್ಲಿಪ್ಗಳನ್ನು ಪ್ಯಾಕಿಂಗ್ ಮಾಡಿ. ಪ್ಯಾಕೇಜ್ ಸಂಖ್ಯೆ, ಪ್ಯಾಕೇಜ್ ವಿಷಯಗಳು ಮತ್ತು ಅದರ ತೂಕವನ್ನು ಸೂಚಿಸಲು ಬಳಸಲಾಗುತ್ತದೆ."
No of Requested SMS,ವಿನಂತಿಸಲಾಗಿಲ್ಲ SMS
Banking and Payments,ಬ್ಯಾಂಕಿಂಗ್ ಮತ್ತು ಪಾವತಿಗಳು
Instructor Log,ಬೋಧಕ ಲಾಗ್
Please enter valid email address,ದಯವಿಟ್ಟು ಮಾನ್ಯವಾದ ಇಮೇಲ್ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ
Retail Operations,ಚಿಲ್ಲರೆ ಕಾರ್ಯಾಚರಣೆಗಳು
Phone No,ದೂರವಾಣಿ ಸಂಖ್ಯೆ
Reqd By Date,ದಿನಾಂಕದಂದು ರೀಕ್ಡ್
Uncheck all,ಎಲ್ಲದನ್ನು ತೆಗಿ
To Place,ಇರಿಸಲು
Default Work In Progress Warehouse,ಪ್ರೋಗ್ರೆಸ್ ವೇರ್ಹೌಸ್ನಲ್ಲಿ ಡೀಫಾಲ್ಟ್ ಕೆಲಸ
Include Payment,ಪಾವತಿಯನ್ನು ಸೇರಿಸಿ
Byproducts,ಉಪ ಉತ್ಪನ್ನಗಳು
Student,ವಿದ್ಯಾರ್ಥಿ
Manage Customer Group Tree.,ಗ್ರಾಹಕ ಗುಂಪು ಟ್ರೀಯನ್ನು ನಿರ್ವಹಿಸಿ.
Payment From / To,/ ಗೆ ಪಾವತಿಸಿ
Serial number {0} entered more than once,ಸರಣಿ ಸಂಖ್ಯೆ {0} ಒಂದಕ್ಕಿಂತ ಹೆಚ್ಚು ಬಾರಿ ಪ್ರವೇಶಿಸಿತು
Website Item Group,ವೆಬ್ಸೈಟ್ ಐಟಂ ಗುಂಪು
CA,CA
Under Warranty,ಖಾತರಿ ಅಡಿಯಲ್ಲಿ
Invoice Posting Date,ಇನ್ವಾಯ್ಸ್ ಪೋಸ್ಟಿಂಗ್ ದಿನಾಂಕ
Delivery Note,ತಲುಪಿದ ವರದಿ
Attendance Freeze Date,ಹಾಜರಾತಿ ಫ್ರೀಜ್ ದಿನಾಂಕ
Item and Warranty Details,ಐಟಂ ಮತ್ತು ಖಾತರಿ ವಿವರಗಳು
Time Logs,ಸಮಯದ ದಾಖಲೆಗಳು
Extra Bed Capacity,ಎಕ್ಸ್ಟ್ರಾ ಬೆಡ್ ಸಾಮರ್ಥ್ಯ
Net Pay (in words) will be visible once you save the Salary Slip.,ಸಂಬಳ ಸ್ಲಿಪ್ ಉಳಿಸಿದ ನಂತರ ನಿವ್ವಳ ಪೇ (ಪದಗಳಲ್ಲಿ) ಕಾಣಿಸಿಕೊಳ್ಳುತ್ತದೆ.
Could not solve weighted score function. Make sure the formula is valid.,ತೂಕದ ಸ್ಕೋರ್ ಕಾರ್ಯವನ್ನು ಪರಿಹರಿಸಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ. ಸೂತ್ರವು ಮಾನ್ಯವಾಗಿದೆ ಎಂದು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ.
Asset Owner,ಆಸ್ತಿ ಮಾಲೀಕ
Warehouse is mandatory for stock Item {0} in row {1},ಸಾಲು {1} ನಲ್ಲಿ ಸ್ಟಾಕ್ ಐಟಂ {0} ಗಾಗಿ ವೇರ್ಹೌಸ್ ಕಡ್ಡಾಯವಾಗಿದೆ.
Total Additional Costs,ಒಟ್ಟು ಹೆಚ್ಚುವರಿ ವೆಚ್ಚಗಳು
Last Sync On,ಕೊನೆಯ ಸಿಂಕ್ ಆನ್
