DocType: Accounting Period,Period Name,期间名称
DocType: Loyalty Program,1 Loyalty Points = How much base currency?,1忠诚度积分=多少基本币？
DocType: Salary Component,Deduction,扣除
DocType: Item,Retain Sample,保留样品
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Row {0}: From Time and To Time is mandatory.,行{0}：开始时间和结束时间必填。
DocType: Stock Reconciliation Item,Amount Difference,金额差异
apps/erpnext/erpnext/public/js/hub/pages/Buying.vue,This page keeps track of items you want to buy from sellers.,此页面会跟踪您要从卖家处购买的商品。
apps/erpnext/erpnext/stock/get_item_details.py,Item Price added for {0} in Price List {1},物料价格{0}自动添加到价格清单{1}中了，以备以后订单使用
DocType: Delivery Stop,Order Information,订单信息
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person_tree.js,Please enter Employee Id of this sales person,请输入这个销售人员的员工标识
DocType: Territory,Classification of Customers by region,客户按区域分类
apps/erpnext/erpnext/stock/report/item_variant_details/item_variant_details.py,In Production,在生产中
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Difference Amount must be zero,差量必须是零
DocType: Project,Gross Margin,毛利
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,{0} applicable after {1} working days,在{1}个工作日后适用{0}
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Please enter Production Item first,请先输入待生产物料
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py,Calculated Bank Statement balance,计算的银行对账单余额
DocType: Normal Test Template,Normal Test Template,正常测试模板
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.js,disabled user,已禁用用户
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Quotation,报价
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Cannot set a received RFQ to No Quote,无法将收到的询价单设置为无报价
DocType: Salary Slip,Total Deduction,扣除总额
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Select an account to print in account currency,选择一个科目以科目币别进行打印
DocType: BOM,Transfer Material Against,转移材料
,Production Analytics,生产Analytics（分析）
apps/erpnext/erpnext/healthcare/doctype/patient/patient_dashboard.py,This is based on transactions against this Patient. See timeline below for details,这是基于对这个病人的交易。有关信息，请参阅下面的工时单
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.py,Loan Start Date and Loan Period are mandatory to save the Invoice Discounting,贷款开始日期和贷款期限是保存发票折扣的必要条件
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Cost Updated,成本更新
apps/erpnext/erpnext/regional/india/utils.py,Vehicle Type is required if Mode of Transport is Road,如果运输方式为道路，则需要车辆类型
DocType: Inpatient Record,Date of Birth,出生日期
DocType: Quality Action,Resolutions,决议
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Item {0} has already been returned,物料{0}已被退回
DocType: Fiscal Year,**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**财年**表示财务年度。所有的会计分录和其他重大交易将根据**财年**跟踪。
DocType: Opportunity,Customer / Lead Address,客户/潜在客户地址
DocType: Supplier Scorecard Period,Supplier Scorecard Setup,供应商记分卡设置
DocType: Customer Credit Limit,Customer Credit Limit,客户信用额度
apps/erpnext/erpnext/education/report/assessment_plan_status/assessment_plan_status.py,Assessment Plan Name,评估计划名称
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year_dashboard.py,Target Details,目标细节
apps/erpnext/erpnext/regional/italy/setup.py,"Applicable if the company is SpA, SApA or SRL",如果公司是SpA，SApA或SRL，则适用
DocType: Work Order Operation,Work Order Operation,工单操作
apps/erpnext/erpnext/stock/doctype/item/item.py,Warning: Invalid SSL certificate on attachment {0},警告：附件{0}中存在无效的SSL证书
apps/erpnext/erpnext/regional/italy/setup.py,Set this if the customer is a Public Administration company.,如果客户是公共管理公司，请设置此项。
apps/erpnext/erpnext/utilities/activation.py,"Leads help you get business, add all your contacts and more as your leads",信息帮助你的业务，你所有的联系人和更添加为您的线索
DocType: Work Order Operation,Actual Operation Time,实际操作时间
DocType: Authorization Rule,Applicable To (User),适用于(用户)
DocType: Purchase Taxes and Charges,Deduct,扣除
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Job Description,职位描述
DocType: Student Applicant,Applied,应用的
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Details of Outward Supplies and inward supplies liable to reverse charge,向外供应和向内供应的详细信息可能被撤销费用
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Re-open,重新打开
DocType: Sales Invoice Item,Qty as per Stock UOM,按库存计量单位数量
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian2 Name,Guardian2名称
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,Root Company,根公司
DocType: Attendance,Attendance Request,考勤申请
DocType: Purchase Invoice,02-Post Sale Discount,02-售后折扣
DocType: Campaign,"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment.",追踪促销活动。追踪来自营销活动的线索，报价，销售订单等，统计投资回报率。
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.py,You can't redeem Loyalty Points having more value than the Grand Total.,您无法兑换价值超过总计的忠诚度积分。
DocType: Department Approver,Approver,审批者
apps/erpnext/erpnext/selling/report/pending_so_items_for_purchase_request/pending_so_items_for_purchase_request.py,SO Qty,销售订单数量
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field To Shareholder cannot be blank,“股东”字段不能为空
DocType: Guardian,Work Address,工作地址
DocType: Appraisal,Calculate Total Score,计算总分
DocType: Employee,Health Insurance,医保
DocType: Asset Repair,Manufacturing Manager,生产经理
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Serial No {0} is under warranty upto {1},序列号{0}截至至{1}之前在保修内。
DocType: Plant Analysis Criteria,Minimum Permissible Value,最小允许值
apps/erpnext/erpnext/education/doctype/guardian/guardian.py,User {0} already exists,用户{0}已经存在
apps/erpnext/erpnext/hooks.py,Shipments,运输
DocType: Payment Entry,Total Allocated Amount (Company Currency),总拨款额（公司币种）
DocType: Purchase Order Item,To be delivered to customer,将出货给客户
DocType: BOM,Scrap Material Cost,废料成本
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial No {0} does not belong to any Warehouse,序列号{0}不属于任何仓库
DocType: Grant Application,Email Notification Sent,电子邮件通知已发送
DocType: Purchase Invoice,In Words (Company Currency),大写金额（公司货币）
apps/erpnext/erpnext/accounts/doctype/bank_account/bank_account.py,Company is manadatory for company account,公司是公司账户的强制项
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,"Item Code, warehouse, quantity are required on row",在该行上需要物料代码，仓库，数量
DocType: Bank Guarantee,Supplier,供应商
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js,Get From,得到
apps/erpnext/erpnext/hr/doctype/department/department.js,This is a root department and cannot be edited.,这是根部门，无法编辑。
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show Payment Details,显示付款信息
apps/erpnext/erpnext/crm/report/lead_conversion_time/lead_conversion_time.py,Duration in Days,持续时间天数
DocType: C-Form,Quarter,季
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Miscellaneous Expenses,杂项费用
DocType: Global Defaults,Default Company,默认公司
DocType: Company,Transactions Annual History,交易年历
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Bank account '{0}' has been synchronized,银行帐户“{0}”已同步
apps/erpnext/erpnext/controllers/stock_controller.py,Expense or Difference account is mandatory for Item {0} as it impacts overall stock value,必须为物料{0}指定费用/差异科目，因为会影响整个库存的价值。
DocType: Bank,Bank Name,银行名称
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Leave the field empty to make purchase orders for all suppliers,将该字段留空以为所有供应商下达采购订单
DocType: Healthcare Practitioner,Inpatient Visit Charge Item,住院访问费用项目
DocType: Vital Signs,Fluid,流体
DocType: Leave Application,Total Leave Days,总休假天数
DocType: Email Digest,Note: Email will not be sent to disabled users,注意：邮件不会发送给已禁用用户
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.js,Number of Interaction,接洽次数
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.js,Number of Interaction,交互次数
DocType: GSTR 3B Report,February,二月
apps/erpnext/erpnext/stock/doctype/item/item.js,Item Variant Settings,物料变式设置
apps/erpnext/erpnext/public/js/account_tree_grid.js,Select Company...,选择公司...
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,{0} is mandatory for Item {1},{0}是{1}的必填项
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,"Item {0}: {1} qty produced, ",项目{0}：{1}产生的数量，
DocType: Payroll Entry,Fortnightly,半月刊
DocType: Currency Exchange,From Currency,源货币
DocType: Vital Signs,Weight (In Kilogram),体重（公斤）
DocType: Chapter,"chapters/chapter_name
leave blank automatically set after saving chapter.",保留空白的章节/章节名称在保存章节后会自动设置。
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Please set GST Accounts in GST Settings,请在GST设置中设置GST科目
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.js,Type of Business,业务类型
DocType: Sales Invoice,Consumer,消费者
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,"Please select Allocated Amount, Invoice Type and Invoice Number in atleast one row",请ATLEAST一行选择分配金额，费用清单类型和费用清单号码
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost of New Purchase,新的采购成本
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Sales Order required for Item {0},销售订单为物料{0}的必须项
DocType: Grant Application,Grant Description,授予说明
DocType: Purchase Invoice Item,Rate (Company Currency),单价（公司货币）
DocType: Student Guardian,Others,他人
DocType: Subscription,Discounts,折扣
DocType: Bank Transaction,Unallocated Amount,未分配金额
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,请启用适用于采购订单并适用于预订实际费用
apps/erpnext/erpnext/templates/includes/product_page.js,Cannot find a matching Item. Please select some other value for {0}.,无法找到匹配的项目。请选择其他值{0}。
DocType: POS Profile,Taxes and Charges,税/费
DocType: Item,"A Product or a Service that is bought, sold or kept in stock.",库存中已被采购，销售或保留的一个产品或服务
apps/erpnext/erpnext/hr/page/team_updates/team_updates.js,No more updates,没有更多的更新
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,第一行的“收取类型”不能是“基于上一行的金额”或者“前一行的总计”
DocType: Purchase Order,PUR-ORD-.YYYY.-,PUR-ORD-.YYYY.-
apps/erpnext/erpnext/buying/doctype/supplier_scorecard/supplier_scorecard_dashboard.py,This covers all scorecards tied to this Setup,这涵盖了与此安装程序相关的所有记分卡
apps/erpnext/erpnext/selling/doctype/product_bundle/product_bundle.py,Child Item should not be a Product Bundle. Please remove item `{0}` and save,子项不应该是一个产品包。请删除项目`{0}`和保存
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Banking,银行业
apps/erpnext/erpnext/utilities/activation.py,Add Timesheets,添加工时单
DocType: Vehicle Service,Service Item,服务项目
DocType: Bank Guarantee,Bank Guarantee,银行担保
DocType: Bank Guarantee,Bank Guarantee,银行担保
DocType: Payment Request,Transaction Details,交易明细
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please click on 'Generate Schedule' to get schedule,请在“生成表”点击获取工时单
DocType: Item,"Purchase, Replenishment Details",采购，补货细节
DocType: Products Settings,Enable Field Filters,启用字段过滤器
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Customer Provided Item"" cannot be Purchase Item also","""Customer Provided Item（客户提供的物品）"" 也不可被采购"
DocType: Blanket Order Item,Ordered Quantity,已下单数量
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Build tools for builders""",例如“建筑工人的建筑工具！”
DocType: Grading Scale,Grading Scale Intervals,分级刻度间隔
apps/erpnext/erpnext/regional/india/utils.py,Invalid {0}! The check digit validation has failed. ,{0}无效！校验位验证失败。
DocType: Item Default,Purchase Defaults,采购默认值
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again",无法自动创建Credit Note，请取消选中&#39;Issue Credit Note&#39;并再次提交
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Added to Featured Items,已添加到精选商品
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Profit for the year,年度利润
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}在{2}会计分录只能用货币单位：{3}
DocType: Fee Schedule,In Process,进行中
DocType: Authorization Rule,Itemwise Discount,物料级的折扣
apps/erpnext/erpnext/config/accounting.py,Tree of financial accounts.,财务账目的树。
DocType: Cash Flow Mapping,Cash Flow Mapping,现金流量映射
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Sales Order {1},{0}不允许销售订单{1}
DocType: Account,Fixed Asset,固定资产
DocType: Amazon MWS Settings,After Date,日期之后
apps/erpnext/erpnext/config/help.py,Serialized Inventory,序列化库存
,Department Analytics,部门分析
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Email not found in default contact,在默认联系人中找不到电子邮件
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.js,Generate Secret,生成秘密
DocType: Question,Question,题
DocType: Loan,Account Info,科目信息
DocType: Activity Type,Default Billing Rate,默认开票单价
DocType: Fees,Include Payment,包括付款
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,{0} Student Groups created.,{0}学生组已创建
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,{0} Student Groups created.,{0}学生组已创建
DocType: Sales Invoice,Total Billing Amount,总结算金额
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.py,Program in the Fee Structure and Student Group {0} are different.,费用结构和学生组{0}中的课程是不同的。
DocType: Bank Statement Transaction Entry,Receivable Account,应收账款
apps/erpnext/erpnext/stock/doctype/item_price/item_price.py,Valid From Date must be lesser than Valid Upto Date.,有效起始日期必须小于有效起始日期。
DocType: Employee Skill,Evaluation Date,评估日期
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} is already {2},行＃{0}：资产{1}已经是{2}
DocType: Quotation Item,Stock Balance,库存余额
apps/erpnext/erpnext/config/help.py,Sales Order to Payment,销售订单到付款
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,CEO,CEO
DocType: Purchase Invoice,With Payment of Tax,缴纳税款
DocType: Expense Claim Detail,Expense Claim Detail,报销信息
apps/erpnext/erpnext/education/utils.py,You are not allowed to enroll for this course,您无权注册此课程
DocType: Purchase Invoice,TRIPLICATE FOR SUPPLIER,供应商提供服务
DocType: Exchange Rate Revaluation Account,New Balance In Base Currency,本币新余额
DocType: Location,Is Container,是容器
DocType: Crop Cycle,This will be day 1 of the crop cycle,这将是作物周期的第一天
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Please select correct account,请选择正确的科目
DocType: Salary Structure Assignment,Salary Structure Assignment,薪资结构分配
DocType: Purchase Invoice Item,Weight UOM,重量计量单位
apps/erpnext/erpnext/config/accounting.py,List of available Shareholders with folio numbers,包含folio号码的可用股东名单
DocType: Salary Structure Employee,Salary Structure Employee,薪资结构员工
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.js,Show Variant Attributes,显示变体属性
DocType: Student,Blood Group,血型
DocType: Purchase Invoice Item,Page Break,分页符
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,The payment gateway account in plan {0} is different from the payment gateway account in this payment request,计划{0}中的支付网关帐户与此付款请求中的支付网关帐户不同
DocType: Course,Course Name,课程名
apps/erpnext/erpnext/accounts/doctype/tax_withholding_category/tax_withholding_category.py,No Tax Withholding data found for the current Fiscal Year.,未找到当前财年的预扣税数据。
DocType: Employee Leave Approver,Users who can approve a specific employee's leave applications,可以为特定用户批准假期的用户
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Equipments,办公设备
DocType: Pricing Rule,Qty,数量
DocType: Fiscal Year,Companies,企业
DocType: Supplier Scorecard,Scoring Setup,得分设置
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Electronics,电子
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Debit ({0}),借记卡（{0}）
DocType: BOM,Allow Same Item Multiple Times,多次允许相同的项目
DocType: Stock Settings,Raise Material Request when stock reaches re-order level,当库存达到重订货点时提出物料申请
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Full-time,全职
DocType: Payroll Entry,Employees,员工
DocType: Question,Single Correct Answer,单一正确答案
DocType: C-Form,Received Date,收到日期
DocType: Delivery Note,"If you have created a standard template in Sales Taxes and Charges Template, select one and click on the button below.",如果您已经创建了销项税/费标准模板，选择一个，然后点击下面的按钮。
DocType: BOM Scrap Item,Basic Amount (Company Currency),基本金额（公司币种）
DocType: Student,Guardians,守护者
apps/erpnext/erpnext/templates/pages/integrations/gocardless_confirmation.html,Payment Confirmation,付款确认
apps/erpnext/erpnext/regional/india/utils.py,Unsupported GST Category for e-Way Bill JSON generation,用于e-Way Bill JSON生成的不支持的GST类别
DocType: Shopping Cart Settings,Prices will not be shown if Price List is not set,价格将不会显示如果没有设置价格
DocType: Material Request Item,Received Quantity,收到的数量
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,To Date must be greater than From Date,到日期必须大于从日期
DocType: Stock Entry,Total Incoming Value,总收到金额
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Debit To is required,借记是必需的
DocType: Clinical Procedure,Inpatient Record,住院病历
apps/erpnext/erpnext/utilities/activation.py,"Timesheets help keep track of time, cost and billing for activites done by your team",工时单帮助追踪记录你的团队完成的时间，费用和活动的账单
apps/erpnext/erpnext/stock/report/item_prices/item_prices.py,Purchase Price List,采购价格清单
DocType: Communication Medium Timeslot,Employee Group,员工组
apps/erpnext/erpnext/accounts/report/tds_payable_monthly/tds_payable_monthly.py,Date of Transaction,交易日期
apps/erpnext/erpnext/config/buying.py,Templates of supplier scorecard variables.,供应商记分卡变数模板。
DocType: Job Offer Term,Offer Term,录用通知条款
DocType: Asset,Quality Manager,质量经理
DocType: Job Applicant,Job Opening,职务空缺
DocType: Employee,Default Shift,默认Shift
DocType: Payment Reconciliation,Payment Reconciliation,付款对账
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please select Incharge Person's name,请选择Incharge人的名字
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Technology,技术
apps/erpnext/erpnext/public/js/utils.js,Total Unpaid: {0},总未付：{0}
DocType: BOM Website Operation,BOM Website Operation,物料清单网站运营
DocType: Bank Statement Transaction Payment Item,outstanding_amount,未付金额
DocType: Supplier Scorecard,Supplier Score,供应商分数
apps/erpnext/erpnext/healthcare/doctype/patient_encounter/patient_encounter.js,Schedule Admission,安排入场
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Total Payment Request amount cannot be greater than {0} amount,总付款请求金额不能大于{0}金额
DocType: Tax Withholding Rate,Cumulative Transaction Threshold,累积交易阈值
DocType: Promotional Scheme Price Discount,Discount Type,折扣类型
DocType: Purchase Invoice Item,Is Free Item,是免费物品
DocType: Buying Settings,Percentage you are allowed to transfer more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to transfer 110 units.,允许您根据订购数量转移更多的百分比。例如：如果您订购了100个单位。你的津贴是10％，那么你可以转让110个单位。
DocType: Supplier,Warn RFQs,警告RFQs
apps/erpnext/erpnext/public/js/hub/pages/Home.vue,Explore,探索
DocType: BOM,Conversion Rate,转换率
apps/erpnext/erpnext/www/all-products/index.html,Product Search,产品搜索
,Bank Remittance,银行汇款
DocType: Cashier Closing,To Time,要时间
DocType: Invoice Discounting,Loan End Date,贷款结束日期
apps/erpnext/erpnext/hr/utils.py,) for {0},）为{0}
DocType: Authorization Rule,Approving Role (above authorized value),批准角色（上述授权值）
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Credit To account must be a Payable account,入贷科目必须是一个“应付”科目
DocType: Loan,Total Amount Paid,总金额支付
DocType: Asset,Insurance End Date,保险终止日期
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.py,Please select Student Admission which is mandatory for the paid student applicant,请选择学生报到，这是对已付费学生申请者是强制性的
DocType: Pick List,STO-PICK-.YYYY.-,STO-PICK-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,Budget List,预算清单
DocType: Campaign,Campaign Schedules,活动时间表
DocType: Job Card Time Log,Completed Qty,已完成数量
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,"For {0}, only debit accounts can be linked against another credit entry",对于{0}，只有借方分录可以与另一个借方科目链接
DocType: Manufacturing Settings,Allow Overtime,允许加班
DocType: Training Event Employee,Training Event Employee,培训项目员工
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Maximum Samples - {0} can be retained for Batch {1} and Item {2}.,可以为批次{1}和物料{2}保留最大样本数量{0}。
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js,Add Time Slots,添加时间空挡
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,{0} Serial Numbers required for Item {1}. You have provided {2}.,物料{1}需要{0}的序列号。您已提供{2}。
DocType: Stock Reconciliation Item,Current Valuation Rate,当前评估价
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.py,Number of root accounts cannot be less than 4,root帐户数不能少于4
DocType: Training Event,Advance,预支
apps/erpnext/erpnext/config/integrations.py,GoCardless payment gateway settings,GoCardless支付网关设置
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Exchange Gain/Loss,汇兑损益
DocType: Opportunity,Lost Reason,遗失的原因
DocType: Amazon MWS Settings,Enable Amazon,启用亚马逊
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Account {1} does not belong to company {2},行＃{0}：科目{1}不属于公司{2}
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Unable to find DocType {0},无法找到DocType {0}
apps/erpnext/erpnext/public/js/templates/address_list.html,New Address,新地址
DocType: Quality Inspection,Sample Size,样本大小
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Please enter Receipt Document,请输入收据凭证
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py,All items have already been invoiced,所有物料已开具费用清单
apps/erpnext/erpnext/hr/report/employee_leave_balance_summary/employee_leave_balance_summary.py,Leaves Taken,叶子采取
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py,Please specify a valid 'From Case No.',请指定一个有效的“从案号”
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,Further cost centers can be made under Groups but entries can be made against non-Groups,进一步的成本中心可以根据组进行，但项可以对非组进行
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Total allocated leaves are more days than maximum allocation of {0} leave type for employee {1} in the period,在此期间，合计分配的假期大于员工{1}的最大分配{0}离职类型的天数
DocType: Branch,Branch,分支机构（分公司）
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"Other outward supplies(Nil rated,Exempted)",其他外向供应（未评级，豁免）
DocType: Soil Analysis,Ca/(K+Ca+Mg),钙 /（钾 +钙+镁）
DocType: Delivery Trip,Fulfillment User,履行用户
apps/erpnext/erpnext/config/settings.py,Printing and Branding,印刷及品牌
DocType: Company,Total Monthly Sales,每月销售总额
DocType: Course Activity,Enrollment,注册
DocType: Payment Request,Subscription Plans,订阅计划
DocType: Agriculture Analysis Criteria,Weather,天气
DocType: Bin,Actual Quantity,实际数量
DocType: Shipping Rule,example: Next Day Shipping,例如：次日发货
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Serial No {0} not found,序列号{0}未找到
DocType: Fee Schedule Program,Fee Schedule Program,费用计划计划
DocType: Fee Schedule Program,Student Batch,学生批次
DocType: Pricing Rule,Advanced Settings,高级设置
DocType: Supplier Scorecard Scoring Standing,Min Grade,最小成绩
DocType: Healthcare Service Unit Type,Healthcare Service Unit Type,医疗服务单位类型
DocType: Training Event Employee,Feedback Submitted,提交反馈
apps/erpnext/erpnext/projects/doctype/project/project.py,You have been invited to collaborate on the project: {0},您已被邀请在项目上进行合作：{0}
DocType: Supplier Group,Parent Supplier Group,上级供应商组
DocType: Email Digest,Purchase Orders to Bill,需要开具账单的采购订单
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.js,Accumulated Values in Group Company,集团公司累计价值
DocType: Leave Block List Date,Block Date,禁离日期
DocType: Item,You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,您可以在此字段中使用任何有效的Bootstrap 4标记。它将显示在您的项目页面上。
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"Outward taxable supplies(other than zero rated, nil rated and exempted",外向应税供应品（零税率，零税率和豁免除外）
DocType: Crop,Crop,作物
DocType: Purchase Receipt,Supplier Delivery Note,供应商送货单
apps/erpnext/erpnext/education/doctype/student_admission/templates/student_admission.html,Apply Now,现在申请
DocType: Employee Tax Exemption Proof Submission Detail,Type of Proof,证明类型
apps/erpnext/erpnext/stock/dashboard/item_dashboard_list.html,Actual Qty {0} / Waiting Qty {1},实际数量{0} /等待数量{1}
apps/erpnext/erpnext/stock/dashboard/item_dashboard_list.html,Actual Qty {0} / Waiting Qty {1},实际数量{0} /等待数量{1}
DocType: Purchase Invoice,E-commerce GSTIN,电子商务GSTIN
DocType: Sales Order,Not Delivered,未交付
,Bank Clearance Summary,银行清帐汇总报表
apps/erpnext/erpnext/config/settings.py,"Create and manage daily, weekly and monthly email digests.",创建和管理每日，每周和每月的电子邮件摘要。
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person_dashboard.py,This is based on transactions against this Sales Person. See timeline below for details,这是基于针对此销售人员的交易。请参阅下面的时间表了解详情
DocType: Appraisal Goal,Appraisal Goal,绩效评估指标
DocType: Stock Reconciliation Item,Current Amount,电流量
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Buildings,房屋
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period.py,Leaves has been granted sucessfully,叶子已成功获得
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_transaction_row.html,New Invoice,新发票
DocType: Products Settings,Enable Attribute Filters,启用属性过滤器
DocType: Fee Schedule,Fee Structure,费用结构
DocType: Timesheet Detail,Costing Amount,成本核算金额
DocType: Student Admission Program,Application Fee,报名费
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.js,Submit Salary Slip,提交工资单
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice_list.js,On Hold,暂缓处理
