DocType: Accounting Period,Period Name,Nom de période
DocType: Homepage,Homepage,Page d'Accueil
DocType: Grant Application,Grant Application Details ,Détails de la demande de subvention
DocType: Employee Separation,Employee Separation,Départ des employés
DocType: BOM Item,Original Item,Article original
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Date,Date du document
apps/erpnext/erpnext/education/doctype/program_enrollment/program_enrollment.py,Fee Records Created - {0},Archive d'Honoraires Créée - {0}
DocType: Asset Category Account,Asset Category Account,Compte de Catégorie d'Actif
apps/erpnext/erpnext/controllers/item_variant.py,The value {0} is already assigned to an exisiting Item {2}.,La valeur {0} est déjà attribuée à un élément existant {2}.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Row #{0} (Payment Table): Amount must be positive,Ligne #{0} (Table de paiement): Le montant doit être positif
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Cannot produce more Item {0} than Sales Order quantity {1},Impossible de produire plus d'Article {0} que la quantité {1} du Bon de Commande
apps/erpnext/erpnext/accounts/report/gross_and_net_profit_report/gross_and_net_profit_report.py,Nothing is included in gross,Rien n&#39;est inclus dans le brut
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill already exists for this document,e-Way Bill existe déjà pour ce document
apps/erpnext/erpnext/stock/doctype/item/item.js,Select Attribute Values,Sélectionner les valeurs d&#39;attribut
DocType: Purchase Invoice,Reason For Issuing document,Motif de l'émission du document
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Stock Entry {0} is not submitted,Écriture de Stock {0} n'est pas soumise
DocType: Payment Reconciliation,Bank / Cash Account,Compte Bancaire / de Caisse
DocType: Bank Transaction,ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-
apps/erpnext/erpnext/crm/doctype/lead/lead.py,Next Contact By cannot be same as the Lead Email Address,Prochain Contact Par ne peut être identique à l’Adresse Email du Prospect
DocType: Tax Rule,Billing City,Ville de Facturation
apps/erpnext/erpnext/regional/italy/setup.py,Applicable if the company is an Individual or a Proprietorship,Applicable si la société est un particulier ou une entreprise
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,Log Type is required for check-ins falling in the shift: {0}.,Le type de journal est requis pour les enregistrements entrant dans le quart de travail: {0}.
DocType: Asset,Manual,Manuel
DocType: Tally Migration,Is Master Data Processed,Les données de base sont-elles traitées?
DocType: Salary Component Account,Salary Component Account,Compte Composante Salariale
DocType: Global Defaults,Hide Currency Symbol,Masquer le Symbole Monétaire
apps/erpnext/erpnext/config/non_profit.py,Donor information.,Informations sur le donneur
apps/erpnext/erpnext/config/accounting.py,"e.g. Bank, Cash, Credit Card","e.g. Cash, Banque, Carte de crédit"
DocType: Vital Signs,"Normal resting blood pressure in an adult is approximately 120 mmHg systolic, and 80 mmHg diastolic, abbreviated ""120/80 mmHg""","La tension artérielle normale chez un adulte est d&#39;environ 120 mmHg systolique et 80 mmHg diastolique, abrégé &quot;120/80 mmHg&quot;"
DocType: Journal Entry,Credit Note,Note de Crédit
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,Finished Good Item Code,Code d&#39;article fini
apps/erpnext/erpnext/config/desktop.py,Quality,Qualité
DocType: Projects Settings,Ignore Employee Time Overlap,Ignorer les chevauchements de temps des employés
DocType: Warranty Claim,Service Address,Adresse du Service
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.js,Import Master Data,Importer des données de base
DocType: Asset Maintenance Task,Calibration,Étalonnage
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} is a company holiday,{0} est un jour férié pour la société
apps/erpnext/erpnext/projects/report/billing_summary.py,Billable Hours,Heures facturables
apps/erpnext/erpnext/patches/v11_0/add_default_email_template_for_leave.py,Leave Status Notification,Notification de statut des congés
DocType: Patient Appointment,Procedure Prescription,Prescription de la procédure
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Furnitures and Fixtures,Meubles et Accessoires
DocType: Travel Request,Travel Type,Type de déplacement
DocType: Purchase Invoice Item,Manufacture,Production
DocType: Blanket Order,MFG-BLR-.YYYY.-,MFG-BLR-.YYYY.-
apps/erpnext/erpnext/utilities/user_progress.py,Setup Company,Configurer la Société
,Lab Test Report,Rapport de test de laboratoire
DocType: Employee Benefit Application,Employee Benefit Application,Demande d'avantages sociaux
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.py,Row({0}): {1} is already discounted in {2},Ligne ({0}): {1} est déjà réduit dans {2}.
apps/erpnext/erpnext/hr/doctype/additional_salary/additional_salary.py,Additional Salary Component Exists.,La composante salariale supplémentaire existe.
DocType: Purchase Invoice,Unregistered,Non enregistré
DocType: Student Applicant,Application Date,Date de la Candidature
DocType: Salary Component,Amount based on formula,Montant basé sur la formule
DocType: Purchase Invoice,Currency and Price List,Devise et liste de prix
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Create Maintenance Visit,Créer une visite de maintenance
DocType: Opportunity,Customer / Lead Name,Nom du Client / Prospect
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py,Clearance Date not mentioned,Date de Compensation non indiquée
DocType: Payroll Period,Taxable Salary Slabs,Paliers de salaire imposables
apps/erpnext/erpnext/config/manufacturing.py,Production,Production
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! The input you've entered doesn't match the format of GSTIN.,GSTIN invalide! L&#39;entrée que vous avez entrée ne correspond pas au format de GSTIN.
DocType: Guardian,Occupation,Occupation
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,For Quantity must be less than quantity {0},Pour que la quantité doit être inférieure à la quantité {0}
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Row {0}:Start Date must be before End Date,Ligne {0} : La Date de Début doit être avant la Date de Fin
DocType: Salary Component,Max Benefit Amount (Yearly),Montant maximum des prestations sociales (annuel)
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,TDS Rate %,Taux de TDS%
DocType: Crop,Planting Area,Zone de plantation
apps/erpnext/erpnext/controllers/trends.py,Total(Qty),Total (Qté)
DocType: Installation Note Item,Installed Qty,Qté Installée
apps/erpnext/erpnext/utilities/user_progress.py,You added ,Vous avez ajouté
,Product Bundle Balance,Balance de produit
DocType: Purchase Taxes and Charges,Parenttype,Type Parent
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Central Tax,Taxe centrale
apps/erpnext/erpnext/hr/doctype/training_event/training_event.js,Training Result,Résultat de la Formation
DocType: Purchase Invoice,Is Paid,Est Payé
DocType: Salary Structure,Total Earning,Total Revenus
DocType: Purchase Receipt,Time at which materials were received,Heure à laquelle les matériaux ont été reçus
DocType: Products Settings,Products per Page,Produits par page
DocType: Stock Ledger Entry,Outgoing Rate,Taux Sortant
apps/erpnext/erpnext/controllers/accounts_controller.py, or ,ou
apps/erpnext/erpnext/public/js/purchase_trends_filters.js,Billing Date,Date de facturation
apps/erpnext/erpnext/accounts/utils.py,Allocated amount cannot be negative,Le montant alloué ne peut être négatif
DocType: Sales Order,Billing Status,Statut de la Facturation
apps/erpnext/erpnext/public/js/conf.js,Report an Issue,Signaler un Problème
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","Si vous {0} {1} quantités de l&#39;article <b>{2}</b> , le schéma <b>{3}</b> sera appliqué à l&#39;article."
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Utility Expenses,Frais de Services d'Utilité Publique
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,90-Above,90-Dessus
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Row #{0}: Journal Entry {1} does not have account {2} or already matched against another voucher,Ligne #{0} : L’Écriture de Journal {1} n'a pas le compte {2} ou est déjà réconciliée avec une autre référence
DocType: Supplier Scorecard Criteria,Criteria Weight,Pondération du Critère
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Account: {0} is not permitted under Payment Entry,Compte: {0} n&#39;est pas autorisé sous Saisie du paiement.
DocType: Production Plan,Ignore Existing Projected Quantity,Ignorer la quantité projetée existante
apps/erpnext/erpnext/patches/v11_0/add_default_email_template_for_leave.py,Leave Approval Notification,Notification d'approbation de congés
DocType: Buying Settings,Default Buying Price List,Liste des Prix d'Achat par Défaut
DocType: Payroll Entry,Salary Slip Based on Timesheet,Fiche de Paie basée sur la Feuille de Temps
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Buying Rate,Prix d'achat
apps/erpnext/erpnext/controllers/buying_controller.py,Row {0}: Enter location for the asset item {1},Ligne {0}: entrez la localisation de l'actif {1}
DocType: Employee Checkin,Attendance Marked,Présence marquée
DocType: Request for Quotation,PUR-RFQ-.YYYY.-,PUR-RFQ-.AAAA.-
apps/erpnext/erpnext/public/js/hub/pages/Seller.vue,About the Company,À propos de l&#39;entreprise
apps/erpnext/erpnext/config/settings.py,"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Définir les Valeurs par Défaut comme : Societé, Devise, Exercice Actuel, etc..."
DocType: Payment Entry,Payment Type,Type de Paiement
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Please select a Batch for Item {0}. Unable to find a single batch that fulfills this requirement,Veuillez sélectionner un Lot pour l'Article {0}. Impossible de trouver un seul lot satisfaisant à cette exigence
DocType: Asset Maintenance Log,ACC-AML-.YYYY.-,ACC-AML-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,No gain or loss in the exchange rate,Aucun gain ou perte dans le taux de change
DocType: Leave Control Panel,Select Employees,Sélectionner les Employés
DocType: Shopify Settings,Sales Invoice Series,Série des factures de vente
DocType: Bank Reconciliation,To Date,Jusqu'au
DocType: Opportunity,Potential Sales Deal,Ventes Potentielles
DocType: Complaint,Complaints,Plaintes
DocType: Employee Tax Exemption Declaration,Employee Tax Exemption Declaration,Déclaration d'exemption de taxe
DocType: Payment Entry,Cheque/Reference Date,Chèque/Date de Référence
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,No Items with Bill of Materials.,Aucun article avec nomenclature.
apps/erpnext/erpnext/portal/doctype/homepage/homepage.js,Customize Homepage Sections,Personnaliser les sections de la page d&#39;accueil
DocType: Purchase Invoice,Total Taxes and Charges,Total des Taxes et Frais
DocType: Payment Entry,Company Bank Account,Compte bancaire de l&#39;entreprise
DocType: Employee,Emergency Contact,Contact en cas d'Urgence
DocType: Bank Reconciliation Detail,Payment Entry,Écriture de Paiement
,sales-browser,navigateur-ventes
apps/erpnext/erpnext/accounts/doctype/account/account.js,Ledger,Livre
DocType: Drug Prescription,Drug Code,Code du Médicament
DocType: Target Detail,Target  Amount,Montant Cible
apps/erpnext/erpnext/education/utils.py,Quiz {0} does not exist,Le questionnaire {0} n&#39;existe pas
DocType: POS Profile,Print Format for Online,Format d'Impression en Ligne
DocType: Shopping Cart Settings,Shopping Cart Settings,Paramètres du Panier
DocType: Journal Entry,Accounting Entries,Écritures Comptables
DocType: Job Card Time Log,Job Card Time Log,Journal de temps de la carte de travail
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"If selected Pricing Rule is made for 'Rate', it will overwrite Price List. Pricing Rule rate is the final rate, so no further discount should be applied. Hence, in transactions like Sales Order, Purchase Order etc, it will be fetched in 'Rate' field, rather than 'Price List Rate' field.","Si la règle de tarification sélectionnée est définie pour le «Prix Unitaire», elle écrase la liste de prix. Le prix unitaire de la règle de tarification est le prix unitaire final, donc aucune autre réduction supplémentaire ne doit être appliquée. Par conséquent, dans les transactions telles que la commande client, la commande d'achat, etc., elle sera récupérée dans le champ ""Prix Unitaire"", plutôt que dans le champ ""Tarif de la liste de prix""."
DocType: Journal Entry,Paid Loan,Prêt payé
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Duplicate Entry. Please check Authorization Rule {0},Écriture en double. Merci de vérifier la Règle d’Autorisation {0}
DocType: Journal Entry Account,Reference Due Date,Date d&#39;échéance de référence
DocType: Purchase Order,Ref SQ,Réf SQ
DocType: Issue,Resolution By,Résolution de
DocType: Leave Type,Applicable After (Working Days),Applicable après (jours ouvrés)
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Receipt document must be submitted,Le reçu doit être soumis
DocType: Purchase Invoice Item,Received Qty,Qté Reçue
DocType: Stock Entry Detail,Serial No / Batch,N° de Série / Lot
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Not Paid and Not Delivered,Non Payé et Non Livré
DocType: Product Bundle,Parent Item,Article Parent
DocType: Account,Account Type,Type de Compte
DocType: Shopify Settings,Webhooks Details,Détails des webhooks
apps/erpnext/erpnext/templates/pages/projects.html,No time sheets,Aucunes feuilles de temps
DocType: GoCardless Mandate,GoCardless Customer,Client GoCardless
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Leave Type {0} cannot be carry-forwarded,Le Type de Congé {0} ne peut pas être reporté
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Maintenance Schedule is not generated for all the items. Please click on 'Generate Schedule',L'Échéancier d'Entretien n'est pas créé pour tous les articles. Veuillez clicker sur 'Créer un Échéancier'
,To Produce,À Produire
DocType: Leave Encashment,Payroll,Paie
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,"For row {0} in {1}. To include {2} in Item rate, rows {3} must also be included","Pour la ligne {0} dans {1}. Pour inclure {2} dans le prix de l'Article, les lignes {3} doivent également être incluses"
DocType: Healthcare Service Unit,Parent Service Unit,Service parent
DocType: Packing Slip,Identification of the package for the delivery (for print),Identification de l'emballage pour la livraison (pour l'impression)
apps/erpnext/erpnext/support/doctype/issue/issue.js,Service Level Agreement was reset.,L&#39;accord de niveau de service a été réinitialisé.
DocType: Bin,Reserved Quantity,Quantité Réservée
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html,Please enter valid email address,Entrez une adresse email valide
DocType: Volunteer Skill,Volunteer Skill,Compétence bénévole
DocType: Bank Reconciliation,Include POS Transactions,Inclure les transactions du point de vente
DocType: Quality Action,Corrective/Preventive,Correctif / Préventif
DocType: Purchase Invoice,Inter Company Invoice Reference,Référence de facture inter-sociétés
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Please select an item in the cart,Veuillez sélectionner un article dans le panier
DocType: Landed Cost Voucher,Purchase Receipt Items,Articles du Reçu d’Achat
apps/erpnext/erpnext/regional/italy/utils.py,Please set Tax ID for the customer '%s',Veuillez définir l&#39;ID de taxe pour le client &#39;% s&#39;
apps/erpnext/erpnext/config/help.py,Customizing Forms,Personnalisation des Formulaires
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Arrear,Arriéré
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Depreciation Amount during the period,Montant d'Amortissement au cours de la période
DocType: Sales Invoice,Is Return (Credit Note),Est un avoir (note de crédit)
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.js,Start Job,Démarrer le travail
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Serial no is required for the asset {0},Le numéro de série est requis pour l&#39;actif {0}
DocType: Leave Control Panel,Allocate Leaves,Allouer des feuilles
apps/erpnext/erpnext/accounts/doctype/sales_taxes_and_charges_template/sales_taxes_and_charges_template.py,Disabled template must not be default template,Un Modèle Désactivé ne doit pas être un Modèle par Défaut
DocType: Pricing Rule,Price or Product Discount,Prix ou remise de produit
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,For row {0}: Enter planned qty,Pour la ligne {0}: entrez la quantité planifiée
DocType: Account,Income Account,Compte de Produits
DocType: Payment Request,Amount in customer's currency,Montant dans la devise du client
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Delivery,Livraison
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Assigning Structures...,Assignation des structures...
DocType: Stock Reconciliation Item,Current Qty,Qté Actuelle
DocType: Restaurant Menu,Restaurant Menu,Le menu du restaurant
apps/erpnext/erpnext/public/js/event.js,Add Suppliers,Ajouter des Fournisseurs
DocType: Sales Invoice,ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-
DocType: Loyalty Program,Help Section,Section d&#39;aide
apps/erpnext/erpnext/www/all-products/index.html,Prev,Précédent
DocType: Appraisal Goal,Key Responsibility Area,Domaine de Responsabilités Principal
DocType: Delivery Trip,Distance UOM,Distance UOM
apps/erpnext/erpnext/utilities/activation.py,"Student Batches help you track attendance, assessments and fees for students","Les Lots d'Étudiants vous aide à suivre la présence, les évaluations et les frais pour les étudiants"
DocType: Payment Entry,Total Allocated Amount,Montant Total Alloué
apps/erpnext/erpnext/setup/doctype/company/company.py,Set default inventory account for perpetual inventory,Configurer le compte d'inventaire par défaut pour l'inventaire perpétuel
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Cannot deliver Serial No {0} of item {1} as it is reserved to \
												fullfill Sales Order {2}","Impossible de remettre le numéro de série {0} de l&#39;article {1}, car il est réservé à la commande client \ fullfill {2}"
DocType: Material Request Plan Item,Material Request Type,Type de Demande de Matériel
apps/erpnext/erpnext/non_profit/doctype/grant_application/grant_application.js,Send Grant Review Email,Envoyer un email d'examen de la demande de subvention
apps/erpnext/erpnext/accounts/page/pos/pos.js,"LocalStorage is full, did not save","Le Stockage Local est plein, sauvegarde impossible"
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row {0}: UOM Conversion Factor is mandatory,Ligne {0} : Facteur de Conversion LDM est obligatoire
DocType: Employee Benefit Claim,Claim Date,Date de réclamation
apps/erpnext/erpnext/utilities/user_progress.py,Room Capacity,Capacité de la Salle
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field Asset Account cannot be blank,Le champ Compte d&#39;actif ne peut pas être vide
apps/erpnext/erpnext/stock/doctype/item_alternative/item_alternative.py,Already record exists for the item {0},L'enregistrement existe déjà pour l'article {0}
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Ref,Réf
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,You will lose records of previously generated invoices. Are you sure you want to restart this subscription?,Vous perdrez des enregistrements de factures précédemment générées. Êtes-vous sûr de vouloir redémarrer cet abonnement?
DocType: Lab Test,LP-,LP-
DocType: Healthcare Settings,Registration Fee,Frais d'Inscription
DocType: Loyalty Program Collection,Loyalty Program Collection,Collecte du programme de fidélité
DocType: Stock Entry Detail,Subcontracted Item,Article sous-traité
apps/erpnext/erpnext/education/__init__.py,Student {0} does not belong to group {1},L&#39;élève {0} n&#39;appartient pas au groupe {1}
DocType: Budget,Cost Center,Centre de Coûts
apps/erpnext/erpnext/stock/report/stock_ledger/stock_ledger.py,Voucher #,Référence #
DocType: Tax Rule,Shipping Country,Pays de Livraison
DocType: Selling Settings,Hide Customer's Tax Id from Sales Transactions,Cacher le N° de TVA du Client des Transactions de Vente
DocType: Upload Attendance,Upload HTML,Charger HTML
DocType: Employee,Relieving Date,Date de Relève
DocType: Purchase Invoice,Total Quantity,Quantité totale
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"Pricing Rule is made to overwrite Price List / define discount percentage, based on some criteria.","La Règle de Tarification est faite pour remplacer la Liste de Prix / définir le pourcentage de remise, sur la base de certains critères."
apps/erpnext/erpnext/support/doctype/issue/issue.py,Service Level Agreement has been changed to {0}.,L&#39;accord de niveau de service a été remplacé par {0}.
DocType: Serial No,Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,L'entrepôt ne peut être modifié que via Écriture de Stock / Bon de Livraison / Reçu d'Achat
DocType: Employee Education,Class / Percentage,Classe / Pourcentage
DocType: Shopify Settings,Shopify Settings,Paramètres de Shopify
DocType: Amazon MWS Settings,Market Place ID,Identifiant de la place du marché
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Head of Marketing and Sales,Responsable du Marketing et des Ventes
DocType: Video,Vimeo,Vimeo
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Income Tax,Impôt sur le Revenu
DocType: HR Settings,Check Vacancies On Job Offer Creation,Vérifier les offres d&#39;emploi lors de la création d&#39;une offre d&#39;emploi
apps/erpnext/erpnext/utilities/user_progress.py,Go to Letterheads,Aller aux en-têtes de lettre
DocType: Subscription,Cancel At End Of Period,Annuler à la fin de la période
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Property already added,Propriété déjà ajoutée
DocType: Item Supplier,Item Supplier,Fournisseur de l'Article
apps/erpnext/erpnext/public/js/controllers/transaction.js,Please enter Item Code to get batch no,Veuillez entrer le Code d'Article pour obtenir n° de lot
apps/erpnext/erpnext/public/js/utils.js,Loyalty Points: {0},Points de fidélité: {0}
apps/erpnext/erpnext/selling/doctype/quotation/quotation.js,Please select a value for {0} quotation_to {1},Veuillez sélectionner une valeur pour {0} devis à {1}
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,No Items selected for transfer,Aucun article sélectionné pour le transfert
apps/erpnext/erpnext/config/buying.py,All Addresses.,Toutes les Adresses.
DocType: Company,Stock Settings,Paramètres du Stock
apps/erpnext/erpnext/accounts/doctype/account/account.py,"Merging is only possible if following properties are same in both records. Is Group, Root Type, Company","La combinaison est possible seulement si les propriétés suivantes sont les mêmes dans les deux dossiers. Est Groupe, Type de Racine, Société"
DocType: Vehicle,Electric,Électrique
DocType: Task,% Progress,% de Progression
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Gain/Loss on Asset Disposal,Gain/Perte sur Cessions des Immobilisations
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.js,"Only the Student Applicant with the status ""Approved"" will be selected in the table below.",Seul les candidatures étudiantes avec le statut «Approuvé» seront sélectionnées dans le tableau ci-dessous.
DocType: Tax Withholding Category,Rates,Prix
apps/erpnext/erpnext/regional/report/fichier_des_ecritures_comptables_[fec]/fichier_des_ecritures_comptables_[fec].py,Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Le numéro de compte du compte {0} n'est pas disponible. <br> Veuillez configurer votre plan de comptes correctement.
DocType: Task,Depends on Tasks,Dépend des Tâches
apps/erpnext/erpnext/config/crm.py,Manage Customer Group Tree.,Gérer l'Arborescence des Groupes de Clients.
DocType: Normal Test Items,Result Value,Valeur de Résultat
DocType: Hotel Room,Hotels,Hôtels
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,New Cost Center Name,Nom du Nouveau Centre de Coûts
DocType: Leave Control Panel,Leave Control Panel,Quitter le Panneau de Configuration
DocType: Project,Task Completion,Achèvement de la Tâche
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,Not in Stock,En Rupture de Stock
DocType: Volunteer,Volunteer Skills,Compétences bénévoles
DocType: Additional Salary,HR User,Chargé RH
DocType: Bank Guarantee,Reference Document Name,Nom du document de référence
DocType: Purchase Invoice,Taxes and Charges Deducted,Taxes et Frais Déductibles
DocType: Support Settings,Issues,Tickets
DocType: Loyalty Program,Loyalty Program Name,Nom du programme de fidélité
apps/erpnext/erpnext/controllers/status_updater.py,Status must be one of {0},Le statut doit être l'un des {0}
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Reminder to update GSTIN Sent,Rappel pour mettre à jour GSTIN envoyé
DocType: Discounted Invoice,Debit To,Débit Pour
DocType: Restaurant Menu Item,Restaurant Menu Item,Élément de menu du restaurant
DocType: Delivery Note,Required only for sample item.,Requis uniquement pour les échantillons.
DocType: Stock Ledger Entry,Actual Qty After Transaction,Qté Réelle Après Transaction
,Pending SO Items For Purchase Request,Articles de Commande Client en Attente Pour la Demande d'Achat
apps/erpnext/erpnext/education/doctype/student_admission/student_admission.py,Student Admissions,Admissions des Étudiants
DocType: Supplier,Billing Currency,Devise de Facturation
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Extra Large,Extra Large
DocType: Loan,Loan Application,Demande de prêt
DocType: Crop,Scientific Name,Nom scientifique
DocType: Healthcare Service Unit,Service Unit Type,Type d&#39;unité de service
DocType: Bank Account,Branch Code,Code de la branche
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Leaves,Total des Congés
DocType: Customer,"Reselect, if the chosen contact is edited after save","Re-sélectionner, si le contact choisi est édité après l'enregistrement"
DocType: Quality Procedure,Parent Procedure,Procédure parentale
DocType: Patient Encounter,In print,Sur impression
DocType: Accounting Dimension,Accounting Dimension,Dimension comptable
,Profit and Loss Statement,Compte de Résultat
DocType: Bank Reconciliation Detail,Cheque Number,Numéro de Chèque
apps/erpnext/erpnext/healthcare/utils.py,The item referenced by {0} - {1} is already invoiced,L&#39;élément référencé par {0} - {1} est déjà facturé
,Sales Browser,Navigateur des Ventes
DocType: Journal Entry,Total Credit,Total Crédit
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Warning: Another {0} # {1} exists against stock entry {2},Attention : Un autre {0} {1} # existe pour l'écriture de stock {2}
apps/erpnext/erpnext/utilities/user_progress_utils.py,Local,Locale
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans and Advances (Assets),Prêts et Avances (Actif)
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Debtors,Débiteurs
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Large,Grand
DocType: Bank Statement Settings,Bank Statement Settings,Paramètres de relevé bancaire
DocType: Shopify Settings,Customer Settings,Paramètres du client
DocType: Homepage Featured Product,Homepage Featured Product,Produit Présenté sur la Page d'Accueil
apps/erpnext/erpnext/manufacturing/doctype/blanket_order/blanket_order.js,View Orders,Afficher les commandes
DocType: Marketplace Settings,Marketplace URL (to hide and update label),URL du marché (pour masquer et mettre à jour l&#39;étiquette)
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,All Assessment Groups,Tous les Groupes d'Évaluation
apps/erpnext/erpnext/regional/india/utils.py,{} is required to generate e-Way Bill JSON,{} est requis pour générer e-Way Bill JSON
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse_tree.js,New Warehouse Name,Nouveau Nom d'Entrepôt
DocType: Shopify Settings,App Type,Type d&#39;application
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,Total {0} ({1}),Total {0} ({1})
DocType: C-Form Invoice Detail,Territory,Région
DocType: Pricing Rule,Apply Rule On Item Code,Appliquer la règle sur le code d&#39;article
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please mention no of visits required,Veuillez indiquer le nb de visites requises
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Stock Balance Report,Rapport de solde des stocks
DocType: Stock Settings,Default Valuation Method,Méthode de Valorisation par Défaut
apps/erpnext/erpnext/education/doctype/program/program_dashboard.py,Fee,Frais
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.js,Show Cumulative Amount,Afficher le montant cumulatif
apps/erpnext/erpnext/setup/doctype/company/company.js,Update in progress. It might take a while.,Mise à jour en cours. Ça peut prendre un moment.
DocType: Production Plan Item,Produced Qty,Quantité produite
DocType: Vehicle Log,Fuel Qty,Qté Carburant
