DocType: Accounting Period,Period Name,Időszak neve
DocType: Homepage,Homepage,Kezdőlap
DocType: Grant Application,Grant Application Details ,Támogatási kérelem részletei
DocType: Employee Separation,Employee Separation,Munkavállalói elválasztás
DocType: BOM Item,Original Item,Eredeti tétel
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Date,Doc dátum
apps/erpnext/erpnext/education/doctype/program_enrollment/program_enrollment.py,Fee Records Created - {0},Díj rekordok létrehozva - {0}
DocType: Asset Category Account,Asset Category Account,Vagyontárgy kategória főkönyvi számla
apps/erpnext/erpnext/controllers/item_variant.py,The value {0} is already assigned to an exisiting Item {2}.,A (z) {0} érték már hozzá van rendelve egy létező {2} elemhez.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Row #{0} (Payment Table): Amount must be positive,# {0} (Fizetési táblázat) sor: Az összegnek pozitívnak kell lennie
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Cannot produce more Item {0} than Sales Order quantity {1},"Nem lehet több mint ennyit {0} gyártani a tételből, mint amennyi a Vevői rendelési mennyiség {1}"
apps/erpnext/erpnext/accounts/report/gross_and_net_profit_report/gross_and_net_profit_report.py,Nothing is included in gross,A bruttó nem tartalmaz semmit
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill already exists for this document,Az e-Way Bill már létezik ehhez a dokumentumhoz
apps/erpnext/erpnext/stock/doctype/item/item.js,Select Attribute Values,Válassza ki a jellemzők értékeit
DocType: Purchase Invoice,Reason For Issuing document,Dokumentum kiadásának oka
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Stock Entry {0} is not submitted,"Készlet bejegyzés: {0} nem nyújtják be,"
DocType: Payment Reconciliation,Bank / Cash Account,Bank / Készpénz számla
DocType: Bank Transaction,ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-
apps/erpnext/erpnext/crm/doctype/lead/lead.py,Next Contact By cannot be same as the Lead Email Address,"Következő kapcsolat evvel nem lehet ugyanaz, mint az érdeklődő e-mail címe"
DocType: Tax Rule,Billing City,Számlázási Város
apps/erpnext/erpnext/regional/italy/setup.py,Applicable if the company is an Individual or a Proprietorship,"Alkalmazandó, ha a társaság magánszemély vagy vállalkozó"
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,Log Type is required for check-ins falling in the shift: {0}.,A napló típusa szükséges a műszakban eső bejelentkezéshez: {0}.
DocType: Asset,Manual,Kézikönyv
DocType: Tally Migration,Is Master Data Processed,A törzsadatok feldolgozása megtörtént
DocType: Salary Component Account,Salary Component Account,Bér összetevők számlája
DocType: Global Defaults,Hide Currency Symbol,Pénznem szimbólumának elrejtése
apps/erpnext/erpnext/config/non_profit.py,Donor information.,Adományozói  információk.
apps/erpnext/erpnext/config/accounting.py,"e.g. Bank, Cash, Credit Card","pl. bank, készpénz, hitelkártya"
DocType: Vital Signs,"Normal resting blood pressure in an adult is approximately 120 mmHg systolic, and 80 mmHg diastolic, abbreviated ""120/80 mmHg""","Normális pihenő vérnyomás egy felnőttnél körülbelül 120 Hgmm szisztolés és 80 Hgmm diasztolés, rövidítve ""120/80 Hgmm"""
DocType: Journal Entry,Credit Note,Követelés értesítő
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,Finished Good Item Code,Kész Kész kód
apps/erpnext/erpnext/config/desktop.py,Quality,Minőség
DocType: Projects Settings,Ignore Employee Time Overlap,Alkalmazottak időbeli átfedésének figyelmen kívül hagyása
DocType: Warranty Claim,Service Address,Szerviz címe
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.js,Import Master Data,Törzsadatok importálása
DocType: Asset Maintenance Task,Calibration,Kalibráció
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} is a company holiday,A(z) {0} vállallati ünnepi időszak
apps/erpnext/erpnext/projects/report/billing_summary.py,Billable Hours,Számlázható órák
apps/erpnext/erpnext/patches/v11_0/add_default_email_template_for_leave.py,Leave Status Notification,Távollét állapotjelentés
DocType: Patient Appointment,Procedure Prescription,Vényköteles eljárás
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Furnitures and Fixtures,Bútorok és világítótestek
DocType: Travel Request,Travel Type,Utazás típusa
DocType: Purchase Invoice Item,Manufacture,Gyártás
DocType: Blanket Order,MFG-BLR-.YYYY.-,MFG-BLR-.YYYY.-
apps/erpnext/erpnext/utilities/user_progress.py,Setup Company,Vállalkozás beállítása
,Lab Test Report,Labor tesztjelentés
DocType: Employee Benefit Application,Employee Benefit Application,Alkalmazotti juttatási kérelem
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.py,Row({0}): {1} is already discounted in {2},({0} sor): A (z) {1} már kedvezményes a (z) {2} -ben.
apps/erpnext/erpnext/hr/doctype/additional_salary/additional_salary.py,Additional Salary Component Exists.,Létezik kiegészítő fizetési elem.
DocType: Purchase Invoice,Unregistered,Nem regisztrált
DocType: Student Applicant,Application Date,Jelentkezési dátum
DocType: Salary Component,Amount based on formula,Összeg a képlet alapján
DocType: Purchase Invoice,Currency and Price List,Pénznem és árlista
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Create Maintenance Visit,Hozzon létre karbantartási látogatást
DocType: Opportunity,Customer / Lead Name,Vevő / Érdeklődő neve
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py,Clearance Date not mentioned,Végső dátum nem szerepel
DocType: Payroll Period,Taxable Salary Slabs,Adóköteles bérszakaszok
apps/erpnext/erpnext/config/manufacturing.py,Production,Gyártás
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! The input you've entered doesn't match the format of GSTIN.,Érvénytelen GSTIN! A beírt adat nem felel meg a GSTIN formátumának.
DocType: Guardian,Occupation,Foglalkozása
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,For Quantity must be less than quantity {0},"A mennyiségnek kisebbnek kell lennie, mint {0}"
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Row {0}:Start Date must be before End Date,Row {0}: kezdő dátumot kell lennie a befejezés dátuma
DocType: Salary Component,Max Benefit Amount (Yearly),Maximális juttatás összege (évente)
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,TDS Rate %,TDS-arány%
DocType: Crop,Planting Area,Ültetési terület
apps/erpnext/erpnext/controllers/trends.py,Total(Qty),Összesen(db)
DocType: Installation Note Item,Installed Qty,Telepített Mennyiség
apps/erpnext/erpnext/utilities/user_progress.py,You added ,Ön hozzáadta:
,Product Bundle Balance,Termékcsomag-egyensúly
DocType: Purchase Taxes and Charges,Parenttype,Főágtípus
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Central Tax,Központi adó
apps/erpnext/erpnext/hr/doctype/training_event/training_event.js,Training Result,Képzés eredménye
DocType: Purchase Invoice,Is Paid,Ez ki van fizetve
DocType: Salary Structure,Total Earning,Összesen jóváírva
DocType: Purchase Receipt,Time at which materials were received,Anyagok érkezésénak Időpontja
DocType: Products Settings,Products per Page,Termékek oldalanként
DocType: Stock Ledger Entry,Outgoing Rate,Kimenő árérték
apps/erpnext/erpnext/controllers/accounts_controller.py, or ,vagy
apps/erpnext/erpnext/public/js/purchase_trends_filters.js,Billing Date,Számlázási dátum
apps/erpnext/erpnext/accounts/utils.py,Allocated amount cannot be negative,A kiosztott összeg nem lehet negatív
DocType: Sales Order,Billing Status,Számlázási állapot
apps/erpnext/erpnext/public/js/conf.js,Report an Issue,Probléma jelentése
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","Ha {0} {1} mennyiségű <b>{2}</b> terméket tartalmaz, akkor a <b>{3}</b> sémát kell alkalmazni az elemre."
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Utility Expenses,Közműben
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,90-Above,90 felett
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Row #{0}: Journal Entry {1} does not have account {2} or already matched against another voucher,"Sor # {0}: Naplókönyvelés {1} nem rendelkezik  {2} számlával, vagy már összeegyeztetett egy másik utalvánnyal"
DocType: Supplier Scorecard Criteria,Criteria Weight,Kritérium Súlyozás
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Account: {0} is not permitted under Payment Entry,Fiók: A (z) {0} nem engedélyezett a fizetési bejegyzés alatt
DocType: Production Plan,Ignore Existing Projected Quantity,Figyelmen kívül hagyja a meglévő tervezett mennyiséget
apps/erpnext/erpnext/patches/v11_0/add_default_email_template_for_leave.py,Leave Approval Notification,Távollét jóváhagyási értesítés
DocType: Buying Settings,Default Buying Price List,Alapértelmezett Vásárlási árjegyzék
DocType: Payroll Entry,Salary Slip Based on Timesheet,Bérpapirok a munkaidő jelenléti ív alapján
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Buying Rate,Beszerzési  árérték
apps/erpnext/erpnext/controllers/buying_controller.py,Row {0}: Enter location for the asset item {1},{0} sor: Adja meg a vagyontárgy eszközelem helyét {1}
DocType: Employee Checkin,Attendance Marked,Jelenléti jelölés
DocType: Request for Quotation,PUR-RFQ-.YYYY.-,PUR-RFQ-.YYYY.-
apps/erpnext/erpnext/public/js/hub/pages/Seller.vue,About the Company,A cégről
apps/erpnext/erpnext/config/settings.py,"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Alapértelmezett értékek, mint a vállalkozás, pénznem, folyó pénzügyi év, stb. beállítása."
DocType: Payment Entry,Payment Type,Fizetési mód
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Please select a Batch for Item {0}. Unable to find a single batch that fulfills this requirement,"Kérjük, válasszon egy Köteget ehhez a tételhez {0}. Nem található egyedülállü köteg, amely megfelel ennek a követelménynek"
DocType: Asset Maintenance Log,ACC-AML-.YYYY.-,ACC-AML-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,No gain or loss in the exchange rate,Nincs árfolyam nyereség vagy veszteség
DocType: Leave Control Panel,Select Employees,Válassza ki az Alkalmazottakat
DocType: Shopify Settings,Sales Invoice Series,Kimenő értékesítési számla sorozat
DocType: Bank Reconciliation,To Date,Dátumig
DocType: Opportunity,Potential Sales Deal,Potenciális értékesítési üzlet
DocType: Complaint,Complaints,Panaszok
DocType: Employee Tax Exemption Declaration,Employee Tax Exemption Declaration,Munkavállalói adómentességi nyilatkozat
DocType: Payment Entry,Cheque/Reference Date,Csekk/Hivatkozási dátum
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,No Items with Bill of Materials.,Nincs tétel az anyagjegyzékkel.
apps/erpnext/erpnext/portal/doctype/homepage/homepage.js,Customize Homepage Sections,Testreszabhatja a Honlap szakaszokat
DocType: Purchase Invoice,Total Taxes and Charges,Összes adók és költségek
DocType: Payment Entry,Company Bank Account,Vállalati bankszámla
DocType: Employee,Emergency Contact,Sürgősségi Kapcsolat
DocType: Bank Reconciliation Detail,Payment Entry,Fizetési bevitel
,sales-browser,értékesítés-böngésző
apps/erpnext/erpnext/accounts/doctype/account/account.js,Ledger,Főkönyv
DocType: Drug Prescription,Drug Code,Drogkódex
DocType: Target Detail,Target  Amount,Célösszeg
apps/erpnext/erpnext/education/utils.py,Quiz {0} does not exist,A (z) {0} kvíz nem létezik
DocType: POS Profile,Print Format for Online,Nyomtatási formátum az internethez
DocType: Shopping Cart Settings,Shopping Cart Settings,Bevásárló kosár Beállítások
DocType: Journal Entry,Accounting Entries,Könyvelési tételek
DocType: Job Card Time Log,Job Card Time Log,Munkalap kártya időnaplója
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"If selected Pricing Rule is made for 'Rate', it will overwrite Price List. Pricing Rule rate is the final rate, so no further discount should be applied. Hence, in transactions like Sales Order, Purchase Order etc, it will be fetched in 'Rate' field, rather than 'Price List Rate' field.","Ha az ""Árérték"" -re vonatkozó Árszabályozást  választja, az felülírja az Árlistát. Az árszabályozás a végső árérték, tehát további engedmény nem alkalmazható. Ezért olyan tranzakciókban, mint az Vevői rendelés, a Beszerzési megbízás stb., akkor a ""Árérték"" mezőben fogják megkapni, az ""Árlista árrérték"" mező helyett."
DocType: Journal Entry,Paid Loan,Fizetett kölcsön
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Duplicate Entry. Please check Authorization Rule {0},"Ismétlődő bejegyzés. Kérjük, ellenőrizze ezt az engedélyezési szabályt: {0}"
DocType: Journal Entry Account,Reference Due Date,Hivatkozási határidő
DocType: Purchase Order,Ref SQ,Hiv. BR
DocType: Issue,Resolution By,Felbontás
DocType: Leave Type,Applicable After (Working Days),Alkalmazható ezután (munkanapok)
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Receipt document must be submitted,Nyugta dokumentumot be kell nyújtani
DocType: Purchase Invoice Item,Received Qty,Beérkezett Mennyiség
DocType: Stock Entry Detail,Serial No / Batch,Széria sz. / Köteg
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Not Paid and Not Delivered,Nem fizetett és le nem szállított
DocType: Product Bundle,Parent Item,Fő tétel
DocType: Account,Account Type,Számla típus
DocType: Shopify Settings,Webhooks Details,Webes hívatkozások részletei
apps/erpnext/erpnext/templates/pages/projects.html,No time sheets,Nincsenek idő nyilvántartások
DocType: GoCardless Mandate,GoCardless Customer,GoCardless ügyfél
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Leave Type {0} cannot be carry-forwarded,Távollét típusa {0} nem továbbítható jövőbe
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Maintenance Schedule is not generated for all the items. Please click on 'Generate Schedule',"Karbantartási ütemterv nem lett létrehozva  összes tételre. Kérjük, kattintson erre: ""Ütemezést létrehozás"""
,To Produce,Termelni
DocType: Leave Encashment,Payroll,Bérszámfejtés
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,"For row {0} in {1}. To include {2} in Item rate, rows {3} must also be included",A {1} -nek a {0} sorbában. A Tétel értékébe a {2} beillesztéséhez a {3} sorokat is hozzá kell adni
DocType: Healthcare Service Unit,Parent Service Unit,Fő szervezeti egység
DocType: Packing Slip,Identification of the package for the delivery (for print),Csomag azonosítása a szállításhoz (nyomtatáshoz)
apps/erpnext/erpnext/support/doctype/issue/issue.js,Service Level Agreement was reset.,A szolgáltatási szintű megállapodást visszaállították.
DocType: Bin,Reserved Quantity,Mennyiség lefoglalva
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html,Please enter valid email address,Kérem adjon meg egy érvényes e-mail címet
DocType: Volunteer Skill,Volunteer Skill,Önkéntes készsége
DocType: Bank Reconciliation,Include POS Transactions,Tartalmazza a POS kassza tranzakciókat
DocType: Quality Action,Corrective/Preventive,Javító / megelőző
DocType: Purchase Invoice,Inter Company Invoice Reference,Inter vállalkozási számla hivatkozás
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Please select an item in the cart,"Kérjük, válasszon ki egy tételt a kosárban"
DocType: Landed Cost Voucher,Purchase Receipt Items,Beszerzési megrendelés nyugta tételek
apps/erpnext/erpnext/regional/italy/utils.py,Please set Tax ID for the customer '%s',"Kérjük, állítsa be az adószámot a (z)% s ügyfél számára"
apps/erpnext/erpnext/config/help.py,Customizing Forms,Testreszabása Forms
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Arrear,Lemaradás
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Depreciation Amount during the period,Az értékcsökkentési leírás összege az időszakban
DocType: Sales Invoice,Is Return (Credit Note),Ez visszatérés (tőlünk követelés jegyzet)
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.js,Start Job,Indítsa el a munkát
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Serial no is required for the asset {0},Sorszám kötelező a {0} vagyoni eszközhöz
DocType: Leave Control Panel,Allocate Leaves,Helyezze el a leveleket
apps/erpnext/erpnext/accounts/doctype/sales_taxes_and_charges_template/sales_taxes_and_charges_template.py,Disabled template must not be default template,Letiltott sablon nem lehet alapértelmezett sablon
DocType: Pricing Rule,Price or Product Discount,Ár vagy termék kedvezmény
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,For row {0}: Enter planned qty,A(z) {0} sorhoz: Írja be a tervezett mennyiséget
DocType: Account,Income Account,Jövedelem számla
DocType: Payment Request,Amount in customer's currency,Összeg ügyfél valutájában
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Delivery,Szállítás
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Assigning Structures...,Hozzárendelési szerkezetek...
DocType: Stock Reconciliation Item,Current Qty,Jelenlegi mennyiség
DocType: Restaurant Menu,Restaurant Menu,Éttermi menü
apps/erpnext/erpnext/public/js/event.js,Add Suppliers,Szállítók hozzáadása
DocType: Sales Invoice,ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-
DocType: Loyalty Program,Help Section,Súgó szakasz
apps/erpnext/erpnext/www/all-products/index.html,Prev,Előző
DocType: Appraisal Goal,Key Responsibility Area,Felelősségi terület
DocType: Delivery Trip,Distance UOM,Távolság UOM
apps/erpnext/erpnext/utilities/activation.py,"Student Batches help you track attendance, assessments and fees for students","Tanulók kötegei, segítenek nyomon követni a részvételt, értékeléseket és díjakat a hallgatókhoz"
DocType: Payment Entry,Total Allocated Amount,Lefoglalt teljes összeg
apps/erpnext/erpnext/setup/doctype/company/company.py,Set default inventory account for perpetual inventory,Alapértelmezett készlet számla beállítása a folyamatos készlethez
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Cannot deliver Serial No {0} of item {1} as it is reserved to \
												fullfill Sales Order {2}","Az {1} tétel {0} sorozatszáma nem adható meg, mivel a \ fullfill értékesítési rendelés {2}"
DocType: Material Request Plan Item,Material Request Type,Anyagigénylés típusa
apps/erpnext/erpnext/non_profit/doctype/grant_application/grant_application.js,Send Grant Review Email,Küldjön támogatás áttekintő e-mailt
apps/erpnext/erpnext/accounts/page/pos/pos.js,"LocalStorage is full, did not save","HelyiRaktár tele van, nem mentettem"
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row {0}: UOM Conversion Factor is mandatory,Sor {0}: UOM átváltási arányra is kötelező
DocType: Employee Benefit Claim,Claim Date,Követelés dátuma
apps/erpnext/erpnext/utilities/user_progress.py,Room Capacity,Szoba kapacitás
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field Asset Account cannot be blank,Az Eszközszámla mező nem lehet üres
apps/erpnext/erpnext/stock/doctype/item_alternative/item_alternative.py,Already record exists for the item {0},Már létezik rekord a(z) {0} tételre
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Ref,Hiv.
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,You will lose records of previously generated invoices. Are you sure you want to restart this subscription?,Elveszti a korábban generált számlák nyilvántartását. Biztosan újra szeretné kezdeni ezt az előfizetést?
DocType: Lab Test,LP-,LP-
DocType: Healthcare Settings,Registration Fee,Regisztrációs díj
DocType: Loyalty Program Collection,Loyalty Program Collection,Hűségprogram-gyűjtemény
DocType: Stock Entry Detail,Subcontracted Item,Alvállalkozói tétel
apps/erpnext/erpnext/education/__init__.py,Student {0} does not belong to group {1},A {0} diák nem tartozik a (z) {1} csoporthoz
DocType: Budget,Cost Center,Költséghely
apps/erpnext/erpnext/stock/report/stock_ledger/stock_ledger.py,Voucher #,Utalvány #
DocType: Tax Rule,Shipping Country,Szállítás Országa
DocType: Selling Settings,Hide Customer's Tax Id from Sales Transactions,Ügyfél adóazonosító elrejtése az Értékesítési tranzakciókból
DocType: Upload Attendance,Upload HTML,HTML feltöltése
DocType: Employee,Relieving Date,Tehermentesítés dátuma
DocType: Purchase Invoice,Total Quantity,Teljes mennyiség
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"Pricing Rule is made to overwrite Price List / define discount percentage, based on some criteria.","Árképzési szabály azért készül, hogy az felülírja az árjegyzéket / kedvezmény százalékos meghatározását, néhány feltétel alapján."
apps/erpnext/erpnext/support/doctype/issue/issue.py,Service Level Agreement has been changed to {0}.,A szolgáltatási szint megállapodás megváltozott {0} -ra.
DocType: Serial No,Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,Raktárat csak a Készlet bejegyzéssel / Szállítólevéllel / Beszerzési nyugtán keresztül lehet megváltoztatni
DocType: Employee Education,Class / Percentage,Osztály / Százalékos
DocType: Shopify Settings,Shopify Settings,Shopify beállítások
DocType: Amazon MWS Settings,Market Place ID,Piactér ID
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Head of Marketing and Sales,Marketing és Értékesítés vezetője
DocType: Video,Vimeo,Vimeo
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Income Tax,Jövedelemadó
DocType: HR Settings,Check Vacancies On Job Offer Creation,Ellenőrizze az állásajánlatok létrehozásának megüresedését
apps/erpnext/erpnext/utilities/user_progress.py,Go to Letterheads,Menjen a Fejlécekhez
DocType: Subscription,Cancel At End Of Period,Törlés a periódus végén
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Property already added,Már hozzáadott tulajdonság
DocType: Item Supplier,Item Supplier,Tétel Beszállító
apps/erpnext/erpnext/public/js/controllers/transaction.js,Please enter Item Code to get batch no,"Kérjük, adja meg a tételkódot a köteg szám megadásához"
apps/erpnext/erpnext/public/js/utils.js,Loyalty Points: {0},Hűségpontok: {0}
apps/erpnext/erpnext/selling/doctype/quotation/quotation.js,Please select a value for {0} quotation_to {1},"Kérjük, válasszon értéket {0} ehhez az árajánlathoz {1}"
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,No Items selected for transfer,Nincs átcsoportosításra váró tétel
apps/erpnext/erpnext/config/buying.py,All Addresses.,Összes cím.
DocType: Company,Stock Settings,Készlet beállítások
apps/erpnext/erpnext/accounts/doctype/account/account.py,"Merging is only possible if following properties are same in both records. Is Group, Root Type, Company","Összevonása csak akkor lehetséges, ha a következő tulajdonságok azonosak mindkét bejegyzések. Van Group, Root típusa, Company"
DocType: Vehicle,Electric,Elektromos
DocType: Task,% Progress,% Haladás
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Gain/Loss on Asset Disposal,Nyereség/Veszteség Vagyontárgy eltávolításán
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.js,"Only the Student Applicant with the status ""Approved"" will be selected in the table below.",Az alábbi táblázatban csak a &quot;Jóváhagyott&quot; állapotú hallgatói pályázó kerül kiválasztásra.
DocType: Tax Withholding Category,Rates,Az árak
apps/erpnext/erpnext/regional/report/fichier_des_ecritures_comptables_[fec]/fichier_des_ecritures_comptables_[fec].py,Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,"A (z) {0} fiókhoz tartozó fiókszám nem érhető el. <br> Kérjük, helyesen állítsa be a számlatörténetét."
DocType: Task,Depends on Tasks,Függ a Feladatoktól
apps/erpnext/erpnext/config/crm.py,Manage Customer Group Tree.,Vevői csoport fa. kezelése.
DocType: Normal Test Items,Result Value,Eredményérték
DocType: Hotel Room,Hotels,Szállodák
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,New Cost Center Name,Új költséghely neve
DocType: Leave Control Panel,Leave Control Panel,Távollét vezérlőpult
DocType: Project,Task Completion,Feladat befejezése
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,Not in Stock,Nincs készleten
DocType: Volunteer,Volunteer Skills,Önkéntes készségei
DocType: Additional Salary,HR User,HR Felhasználó
DocType: Bank Guarantee,Reference Document Name,Referencia dokumentum név
DocType: Purchase Invoice,Taxes and Charges Deducted,Levont adók és költségek
DocType: Support Settings,Issues,Problémák
DocType: Loyalty Program,Loyalty Program Name,Hűségprogram neve
apps/erpnext/erpnext/controllers/status_updater.py,Status must be one of {0},Állapotnak az egyike kell llennie ennek {0}
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Reminder to update GSTIN Sent,Emlékeztető a GSTIN elküldésének frissítésére
DocType: Discounted Invoice,Debit To,Tartozás megterhelése
DocType: Restaurant Menu Item,Restaurant Menu Item,Éttermi menüpont
DocType: Delivery Note,Required only for sample item.,Szükséges csak a minta elemet.
DocType: Stock Ledger Entry,Actual Qty After Transaction,Tényleges Mennyiség a tranzakció után
,Pending SO Items For Purchase Request,Függőben lévő VR tételek erre a vásárolható rendelésre
apps/erpnext/erpnext/education/doctype/student_admission/student_admission.py,Student Admissions,Tanuló Felvételi
DocType: Supplier,Billing Currency,Számlázási Árfolyam
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Extra Large,Extra Nagy
DocType: Loan,Loan Application,Hiteligénylés
DocType: Crop,Scientific Name,Tudományos név
DocType: Healthcare Service Unit,Service Unit Type,Szolgáltatási egység típusa
DocType: Bank Account,Branch Code,Fiók-kód
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Leaves,Összes távollétek
DocType: Customer,"Reselect, if the chosen contact is edited after save","Újra válassza ki, ha a kiválasztott névjegyet a mentés után módosítja"
DocType: Quality Procedure,Parent Procedure,Szülői eljárás
DocType: Patient Encounter,In print,Nyomtatásban
DocType: Accounting Dimension,Accounting Dimension,Számviteli dimenzió
,Profit and Loss Statement,Az eredmény-kimutatás
DocType: Bank Reconciliation Detail,Cheque Number,Csekk száma
apps/erpnext/erpnext/healthcare/utils.py,The item referenced by {0} - {1} is already invoiced,A (z) {0} - {1} által hivatkozott tétel már számlázott
,Sales Browser,Értékesítési böngésző
DocType: Journal Entry,Total Credit,Követelés összesen
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Warning: Another {0} # {1} exists against stock entry {2},Figyelmeztetés: Egy másik {0} # {1} létezik a  {2} készlet bejegyzéssel szemben
apps/erpnext/erpnext/utilities/user_progress_utils.py,Local,Helyi
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans and Advances (Assets),A hitelek és előlegek (Tárgyi eszközök)
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Debtors,Követelések
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Large,Nagy
DocType: Bank Statement Settings,Bank Statement Settings,Banki kivonat beállításai
DocType: Shopify Settings,Customer Settings,Ügyfélbeállítások
DocType: Homepage Featured Product,Homepage Featured Product,Kezdőlap Ajánlott termék
apps/erpnext/erpnext/manufacturing/doctype/blanket_order/blanket_order.js,View Orders,Rendelések megtekintése
DocType: Marketplace Settings,Marketplace URL (to hide and update label),Marketplace URL (a címke elrejtéséhez és frissítéséhez)
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,All Assessment Groups,Az Értékelési Groups
apps/erpnext/erpnext/regional/india/utils.py,{} is required to generate e-Way Bill JSON,A (z) {} szükséges az e-Way Bill JSON létrehozásához
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse_tree.js,New Warehouse Name,Új raktár neve
DocType: Shopify Settings,App Type,Alk típusa
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,Total {0} ({1}),Összesen {0} ({1})
