DocType: Accounting Period,Period Name,ชื่อช่วงเวลา
DocType: Salary Structure Assignment,Salary Structure Assignment,การกำหนดโครงสร้างเงินเดือน
DocType: Purchase Invoice Item,Weight UOM,UOM น้ำหนัก
apps/erpnext/erpnext/config/accounting.py,List of available Shareholders with folio numbers,รายชื่อผู้ถือหุ้นที่มีหมายเลข folio
DocType: Salary Structure Employee,Salary Structure Employee,พนักงานโครงสร้างเงินเดือน
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.js,Show Variant Attributes,แสดงแอ็ตทริบิวต์ Variant
DocType: Student,Blood Group,กรุ๊ปเลือด
DocType: Purchase Invoice Item,Page Break,แบ่งหน้า
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,The payment gateway account in plan {0} is different from the payment gateway account in this payment request,บัญชีเกตเวย์การชำระเงินในแผน {0} แตกต่างจากบัญชีเกตเวย์การชำระเงินในคำขอการชำระเงินนี้
DocType: Course,Course Name,หลักสูตรการอบรม
apps/erpnext/erpnext/accounts/doctype/tax_withholding_category/tax_withholding_category.py,No Tax Withholding data found for the current Fiscal Year.,ไม่มีข้อมูลหัก ณ ที่จ่ายทางภาษีสำหรับปีงบประมาณปัจจุบัน
DocType: Employee Leave Approver,Users who can approve a specific employee's leave applications,ผู้ใช้ที่สามารถอนุมัติพนักงานเฉพาะแอพพลิเคลา
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Equipments,อุปกรณ์ สำนักงาน
DocType: Pricing Rule,Qty,จำนวน
DocType: Fiscal Year,Companies,บริษัท
DocType: Supplier Scorecard,Scoring Setup,ตั้งค่าการให้คะแนน
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Electronics,อิเล็กทรอนิกส์
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Debit ({0}),เดบิต ({0})
DocType: BOM,Allow Same Item Multiple Times,อนุญาตให้ใช้รายการเดียวกันหลายครั้ง
DocType: Stock Settings,Raise Material Request when stock reaches re-order level,ยกคำขอวัสดุเมื่อหุ้นถึงระดับใหม่สั่ง
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Full-time,เต็มเวลา
DocType: Payroll Entry,Employees,พนักงาน
DocType: Question,Single Correct Answer,คำตอบที่ถูกต้องเดียว
DocType: C-Form,Received Date,วันที่ได้รับ
DocType: Delivery Note,"If you have created a standard template in Sales Taxes and Charges Template, select one and click on the button below.",ถ้าคุณได้สร้างแม่แบบมาตรฐานในการภาษีขายและค่าใช้จ่ายแม่แบบให้เลือกและคลิกที่ปุ่มด้านล่าง
DocType: BOM Scrap Item,Basic Amount (Company Currency),จำนวนเงินขั้นพื้นฐาน ( บริษัท สกุล)
DocType: Student,Guardians,ผู้ปกครอง
apps/erpnext/erpnext/templates/pages/integrations/gocardless_confirmation.html,Payment Confirmation,การยืนยันการชำระเงิน
apps/erpnext/erpnext/regional/india/utils.py,Unsupported GST Category for e-Way Bill JSON generation,หมวดหมู่ GST ที่ไม่รองรับสำหรับการสร้างบิล JSON e-Way
DocType: Shopping Cart Settings,Prices will not be shown if Price List is not set,ราคาจะไม่แสดงถ้าราคาไม่ได้ตั้งค่า
DocType: Material Request Item,Received Quantity,ปริมาณที่ได้รับ
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,To Date must be greater than From Date,ถึงวันที่จะต้องมากกว่าวันที่
DocType: Stock Entry,Total Incoming Value,ค่าเข้ามาทั้งหมด
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Debit To is required,เดบิตในการที่จะต้อง
DocType: Clinical Procedure,Inpatient Record,บันทึกผู้ป่วย
apps/erpnext/erpnext/utilities/activation.py,"Timesheets help keep track of time, cost and billing for activites done by your team",Timesheets ช่วยให้การติดตามของเวลาค่าใช้จ่ายและการเรียกเก็บเงินสำหรับกิจกรรมที่ทำโดยทีมงานของคุณ
apps/erpnext/erpnext/stock/report/item_prices/item_prices.py,Purchase Price List,ซื้อราคา
DocType: Communication Medium Timeslot,Employee Group,กลุ่มพนักงาน
apps/erpnext/erpnext/accounts/report/tds_payable_monthly/tds_payable_monthly.py,Date of Transaction,วันที่ทำรายการ
apps/erpnext/erpnext/config/buying.py,Templates of supplier scorecard variables.,เทมเพลตของตัวแปรชี้วัดของซัพพลายเออร์
DocType: Job Offer Term,Offer Term,ระยะเวลาเสนอ
DocType: Asset,Quality Manager,ผู้จัดการคุณภาพ
DocType: Job Applicant,Job Opening,เปิดงาน
DocType: Employee,Default Shift,ค่าเริ่มต้น Shift
DocType: Payment Reconciliation,Payment Reconciliation,กระทบยอดการชำระเงิน
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please select Incharge Person's name,กรุณา เลือกชื่อ Incharge บุคคล
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Technology,เทคโนโลยี
apps/erpnext/erpnext/public/js/utils.js,Total Unpaid: {0},รวมค้างชำระ: {0}
DocType: BOM Website Operation,BOM Website Operation,BOM การดำเนินงานเว็บไซต์
DocType: Bank Statement Transaction Payment Item,outstanding_amount,outstanding_amount
DocType: Supplier Scorecard,Supplier Score,คะแนน Supplier
apps/erpnext/erpnext/healthcare/doctype/patient_encounter/patient_encounter.js,Schedule Admission,กำหนดการรับสมัคร
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Total Payment Request amount cannot be greater than {0} amount,จำนวนคำขอการชำระเงินทั้งหมดต้องไม่เกิน {0} จำนวน
DocType: Tax Withholding Rate,Cumulative Transaction Threshold,เกณฑ์การทำธุรกรรมสะสม
DocType: Promotional Scheme Price Discount,Discount Type,ประเภทส่วนลด
DocType: Purchase Invoice Item,Is Free Item,เป็นรายการฟรี
DocType: Buying Settings,Percentage you are allowed to transfer more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to transfer 110 units.,เปอร์เซ็นต์ที่คุณได้รับอนุญาตให้ถ่ายโอนเพิ่มเติมกับปริมาณที่สั่ง ตัวอย่างเช่น: หากคุณสั่งซื้อ 100 หน่วย และค่าเผื่อของคุณคือ 10% จากนั้นคุณจะได้รับอนุญาตให้โอน 110 หน่วย
DocType: Supplier,Warn RFQs,เตือน RFQs
apps/erpnext/erpnext/public/js/hub/pages/Home.vue,Explore,สำรวจ
DocType: BOM,Conversion Rate,อัตราการแปลง
apps/erpnext/erpnext/www/all-products/index.html,Product Search,ค้นหาสินค้า
,Bank Remittance,โอนเงินผ่านธนาคาร
DocType: Cashier Closing,To Time,ถึงเวลา
DocType: Invoice Discounting,Loan End Date,วันที่สินเชื่อสิ้นสุด
apps/erpnext/erpnext/hr/utils.py,) for {0},) สำหรับ {0}
DocType: Authorization Rule,Approving Role (above authorized value),อนุมัติบทบาท (สูงกว่าค่าที่ได้รับอนุญาต)
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Credit To account must be a Payable account,เครดิตการบัญชีจะต้องเป็นบัญชีเจ้าหนี้
DocType: Loan,Total Amount Paid,จำนวนเงินที่จ่าย
DocType: Asset,Insurance End Date,วันที่สิ้นสุดการประกัน
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.py,Please select Student Admission which is mandatory for the paid student applicant,โปรดเลือกการรับนักศึกษาซึ่งเป็นข้อบังคับสำหรับผู้สมัครที่ได้รับค่าเล่าเรียน
DocType: Pick List,STO-PICK-.YYYY.-,STO-PICK-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,Budget List,รายชื่องบประมาณ
DocType: Campaign,Campaign Schedules,กำหนดการของแคมเปญ
DocType: Job Card Time Log,Completed Qty,จำนวนเสร็จ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,"For {0}, only debit accounts can be linked against another credit entry",มีบัญชีประเภทเดบิตเท่านั้น ที่สามารถเชื่อมโยงกับรายการประเภทเครดิต สำหรับ {0}
DocType: Manufacturing Settings,Allow Overtime,อนุญาตให้ทำงานล่วงเวลา
DocType: Training Event Employee,Training Event Employee,กิจกรรมการฝึกอบรมพนักงาน
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Maximum Samples - {0} can be retained for Batch {1} and Item {2}.,ตัวอย่างสูงสุด - {0} สามารถเก็บไว้สำหรับแบทช์ {1} และรายการ {2}
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js,Add Time Slots,เพิ่มช่วงเวลา
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} เลขหมายประจำเครื่องจำเป็นสำหรับรายการ {1} คุณได้ให้ {2}
DocType: Stock Reconciliation Item,Current Valuation Rate,อัตราการประเมินมูลค่าปัจจุบัน
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.py,Number of root accounts cannot be less than 4,จำนวนบัญชี root ต้องไม่น้อยกว่า 4
DocType: Training Event,Advance,ความก้าวหน้า
apps/erpnext/erpnext/config/integrations.py,GoCardless payment gateway settings,การตั้งค่าเกตเวย์การชำระเงิน GoCardless
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Exchange Gain/Loss,กำไรจากอัตราแลกเปลี่ยน / ขาดทุน
DocType: Opportunity,Lost Reason,เหตุผลที่สูญหาย
DocType: Amazon MWS Settings,Enable Amazon,เปิดใช้งาน Amazon
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Account {1} does not belong to company {2},แถว # {0}: บัญชี {1} ไม่ได้เป็นของ บริษัท {2}
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Unable to find DocType {0},ไม่พบ DocType {0}
apps/erpnext/erpnext/public/js/templates/address_list.html,New Address,ที่อยู่ใหม่
DocType: Quality Inspection,Sample Size,ขนาดของกลุ่มตัวอย่าง
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Please enter Receipt Document,กรุณากรอกเอกสารใบเสร็จรับเงิน
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py,All items have already been invoiced,รายการทั้งหมดที่ ได้รับการ ออกใบแจ้งหนี้ แล้ว
apps/erpnext/erpnext/hr/report/employee_leave_balance_summary/employee_leave_balance_summary.py,Leaves Taken,ใบไม้นำมา
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py,Please specify a valid 'From Case No.',โปรดระบุที่ถูกต้อง &#39;จากคดีหมายเลข&#39;
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,Further cost centers can be made under Groups but entries can be made against non-Groups,ศูนย์ต้นทุนเพิ่มเติมสามารถทำภายใต้กลุ่ม แต่รายการที่สามารถทำกับกลุ่มที่ไม่
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Total allocated leaves are more days than maximum allocation of {0} leave type for employee {1} in the period,ใบที่จัดสรรแล้วทั้งหมดเป็นจำนวนวันมากกว่าการจัดสรร {0} การปล่อยให้กับพนักงาน {1} ในช่วงเวลามากที่สุด
DocType: Branch,Branch,สาขา
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"Other outward supplies(Nil rated,Exempted)","วัสดุภายนอกอื่น ๆ (ไม่มีการจัดอันดับ, ยกเว้น)"
DocType: Soil Analysis,Ca/(K+Ca+Mg),Ca / (K + Ca + Mg)
DocType: Delivery Trip,Fulfillment User,ผู้ใช้ Fulfillment
apps/erpnext/erpnext/config/settings.py,Printing and Branding,การพิมพ์และ การสร้างแบรนด์
DocType: Company,Total Monthly Sales,ยอดขายรวมรายเดือน
DocType: Course Activity,Enrollment,การลงทะเบียน
DocType: Payment Request,Subscription Plans,แผนการสมัครสมาชิก
DocType: Agriculture Analysis Criteria,Weather,สภาพอากาศ
DocType: Bin,Actual Quantity,จำนวนที่เกิดขึ้นจริง
DocType: Shipping Rule,example: Next Day Shipping,ตัวอย่างเช่นการจัดส่งสินค้าวันถัดไป
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Serial No {0} not found,ไม่มี Serial {0} ไม่พบ
DocType: Fee Schedule Program,Fee Schedule Program,ตารางค่าตอบแทน
DocType: Fee Schedule Program,Student Batch,ชุดนักศึกษา
DocType: Pricing Rule,Advanced Settings,ตั้งค่าขั้นสูง
DocType: Supplier Scorecard Scoring Standing,Min Grade,เกรดต่ำสุด
DocType: Healthcare Service Unit Type,Healthcare Service Unit Type,ประเภทหน่วยบริการสุขภาพ
DocType: Training Event Employee,Feedback Submitted,ผลตอบรับส่ง
apps/erpnext/erpnext/projects/doctype/project/project.py,You have been invited to collaborate on the project: {0},คุณได้รับเชิญที่จะทำงานร่วมกันในโครงการ: {0}
DocType: Supplier Group,Parent Supplier Group,กลุ่มผู้ขายหลัก
DocType: Email Digest,Purchase Orders to Bill,ซื้อใบสั่งซื้อให้ Bill
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.js,Accumulated Values in Group Company,มูลค่าสะสมในกลุ่ม บริษัท
DocType: Leave Block List Date,Block Date,บล็อกวันที่
DocType: Item,You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,คุณสามารถใช้มาร์กอัป Bootstrap 4 ที่ถูกต้องในฟิลด์นี้ มันจะปรากฏในหน้ารายการของคุณ
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"Outward taxable supplies(other than zero rated, nil rated and exempted",วัสดุที่ต้องเสียภาษีนอกประเทศ
DocType: Crop,Crop,พืชผล
DocType: Purchase Receipt,Supplier Delivery Note,หมายเหตุการจัดส่งของผู้จัดจำหน่าย
apps/erpnext/erpnext/education/doctype/student_admission/templates/student_admission.html,Apply Now,ลงทะเบียนเลย
DocType: Employee Tax Exemption Proof Submission Detail,Type of Proof,ประเภทของหลักฐาน
apps/erpnext/erpnext/stock/dashboard/item_dashboard_list.html,Actual Qty {0} / Waiting Qty {1},จำนวนจริง {0} / รอจำนวน {1}
apps/erpnext/erpnext/stock/dashboard/item_dashboard_list.html,Actual Qty {0} / Waiting Qty {1},จำนวนจริง {0} / รอจำนวน {1}
DocType: Purchase Invoice,E-commerce GSTIN,อีคอมเมิร์ซ GSTIN
DocType: Sales Order,Not Delivered,ไม่ได้ส่ง
,Bank Clearance Summary,ข้อมูลอย่างย่อ Clearance ธนาคาร
apps/erpnext/erpnext/config/settings.py,"Create and manage daily, weekly and monthly email digests.",การสร้างและจัดการ รายวันรายสัปดาห์ และรายเดือน ย่อยสลาย ทางอีเมล์
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person_dashboard.py,This is based on transactions against this Sales Person. See timeline below for details,ขึ้นอยู่กับการทำธุรกรรมกับผู้ขายรายนี้ ดูรายละเอียดจากเส้นเวลาด้านล่าง
DocType: Appraisal Goal,Appraisal Goal,เป้าหมายการประเมิน
DocType: Stock Reconciliation Item,Current Amount,จำนวนเงินในปัจจุบัน
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Buildings,สิ่งปลูกสร้าง
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period.py,Leaves has been granted sucessfully,ใบไม้ได้รับความสำเร็จ
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_transaction_row.html,New Invoice,ใบแจ้งหนี้ใหม่
DocType: Products Settings,Enable Attribute Filters,เปิดใช้งานตัวกรองคุณสมบัติ
DocType: Fee Schedule,Fee Structure,โครงสร้างค่าธรรมเนียม
DocType: Timesheet Detail,Costing Amount,ต้นทุนปริมาณ
DocType: Student Admission Program,Application Fee,ค่าธรรมเนียมการสมัคร
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.js,Submit Salary Slip,ส่งสลิปเงินเดือน
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice_list.js,On Hold,ระงับ
apps/erpnext/erpnext/education/doctype/question/question.py,A qustion must have at least one correct options,qustion ต้องมีตัวเลือกที่ถูกต้องอย่างน้อยหนึ่งตัว
apps/erpnext/erpnext/hooks.py,Purchase Orders,คำสั่งซื้อ
DocType: Account,Inter Company Account,บัญชี บริษัท ระหว่าง
apps/erpnext/erpnext/stock/doctype/item_price/item_price.js,Import in Bulk,การนำเข้าสินค้าในกลุ่ม
DocType: Sales Partner,Address & Contacts,ที่อยู่ติดต่อ &amp;
DocType: SMS Log,Sender Name,ชื่อผู้ส่ง
DocType: Vital Signs,Very Hyper,มากเกินไป
DocType: Agriculture Analysis Criteria,Agriculture Analysis Criteria,เกณฑ์การวิเคราะห์การเกษตร
DocType: HR Settings,Leave Approval Notification Template,ออกจากแม่แบบการแจ้งเตือนการอนุมัติ
DocType: POS Profile,[Select],[เลือก ]
DocType: Staffing Plan Detail,Number Of Positions,จำนวนตำแหน่ง
DocType: Vital Signs,Blood Pressure (diastolic),ความดันโลหิต (diastolic)
apps/erpnext/erpnext/accounts/doctype/coupon_code/coupon_code.py,Please select the customer.,กรุณาเลือกลูกค้า
DocType: SMS Log,Sent To,ส่งไปยัง
DocType: Agriculture Task,Holiday Management,การจัดการวันหยุด
DocType: Payment Request,Make Sales Invoice,สร้างใบแจ้งหนี้
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Softwares,โปรแกรม
apps/erpnext/erpnext/crm/doctype/lead/lead.py,Next Contact Date cannot be in the past,ถัดไปติดต่อวันที่ไม่สามารถอยู่ในอดีตที่ผ่านมา
DocType: Company,For Reference Only.,สำหรับการอ้างอิงเท่านั้น
apps/erpnext/erpnext/accounts/page/pos/pos.js,Select Batch No,เลือกแบทช์
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Invalid {0}: {1},ไม่ถูกต้อง {0}: {1}
,GSTR-1,GSTR-1
DocType: Fee Validity,Reference Inv,Inv อ้างอิง
DocType: Sales Invoice Advance,Advance Amount,จำนวนล่วงหน้า
DocType: Manufacturing Settings,Capacity Planning,การวางแผนกำลังการผลิต
DocType: Supplier Quotation,Rounding Adjustment (Company Currency,การปรับการปัดเศษ (สกุลเงินของ บริษัท
DocType: Asset,Policy number,หมายเลขนโยบาย
apps/erpnext/erpnext/stock/report/batch_item_expiry_status/batch_item_expiry_status.py,'From Date' is required,ต้องระบุ 'วันเริ่มต้น'
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Assign to Employees,มอบหมายให้พนักงาน
DocType: Bank Transaction,Reference Number,เลขที่อ้างอิง
DocType: Employee,New Workplace,สถานที่ทำงานใหม่
DocType: Retention Bonus,Retention Bonus,โบนัสการรักษา
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Material Consumption,การบริโภควัสดุ
apps/erpnext/erpnext/crm/doctype/opportunity/opportunity_list.js,Set as Closed,ตั้งเป็นปิด
apps/erpnext/erpnext/stock/get_item_details.py,No Item with Barcode {0},ไม่มีรายการ ที่มี บาร์โค้ด {0}
DocType: Normal Test Items,Require Result Value,ต้องมีค่าผลลัพธ์
DocType: Purchase Invoice,Pricing Rules,กฎการกำหนดราคา
DocType: Item,Show a slideshow at the top of the page,สไลด์โชว์ที่ด้านบนของหน้า
DocType: Tax Withholding Rate,Tax Withholding Rate,อัตราการหักภาษี ณ ที่จ่าย
DocType: Pricing Rule,Max Amt,จำนวนสูงสุด
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Boms,boms
apps/erpnext/erpnext/stock/doctype/item/item.py,Stores,ร้านค้า
DocType: Project Type,Projects Manager,ผู้จัดการโครงการ
DocType: Serial No,Delivery Time,เวลาจัดส่งสินค้า
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Based On,เอจจิ้ง อยู่ ที่
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Appointment cancelled,นัดยกเลิกแล้ว
DocType: Item,End of Life,ในตอนท้ายของชีวิต
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Travel,การเดินทาง
DocType: Student Report Generation Tool,Include All Assessment Group,รวมกลุ่มการประเมินทั้งหมด
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,No active or default Salary Structure found for employee {0} for the given dates,ไม่มีการใช้งานหรือเริ่มต้นโครงสร้างเงินเดือนของพนักงานพบ {0} สำหรับวันที่กำหนด
DocType: Leave Block List,Allow Users,อนุญาตให้ผู้ใช้งาน
DocType: Purchase Order,Customer Mobile No,มือถือของลูกค้าไม่มี
DocType: Leave Type,Calculated in days,คำนวณเป็นวัน
DocType: Call Log,Received By,ที่ได้รับจาก
DocType: Cash Flow Mapping Template Details,Cash Flow Mapping Template Details,รายละเอียดแม่แบบการร่างกระแสเงินสด
apps/erpnext/erpnext/config/non_profit.py,Loan Management,การจัดการสินเชื่อ
DocType: Cost Center,Track separate Income and Expense for product verticals or divisions.,ติดตามรายได้และค่าใช้จ่ายแยกต่างหากสำหรับแนวดิ่งผลิตภัณฑ์หรือหน่วยงาน
DocType: Rename Tool,Rename Tool,เปลี่ยนชื่อเครื่องมือ
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.js,Update Cost,ปรับปรุง ค่าใช้จ่าย
DocType: Item Reorder,Item Reorder,รายการ Reorder
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,GSTR3B-Form,GSTR3B แบบฟอร์ม
DocType: Sales Invoice,Mode of Transport,โหมดการขนส่ง
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Show Salary Slip,สลิปเงินเดือนที่ต้องการแสดง
apps/erpnext/erpnext/stock/doctype/material_request/material_request.js,Transfer Material,โอน วัสดุ
DocType: Fees,Send Payment Request,ส่งคำขอการชำระเงิน
DocType: Travel Request,Any other details,รายละเอียดอื่น ๆ
DocType: Water Analysis,Origin,ที่มา
apps/erpnext/erpnext/controllers/status_updater.py,This document is over limit by {0} {1} for item {4}. Are you making another {3} against the same {2}?,เอกสารนี้เป็นเกินขีด จำกัด โดย {0} {1} สำหรับรายการ {4} คุณกำลังทำอีก {3} กับเดียวกัน {2}?
apps/erpnext/erpnext/public/js/controllers/transaction.js,Please set recurring after saving,กรุณาตั้งค่าที่เกิดขึ้นหลังจากการบันทึก
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Select change amount account,บัญชีจำนวนเงินที่เลือกเปลี่ยน
DocType: Purchase Invoice,Price List Currency,สกุลเงินรายการราคา
DocType: Naming Series,User must always select,ผู้ใช้จะต้องเลือก
DocType: Stock Settings,Allow Negative Stock,อนุญาตให้สต็อกเชิงลบ
DocType: Installation Note,Installation Note,หมายเหตุการติดตั้ง
apps/erpnext/erpnext/stock/report/stock_ageing/stock_ageing.js,Show Warehouse-wise Stock,แสดงสต็อคที่ฉลาด
DocType: Soil Texture,Clay,ดินเหนียว
DocType: Course Topic,Topic,กระทู้
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Cash Flow from Financing,กระแสเงินสดจากการจัดหาเงินทุน
DocType: Budget Account,Budget Account,งบประมาณของบัญชี
DocType: Quality Inspection,Verified By,ตรวจสอบโดย
DocType: Travel Request,Name of Organizer,ชื่อผู้จัดงาน
apps/erpnext/erpnext/setup/doctype/company/company.py,"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.",ไม่สามารถเปลี่ยน สกุลเงินเริ่มต้น ของ บริษัท เนื่องจากมี การทำธุรกรรม ที่มีอยู่ รายการที่ จะต้อง ยกเลิก การเปลี่ยน สกุลเงินเริ่มต้น
DocType: Cash Flow Mapping,Is Income Tax Liability,เป็นหนี้สินภาษีเงินได้
DocType: Grading Scale Interval,Grade Description,ชั้นประถมศึกษาปีคำอธิบาย
DocType: Clinical Procedure,Is Invoiced,มีการออกใบกำกับสินค้าแล้ว
apps/erpnext/erpnext/setup/doctype/company/company.js,Create Tax Template,สร้างเทมเพลตภาษี
DocType: Stock Entry,Purchase Receipt No,หมายเลขใบเสร็จรับเงิน (ซื้อ)
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Earnest Money,เงินมัดจำ
DocType: Sales Invoice, Shipping Bill Number,หมายเลขบิลการจัดส่ง
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.js,Create Salary Slip,สร้างสลิปเงินเดือน
apps/erpnext/erpnext/stock/doctype/item/item_dashboard.py,Traceability,ตรวจสอบย้อนกลับ
DocType: Asset Maintenance Log,Actions performed,ดำเนินการแล้ว
DocType: Cash Flow Mapper,Section Leader,หัวหน้าแผนก
DocType: Sales Invoice,Transport Receipt No,เลขที่ใบขนส่ง
DocType: Quiz Activity,Pass,ผ่าน
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,Please add the account to root level Company - ,กรุณาเพิ่มบัญชีไปยัง บริษัท ระดับราก -
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Source of Funds (Liabilities),แหล่งที่มาของ เงินทุน ( หนี้สิน )
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Source and Target Location cannot be same,ที่มาและตำแหน่งเป้าหมายต้องไม่เหมือนกัน
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Quantity in row {0} ({1}) must be same as manufactured quantity {2},จำนวน ในแถว {0} ({1} ) จะต้อง เป็นเช่นเดียวกับ ปริมาณ การผลิต {2}
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Difference Account must be a Asset/Liability type account, since this Stock Entry is an Opening Entry",บัญชีส่วนต่างต้องเป็นบัญชีประเภทสินทรัพย์ / หนี้สินเนื่องจากรายการนี้เป็นรายการเปิด
DocType: Supplier Scorecard Scoring Standing,Employee,ลูกจ้าง
DocType: Bank Guarantee,Fixed Deposit Number,หมายเลขเงินฝากประจำ
DocType: Asset Repair,Failure Date,วันที่ล้มเหลว
DocType: Support Search Source,Result Title Field,หัวเรื่อง
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Summary,สรุปการโทร
DocType: Sample Collection,Collected Time,เวลาที่รวบรวม
DocType: Employee Skill Map,Employee Skills,ทักษะของพนักงาน
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Fuel Expense,ค่าใช้จ่ายน้ำมันเชื้อเพลิง
DocType: Company,Sales Monthly History,ประวัติการขายรายเดือน
apps/erpnext/erpnext/regional/italy/utils.py,Please set at least one row in the Taxes and Charges Table,โปรดตั้งอย่างน้อยหนึ่งแถวในตารางภาษีและค่าใช้จ่าย
DocType: Asset Maintenance Task,Next Due Date,วันครบกำหนดถัดไป
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Select Batch,เลือกแบทช์
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} {1} is fully billed,{0} {1} ได้ถูกเรียกเก็บเงินเต็มจำนวน
apps/erpnext/erpnext/healthcare/doctype/patient/patient.js,Vital Signs,สัญญาณที่สำคัญ
DocType: Payment Entry,Payment Deductions or Loss,การหักเงินชำระเงินหรือการสูญเสีย
DocType: Soil Analysis,Soil Analysis Criterias,เกณฑ์การวิเคราะห์ดิน
apps/erpnext/erpnext/config/settings.py,Standard contract terms for Sales or Purchase.,ข้อสัญญา มาตรฐานสำหรับ การขายหรือการ ซื้อ
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,Rows Removed in {0},แถวถูกลบใน {0}
DocType: Shift Type,Begin check-in before shift start time (in minutes),เริ่มการเช็คอินก่อนเวลาเริ่มกะ (เป็นนาที)
