DocType: Accounting Period,Period Name,Име периода
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Publish {0} Items,Објавите {0} ставке
apps/erpnext/erpnext/setup/utils.py,Unable to find exchange rate for {0} to {1} for key date {2}. Please create a Currency Exchange record manually,Није могуће пронаћи курс за {0} до {1} за кључне дана {2}. Направите валута Екцханге рекорд ручно
DocType: POS Profile,Price List,Ценовник
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,{0} is now the default Fiscal Year. Please refresh your browser for the change to take effect.,"{0} теперь используется по умолчанию финансовый год . Пожалуйста, обновите страницу в браузере , чтобы изменения вступили в силу."
apps/erpnext/erpnext/projects/doctype/task/task.js,Expense Claims,Расходи Потраживања
DocType: Issue,Support,Подршка
DocType: Employee Tax Exemption Declaration,Total Exemption Amount,Укупан износ ослобађања
DocType: Content Question,Question Link,Линк за питања
,BOM Search,БОМ Тражи
DocType: Accounting Dimension Detail,Mandatory For Balance Sheet,Обавезно за биланс стања
DocType: Project,Total Consumed Material Cost  (via Stock Entry),Укупни трошкови потрошње материјала (путем залиха залиха)
DocType: Subscription,Subscription Period,Период претплате
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.js,To Date cannot be less than From Date,Датум не може бити мањи од датума
,Delayed Order Report,Извештај о одложеном налогу
DocType: Item,"Publish ""In Stock"" or ""Not in Stock"" on Hub based on stock available in this warehouse.",Објавите &quot;На лагеру&quot; или &quot;Нема на лагеру&quot; на Хуб-у на основу расположивих залиха у овом складишту.
DocType: Vehicle,Fuel Type,Врста горива
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Please specify currency in Company,Молимо наведите валуту у Друштву
DocType: Workstation,Wages per hour,Сатнице
apps/erpnext/erpnext/templates/generators/item/item_configure.js,Configure {0},Конфигуришите {0}
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Customer &gt; Customer Group &gt; Territory,Купац&gt; Група купаца&gt; Територија
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py,Stock balance in Batch {0} will become negative {1} for Item {2} at Warehouse {3},Сток стање у батцх {0} ће постати негативна {1} за {2} тачком у складишту {3}
apps/erpnext/erpnext/templates/emails/reorder_item.html,Following Material Requests have been raised automatically based on Item's re-order level,Следећи материјал захтеви су аутоматски подигнута на основу нивоа поновног реда ставке
apps/erpnext/erpnext/controllers/accounts_controller.py,Account {0} is invalid. Account Currency must be {1},Рачун {0} је неважећа. Рачун валута мора да буде {1}
apps/erpnext/erpnext/hr/doctype/salary_structure_assignment/salary_structure_assignment.py,From Date {0} cannot be after employee's relieving Date {1},Од Датум {0} не може бити након отпуштања запосленог Датум {1}
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js,Create Payment Entries,Креирајте уплате за плаћање
DocType: Supplier,Is Internal Supplier,Је унутрашњи добављач
DocType: Employee,Create User Permission,Креирајте дозволу корисника
DocType: Employee Benefit Claim,Employee Benefit Claim,Захтев за накнаде запосленима
DocType: Healthcare Settings,Remind Before,Подсети Пре
apps/erpnext/erpnext/buying/utils.py,UOM Conversion factor is required in row {0},Фактор Единица измерения преобразования требуется в строке {0}
DocType: Production Plan Item,material_request_item,материал_рекуест_итем
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,"Row #{0}: Reference Document Type must be one of Sales Order, Sales Invoice or Journal Entry","Ред # {0}: Референца Тип документа мора бити један од продаје реда, продаје Фактура или Јоурнал Ентри"
DocType: Loyalty Program,1 Loyalty Points = How much base currency?,1 Лоиалти Поинтс = Колико основних валута?
DocType: Salary Component,Deduction,Одузимање
DocType: Item,Retain Sample,Задржи узорак
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Row {0}: From Time and To Time is mandatory.,Ред {0}: Од времена и времена је обавезно.
DocType: Stock Reconciliation Item,Amount Difference,iznos Разлика
apps/erpnext/erpnext/public/js/hub/pages/Buying.vue,This page keeps track of items you want to buy from sellers.,Ова страница прати ствари које желите да купите од продавца.
apps/erpnext/erpnext/stock/get_item_details.py,Item Price added for {0} in Price List {1},Ставка Цена додат за {0} у ценовнику {1}
DocType: Delivery Stop,Order Information,Информације за наруџбу
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person_tree.js,Please enter Employee Id of this sales person,Молимо Вас да унесете Ид радник ове продаје особе
DocType: Territory,Classification of Customers by region,Класификација купаца по региону
apps/erpnext/erpnext/stock/report/item_variant_details/item_variant_details.py,In Production,У производњи
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Difference Amount must be zero,Разлика Износ мора бити нула
DocType: Project,Gross Margin,Бруто маржа
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,{0} applicable after {1} working days,{0} примјењив након {1} радних дана
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Please enter Production Item first,Молимо унесите прво Производња пункт
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py,Calculated Bank Statement balance,Обрачуната банка Биланс
DocType: Normal Test Template,Normal Test Template,Нормални тестни шаблон
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.js,disabled user,искључени корисник
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Quotation,Понуда
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Cannot set a received RFQ to No Quote,Не можете поставити примљени РФК на Но Куоте
DocType: Salary Slip,Total Deduction,Укупно Одбитак
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Select an account to print in account currency,Изаберите налог за штампање у валути рачуна
DocType: BOM,Transfer Material Against,Пренос материјала против
,Production Analytics,Продуцтион analitika
apps/erpnext/erpnext/healthcare/doctype/patient/patient_dashboard.py,This is based on transactions against this Patient. See timeline below for details,Ово се заснива на трансакцијама против овог пацијента. Погледајте детаље испод
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.py,Loan Start Date and Loan Period are mandatory to save the Invoice Discounting,Датум почетка и Период зајма су обавезни да бисте сачували попуст на фактури
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Cost Updated,Трошкови ажурирано
apps/erpnext/erpnext/regional/india/utils.py,Vehicle Type is required if Mode of Transport is Road,Тип возила је потребан ако је начин превоза друмски
DocType: Inpatient Record,Date of Birth,Датум рођења
DocType: Quality Action,Resolutions,Резолуције
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Item {0} has already been returned,Пункт {0} уже вернулся
DocType: Fiscal Year,**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**Фискална година** представља Финансијску годину. Све рачуноводствене уносе и остале главне трансакције се прате наспрам **Фискалне фодине**.
DocType: Opportunity,Customer / Lead Address,Кориснички / Олово Адреса
DocType: Supplier Scorecard Period,Supplier Scorecard Setup,Поставка Сцорецард Сетуп
DocType: Customer Credit Limit,Customer Credit Limit,Лимит за клијента
apps/erpnext/erpnext/education/report/assessment_plan_status/assessment_plan_status.py,Assessment Plan Name,Назив плана процене
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year_dashboard.py,Target Details,Детаљи циља
apps/erpnext/erpnext/regional/italy/setup.py,"Applicable if the company is SpA, SApA or SRL","Применљиво ако је компанија СпА, САпА или СРЛ"
DocType: Work Order Operation,Work Order Operation,Операција рада
apps/erpnext/erpnext/stock/doctype/item/item.py,Warning: Invalid SSL certificate on attachment {0},Упозорење: Неважећи сертификат ССЛ на везаности {0}
apps/erpnext/erpnext/regional/italy/setup.py,Set this if the customer is a Public Administration company.,Подесите ово ако је купац компанија јавне управе.
apps/erpnext/erpnext/utilities/activation.py,"Leads help you get business, add all your contacts and more as your leads","Леадс вам помоћи да посао, додати све своје контакте и још као своје трагове"
DocType: Work Order Operation,Actual Operation Time,Стварна Операција време
DocType: Authorization Rule,Applicable To (User),Важећи Да (Корисник)
DocType: Purchase Taxes and Charges,Deduct,Одбити
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Job Description,Опис посла
DocType: Student Applicant,Applied,примењен
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Details of Outward Supplies and inward supplies liable to reverse charge,Појединости о спољним потрепштинама и унутрашњим залихама подложним повратном пуњењу
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Re-open,Снова откройте
DocType: Sales Invoice Item,Qty as per Stock UOM,Кол по залихама ЗОЦГ
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian2 Name,Гуардиан2 Име
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,Root Company,Роот Цомпани
DocType: Attendance,Attendance Request,Захтев за присуством
DocType: Purchase Invoice,02-Post Sale Discount,Попуст 02-поштарина
DocType: Campaign,"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment.","Пратите продајне акције. Пратите води, Куотатионс, продаја Ордер итд из кампање да измери повраћај инвестиције."
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.py,You can't redeem Loyalty Points having more value than the Grand Total.,Не можете откупити Лоиалти Поинтс са више вриједности него Гранд Тотал.
DocType: Department Approver,Approver,Одобраватељ
apps/erpnext/erpnext/selling/report/pending_so_items_for_purchase_request/pending_so_items_for_purchase_request.py,SO Qty,ТАКО Кол
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field To Shareholder cannot be blank,Поље За дионичара не може бити празно
DocType: Guardian,Work Address,rad Адреса
DocType: Appraisal,Calculate Total Score,Израчунајте Укупна оцена
DocType: Employee,Health Insurance,Здравствено осигурање
DocType: Asset Repair,Manufacturing Manager,Производња директор
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Serial No {0} is under warranty upto {1},Серийный номер {0} находится на гарантии ДО {1}
DocType: Plant Analysis Criteria,Minimum Permissible Value,Минимална дозвољена вредност
apps/erpnext/erpnext/education/doctype/guardian/guardian.py,User {0} already exists,Корисник {0} већ постоји
apps/erpnext/erpnext/hooks.py,Shipments,Пошиљке
DocType: Payment Entry,Total Allocated Amount (Company Currency),Укупно додељени износ (Фирма валута)
DocType: Purchase Order Item,To be delivered to customer,Који ће бити достављен купца
DocType: BOM,Scrap Material Cost,Отпадног материјала Трошкови
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial No {0} does not belong to any Warehouse,Серијски број {0} не припада ниједној Варехоусе
DocType: Grant Application,Email Notification Sent,Послато обавештење о е-пошти
DocType: Purchase Invoice,In Words (Company Currency),Речима (Друштво валута)
apps/erpnext/erpnext/accounts/doctype/bank_account/bank_account.py,Company is manadatory for company account,Предузеће је очигледно за рачун компаније
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,"Item Code, warehouse, quantity are required on row","Код ставке, складиште, количина су потребна у реду"
DocType: Bank Guarantee,Supplier,Добављач
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js,Get From,Гет Од
apps/erpnext/erpnext/hr/doctype/department/department.js,This is a root department and cannot be edited.,Ово је коријенско одјељење и не може се уређивати.
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show Payment Details,Прикажи податке о плаћању
apps/erpnext/erpnext/crm/report/lead_conversion_time/lead_conversion_time.py,Duration in Days,Трајање у данима
DocType: C-Form,Quarter,Четврт
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Miscellaneous Expenses,Прочие расходы
DocType: Global Defaults,Default Company,Уобичајено Компанија
DocType: Company,Transactions Annual History,Годишња историја трансакција
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Bank account '{0}' has been synchronized,Банковни рачун &#39;{0}&#39; је синхронизован
apps/erpnext/erpnext/controllers/stock_controller.py,Expense or Difference account is mandatory for Item {0} as it impacts overall stock value,"Расходи или Разлика рачун је обавезно за пункт {0} , јер утиче укупна вредност залиха"
DocType: Bank,Bank Name,Име банке
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Leave the field empty to make purchase orders for all suppliers,Оставите поље празно да бисте наручили налоге за све добављаче
DocType: Healthcare Practitioner,Inpatient Visit Charge Item,Обавезна посета обавезној посети
DocType: Vital Signs,Fluid,Флуид
DocType: Leave Application,Total Leave Days,Укупно ЛЕАВЕ Дана
DocType: Email Digest,Note: Email will not be sent to disabled users,Напомена: Е-маил неће бити послат са инвалидитетом корисницима
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.js,Number of Interaction,Број Интерацтион
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.js,Number of Interaction,Број Интерацтион
DocType: GSTR 3B Report,February,Фебруара
apps/erpnext/erpnext/stock/doctype/item/item.js,Item Variant Settings,Поставке варијанте ставке
apps/erpnext/erpnext/public/js/account_tree_grid.js,Select Company...,Изаберите фирму ...
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,{0} is mandatory for Item {1},{0} является обязательным для п. {1}
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,"Item {0}: {1} qty produced, ","Ставка {0}: {1} количина произведена,"
DocType: Payroll Entry,Fortnightly,четрнаестодневни
DocType: Currency Exchange,From Currency,Од валутног
DocType: Vital Signs,Weight (In Kilogram),Тежина (у килограму)
DocType: Chapter,"chapters/chapter_name
leave blank automatically set after saving chapter.",поглавља / цхаптер_наме оставите празно аутоматски након подешавања поглавља.
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Please set GST Accounts in GST Settings,Молимо поставите ГСТ налоге у ГСТ подешавањима
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.js,Type of Business,Врста пословања
DocType: Sales Invoice,Consumer,Потрошач
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,"Please select Allocated Amount, Invoice Type and Invoice Number in atleast one row","Молимо Вас да изаберете издвајају, Тип фактуре и број фактуре у атлеаст једном реду"
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost of New Purchase,Трошкови куповини
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Sales Order required for Item {0},Заказать продаж требуется для Пункт {0}
DocType: Grant Application,Grant Description,Грант Опис
DocType: Purchase Invoice Item,Rate (Company Currency),Стопа (Друштво валута)
DocType: Student Guardian,Others,другие
DocType: Subscription,Discounts,Попусти
DocType: Bank Transaction,Unallocated Amount,Неалоцирано Износ
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,Молимо омогућите применљиву на налогу за куповину и применљиву на тренутним трошковима резервације
apps/erpnext/erpnext/templates/includes/product_page.js,Cannot find a matching Item. Please select some other value for {0}.,Не могу да нађем ставку која се подудара. Молимо Вас да одаберете неку другу вредност за {0}.
DocType: POS Profile,Taxes and Charges,Порези и накнаде
DocType: Item,"A Product or a Service that is bought, sold or kept in stock.","Производ или сервис који се купити, продати или држати у складишту."
apps/erpnext/erpnext/hr/page/team_updates/team_updates.js,No more updates,Нема више ажурирања
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,"Невозможно выбрать тип заряда , как «О предыдущего ряда Сумма » или « О предыдущего ряда Всего 'для первой строки"
DocType: Purchase Order,PUR-ORD-.YYYY.-,ПУР-ОРД-ИИИИ.-
apps/erpnext/erpnext/buying/doctype/supplier_scorecard/supplier_scorecard_dashboard.py,This covers all scorecards tied to this Setup,Ово покрива све системе резултата који су везани за овај Сетуп
apps/erpnext/erpnext/selling/doctype/product_bundle/product_bundle.py,Child Item should not be a Product Bundle. Please remove item `{0}` and save,Дете артикла не би требало да буде Бундле производа. Молимо Вас да уклоните ставку `{0} &#39;и сачувати
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Banking,банкарство
apps/erpnext/erpnext/utilities/activation.py,Add Timesheets,Додај тимесхеетс
DocType: Vehicle Service,Service Item,сервис артикла
DocType: Bank Guarantee,Bank Guarantee,Банкарска гаранција
DocType: Bank Guarantee,Bank Guarantee,Банкарска гаранција
DocType: Payment Request,Transaction Details,Детаљи трансакције
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please click on 'Generate Schedule' to get schedule,"Пожалуйста, нажмите на кнопку "" Generate Расписание "" , чтобы получить график"
DocType: Item,"Purchase, Replenishment Details","Детаљи куповине, допуњавања"
DocType: Products Settings,Enable Field Filters,Омогући филтре поља
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Customer Provided Item"" cannot be Purchase Item also",„Предмет који пружа клијент“ такође не може бити предмет куповине
DocType: Blanket Order Item,Ordered Quantity,Наручено Количина
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Build tools for builders""","например ""Build инструменты для строителей """
DocType: Grading Scale,Grading Scale Intervals,Скала оцењивања Интервали
apps/erpnext/erpnext/regional/india/utils.py,Invalid {0}! The check digit validation has failed. ,Неважећи {0}! Провера провере цифре није успела.
DocType: Item Default,Purchase Defaults,Набавите подразумеване вредности
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again","Не могу аутоматски да креирам кредитну поруку, молим да уклоните ознаку &#39;Издавање кредитне ноте&#39; и пошаљите поново"
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Added to Featured Items,Додано у Изабране ставке
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Profit for the year,Добит за годину
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: Рачуноводство Улаз за {2} може се вршити само у валути: {3}
DocType: Fee Schedule,In Process,У процесу
DocType: Authorization Rule,Itemwise Discount,Итемвисе Попуст
apps/erpnext/erpnext/config/accounting.py,Tree of financial accounts.,Дрво финансијских рачуна.
DocType: Cash Flow Mapping,Cash Flow Mapping,Мапирање токова готовине
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Sales Order {1},{0} против Салес Ордер {1}
DocType: Account,Fixed Asset,Исправлена активами
DocType: Amazon MWS Settings,After Date,Након датума
apps/erpnext/erpnext/config/help.py,Serialized Inventory,Серијализоване Инвентар
,Department Analytics,Одељење аналитике
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Email not found in default contact,Е-пошта није пронађена у подразумеваном контакту
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.js,Generate Secret,Генерирај тајну
DocType: Question,Question,Питање
DocType: Loan,Account Info,račun информације
DocType: Activity Type,Default Billing Rate,Уобичајено обрачуна курс
DocType: Fees,Include Payment,Укључи плаћање
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,{0} Student Groups created.,{0} Студент Групе створио.
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,{0} Student Groups created.,{0} Студент Групе створио.
DocType: Sales Invoice,Total Billing Amount,Укупно обрачуна Износ
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.py,Program in the Fee Structure and Student Group {0} are different.,Програм у структури накнада и студентској групи {0} су различити.
DocType: Bank Statement Transaction Entry,Receivable Account,Потраживања рачуна
apps/erpnext/erpnext/stock/doctype/item_price/item_price.py,Valid From Date must be lesser than Valid Upto Date.,Важи од датума мора бити мањи од важећег датума.
DocType: Employee Skill,Evaluation Date,Датум процене
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} is already {2},Ред # {0}: имовине {1} је већ {2}
DocType: Quotation Item,Stock Balance,Берза Биланс
apps/erpnext/erpnext/config/help.py,Sales Order to Payment,Продаја Налог за плаћања
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,CEO,Директор
DocType: Purchase Invoice,With Payment of Tax,Уз плаћање пореза
DocType: Expense Claim Detail,Expense Claim Detail,Расходи потраживање Детаљ
apps/erpnext/erpnext/education/utils.py,You are not allowed to enroll for this course,Није вам дозвољено да се упишете на овај курс
DocType: Purchase Invoice,TRIPLICATE FOR SUPPLIER,Три примерка за добављача
DocType: Exchange Rate Revaluation Account,New Balance In Base Currency,Нови баланс у основној валути
DocType: Location,Is Container,Је контејнер
DocType: Crop Cycle,This will be day 1 of the crop cycle,Ово ће бити дан 1 циклуса усјева
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Please select correct account,Молимо изаберите исправан рачун
DocType: Salary Structure Assignment,Salary Structure Assignment,Распоред плата
DocType: Purchase Invoice Item,Weight UOM,Тежина УОМ
apps/erpnext/erpnext/config/accounting.py,List of available Shareholders with folio numbers,Списак доступних акционара са бројевима фолије
DocType: Salary Structure Employee,Salary Structure Employee,Плата Структура запослених
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.js,Show Variant Attributes,Прикажи варијантне атрибуте
DocType: Student,Blood Group,Крв Група
DocType: Purchase Invoice Item,Page Break,Страна Пауза
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,The payment gateway account in plan {0} is different from the payment gateway account in this payment request,Рачун плаћачког плаћања у плану {0} се разликује од налога за плаћање у овом налогу за плаћање
DocType: Course,Course Name,Назив курса
apps/erpnext/erpnext/accounts/doctype/tax_withholding_category/tax_withholding_category.py,No Tax Withholding data found for the current Fiscal Year.,Није пронађен никакав порезни задатак за текућу фискалну годину.
DocType: Employee Leave Approver,Users who can approve a specific employee's leave applications,Корисници који могу одобри одсуство апликације у конкретној запосленог
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Equipments,оборудование офиса
DocType: Pricing Rule,Qty,Кол
DocType: Fiscal Year,Companies,Компаније
DocType: Supplier Scorecard,Scoring Setup,Подешавање бодова
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Electronics,електроника
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Debit ({0}),Дебит ({0})
DocType: BOM,Allow Same Item Multiple Times,Дозволите исту ставку више пута
DocType: Stock Settings,Raise Material Request when stock reaches re-order level,Подигните захтев залиха материјала када достигне ниво поновно наручивање
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Full-time,Пуно радно време
DocType: Payroll Entry,Employees,zaposleni
DocType: Question,Single Correct Answer,Један тачан одговор
DocType: C-Form,Received Date,Примљени Датум
DocType: Delivery Note,"If you have created a standard template in Sales Taxes and Charges Template, select one and click on the button below.","Ако сте направили стандардни образац у продаји порези и таксе Темплате, изаберите један и кликните на дугме испод."
DocType: BOM Scrap Item,Basic Amount (Company Currency),Основни Износ (Фирма валута)
DocType: Student,Guardians,старатељи
apps/erpnext/erpnext/templates/pages/integrations/gocardless_confirmation.html,Payment Confirmation,Потврда о уплати
apps/erpnext/erpnext/regional/india/utils.py,Unsupported GST Category for e-Way Bill JSON generation,Неподржана ГСТ категорија за е-Ваи Билл ЈСОН генерације
DocType: Shopping Cart Settings,Prices will not be shown if Price List is not set,Цене неће бити приказан ако Ценовник није подешен
DocType: Material Request Item,Received Quantity,Примљена количина
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,To Date must be greater than From Date,До датума мора бити већи од Од датума
DocType: Stock Entry,Total Incoming Value,Укупна вредност Долазни
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Debit To is required,Дебитна Да је потребно
DocType: Clinical Procedure,Inpatient Record,Записник о стационарном стању
apps/erpnext/erpnext/utilities/activation.py,"Timesheets help keep track of time, cost and billing for activites done by your team","Тимесхеетс лакше пратили времена, трошкова и рачуна за АКТИВНОСТИ урадио ваш тим"
apps/erpnext/erpnext/stock/report/item_prices/item_prices.py,Purchase Price List,Куповина Ценовник
DocType: Communication Medium Timeslot,Employee Group,Емплоиее Гроуп
apps/erpnext/erpnext/accounts/report/tds_payable_monthly/tds_payable_monthly.py,Date of Transaction,Датум трансакције
apps/erpnext/erpnext/config/buying.py,Templates of supplier scorecard variables.,Шаблони варијабли индекса добављача.
DocType: Job Offer Term,Offer Term,Понуда Рок
DocType: Asset,Quality Manager,Руководилац квалитета
DocType: Job Applicant,Job Opening,Посао Отварање
DocType: Employee,Default Shift,Подразумевано Схифт
DocType: Payment Reconciliation,Payment Reconciliation,Плаћање Помирење
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please select Incharge Person's name,"Пожалуйста, выберите имя InCharge Лица"
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Technology,технологија
apps/erpnext/erpnext/public/js/utils.js,Total Unpaid: {0},Укупно Неплаћени: {0}
DocType: BOM Website Operation,BOM Website Operation,БОМ Сајт Операција
DocType: Bank Statement Transaction Payment Item,outstanding_amount,изузетан износ
DocType: Supplier Scorecard,Supplier Score,Проценат добављача
apps/erpnext/erpnext/healthcare/doctype/patient_encounter/patient_encounter.js,Schedule Admission,Распоред пријема
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Total Payment Request amount cannot be greater than {0} amount,Укупан износ захтева за плаћање не може бити већи од {0}
DocType: Tax Withholding Rate,Cumulative Transaction Threshold,Кумулативни праг трансакције
DocType: Promotional Scheme Price Discount,Discount Type,Тип попуста
DocType: Purchase Invoice Item,Is Free Item,Је бесплатна ставка
DocType: Buying Settings,Percentage you are allowed to transfer more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to transfer 110 units.,"Проценат вам је дозвољено да пренесете више у односу на наручену количину. На пример: Ако сте наручили 100 јединица. а ваш додатак износи 10%, тада вам је дозвољено пренијети 110 јединица."
DocType: Supplier,Warn RFQs,Упозоравајте РФКс
apps/erpnext/erpnext/public/js/hub/pages/Home.vue,Explore,истражити
DocType: BOM,Conversion Rate,Стопа конверзије
apps/erpnext/erpnext/www/all-products/index.html,Product Search,Претрага производа
,Bank Remittance,Банковни дознаци
DocType: Cashier Closing,To Time,За време
DocType: Invoice Discounting,Loan End Date,Датум завршетка зајма
apps/erpnext/erpnext/hr/utils.py,) for {0},) за {0}
DocType: Authorization Rule,Approving Role (above authorized value),Одобравање улога (изнад овлашћеног вредности)
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Credit To account must be a Payable account,Кредит на рачун мора бити Плаћа рачун
DocType: Loan,Total Amount Paid,Укупан износ плаћен
DocType: Asset,Insurance End Date,Крајњи датум осигурања
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.py,Please select Student Admission which is mandatory for the paid student applicant,Молимо изаберите Студентски пријем који је обавезан за ученику који је платио
DocType: Pick List,STO-PICK-.YYYY.-,СТО-ПИЦК-.ИИИИ.-
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,Budget List,Буџетска листа
DocType: Campaign,Campaign Schedules,Распореди кампање
DocType: Job Card Time Log,Completed Qty,Завршен Кол
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,"For {0}, only debit accounts can be linked against another credit entry","За {0}, само дебитне рачуни могу бити повезани против другог кредитног уласка"
DocType: Manufacturing Settings,Allow Overtime,Дозволи Овертиме
DocType: Training Event Employee,Training Event Employee,Тренинг догађај запослених
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Maximum Samples - {0} can be retained for Batch {1} and Item {2}.,Максимални узорци - {0} могу бити задржани за Батцх {1} и Итем {2}.
