Pension Funds,Fons de pensions
Create Purchase Order,Crea una comanda de compra
Define budget for a financial year.,Definiu el pressupost per a un exercici.
Accounts table cannot be blank.,La taula de comptes no pot estar en blanc.
Payment Period Based On Invoice Date,Període de pagament basat en la data de facturació
Installation date cannot be before delivery date for Item {0},La data d’instal·lació no pot ser abans de la data de lliurament de l’element {0}
Link to Material Request,Enllaç a la sol·licitud de material
From Company,De l&#39;empresa
Mapped Data Type,Tipus de dades assignats
Row {0}: An Reorder entry already exists for this warehouse {1},Fila {0}: ja existeix una entrada de reordenació per a aquest magatzem {1}
Doc Date,Data de documentació
Distribution Name,Nom de distribució
Group to Non-Group,Agrupeu-vos a persones que no pertanyen a grups
Update in progress. It might take a while.,Actualització en curs. Pot trigar una estona.
"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","Exemple: ABCD. ##### Si la sèrie està definida i no es menciona el número de sèrie a les transaccions, es crearà el número de sèrie automàtic basat en aquesta sèrie. Si sempre voleu esmentar explícitament els números de sèrie per a aquest ítem. deixeu-ho en blanc."
Stock Entry (Outward GIT),Entrada de valors (outit GIT)
Processing Party Addresses,Processant adreces de la festa
Delivery Note Required,Es requereix una nota de lliurament
Sales Partner,Soci comercial
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Entrada de comptabilitat congelada fins a aquesta data, ningú no pot fer o modificar l’entrada, tret el rol que s’especifica a continuació."
Fuel Qty,Quantitat de combustible
Guardian1 Mobile No,Guardian1 Mobile No
Disbursed,Desemborsat
Net Change in Accounts Payable,Canvi net de comptes a cobrar
Not Available,No disponible
Part-time,Temps parcial
Delivery,Lliurament
Student Group Creation Tool Course,Eina de creació d’eina de creació de grups d’estudiants
Allocated amount cannot be greater than unadjusted amount,L&#39;import assignat no pot ser superior a l&#39;import no ajustat
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Un distribuïdor / distribuïdor / agent de comissions / afiliats / distribuïdors de tercers que ven els productes de les empreses per a una comissió.
Original Item,Article original
Series is mandatory,La sèrie és obligatòria
Potential opportunities for selling.,Possibles oportunitats de venda.
Show PDC in Print,Mostra PDC a Print
Shopify Supplier,Shopify Supplier
POS Profile User,Usuari de perfil de PDI
Middle Name,Segon nom
Sales Person Name,Nom de la persona de vendes
Gross Weight,Pes brut
Bill No,Projecte de llei núm
New Location,Nova ubicació
Project wise Stock Tracking,Seguiment prudent del projecte
HR-VLOG-.YYYY.-,HR-VLOG-.YYYY.-
A+,A +
Service Level Agreement,Acord de nivell de servei
Please select Employee and Date first,Seleccioneu primer l’empleat i la data
Item valuation rate is recalculated considering landed cost voucher amount,La taxa de valoració de l’article es recalcula tenint en compte l’import del val de cost d’aterratge
Employee Detail,Detall dels empleats
Vouchers,Vouchers
Guardian Details,Detalls del tutor
eg: frappe.myshopify.com,per exemple: frappe.myshopify.com
"Email Address must be unique, already exists for {0}","L’adreça de correu electrònic ha de ser única, ja existeix per a {0}"
Match Payments with Invoices,Fer coincidir els pagaments amb factures
Weekly Off,Setmanalment desactivat
Not allow to set alternative item for the item {0},No es permet establir un element alternatiu per a l&#39;element {0}
Program {0} does not exist.,El programa {0} no existeix.
You cannot edit root node.,No podeu editar el node arrel.
Student Category,Categoria d’estudiants
"Item {0}: {1} qty produced, ","Element {0}: {1} quantitat produïda,"
Identification Document Type,Tipus de document d’identificació
Insufficient Stock,Estoc insuficient
Row {0}: Conversion Factor is mandatory,La fila {0}: el factor de conversió és obligatori
Purchase Receipt Required,Requeriment de compra necessari
BOM Rate,Taxa de BOM
Invalid GSTIN! The check digit validation has failed. ,GSTIN no vàlid! Ha fallat la validació del dígit de verificació.
Max working hours against Timesheet,Hores de treball màxim contra full de temps
Include holidays in Total no. of Working Days,Inclou vacances a Total no. dels dies feiners
Quality Meeting,Reunió de qualitat
Consulting,Consultoria
Default Payment Request Message,Missatge de sol·licitud de pagament predeterminat
GSTIN Email Sent On,GSTIN correu electrònic enviat
Enable Scheduled Synch,Activa la sincronització programada
Please select Employee,Seleccioneu Empleat
"If checked, a customer will be created, mapped to Patient.
Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.","Si està marcat, es crearà un client, assignat al pacient. Es crearan factures de pacients contra aquest client. També podeu seleccionar el client existent mentre creeu el pacient."
Stock User,Usuari d&#39;estoc
Service Level Agreement.,Acord de nivell de servei.
Date on which this component is applied,Data en què s&#39;aplica aquest component
List of available Shareholders with folio numbers,Llista d’accionistes disponibles amb números de folio
Setup Gateway accounts.,Configuració dels comptes de passarel·la.
Response Time Period,Període de temps de resposta
Purchase Taxes and Charges,Compreu impostos i càrrecs
Activity Date,Activitat Data
Select or add new customer,Seleccioneu o afegiu un client nou
Unfulfilled,Sense complir
Read blog,Llegiu el bloc
Project Value,Valor del projecte
Expected Time (in hours),Temps previst (en hores)
Updating Variants...,Actualització de les variants ...
Show Sales Person in Print,Mostra les vendes a la impressió
Per Year,Per any
Admitted Datetime,Dataetime d’admissió
Tax Template is mandatory.,La plantilla d’impostos és obligatòria.
Patient,Pacient
Costing Amount,Import del cost
Add / Edit Prices,Afegeix / Edita els preus
Non-GST outward supplies,Subministraments externs a la no-GST
Row {0}: From time must be less than to time,Fila {0}: del temps ha de ser inferior al temps
User {0} is already assigned to Employee {1},L&#39;usuari {0} ja està assignat a Employee {1}
Form View,Visualització de formulari
Auto Repeat Section,Repetir automàticament la secció
Select company name first.,Seleccioneu primer el nom de l&#39;empresa.
Financial Year,Any financer
Deferred Revenue,Ingressos diferits
Atleast one of the Selling or Buying must be selected,"Almenys, cal seleccionar un dels productes de venda o de compra"
Item-wise Purchase History,Historial de compres d’un article
Cannot change Service Stop Date for item in row {0},No es pot canviar la data de parada del servei de l’element de la fila {0}
Include Subcontracted Items,Inclou elements subcontractats
Max Benefits (Amount),Beneficis màxims (import)
Hero Section,Secció Heroi
Where manufacturing operations are carried.,On es realitzen operacions de fabricació.
Dispatch Notification,Notificació de tramesa
Timesheets,Fulls de temps
Get current stock,Obteniu l’estoc actual
Expense,Despeses
{0} asset cannot be transferred,No es pot transferir l&#39;actiu {0}
Unpaid Expense Claim,Reclamació de despeses sense pagar
Family Background,Antecedents familiars
Bonus Payment Date cannot be a past date,La data de pagament de bons no pot ser una data passada
No {0} found for Inter Company Transactions.,No s’ha trobat {0} per a les transaccions entre empreses.
Party Type,Tipus de festa
Finish,Finalitza
C-Form Applicable,C-Formulari aplicable
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","El saldo del compte ja es troba a Debit, no teniu permís per establir &quot;Saldo ha de ser&quot; com a &quot;crèdit&quot;"
Row #{0}: Qty increased by 1,Fila # {0}: Qty augmentada d’1
Set targets Item Group-wise for this Sales Person.,Estableix objectius del grup d&#39;articles per a aquesta persona de venda.
ACC-ASR-.YYYY.-,ACC-ASR-.AAAA.-
Student Mobile Number,Número de mòbil de l’estudiant
Academic Year: ,Any escolar:
Please set Naming Series for {0} via Setup &gt; Settings &gt; Naming Series,Configureu les sèries de noms per a {0} mitjançant la configuració&gt; Configuració&gt; Sèries de noms
"As per the Buying Settings if Purchase Order Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Order first for item {0}","Segons els paràmetres d’adquisició si s’exigeix ordre de compra == &#39;SÍ&#39;, llavors, per crear la factura d’adquisició, l’usuari ha de crear primer l’Orde de compra per a l’article {0}"
To Value,Valorar
Please add the account to root level Company - ,Afegiu el compte al nivell de l’arrel Company:
Number of Days in Fiscal Year,Nombre de dies de l’exercici fiscal
Total Amount Currency,Quantitat total de moneda
Allow Same Item Multiple Times,Permeten múltiples vegades el mateix element
Create BOM,Crea BOM
Charges,Càrregues
Personal Details,Detalls personals
Billing and Delivery Status,Estat de facturació i lliurament
Row {0}: For supplier {0} Email Address is required to send email,Fila {0}: per al proveïdor es requereix {0} l’adreça de correu electrònic per enviar correu electrònic
Cash Flow from Investing,Flux de caixa procedent d&#39;inversions
Approving Role cannot be same as role the rule is Applicable To,L’aprovació del paper no pot ser la mateixa que la funció que la norma s’aplica
Crop Spacing,Espai de cultiu
How often should project and company be updated based on Sales Transactions.,Amb quina freqüència hauria d’actualitzar-se el projecte i la companyia basant-se en les transaccions de vendes.
Period Settings,Configuració del període
Net Change in Accounts Receivable,Canvi net en comptes per cobrar
For Quantity must be greater than zero,Per a Quantitat ha de ser superior a zero
Goal Objectives,Objectius de l&#39;objectiu
"There are inconsistencies between the rate, no of shares and the amount calculated","Hi ha inconsistències entre la taxa, el nombre d’accions i l’import calculat"
Leave blank if you make students groups per year,Deixeu en blanc si feu grups d’estudiants per any
Loans (Liabilities),Préstecs (passius)
Send Grant Review Email,Envia el correu electrònic de revisió de subvencions
GSTR3B-Form,Forma GSTR3B
Produced Qty,Producció Qty
Journal Entry,Entrada de diari
Purchase Receipt No,Rebut de compra no
From Date {0} cannot be before employee's joining Date {1},A partir de la data {0} no es pot fer abans de la data d’unió de l’empleat {1}
Debit Note,Nota de dèbit
Is this Tax included in Basic Rate?,Està inclòs aquest impost a la tarifa bàsica?
Purchased,Comprat
Rate at which Price list currency is converted to company's base currency,Taxa a la qual la moneda de la llista de preus es converteix a la moneda base de la companyia
View Fees Records,Veure registres de taxes
Theory,Teoria
Create Quotation,Crea un pressupost
Row #{0}: Journal Entry {1} does not have account {2} or already matched against another voucher,La fila # {0}: l&#39;entrada de diari {1} no té un compte {2} o ja ha coincidit amb un altre val
Create a new Customer,Creeu un client nou
BOM Website Operation,Operació del lloc web BOM
Invoice/Journal Entry Details,Detalls de factura / entrada de diari
Share Balance,Saldo compartit
Period Closing Entry,Entrada de tancament de període
Purchase Price List,Llista de preus de compra
Party User,Usuari de partit
Restaurant Order Entry,Entrada de comandes de restaurants
"Serialized Item {0} cannot be updated using Stock Reconciliation, please use Stock Entry","L’element serialitzat {0} no es pot actualitzar mitjançant la reconciliació de valors, utilitzeu l&#39;entrada de valors"
Time Slots,Ranures de temps
Select at least one value from each of the attributes.,Seleccioneu almenys un valor de cadascun dels atributs.
Bank Draft,Gir bancari
Send regular summary reports via Email.,Envieu informes de resum habituals per correu electrònic.
Step,Pas
Result Value,Valor del resultat
Is Income Tax Liability,És responsabilitat fiscal
Inpatient Visit Charge Item,Article de càrrega de visita hospitalitzada
{0} {1} does not exist.,{0} {1} no existeix.
Update Response,Actualització de la resposta
Supplier,Proveïdor
Enter value betweeen {0} and {1},Introduïu el valor entre {0} i {1}
Order Confirmation Date,Data de confirmació de la comanda
Calculate Estimated Arrival Times,Calcula els temps d’arribada estimats
Consumable,Consumibles
EDU-INS-.YYYY.-,EDU-INS-.AAAA.-
Subscription Start Date,Data d&#39;inici de la subscripció
Woocommerce Server URL,URL del servidor Woocommerce
Number Of Employees,Nombre d&#39;empleats
{0} field is limited to size {1},El camp {0} està limitat a la mida {1}
This {0} conflicts with {1} for {2} {3},Aquest {0} entra en conflicte amb {1} per a {2} {3}
Value Proposition,Proposició de valor
Contact Email,Correu electrònic de contacte
Cannot set authorization on basis of Discount for {0},No es pot establir l’autorització sobre la base del descompte per a {0}
Work From Home,Treball des de casa
Row {0}: From Time and To Time is mandatory.,La fila {0}: de l’hora i l’hora és obligatòria.
Supplier Id,Id del proveïdor
Invoice can't be made for zero billing hour,La factura no es pot fer per hora de facturació zero
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","El permís no es pot assignar abans de {0}, ja que el saldo de permís ja s&#39;ha transmès en el registre d’assignació de llicències futures {1}"
Last Order Date,Data de darrera comanda
Course: ,Curs:
Dispatch,Expedició
Installation Note Item,Nota sobre la instal·lació
Journal Entry Account,Compte d’entrada de diari
Variant,Variant
Forum Activity,Activitat del fòrum
Resolution Time Period,Període de temps de resolució
Supplier Detail,Detall del proveïdor
View Task,Veure la tasca
Purchase / Manufacture Details,Detalls de compra / fabricació
Book Asset Depreciation Entry Automatically,Entrada d’amortització d’actius de forma automàtica
Operation completed for how many finished goods?,Operació completada per a quants productes acabats?
Employee name and designation in print,Nom i designació dels empleats en paper
Is Day Book Data Processed,Es processen dades de llibres de dia
Courses,Cursos
Update stock must be enable for the purchase invoice {0},L’actualització de l’acció ha de ser habilitada per a la factura de compra {0}
Employee Boarding Activity,Activitat d’embarcament dels empleats
Warehouse {0} does not belong to company {1},El magatzem {0} no pertany a l&#39;empresa {1}
"If disable, 'In Words' field will not be visible in any transaction","Si es desactiva, el camp &quot;En paraules&quot; no serà visible en cap transacció"
Allocated,Assignat
Time to send,Temps per enviar
Bloated,Globus
Order Type,Tipus de comanda
Period Start Date,Data d&#39;inici del període
Generate Schedule,Genera la planificació
Opening Value,Valor d&#39;obertura
Additional Salary,Salari addicional
Repayment Method,Mètode d&#39;amortització
Cost of various activities,Cost de diverses activitats
Mins to First Response,Mines to First Response
Patient Age,Edat del pacient
Investigations,Investigacions
Office Equipments,Equips d’oficina
"LocalStorage is full , did not save","LocalStorage està ple, no ha desat"
Items for Raw Material Request,Articles per a sol·licitud de matèria primera
Select Item (optional),Seleccioneu l&#39;element (opcional)
Parent Item {0} must not be a Stock Item,L’element principal {0} no ha de ser un article amb valors
Against Stock Entry,Contra l&#39;entrada de valors
Fetch exploded BOM (including sub-assemblies),Fetch va explotar BOM (incloent subconjunts)
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-
Loan Application,Sol·licitud de préstec
For Job Card,Per a la targeta de treball
Process Master Data,Processar dades mèdiques
Is Account Payable,Es paga per compte
Total Order Value,Valor total de la comanda
Supplier {0} not found in {1},El proveïdor {0} no s’ha trobat a {1}
Setup SMS gateway settings,Configureu la configuració de la passarel·la SMS
Root cannot have a parent cost center,Root no pot tenir un centre de costos dels pares
Allow Appointments,Permet cites
Show Operations,Mostra operacions
Practitioner Schedule,Horari del metge
Calibration,Calibratge
Apply On,Sol·liciteu-ho
Close Balance Sheet and book Profit or Loss.,Tanqueu el balanç i reserveu beneficis o pèrdues.
Provide Email Address registered in company,Proporcioneu l&#39;adreça de correu electrònic registrada a l&#39;empresa
Alternative Item Name,Nom d’element alternatiu
Course,Curs
Patient Details,Detalls del pacient
Employee Separation,Separació d&#39;empleats
Debtors,Deutors
Mapped Items,Elements assignats
Department (optional),Departament (opcional)
Task Type,Tipus de tasca
Debit A/C Number,Número d’A / C de dèbit
Total Billed Amount,Import total facturat
Due / Reference Date cannot be after {0},La data de deguda / referència no pot ser després de {0}
Add unused leaves from previous allocations,Afegiu les fulles no utilitzades de les assignacions anteriors
New Company,Nova empresa
Commission Rate (%),Tarifa de la comissió (%)
Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,El magatzem només es pot canviar a través d’inerta de participació / nota de lliurament / rebut de compra
Close Issue After Days,Tanca l&#39;emissió després de dies
Payment Schedule,Pla de pagament
Spouse,Cònjuge
Reason For Putting On Hold,Motiu per posar en espera
Increment,Increment
Cuts,Talls
LMS Only,Només LMS
Show Contact Us Button,Mostra el botó Contacte amb nosaltres
Add Employees,Afegeix empleats
Holidays,Vacances
Chapter Head,Cap de capítol
Not permitted. Please disable the Test Template,No permès. Desactiveu la plantilla de prova
No Show,No hi ha espectacle
Selling Amount,Quantitat de venda
AWS Access Key ID,ID de clau d&#39;accés AWS
{0} {1} is not present in the parent company,{0} {1} no està present a l&#39;empresa matriu
To Date cannot be before From Date,La data no pot ser anterior a la data
Add Suppliers,Afegeix proveïdors
Summary for this month and pending activities,Resum d’aquest mes i activitats pendents
Mode of Transport,Mode de transport
Gross Pay - Total Deduction - Loan Repayment,Pagament brut: deducció total - Amortització de préstecs
Posting Date cannot be future date,La data de publicació no pot ser una data futura
Work Order Stock Report,Informe de l’oferta d’ordres de treball
Enable / disable currencies.,Activa / desactiva les monedes.
View in Cart,Veure al carretó
Fetch based on FIFO,Obtindrà basat en FIFO
Total Billable Amount,Import total facturable
Material Request of maximum {0} can be made for Item {1} against Sales Order {2},Es pot fer una sol·licitud de màxim {0} per a l’article {1} contra l’ordre de venda {2}
Production Item,Producció
Equity/Liability Account,Compte de patrimoni / responsabilitat
No values,No hi ha valors
Cancel the journal entry {0} first,Primer cancel·leu l’entrada de diari {0}
Remarks,Observacions
Row {0}: Advance against Supplier must be debit,La fila {0}: l’avanç contra el proveïdor ha de ser dèbit
Attended by Parents,Assistit pels pares
Update Stock,Actualització d&#39;estoc
Old Parent,Antic pare
Download Materials Required,Baixa els materials necessaris
Another Period Closing Entry {0} has been made after {1},S&#39;ha realitzat una altra entrada de tancament del període {0} després de {1}
Item Template,Plantilla d&#39;element
Discount on Price List Rate (%),Descompte sobre la tarifa de la llista de preus (%)
Abbreviation is mandatory,L&#39;abreviatura és obligatòria
Domestic,Nacional
SO Qty,SO Qty
Pick/Drop by Guardian,Selecciona / deixa anar per Guardian
Balance In Base Currency,Saldo en moneda base
All Products or Services.,Tots els productes o serveis.
Brake Pad,Pastilla de fre
Max Amt,Max Amt
Show Stock Availability,Mostra disponibilitat d’accions
Hotel Room Pricing Item,Preu de l&#39;habitació de l&#39;hotel
Pending Review,Revisió pendent
Date of Joining,Data d’adhesió
Patient Relation,Relació de pacients
For Selling,Per a la venda
Cash Flow from Financing,Flux de caixa procedent del finançament
Manufacturing,Fabricació
By {0},Per {0}
Restaurant Manager,Gestor de restaurants
Out Value,Valor fora
Availability and Skills,Disponibilitat i habilitats
Advance Account,Compte anticipat
Invoices with no Place Of Supply,Factures sense lloc de subministrament
Ref,Ref
Loan End Date,Data de finalització del préstec
Quantity in row {0} ({1}) must be same as manufactured quantity {2},La quantitat de la fila {0} ({1}) ha de ser la mateixa que la quantitat fabricada {2}
Commercial,Comercial
Bank Account No.,Número de compte bancari
Advance amount cannot be greater than {0} {1},L’import anticipat no pot ser superior a {0} {1}
Width of amount in word,Amplada de la quantitat en paraula
MAT-DN-.YYYY.-,MAT-DN-.YYYY.-
Assign Salary Structure,Assigneu una estructura salarial
Stock Entry Type,Tipus d’entrada de valors
Responsible,Responsable
Room Number,Número d&#39;habitació
Select Fiscal Year...,Seleccioneu l’any fiscal ...
Trial Balance,Balanç de prova
Employee Transfer cannot be submitted before Transfer Date ,La transferència d&#39;empleats no es pot enviar abans de la data de transferència
Grading Scale Name,Nom de l&#39;escala de qualificació
Area UOM,Àrea UOM
Total Costing Amount,Quantitat total de costos
Material Issue,Problema de material
Item Image (if not slideshow),Imatge de l’element (si no és una presentació de diapositives)
Is Company,És empresa
Update latest price in all BOMs,Actualitzeu el preu més recent a totes les llistes de materials
Messages greater than 160 characters will be split into multiple messages,Els missatges de més de 160 caràcters es dividiran en diversos missatges
Salary Slip submitted for period from {0} to {1},Slip de salari enviat per un període de {0} a {1}
Project-wise data is not available for Quotation,Les dades del projecte no estan disponibles per al pressupost
Total Outstanding Amt,Total amunt pendent
Item Tax Rate,Taxa d&#39;impostos sobre articles
Planned Quantity,Quantitat planificada
Retention Stock Entry,Retenció d’inventari d’accions
In Words (Export) will be visible once you save the Delivery Note.,"En Paraules (Exportar), s’observarà una vegada que deseu la Nota de lliurament."
Each Transaction,Cada transacció
Institute's Bus,Bus de l&#39;Institut
Please select the Company first,Seleccioneu primer l’empresa
Attendance for employee {0} is already marked for this day,L&#39;assistència a l&#39;empleat {0} ja està marcada per aquest dia
Opening,Obertura
Detected Disease,Malaltia detectada
{0} ({1}) cannot be greater than planned quanitity ({2}) in Production Order {3},{0} ({1}) no pot ser superior a quanitity prevista ({2}) a la comanda de producció {3}
Stock Queue (FIFO),Cua de valors (FIFO)
Please enter 'Is Subcontracted' as Yes or No,Introduïu &quot;Està subcontractat&quot; com a Yes o No
Default Holiday List,Llista de vacances per defecte
Current Value,Valor actual
"Seasonality for setting budgets, targets etc.","Estacionalitat per configurar pressupostos, objectius, etc."
Program Code,Codi del programa
Warning: Sales Order {0} already exists against Customer's Purchase Order {1},Advertència: l&#39;ordre de venda {0} ja existeix contra la comanda de compra del client {1}
Monthly Sales Target (,Objectiu de vendes mensual
Guardian Interests,Interessos del tutor
Batch ID is mandatory,L’identificació per lots és obligatòria
Allow over delivery or receipt upto this percent,Permetre el lliurament o el rebut fins a aquest percentatge
Paid Amount (Company Currency),Import pagat (moneda de la companyia)
Shipping Rule Condition,Condició de la norma d’enviament
Required for Employee Creation,Requerit per a la creació d’empleats
Loyalty Point Entry Redemption,Amortització de l&#39;entrada de punt de fidelitat
Cover Letter,Carta de presentació
Chart Preview,Vista prèvia de gràfics
Item Quality Inspection Parameter,Paràmetre d’inspecció de qualitat de l’article
Get Started Sections,Comenceu les seccions
% of materials delivered against this Delivery Note,% de materials lliurats amb aquesta nota de lliurament
Warranty / AMC Status,Garantia / estat AMC
Gram,Gram
Allocated amount cannot be negative,La quantitat assignada no pot ser negativa
Item Groups,Grups d’elements
Customer LPO No.,No LPO de client
Company Name,Nom de la companyia
To Address 1,A l&#39;adreça 1
Purchase Receipt Trends,Tendències de compra de rebuts
Leave Block List Dates,Deixa les dates de la llista de blocs
Student {0} exist against student applicant {1},Hi ha un estudiant {0} contra un estudiant sol·licitant {1}
LMS Settings,Configuració LMS
Titles for print templates e.g. Proforma Invoice.,"Títols per a plantilles d&#39;impressió, per exemple, Factura proforma."
Delivery Time,Hora d&#39;entrega
Repayment Period in Months,Període de devolució en mesos
Transporter ID,ID del transportador
Price List master.,Màster de llista de preus.
The first Expense Approver in the list will be set as the default Expense Approver.,El primer aprovador de despeses de la llista es definirà com a valorador predeterminat de despeses.
Advertising,Publicitat
Customer or Item,Client o article
Invoice Ref,Factura Ref
C-form is not applicable for Invoice: {0},El formulari C no és aplicable a la factura: {0}
Invoice Created,Factura creada
Review Details,Reviseu els detalls
Row {0}: Hours value must be greater than zero.,Fila {0}: el valor de les hores ha de ser superior a zero.
Account Number,Número de compte
Assessment Result Detail,Detall del resultat de l’avaluació
"To allow over-billing or over-ordering, update ""Allowance"" in Stock Settings or the Item.","Per permetre la facturació excessiva o la sobreordenació, actualitzeu &quot;Allowance&quot; a la configuració de les accions o de l’element."
Auto close Issue after 7 days,Tanca automàticament l&#39;emissió després de 7 dies
Is Frozen,Està congelat
Total weightage assigned should be 100%. It is {0},El pes total assignat ha de ser del 100%. És {0}
"Applicable if the company is SpA, SApA or SRL","Aplicable si l&#39;empresa és SpA, SApA o SRL"
Overlapping conditions found between:,Condicions superposades que es troben entre:
Paid and Not Delivered,Pagat i no lliurat
Item Code is mandatory because Item is not automatically numbered,El codi d&#39;ítem és obligatori perquè l&#39;element no està numerat automàticament
HSN Code,Codi HSN
September,Setembre
Administrative Expenses,Despeses administratives
C-Form No,C-Formulari núm
End date of current invoice's period,Data de finalització del període de facturació actual
Crop Cycle,Cicle de cultiu
Creation Time,Temps de creació
Please enter Approving Role or Approving User,Introduïu el paper d&#39;aprovació o l&#39;usuari aprovador
Discharged,Descarregat
Raw Material Cost(Company Currency),Cost de la matèria primera (moneda de la companyia)
Note: Due / Reference Date exceeds allowed customer credit days by {0} day(s),Nota: la data de devolució / data de referència supera els dies de crèdit dels clients permesos per {0} dia (s)
New Sales Orders,Comandes de vendes noves
based_on,basat en
Owned,Propietat
Item Default,Element predeterminat
Party can only be one of ,El partit només pot ser un dels
Entertainment Expenses,Despeses d’entreteniment
Inspection Required before Delivery,Inspecció necessària abans del lliurament
Opening Entry Journal,Diari d&#39;entrada d&#39;obertura
Add or Deduct,Afegir o deduir
Collected Amount,Import recollit
Commission on Sales,Comissió de Vendes
Start entering data from here : ,Comenceu a introduir dades d’aquí:
Rest Of The World,La resta del món
Customer &gt; Customer Group &gt; Territory,Client&gt; Grup de clients&gt; Territori
Publications,Publicacions
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,El compte predeterminat del Banc / Efectiu s&#39;actualitzarà automàticament a l’Introducció del salari quan s’hagi seleccionat aquest mode.
Total Budget,Pressupost total
Upload HTML,Penja HTML
Payment Document,Document de pagament
Opportunity Item,Article d&#39;oportunitat
Travel From,Viatge des de
CWIP Account,Compte CWIP
Sender Name,Nom del remitent
Supplier Group,Grup de proveïdors
Date of Issue,Data d&#39;emissió
Requested Items To Be Transferred,Els elements sol·licitats a transferir
Contract End Date,Data de finalització del contracte
Returned Qty,Quantitat retornada
SAL-ORD-.YYYY.-,SAL-ORD-.AAAA.-
Required only for sample item.,Necessari només per a un element de mostra.
Vacant,Vacant
Sales Stage,Etapa de vendes
In Words will be visible once you save the Sales Order.,En paraules serà visible una vegada que hàgiu desat l’ordre de venda.
Re-order Level,Reordena el nivell
Preference,Preferència
Department Analytics,Departament d&#39;Analítica
Scientific Name,Nom científic
Discount amount cannot be greater than 100%,L&#39;import del descompte no pot ser superior al 100%
Relation,Relació
Name or Email is mandatory,Nom o correu electrònic és obligatori
Billing Zipcode,Codi Postal de Facturació
Marketplace,Mercat
{0} {1} status is {2},{0} {1} estat és {2}
Quiz Activity,Activitat del qüestionari
{0} is not in a valid Payroll Period,{0} no es troba en un període de nòmina vàlid
Billed,Facturat
Last Sales Invoice,Factura de les últimes vendes
Payment Terms,Condicions de pagament
"Reserved Qty: Quantity ordered for sale, but not delivered.","Quantitat reservada: quantitat ordenada per a la venda, però no enviada."
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},{0} és obligatori. Potser el registre de canvi de moneda no es crea per a {1} a {2}
Actual End Date (via Time Sheet),Data de finalització real (a través del full de temps)
Score must be less than or equal to 5,La puntuació ha de ser inferior o igual a 5
Please select BOM in BOM field for Item {0},Seleccioneu la llista de noms de la llista de materials per a l’element {0}
Serial No {0} is under warranty upto {1},El número de sèrie {0} està en garantia fins a {1}
Split,Divideix
Bank Account No,Compte bancari núm
Salary Slip Based on Timesheet,Retrocés salarial basat en el full de temps
Mode of Transportation,Mode de transport
Control Action,Acció de control
Total Exemption Amount,Import total d&#39;exempció
Medical Code Standard,Norma del codi mèdic
Row #{0}: Reqd by Date cannot be before Transaction Date,La fila # {0}: la sol·licitud per data no pot ser abans de la data de la transacció
Current Academic Term,Termini acadèmic actual
Short biography for website and other publications.,Biografia curta per a pàgines web i altres publicacions.
Received Qty,Quantitat rebuda
Rate (Company Currency),Tarifa (moneda de la companyia)
Request for,Sol·licitud
Installing presets,Instal·lació de presets
Please enter Repayment Periods,Introduïu els períodes d’amortització
Advanced Settings,Configuració avançada
Paid Amount,Import pagat
Setup Progress Action,Configuració de l’acció de progrés
Billing Interval Count,Compte d&#39;intervals de facturació
Financial Statements,Estats financers
Message will sent to users to get their status on the project,S&#39;enviarà un missatge als usuaris per obtenir el seu estat en el projecte
Employee Tax Exemption Proof Submission Detail,Detall d’enviament d’exempció d’impostos dels empleats
Delivered,Lliurats
{0}% Delivered,{0}% Lliurats
Request for Information,Demanar informació
End Year,Final de l&#39;any
Diesel,Diesel
Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,La quantitat sancionada no pot ser superior a la quantitat de reclamació a la fila {0}.
From {0} | {1} {2},Des de {0} | {1} {2}
Result already Submitted,Resultat ja enviat
Rule Applied,Regla aplicada
Actual Qty is mandatory,La quantitat real és obligatòria
Expected Delivery Date,Data de lliurament prevista
Resolution Date,Data de resolució
Leave of type {0} cannot be longer than {1},El permís de tipus {0} no pot ser superior a {1}
Enable Shopping Cart,Activa el carret de la compra
Apply Rule On Other,Aplica la regla a un altre
Last Carbon Check,Última comprovació de carboni
Make,Fer
Sales Invoice {0} created as paid,Factura de vendes {0} creada com a pagament
To create a Payment Request reference document is required,Per crear una sol·licitud de pagament es requereix un document de referència
Income Tax,Impost sobre la Renda
Computer,Ordinador
% Ordered,% Ordenat
Following items {0} are not marked as {1} item. You can enable them as {1} item from its Item master,Els elements següents {0} no estan marcats com a {1} element. Podeu habilitar-los com a {1} ítem del seu propi document
Passing Score,Puntuació de pas
Settings for website homepage,Configuració de la pàgina principal del lloc web
