Pension Funds,Pensiju fondi
Patient ID,Pacienta ID
Permanent Address Is,Pastāvīgā adrese ir
Guest Name,Viesa vārds
Accumulated Values in Group Company,Uzkrātās vērtības grupas uzņēmumā
Resume,Turpināt
BOM Stock Calculated,BOM Stock aprēķināts
New Employee ID,Jauns darbinieku ID
Tax template for selling transactions.,Nodokļu veidne darījumu pārdošanai.
To Currency,Valūtai
Instructor Name,Instruktora nosaukums
Research,Pētniecība
Employee Name,darbinieka vārds
Attendance can not be marked for future dates,Apmeklējumu nevar atzīmēt nākotnes datumiem
Min Grade,Min. Pakāpe
Manufactured Qty,Ražots daudzums
Alcohol Current Use,Alkohola pašreizējais lietojums
Total Leave Days,Kopējais atvaļinājuma dienu skaits
Repair Status,Remonta statuss
Territory Manager,Teritorijas pārvaldnieks
Sample ID,Parauga ID
Cart is Empty,Grozs ir tukšs
Asset {0} must be submitted,Jāiesniedz {0} aktīvs
Absent Student Report,Studentu ziņojuma trūkums
Included in Gross Profit,Iekļauts bruto peļņā
Price List not found or disabled,Cenrādis nav atrasts vai atspējots
Funded Amount,Finansētā summa
{0} {1} has not been submitted so the action cannot be completed,"{0} {1} nav iesniegts, tāpēc darbību nevar pabeigt"
Trial Period End Date,Izmēģinājuma perioda beigu datums
The new BOM after replacement,Jaunais BOM pēc nomaiņas
Item 5,5. punkts
Passport Number,Pases numurs
Temporary Opening,Pagaidu atvēršana
Pricing Rules are further filtered based on quantity.,Cenu noteikšanas noteikumi tiek filtrēti pēc daudzuma.
Appraisal {0} created for Employee {1} in the given date range,"Novērtējums {0}, kas izveidots darbiniekam {1} attiecīgajā datumu diapazonā"
Variance,Variants
Partly Delivered,Daļēji piegādāts
Maintain Stock,Saglabāt krājumus
Started Time,Sākta laiks
Shifts and Fleet Management,Pārmaiņas un flotes pārvaldība
Average time taken by the supplier to deliver,"Vidējais piegādātāja laiks, lai piegādātu"
Per Transferred,Per Transfered
Indicates that the package is a part of this delivery (Only Draft),"Norāda, ka pakete ir šīs piegādes daļa (tikai melnraksts)"
Get Template,Saņemt veidni
Next Business Day,Nākamā darba diena
Receivable / Payable Account,Debitoru / kreditoru konts
You cannot credit and debit same account at the same time,Jūs nevarat vienlaikus kreditēt un debetēt vienu un to pašu kontu
Weather,Laikapstākļi
Welcome to ERPNext,Laipni lūdzam ERPNext
Maximum Invoice Amount,Maksimālā rēķina summa
Expense Claim for Vehicle Log {0},Izdevumu pieprasījums transportlīdzekļa žurnālam {0}
Patient Encounters in valid days,Pacientu tikšanās derīgās dienās
Student Fee Collection,Studentu maksas iekasēšana
Sales Order Required,Nepieciešams pārdošanas pasūtījums
Serial No / Batch,Sērijas Nr
Statement of Account,Konta izraksts
Offer Term,Piedāvājuma termiņš
Account {0} does not belong to company: {1},Konts {0} nepieder uzņēmumam: {1}
Tally Migration,Tally Migration
"Purchase, Replenishment Details","Iegāde, papildināšana"
"Once set, this invoice will be on hold till the set date",Pēc iestatīšanas šis rēķins tiks aizturēts līdz noteiktajam datumam
Stock cannot exist for Item {0} since has variants,"Krājumam {0} nevar būt krājumu, jo ir varianti"
Grouped,Grupēti
January,Janvāris
Course Assessment Criteria,Kursa vērtēšanas kritēriji
INR,INR
Completed Qty,Pabeigts daudzums
Start Day,Sākuma diena
GoCardless payment gateway settings,Bezapmaksas maksājumu vārtejas iestatījumi
Depreciation Expense Account,Nolietojuma izdevumu konts
Production Plan Sales Order,Ražošanas plāna pārdošanas pasūtījums
Finished product quantity <b>{0}</b> and For Quantity <b>{1}</b> cannot be different,Gatavā produkta daudzums <b>{0}</b> un For Quantity <b>{1}</b> nevar būt atšķirīgs
View Lab Tests,Skatīt laboratorijas testus
Instructor,Instruktors
Show Public Attachments,Rādīt publiskos pielikumus
Fields will be copied over only at time of creation.,Lauki tiks kopēti tikai radīšanas laikā.
Vehicle No,Transportlīdzekļa Nr
CRM-LEAD-.YYYY.-,CRM-LEAD-.YYYY.-
Payment Entry is already created,Maksājuma ieraksts jau ir izveidots
Multiple Variants,Vairāki varianti
Please select a csv file,"Lūdzu, atlasiet csv failu"
Serial No Details,Sērijas Nr
Source and Target Location cannot be same,Avota un mērķa atrašanās vieta nevar būt vienāda
Show Employee,Rādīt darbinieku
Writeoff,Norakstīt
ISS-.YYYY.-,ISS-.YYYY.-
Payment Request,Maksājuma pieprasījums
Selected Price List should have buying and selling fields checked.,Izvēlētajam cenrādim ir jāpārbauda pirkšanas un pārdošanas lauki.
Cannot covert to Group because Account Type is selected.,"Nevar slēpties grupai, jo ir izvēlēts Konta veids."
Exchange Gain / Loss Account,Biržas peļņas / zaudējumu konts
Project Template,Projekta veidne
Reorder Qty,Pārkārtot daudzumu
Too many columns. Export the report and print it using a spreadsheet application.,"Pārāk daudz kolonnu. Eksportējiet pārskatu un izdrukājiet to, izmantojot izklājlapu programmu."
Salary Slips Submitted,Iesniegtie algu saraksti
For Supplier,Piegādātājs
Accounting entries have already been made in currency {0} for company {1}. Please select a receivable or payable account with currency {0}.,"Uzņēmumam {1} jau ir veikti grāmatvedības ieraksti valūtā {0}. Lūdzu, atlasiet debitoru vai maksājamo kontu ar valūtu {0}."
New Asset Value,Jauna aktīvu vērtība
Volunteer Type,Brīvprātīgo veids
Printed On,Iespiests
Grant Leaves,Grantu lapas
Vehicle Value,Transportlīdzekļa vērtība
Project Billing Summary,Projekta norēķinu kopsavilkums
Receipt,Saņemšana
Please click on 'Generate Schedule' to get schedule,"Lai iegūtu grafiku, lūdzu, noklikšķiniet uz “Izveidot grafiku”"
TDS Rate %,TDS likme%
Contact Number,Kontaktpersonas numurs
POS Closing Voucher,POS slēgšanas kupons
Quality Inspection Template Name,Kvalitātes pārbaudes veidnes nosaukums
Added {0} users,Pievienoti {0} lietotāji
Convert to Non-Group,Konvertējiet uz Non-Group
Set as Lost,Iestatiet kā zaudēto
Payroll Entry,Algas ieraksti
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2}.,{0} ir obligāta. Varbūt {1} līdz {2} nav izveidots valūtas maiņas ieraksts.
Transporter Name,Pārvadātāja nosaukums
"Planned Qty: Quantity, for which, Work Order has been raised, but is pending to be manufactured.","Plānotais daudzums: daudzums, par kuru ir paaugstināts darba uzdevums, bet tas vēl nav sagatavots."
Has Variants,Ir varianti
Securities & Commodity Exchanges,Vērtspapīru un preču biržas
Deferred Expense,Atliktie izdevumi
Salary Slip ID,Algas Slip ID
Membership ID,Dalības ID
Sales Register,Tirdzniecības reģistrs
Please specify a valid 'From Case No.',"Lūdzu, norādiet derīgu no lietas Nr."
Primary Address and Contact Detail,Primārā adrese un kontaktinformācija
This is based on transactions against this Customer. See timeline below for details,Tas ir balstīts uz darījumiem pret šo Klientu. Sīkāku informāciju skatīt zemāk
Hotels,Viesnīcas
Valid for Countries,Derīgs valstīm
Territory Target Variance Based On Item Group,"Teritorijas mērķa variants, pamatojoties uz vienumu grupu"
Rename Tool,Pārdēvēt rīku
Total Payable Amount,Kopējā maksājamā summa
Add All Suppliers,Pievienot visus piegādātājus
Row {0}: Currency of the BOM #{1} should be equal to the selected currency {2},{0} rinda: BOM # {1} valūtai jābūt vienādai ar izvēlēto valūtu {2}
Product,Produkts
Value {0} for Attribute {1} does not exist in the list of valid Item Attribute Values for Item {2},{0} atribūts {1} nav {{}} derīgo vienumu atribūtu vērtību sarakstā {2}
{0} units of [{1}](#Form/Item/{1}) found in [{2}](#Form/Warehouse/{2}),{0} vienības [{1}] (# Forma / Vienība / {1}) atrodamas [{2}] (# Forma / Noliktava / {2})
Weight (In Kilogram),Svars (kilogramos)
Leave Approver,Atstājiet apstiprinājumu
Transactions,Darījumi
Resolution Details,Izšķirtspējas dati
Delivery Note Item,Piegādes piezīme
Connected to QuickBooks,Savienots ar QuickBooks
Shelf Life In Days,Uzglabāšanas laiks dienās
Key Reports,Galvenie ziņojumi
Possible Supplier,Iespējamais piegādātājs
Issued Items Against Work Order,Izdoti priekšmeti pret darba kārtību
Creating {0} Invoice,Rēķina izveide {0}
Joining Date,Pievienošanās datums
Requesting Site,Pieprasītā vietne
Against Expense Account,Pret izdevumu rēķinu
Cannot create a Delivery Trip from Draft documents.,Nevar izveidot piegādes braucienu no dokumentu projektiem.
Lead to Quotation,Tas noved pie kotācijas
Check this if the Student is residing at the Institute's Hostel.,"Pārbaudiet to, ja students dzīvo Institūta kopmītnē."
Student {0} - {1} appears Multiple times in row {2} & {3},Students {0} - {1} parādās Vairākas reizes rindā {2} &amp; {3}
Creating Payment Entries......,Maksājumu ierakstu izveide ......
Total Planned Qty,Kopējais plānotais daudzums
Cost,Izmaksas
Healthcare Service Unit Type,Veselības aprūpes pakalpojumu vienības veids
Please enter atleast 1 invoice in the table,"Lūdzu, ievadiet tabulā vismaz vienu rēķinu"
Sales Order {0} is not submitted,Pārdošanas pasūtījums {0} netiek iesniegts
Attendance has been marked successfully.,Dalība ir atzīmēta veiksmīgi.
Pre Sales,Pirms pārdošanas
Project master.,Projekta vadītājs.
Daily Work Summary,Dienas darba kopsavilkums
Partially Depreciated,Daļēji nolietojums
'Days Since Last Order' must be greater than or equal to zero,“Dienas kopš pēdējās kārtas” ir jābūt lielākām vai vienādām ar nulli
For Default Supplier (optional),Par noklusējuma piegādātāju (pēc izvēles)
Leave Encashed?,Atstājiet ieslēgtu?
Discuss ID,Apspriediet ID
Please set GST Accounts in GST Settings,GST iestatījumos iestatiet GST kontus
Billing Currency,Norēķinu valūta
Student Activity,Studentu aktivitāte
Either target qty or target amount is mandatory,Obligāts ir mērķa daudzums vai mērķa summa
{0} is now the default Fiscal Year. Please refresh your browser for the change to take effect.,"{0} tagad ir noklusējuma fiskālais gads. Lai izmaiņas stātos spēkā, lūdzu, atsvaidziniet pārlūkprogrammu."
From Address 2,No adreses 2
"Of the supplies shown in 3.1 (a) above, details of inter-State supplies made to unregisterd
	persons, composition taxable persons and UIN holders","No 3.1. Punkta a) apakšpunktā norādītajām piegādēm sīka informācija par starpvalstu piegādēm nereģistrētajām personām, nodokļu maksātāju sastāvs un UIN turētāji"
Default Inventory Account,Noklusējuma inventāra konts
The Year End Date cannot be earlier than the Year Start Date. Please correct the dates and try again.,"Gada beigu datums nevar būt ātrāks par gada sākuma datumu. Lūdzu, izlabojiet datumus un mēģiniet vēlreiz."
Target  Amount,Mērķa summa
Hotel Rooms of type {0} are unavailable on {1},Viesnīcas {0} tipa numuri nav pieejami {1}
New Customer Revenue,Jauns klientu ienākums
Applicable Charges,Piemērojamās maksas
Point of Sale,Tirdzniecības vieta
Approving User  (above authorized value),Lietotāja apstiprināšana (virs atļautās vērtības)
Amount {0} {1} transferred from {2} to {3},Summa {0} {1} tika pārvietota no {2} uz {3}
Customer {0} does not belong to project {1},Klients {0} nepieder pie projekta {1}
From Party Name,No partijas nosaukuma
Maintenance Status,Uzturēšanas statuss
Pending Qty,Gaida daudzums
 or ,vai
Not Delivered,Nav piegādāts
Leave Type {0} cannot be allocated since it is leave without pay,"Atvaļinājuma veidu {0} nevar piešķirt, jo tas ir atvaļinājums bez maksas"
Debit Amount,Debeta summa
Already record exists for the item {0},Jau ierakstīts vienums {0}
Sub Assemblies,Apakšsavienojumi
"If multiple Pricing Rules continue to prevail, users are asked to set Priority manually to resolve conflict.","Ja joprojām dominē vairāki cenu noteikšanas noteikumi, lietotāji tiek aicināti manuāli iestatīt prioritāti, lai atrisinātu konfliktu."
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',"Nevar atskaitīt, kad kategorija ir “Vērtēšana” vai “Vērtēšana un kopsumma”"
BOM and Manufacturing Quantity are required,BOM un ražošanas apjoms ir nepieciešams
Item {0} has reached its end of life on {1},{0} vienums ir sasniedzis dzīves beigas {1}
Reading 6,Lasīšana 6
Material Consumption is not set in Manufacturing Settings.,Materiālu patēriņš nav iestatīts ražošanas iestatījumos.
Assessment Group Name,Novērtēšanas grupas nosaukums
Manufacturer Part Number,Ražotāja daļas numurs
Payroll Payable,Payroll Payable
Row #{0}: {1} can not be negative for item {2},# {0} rinda: {1} nevar būt negatīva vienumam {2}
Balance Qty,Bilances apjoms
1 Loyalty Points = How much base currency?,1 Lojalitātes punkti = cik daudz bāzes valūtas?
Note: There is not enough leave balance for Leave Type {0},Piezīme. Atvaļinājuma veids {0}
Inpatient Record,Stacionārā reģistrācija
Customer's Item Code,Klienta preces kods
Change Item Code,Mainīt vienuma kodu
Student Group Instructor,Studentu grupas instruktors
Transaction Type,Darījuma veids
House rented dates should be atleast 15 days apart,Nomas īres datumiem jābūt vismaz 15 dienām
View Form,Skatīt veidlapu
Valuation Rate is mandatory if Opening Stock entered,"Vērtēšanas likme ir obligāta, ja tiek atvērts atvēršanas krājums"
Exit Interview Details,Iziet no intervijas detaļām
Accounting Details,Grāmatvedības dati
Maintenance Schedule {0} must be cancelled before cancelling this Sales Order,Uzturēšanas grafiks {0} ir jāatceļ pirms šī pārdošanas pasūtījuma atcelšanas
HR-DRI-.YYYY.-,HR-DRI-.YYYY.-
Mention if non-standard receivable account,"Norādiet, ja nav standarta standarta konta"
Prescription,Recepte
Set as Closed,Iestatīt kā slēgtu
Opening Accumulated Depreciation,Uzkrāto nolietojuma atvēršana
Sand Composition (%),Smilšu sastāvs (%)
MFG-PP-.YYYY.-,MFG-PP-.YYY.-
Import Day Book Data,Importēt dienas grāmatu datus
Asset Owner Company,Asset Owner Company
Cost center is required to book an expense claim,Izdevumu izmaksu rezervēšanai ir nepieciešams izmaksu centrs
{0} valid serial nos for Item {1},{0} derīgs sērijas Nr. Vienumam {1}
Cannot promote Employee with status Left,Nevar veicināt darbinieku ar statusu pa kreisi
Expiry (In Days),Derīguma termiņš (dienās)
Notify Other,Paziņot par citu
Please select Company,"Lūdzu, izvēlieties uzņēmumu"
Item-wise Purchase Register,Iepirkuma reģistrs
Reason For Leaving,Atstāšanas iemesls
Earning & Deduction,Nopelnīt un atskaitīt
Employee Referral,Darbinieku nosūtīšana
Qty to Order,Daudzums pasūtījumā
Request for purchase.,Pirkuma pieprasījums.
Moving Average Rate,Kustīgā vidējā likme
Tax template for buying transactions.,Nodokļu veidne darījumu pirkšanai.
Send SMS,Sūtīt SMS
Unverified Webhook Data,Nepārbaudītie Webhook dati
Human Resource,Cilvēkresursi
{0} {1} has been modified. Please refresh.,"{0} {1} ir mainīts. Lūdzu, atsvaidziniet."
Asset Depreciation Ledger,Aktīvu amortizācija
Tree Details,Informācija par koku
Create missing customer or supplier.,Izveidot pazudušo klientu vai piegādātāju.
Blood Pressure (diastolic),Asinsspiediens (diastoliskais)
As per rules 42 & 43 of CGST Rules,Kā noteikts CGST noteikumu 42. un 43. noteikumā
Show in Website (Variant),Rādīt tīmekļa vietnē (variants)
Please set the Email ID for the Student to send the Payment Request,"Lūdzu, iestatiet studenta e-pasta ID, lai nosūtītu Maksājuma pieprasījumu"
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.","Izveidojiet iepakojuma lapiņas piegādājamiem iepakojumiem. Izmanto, lai paziņotu iepakojuma numuru, iepakojuma saturu un svaru."
No of Requested SMS,Pieprasīto īsziņu skaits
Banking and Payments,Bankas un maksājumi
Instructor Log,Instruktora žurnāls
"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",Maksimālais darbinieka {0} pabalsts pārsniedz {1} par pabalsta pieteikuma proporcionālās daļas {2} summu un iepriekšējo pieprasīto summu
Please enter valid email address,"Lūdzu, ievadiet derīgu e-pasta adresi"
Retail Operations,Mazumtirdzniecības operācijas
Phone No,Tālruņa Nr
Reqd By Date,Reqd By Date
Uncheck all,Noņemiet atzīmi no visiem
To Place,Vieta
Default Work In Progress Warehouse,Noklusējuma darbs progresa noliktavā
Include Payment,Iekļaut maksājumu
Byproducts,Blakusprodukti
Student,Students
Manage Customer Group Tree.,Pārvaldīt klientu grupas koku.
Payment From / To,Maksājums no / uz
Serial number {0} entered more than once,Sērijas numurs {0} ievadīts vairāk nekā vienu reizi
Website Item Group,Vietnes vienumu grupa
CA,CA
Under Warranty,Saskaņā ar garantiju
Invoice Posting Date,Rēķina nosūtīšanas datums
Delivery Note,Piegādes piezīme
Attendance Freeze Date,Apmeklējuma iesaldēšanas datums
Item and Warranty Details,Preču un garantijas informācija
Time Logs,Laika žurnāli
Extra Bed Capacity,Papildu gultas ietilpība
Net Pay (in words) will be visible once you save the Salary Slip.,"Nopelnītais maksājums (vārdos) būs redzams, kad būsit saglabājis algu sarakstu."
Could not solve weighted score function. Make sure the formula is valid.,"Nevarēja atrisināt svērto punktu skaitu. Pārliecinieties, vai formula ir derīga."
Asset Owner,Aktīvu īpašnieks
Warehouse is mandatory for stock Item {0} in row {1},Noliktava ir obligāta {0} rindas {1} rindā
Total Additional Costs,Kopējās papildu izmaksas
Last Sync On,Pēdējā sinhronizācija ieslēgta
Please set at least one row in the Taxes and Charges Table,Tabulā Nodokļi un maksas iestatiet vismaz vienu rindu
Maintenance Team Name,Apkopes komandas nosaukums
Chart of Cost Centers,Izmaksu centru diagramma
Go to Users,Dodieties uz Lietotājiem
Item Code,Lietas kods
'Opening',&quot;Atvēršana&quot;
Set Exchange Gain / Loss,Iestatiet Exchange Gain / Loss
Make Payment via Journal Entry,"Veikt maksājumu, izmantojot žurnāla ierakstu"
User has not applied rule on the invoice {0},Lietotājs nav piemērojis noteikumu rēķinā {0}
Payment Terms based on conditions,"Maksājumu noteikumi, pamatojoties uz nosacījumiem"
% Received,% Saņemts
Work Order Qty,Darba pasūtījuma daudzums
WIP Warehouse,WIP noliktava
ACC-PRQ-.YYYY.-,ACC-PRQ -YYYY.-
User ID not set for Employee {0},Lietotāja ID nav iestatīts darbiniekam {0}
"Available qty is {0}, you need {1}","Pieejams daudzums ir {0}, jums ir nepieciešams {1}"
User {0} created,Lietotājs {0} izveidots
Item Naming By,Vienuma nosaukums ar
Ordered,Pasūtīts
This is a root customer group and cannot be edited.,Tā ir sakņu klientu grupa un to nevar rediģēt.
Material Request {0} is cancelled or stopped,Materiāla pieprasījums {0} tiek atcelts vai apturēts
Supplied Qty,Piegādāts daudzums
Cash Flow Mapper,Naudas plūsmas karte
Sand,Smiltis
Employee cannot report to himself.,Darbinieks nevar ziņot sev.
Order rescheduled for sync,Pasūtījums tika pārplānots sinhronizācijai
Default Unit of Measure for Variant '{0}' must be same as in Template '{1}',“{0}” varianta “Noklusējuma mērvienībai” jābūt vienādai ar veidni “{1}”
Purchasing,Pirkšana
Cellphone Number,Mobilā tālruņa numurs
Gross Pay,Bruto samaksa
Hotel Room Pricing Package,Viesnīcu cenu noteikšanas pakete
Is Cumulative,Ir kumulatīvs
Your cart is Empty,Jūsu grozs ir tukšs
Daily Timesheet Summary,Dienas laika uzskaites kopsavilkums
New Quality Procedure,Jauna kvalitātes procedūra
Sub-contracting,Apakšuzņēmēji
Total Students,Kopā studenti
Local,Vietējais
Leave Reason,Atstājiet iemeslu
Condition and Formula,Stāvoklis un formula
"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","Alga, kas jau ir apstrādāta laika posmā no {0} līdz {1}, atstāšanas pieteikumu periods nevar būt starp šo datumu diapazonu."
Basic Rate (Company Currency),Pamatlikme (uzņēmuma valūta)
BOM Scrap Item,BOM lūžņu postenis
Serial #,Sērijas #
Default Billing Rate,Noklusējuma norēķinu likme
Coated,Pārklāts
More Info,Vairāk informācijas
Bill of Materials,Materiālu rēķins
Inter Company Invoice Reference,Uzņēmuma rēķina atsauce
Cycle Type,Cikla veids
Exit Interview Summary,Iziet interviju kopsavilkumu
Item Variant Details,Izstrādājuma variantu dati
Partially Fulfilled,Daļēji izpildīts
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
To {0},Līdz {0}
GST Accounts,GST konti
Total Invoiced Amount,Kopējā rēķinā norādītā summa
Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,Atspējo laika žurnālu izveidi pret darba rīkojumiem. Darbības nedrīkst izsekot pret darba kārtību
Group node warehouse is not allowed to select for transactions,Grupas mezglu noliktavā nav atļauts izvēlēties darījumiem
Subscriber Name,Abonenta vārds
Customer Mobile No,Klienta mobilā tālruņa Nr
Receiving,Saņemšana
Is Group,Ir grupa
Contacts and Address,Kontakti un adrese
Warehouse Name,Noliktavas nosaukums
Attendance not submitted for {0} as it is a Holiday.,"Dalība, kas nav iesniegta {0}, jo tā ir brīvdiena."
Rounding,Noapaļošana
Ineligible ITC,Nepiemērota ITC
{0} created,{0} izveidots
Select account head of the bank where cheque was deposited.,"Atlasiet bankas kontu, kurā tika deponēts čeks."
Support and Resolution,Atbalsts un izšķirtspēja
Bank,Banka
Receive at Warehouse Entry,Saņemiet noliktavas ierakstu
Send Supplier Emails,Sūtīt piegādātāja e-pasta ziņojumus
Add new line,Pievienot jaunu rindu
Duplicate item group found in the item group table,Objektu grupas tabulā ir dublēta vienumu grupa
Annual Salary,Gada alga
Weighting Function,Svēruma funkcija
Error evaluating the criteria formula,"Novērtējot kritēriju formulu, radās kļūda"
Lab Test Report,Lab testa ziņojums
With Operations,Ar operācijām
People who teach at your organisation,"Cilvēki, kas māca jūsu organizācijā"
Account {0} does not belongs to company {1},Konts {0} nepieder uzņēmumam {1}
Has Expiry Date,Ir beigu datums
Sum of Scores of Assessment Criteria needs to be {0}.,Vērtēšanas kritēriju punktu skaitam jābūt {0}.
Property already added,Īpašums jau ir pievienots
SUP-.YYYY.-,SUP-.YYYY.-
Expense Claim Account,Izdevumu pieprasījuma konts
No repayments available for Journal Entry,Žurnāla ierakstam nav pieejami atmaksājumi
{0} - {1} is inactive student,{0} - {1} ir neaktīvs students
Activities,Darbības
Atleast one warehouse is mandatory,Viena noliktava ir obligāta
Customer Credit Balance,Klientu kredīta atlikums
Operations,Darbības
Create Salary Slips,Izveidojiet algas kombinācijas
Monthly Attendance Sheet,Mēneša apmeklējuma lapa
Reflexes,Refleksi
"Service Item,Type,frequency and expense amount are required","Ir nepieciešams pakalpojuma vienums, veids, biežums un izdevumu summa"
Variables,Mainīgie
Multiple Loyalty Program found for the Customer. Please select manually.,"Vairākas lojalitātes programmas, kas atrodamas Klientam. Lūdzu, atlasiet manuāli."
Medication,Zāles
Select Loyalty Program,Izvēlieties Lojalitātes programmu
Raw Materials,Izejvielas
Fully Billed,Pilnībā uzpildīts
Please set Hotel Room Rate on {},"Lūdzu, iestatiet viesnīcas numura cenu {}"
Please identify/create Account (Ledger) for type - {0},"Lūdzu, identificējiet / izveidojiet kontu (Ledger) tipam - {0}"
Total Credit/ Debit Amount should be same as linked Journal Entry,Kopējai kredīta / debeta summai vajadzētu būt vienādai ar saistīto žurnāla ierakstu
Is Fixed Asset,Vai Fiksētie aktīvi
To Party Name,Uz partijas nosaukumu
This Item is a Variant of {0} (Template).,Šis postenis ir {0} variants (veidne).
This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,"Šis rīks palīdz jums atjaunināt vai noteikt sistēmas krājumu daudzumu un novērtējumu. To parasti izmanto, lai sinhronizētu sistēmas vērtības un to, kas faktiski pastāv jūsu noliktavās."
Net Amount,Neto summa
Selling Price List,Pārdošanas cenu saraksts
IT,IT
{0} must be negative in return document,Atgriešanās dokumentā {0} jābūt negatīvam
Please select a valid Date,"Lūdzu, atlasiet derīgu datumu"
End Day,Beigu diena
Please confirm once you have completed your training,"Lūdzu, apstipriniet, kad esat pabeidzis apmācību"
Go to Letterheads,Dodieties uz burtiem
Allow User,Atļaut lietotājam
% of materials delivered against this Sales Order,"% no materiāliem, kas piegādāti pret šo pārdošanas pasūtījumu"
Purpose of Travel,Ceļojuma mērķis
Appointment Confirmation,Iecelšanas apstiprinājums
Orders,Pasūtījumi
Retirement Age,Pensijas vecums
Projected Qty,Plānotais daudzums
Deletion is not permitted for country {0},Dzēšana nav atļauta valstī {0}
Row #{0}: Asset {1} is already {2},# {0} rinda: aktīvs {1} jau ir {2}
Installation Status,Instalācijas statuss
Attribute Value,Atribūtu vērtība
Base Change Amount (Company Currency),Bāzes maiņas summa (uzņēmuma valūta)
Unused leaves,Neizmantotās lapas
Finished Item {0} must be entered for Manufacture type entry,Pabeigts vienums {0} jāievada ierakstam Ražošanas veids
'Entries' cannot be empty,&quot;Ieraksti&quot; nevar būt tukši
Go to Courses,Dodieties uz kursiem
Fee Breakup for each student,Maksa par katru studentu
Will also apply for variants,Tāpat tiks piemēroti varianti
Shared secret,Kopīga noslēpums
Write Off Cost Center,Izrakstīšanas izmaksu centrs
Silty Clay,Silty Clay
Redeemed Points,Atpirktie punkti
Mandate,Pilnvaras
Create Multiple,Izveidot vairākus
Scoring Standings,Rādītāju saraksti
Result Title Field,Rezultātu virsraksta lauks
New Leaves Allocated,Jaunās lapas iedalītas
Homepage,Mājas lapa
Compensatory Off,Kompensējošs
Opening Invoices Summary,Rēķinu kopsavilkums
Engine Oil,Motoreļļa
Applicant Name,Pretendenta nosaukums
Delivery Document No,Piegādes dokuments Nr
Hub Users,Hub lietotāji
Actual Quantity,Faktiskais daudzums
Credit Days,Kredīta dienas
Project Id,Projekta ID
Electronics,Elektronika
Due Date is mandatory,Obligātais datums ir obligāts
Qty Consumed Per Unit,Daudzums patērēts vienībā
Completed Work Orders,Pabeigtie darba uzdevumi
Help Section,Palīdzības sadaļa
Attendance date can not be less than employee's joining date,Dalības datums nedrīkst būt mazāks par darbinieku pievienošanās datumu
Total Cost(Company Currency),Kopējās izmaksas (uzņēmuma valūta)
Net Total,Neto kopsumma
Referral,Nodošana
Model,Modelis
Please specify from/to range,"Lūdzu, norādiet no / uz diapazonu"
Quantity to Manufacture must be greater than 0.,Ražošanas daudzumam jābūt lielākam par 0. \ T
Maintenance Time,Uzturēšanas laiks
Naming Series,Nosaukumu sērija
Contract Terms,Līguma noteikumi
Either target qty or target amount is mandatory.,Obligāts ir mērķa daudzums vai mērķa summa.
Invalid {0},Nederīgs {0}
FIFO,FIFO
Meeting Date,Tikšanās datums
HLC-INP-.YYYY.-,HLC-INP-.YYYY.-
Abbreviation cannot have more than 5 characters,Saīsinājumam nevar būt vairāk par 5 rakstzīmēm
Max Benefits (Yearly),Maksimālie ieguvumi (katru gadu)
Create Material Request,Izveidot materiālu pieprasījumu
Primary Address Details,Primārās adreses dati
Duration (Days),Ilgums (dienas)
Customer Feedback Template Table,Klientu atsauksmes veidnes tabula
Price List Rate,Cenu saraksta likme
Action if Annual Budget Exceeded on PO,"Darbība, ja gada budžets pārsniedz PO"
Campaign,Kampaņa
Accounting,Grāmatvedība
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,"Iestatiet vienumu saprātīgu budžetu šajā teritorijā. Jūs varat arī iekļaut sezonalitāti, nosakot izplatīšanu."
Insurance Start date should be less than Insurance End date,Apdrošināšanas sākuma datumam jābūt mazākam par apdrošināšanas beigu datumu
{0} items in progress,Notiek {0} vienumi
Foreign Trade Details,Ārējās tirdzniecības dati
Yes/No,Jā nē
Is Master Data Imported,Vai importēti galvenie dati
Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable,Objekta nodokļu rindai {0} jābūt kontam par nodokli vai ienākumiem vai izdevumiem vai uzliekamiem
{0} is not a valid Batch Number for Item {1},{0} nav derīgs sērijas numurs vienumam {1}
Learn More,Uzzināt vairāk
Credit Note {0} has been created automatically,Kredīta piezīme {0} ir izveidota automātiski
Queued for replacing the BOM. It may take a few minutes.,Ierindota BOM aizstāšana. Tas var aizņemt dažas minūtes.
Result Date,Rezultātu datums
Currency exchange rate master.,Valūtas maiņas kursa meistars.
Latest price updated in all BOMs,Jaunākā cena atjaunināta visās BOM
Series Updated Successfully,Sērija atjaunināta veiksmīgi
Clay Loam,Clay Loam
Please select item code,"Lūdzu, atlasiet vienuma kodu"
