DocType: Accounting Period,Period Name,Nama Tempoh
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js,Add Time Slots,Tambah Slot Masa
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} nombor siri yang diperlukan untuk item {1}. Anda telah menyediakan {2}.
DocType: Stock Reconciliation Item,Current Valuation Rate,Kadar Penilaian semasa
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.py,Number of root accounts cannot be less than 4,Bilangan akaun root tidak boleh kurang daripada 4
DocType: Training Event,Advance,Advance
apps/erpnext/erpnext/config/integrations.py,GoCardless payment gateway settings,Tetapan gerbang pembayaran GoCardless
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Exchange Gain/Loss,Exchange Keuntungan / Kerugian
DocType: Opportunity,Lost Reason,Hilang Akal
DocType: Amazon MWS Settings,Enable Amazon,Dayakan Amazon
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Account {1} does not belong to company {2},Baris # {0}: Akaun {1} tidak tergolong dalam syarikat {2}
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Unable to find DocType {0},Tidak dapat mencari DocType {0}
apps/erpnext/erpnext/public/js/templates/address_list.html,New Address,Alamat Baru
DocType: Quality Inspection,Sample Size,Saiz Sampel
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Please enter Receipt Document,Sila masukkan Dokumen Resit
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py,All items have already been invoiced,Semua barang-barang telah diinvois
apps/erpnext/erpnext/hr/report/employee_leave_balance_summary/employee_leave_balance_summary.py,Leaves Taken,Daun Diambil
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py,Please specify a valid 'From Case No.',Sila nyatakan yang sah Dari Perkara No. &#39;
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,Further cost centers can be made under Groups but entries can be made against non-Groups,Pusat kos lanjut boleh dibuat di bawah Kumpulan tetapi penyertaan boleh dibuat terhadap bukan Kumpulan
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Total allocated leaves are more days than maximum allocation of {0} leave type for employee {1} in the period,Jumlah daun yang diperuntukkan adalah lebih banyak hari daripada peruntukan maksimum {0} jenis cuti untuk pekerja {1} dalam tempoh tersebut
DocType: Branch,Branch,Cawangan
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"Other outward supplies(Nil rated,Exempted)","Bekalan luaran lain (Tiada nilai, Dikecualikan)"
DocType: Soil Analysis,Ca/(K+Ca+Mg),Ca / (K + Ca + Mg)
DocType: Delivery Trip,Fulfillment User,Pengguna Sepenuh
apps/erpnext/erpnext/config/settings.py,Printing and Branding,Percetakan dan Penjenamaan
DocType: Company,Total Monthly Sales,Jumlah Jualan Bulanan
DocType: Course Activity,Enrollment,Pendaftaran
DocType: Payment Request,Subscription Plans,Pelan Langganan
DocType: Agriculture Analysis Criteria,Weather,Cuaca
DocType: Bin,Actual Quantity,Kuantiti sebenar
DocType: Shipping Rule,example: Next Day Shipping,contoh: Penghantaran Hari Seterusnya
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Serial No {0} not found,No siri {0} tidak dijumpai
DocType: Fee Schedule Program,Fee Schedule Program,Program Jadual Bayaran
DocType: Fee Schedule Program,Student Batch,Batch pelajar
DocType: Pricing Rule,Advanced Settings,Tetapan lanjutan
DocType: Supplier Scorecard Scoring Standing,Min Grade,Gred Min
DocType: Healthcare Service Unit Type,Healthcare Service Unit Type,Jenis Unit Perkhidmatan Penjagaan Kesihatan
DocType: Training Event Employee,Feedback Submitted,Maklumbalas Dihantar
apps/erpnext/erpnext/projects/doctype/project/project.py,You have been invited to collaborate on the project: {0},Anda telah dijemput untuk bekerjasama dalam projek: {0}
DocType: Supplier Group,Parent Supplier Group,Kumpulan Pembekal Ibu Bapa
DocType: Email Digest,Purchase Orders to Bill,Pesanan Belian kepada Rang Undang-Undang
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.js,Accumulated Values in Group Company,Nilai Terkumpul dalam Kumpulan Syarikat
DocType: Leave Block List Date,Block Date,Sekat Tarikh
DocType: Item,You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Anda boleh menggunakan markup Bootstrap 4 yang sah dalam medan ini. Ia akan ditunjukkan pada Halaman Item anda.
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"Outward taxable supplies(other than zero rated, nil rated and exempted","Pembekalan bercukai keluar (selain daripada nilai sifar, tidak diberi nilai dan dikecualikan"
DocType: Crop,Crop,Potong
DocType: Purchase Receipt,Supplier Delivery Note,Nota Penghantaran Pembekal
apps/erpnext/erpnext/education/doctype/student_admission/templates/student_admission.html,Apply Now,Mohon sekarang
DocType: Employee Tax Exemption Proof Submission Detail,Type of Proof,Jenis Bukti
apps/erpnext/erpnext/stock/dashboard/item_dashboard_list.html,Actual Qty {0} / Waiting Qty {1},Sebenar Qty {0} / Waiting Qty {1}
apps/erpnext/erpnext/stock/dashboard/item_dashboard_list.html,Actual Qty {0} / Waiting Qty {1},Sebenar Qty {0} / Waiting Qty {1}
DocType: Purchase Invoice,E-commerce GSTIN,GSTIN E-dagang
DocType: Sales Order,Not Delivered,Tidak Dihantar
,Bank Clearance Summary,Bank Clearance Ringkasan
apps/erpnext/erpnext/config/settings.py,"Create and manage daily, weekly and monthly email digests.","Membuat dan menguruskan mencerna e-mel harian, mingguan dan bulanan."
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person_dashboard.py,This is based on transactions against this Sales Person. See timeline below for details,Ini berdasarkan urusniaga terhadap Orang Jualan ini. Lihat garis masa di bawah untuk maklumat lanjut
DocType: Appraisal Goal,Appraisal Goal,Penilaian Matlamat
DocType: Stock Reconciliation Item,Current Amount,Jumlah Semasa
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Buildings,bangunan
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period.py,Leaves has been granted sucessfully,Daun telah berjaya dicapai
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_transaction_row.html,New Invoice,Invois Baru
DocType: Products Settings,Enable Attribute Filters,Membolehkan Penapis Atribut
DocType: Fee Schedule,Fee Structure,Struktur Bayaran
DocType: Timesheet Detail,Costing Amount,Jumlah berharga
DocType: Student Admission Program,Application Fee,Bayaran permohonan
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.js,Submit Salary Slip,Hantar Slip Gaji
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice_list.js,On Hold,Tunggu
apps/erpnext/erpnext/education/doctype/question/question.py,A qustion must have at least one correct options,Kelengahan mesti mempunyai sekurang-kurangnya satu pilihan yang betul
apps/erpnext/erpnext/hooks.py,Purchase Orders,Pesanan Pembelian
DocType: Account,Inter Company Account,Akaun Syarikat Antara
apps/erpnext/erpnext/stock/doctype/item_price/item_price.js,Import in Bulk,Import di Bulk
DocType: Sales Partner,Address & Contacts,Alamat Kenalan
DocType: SMS Log,Sender Name,Nama Pengirim
DocType: Vital Signs,Very Hyper,Sangat Hyper
DocType: Agriculture Analysis Criteria,Agriculture Analysis Criteria,Kriteria Analisis Pertanian
DocType: HR Settings,Leave Approval Notification Template,Tinggalkan Templat Pemberitahuan Kelulusan
DocType: POS Profile,[Select],[Pilih]
DocType: Staffing Plan Detail,Number Of Positions,Bilangan Jawatan
DocType: Vital Signs,Blood Pressure (diastolic),Tekanan Darah (diastolik)
apps/erpnext/erpnext/accounts/doctype/coupon_code/coupon_code.py,Please select the customer.,Sila pilih pelanggan.
DocType: SMS Log,Sent To,Dihantar Kepada
DocType: Agriculture Task,Holiday Management,Pengurusan Percutian
DocType: Payment Request,Make Sales Invoice,Buat Jualan Invois
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Softwares,Softwares
apps/erpnext/erpnext/crm/doctype/lead/lead.py,Next Contact Date cannot be in the past,Hubungi Selepas Tarikh tidak boleh pada masa lalu
DocType: Company,For Reference Only.,Untuk Rujukan Sahaja.
apps/erpnext/erpnext/accounts/page/pos/pos.js,Select Batch No,Pilih Batch No
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Invalid {0}: {1},Tidak sah {0}: {1}
,GSTR-1,GSTR-1
DocType: Fee Validity,Reference Inv,Rujuk Rujukan
DocType: Sales Invoice Advance,Advance Amount,Advance Jumlah
DocType: Manufacturing Settings,Capacity Planning,Perancangan Kapasiti
DocType: Supplier Quotation,Rounding Adjustment (Company Currency,Pelarasan Membulat (Mata Wang Syarikat
DocType: Asset,Policy number,Nombor polisi
apps/erpnext/erpnext/stock/report/batch_item_expiry_status/batch_item_expiry_status.py,'From Date' is required,&#39;Dari Tarikh&#39; diperlukan
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Assign to Employees,Berikan kepada Pekerja
DocType: Bank Transaction,Reference Number,Nombor Rujukan
DocType: Employee,New Workplace,New Tempat Kerja
DocType: Retention Bonus,Retention Bonus,Bonus Pengekalan
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Material Consumption,Penggunaan Bahan
apps/erpnext/erpnext/crm/doctype/opportunity/opportunity_list.js,Set as Closed,Ditetapkan sebagai Ditutup
apps/erpnext/erpnext/stock/get_item_details.py,No Item with Barcode {0},No Perkara dengan Barcode {0}
DocType: Normal Test Items,Require Result Value,Memerlukan Nilai Hasil
DocType: Purchase Invoice,Pricing Rules,Kaedah Harga
DocType: Item,Show a slideshow at the top of the page,Menunjukkan tayangan slaid di bahagian atas halaman
DocType: Tax Withholding Rate,Tax Withholding Rate,Kadar Pegangan Cukai
DocType: Pricing Rule,Max Amt,Max Amt
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Boms,Boms
apps/erpnext/erpnext/stock/doctype/item/item.py,Stores,Kedai
DocType: Project Type,Projects Manager,Projek Pengurus
DocType: Serial No,Delivery Time,Masa penghantaran
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Based On,Penuaan Berasaskan
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Appointment cancelled,Pelantikan dibatalkan
DocType: Item,End of Life,Akhir Hayat
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Travel,Perjalanan
DocType: Student Report Generation Tool,Include All Assessment Group,Termasuk Semua Kumpulan Penilaian
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,No active or default Salary Structure found for employee {0} for the given dates,Tiada Struktur aktif atau Gaji lalai dijumpai untuk pekerja {0} pada tarikh yang diberikan
DocType: Leave Block List,Allow Users,Benarkan Pengguna
DocType: Purchase Order,Customer Mobile No,Pelanggan Bimbit
DocType: Leave Type,Calculated in days,Dikira dalam hari
DocType: Call Log,Received By,Diterima oleh
DocType: Cash Flow Mapping Template Details,Cash Flow Mapping Template Details,Butiran Templat Pemetaan Aliran Tunai
apps/erpnext/erpnext/config/non_profit.py,Loan Management,Pengurusan Pinjaman
DocType: Cost Center,Track separate Income and Expense for product verticals or divisions.,Jejaki Pendapatan berasingan dan Perbelanjaan untuk menegak produk atau bahagian.
DocType: Rename Tool,Rename Tool,Nama semula Tool
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.js,Update Cost,Update Kos
DocType: Item Reorder,Item Reorder,Perkara Reorder
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,GSTR3B-Form,Borang GSTR3B
DocType: Sales Invoice,Mode of Transport,Mod Pengangkutan
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Show Salary Slip,Show Slip Gaji
apps/erpnext/erpnext/stock/doctype/material_request/material_request.js,Transfer Material,Pemindahan Bahan
DocType: Fees,Send Payment Request,Hantar Permintaan Bayaran
DocType: Travel Request,Any other details,Sebarang butiran lain
DocType: Water Analysis,Origin,Asal
apps/erpnext/erpnext/controllers/status_updater.py,This document is over limit by {0} {1} for item {4}. Are you making another {3} against the same {2}?,Dokumen ini melebihi had oleh {0} {1} untuk item {4}. Adakah anda membuat terhadap yang sama satu lagi {3} {2}?
apps/erpnext/erpnext/public/js/controllers/transaction.js,Please set recurring after saving,Sila menetapkan berulang selepas menyimpan
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Select change amount account,Pilih perubahan kira jumlah
DocType: Purchase Invoice,Price List Currency,Senarai Harga Mata Wang
DocType: Naming Series,User must always select,Pengguna perlu sentiasa pilih
DocType: Stock Settings,Allow Negative Stock,Benarkan Saham Negatif
DocType: Installation Note,Installation Note,Pemasangan Nota
apps/erpnext/erpnext/stock/report/stock_ageing/stock_ageing.js,Show Warehouse-wise Stock,Tunjukkan Saham yang bijak gudang
DocType: Soil Texture,Clay,Tanah liat
DocType: Course Topic,Topic,Topic
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Cash Flow from Financing,Aliran tunai daripada pembiayaan
DocType: Budget Account,Budget Account,anggaran Akaun
DocType: Quality Inspection,Verified By,Disahkan oleh
DocType: Travel Request,Name of Organizer,Nama Penganjur
apps/erpnext/erpnext/setup/doctype/company/company.py,"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.","Tidak boleh menukar mata wang lalai syarikat itu, kerana terdapat urus niaga yang sedia ada. Transaksi mesti dibatalkan untuk menukar mata wang lalai."
DocType: Cash Flow Mapping,Is Income Tax Liability,Kewajipan Cukai Pendapatan
DocType: Grading Scale Interval,Grade Description,gred Penerangan
DocType: Clinical Procedure,Is Invoiced,Adakah Invois
apps/erpnext/erpnext/setup/doctype/company/company.js,Create Tax Template,Buat Templat Cukai
DocType: Stock Entry,Purchase Receipt No,Resit Pembelian No
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Earnest Money,Wang Earnest
DocType: Sales Invoice, Shipping Bill Number,Nombor Bil Pengiriman
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.js,Create Salary Slip,Membuat Slip Gaji
apps/erpnext/erpnext/stock/doctype/item/item_dashboard.py,Traceability,kebolehkesanan
DocType: Asset Maintenance Log,Actions performed,Tindakan dilakukan
DocType: Cash Flow Mapper,Section Leader,Bahagian Pemimpin
DocType: Sales Invoice,Transport Receipt No,Resit Pengangkutan No
DocType: Quiz Activity,Pass,Pas
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,Please add the account to root level Company - ,Sila tambah akaun ke peringkat akar umbi Syarikat -
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Source of Funds (Liabilities),Sumber Dana (Liabiliti)
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Source and Target Location cannot be same,Lokasi Sumber dan Sasaran tidak boleh sama
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Quantity in row {0} ({1}) must be same as manufactured quantity {2},Kuantiti berturut-turut {0} ({1}) mestilah sama dengan kuantiti yang dikeluarkan {2}
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,"Difference Account must be a Asset/Liability type account, since this Stock Entry is an Opening Entry","Akaun Perbezaan mesti menjadi akaun jenis Aset / Liabiliti, kerana Penyertaan Saham ini merupakan Kemasukan Pembukaan"
DocType: Supplier Scorecard Scoring Standing,Employee,Pekerja
DocType: Bank Guarantee,Fixed Deposit Number,Nombor Deposit Tetap
DocType: Asset Repair,Failure Date,Tarikh Kegagalan
DocType: Support Search Source,Result Title Field,Tajuk Tajuk Hasil
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Summary,Ringkasan panggilan
DocType: Sample Collection,Collected Time,Masa Dikumpul
DocType: Employee Skill Map,Employee Skills,Kemahiran Kakitangan
apps/erpnext/erpnext/hr/report/vehicle_expenses/vehicle_expenses.py,Fuel Expense,Perbelanjaan Bahan Api
DocType: Company,Sales Monthly History,Sejarah Bulanan Jualan
apps/erpnext/erpnext/regional/italy/utils.py,Please set at least one row in the Taxes and Charges Table,Sila tetapkan sekurang-kurangnya satu baris dalam Jadual Cukai dan Caj
DocType: Asset Maintenance Task,Next Due Date,Tarikh Akhir Seterusnya
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Select Batch,Pilih Batch
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} {1} is fully billed,{0} {1} telah dibil sepenuhnya
apps/erpnext/erpnext/healthcare/doctype/patient/patient.js,Vital Signs,Tanda-tanda penting
DocType: Payment Entry,Payment Deductions or Loss,Potongan bayaran atau Kehilangan
DocType: Soil Analysis,Soil Analysis Criterias,Kriterias Analisis Tanah
apps/erpnext/erpnext/config/settings.py,Standard contract terms for Sales or Purchase.,Terma kontrak standard untuk Jualan atau Beli.
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,Rows Removed in {0},Baris Dihapuskan dalam {0}
DocType: Shift Type,Begin check-in before shift start time (in minutes),Mulakan masuk sebelum masa mula peralihan (dalam minit)
DocType: BOM Item,Item operation,Operasi item
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Group by Voucher,Kumpulan dengan Voucher
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Are you sure you want to cancel this appointment?,Adakah anda pasti ingin membatalkan janji temu ini?
DocType: Hotel Room Pricing Package,Hotel Room Pricing Package,Pakej Harga Bilik Hotel
apps/erpnext/erpnext/selling/page/sales_funnel/sales_funnel.js,Sales Pipeline,Pipeline jualan
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Please set default account in Salary Component {0},Sila menetapkan akaun lalai dalam Komponen Gaji {0}
apps/erpnext/erpnext/templates/form_grid/material_request_grid.html,Required On,Diperlukan Pada
DocType: Rename Tool,File to Rename,Fail untuk Namakan semula
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,Please select BOM for Item in Row {0},Sila pilih BOM untuk Item dalam Row {0}
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,Fetch Subscription Updates,Mengambil Update Langganan
apps/erpnext/erpnext/accounts/doctype/mode_of_payment/mode_of_payment.py,Account {0} does not match with Company {1} in Mode of Account: {2},Akaun {0} tidak sepadan dengan Syarikat {1} dalam Kaedah akaun: {2}
apps/erpnext/erpnext/controllers/buying_controller.py,Specified BOM {0} does not exist for Item {1},Dinyatakan BOM {0} tidak wujud untuk Perkara {1}
apps/erpnext/erpnext/education/doctype/student_report_generation_tool/student_report_generation_tool.html,Course: ,Kursus:
DocType: Soil Texture,Sandy Loam,Sandy Loam
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Maintenance Schedule {0} must be cancelled before cancelling this Sales Order,Jadual Penyelenggaraan {0} hendaklah dibatalkan sebelum membatalkan Perintah Jualan ini
apps/erpnext/erpnext/education/doctype/student/student_dashboard.py,Student LMS Activity,Aktiviti LMS Pelajar
DocType: POS Profile,Applicable for Users,Berkenaan Pengguna
DocType: Supplier Quotation,PUR-SQTN-.YYYY.-,PUR-SQTN-.YYYY.-
apps/erpnext/erpnext/projects/doctype/project/project.js,Set Project and all Tasks to status {0}?,Tetapkan Projek dan semua Tugas ke status {0}?
DocType: Purchase Invoice,Set Advances and Allocate (FIFO),Tetapkan Pendahuluan dan Alokasi (FIFO)
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,No Work Orders created,Tiada Perintah Kerja dibuat
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Salary Slip of employee {0} already created for this period,Slip gaji pekerja {0} telah dicipta untuk tempoh ini
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Pharmaceutical,Farmasi
apps/erpnext/erpnext/hr/doctype/leave_encashment/leave_encashment.py,You can only submit Leave Encashment for a valid encashment amount,Anda hanya boleh menyerahkan Tolak Encik untuk jumlah encashment yang sah
apps/erpnext/erpnext/public/js/hub/pages/SellerItems.vue,Items by ,Item oleh
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Purchased Items,Kos Item Dibeli
DocType: Employee Separation,Employee Separation Template,Templat Pemisahan Pekerja
DocType: Selling Settings,Sales Order Required,Pesanan Jualan Diperlukan
apps/erpnext/erpnext/public/js/hub/marketplace.js,Become a Seller,Menjadi Penjual
,Procurement Tracker,Tracker Perolehan
DocType: Purchase Invoice,Credit To,Kredit Untuk
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,ITC Reversed,ITC Dibalikkan
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_connector.py,Plaid authentication error,Ralat pengesahan kotak-kotak
apps/erpnext/erpnext/selling/page/sales_funnel/sales_funnel.py,Active Leads / Customers,Leads aktif / Pelanggan
DocType: Delivery Settings,Leave blank to use the standard Delivery Note format,Biarkan kosong untuk menggunakan format Nota Penghantaran standard
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,Fiscal Year End Date should be one year after Fiscal Year Start Date,Tarikh Akhir Tahun Fiskal hendaklah satu tahun selepas Tarikh Mula Tahun Fiskal
DocType: Employee Education,Post Graduate,Siswazah
DocType: Quality Meeting,Agenda,Agenda
DocType: Maintenance Schedule Detail,Maintenance Schedule Detail,Jadual Penyelenggaraan Terperinci
DocType: Supplier Scorecard,Warn for new Purchase Orders,Amalkan pesanan baru
DocType: Quality Inspection Reading,Reading 9,Membaca 9
apps/erpnext/erpnext/config/integrations.py,Connect your Exotel Account to ERPNext and track call logs,Sambungkan Akaun Exotel anda ke ERPNext dan lacak log panggilan
DocType: Supplier,Is Frozen,Adalah Beku
DocType: Tally Migration,Processed Files,Fail Diproses
apps/erpnext/erpnext/stock/utils.py,Group node warehouse is not allowed to select for transactions,nod Kumpulan gudang tidak dibenarkan untuk memilih untuk transaksi
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,Dimensi Perakaunan <b>{0}</b> diperlukan untuk akaun &#39;Kunci Kira-kira&#39; {1}.
DocType: Buying Settings,Buying Settings,Tetapan Membeli
DocType: Stock Entry Detail,BOM No. for a Finished Good Item,BOM No. untuk Perkara Baik Selesai
DocType: Upload Attendance,Attendance To Date,Kehadiran Untuk Tarikh
DocType: Request for Quotation Supplier,No Quote,No Quote
DocType: Support Search Source,Post Title Key,Kunci Tajuk Utama
DocType: Issue,Issue Split From,Terbitan Terbitan Dari
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,For Job Card,Untuk Kad Kerja
DocType: Warranty Claim,Raised By,Dibangkitkan Oleh
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Prescriptions,Resipi
DocType: Payment Gateway Account,Payment Account,Akaun Pembayaran
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Please specify Company to proceed,Sila nyatakan Syarikat untuk meneruskan
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Net Change in Accounts Receivable,Perubahan Bersih dalam Akaun Belum Terima
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Compensatory Off,Pampasan Off
DocType: Job Applicant,Accepted,Diterima
DocType: POS Closing Voucher,Sales Invoices Summary,Ringkasan Invois Jualan
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Party Name,Kepada Nama Pihak
DocType: Grant Application,Organization,organisasi
DocType: Grant Application,Organization,organisasi
DocType: BOM Update Tool,BOM Update Tool,Alat Kemaskini BOM
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Group by Party,Kumpulan oleh Pihak
DocType: SG Creation Tool Course,Student Group Name,Nama Kumpulan Pelajar
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.js,Show exploded view,Tunjukkan paparan yang meletup
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule_list.js,Creating Fees,Membuat Bayaran
apps/erpnext/erpnext/setup/doctype/company/company.js,Please make sure you really want to delete all the transactions for this company. Your master data will remain as it is. This action cannot be undone.,Sila pastikan anda benar-benar ingin memadam semua urus niaga bagi syarikat ini. Data induk anda akan kekal kerana ia adalah. Tindakan ini tidak boleh dibuat asal.
apps/erpnext/erpnext/templates/pages/product_search.html,Search Results,Keputusan Carian
DocType: Homepage Section,Number of Columns,Bilangan Lajur
DocType: Room,Room Number,Nombor bilik
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Price not found for item {0} in price list {1},Harga tidak dijumpai untuk item {0} dalam senarai harga {1}
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Requestor,Peminta
apps/erpnext/erpnext/utilities/transaction_base.py,Invalid reference {0} {1},Rujukan tidak sah {0} {1}
apps/erpnext/erpnext/config/buying.py,Rules for applying different promotional schemes.,Kaedah untuk memohon skim promosi yang berbeza.
DocType: Shipping Rule,Shipping Rule Label,Peraturan Penghantaran Label
DocType: Journal Entry Account,Payroll Entry,Kemasukan Payroll
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.js,View Fees Records,Lihat Rekod Bayaran
apps/erpnext/erpnext/public/js/conf.js,User Forum,Forum pengguna
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Raw Materials cannot be blank.,Bahan mentah tidak boleh kosong.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Row #{0} (Payment Table): Amount must be negative,Baris # {0} (Jadual Pembayaran): Jumlah mestilah negatif
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,"Could not update stock, invoice contains drop shipping item.","Tidak dapat kemas kini saham, invois mengandungi drop item penghantaran."
DocType: Contract,Fulfilment Status,Status Penyempurnaan
DocType: Lab Test Sample,Lab Test Sample,Sampel Ujian Makmal
DocType: Item Variant Settings,Allow Rename Attribute Value,Benarkan Namakan Nilai Atribut
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Quick Journal Entry,Pantas Journal Kemasukan
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Future Payment Amount,Jumlah Pembayaran Masa Depan
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.js,You can not change rate if BOM mentioned agianst any item,Anda tidak boleh mengubah kadar jika BOM disebut agianst sebarang perkara
DocType: Restaurant,Invoice Series Prefix,Awalan Siri Invois
DocType: Employee,Previous Work Experience,Pengalaman Kerja Sebelumnya
apps/erpnext/erpnext/accounts/doctype/account/account.js,Update Account Number / Name,Kemas kini Nombor / Nama Akaun
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Assign Salary Structure,Menetapkan Struktur Gaji
DocType: Support Settings,Response Key List,Senarai Utama Response
DocType: Job Card,For Quantity,Untuk Kuantiti
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,Please enter Planned Qty for Item {0} at row {1},Sila masukkan Dirancang Kuantiti untuk Perkara {0} di barisan {1}
DocType: Support Search Source,API,API
DocType: Support Search Source,Result Preview Field,Bidaan Pratonton Hasil
apps/erpnext/erpnext/templates/generators/item/item_configure.js,{0} items found.,{0} item dijumpai.
DocType: Item Price,Packing Unit,Unit Pembungkusan
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} {1} is not submitted,{0} {1} tidak diserahkan
DocType: Subscription,Trialling,Menguji
DocType: Sales Invoice Item,Deferred Revenue,Pendapatan Tertunda
