DocType: Accounting Period,Period Name,Jina la Kipindi
DocType: BOM Update Tool,BOM Update Tool,Chombo cha Mwisho cha BOM
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Group by Party,Kikundi na Chama
DocType: SG Creation Tool Course,Student Group Name,Jina la Kikundi cha Wanafunzi
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.js,Show exploded view,Onyesha maoni yaliyopuka
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule_list.js,Creating Fees,Kujenga ada
apps/erpnext/erpnext/setup/doctype/company/company.js,Please make sure you really want to delete all the transactions for this company. Your master data will remain as it is. This action cannot be undone.,Tafadhali hakikisha unataka kufuta shughuli zote za kampuni hii. Data yako bwana itabaki kama ilivyo. Hatua hii haiwezi kufutwa.
apps/erpnext/erpnext/templates/pages/product_search.html,Search Results,Matokeo ya Utafutaji
DocType: Homepage Section,Number of Columns,Idadi ya safuwima
DocType: Room,Room Number,Idadi ya Chumba
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Price not found for item {0} in price list {1},Bei haipatikani kwa bidhaa {0} kwenye orodha ya bei {1}
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Requestor,Mwombaji
apps/erpnext/erpnext/utilities/transaction_base.py,Invalid reference {0} {1},Kumbukumbu batili {0} {1}
apps/erpnext/erpnext/config/buying.py,Rules for applying different promotional schemes.,Sheria za kutumia miradi tofauti ya uendelezaji.
DocType: Shipping Rule,Shipping Rule Label,Lebo ya Rule ya Utoaji
DocType: Journal Entry Account,Payroll Entry,Kuingia kwa Mishahara
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.js,View Fees Records,Angalia Kumbukumbu za Malipo
apps/erpnext/erpnext/public/js/conf.js,User Forum,Forum Forum
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Raw Materials cannot be blank.,Malighafi haziwezi kuwa tupu.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Row #{0} (Payment Table): Amount must be negative,Row # {0} (Jedwali la Malipo): Kiasi lazima iwe hasi
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,"Could not update stock, invoice contains drop shipping item.","Haikuweza kusasisha hisa, ankara ina bidhaa ya kusafirisha kushuka."
DocType: Contract,Fulfilment Status,Hali ya Utekelezaji
DocType: Lab Test Sample,Lab Test Sample,Mfano wa Mtihani wa Lab
DocType: Item Variant Settings,Allow Rename Attribute Value,Ruhusu Unda Thamani ya Thamani
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.js,Quick Journal Entry,Quick Journal Entry
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Future Payment Amount,Kiasi cha malipo ya Baadaye
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.js,You can not change rate if BOM mentioned agianst any item,Huwezi kubadili kiwango kama BOM imetajwa agianst kitu chochote
DocType: Restaurant,Invoice Series Prefix,Msaada wa Mfululizo wa Invoice
DocType: Employee,Previous Work Experience,Uzoefu wa Kazi uliopita
apps/erpnext/erpnext/accounts/doctype/account/account.js,Update Account Number / Name,Sasisha Nambari ya Akaunti / Jina
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Assign Salary Structure,Shirikisha Mfumo wa Mshahara
DocType: Support Settings,Response Key List,Orodha ya Muhimu ya Jibu
DocType: Job Card,For Quantity,Kwa Wingi
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,Please enter Planned Qty for Item {0} at row {1},Tafadhali ingiza Kiini kilichopangwa kwa Bidhaa {0} kwenye safu {1}
DocType: Support Search Source,API,API
DocType: Support Search Source,Result Preview Field,Msimbo wa Mtazamo wa Matokeo
DocType: Item Price,Packing Unit,Kitengo cha Ufungashaji
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} {1} is not submitted,{0} {1} haijawasilishwa
DocType: Subscription,Trialling,Inakuja
DocType: Sales Invoice Item,Deferred Revenue,Mapato yaliyotengwa
DocType: Shopify Settings,Cash Account will used for Sales Invoice creation,Akaunti ya Fedha itatumika kwa uundaji wa ankara za Mauzo
DocType: Employee Tax Exemption Declaration Category,Exemption Sub Category,Kutoa Kundi Kundi
DocType: Member,Membership Expiry Date,Tarehe ya Kumalizika kwa Uanachama
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,{0} must be negative in return document,{0} lazima iwe hasi katika hati ya kurudi
DocType: Employee Tax Exemption Proof Submission,Submission Date,Tarehe ya Uwasilishaji
,Minutes to First Response for Issues,Dakika kwa Maswali ya kwanza ya Masuala
DocType: Purchase Invoice,Terms and Conditions1,Masharti na Masharti1
apps/erpnext/erpnext/public/js/setup_wizard.js,The name of the institute for which you are setting up this system.,Jina la taasisi ambayo unaanzisha mfumo huu.
DocType: Accounts Settings,"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Uingizaji wa uhasibu umehifadhiwa hadi tarehe hii, hakuna mtu anaweza kufanya / kurekebisha kuingia isipokuwa jukumu lililoelezwa hapo chini."
apps/erpnext/erpnext/manufacturing/doctype/bom_update_tool/bom_update_tool.js,Latest price updated in all BOMs,Bei ya hivi karibuni imesasishwa katika BOM zote
DocType: Project User,Project Status,Hali ya Mradi
DocType: UOM,Check this to disallow fractions. (for Nos),Angalia hii ili kupinga marufuku. (kwa Nos)
DocType: Student Admission Program,Naming Series (for Student Applicant),Mfululizo wa majina (kwa Msaidizi wa Mwanafunzi)
apps/erpnext/erpnext/hr/doctype/retention_bonus/retention_bonus.py,Bonus Payment Date cannot be a past date,Tarehe ya Malipo ya Bonus haiwezi kuwa tarehe iliyopita
DocType: Travel Request,Copy of Invitation/Announcement,Nakala ya Mwaliko / Matangazo
DocType: Practitioner Service Unit Schedule,Practitioner Service Unit Schedule,Ratiba ya Kitengo cha Utumishi
DocType: Sales Invoice,Transporter Name,Jina la Transporter
DocType: Authorization Rule,Authorized Value,Thamani iliyoidhinishwa
DocType: BOM,Show Operations,Onyesha Kazi
,Minutes to First Response for Opportunity,Dakika ya Kwanza ya Majibu ya Fursa
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Absent,Jumla ya Ukosefu
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item or Warehouse for row {0} does not match Material Request,Kipengee au Ghala la mstari {0} hailingani na Maombi ya Nyenzo
apps/erpnext/erpnext/hr/report/loan_repayment/loan_repayment.py,Payable Amount,Kiasi kinacholipwa
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Unit of Measure,Kitengo cha Kupima
DocType: Fiscal Year,Year End Date,Tarehe ya Mwisho wa Mwaka
DocType: Task Depends On,Task Depends On,Kazi inategemea
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Opportunity,Fursa
DocType: Options,Option,Chaguo
apps/erpnext/erpnext/accounts/general_ledger.py,You can't create accounting entries in the closed accounting period {0},Hauwezi kuunda viingizo vya uhasibu katika kipindi cha uhasibu kilichofungwa {0}
DocType: Operation,Default Workstation,Kituo cha Kazi cha Kazi
DocType: Payment Entry,Deductions or Loss,Kupoteza au kupoteza
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} {1} is closed,{0} {1} imefungwa
DocType: Email Digest,How frequently?,Ni mara ngapi?
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.js,Total Collected: {0},Jumla Imekusanywa: {0}
DocType: Purchase Receipt,Get Current Stock,Pata Stock Current
DocType: Purchase Invoice,ineligible,halali
apps/erpnext/erpnext/config/manufacturing.py,Tree of Bill of Materials,Mti wa Matayarisho ya Vifaa
DocType: BOM,Exploded Items,Vitu vilivyolipuka
DocType: Student,Joining Date,Tarehe ya Kujiunga
,Employees working on a holiday,Wafanyakazi wanaofanya kazi likizo
,TDS Computation Summary,Muhtasari wa Hesabu ya TDS
DocType: Share Balance,Current State,Hali ya sasa
apps/erpnext/erpnext/hr/doctype/employee_attendance_tool/employee_attendance_tool.js,Mark Present,Andika Sasa
DocType: Share Transfer,From Shareholder,Kutoka kwa Mshirika
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Greater Than Amount,Kubwa kuliko Kiasi
DocType: Project,% Complete Method,Njia kamili
apps/erpnext/erpnext/healthcare/setup.py,Drug,Madawa
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Maintenance start date can not be before delivery date for Serial No {0},Tarehe ya kuanza ya matengenezo haiwezi kuwa kabla ya tarehe ya kujifungua kwa Serial No {0}
DocType: Work Order,Actual End Date,Tarehe ya mwisho ya mwisho
DocType: Cash Flow Mapping,Is Finance Cost Adjustment,"Je, mabadiliko ya Gharama za Fedha"
DocType: BOM,Operating Cost (Company Currency),Gharama za Uendeshaji (Fedha la Kampuni)
DocType: Authorization Rule,Applicable To (Role),Inafaa kwa (Mgawo)
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application_dashboard.html,Pending Leaves,Majani yaliyoyasubiri
DocType: BOM Update Tool,Replace BOM,Badilisha BOM
apps/erpnext/erpnext/healthcare/doctype/lab_test_template/lab_test_template.py,Code {0} already exist,Kanuni {0} tayari iko
DocType: Patient Encounter,Procedures,Taratibu
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,Sales orders are not available for production,Maagizo ya mauzo haipatikani kwa uzalishaji
DocType: Asset Movement,Purpose,Kusudi
DocType: Company,Fixed Asset Depreciation Settings,Mipangilio ya Malipo ya Kushuka kwa Mali
DocType: Item,Will also apply for variants unless overrridden,Pia itatumika kwa vipengee isipokuwa imeingizwa
DocType: Purchase Invoice,Advances,Maendeleo
DocType: HR Settings,Hiring Settings,Mipangilio ya Kuajiri
DocType: Work Order,Manufacture against Material Request,Tengeneza dhidi ya Nyenzo ya Nyenzo
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.html,Assessment Group: ,Kundi la Tathmini:
DocType: Item Reorder,Request for,Ombi la
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Approving User cannot be same as user the rule is Applicable To,Kupitisha Mtumiaji hawezi kuwa sawa na mtumiaji utawala unaofaa
DocType: Stock Entry Detail,Basic Rate (as per Stock UOM),Kiwango cha msingi (kama kwa Stock UOM)
DocType: SMS Log,No of Requested SMS,Hakuna ya SMS iliyoombwa
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Leave Without Pay does not match with approved Leave Application records,Acha bila ya kulipa hailingani na kumbukumbu za Maombi ya Kuondoka
apps/erpnext/erpnext/setup/page/welcome_to_erpnext/welcome_to_erpnext.html,Next Steps,Hatua Zingine
apps/erpnext/erpnext/public/js/hub/Sidebar.vue,Saved Items,Vitu vilivyohifadhiwa
DocType: Travel Request,Domestic,Ndani
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Please supply the specified items at the best possible rates,Tafadhali usambaze vitu maalum kwa viwango bora zaidi
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Employee Transfer cannot be submitted before Transfer Date ,Uhamisho wa Wafanyabiashara hauwezi kufungwa kabla ya Tarehe ya Uhamisho
DocType: Certification Application,USD,USD
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Remaining Balance,Kudumisha Mizani
DocType: Selling Settings,Auto close Opportunity after 15 days,Funga karibu na fursa baada ya siku 15
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,Purchase Orders are not allowed for {0} due to a scorecard standing of {1}.,Amri za Ununuzi hayaruhusiwi kwa {0} kutokana na msimamo wa alama ya {1}.
apps/erpnext/erpnext/stock/doctype/item/item.py,Barcode {0} is not a valid {1} code,Barcode {0} sio sahihi {1} kificho
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.js,End Year,Mwisho wa Mwaka
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Quot/Lead %,Quot / Kiongozi%
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Contract End Date must be greater than Date of Joining,Tarehe ya Mwisho wa Mkataba lazima iwe kubwa kuliko Tarehe ya Kujiunga
DocType: Sales Invoice,Driver,Dereva
DocType: Vital Signs,Nutrition Values,Maadili ya lishe
DocType: Lab Test Template,Is billable,Ni billable
DocType: Sales Partner,A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Washirika wa tatu / muuzaji / wakala wa tume / mshirika / wauzaji ambaye anauza bidhaa za kampuni kwa tume.
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Purchase Order {1},{0} dhidi ya Utaratibu wa Ununuzi {1}
DocType: Patient,Patient Demographics,Idadi ya Watu wa Magonjwa
DocType: Task,Actual Start Date (via Time Sheet),Tarehe ya Kuanza Kuanza (kupitia Karatasi ya Muda)
apps/erpnext/erpnext/portal/doctype/homepage/homepage.py,This is an example website auto-generated from ERPNext,Hii ni tovuti ya mfano iliyozalishwa kutoka ERPNext
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Range 1,Kipindi cha kuzeeka 1
DocType: Shopify Settings,Enable Shopify,Wezesha Shopify
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Total advance amount cannot be greater than total claimed amount,Jumla ya kiasi cha mapema haiwezi kuwa kubwa zaidi kuliko jumla ya kiasi kilichodaiwa
DocType: Purchase Taxes and Charges Template,"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","Template ya kodi ya kawaida ambayo inaweza kutumika kwa Shughuli zote za Ununuzi. Template hii inaweza kuwa na orodha ya vichwa vya kodi na pia majukumu mengine kama &quot;Shipping&quot;, &quot;Bima&quot;, &quot;Kushikilia&quot; nk #### Kumbuka kiwango cha kodi unachofafanua hapa kitakuwa kiwango cha kodi ya kila kitu * *. Ikiwa kuna ** Vitu ** vilivyo na viwango tofauti, lazima ziongezwe kwenye meza ya ** ya Item ** ** kwenye ** Item ** bwana. #### Maelezo ya nguzo 1. Aina ya mahesabu: - Hii inaweza kuwa kwenye ** Net Jumla ** (hiyo ni jumla ya kiasi cha msingi). - ** Katika Mstari uliopita Mto / Kiasi ** (kwa kodi za malipo au mashtaka). Ikiwa utichagua chaguo hili, kodi itatumika kama asilimia ya safu ya awali (katika meza ya kodi) kiasi au jumla. - ** Halisi ** (kama ilivyoelezwa). 2. Mkurugenzi wa Akaunti: Mwandishi wa Akaunti chini ya kodi hii itafunguliwa 3. Kituo cha Gharama: Ikiwa kodi / malipo ni mapato (kama meli) au gharama zinahitajika kutumiwa kwenye kituo cha gharama. 4. Maelezo: Maelezo ya kodi (ambayo yatachapishwa katika ankara / quotes). 5. Kiwango: kiwango cha kodi. 6. Kiasi: Kiwango cha Ushuru. 7. Jumla: Jumla ya jumla kwa hatua hii. 8. Ingiza Mstari: Ikiwa msingi wa &quot;Mstari uliopita Uliopita&quot; unaweza kuchagua namba ya mstari ambayo itachukuliwa kama msingi kwa hesabu hii (default ni mstari uliopita). 9. Fikiria kodi au malipo kwa: Katika kifungu hiki unaweza kutaja ikiwa kodi / malipo ni kwa ajili ya hesabu tu (sio sehemu ya jumla) au kwa jumla (haina kuongeza thamani kwa bidhaa) au kwa wote. 10. Ongeza au Deduct: Ikiwa unataka kuongeza au kupunguza kodi."
DocType: Homepage,Homepage,Homepage
DocType: Grant Application,Grant Application Details ,Ruhusu Maelezo ya Maombi
DocType: Employee Separation,Employee Separation,Ugawaji wa Waajiriwa
DocType: BOM Item,Original Item,Nakala ya awali
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Date,Tarehe ya Hati
apps/erpnext/erpnext/education/doctype/program_enrollment/program_enrollment.py,Fee Records Created - {0},Kumbukumbu za ada zilizoundwa - {0}
DocType: Asset Category Account,Asset Category Account,Akaunti ya Jamii ya Mali
apps/erpnext/erpnext/controllers/item_variant.py,The value {0} is already assigned to an exisiting Item {2}.,Thamani {0} tayari imepewa kipengee cha kuuza nje {2}.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Row #{0} (Payment Table): Amount must be positive,Row # {0} (Jedwali la Malipo): Kiasi kinachofaa
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Cannot produce more Item {0} than Sales Order quantity {1},Haiwezi kuzalisha kipengee zaidi {0} kuliko kiasi cha Mauzo ya Mauzo {1}
apps/erpnext/erpnext/accounts/report/gross_and_net_profit_report/gross_and_net_profit_report.py,Nothing is included in gross,Hakuna kilichojumuishwa katika jumla
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill already exists for this document,Mswada wa e-Way tayari uko kwa hati hii
apps/erpnext/erpnext/stock/doctype/item/item.js,Select Attribute Values,Chagua Maadili ya Tabia
DocType: Purchase Invoice,Reason For Issuing document,Sababu ya Kuondoa hati
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Stock Entry {0} is not submitted,Uingiaji wa hisa {0} haujawasilishwa
DocType: Payment Reconciliation,Bank / Cash Account,Akaunti ya Benki / Cash
DocType: Bank Transaction,ACC-BTN-.YYYY.-,ACC-BTN-.YYYY--
apps/erpnext/erpnext/crm/doctype/lead/lead.py,Next Contact By cannot be same as the Lead Email Address,Kuwasiliana Nafuatayo hawezi kuwa sawa na Anwani ya barua pepe
DocType: Tax Rule,Billing City,Mji wa kulipia
apps/erpnext/erpnext/regional/italy/setup.py,Applicable if the company is an Individual or a Proprietorship,Inatumika ikiwa kampuni ni ya Mtu binafsi au Proprietorship
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,Log Type is required for check-ins falling in the shift: {0}.,Aina ya logi inahitajika kwa anguko linaloanguka kwenye mabadiliko: {0}.
DocType: Asset,Manual,Mwongozo
DocType: Tally Migration,Is Master Data Processed,Takwimu za Mwalimu zinasindika
DocType: Salary Component Account,Salary Component Account,Akaunti ya Mshahara wa Mshahara
DocType: Global Defaults,Hide Currency Symbol,Ficha Symbol ya Fedha
apps/erpnext/erpnext/config/non_profit.py,Donor information.,Maelezo ya wafadhili.
apps/erpnext/erpnext/config/accounting.py,"e.g. Bank, Cash, Credit Card","mfano Benki, Fedha, Kadi ya Mikopo"
DocType: Vital Signs,"Normal resting blood pressure in an adult is approximately 120 mmHg systolic, and 80 mmHg diastolic, abbreviated ""120/80 mmHg""","Kupumzika kwa shinikizo la damu kwa mtu mzima ni takribani 120 mmHg systolic, na 80 mmHg diastolic, iliyofupishwa &quot;120/80 mmHg&quot;"
DocType: Journal Entry,Credit Note,Maelezo ya Mikopo
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,Finished Good Item Code,Imekamilika Nambari ya Bidhaa nzuri
apps/erpnext/erpnext/config/desktop.py,Quality,Ubora
DocType: Projects Settings,Ignore Employee Time Overlap,Puuza Muda wa Waajiriwa
DocType: Warranty Claim,Service Address,Anwani ya Huduma
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.js,Import Master Data,Ingiza Takwimu za Mwalimu
DocType: Asset Maintenance Task,Calibration,Calibration
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} is a company holiday,{0} ni likizo ya kampuni
apps/erpnext/erpnext/projects/report/billing_summary.py,Billable Hours,Masaa yanayoweza kulipwa
apps/erpnext/erpnext/patches/v11_0/add_default_email_template_for_leave.py,Leave Status Notification,Acha Arifa ya Hali
DocType: Patient Appointment,Procedure Prescription,Utaratibu wa Dawa
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Furnitures and Fixtures,Furnitures na Marekebisho
DocType: Travel Request,Travel Type,Aina ya Kusafiri
DocType: Purchase Invoice Item,Manufacture,Tengeneza
DocType: Blanket Order,MFG-BLR-.YYYY.-,MFG-BLR -YYYY.-
apps/erpnext/erpnext/utilities/user_progress.py,Setup Company,Kampuni ya Kuweka
,Lab Test Report,Ripoti ya Mtihani wa Lab
DocType: Employee Benefit Application,Employee Benefit Application,Maombi ya Faida ya Wafanyakazi
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.py,Row({0}): {1} is already discounted in {2},Njia ({0}): {1} tayari imepunguzwa katika {2}
apps/erpnext/erpnext/hr/doctype/additional_salary/additional_salary.py,Additional Salary Component Exists.,Vidokezo vya Sehemu ya Mshahara.
DocType: Purchase Invoice,Unregistered,Iliyosajiliwa
DocType: Student Applicant,Application Date,Tarehe ya Maombi
DocType: Salary Component,Amount based on formula,Kiasi kilichowekwa kwenye formula
DocType: Purchase Invoice,Currency and Price List,Orodha ya Fedha na Bei
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Create Maintenance Visit,Unda Ziara ya Matengenezo
DocType: Opportunity,Customer / Lead Name,Wateja / Jina la Kiongozi
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py,Clearance Date not mentioned,Tarehe ya kufuta haijajwajwa
DocType: Payroll Period,Taxable Salary Slabs,Slabs Salary zilizolipwa
apps/erpnext/erpnext/config/manufacturing.py,Production,Uzalishaji
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! The input you've entered doesn't match the format of GSTIN.,GSTIN batili! Uingizaji ambao umeingia haulingani na muundo wa GSTIN.
DocType: Guardian,Occupation,Kazi
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,For Quantity must be less than quantity {0},Kwa Wingi lazima iwe chini ya wingi {0}
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Row {0}:Start Date must be before End Date,Row {0}: tarehe ya mwanzo lazima iwe kabla ya tarehe ya mwisho
DocType: Salary Component,Max Benefit Amount (Yearly),Kiasi cha Faida nyingi (Kila mwaka)
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,TDS Rate %,Kiwango cha TDS%
DocType: Crop,Planting Area,Eneo la Kupanda
apps/erpnext/erpnext/controllers/trends.py,Total(Qty),Jumla (Uchina)
DocType: Installation Note Item,Installed Qty,Uchina uliowekwa
apps/erpnext/erpnext/utilities/user_progress.py,You added ,Uliongeza
,Product Bundle Balance,Mizani ya Sehemu ya Bidhaa
DocType: Purchase Taxes and Charges,Parenttype,Mzazi
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Central Tax,Ushuru wa kati
apps/erpnext/erpnext/hr/doctype/training_event/training_event.js,Training Result,Matokeo ya Mafunzo
DocType: Purchase Invoice,Is Paid,Ni kulipwa
DocType: Salary Structure,Total Earning,Jumla ya Kupata
DocType: Purchase Receipt,Time at which materials were received,Wakati ambapo vifaa vilipokelewa
DocType: Products Settings,Products per Page,Bidhaa kwa Ukurasa
DocType: Stock Ledger Entry,Outgoing Rate,Kiwango cha Kuondoka
apps/erpnext/erpnext/controllers/accounts_controller.py, or ,au
apps/erpnext/erpnext/public/js/purchase_trends_filters.js,Billing Date,Tarehe ya bili
apps/erpnext/erpnext/accounts/utils.py,Allocated amount cannot be negative,Kiasi kilichowekwa haziwezi kuwa hasi
DocType: Sales Order,Billing Status,Hali ya kulipia
apps/erpnext/erpnext/public/js/conf.js,Report an Issue,Ripoti Suala
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","Ikiwa {0} {1} idadi ya bidhaa <b>{2}</b> , mpango <b>{3}</b> utatumika kwenye bidhaa hiyo."
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Utility Expenses,Malipo ya matumizi
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,90-Above,90-juu
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Row #{0}: Journal Entry {1} does not have account {2} or already matched against another voucher,Row # {0}: Kuingia kwa Machapishaji {1} hawana akaunti {2} au tayari kuendana na chaguo jingine
DocType: Supplier Scorecard Criteria,Criteria Weight,Vigezo vya uzito
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Account: {0} is not permitted under Payment Entry,Akaunti: {0} hairuhusiwi chini ya malipo ya Malipo
DocType: Production Plan,Ignore Existing Projected Quantity,Puuza Kiwango Kilichohesabiwa cha Kutarajiwa
apps/erpnext/erpnext/patches/v11_0/add_default_email_template_for_leave.py,Leave Approval Notification,Acha Arifa ya Idhini
DocType: Buying Settings,Default Buying Price List,Orodha ya Bei ya Kichuuzi
DocType: Payroll Entry,Salary Slip Based on Timesheet,Kulipwa kwa Mshahara Kulingana na Timesheet
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Buying Rate,Kiwango cha kununua
apps/erpnext/erpnext/controllers/buying_controller.py,Row {0}: Enter location for the asset item {1},Row {0}: Ingiza mahali kwa kipengee cha mali {1}
DocType: Employee Checkin,Attendance Marked,Mahudhurio Alionyesha
DocType: Request for Quotation,PUR-RFQ-.YYYY.-,PUR-RFQ -YYYY.-
apps/erpnext/erpnext/public/js/hub/pages/Seller.vue,About the Company,Kuhusu Kampuni
apps/erpnext/erpnext/config/settings.py,"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Weka Maadili ya Hifadhi kama Kampuni, Fedha, Sasa Fedha ya Sasa, nk."
DocType: Payment Entry,Payment Type,Aina ya malipo
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Please select a Batch for Item {0}. Unable to find a single batch that fulfills this requirement,Tafadhali chagua Batch kwa Bidhaa {0}. Haiwezi kupata kundi moja linalotimiza mahitaji haya
DocType: Asset Maintenance Log,ACC-AML-.YYYY.-,ACC-AML -YYYY.-
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,No gain or loss in the exchange rate,Hakuna faida au kupoteza kwa kiwango cha ubadilishaji
DocType: Leave Control Panel,Select Employees,Chagua Waajiriwa
DocType: Shopify Settings,Sales Invoice Series,Misaada ya Mauzo ya Mauzo
DocType: Bank Reconciliation,To Date,Mpaka leo
DocType: Opportunity,Potential Sales Deal,Uwezekano wa Mauzo ya Mauzo
DocType: Complaint,Complaints,Malalamiko
DocType: Employee Tax Exemption Declaration,Employee Tax Exemption Declaration,Azimio la Ushuru wa Ushuru wa Wafanyakazi
DocType: Payment Entry,Cheque/Reference Date,Tazama / Tarehe ya Marejeo
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,No Items with Bill of Materials.,Hakuna Vitu na Muswada wa Vifaa.
apps/erpnext/erpnext/portal/doctype/homepage/homepage.js,Customize Homepage Sections,Binafsisha Sehemu za Ukurasa
