Pension Funds,ஓய்வூதிய நிதி
Parent Customer Group,பெற்றோர் வாடிக்கையாளர் குழு
Prices will not be shown if Price List is not set,விலை பட்டியல் அமைக்கப்படவில்லை என்றால் விலைகள் காண்பிக்கப்படாது
ERPNext Settings,ERPNext அமைப்புகள்
Time Sheet for manufacturing.,உற்பத்தி நேரம் தாள்.
Student Language,மாணவர் மொழி
Please set the Payment Schedule,கட்டண அட்டவணை அமைக்கவும்
Name of Organizer,ஆர்கனைசரின் பெயர்
Please set Depreciation related Accounts in Asset Category {0} or Company {1},சொத்து வகையிலோ {0} அல்லது கம்பெனி {1}
Setup cheque dimensions for printing,அச்சிடுவதற்கு செட் செக்யூம் பரிமாணங்கள்
"If you have any questions, please get back to us.","உங்களுக்கு ஏதேனும் கேள்விகள் இருந்தால், தயவுசெய்து எங்களைத் திரும்பப் பெறவும்."
Purchase Receipt {0} is not submitted,கொள்முதல் ரசீது {0} சமர்ப்பிக்கப்படவில்லை
Total Expense Claim (via Expense Claim),மொத்த செலவு கோரிக்கை (செலவினக் கோரிக்கை வழியாக)
Quality Goal,தரமான இலக்கு
Support Portal,ஆதரவு வலைவாசல்
Employee {0} is on Leave on {1},ஊழியர் {0} {1}
Held On,அன்று நடைபெற்ற
Practitioner Schedules,பயிற்சி வகுப்புகள்
Begin On (Days),தொடங்கு (நாட்கள்)
"If enabled, then system will create the material even if the raw materials are available","இயக்கப்பட்டிருந்தால், மூல பொருட்கள் கிடைக்கும்பட்சத்தில் கணினி முறைமைகளை உருவாக்கும்"
Work Order has been {0},வேலை ஆணை {0}
Admission Schedule Date,சேர்க்கை அட்டவணை தேதி
Asset Value Adjustment,சொத்து மதிப்பு சரிசெய்தல்
Supplies made to Unregistered Persons,பதிவுசெய்யப்படாத நபர்களுக்கு வழங்கப்படும் சப்ளை
All Jobs,அனைத்து வேலைகளும்
Appointment Type,நியமனம் வகை
Allow Overtime,மேலதிக நேரத்தை அனுமதிக்கவும்
Available Qty at Warehouse,Warehouse இல் கிடைக்கிறது
Sales Invoice Item,விற்பனை விலைப்பட்டியல் பொருள்
HR,மனிதவள
Assessment Terms,மதிப்பீட்டு விதிமுறைகள்
Carry Forward,முன்னோக்கி எடுத்துச்செல்
Dependent Task,சார்ந்த பணி
Allowed To Transact With,பரிமாற்ற அனுமதி
Become a Seller,ஒரு விற்பனையாளராகுங்கள்
Bank Reconciliation,வங்கி சமரசம்
Types of activities for Time Logs,டைம் பதிவுகள் செயல்பாட்டு வகைகள்
POS Closing Voucher Invoices,POS நிறைவு வவுச்சர் பற்றுச்சீட்டுகள்
AB Negative,AB எதிர்மறை
Budget Detail,பட்ஜெட் விரிவாக
Normal reference range for an adult is 16–20 breaths/minute (RCP 2012),வயது வந்தோருக்கு இயல்பான குறிப்பு வரம்பு 16-20 சுவாசம் / நிமிடம் (RCP 2012)
Sales Orders,விற்பனை ஆணைகள்
Create Journal Entry,ஜர்னல் நுழைவு உருவாக்கவும்
Secured Loans,பாதுகாக்கப்பட்ட கடன்கள்
To Shareholder,பங்குதாரர்
Maintenance Schedule,பராமரிப்பு அட்டவணை
"chapters/chapter_name
leave blank automatically set after saving chapter.","அத்தியாயத்தை சேமித்தபின், அத்தியாயங்கள் / chapter_name தானாகவே அமைக்கப்படும்."
Payment Success Url,பணம் வெற்றி Url
Delivered Amount,வழங்கப்பட்ட தொகை
Min Amt can not be greater than Max Amt,அதிகமான அட் மேக்ஸ் அத்தை விட அதிகமாக இருக்க முடியாது
Salary Structure not found for employee {0} and date {1},ஊழியர் {0} மற்றும் தேதி {1}
Invoice Appointments Automatically,விலைப்பட்டியல் நியமனங்கள் தானாகவே
Please fill in all the details to generate Assessment Result.,மதிப்பீட்டு முடிவுகளை உருவாக்க அனைத்து விவரங்களையும் பூர்த்தி செய்யவும்.
Variance ({}),மாறுபாடு ({})
Patient Name,நோயாளி பெயர்
Your Organization,உங்கள் அமைப்பு
Fulfilment Details,நிறைவேற்று விவரங்கள்
Total Billed Amount (via Sales Invoices),மொத்த பில்ட் தொகை (விற்பனை பற்றுச்சீட்டுகள் வழியாக)
Kg,கிலோ
Appointment cancelled,நியமனம் ரத்துசெய்யப்பட்டது
Reminder Message,நினைவூட்டல் செய்தி
Balance Loan Amount,இருப்பு கடன் தொகை
Manage Sales Person Tree.,விற்பனை நபர் மரம் நிர்வகி.
There are more holidays than working days this month.,இந்த மாத வேலை நாட்களை விட அதிக விடுமுறை நாட்கள் உள்ளன.
Default BOM,இயல்புநிலை BOM
Operating Cost (Company Currency),இயக்க செலவு (கம்பெனி நாணய)
Item Price,பொருள் விலை
Party Name,கட்சி பெயர்
Please select a customer,ஒரு வாடிக்கையாளரைத் தேர்ந்தெடுக்கவும்
Course Intro,பாடநெறி அறிமுகம்
New Program,புதிய திட்டம்
"Number of new Cost Center, it will be included in the cost center name as a prefix","புதிய செலவின மையத்தின் எண்ணிக்கை, அது முன்னுரிமையின் விலை மையப் பெயரில் சேர்க்கப்படும்"
Select the customer or supplier.,வாடிக்கையாளர் அல்லது சப்ளையரைத் தேர்ந்தெடுக்கவும்.
Valid till date cannot be before transaction date,தேதி வரை செல்லுபடியாகும் பரிவர்த்தனை தேதிக்கு முன்பாக இருக்க முடியாது
Cannot deactivate or cancel BOM as it is linked with other BOMs,மற்ற BOM களுடன் இணைந்ததால் BOM ஐ செயலிழக்கச் செய்யவோ அல்லது ரத்து செய்யவோ முடியாது
Place Of Supply (State/UT),வழங்கல் இடம் (மாநிலம் / யூ.டி)
Job Title,வேலை தலைப்பு
Fee Component,கட்டணம் உறுப்பு
C-Form records,C- படிவம் பதிவுகளை
Payment Cancelled. Please check your GoCardless Account for more details,கட்டணம் ரத்து செய்யப்பட்டது. மேலும் விவரங்களுக்கு உங்கள் GoCardless கணக்கைச் சரிபார்க்கவும்
Less than a year,ஒரு வருடத்திற்கும் குறைவாக
Work Order {0} must be submitted,பணி வரிசை {0} சமர்ப்பிக்கப்பட வேண்டும்
Filter Total Zero Qty,மொத்த ஜீரோ Qty வடிகட்டி
Applicant for a Job,ஒரு வேலை விண்ணப்பதாரர்
No records found in the Invoice table,விலைப்பட்டியல் அட்டவணையில் எந்த பதிவும் இல்லை
Chart of Accounts Importer,கணக்கு இறக்குமதியாளரின் விளக்கப்படம்
IGST Amount,IGST தொகை
Delivery Notes {0} updated,டெலிவரி குறிப்புகள் {0} புதுப்பிக்கப்பட்டன
Lodging Required,உறைவிடம் தேவைப்படுகிறது
Total Revenue,மொத்த வருவாய்
Student Group Student,மாணவர் குழு மாணவர்
Buyer of Goods and Services.,பொருட்கள் மற்றும் சேவைகள் வாங்குபவர்.
Vehicle,வாகன
Bonus Amount,போனஸ் தொகை
Amount Difference,தொகை வேறுபாடு
Maintenance Tasks,பராமரிப்பு பணிகள்
Stop Birthday Reminders,பிறந்தநாள் நினைவூட்டல்களை நிறுத்துங்கள்
Payment Account,கட்டண கணக்கு
Stock Frozen Upto,பங்கு உறைந்திருந்தது
Default Material Request Type,இயல்புநிலை பொருள் கோரிக்கை வகை
Clinical Procedure Item,மருத்துவ செயல்முறை பொருள்
Finance Book,நிதி புத்தகம்
From Datetime,தரவுத்தளத்தில் இருந்து
Open Orders,ஆர்டர்களைத் திற
Admit,ஒப்புக்கொள்ள
Total {0} ({1}),மொத்த {0} ({1})
GitHub ID,GitHub ஐடி
From Address 1,முகவரி 1 லிருந்து
Total hours: {0},மொத்த மணி: {0}
Transfer Date,பரிமாற்ற தேதி
Enter name of campaign if source of enquiry is campaign,விசாரணையின் பிரச்சாரம் பிரச்சாரம் என்றால் பிரச்சாரத்தின் பெயரை உள்ளிடவும்
This Item is a Template and cannot be used in transactions. Item attributes will be copied over into the variants unless 'No Copy' is set,இந்த பொருள் ஒரு டெம்ப்ளேட் மற்றும் பரிமாற்றங்களில் பயன்படுத்த முடியாது. &#39;இல்லை நகல்&#39; அமைக்கப்பட்டிருந்தால் உருப்படியின் பண்புக்கூறுகள் மாறுபடும்
Regular,வழக்கமான
Maximum discount for Item {0} is {1}%,உருப்படிக்கு அதிகபட்ச தள்ளுபடி {0} என்பது {1}%
Not Started,துவங்கவில்லை
Treatment Task,சிகிச்சை பணி
Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,ரோ {0}: பயனர் பயன்படுத்தப்படும் இல்லை விதி <b>{1}</b> உருப்படியை <b>{2}</b>
Landed Cost Help,செலவு உதவி உதவியது
Scoring Criteria,மதிப்பீட்டு அளவுகோல்
Matching Invoices,பொருந்தும் பொருள்
Donor Name,நன்கொடைப் பெயர்
Select Property,சொத்து தேர்ந்தெடு
Homepage Section,முகப்பு பகுதி
Grade,தர
Production Plan Material Request,உற்பத்தி திட்டம் பொருள் கோரிக்கை
Send Email,மின்னஞ்சல் அனுப்பு
Retain Sample,மாதிரி வைத்திரு
Row #{0} (Payment Table): Amount must be negative,வரிசை # {0} (கட்டண அட்டவணை): தொகை எதிர்மறையாக இருக்க வேண்டும்
Warehouse wise Item Balance Age and Value,கிடங்கு வாரியாக பொருள் இருப்பு வயது மற்றும் மதிப்பு
The gross weight of the package. Usually net weight + packaging material weight. (for print),தொகுப்பு மொத்த எடை. பொதுவாக நிகர எடை + பேக்கேஜிங் பொருள் எடை. (அச்சிட)
Laboratory Testing Datetime,ஆய்வக சோதனை தரவுத்தளம்
The Item {0} cannot have Batch,பொருள் {0} பாட்ச் இருக்க முடியாது
Sales Pipeline by Stage,ஸ்டேஜ் மூலம் விற்பனை பைப்லைன்
Student Group Strength,மாணவர் குழு வலிமை
Bank Statement Transaction Entry,வங்கி அறிக்கை பரிவர்த்தனை நுழைவு
Get Items from Open Material Requests,திறந்த பொருள் கோரிக்கைகள் இருந்து பொருட்களை பெறவும்
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** நிதி ஆண்டு ** நிதி ஆண்டை குறிக்கிறது. அனைத்து கணக்கியல் உள்ளீடுகளும் மற்றும் பிற முக்கிய பரிவர்த்தனைகளும் ** நிதியாண்டில் ** எதிராக கண்காணிக்கப்படுகின்றன.
Procedure Name,செயல்முறை பெயர்
Add Sales Partners,விற்பனை பங்குதாரர்களைச் சேர்
Qty Total,Qty மொத்தம்
Outstanding,சிறந்த
Employee Tax Exemption Proof Submission,பணியாளர் வரி விலக்கு சான்று சமர்ப்பிப்பு
Requirement,தேவை
No active or default Salary Structure found for employee {0} for the given dates,கொடுக்கப்பட்ட தேதியில் பணியாளர் {0} க்கு செயலில் அல்லது இயல்பான சம்பள கட்டமைப்பு இல்லை
Quantity should be greater than 0,அளவு 0 ஐ விட அதிகமாக இருக்க வேண்டும்
Supplier Quotation Item,சப்ளையர் மேற்கோள் பொருள்
Appraisal Template,மதிப்பீடு வார்ப்புரு
Hub Category to Publish,வெளியிட வகை
Current Openings,தற்போதைய திறப்பு
Customer Database.,வாடிக்கையாளர் தரவுத்தளம்.
As On Date,தேதி அன்று
Delivery Note {0} is not submitted,டெலிவரி குறிப்பு {0} சமர்ப்பிக்கப்படவில்லை
Appraisal Template Goal,மதிப்பீடு டெம்ப்ளேட் கோல்
Closing (Cr),மூடுதல் (க்ராஸ்)
Restaurant Reservation,உணவக முன்பதிவு
Last Order Amount,கடைசி வரிசை தொகை
Learn,அறிய
Multiple default mode of payment is not allowed,கட்டணம் செலுத்திய பல இயல்புநிலை பயன்முறை அனுமதிக்கப்படவில்லை
This will be day 1 of the crop cycle,இது பயிர் சுழற்சியின் நாள் 1 ஆகும்
{0} {1} is not associated with {2} {3},{0} {1} {2} உடன் தொடர்புடையது இல்லை {3}
Expense or Difference account is mandatory for Item {0} as it impacts overall stock value,"பொருள் அல்லது வேறுபாடு கணக்கு, பொருள் {0} க்கு ஒட்டுமொத்த பங்கு மதிப்பை பாதிக்கும் கட்டாயமாகும்"
Price List Exchange Rate,விலை பட்டியல் பரிவர்த்தனை விகிதம்
Amount (Company Currency),தொகை (நிறுவனத்தின் நாணயம்)
Driver,இயக்கி
CGST Account,CGST கணக்கு
Disbursement Date,அனுப்புதல் தேதி
New task,புதிய பணி
Customer Feedback Table,வாடிக்கையாளர் கருத்து அட்டவணை
{0} - {1} is not enrolled in the Course {2},{0} - {1} பாடநெறியில் {2}
Difference Amount,வேறுபாடு தொகை
Cheques and Deposits incorrectly cleared,காசோலைகள் மற்றும் வைப்புக்கள் தவறாக அழிக்கப்பட்டன
Cash Entry,பண நுழைவு
GST Settings,GST அமைப்புகள்
Item-wise Sales Register,பொருள் வாரியாக விற்பனை பதிவு
Item has variants.,உருப்படிக்கு மாறுபாடுகள் உள்ளன.
Difference Amount must be zero,வேறுபாடு தொகை பூஜ்ஜியமாக இருக்க வேண்டும்
Institution,நிறுவனம்
Tobacco Current Use,புகையிலை தற்போதைய பயன்பாடு
Setup your ,அமை
Payment Entry Deduction,கொடுப்பனவு நுழைவுக் கழித்தல்
"Row #{0}: The batch {1} has only {2} qty. Please select another batch which has {3} qty available or split the row into multiple rows, to deliver/issue from multiple batches","வரிசை # {0}: தொகுதி {1} என்பது {2} qty மட்டுமே உள்ளது. {3} qty கிடைத்த மற்றொரு பேட்டைத் தேர்ந்தெடுக்கவும் அல்லது வரிசையை பல வரிசைகளாக பிரித்து, பல தொகுப்புகளிலிருந்து வழங்க / வழங்கவும்"
Procedure,செயல்முறை
Total Stock Summary,மொத்த பங்குச் சுருக்கம்
Additional Discount,கூடுதல் தள்ளுபடி
Patient Name By,மூலம் நோயாளி பெயர்
Rate / UOM,விகிதம் / UOM
Job Offer Terms,வேலை வாய்ப்பு விதிமுறைகள்
Debit Amount in Account Currency,கணக்கு நாணயத்தின் பற்று தொகை
{0} must appear only once,{0} ஒரு முறை மட்டுமே தோன்றும்
Expense / Difference account ({0}) must be a 'Profit or Loss' account,செலவு / வேறுபாடு கணக்கு ({0}) ஒரு &#39;லாபம் அல்லது இழப்பு&#39; கணக்காக இருக்க வேண்டும்
Earnest Money,ஆர்வமுள்ள பணம்
All Supplier scorecards.,எல்லா சப்ளையர் ஸ்கார்கார்டுகளும்.
Terms and Conditions Details,விதிமுறைகள் மற்றும் நிபந்தனை விவரங்கள்
Get Entries,பதிவுகள் கிடைக்கும்
Service Item,சேவை பொருள்
Customer's Purchase Order,வாடிக்கையாளர் கொள்முதல் ஆணை
Syntax error in formula or condition: {0},சூத்திரத்தில் அல்லது நிலையில் தொடரியல் பிழை: {0}
Agriculture User,விவசாயம் பயனர்
Please enter Reqd by Date,தயவுசெய்து தேதியின்படி தேதி சேர்க்கவும்
Total Monthly Sales,மொத்த மாத விற்பனை
Monthly Distribution Percentage,மாதாந்த விநியோகம் சதவீதம்
Reconciliation JSON,மறுபரிசீலனை JSON
No Item with Barcode {0},பார்கோடில் எந்த உருப்படிலும் {0}
Scrapped,கழிக்கப்பட்டு
Delivery Trip,டெலிவரி பயணம்
Application Fee,விண்ணப்ப கட்டணம்
Sales orders are not available for production,விற்பனை ஆர்டர்கள் உற்பத்திக்கு கிடைக்கவில்லை
Attribute,கற்பிதம்
Rename Log,மறுபெயரிடு
'Based On' and 'Group By' can not be same,&#39;அடிப்படையானது&#39; மற்றும் &#39;குழுவால்&#39; ஒரேமாதிரியாக இருக்க முடியாது
Show Ageing Warehouse-wise,வயதான வர்ஹவுஸ்-வளைவைக் காண்பி
Write Off Outstanding Amount,மிகச் சிறந்த தொகை எழுதவும்
Employee Details,பணியாளர் விவரங்கள்
Start Time can't be greater than End Time for {0}.,{0} க்கான முடிவு நேரத்தை விட அதிக நேரம் இருக்க முடியாது.
Discount Amount,தள்ளுபடி தொகை
Item Details,பொருள் விவரங்கள்
Duplicate Tax Declaration of {0} for period {1},{0} காலத்திற்கான நகல் வரி பிரவேசம் {1}
From Delivery Note,டெலிவரி குறிப்பு இருந்து
Holiday,விடுமுறை
Line spacing for amount in words,சொற்களில் அளவுக்கு வரி இடைவெளி
Item Group Defaults,பொருள் குழு இயல்புநிலை
Abbr,abbr
Warranty Claim against Serial No.,தொடர் எண் எதிராக உத்தரவாதத்தை கோரிக்கை
Quality,தர
{0} is not a stock Item,{0} பங்கு பொருள் அல்ல
Raw Materials Supplied Cost,மூல பொருட்கள் வழங்கப்படும் செலவு
Permanent Address,நிரந்தர முகவரி
Booked Fixed Asset,நிலையான சொத்து பதிவு செய்யப்பட்டது
Your tickets,உங்கள் டிக்கெட்
Create Supplier Quotation,சப்ளையர் மேற்கோளை உருவாக்கவும்
Inspection Required before Purchase,வாங்குதல் முன் ஆய்வு தேவைப்படுகிறது
Payment Ordered,கட்டணம் செலுத்தப்பட்டது
"There seems to be an issue with the server's GoCardless configuration. Don't worry, in case of failure, the amount will get refunded to your account.","சேவையகத்தின் GoCardless கட்டமைப்பில் ஒரு சிக்கல் இருக்கிறது. கவலைப்படாதே, தோல்வி ஏற்பட்டால், உங்கள் கணக்கில் பணம் திருப்பிச் செலுத்தப்படும்."
"Payment Mode is not configured. Please check, whether account has been set on Mode of Payments or on POS Profile.",கட்டண முறைமை கட்டமைக்கப்படவில்லை. கணக்கு முறைமை அல்லது POS சுயவிவரத்தில் கணக்கு அமைக்கப்பட்டதா என சரிபார்க்கவும்.
Purchase Orders Items Overdue,வாங்கிய ஆர்டர்கள் பொருட்களை மீட்பது
Inspection Required,ஆய்வு தேவை
{0} {1} is cancelled so the action cannot be completed,"{0} {1} ரத்து செய்யப்பட்டது, எனவே நடவடிக்கை முடிக்கப்படாது"
Project Template Task,திட்ட வார்ப்புரு பணி
Circular Reference Error,சுற்றறிக்கை குறிப்பு பிழை
{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,{0} {1}: &#39;லாபம் மற்றும் இழப்பு&#39; வகை கணக்கு {2} தொடக்க நுழைவில் அனுமதிக்கப்படாது
Cross Listing of Item in multiple groups,பல குழுக்களில் உருப்படியின் குறுக்கு பட்டியல்
Account with existing transaction cannot be converted to ledger,நடப்பு பரிவர்த்தனையுடன் கணக்கு லெட்ஜெர் மாற்றப்பட முடியாது
Display Items In Stock,பங்கு காட்சி பொருட்கள்
Service Level,சேவை நிலை
"Other outward supplies(Nil rated,Exempted)","பிற வெளிப்புற பொருட்கள் (Nil மதிப்பிடப்பட்டது, விலக்கு)"
TDS Payable Monthly,மாதாந்தம் TDS செலுத்த வேண்டும்
Please select Posting Date before selecting Party,கட்சியைத் தேர்ந்தெடுப்பதற்கு முன் தேதியை வெளியிடுக
GST Purchase Register,GST கொள்முதல் பதிவு
Automatically Add Taxes and Charges from Item Tax Template,பொருள் வரி வார்ப்புடனிலிருந்து தானாக வரிகளையும் கட்டணங்களையும் சேர்க்கவும்
Stock Options,பங்கு விருப்பங்கள்
Healthcare Schedule Time Slot,ஹெல்த்கேர் அட்டவணை நேர துளை
Tap items to add them here,"அவற்றை இங்கு சேர்க்க, உருப்படிகளைத் தட்டவும்"
Invoice Portion,விலைப்பட்டியல் பகுதி
Tax Category for overriding tax rates.,வரி விலக்குகளுக்கு வரி வகை.
Retained Earnings,வருவாய் கிடைத்தது
Requested Amount,கோரப்பட்ட தொகை
Additional Amount,கூடுதல் தொகை
Quiz Configuration,வினாடி வினா கட்டமைப்பு
General,பொது
Annual Expenses,வருடாந்திர செலவுகள்
Expected End Date can not be less than Expected Start Date,எதிர்பார்த்த தொடக்க தேதி எதிர்பார்த்ததை விட குறைவாக இருக்க முடியாது
Disable In Words,வார்த்தைகளில் முடக்கவும்
CUST-.YYYY.-,Cust-.YYYY.-
Net pay cannot be negative,நிகர ஊதியம் எதிர்மறையாக இருக்க முடியாது
No of Interactions,தொடர்பு இல்லை
Row {0}# Item {1} cannot be transferred more than {2} against Purchase Order {3},வரிசை {0} # பொருள் {1} கொள்முதல் ஆணை {2} க்கு மேல் {2}
Processing Chart of Accounts and Parties,கணக்குகள் மற்றும் கட்சிகளின் செயல்முறை விளக்கப்படம்
Convert Item Description to Clean HTML,HTML ஐ வடிவமைக்க பொருள் விவரத்தை மாற்றவும்
All Supplier Groups,அனைத்து சப்ளையர் குழுக்கள்
Final Assessment Grades,இறுதி மதிப்பீட்டு தரங்கள்
Cannot close task {0} as its dependant task {1} is not closed.,அதன் சார்பு பணி {1} மூடப்படாமல் பணி 0 {0} மூட முடியாது.
Promotional Scheme Price Discount,ஊக்குவிப்பு திட்டம் விலை தள்ளுபடி
Installation Note,நிறுவல் குறிப்பு
Application Form Route,விண்ணப்ப படிவம் ரூட்
Planned Operating Cost,திட்டமிட்ட இயக்க செலவு
Colour,நிறம்
{0} is not in Optional Holiday List,{0} விருப்ப விடுமுறை பட்டியல் அல்ல
Show Marks,மார்க்ஸ் காட்டு
Max Benefit Amount (Yearly),மேக்ஸ் பெனிஃபிட் தொகை (வருடாந்திர)
Depreciation Row {0}: Next Depreciation Date cannot be before Purchase Date,தேய்மானம் வரிசை {0}: அடுத்த தேதியிட்ட தேதி கொள்முதல் தேதிக்கு முன் இருக்க முடியாது
Customer Group,வாடிக்கையாளர் குழு
Fiscal Year Start Date should be one year earlier than Fiscal Year End Date,நிதியாண்டிற்கான தொடக்க ஆண்டின் ஆண்டிற்கான நிதி ஆண்டின் இறுதி தேதிக்கு ஒரு ஆண்டிற்கு முன்னதாக இருக்க வேண்டும்
BOM Items and Scraps,BOM பொருட்கள் மற்றும் ஸ்கிராப்
High Sensitivity,உயர் உணர்திறன்
Apply Discount on Rate,விகிதம் தள்ளுபடி விண்ணப்பிக்க
"Update BOM cost automatically via Scheduler, based on latest valuation rate / price list rate / last purchase rate of raw materials.","சமீபத்திய மதிப்பீட்டு விகிதம் / விலை பட்டியல் விகிதம் / மூலப்பொருட்களின் கடைசி கொள்முதல் வீதத்தின் அடிப்படையில், திட்டமிடலின் மூலம் தானாக BOM செலவுகளை மேம்படுத்துங்கள்."
Tally Company,டேலி கம்பெனி
Quiz Question,வினா வினா
Task Depends On,பணி சார்ந்தது
Lead Id,முன்னணி ஐடி
Subscription Plan Detail,சந்தா திட்ட விபரம்
Created {0} scorecards for {1} between: ,{0} க்கான {0} ஸ்கோட்கார்டுகளை உருவாக்கியது:
This Week's Summary,இந்த வாரத்தின் சுருக்கம்
Pricing Rule Item Code,விலை விதி பொருள் கோட்
Storage Temperature,சேமிப்பு வெப்பநிலை
Direct Income,நேரடி வருமானம்
Amt,AMT
Sales Analytics,விற்பனை அனலிட்டிக்ஸ்
Total Billable Amount (via Timesheets),மொத்த பில்லிங் தொகை (டைம்ஸ் ஷீட்ஸ் வழியாக)
Domains,களங்கள்
"Not permitted, configure Lab Test Template as required","அனுமதிக்கப்படவில்லை, லேப் டெஸ்ட் வார்ப்புருவை தேவைப்படும் என கட்டமைக்கவும்"
Default Unit of Measure,அளவின் இயல்புநிலை அலகு
Distinct unit of an Item,ஒரு பொருளின் தனித்துவமான அலகு
Synch Products,தயாரிப்புகளை ஒத்திசை
Path,பாதை
Task ID,பணி ஐடி
Opening (Dr),திறக்கிறது (டாக்டர்)
% Completed,% நிறைவு
Commission Rate,கமிஷன் விகிதம்
Central Tax,மத்திய வரி
Total Outstanding Amount,மொத்த நிலுவை தொகை
Maximum Exemption Amount,அதிகபட்ச விலக்கு தொகை
Based on price list,விலை பட்டியலின் அடிப்படையில்
Additional Cost,கூடுதல் செலவு
Closing Account {0} must be of type Liability / Equity,மூடப்பட்ட கணக்கு {0} வகை பொறுப்பு / ஈக்விட்டி இருக்க வேண்டும்
Setup Company,அமைப்பு நிறுவனம்
Check In,சரிபார்க்கவும்
Customer and Supplier,வாடிக்கையாளர் மற்றும் சப்ளையர்
Support Team,ஆதரவு குழு
Account {0}: You can not assign itself as parent account,கணக்கு {0}: நீங்கள் தானாகவே பெற்றோர் கணக்கை ஒதுக்க முடியாது
Fixed Asset Item must be a non-stock item.,நிலையான சொத்து பொருள் ஒரு அல்லாத பங்கு உருப்படியை இருக்க வேண்டும்.
New Batch ID (Optional),புதிய பேட்ச் ஐடி (விருப்பம்)
Gantt Chart,Gantt Chart
Max Benefit Amount,மேக்ஸ் பெனிஃபிட் தொகை
{0} on Leave on {1},{0} மீது {0}
Do you really want to restore this scrapped asset?,இந்த துண்டிக்கப்பட்ட சொத்தை நீங்கள் உண்மையில் மீட்டெடுக்க விரும்புகிறீர்களா?
Registration fee can not be Zero,பதிவு கட்டணம் பூஜ்யமாக இருக்க முடியாது
Item Tax Template,பொருள் வரி டெம்ப்ளேட்
Auto Created,தானாக உருவாக்கப்பட்டது
Quality Objective,தரமான குறிக்கோள்
"The account head under Liability or Equity, in which Profit/Loss will be booked","பொறுப்பு அல்லது ஈக்விட்டி கீழ் கணக்கு தலைவர், இதில் இலாப / இழப்பு பதிவு செய்யப்படும்"
Credit Amount in Account Currency,கணக்கு நாணயத்தின் கடன் தொகை
Employee Onboarding Activity,ஊழியர் மீது நடவடிக்கை எடுப்பது
Parent Service Unit,பெற்றோர் சேவை பிரிவு
Include Payment (POS),கட்டணம் (POS) அடங்கும்
Private Equity,தனியார் பங்கு
Receipt Document,ரசீது ஆவணம்
Supplier Scorecard Period,சப்ளையர் ஸ்கோர் கார்ட் காலம்
Default Salary Structure,இயல்புநிலை சம்பள கட்டமைப்பு
Total Gain/Loss,மொத்த லான் / இழப்பு
Student is already enrolled.,மாணவர் ஏற்கனவே சேர்ந்தார்.
Parent Item,பெற்றோர் பொருள்
Brokerage,தரகு
Please create purchase receipt or purchase invoice for the item {0},உருப்படியை {0} வாங்குவதற்கான ரசீது அல்லது கொள்முதல் விலைப்பட்டியல் உருவாக்கவும்.
Company Name cannot be Company,நிறுவனத்தின் பெயர் இருக்க முடியாது
Breakdown,பிரேக்டவுன்
B Negative,பி நெகட்டிவ்
Response By,மூலம் பதில்
Credit To,கடன்
Submit this Work Order for further processing.,மேலும் செயலாக்கத்திற்கு இந்த பணி ஆணை சமர்ப்பிக்கவும்.
Bank Guarantee Number,வங்கி உத்தரவாத எண்
Delivered: {0},வழங்கப்பட்டது: {0}
Under Review,விமர்சனம் கீழ்
Agriculture (beta),விவசாயம் (பீட்டா)
Average Commission Rate,சராசரி கமிஷன் விகிதம்
Customer's Purchase Order Date,வாடிக்கையாளர் கொள்முதல் ஆர்டர் தேதி
All Contacts.,எல்லா தொடர்புகளும்.
Used Leaves,பயன்படுத்திய இலைகள்
The field From Shareholder cannot be blank,பங்குதாரர் துறையில் இருந்து வெற்று இருக்க முடியாது
Brand Defaults,பிராண்ட் தவறுகள்
Depends on Tasks,பணிகள் சார்ந்தவை
Healthcare Settings,சுகாதார அமைப்புகள்
{0} Student Groups created.,{0} மாணவர் குழுக்கள் உருவாக்கப்பட்டது.
Register,பதிவு
"This warehouse will be used to create Sale Orders. The fallback warehouse is ""Stores"".",விற்பனைக் கட்டளைகளை உருவாக்க இந்த கிடங்கு பயன்படும். குறைவடையாத கிடங்கு என்பது &quot;ஸ்டோர்ஸ்&quot; ஆகும்.
Oil Change,எண்ணெய் மாற்றம்
Project User,திட்ட பயனர்
Assessment,மதிப்பீடு
Price Discount Slabs,விலை தள்ளுபடி அடுக்குகள்
New Customers,புதிய வாடிக்கையாளர்கள்
Total Expense Claim (via Expense Claims),மொத்த செலவுக் கோரிக்கை (செலவுகள் உரிமைகோரல்கள் வழியாக)
Other Details,வேறு தகவல்கள்
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,"பங்கு பரிவர்த்தனைக்குப் பிறகு காரணிகள் மாற்ற முடியாது. ஒரு புதிய உருப்படியை உருவாக்கவும், புதிய பொருளுக்கு பங்குகளை பரிமாற்றவும்"
Employees HTML,ஊழியர்கள் HTML
Stop users from making Leave Applications on following days.,பின்வரும் நாட்களில் விடுப்பு பயன்பாடுகள் செய்து பயனர்கள் நிறுத்து.
Ignore,புறக்கணி
