Pension Funds,Пенсійні фонди
All Contacts.,Усі контакти.
Used Leaves,"Листя, що використовуються"
The field From Shareholder cannot be blank,Поле From Shareholder не може бути порожнім
Brand Defaults,За замовчуванням брендів
Depends on Tasks,Залежить від завдань
Healthcare Settings,Параметри охорони здоров&#39;я
{0} Student Groups created.,{0} Створено групи студентів.
Register,Реєстрація
"This warehouse will be used to create Sale Orders. The fallback warehouse is ""Stores"".",Цей склад буде використовуватися для створення замовлень на продаж. Запасний склад - це &quot;Магазини&quot;.
Oil Change,Зміна нафти
Project User,Користувач проекту
Assessment,Оцінка
Price Discount Slabs,Ціна плити зі знижкою
New Customers,Нові клієнти
Total Expense Claim (via Expense Claims),Загальна сума вимог щодо витрат (через вимоги щодо витрат)
Other Details,Інші деталі
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,Неможливо змінити атрибути після операції з акціями. Зробіть новий елемент і перенесіть запас на новий елемент
Employees HTML,Працівники HTML
Stop users from making Leave Applications on following days.,Заборонити користувачам залишати програми &quot;Залишити&quot; у наступні дні.
Ignore,Ігнорувати
Sales Person Target Variance Based On Item Group,Продавець цільової дисперсії на основі групи товарів
Current Academic Year,Поточний навчальний рік
Submit/Reconcile Payments,Надіслати / узгодити платежі
Set Advances and Allocate (FIFO),Встановити аванси та виділити (FIFO)
Item to be manufactured or repacked,Елемент для виготовлення або перепакування
New Cart,Нова кошик
MAT-PRE-.YYYY.-,MAT-PRE-.YYYY.-
Please select Sample Retention Warehouse in Stock Settings first,Спочатку виберіть &quot;Зразок зберігання зразка&quot; в налаштуваннях запасів
Result Format,Формат результату
Heads (or groups) against which Accounting Entries are made and balances are maintained.,"Керівники (або групи), щодо яких здійснюються облікові записи та зберігаються залишки."
Material Request used to make this Stock Entry,"Матеріальний запит, що використовується для внесення цього запасу"
Link to material requests,Посилання на матеріальні запити
Unsecured Loans,Незабезпечені кредити
Add Customers,Додати користувачів
Default Finished Goods Warehouse,Склад готової продукції за промовчанням
Grant Description,Опис гранту
"Weight is mentioned,\nPlease mention ""Weight UOM"" too",Зверніть увагу на &quot;Вага UOM&quot;
{0} {1} is disabled,{0} {1} вимкнено
Contract Period,Період контракту
Please enter Item Code to get Batch Number,"Введіть код товару, щоб отримати номер пакета"
Is Working Capital,Є оборотним капіталом
Missing email template for dispatch. Please set one in Delivery Settings.,Відсутній шаблон електронної пошти для відправки. Установіть один у налаштуваннях доставки.
MAT-PAC-.YYYY.-,MAT-PAC-.YYYY.-
"Scorecard variables can be used, as well as:
{total_score} (the total score from that period),
{period_number} (the number of periods to present day)
","Можна використовувати змінні системи показників, а також: {total_score} (загальна сума балів за цей період), {number_number} (кількість періодів до цього дня)"
Value Or Qty,Значення або кількість
Please register the SIREN number in the company information file,"Будь ласка, зареєструйте номер SIREN у інформаційному файлі компанії"
Check this to enable a scheduled Daily synchronization routine via scheduler,"Позначте цей пункт, щоб увімкнути запланований порядок денної синхронізації за допомогою планувальника"
Declarations,Декларації
Backflush Raw Materials Based On,"Сировина, що базується на зворотному вимиванні"
Distance from top edge,Відстань від верхнього краю
Job Description,Описання роботи
"Can not filter based on Voucher No, if grouped by Voucher","Неможливо фільтрувати на основі Ваучера No, якщо групується за ваучером"
Received and Accepted,Отримано та прийнято
Negative Valuation Rate is not allowed,Від&#39;ємний коефіцієнт оцінки не дозволений
"The user that will be used to create Customers, Items and Sales Orders. This user should have the relevant permissions.","Користувач, який буде використовуватися для створення клієнтів, елементів і замовлень на купівлю. Цей користувач повинен мати відповідні дозволи."
Create Purchase Order,Створити замовлення на купівлю
Define budget for a financial year.,Визначте бюджет на фінансовий рік.
Accounts table cannot be blank.,Таблиця облікових записів не може бути порожньою.
Payment Period Based On Invoice Date,Період платежу на основі дати рахунку-фактури
Installation date cannot be before delivery date for Item {0},Дата встановлення не може бути до дати поставки для елемента {0}
Link to Material Request,Посилання на запит матеріалу
From Company,Від компанії
Mapped Data Type,Тип зіставлених даних
Row {0}: An Reorder entry already exists for this warehouse {1},Рядок {0}: запис про зміну порядку вже існує для цього складу {1}
Doc Date,Дата документа
Distribution Name,Назва розподілу
Group to Non-Group,"Групувати до групи, яка не є групою"
Update in progress. It might take a while.,Триває оновлення. Це може зайняти деякий час.
"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","Приклад: ABCD. ##### Якщо серія встановлена і серійний номер не згадується в транзакціях, то автоматичний серійний номер буде створено на основі цієї серії. Якщо ви завжди хочете чітко вказати серійні номери для цього елемента. залиште це поле порожнім."
Stock Entry (Outward GIT),Запис акцій (зовнішня GIT)
Processing Party Addresses,Обробка адрес партії
Delivery Note Required,Потрібна нотатка про доставку
Sales Partner,Партнер з продажу
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Бухгалтерський запис, заморожений до цієї дати, ніхто не може робити / змінювати, окрім ролі, зазначеної нижче."
Fuel Qty,Кількість палива
Guardian1 Mobile No,Guardian1 Мобільний Ні
Disbursed,Виплачено
Net Change in Accounts Payable,Чисті зміни кредиторської заборгованості
Not Available,Недоступний
Part-time,Неповний робочий день
Delivery,Доставка
Student Group Creation Tool Course,Інструмент для створення студентської групи
Allocated amount cannot be greater than unadjusted amount,Розподілена сума не може бути більшою за нескорректированную суму
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Дистриб&#39;ютор третіх сторін / дилер / комісійний агент / філія / реселлер, який продає товари компанії за комісію."
Original Item,Оригінальний елемент
Series is mandatory,Серія є обов&#39;язковою
Potential opportunities for selling.,Потенційні можливості для продажу.
Show PDC in Print,Показати PDC у друку
Shopify Supplier,Shopify Постачальник
POS Profile User,Користувач профілю POS
Middle Name,Прізвище
Sales Person Name,Ім&#39;я продавця
Gross Weight,Вага брутто
Bill No,Рахунок №
New Location,Нове місцезнаходження
Project wise Stock Tracking,Проект мудрий відстеження запасів
HR-VLOG-.YYYY.-,HR-VLOG-.YYYY.-
A+,A +
Service Level Agreement,Угода про рівень обслуговування
Please select Employee and Date first,Спочатку виберіть Співробітник і Дата
Item valuation rate is recalculated considering landed cost voucher amount,Ставка оцінки позиції перераховується з урахуванням суми ваучера земельної вартості
Employee Detail,Деталь працівника
Vouchers,Ваучери
Guardian Details,Деталі охоронця
eg: frappe.myshopify.com,наприклад: frappe.myshopify.com
"Email Address must be unique, already exists for {0}","Адреса електронної пошти має бути унікальною, вона вже існує для {0}"
Match Payments with Invoices,Зібрати платежі з рахунками-фактурами
Weekly Off,Тижневий Вимк
Not allow to set alternative item for the item {0},Не дозволяти встановлювати альтернативний елемент для елемента {0}
Program {0} does not exist.,Програма {0} не існує.
You cannot edit root node.,Не можна редагувати кореневий вузол.
Student Category,Категорія студента
"Item {0}: {1} qty produced, ","Елемент {0}: {1} вироблено,"
Identification Document Type,Тип документа ідентифікації
Insufficient Stock,Недостатній запас
Row {0}: Conversion Factor is mandatory,Рядок {0}: коефіцієнт перетворення є обов&#39;язковим
Purchase Receipt Required,Потрібно отримати підтвердження придбання
BOM Rate,Частота специфікацій
Invalid GSTIN! The check digit validation has failed. ,Недійсний GSTIN! Перевірка цифри перевірки не вдалася.
Max working hours against Timesheet,Максимальний робочий час від розкладу
Include holidays in Total no. of Working Days,Включіть свята в загальну кількість. робочих днів
Quality Meeting,Зустріч з якістю
Consulting,Консалтинг
Default Payment Request Message,Повідомлення про запит за умовчанням
GSTIN Email Sent On,Надіслано електронну пошту GSTIN
Enable Scheduled Synch,Увімкнути синхронізацію за розкладом
Please select Employee,Виберіть співробітника
"If checked, a customer will be created, mapped to Patient.
Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.","Якщо буде позначено цей пункт, клієнт буде створено, підключено до пацієнта. Рахунки для пацієнтів будуть створені проти цього Замовника. Ви також можете вибрати існуючого клієнта під час створення пацієнта."
Stock User,Користувач акцій
Service Level Agreement.,Угода про рівень обслуговування.
Date on which this component is applied,"Дата, до якої застосовується цей компонент"
List of available Shareholders with folio numbers,Список доступних акціонерів з номерами фоліо
Setup Gateway accounts.,Налаштування облікових записів шлюзу.
Response Time Period,Період часу відповіді
Purchase Taxes and Charges,Купівля податків і зборів
Activity Date,Дата діяльності
Select or add new customer,Виберіть або додайте нового клієнта
Unfulfilled,Невиконано
Read blog,Читайте блог
Project Value,Вартість проекту
Expected Time (in hours),Очікуваний час (у годинах)
Updating Variants...,Оновлення варіантів ...
Show Sales Person in Print,Показувати торгового агента в друкованому вигляді
Per Year,В рік
Admitted Datetime,Допущений Datetime
Tax Template is mandatory.,Шаблон податку є обов&#39;язковим.
Patient,Пацієнт
Costing Amount,Сума калькуляції
Add / Edit Prices,Додати / змінити ціни
Non-GST outward supplies,Постачання поза межами GST
Row {0}: From time must be less than to time,Рядок {0}: Від часу має бути менше часу
User {0} is already assigned to Employee {1},Користувач {0} вже призначений співробітнику {1}
Form View,Перегляд форми
Auto Repeat Section,Секція автоматичного повторення
Select company name first.,Спочатку виберіть назву компанії.
Financial Year,Фінансовий рік
Deferred Revenue,Відкладений дохід
Atleast one of the Selling or Buying must be selected,Принаймні одна з опцій продажу або купівлі повинна бути обрана
Item-wise Purchase History,Елемент-Мудрий Історія покупки
Cannot change Service Stop Date for item in row {0},Неможливо змінити дату зупинки служби для рядка {0}
Include Subcontracted Items,Включіть елементи субпідряду
Max Benefits (Amount),Максимальні переваги (сума)
Hero Section,Розділ Герой
Where manufacturing operations are carried.,Де здійснюються виробничі операції.
Dispatch Notification,Повідомлення про відправлення
Timesheets,Розклади
Get current stock,Отримати поточний запас
Expense,Витрати
{0} asset cannot be transferred,Не можна передати {0} актив
Unpaid Expense Claim,Неоплачена претензія на витрати
Family Background,Сімейні обставини
Bonus Payment Date cannot be a past date,Дата отримання бонусу не може бути минулою датою
No {0} found for Inter Company Transactions.,Не знайдено {0} для операцій між компаніями.
Party Type,Тип партії
Finish,Завершити
C-Form Applicable,"С-форма, що застосовується"
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Баланс облікового запису вже в Дебет, ви не можете встановити &quot;Баланс повинен бути&quot; як &quot;Кредит&quot;"
Row #{0}: Qty increased by 1,Рядок # {0}: Кількість збільшена на 1
Set targets Item Group-wise for this Sales Person.,Встановіть цілі Елемент Груповий для цього Продавця.
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-
Student Mobile Number,Мобільний номер студента
Academic Year: ,Навчальний рік:
Please set Naming Series for {0} via Setup &gt; Settings &gt; Naming Series,Установіть Серія імен для {0} за допомогою пункту Налаштування&gt; Налаштування&gt; Серії назв
"As per the Buying Settings if Purchase Order Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Order first for item {0}","Відповідно до налаштувань купівлі, якщо потрібно надати замовлення на купівлю == &quot;ТАК&quot;, тоді для створення рахунку-фактури потрібно спочатку створити замовлення на купівлю для елемента {0}"
To Value,Оцінювати
Please add the account to root level Company - ,Додайте обліковий запис до кореневого рівня Компанія -
Number of Days in Fiscal Year,Кількість днів у фінансовому році
Total Amount Currency,Загальна валюта суми
Allow Same Item Multiple Times,Дозволити одне і те саме кілька разів
Create BOM,Створити специфікацію
Charges,Збори
Personal Details,Особиста інформація
Billing and Delivery Status,Стан оплати та доставки
Row {0}: For supplier {0} Email Address is required to send email,Рядок {0}: Для постачальника {0} Адреса електронної пошти потрібна для надсилання електронної пошти
Cash Flow from Investing,Грошовий потік від інвестування
Approving Role cannot be same as role the rule is Applicable To,"Затвердження Ролі не може бути таким же, як роль, що застосовується Правилом"
Crop Spacing,Інтервал обтинання
How often should project and company be updated based on Sales Transactions.,Як часто потрібно оновлювати проект і компанію на основі операцій з продажу.
Period Settings,Налаштування періоду
Net Change in Accounts Receivable,Чиста зміна дебіторської заборгованості
For Quantity must be greater than zero,Для кількості повинна бути більше нуля
Goal Objectives,Цілі цілі
"There are inconsistencies between the rate, no of shares and the amount calculated","Існують невідповідності між курсом, без акцій і розрахованою сумою"
Leave blank if you make students groups per year,"Залиште порожнім, якщо ви робите групи студентів на рік"
Loans (Liabilities),Кредити (зобов&#39;язання)
Send Grant Review Email,Надіслати електронну пошту для перегляду гранту
GSTR3B-Form,GSTR3B-Форма
Produced Qty,Вироблена кількість
Journal Entry,Запис у журналі
Purchase Receipt No,Квитанція про придбання
From Date {0} cannot be before employee's joining Date {1},Від дати {0} не може бути до дати приєднання до співробітника {1}
Debit Note,Дебетова нотатка
Is this Tax included in Basic Rate?,Чи включено цей податок до базової ставки?
Purchased,Придбано
Rate at which Price list currency is converted to company's base currency,"Ставка, за якою валюта прайс-листа перетворюється в базову валюту компанії"
View Fees Records,Переглянути записи про плату
Theory,Теорія
Create Quotation,Створити пропозицію
Row #{0}: Journal Entry {1} does not have account {2} or already matched against another voucher,Рядок # {0}: запис журналу {1} не має облікового запису {2} або вже співпав з іншим ваучером
Create a new Customer,Створіть нового клієнта
BOM Website Operation,Операція на веб-сайті BOM
Invoice/Journal Entry Details,Подробиці рахунка-фактури / журналу
Share Balance,Доля балансу
Period Closing Entry,Закриття періоду
Purchase Price List,Перелік цін на придбання
Party User,Користувач партії
Restaurant Order Entry,Запис на замовлення ресторану
"Serialized Item {0} cannot be updated using Stock Reconciliation, please use Stock Entry",Послідовний елемент {0} не може бути оновлений за допомогою узгодження запасів
Time Slots,Слоти часу
Select at least one value from each of the attributes.,Виберіть принаймні одне значення з кожного атрибута.
Bank Draft,Банківський чек
Send regular summary reports via Email.,Надсилайте регулярні підсумкові звіти за допомогою електронної пошти.
Step,Крок
Result Value,Значення результату
Is Income Tax Liability,Відповідальність по податку на прибуток
Inpatient Visit Charge Item,Елемент платного переходу в стаціонар
{0} {1} does not exist.,{0} {1} не існує.
Update Response,Оновити відповідь
Supplier,Постачальник
Enter value betweeen {0} and {1},Введіть значення між {0} і {1}
Order Confirmation Date,Дата підтвердження замовлення
Calculate Estimated Arrival Times,Розрахунок розрахункового часу прибуття
Consumable,Споживана
EDU-INS-.YYYY.-,EDU-INS-.YYYY.-
Subscription Start Date,Дата початку підписки
Woocommerce Server URL,URL-адреса сервера Woocommerce
Number Of Employees,Кількість працівників
{0} field is limited to size {1},Поле {0} обмежено розміром {1}
This {0} conflicts with {1} for {2} {3},Ці {0} конфлікти з {1} для {2} {3}
Value Proposition,Значення пропозиції
Contact Email,Контактна електронна пошта
Cannot set authorization on basis of Discount for {0},Неможливо встановити авторизацію на основі знижки на {0}
Work From Home,Працювати вдома
Row {0}: From Time and To Time is mandatory.,Рядок {0}: Від часу та до часу є обов&#39;язковим.
Supplier Id,Ідентифікатор постачальника
Invoice can't be made for zero billing hour,Рахунок-фактура не може бути здійснений за нульову годину виставлення рахунку
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Залишити не можна до {0}, оскільки залишок залишків вже перенесено в записі про подальше виділення відпусток {1}"
Last Order Date,Дата останнього замовлення
Course: ,Курс:
Dispatch,Відправка
Installation Note Item,Примітка щодо встановлення
Journal Entry Account,Обліковий запис журналу
Variant,Варіант
Forum Activity,Діяльність форуму
Resolution Time Period,Період часу дозволу
Supplier Detail,Деталь постачальника
View Task,Переглянути завдання
Purchase / Manufacture Details,Деталі купівлі / виробництва
Book Asset Depreciation Entry Automatically,Автоматично заповнюйте запис амортизації активів
Operation completed for how many finished goods?,Операцію завершено на скільки готової продукції?
Employee name and designation in print,Ім&#39;я працівника та його позначення у друкованому вигляді
Is Day Book Data Processed,Оброблено дані про книгу дня
Courses,Курси
Update stock must be enable for the purchase invoice {0},Необхідно ввімкнути оновлення запасу для рахунку-фактури покупки {0}
Employee Boarding Activity,Діяльність інтернатних працівників
Warehouse {0} does not belong to company {1},Склад {0} не належить компанії {1}
"If disable, 'In Words' field will not be visible in any transaction","Якщо його вимкнути, поле &quot;In Words&quot; не буде видно в жодній транзакції"
Allocated,Виділено
Time to send,Час відправки
Bloated,Роздутий
Order Type,Тип замовлення
Period Start Date,Дата початку періоду
Generate Schedule,Створити розклад
Opening Value,Відкриття значення
Additional Salary,Додаткова зарплата
Repayment Method,Метод погашення
Cost of various activities,Вартість різних видів діяльності
Mins to First Response,Мін. До першої відповіді
Patient Age,Вік пацієнта
Investigations,Дослідження
Office Equipments,Офісне обладнання
"LocalStorage is full , did not save","LocalStorage є повним, не зберігає"
Items for Raw Material Request,Елементи для запиту на сировину
Select Item (optional),Виберіть елемент (необов&#39;язково)
Parent Item {0} must not be a Stock Item,Батьківський елемент {0} не повинен бути елементом запасу
Against Stock Entry,Проти вступу в акції
Fetch exploded BOM (including sub-assemblies),Отримання видобутої специфікації (включаючи під-збірки)
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-
Loan Application,Кредитна заявка
For Job Card,Для карток роботи
Process Master Data,Основні дані процесу
Is Account Payable,Це кредиторська заборгованість
Total Order Value,Загальна вартість замовлення
Supplier {0} not found in {1},Постачальник {0} не знайдено у {1}
Setup SMS gateway settings,Налаштування параметрів шлюзу SMS
Root cannot have a parent cost center,Кореневий центр не може мати батьківського місця виникнення витрат
Allow Appointments,Дозволити зустрічі
Show Operations,Показати операції
Practitioner Schedule,Розклад практикуючих
Calibration,Калібрування
Apply On,Застосувати до
Close Balance Sheet and book Profit or Loss.,Закрийте баланс і забронюйте прибуток або збиток.
Provide Email Address registered in company,"Надайте адресу електронної пошти, зареєстровану в компанії"
Alternative Item Name,Альтернативна назва елемента
Course,Курс
Patient Details,Інформація про пацієнта
Employee Separation,Розділення працівників
Debtors,Боржники
Mapped Items,Зібрані елементи
Department (optional),Відділ (необов&#39;язково)
Task Type,Тип завдання
Debit A/C Number,Номер дебітного кондиціонера
Total Billed Amount,Загальна сума рахунку
Due / Reference Date cannot be after {0},Дата заборгованості / посилання не може бути після {0}
Add unused leaves from previous allocations,Додайте невикористані листи з попередніх виділень
New Company,Нова компанія
Commission Rate (%),Комісія за комісію (%)
Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,Склад можна змінити тільки через запис про вхід / видачу акції / квитанцію про придбання
Close Issue After Days,Закрити випуск після днів
Payment Schedule,Графік платежів
Spouse,Дружина
Reason For Putting On Hold,Причина утримання
Increment,Інкремент
Cuts,Скорочення
LMS Only,Тільки LMS
Show Contact Us Button,Кнопка &quot;Показати контакт&quot;
Add Employees,Додати співробітників
Holidays,Свята
Chapter Head,Глава глави
Not permitted. Please disable the Test Template,Не дозволено. Вимкніть шаблон тестування
No Show,Немає шоу
Selling Amount,Сума продажу
AWS Access Key ID,ID ключа доступу AWS
{0} {1} is not present in the parent company,{0} {1} не присутній у головній компанії
To Date cannot be before From Date,Дата не може бути до дати від дати
Add Suppliers,Додати постачальників
Summary for this month and pending activities,Підсумок цього місяця та очікувані дії
Mode of Transport,Режим транспорту
Gross Pay - Total Deduction - Loan Repayment,Валовий виплату - загальний відрахування - погашення кредиту
Posting Date cannot be future date,Дата публікації не може бути майбутньою датою
Work Order Stock Report,Звіт про запаси робіт
Enable / disable currencies.,Увімкнення / вимкнення валют.
View in Cart,Переглянути в кошику
Fetch based on FIFO,Вибірка на основі FIFO
Total Billable Amount,"Загальна сума, що підлягає сплаті"
Material Request of maximum {0} can be made for Item {1} against Sales Order {2},Матеріальний запит максимальної {0} може бути зроблений для елемента {1} проти замовлення клієнта {2}
Production Item,Виробничий елемент
Equity/Liability Account,Рахунок власних коштів / відповідальності
No values,Немає значень
Cancel the journal entry {0} first,Спершу скасуйте запис журналу {0}
Remarks,Зауваження
Row {0}: Advance against Supplier must be debit,Рядок {0}: Аванс проти Постачальника повинен бути дебетовим
Attended by Parents,Присутні батьки
Update Stock,Оновлення запасу
Old Parent,Старий батько
Download Materials Required,Завантажити необхідні матеріали
Another Period Closing Entry {0} has been made after {1},Після {1} було зроблено інший запис закриття періоду {0}
Item Template,Шаблон елемента
Discount on Price List Rate (%),Знижка на ціну списку (%)
Abbreviation is mandatory,Абревіатура є обов&#39;язковою
Domestic,Вітчизняні
SO Qty,SO Qty
Pick/Drop by Guardian,Вибрати / відпустити на Guardian
Balance In Base Currency,Баланс у базовій валюті
All Products or Services.,Усі продукти або послуги.
Brake Pad,Гальмівна колодка
Max Amt,Макс
Show Stock Availability,Показати доступність запасу
Hotel Room Pricing Item,Ціни на номер в готелі
Pending Review,Очікує на розгляд
Date of Joining,Дата приєднання
Patient Relation,Відношення до пацієнта
For Selling,Для продажу
Cash Flow from Financing,Грошовий потік від фінансування
Manufacturing,Виробництво
By {0},До {0}
Restaurant Manager,Менеджер ресторану
Out Value,Out Value
Availability and Skills,Наявність і навички
Advance Account,Авансовий рахунок
Invoices with no Place Of Supply,Рахунки-фактури без місця постачання
Ref,Ref
Loan End Date,Дата завершення позики
Quantity in row {0} ({1}) must be same as manufactured quantity {2},"Кількість в рядку {0} ({1}) повинна бути такою ж, як виготовлена кількість {2}"
Commercial,Комерційний
Bank Account No.,Номер банківського рахунку
Advance amount cannot be greater than {0} {1},Сума авансу не може перевищувати {0} {1}
Width of amount in word,Ширина у слові
MAT-DN-.YYYY.-,MAT-DN-.YYYY.-
Assign Salary Structure,Призначення структури заробітної плати
Stock Entry Type,Тип запису на складі
Responsible,Відповідальний
Room Number,Номер кімнати
Select Fiscal Year...,Виберіть фінансовий рік ...
Trial Balance,Пробний баланс
Employee Transfer cannot be submitted before Transfer Date ,Передача працівників не може бути подана до дати переказу
Grading Scale Name,Назва шкали оцінювання
Area UOM,Площа UOM
Total Costing Amount,Сума загальної вартості
Material Issue,Випуск матеріалу
Item Image (if not slideshow),Зображення елемента (якщо не показувати слайд-шоу)
Is Company,Є компанією
Update latest price in all BOMs,Оновлення останньої ціни у всіх специфікаціях
Messages greater than 160 characters will be split into multiple messages,Повідомлення більше 160 символів будуть розділені на кілька повідомлень
Salary Slip submitted for period from {0} to {1},Нарахування заробітної плати подано за період від {0} до {1}
Project-wise data is not available for Quotation,Проектні дані недоступні для пропозиції
Total Outstanding Amt,Загальний залишок заборгованості
Item Tax Rate,Ставка податку
Planned Quantity,Планова кількість
Retention Stock Entry,Вхід у запасний склад
In Words (Export) will be visible once you save the Delivery Note.,"У словах (Експорт) буде видно, коли ви збережете Примітку про доставку."
Each Transaction,Кожна транзакція
Institute's Bus,Автобус Інституту
Please select the Company first,Спочатку виберіть компанію
Attendance for employee {0} is already marked for this day,Відвідування для співробітника {0} вже відзначено для цього дня
Opening,Відкриття
Detected Disease,Виявлена хвороба
{0} ({1}) cannot be greater than planned quanitity ({2}) in Production Order {3},{0} ({1}) не може перевищувати заплановану величину ({2}) у виробничому замовленні {3}
Stock Queue (FIFO),Черга запасу (FIFO)
Please enter 'Is Subcontracted' as Yes or No,"Будь ласка, введіть &quot;Чи є субпідряд&quot; як &quot;Так&quot; або &quot;Ні&quot;"
Default Holiday List,Стандартний список відпусток
Current Value,Поточне значення
"Seasonality for setting budgets, targets etc.","Сезонність для встановлення бюджетів, цілей тощо"
Program Code,Код програми
Warning: Sales Order {0} already exists against Customer's Purchase Order {1},Попередження: замовлення на купівлю-продажу {0} вже існує для замовлення клієнта {1}
Monthly Sales Target (,Щомісячна мета продажу (
Guardian Interests,Інтереси опікунів
Batch ID is mandatory,Ідентифікатор партії є обов&#39;язковим
Allow over delivery or receipt upto this percent,Дозвольте над доставкою або отриманням до цього відсотка
Paid Amount (Company Currency),Виплачена сума (валюта компанії)
Shipping Rule Condition,Умова правила доставки
Required for Employee Creation,Потрібно для створення працівників
Loyalty Point Entry Redemption,Викуп пункту лояльності
Cover Letter,Супровідний лист
Chart Preview,Попередній перегляд діаграми
Item Quality Inspection Parameter,Параметр перевірки якості виробу
Get Started Sections,Розпочати розділи
% of materials delivered against this Delivery Note,"% матеріалів, поставлених за цією Накладною"
Warranty / AMC Status,Статус гарантії / AMC
Gram,Грам
Allocated amount cannot be negative,Виділена сума не може бути від&#39;ємною
Item Groups,Групи елементів
Customer LPO No.,Замовник LPO №
Company Name,Назва компанії
To Address 1,До адреси 1
Purchase Receipt Trends,Тенденції отримання чеків
Leave Block List Dates,Залиште Дати списку блоків
Student {0} exist against student applicant {1},Студент {0} існує проти заявника студента {1}
LMS Settings,Налаштування LMS
Titles for print templates e.g. Proforma Invoice.,"Заголовки для шаблонів друку, наприклад, рахунок-проформа."
Delivery Time,Час доставки
Repayment Period in Months,Період погашення в місяцях
Transporter ID,ID транспортера
Price List master.,Прайс-лист майстра.
The first Expense Approver in the list will be set as the default Expense Approver.,Перший затверджувач витрат у списку буде встановлений як затверджувач витрат за промовчанням.
Advertising,Реклама
Customer or Item,Клієнт або предмет
Invoice Ref,Рахунок-фактура Ref
C-form is not applicable for Invoice: {0},C-форма не застосовується до рахунку-фактури: {0}
Invoice Created,Рахунок створено
Review Details,Деталі огляду
Row {0}: Hours value must be greater than zero.,Рядок {0}: Значення годин має бути більше нуля.
Account Number,Номер рахунку
Assessment Result Detail,Деталізація результату оцінки
"To allow over-billing or over-ordering, update ""Allowance"" in Stock Settings or the Item.","Щоб дозволити надмірне виставлення рахунків або надмірне замовлення, оновіть &quot;Дозвіл&quot; у налаштуваннях запасів або елемента."
Auto close Issue after 7 days,Автоматичне закриття Випуск після 7 днів
Is Frozen,Заморожений
Total weightage assigned should be 100%. It is {0},Загальна присвоєна вага ваги повинна бути 100%. Це {0}
"Applicable if the company is SpA, SApA or SRL","Застосовується, якщо компанією є SpA, SApA або SRL"
Overlapping conditions found between:,Перекриваються умови між:
Paid and Not Delivered,Платні та не доставлені
Item Code is mandatory because Item is not automatically numbered,"Код елемента є обов&#39;язковим, оскільки елемент не пронумерований автоматично"
HSN Code,Код HSN
September,Вересень
Administrative Expenses,Адміністративні витрати
C-Form No,C-форма №
End date of current invoice's period,Дата закінчення періоду поточного рахунку
Crop Cycle,Цикл обтинання
Creation Time,Час створення
Please enter Approving Role or Approving User,Введіть Роль схвалення або Затвердження користувача
Discharged,Розряджений
Raw Material Cost(Company Currency),Вартість сировини (валюта компанії)
Note: Due / Reference Date exceeds allowed customer credit days by {0} day(s),Примітка: Дата завершення / довідка перевищує дозволені кредитні дні клієнтів до {0} дня (-ов)
New Sales Orders,Нові замовлення на купівлю
based_on,based_on
Owned,Власні
Item Default,Елемент За замовчуванням
Party can only be one of ,Партія може бути тільки однією з
Entertainment Expenses,Витрати на розваги
Inspection Required before Delivery,Необхідна перевірка перед доставкою
Opening Entry Journal,Відкриття журналу записів
Add or Deduct,Додати або відняти
Collected Amount,Зібрана сума
Commission on Sales,Комісія з продажу
Start entering data from here : ,Почніть вводити дані звідси:
Rest Of The World,Решта світу
Customer &gt; Customer Group &gt; Territory,Клієнт&gt; Група клієнтів&gt; Територія
Publications,Публікації
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,"Банківський / грошовий рахунок за промовчанням автоматично оновлюється у вікні Заробітна плата, коли цей режим буде вибрано."
Total Budget,Загальний бюджет
Upload HTML,Завантажити HTML
Payment Document,Платіжний документ
Opportunity Item,Пункт можливостей
Travel From,Подорож з
CWIP Account,Рахунок CWIP
Sender Name,Ім&#39;я відправника
Supplier Group,Група постачальників
Date of Issue,Дата випуску
