Pension Funds,연금 기금
Show Payment Details,지불 세부 사항 표시
Default Payable Account,기본 채무 계정
Serial No {0} does not belong to any Warehouse,일련 번호가 {0}은 어떤 창고에도 속해 있지 않습니다.
Group by Party,파티
Evening,저녁
SAL-CAM-.YYYY.-,SAL-CAM-.YYYY.-
Exchange Gain/Loss,교환 이익 / 손실
Make Sales Invoice,판매 송장 작성
Create Missing Party,누락 된 파티 만들기
For quantity {0} should not be grater than work order quantity {1},수량 {0}이 (가) 작업 주문 수량 {1}보다 큽니다.
Additional Charges,추가 요금
Assessment Result Tool,평가 결과 도구
Contra Entry,콘트라 항목
Application Status,신청 현황
Total Amount in Words,총 단어 수
"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment. ","판매 캠페인을 추적하십시오. 투자 수익을 측정하기 위해 캠페인에서 리드, 견적, 판매 주문 등을 추적하십시오."
Missing Currency Exchange Rates for {0},{0}의 통화 환율 누락
Pricing Rule Item Group,가격 결정 규칙 품목 그룹
Reading 8,독서 8
From Fiscal Year,회계 연도부터
Tally Creditors Account,탈리 채권자 계좌
Print Section,섹션 인쇄
This is a root department and cannot be edited.,이것은 루트 부서이며 편집 할 수 없습니다.
Project Quantity,프로젝트 수량
Standard contract terms for Sales or Purchase.,판매 또는 구매에 대한 표준 계약 조건.
Customer PO Details,고객 PO 세부 사항
Patient not found,환자를 찾을 수 없음
Remove item if charges is not applicable to that item,해당 항목에 청구가 적용되지 않는 경우 항목 삭제
A Customer Group exists with same name please change the Customer name or rename the Customer Group,이름이 같은 고객 그룹이 존재합니다. 고객 이름을 변경하거나 고객 그룹의 이름을 변경하십시오.
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","모든 판매 트랜잭션에 적용 할 수있는 표준 세금 템플릿입니다. 이 템플릿에는 세금 헤드 목록과 &quot;Shipping&quot;, &quot;Insurance&quot;, &quot;Handling&quot;등과 같은 다른 비용 / 수입표가 포함될 수 있습니다. #### 참고 여기에서 정의하는 세율은 모든 표준 세율입니다 ** 항목 **. ** 요율이 다른 ** 상품 **이있는 경우 ** 상품 ** 마스터의 ** 상품 세금 ** 테이블에 추가해야합니다. #### 열 설명 1. 계산 유형 : - ** 총 합계 ** (기본 금액의 합계) 일 수 있습니다. - ** 이전 행 합계 / 금액 ** (누적 세금 또는 요금 용). 이 옵션을 선택하면 세금이 이전 행의 백분율 (세금 테이블에있는) 금액 또는 총액으로 적용됩니다. - ** 실제 ** (언급 된대로). 2. 계정 책임자 :이 세금을 책정 할 회계 원장 3. 비용 센터 : 세금 / 비용이 수입 (예 : 선적)이거나 비용 인 경우 원가 센터에 대해 예약해야합니다. 4. 설명 : 세금에 대한 설명 (인보이스 / 따옴표로 인쇄). 5. 세율 : 세율. 6. 금액 : 세금 금액. 7. 총계 :이 지점까지의 누적 합계. 8. 행 입력 : &quot;이전 행 합계&quot;를 기준으로이 계산의 기준으로 사용할 행 번호를 선택할 수 있습니다 (기본값은 이전 행). 9. 기본 세율에 세금이 포함되어 있습니까? :이 값을 확인하면이 세금이 항목 테이블 아래에 표시되지 않지만 기본 항목 테이블의 기본 세율에 포함됩니다. 이는 고객에게 일정한 가격 (모든 세금 포함)의 가격을 제공하려는 경우에 유용합니다."
To Date must be greater than From Date,To Date는 From Date보다 커야합니다.
Parent Customer Group,학부모 고객 그룹
Prices will not be shown if Price List is not set,가격표가 설정되지 않은 경우 가격이 표시되지 않습니다.
ERPNext Settings,ERPNext 설정
Time Sheet for manufacturing.,제조를위한 시간표.
Student Language,학생 언어
Please set the Payment Schedule,지불 일정을 설정하십시오.
Name of Organizer,주최자 이름
Please set Depreciation related Accounts in Asset Category {0} or Company {1},자산 범주 {0} 또는 회사 {1}에서 감가 상각 관련 계정을 설정하십시오.
Setup cheque dimensions for printing,인쇄를위한 설정 점검 치수
"If you have any questions, please get back to us.",궁금한 점이 있으면 다시 연락하십시오.
Purchase Receipt {0} is not submitted,구매 영수증 {0}이 제출되지 않았습니다.
Total Expense Claim (via Expense Claim),총 경비 청구 (경비 청구를 통해)
Quality Goal,품질 목표
Support Portal,지원 포털
End date of task <b>{0}</b> cannot be less than <b>{1}</b> expected start date <b>{2}</b>,작업 <b>{0}의</b> 종료일은 <b>{1}</b> 예상 시작일 <b>{2}</b> 보다 낮을 수 없습니다.
Employee {0} is on Leave on {1},직원 {0}이 (가) {1}에 출발합니다.
Held On,에 개최
Practitioner Schedules,개업 의사 일정
Begin On (Days),시작일 (일)
"If enabled, then system will create the material even if the raw materials are available",이 옵션을 활성화하면 원자재를 사용할 수있는 경우에도 시스템이 자재를 생성합니다.
Work Order has been {0},작업 지시가 {0}되었습니다.
Admission Schedule Date,입학 예정일
Asset Value Adjustment,자산 가치 조정
Supplies made to Unregistered Persons,미등록 된 사람들에게 공급 된 물품
All Jobs,모든 일
Appointment Type,예약 유형
Allow Overtime,초과 근무 허용
Available Qty at Warehouse,창고에서 사용 가능한 수량
Sales Invoice Item,판매 송장 품목
HR,HR
Assessment Terms,평가 조건
Increment for Attribute {0} cannot be 0,속성 {0}의 증가 값은 0 일 수 없습니다.
Carry Forward,이월하다
Dependent Task,종속 작업
Allowed To Transact With,함께 처리 할 수있는 권한
Become a Seller,판매자되기
Bank Reconciliation,은행 화해
Types of activities for Time Logs,시간 기록 활동 유형
POS Closing Voucher Invoices,POS 마감 바우처 인보이스
AB Negative,AB 네거티브
Budget Detail,예산 세부 정보
Normal reference range for an adult is 16–20 breaths/minute (RCP 2012),성인의 표준 참조 범위는 16-20 회 호흡 / 분 (RCP 2012)입니다.
Sales Orders,판매 주문
Create Journal Entry,분개장 생성
Secured Loans,담보 대출
To Shareholder,주주에게
Maintenance Schedule,유지 보수 일정
"chapters/chapter_name
leave blank automatically set after saving chapter.",chapters / chapter_name은 장을 저장 한 후 공백으로 자동 설정됩니다.
Payment Success Url,지불 성공 URL
Delivered Amount,납품 금액
Min Amt can not be greater than Max Amt,최소 금액은 최대 금액보다 클 수 없습니다.
Salary Structure not found for employee {0} and date {1},직원 {0} 및 날짜 {1}에 대한 급여 구조가 없습니다.
Invoice Appointments Automatically,자동 송장 지정
Please fill in all the details to generate Assessment Result.,평가 결과를 생성하려면 모든 세부 정보를 입력하십시오.
Variance ({}),분산 ({})
Patient Name,환자 이름
Your Organization,조직
Fulfilment Details,이행 세부 정보
Total Billed Amount (via Sales Invoices),총 청구 금액 (판매 송장을 통해)
Kg,킬로그램
Appointment cancelled,예약 취소됨
Reminder Message,알림 메시지
Balance Loan Amount,잔액 대출 금액
Manage Sales Person Tree.,영업 사원 트리 관리.
There are more holidays than working days this month.,이번 달 근무일보다 많은 휴일이 있습니다.
Default BOM,기본 BOM
Operating Cost (Company Currency),운영비 (회사 통화)
Item Price,품목 가격
Party Name,파티 이름
Please select a customer,고객을 선택하십시오.
Course Intro,과목 소개
New Program,새로운 프로그램
"Number of new Cost Center, it will be included in the cost center name as a prefix",새 코스트 센터 번호입니다. 접두사로 코스트 센터 이름에 포함됩니다.
Select the customer or supplier.,고객 또는 공급 업체를 선택하십시오.
Valid till date cannot be before transaction date,거래일 이전 날짜 일 수 없습니다.
Cannot deactivate or cancel BOM as it is linked with other BOMs,다른 BOM과 링크되어 있으므로 BOM을 비활성화하거나 취소 할 수 없습니다.
Place Of Supply (State/UT),공급처 (State / UT)
Job Title,직위
Fee Component,수수료 구성 요소
C-Form records,C- 양식 기록
Payment Cancelled. Please check your GoCardless Account for more details,지불이 취소되었습니다. 자세한 내용은 GoCardless 계정을 확인하십시오.
Less than a year,1 년 미만
Work Order {0} must be submitted,작업 명령 {0}을 제출해야합니다.
Filter Total Zero Qty,총 영점 수량 필터
Applicant for a Job,직업 신청자
No records found in the Invoice table,송장 테이블에 레코드가 없습니다.
Chart of Accounts Importer,계정 수입 차트
Item or Warehouse for row {0} does not match Material Request,행 {0}의 상품 또는 창고가 자재 요청과 일치하지 않습니다.
IGST Amount,IGST 금액
Delivery Notes {0} updated,배송 노트 {0}이 업데이트되었습니다.
Lodging Required,숙박 필요
Total Revenue,총 수익
Student Group Student,학생 그룹 학생
Buyer of Goods and Services.,물품 및 서비스 구매자.
Vehicle,차량
Quantity ({0}) cannot be a fraction in row {1},수량 ({0})은 {1} 행의 일부가 될 수 없습니다.
Bonus Amount,보너스 금액
Amount Difference,금액 차이
Maintenance Tasks,유지 관리 작업
Stop Birthday Reminders,생일 알리미 중지
Payment Account,지불 계좌
Stock Frozen Upto,주식 냉동
Default Material Request Type,기본 자재 요청 유형
Clinical Procedure Item,임상 적 절차 항목
Finance Book,금융 도서
From Datetime,날짜 별
Currency of the price list {0} must be {1} or {2},가격 목록 {0}의 통화는 {1} 또는 {2}이어야합니다.
Open Orders,미 체결 주문
Admit,들이다
Total {0} ({1}),총 {0} ({1})
GitHub ID,GitHub ID
From Address 1,주소 1부터
Total hours: {0},총 시간 : {0}
Transfer Date,이전 날짜
Enter name of campaign if source of enquiry is campaign,문의처가 캠페인 인 경우 캠페인 이름을 입력하십시오.
This Item is a Template and cannot be used in transactions. Item attributes will be copied over into the variants unless 'No Copy' is set,이 항목은 템플릿이며 거래에서 사용할 수 없습니다. &#39;No Copy&#39;가 설정되어 있지 않으면 항목 속성이 변형으로 복사됩니다.
Regular,정규병
Maximum discount for Item {0} is {1}%,항목 {0}의 최대 할인 값은 {1} %입니다.
Not Started,시작되지 않음
Treatment Task,치료 과제
Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,행 {0} : 사용자가 <b>{2}</b> 항목에 규칙 <b>{1}</b> 을 적용하지 않았습니다.
Landed Cost Help,상륙 비용 도움말
Scoring Criteria,득점 기준
Matching Invoices,매칭 송장
Donor Name,기부자 이름
Select Property,속성 선택
Homepage Section,홈페이지 섹션
Grade,학년
Production Plan Material Request,생산 계획 자재 요청
Send Email,이메일을 보내
Retain Sample,샘플 보유
Row #{0} (Payment Table): Amount must be negative,행 # {0} (결제 표) : 금액은 음수 여야합니다.
Warehouse wise Item Balance Age and Value,창고 현명한 아이템 밸런스 연령 및 가치
The gross weight of the package. Usually net weight + packaging material weight. (for print),포장의 총중량. 보통 순 중량 + 포장재 무게. (인쇄용)
Laboratory Testing Datetime,실험실 테스트 날짜 시간
The Item {0} cannot have Batch,{0} 항목은 일괄 처리 할 수 없습니다.
Sales Pipeline by Stage,단계별 판매 파이프 라인
Student Group Strength,학생 그룹의 힘
Bank Statement Transaction Entry,은행 거래 명세서
Get Items from Open Material Requests,미적재 요청에서 항목 가져 오기
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** 회계 연도 **는 회계 연도를 나타냅니다. 모든 회계 항목 및 기타 주요 거래는 ** 회계 연도 **에 따라 추적됩니다.
Procedure Name,프로 시저 이름
Add Sales Partners,판매 파트너 추가
Qty Total,총 수량
Outstanding,두드러진
Employee Tax Exemption Proof Submission,직원 세금 면제 서약
Requirement,요구 사항
No active or default Salary Structure found for employee {0} for the given dates,주어진 날짜에 대한 직원 {0}에 대한 활성 또는 기본 급여 구조가 없습니다.
Quantity should be greater than 0,수량은 0보다 커야합니다.
Supplier Quotation Item,공급 업체 견적 항목
Appraisal Template,감정서
Hub Category to Publish,게시 할 허브 카테고리
Current Openings,현재 오프닝
Customer Database.,고객 데이터베이스.
As On Date,As On Date
Delivery Note {0} is not submitted,납품서 {0}이 제출되지 않았습니다.
Appraisal Template Goal,감정 평가 템플릿 목표
Closing (Cr),결산 (Cr)
Restaurant Reservation,식당 예약
Last Order Amount,마지막 주문 금액
Learn,배우다
Multiple default mode of payment is not allowed,여러 기본 결제 방법이 허용되지 않습니다.
This will be day 1 of the crop cycle,이것은 작물주기의 1 일이 될 것입니다.
{0} {1} is not associated with {2} {3},{0} {1}은 (는) {2} {3}과 관련이 없습니다.
Expense or Difference account is mandatory for Item {0} as it impacts overall stock value,항목 {0}이 전체 재고 값에 영향을 주므로 비용 또는 차이 계정이 필수입니다.
Price List Exchange Rate,가격 목록 환율
Amount (Company Currency),금액 (회사 통화)
Driver,운전사
CGST Account,CGST 계정
Disbursement Date,지급일
New task,새 작업
Customer Feedback Table,고객 피드백 표
{0} - {1} is not enrolled in the Course {2},{0} - {1}이 (가) 과정에 등록되지 않았습니다. {2}
Difference Amount,차이 금액
Cheques and Deposits incorrectly cleared,수표와 예금이 잘못 삭제되었습니다.
Cash Entry,현금 항목
GST Settings,GST 설정
Item-wise Sales Register,품목 별 판매 등록
Item has variants.,아이템에 변형이 있습니다.
Difference Amount must be zero,차이 금액은 0이어야합니다.
Institution,제도
Tobacco Current Use,담배 현재 사용
Setup your ,설정
Payment Entry Deduction,지불 항목 공제
"Row #{0}: The batch {1} has only {2} qty. Please select another batch which has {3} qty available or split the row into multiple rows, to deliver/issue from multiple batches",행 # {0} : 배치 {1}에 {2} 수량 만 있습니다. {3} 수량이있는 다른 배치를 선택하거나 행을 여러 행으로 분할하여 여러 배치에서 전달 / 발행하십시오.
Procedure,순서
Total Stock Summary,총 주식 요약
Additional Discount,추가 할인
Patient Name By,환자 이름 작성자
Rate / UOM,요율 / UOM
Job Offer Terms,구직 조건
Debit Amount in Account Currency,계정 통화의 차변 금액
{0} must appear only once,{0}은 한 번만 표시되어야합니다.
Expense / Difference account ({0}) must be a 'Profit or Loss' account,비용 / 차이 계정 ({0})은 &#39;손익&#39;계정이어야합니다.
Row No {0}: Amount cannot be greater than Pending Amount against Expense Claim {1}. Pending Amount is {2},행 번호 없음 {0} : 금액은 비용 청구 {1}에 대한 보류 금액보다 클 수 없습니다. 보류중인 금액은 {2}입니다.
Earnest Money,진지한 돈
All Supplier scorecards.,모든 공급자 스코어 카드.
Terms and Conditions Details,이용 약관 세부 정보
Get Entries,항목 가져 오기
Service Item,서비스 항목
Customer's Purchase Order,고객의 구매 주문서
Syntax error in formula or condition: {0},수식 또는 조건의 구문 오류 : {0}
Agriculture User,농업 사용자
Please enter Reqd by Date,날짜별로 요구 사항을 입력하십시오.
Total Monthly Sales,총 월간 판매액
Monthly Distribution Percentage,월별 분포 비율
Reconciliation JSON,조정 JSON
No Item with Barcode {0},바코드가 {0} 인 항목이 없습니다.
Scrapped,폐기 된
Delivery Trip,배달 여행
Application Fee,입회비
Sales orders are not available for production,생산 주문에는 판매 오더를 사용할 수 없습니다.
Attribute,속성
Rename Log,로그 이름 바꾸기
'Based On' and 'Group By' can not be same,&#39;기반 기준&#39;과 &#39;그룹 기준&#39;은 동일 할 수 없습니다.
Show Ageing Warehouse-wise,웨어 하우스 고령화 표시
Write Off Outstanding Amount,미 지불 금액 상각
Employee Details,직원 세부 정보
Start Time can't be greater than End Time for {0}.,시작 시간은 {0}의 종료 시간보다 클 수 없습니다.
Discount Amount,할인 량
Item Details,상품 상세
Duplicate Tax Declaration of {0} for period {1},기간 {1}에 대한 중복 세금 선언 {0}
From Delivery Note,배달 참고에서
Holiday,휴일
Line spacing for amount in words,단어의 양에 대한 줄 간격
Item Group Defaults,항목 그룹 기본값
Abbr,Abbr
Warranty Claim against Serial No.,일련 번호에 대한 보증 청구
Quality,품질
{0} is not a stock Item,{0}은 (는) 재고 품목이 아닙니다.
Raw Materials Supplied Cost,원자재 공급 비용
Permanent Address,영구 주소
Booked Fixed Asset,예약 고정 자산
Your tickets,티켓
Create Supplier Quotation,공급 업체 견적 생성
Inspection Required before Purchase,구매 전에 검사가 필요합니다.
Payment Ordered,주문 주문
"There seems to be an issue with the server's GoCardless configuration. Don't worry, in case of failure, the amount will get refunded to your account.",서버의 GoCardless 구성에 문제가있는 것 같습니다. 실패 할 경우 걱정하지 마십시오. 금액이 귀하의 계정으로 환급됩니다.
"Payment Mode is not configured. Please check, whether account has been set on Mode of Payments or on POS Profile.",지불 모드가 구성되지 않았습니다. 지불 방식 또는 POS 프로파일에 계정이 설정되었는지 확인하십시오.
Purchase Orders Items Overdue,구매 오더 품목 마감
Inspection Required,검사 필요
{0} {1} is cancelled so the action cannot be completed,{0} {1}이 (가) 취소되어 작업을 완료 할 수 없습니다.
Project Template Task,프로젝트 템플릿 작업
Circular Reference Error,순환 참조 오류
{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,{0} {1} : &#39;수익 및 손실&#39;유형 계정 {2}이 (가) 개설 입력에서 허용되지 않습니다.
Cross Listing of Item in multiple groups,여러 그룹의 항목 간 교차 리스팅
Account with existing transaction cannot be converted to ledger,기존 거래가있는 계정은 원장으로 전환 할 수 없습니다.
Display Items In Stock,재고 표시 항목
Service Level,서비스 수준
"Other outward supplies(Nil rated,Exempted)","기타 외부 공급 (Nil rated, Exempted)"
TDS Payable Monthly,매월 TDS 지급
Please select Posting Date before selecting Party,파티를 선택하기 전에 전기 날짜를 선택하십시오.
GST Purchase Register,GST 구매 등록
Automatically Add Taxes and Charges from Item Tax Template,항목 세금 템플릿에서 세금 및 요금 자동 추가
Stock Options,주식 옵션
Healthcare Schedule Time Slot,건강 관리 계획 시간 구멍
Tap items to add them here,항목을 탭하여 여기에 추가하십시오.
Invoice Portion,송장 부분
Tax Category for overriding tax rates.,세율에 대한 세금 범주.
Retained Earnings,이익 잉여금
Requested Amount,요청 금액
Additional Amount,추가 금액
Quiz Configuration,퀴즈 구성
General,일반
Annual Expenses,연간 비용
Expected End Date can not be less than Expected Start Date,예상 종료일은 예상 시작일보다 짧을 수 없습니다.
Disable In Words,단어에서 사용 안함
CUST-.YYYY.-,CUST-.YYYY.-
Net pay cannot be negative,순 임금은 음수가 될 수 없습니다.
No of Interactions,상호 작용 수 없음
Row {0}# Item {1} cannot be transferred more than {2} against Purchase Order {3},행 {0} # 구매 주문 {3}에 대해 {1} 품목을 {2} 이상으로 이전 할 수 없습니다.
Processing Chart of Accounts and Parties,계정과 당사자의 처리 차트
Convert Item Description to Clean HTML,항목 설명을 HTML로 변환
All Supplier Groups,모든 공급 업체 그룹
Final Assessment Grades,최종 평가 성적
Cannot close task {0} as its dependant task {1} is not closed.,종속 작업 {1}이 (가) 닫히지 않았으므로 {0} 작업을 닫을 수 없습니다.
Promotional Scheme Price Discount,프로모션 제도 가격 할인
Installation Note,설치 참고 사항
Application Form Route,신청서 경로
Planned Operating Cost,계획 운영비
Colour,색깔
{0} is not in Optional Holiday List,{0}은 (는) 선택 공휴일 목록에 없습니다.
Show Marks,표시 표시
Max Benefit Amount (Yearly),최대 혜택 금액 (매년)
Depreciation Row {0}: Next Depreciation Date cannot be before Purchase Date,감가 상각 행 {0} : 다음 감가 상각 날짜는 구입일 이전 일 수 없습니다.
Customer Group,고객 그룹
Fiscal Year Start Date should be one year earlier than Fiscal Year End Date,회계 연도 시작일은 회계 연도 종료일보다 1 년 더 빨라야합니다.
BOM Items and Scraps,BOM 품목 및 스크랩
High Sensitivity,고감도
Apply Discount on Rate,할인율 적용
"Update BOM cost automatically via Scheduler, based on latest valuation rate / price list rate / last purchase rate of raw materials.",최신 평가 률 / 가격 목록 비율 / 원자재의 최종 구매 률을 기반으로 스케줄러를 통해 자동으로 BOM 비용을 업데이트합니다.
Tally Company,탈리 컴퍼니
Quiz Question,퀴즈 질문
Task Depends On,작업 의존
Lead Id,리드 ID
Subscription Plan Detail,구독 계획 세부 정보
Created {0} scorecards for {1} between: ,{1}에 대한 {0} 스코어 카드 생성 :
This Week's Summary,금주의 요약
Pricing Rule Item Code,가격 결정 규칙 품목 코드
Storage Temperature,보관 온도
Direct Income,직접 소득
Amt,Amt
Sales Analytics,영업 분석
Total Billable Amount (via Timesheets),총 청구 가능 금액 (작업 표를 통해)
Domains,도메인
"Not permitted, configure Lab Test Template as required","허용되지 않음, 필요시 랩 테스트 템플릿 구성"
Default Unit of Measure,기본 측정 단위
Distinct unit of an Item,항목의 고유 한 단위
Synch Products,동기화 제품
Path,통로
Task ID,작업 ID
Opening (Dr),오프닝 (Dr)
% Completed,% 완료 됨
Commission Rate,수수료율
Central Tax,중앙세
Total Outstanding Amount,총 미납금
Maximum Exemption Amount,최대 면제 금액
Based on price list,가격표 기준
Additional Cost,추가 비용
Closing Account {0} must be of type Liability / Equity,결산 계정 {0}은 책임 / 지분 유형이어야합니다.
Setup Company,설치 회사
Check In,체크인
Customer and Supplier,고객 및 공급 업체
Support Team,지원팀
Account {0}: You can not assign itself as parent account,계정 {0} : 자신을 부모 계정으로 지정할 수 없습니다.
Fixed Asset Item must be a non-stock item.,고정 자산 항목은 비 재고 항목이어야합니다.
New Batch ID (Optional),새 일괄 처리 ID (선택 사항)
Gantt Chart,간트 차트
Max Benefit Amount,최대 혜택 금액
{0} on Leave on {1},{1}에 출발하는 {0}
Do you really want to restore this scrapped asset?,이 스크랩 된 자산을 정말로 복원 하시겠습니까?
Registration fee can not be Zero,등록비는 0이 될 수 없습니다.
Item Tax Template,품목 세금 템플릿
Auto Created,자동 생성됨
Quality Objective,품질 목표
"The account head under Liability or Equity, in which Profit/Loss will be booked",책임 / 지분의 계정 머리는 이익 / 손실이 예약 될 것입니다.
Credit Amount in Account Currency,계정 통화의 여신 금액
Employee Onboarding Activity,직원 입회 활동
Parent Service Unit,학부모 서비스 부서
Include Payment (POS),지불 포함 (POS)
Private Equity,사모
Receipt Document,영수증 문서
Supplier Scorecard Period,공급 업체 성과 기록표 기간
Default Salary Structure,기본 연봉 구조
Total Gain/Loss,총 손익
Student is already enrolled.,학생은 이미 등록되어 있습니다.
Parent Item,학부모 항목
Brokerage,중개
Please create purchase receipt or purchase invoice for the item {0},상품 {0}에 대한 구매 영수증 또는 구매 송장을 만드십시오.
Company Name cannot be Company,회사 이름은 회사 일 수 없습니다.
Breakdown,고장
B Negative,B 네거티브
Response By,응답자
Credit To,신용
Submit this Work Order for further processing.,추가 작업을 위해이 작업 공정을 제출하십시오.
Bank Guarantee Number,은행 보증 번호
Delivered: {0},배달 됨 : {0}
Under Review,검토 중
Agriculture (beta),농업 (베타)
Average Commission Rate,평균 수수료율
Customer's Purchase Order Date,고객의 구매 주문서 날짜
All Contacts.,모든 연락처.
Used Leaves,중고 잎
The field From Shareholder cannot be blank,주주로부터의 필드는 비워 둘 수 없습니다.
Brand Defaults,브랜드 기본값
Depends on Tasks,작업에 따라 다름
Healthcare Settings,건강 관리 설정
{0} Student Groups created.,{0} 학생 그룹이 생성되었습니다.
Register,레지스터
"This warehouse will be used to create Sale Orders. The fallback warehouse is ""Stores"".",이 창고는 판매 주문을 작성하는 데 사용됩니다. 대체웨어 하우스는 &quot;상점&quot;입니다.
Oil Change,엔진 오일 교환
Project User,프로젝트 사용자
Assessment,평가
Price Discount Slabs,가격 할인 석판
New Customers,신규 고객
Total Expense Claim (via Expense Claims),총 경비 청구 (경비 청구를 통한)
Other Details,기타 세부 사항
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,주식 거래 후 속성을 변경할 수 없습니다. 새 품목을 만들고 새 품목에 재고를 양도하십시오.
Employees HTML,직원 HTML
Stop users from making Leave Applications on following days.,다음 날에 사용자가 휴가 신청을하지 못하게하십시오.
Ignore,무시
Sales Person Target Variance Based On Item Group,품목 그룹을 기준으로 한 판매 사원 목표 차이
Current Academic Year,현재 학년도
Submit/Reconcile Payments,지불 제출 / 조정
Set Advances and Allocate (FIFO),진보 및 할당 (FIFO) 설정
Item to be manufactured or repacked,제조 또는 재 포장되는 품목
New Cart,새 장바구니
MAT-PRE-.YYYY.-,MAT-PRE- .YYYY.-
Please select Sample Retention Warehouse in Stock Settings first,먼저 샘플 보관 창고 재고 설정을 선택하십시오.
Result Format,결과 형식
Heads (or groups) against which Accounting Entries are made and balances are maintained.,회계 항목이 작성되고 잔액이 유지되는 머리 (또는 그룹).
Material Request used to make this Stock Entry,이 재고 항목을 만드는 데 사용 된 자재 요청
Link to material requests,자료 요청 링크
Unsecured Loans,무담보 대출
Add Customers,고객 추가
Default Finished Goods Warehouse,기본 완제품 창고
Grant Description,교부금 설명
"Weight is mentioned,\nPlease mention ""Weight UOM"" too",무게가 언급되었습니다. \ n &quot;무게 UOM&quot;도 언급하십시오.
{0} {1} is disabled,{0} {1}이 (가) 사용 중지되었습니다.
Contract Period,계약 기간
Please enter Item Code to get Batch Number,배치 번호를 받으려면 상품 코드를 입력하십시오.
Is Working Capital,운전 자본
Missing email template for dispatch. Please set one in Delivery Settings.,발송을위한 누락 된 이메일 템플릿. 게재 설정에서 하나를 설정하십시오.
MAT-PAC-.YYYY.-,MAT-PAC- .YYYY.-
"Scorecard variables can be used, as well as:
{total_score} (the total score from that period),
{period_number} (the number of periods to present day)
","스코어 카드 변수뿐만 아니라 {total_score} (해당 기간의 총 점수), {period_number} (현재 기간 수)"
Value Or Qty,가치 또는 수량
Please register the SIREN number in the company information file,회사 정보 파일에 SIREN 번호를 등록하십시오.
Check this to enable a scheduled Daily synchronization routine via scheduler,스케줄러를 통해 예약 된 일일 동기화 루틴을 사용하려면이 옵션을 선택하십시오.
Declarations,선언
Backflush Raw Materials Based On,백 플러시 원재료 기준
Distance from top edge,상단 가장자리까지의 거리
Job Description,업무 설명서
"Can not filter based on Voucher No, if grouped by Voucher",바우처별로 그룹화 한 경우 바우처 번호를 기준으로 필터링 할 수 없습니다.
Received and Accepted,수신 및 수락 됨
Negative Valuation Rate is not allowed,마이너스 평가율은 허용되지 않습니다.
"The user that will be used to create Customers, Items and Sales Orders. This user should have the relevant permissions.","고객, 품목 및 판매 주문을 생성하는 데 사용될 사용자입니다. 이 사용자에게는 관련 권한이 있어야합니다."
Create Purchase Order,구매 주문 만들기
Define budget for a financial year.,회계 연도의 예산을 정의하십시오.
Accounts table cannot be blank.,계정 표는 비워 둘 수 없습니다.
Payment Period Based On Invoice Date,송장 일 기준 지급 기간
Installation date cannot be before delivery date for Item {0},{0} 품목의 설치 날짜가 배송일보다 이전 일 수 없습니다.
Link to Material Request,자재 요청 링크
From Company,회사로부터
Mapped Data Type,매핑 된 데이터 형식
Row {0}: An Reorder entry already exists for this warehouse {1},행 {0} :이 창고 {1}에 대한 Reorder 항목이 이미 있습니다.
Doc Date,문서 날짜
Distribution Name,배포 이름
Group to Non-Group,비 그룹화 그룹
Update in progress. It might take a while.,진행중인 업데이트. 시간이 좀 걸릴 수 있습니다.
"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.",예 : ABCD ##### 계열이 설정되고 거래에서 일련 번호가 언급되지 않은 경우이 일련 번호를 기반으로 자동 일련 번호가 생성됩니다. 이 항목에 대해 직렬 번호를 명시 적으로 명시하고 싶을 경우 이 부분을 비워 두십시오.
Stock Entry (Outward GIT),재고 입력 (Outward GIT)
Processing Party Addresses,파티 주소 처리 중
Delivery Note Required,배달 참고 필요
Sales Partner,판매 파트너
