DocType: Accounting Period,Period Name,കാലാവധി നാമം
DocType: Restaurant,Invoice Series Prefix,ഇൻവോയ്സ് ശ്രേണി പ്രിഫിക്സ്
DocType: Employee,Previous Work Experience,മുമ്പത്തെ ജോലി പരിചയം
apps/erpnext/erpnext/accounts/doctype/account/account.js,Update Account Number / Name,അക്കൗണ്ട് നമ്പർ / പേര് അപ്ഡേറ്റുചെയ്യുക
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Assign Salary Structure,ശമ്പള ഘടന നിർവ്വഹിക്കുക
DocType: Support Settings,Response Key List,പ്രതികരണ കീ ലിസ്റ്റ്
DocType: Job Card,For Quantity,ക്വാണ്ടിറ്റി വേണ്ടി
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,Please enter Planned Qty for Item {0} at row {1},വരി ചെയ്തത് ഇനം {0} ആസൂത്രണം Qty നൽകുക {1}
DocType: Support Search Source,API,API
DocType: Support Search Source,Result Preview Field,ഫല പ്രിവ്യൂ ഫീൽഡ്
apps/erpnext/erpnext/templates/generators/item/item_configure.js,{0} items found.,{0} ഇനങ്ങൾ കണ്ടെത്തി.
DocType: Item Price,Packing Unit,യൂണിറ്റ് പായ്ക്കിംഗ്
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} {1} is not submitted,{0} {1} സമർപ്പിച്ചിട്ടില്ലെന്നതും
DocType: Subscription,Trialling,വിചാരണ
DocType: Sales Invoice Item,Deferred Revenue,വ്യതിരിക്തമായ വരുമാനം
DocType: Shopify Settings,Cash Account will used for Sales Invoice creation,സെയിൽ ഇൻവോയ്സ് സൃഷ്ടിക്കുന്നതിന് പണ അക്കൗണ്ടുകൾ ഉപയോഗിക്കും
DocType: Employee Tax Exemption Declaration Category,Exemption Sub Category,സബ്ബ്സ്ക്രിപ്ഷൻ സബ് വിഭാഗം
DocType: Member,Membership Expiry Date,അംഗത്വം കാലാവധി തീയതി
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,{0} must be negative in return document,{0} മടക്കം പ്രമാണത്തിൽ നെഗറ്റീവ് ആയിരിക്കണം
DocType: Employee Tax Exemption Proof Submission,Submission Date,സമർപ്പിക്കൽ തീയതി
,Minutes to First Response for Issues,ഇഷ്യുവിനായുള്ള ആദ്യപ്രതികരണം ലേക്കുള്ള മിനിറ്റ്
DocType: Purchase Invoice,Terms and Conditions1,നിബന്ധനകളും Conditions1
apps/erpnext/erpnext/public/js/setup_wizard.js,The name of the institute for which you are setting up this system.,ഈ സിസ്റ്റത്തിൽ സജ്ജീകരിക്കുന്നത് ഏത് ഇൻസ്റ്റിറ്റ്യൂട്ട് പേര്.
DocType: Accounts Settings,"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","ഈ കാലികമായി മരവിപ്പിച്ചു അക്കൗണ്ടിംഗ് എൻട്രി, ആരും ചെയ്യാൻ കഴിയും / ചുവടെ വ്യക്തമാക്കിയ പങ്ക് ഒഴികെ എൻട്രി പരിഷ്ക്കരിക്കുക."
apps/erpnext/erpnext/manufacturing/doctype/bom_update_tool/bom_update_tool.js,Latest price updated in all BOMs,എല്ലാ BOM കളിലും പുതിയ വില അപ്ഡേറ്റ് ചെയ്തു
DocType: Project User,Project Status,പ്രോജക്ട് അവസ്ഥ
DocType: UOM,Check this to disallow fractions. (for Nos),ഘടകാംശങ്ങൾ അനുമതി ഇല്ലാതാക്കുന്നത് ഇത് ചെക്ക്. (ഒഴിവ് വേണ്ടി)
DocType: Student Admission Program,Naming Series (for Student Applicant),സീരീസ് (സ്റ്റുഡന്റ് അപേക്ഷകൻ) എന്നു
apps/erpnext/erpnext/hr/doctype/retention_bonus/retention_bonus.py,Bonus Payment Date cannot be a past date,ബോണസ് പേയ്മെന്റ് തീയതി ഒരു കഴിഞ്ഞ തിയതിയായിരിക്കരുത്
DocType: Travel Request,Copy of Invitation/Announcement,ക്ഷണം / പ്രഖ്യാപനം എന്നിവയുടെ പകർപ്പ്
DocType: Practitioner Service Unit Schedule,Practitioner Service Unit Schedule,പ്രാക്ടീഷണർ സർവീസ് യൂണിറ്റ് ഷെഡ്യൂൾ
DocType: Sales Invoice,Transporter Name,ട്രാൻസ്പോർട്ടർ പേര്
DocType: Authorization Rule,Authorized Value,അംഗീകൃത മൂല്യം
DocType: BOM,Show Operations,ഓപ്പറേഷൻസ് കാണിക്കുക
,Minutes to First Response for Opportunity,അവസരം ആദ്യപ്രതികരണം ലേക്കുള്ള മിനിറ്റ്
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Absent,ആകെ േചാദി
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item or Warehouse for row {0} does not match Material Request,വരി ഐറ്റം അപാകതയുണ്ട് {0} മെറ്റീരിയൽ അഭ്യർത്ഥന പൊരുത്തപ്പെടുന്നില്ല
apps/erpnext/erpnext/hr/report/loan_repayment/loan_repayment.py,Payable Amount,നൽകേണ്ട തുക
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Unit of Measure,അളവുകോൽ
DocType: Fiscal Year,Year End Date,വർഷം അവസാന തീയതി
DocType: Task Depends On,Task Depends On,ടാസ്ക് ആശ്രയിച്ചിരിക്കുന്നു
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Opportunity,അവസരം
DocType: Options,Option,ഓപ്ഷൻ
apps/erpnext/erpnext/accounts/general_ledger.py,You can't create accounting entries in the closed accounting period {0},അടച്ച അക്ക ing ണ്ടിംഗ് കാലയളവിൽ നിങ്ങൾക്ക് അക്ക account ണ്ടിംഗ് എൻ‌ട്രികൾ സൃഷ്ടിക്കാൻ കഴിയില്ല {0}
DocType: Operation,Default Workstation,സ്ഥിരസ്ഥിതി വർക്ക്സ്റ്റേഷൻ
DocType: Payment Entry,Deductions or Loss,പൂർണമായും അല്ലെങ്കിൽ നഷ്ടം
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} {1} is closed,{0} {1} അടച്ചു
DocType: Email Digest,How frequently?,എത്ര ഇടവേളകളിലാണ്?
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.js,Total Collected: {0},ആകെ ശേഖരിച്ചത്: {0}
DocType: Purchase Receipt,Get Current Stock,ഇപ്പോഴത്തെ സ്റ്റോക്ക് നേടുക
DocType: Purchase Invoice,ineligible,യോഗ്യതയില്ല
apps/erpnext/erpnext/config/manufacturing.py,Tree of Bill of Materials,വസ്തുക്കളുടെ ബിൽ ട്രീ
DocType: BOM,Exploded Items,പൊട്ടിത്തെറിച്ച ഇനങ്ങൾ
DocType: Student,Joining Date,തീയതി ചേരുന്നു
,Employees working on a holiday,ഒരു അവധിക്കാലം പ്രവർത്തിക്കുന്ന ജീവനക്കാരിൽ
,TDS Computation Summary,ടിഡിഎസ് കണക്കുകൂട്ടൽ സംഗ്രഹം
DocType: Share Balance,Current State,നിലവിലുള്ള അവസ്ഥ
apps/erpnext/erpnext/hr/doctype/employee_attendance_tool/employee_attendance_tool.js,Mark Present,മർക്കോസ് നിലവിലുള്ളജാലകങ്ങള്
DocType: Share Transfer,From Shareholder,ഓഹരി ഉടമയിൽ നിന്ന്
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Greater Than Amount,തുകയേക്കാൾ വലുത്
DocType: Project,% Complete Method,% പൂർത്തിയായി രീതി
apps/erpnext/erpnext/healthcare/setup.py,Drug,ഡ്രഗ്
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Maintenance start date can not be before delivery date for Serial No {0},മെയിൻറനൻസ് ആരംഭ തീയതി സീരിയൽ ഇല്ല {0} വേണ്ടി ഡെലിവറി തീയതി മുമ്പ് ആകാൻ പാടില്ല
DocType: Work Order,Actual End Date,യഥാർത്ഥ അവസാന തീയതി
DocType: Cash Flow Mapping,Is Finance Cost Adjustment,ധനകാര്യ ചെലവ് അഡ്ജസ്റ്റുമാണ്
DocType: BOM,Operating Cost (Company Currency),ഓപ്പറേറ്റിങ് ചെലവ് (കമ്പനി കറൻസി)
DocType: Authorization Rule,Applicable To (Role),(റോൾ) ബാധകമായ
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application_dashboard.html,Pending Leaves,തീർപ്പുകൽപ്പിക്കാത്ത ഇലകൾ
DocType: BOM Update Tool,Replace BOM,BOM മാറ്റിസ്ഥാപിക്കുക
apps/erpnext/erpnext/healthcare/doctype/lab_test_template/lab_test_template.py,Code {0} already exist,കോഡ് {0} ഇതിനകം നിലവിലുണ്ട്
DocType: Patient Encounter,Procedures,നടപടിക്രമങ്ങൾ
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,Sales orders are not available for production,വിൽപ്പനയ്ക്കുള്ള ഓർഡറുകൾ ഉല്പാദനത്തിനായി ലഭ്യമല്ല
DocType: Asset Movement,Purpose,ഉദ്ദേശ്യം
DocType: Company,Fixed Asset Depreciation Settings,ഫിക്സ്ഡ് അസറ്റ് മൂല്യത്തകർച്ച ക്രമീകരണങ്ങൾ
DocType: Item,Will also apply for variants unless overrridden,കൂടാതെ overrridden അവയൊഴിച്ച് മോഡലുകൾക്കാണ് ബാധകമാകും
DocType: Purchase Invoice,Advances,അഡ്വാൻസുകളും
DocType: HR Settings,Hiring Settings,ക്രമീകരണങ്ങൾ നിയമിക്കുന്നു
DocType: Work Order,Manufacture against Material Request,മെറ്റീരിയൽ അഭ്യർത്ഥന നേരെ ഉല്പാദനം
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.html,Assessment Group: ,അസ്സസ്മെന്റ് ഗ്രൂപ്പ്:
DocType: Item Reorder,Request for,അഭ്യർത്ഥന
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Approving User cannot be same as user the rule is Applicable To,ഉപയോക്താവ് അംഗീകരിക്കുന്നതിൽ ഭരണം ബാധകമാകുന്നതാണ് ഉപയോക്താവിന് അതേ ആകും കഴിയില്ല
DocType: Stock Entry Detail,Basic Rate (as per Stock UOM),(സ്റ്റോക്ക് UOM പ്രകാരം) അടിസ്ഥാന റേറ്റ്
DocType: SMS Log,No of Requested SMS,അഭ്യർത്ഥിച്ച എസ്എംഎസ് ഒന്നും
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Leave Without Pay does not match with approved Leave Application records,ശമ്പള വിടണമെന്ന് അംഗീകൃത അനുവാദ ആപ്ലിക്കേഷന് രേഖകളുമായി പൊരുത്തപ്പെടുന്നില്ല
apps/erpnext/erpnext/setup/page/welcome_to_erpnext/welcome_to_erpnext.html,Next Steps,അടുത്ത ഘട്ടങ്ങൾ
apps/erpnext/erpnext/public/js/hub/Sidebar.vue,Saved Items,ഇനങ്ങൾ സംരക്ഷിച്ചു
DocType: Travel Request,Domestic,ഗാർഹിക
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Please supply the specified items at the best possible rates,മികച്ച സാധ്യത നിരക്കിൽ വ്യക്തമാക്കിയ ഇനങ്ങൾ നൽകുക
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Employee Transfer cannot be submitted before Transfer Date ,ട്രാൻസ്ഫർ തീയതിക്ക് മുമ്പ് ജീവനക്കാർ കൈമാറ്റം സമർപ്പിക്കാൻ കഴിയില്ല
DocType: Certification Application,USD,USD
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Remaining Balance,ശേഷിക്കുന്ന പണം
DocType: Selling Settings,Auto close Opportunity after 15 days,15 ദിവസം കഴിഞ്ഞ് ഓട്ടോ അടയ്ക്കൂ അവസരം
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,Purchase Orders are not allowed for {0} due to a scorecard standing of {1}.,{1} എന്ന സ്കോർക്കോർഡ് നിലയ്ക്കൽ കാരണം {0} വാങ്ങൽ ഓർഡറുകൾ അനുവദനീയമല്ല.
apps/erpnext/erpnext/stock/doctype/item/item.py,Barcode {0} is not a valid {1} code,ബാർകോഡ് {0} സാധുവായ {1} കോഡ് അല്ല
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.js,End Year,അവസാനിക്കുന്ന വർഷം
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Quot/Lead %,Quot /% Lead
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Quot/Lead %,Quot /% Lead
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Contract End Date must be greater than Date of Joining,കരാര് അവസാനിക്കുന്ന തീയതി ചേരുന്നു തീയതി വലുതായിരിക്കണം
DocType: Sales Invoice,Driver,ഡ്രൈവർ
DocType: Vital Signs,Nutrition Values,പോഷകാഹാര മൂല്യങ്ങൾ
DocType: Lab Test Template,Is billable,ബിൽ ചെയ്യാവുന്നതാണ്
DocType: Sales Partner,A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,ഒരു കമ്മീഷൻ കമ്പനികൾ ഉൽപ്പന്നങ്ങൾ വിൽക്കുന്നു ഒരു മൂന്നാം കക്ഷി വിതരണക്കാരനായ / ഡീലർ / കമ്മീഷൻ ഏജന്റ് / അനുബന്ധ / റീസെല്ലറിനെ.
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Purchase Order {1},{0} വാങ്ങൽ ഓർഡർ {1} നേരെ
DocType: Patient,Patient Demographics,രോഗിയുടെ ജനസംഖ്യ
DocType: Task,Actual Start Date (via Time Sheet),യഥാർത്ഥ ആരംഭ തീയതി (ടൈം ഷീറ്റ് വഴി)
apps/erpnext/erpnext/portal/doctype/homepage/homepage.py,This is an example website auto-generated from ERPNext,ഈ ERPNext നിന്നുള്ള സ്വയം സൃഷ്ടിച്ചതാണ് ഒരു ഉദാഹരണം വെബ്സൈറ്റ് ആണ്
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Range 1,എയ്ജിങ് ശ്രേണി 1
DocType: Shopify Settings,Enable Shopify,Shopify പ്രാപ്തമാക്കുക
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Total advance amount cannot be greater than total claimed amount,മൊത്തം മുൻകൂറായി നൽകിയ തുകയേക്കാൾ കൂടുതൽ മുൻകൂർ തുകയായിരിക്കരുത്
DocType: Purchase Taxes and Charges Template,"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","എല്ലാ വാങ്ങൽ ഇടപാടുകൾ പ്രയോഗിക്കാൻ കഴിയുന്ന സാധാരണം നികുതി ടെംപ്ലേറ്റ്. * ഈ ഫലകം നികുതി തലവന്മാരും പട്ടിക ഉൾക്കൊള്ളാൻ കഴിയും ഒപ്പം &quot;ഷിപ്പിങ്&quot;, &quot;ഇൻഷുറൻസ്&quot;, തുടങ്ങിയവ &quot;കൈകാര്യം&quot; #### പോലുള്ള മറ്റ് ചെലവിൽ തലവന്മാരും നിങ്ങൾ ഇവിടെ നിർവ്വചിക്കുന്ന നികുതി നിരക്ക് എല്ലാ ** ഇനങ്ങൾ വേണ്ടി സ്റ്റാൻഡേർഡ് നികുതി നിരക്ക് ആയിരിക്കും ശ്രദ്ധിക്കുക *. വ്യത്യസ്ത നിരക്കുകൾ ഉണ്ടു എന്നു ** ഇനങ്ങൾ ** അവിടെ അവ ** ഇനം നികുതി ചേർത്തു വേണം ** ടേബിൾ ** ഇനം ** മാസ്റ്റർ. ഈ ** ആകെ ** നെറ്റിലെ കഴിയും (ആ അടിസ്ഥാന തുക ആകെത്തുകയാണ്) -: നിരകൾ 1. കണക്കുകൂട്ടല് തരം #### വിവരണം. - ** മുൻ വരി ന് ആകെ / തുക ** (വർദ്ധിക്കുന്നത് നികുതികൾ അല്ലെങ്കിൽ ചാർജുകളും). നിങ്ങൾ ഈ ഓപ്ഷൻ തിരഞ്ഞെടുക്കുകയാണെങ്കിൽ, നികുതി മുൻ വരി (നികുതി പട്ടിക ൽ) അളവിലോ ആകെ ശതമാനത്തിൽ പ്രയോഗിക്കും. - ** (സൂചിപ്പിച്ച പോലെ) ** യഥാർത്ഥ. 2. അക്കൗണ്ട് ഹെഡ്: നികുതി / ചാർജ് (ഷിപ്പിംഗ് പോലെ) ഒരു വരുമാനം ആണ് അല്ലെങ്കിൽ അത് ഒരു കോസ്റ്റ് കേന്ദ്രം നേരെ ബുക്ക് ആവശ്യമാണ് അഴിപ്പാന് എങ്കിൽ: ഈ നികുതി 3. ചെലവ് കേന്ദ്രം ബുക്ക് ചെയ്യും പ്രകാരം അക്കൗണ്ട് ലെഡ്ജർ. 4. വിവരണം: (ഇൻവോയ്സുകൾ / ഉദ്ധരണികൾ പ്രിന്റ് ചെയ്യുക എന്ന്) നികുതി വിവരണം. 5. നിരക്ക്: നികുതി നിരക്ക്. 6. തുക: നികുതി തുക. 7. ആകെ: ഈ പോയിന്റിന് സഞ്ചിയിപ്പിച്ചിട്ടുള്ള മൊത്തം. 8. വരി നൽകുക: &quot;മുൻ വരി ആകെ&quot; അടിസ്ഥാനമാക്കി നിങ്ങൾ ഈ കണക്കുകൂട്ടൽ അടിസ്ഥാനമായി എടുത്ത ചെയ്യുന്ന വരി നമ്പർ (സ്വതവേയുള്ള മുൻ വരി ആണ്) തിരഞ്ഞെടുക്കാം. 9. വേണ്ടി നികുതി അഥവാ ചാർജ് പരിഗണിക്കുക: നികുതി / ചാർജ് മൂലധനം (മൊത്തം അല്ല ഒരു ഭാഗം) അല്ലെങ്കിൽ മാത്രം ആകെ (ഇനത്തിലേക്ക് മൂല്യം ചേർക്കുക ഇല്ല) അല്ലെങ്കിൽ രണ്ടും മാത്രമാണ് ഈ വിഭാഗത്തിലെ നിങ്ങളെ വ്യക്തമാക്കാൻ കഴിയും. 10. ചേർക്കുക അല്ലെങ്കിൽ നിയമഭേദഗതി: നിങ്ങൾ നികുതി ചേർക്കാൻ അല്ലെങ്കിൽ കുറച്ചാണ് ആഗ്രഹിക്കുന്ന എന്നു്."
DocType: Homepage,Homepage,ഹോംപേജ്
DocType: Grant Application,Grant Application Details ,അപേക്ഷകൾ അനുവദിക്കുക
DocType: Employee Separation,Employee Separation,തൊഴിലുടമ വേർപിരിയൽ
DocType: BOM Item,Original Item,യഥാർത്ഥ ഇനം
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Date,പ്രമാണ തീയതി
apps/erpnext/erpnext/education/doctype/program_enrollment/program_enrollment.py,Fee Records Created - {0},സൃഷ്ടിച്ചു ഫീസ് റെക്കോർഡ്സ് - {0}
DocType: Asset Category Account,Asset Category Account,അസറ്റ് വർഗ്ഗം അക്കൗണ്ട്
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Row #{0} (Payment Table): Amount must be positive,വരി # {0} (പേയ്മെന്റ് ടേബിൾ): തുക പോസിറ്റീവ് ആയിരിക്കണം
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Cannot produce more Item {0} than Sales Order quantity {1},സെയിൽസ് ഓർഡർ അളവ് {1} അധികം ഇനം {0} ഉത്പാദിപ്പിക്കാനുള്ള കഴിയുന്നില്ലേ
apps/erpnext/erpnext/accounts/report/gross_and_net_profit_report/gross_and_net_profit_report.py,Nothing is included in gross,മൊത്തത്തിൽ ഒന്നും ഉൾപ്പെടുത്തിയിട്ടില്ല
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill already exists for this document,ഈ പ്രമാണത്തിനായി ഇ-വേ ബിൽ ഇതിനകം നിലവിലുണ്ട്
apps/erpnext/erpnext/stock/doctype/item/item.js,Select Attribute Values,ആട്രിബ്യൂട്ട് മൂല്യങ്ങൾ തിരഞ്ഞെടുക്കുക
DocType: Purchase Invoice,Reason For Issuing document,രേഖ രേഖപ്പെടുത്തുന്നതിനുള്ള കാരണം
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Stock Entry {0} is not submitted,ഓഹരി എൻട്രി {0} സമർപ്പിച്ചിട്ടില്ലെന്നതും
DocType: Payment Reconciliation,Bank / Cash Account,ബാങ്ക് / ക്യാഷ് അക്കൗണ്ട്
DocType: Bank Transaction,ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-
apps/erpnext/erpnext/crm/doctype/lead/lead.py,Next Contact By cannot be same as the Lead Email Address,അടുത്തത് ബന്ധപ്പെടുക നയിക്കുന്നത് ഇമെയിൽ വിലാസം തന്നെ പാടില്ല
DocType: Tax Rule,Billing City,ബില്ലിംഗ് സിറ്റി
apps/erpnext/erpnext/regional/italy/setup.py,Applicable if the company is an Individual or a Proprietorship,കമ്പനി ഒരു വ്യക്തിയോ പ്രൊപ്രൈറ്റർഷിപ്പോ ആണെങ്കിൽ ബാധകമാണ്
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,Log Type is required for check-ins falling in the shift: {0}.,ഷിഫ്റ്റിൽ വീഴുന്ന ചെക്ക്-ഇന്നുകൾക്ക് ലോഗ് തരം ആവശ്യമാണ്: {0}.
DocType: Asset,Manual,കൈകൊണ്ടുള്ള
DocType: Tally Migration,Is Master Data Processed,മാസ്റ്റർ ഡാറ്റ പ്രോസസ്സ് ചെയ്യുന്നു
DocType: Salary Component Account,Salary Component Account,ശമ്പള ഘടകങ്ങളുടെ അക്കൗണ്ട്
DocType: Global Defaults,Hide Currency Symbol,കറൻസി ചിഹ്നം മറയ്ക്കുക
apps/erpnext/erpnext/config/non_profit.py,Donor information.,സംഭാവനകളുടെ വിവരം.
apps/erpnext/erpnext/config/accounting.py,"e.g. Bank, Cash, Credit Card","ഉദാ ബാങ്ക്, ക്യാഷ്, ക്രെഡിറ്റ് കാർഡ്"
DocType: Vital Signs,"Normal resting blood pressure in an adult is approximately 120 mmHg systolic, and 80 mmHg diastolic, abbreviated ""120/80 mmHg""","മുതിർന്നവരിൽ സാധാരണ രക്തസമ്മർദ്ദം 120 mmHg systolic, 80 mmHg ഡയസ്റ്റോളിക്, ചുരുക്കി &quot;120/80 mmHg&quot;"
DocType: Journal Entry,Credit Note,ക്രെഡിറ്റ് കുറിപ്പ്
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,Finished Good Item Code,നല്ല ഇന കോഡ് പൂർത്തിയാക്കി
apps/erpnext/erpnext/config/desktop.py,Quality,ക്വാളിറ്റി
DocType: Projects Settings,Ignore Employee Time Overlap,ജീവനക്കാരുടെ സമയം ഓവർലാപ്പ് അവഗണിക്കുക
DocType: Warranty Claim,Service Address,സേവന വിലാസം
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.js,Import Master Data,മാസ്റ്റർ ഡാറ്റ ഇമ്പോർട്ടുചെയ്യുക
DocType: Asset Maintenance Task,Calibration,കാലിബ്രേഷൻ
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} is a company holiday,{0} ഒരു കമ്പനി അവധി ദിവസമാണ്
apps/erpnext/erpnext/projects/report/billing_summary.py,Billable Hours,ബിൽ ചെയ്യാവുന്ന സമയം
apps/erpnext/erpnext/patches/v11_0/add_default_email_template_for_leave.py,Leave Status Notification,സ്റ്റാറ്റസ് അറിയിപ്പ് വിടുക
DocType: Patient Appointment,Procedure Prescription,നടപടിക്രമം കുറിപ്പടി
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Furnitures and Fixtures,Furnitures ആൻഡ് മതംതീര്ത്ഥാടനംജ്യോതിഷംഉത്സവങ്ങള്വിശ്വസിക്കാമോ
DocType: Travel Request,Travel Type,യാത്ര തരം
DocType: Purchase Invoice Item,Manufacture,നിര്മ്മാണം
DocType: Blanket Order,MFG-BLR-.YYYY.-,MFG-BLR-.YYYY.-
apps/erpnext/erpnext/utilities/user_progress.py,Setup Company,സെറ്റപ്പ് കമ്പനി
,Lab Test Report,ലാബ് ടെസ്റ്റ് റിപ്പോർട്ട്
DocType: Employee Benefit Application,Employee Benefit Application,തൊഴിലുടമ ബെനിഫിറ്റ് അപേക്ഷ
apps/erpnext/erpnext/hr/doctype/additional_salary/additional_salary.py,Additional Salary Component Exists.,അധിക ശമ്പള ഘടകം നിലവിലുണ്ട്.
DocType: Purchase Invoice,Unregistered,രജിസ്റ്റർ ചെയ്തിട്ടില്ല
DocType: Student Applicant,Application Date,അപേക്ഷാ തീയതി
DocType: Salary Component,Amount based on formula,ഫോർമുല അടിസ്ഥാനമാക്കി തുക
DocType: Purchase Invoice,Currency and Price List,കറൻസി വിലവിവരപ്പട്ടികയും
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Create Maintenance Visit,പരിപാലന സന്ദർശനം സൃഷ്ടിക്കുക
DocType: Opportunity,Customer / Lead Name,കസ്റ്റമർ / ലീഡ് പേര്
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py,Clearance Date not mentioned,ക്ലിയറൻസ് തീയതി പറഞ്ഞിട്ടില്ലാത്ത
DocType: Payroll Period,Taxable Salary Slabs,നികുതി അടയ്ക്കാവുന്ന ശമ്പള സ്ലാബുകൾ
apps/erpnext/erpnext/config/manufacturing.py,Production,പ്രൊഡക്ഷൻ
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! The input you've entered doesn't match the format of GSTIN.,GSTIN അസാധുവാണ്! നിങ്ങൾ നൽകിയ ഇൻപുട്ട് GSTIN ഫോർമാറ്റുമായി പൊരുത്തപ്പെടുന്നില്ല.
DocType: Guardian,Occupation,തൊഴില്
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Row {0}:Start Date must be before End Date,വരി {0}: ആരംഭ തീയതി അവസാന തീയതി മുമ്പ് ആയിരിക്കണം
DocType: Salary Component,Max Benefit Amount (Yearly),പരമാവധി ബെനിഫിറ്റ് തുക (വാർഷികം)
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,TDS Rate %,ടിഡിഎസ് നിരക്ക്%
DocType: Crop,Planting Area,നടീൽ പ്രദേശം
apps/erpnext/erpnext/controllers/trends.py,Total(Qty),ആകെ (Qty)
DocType: Installation Note Item,Installed Qty,ഇൻസ്റ്റോൾ ചെയ്ത Qty
apps/erpnext/erpnext/utilities/user_progress.py,You added ,നിങ്ങൾ ചേർത്തു
,Product Bundle Balance,ഉൽപ്പന്ന ബണ്ടിൽ ബാലൻസ്
DocType: Purchase Taxes and Charges,Parenttype,Parenttype
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Central Tax,കേന്ദ്ര നികുതി
apps/erpnext/erpnext/hr/doctype/training_event/training_event.js,Training Result,പരിശീലന ഫലം
DocType: Purchase Invoice,Is Paid,നൽകപ്പെടും
