Pension Funds,Пенсионные фонды
Repay Fixed Amount per Period,Погашение фиксированной суммы за период
Show Variant Attributes,Показать атрибуты вариантов
Credit Amount,Сумма кредита
Total Amount Credited,Общая сумма кредита
Post Route Key List,Список ключей после маршрута
{0} {1} not in any active Fiscal Year.,{0} {1} не в любом активном финансовом году.
Problem,проблема
Conference,Конференция
Mode of Payment Account,Режим оплаты счета
Encashable days,Encashable дни
Collect Fee for Patient Registration,Взять плату за регистрацию пациента
Disable Template,Отключить шаблон
Filter Employees By (Optional),Фильтровать сотрудников по (необязательно)
{0} has been submitted successfully,{0} был успешно отправлен
Wages per hour,Заработная плата в час
Max Discount (%),Максимальная скидка (%)
Salary Mode,Режим зарплаты
The amount of {0} set in this payment request is different from the calculated amount of all payment plans: {1}. Make sure this is correct before submitting the document.,"Сумма {0}, установленная в этом запросе на платеж, отличается от рассчитанной суммы всех планов платежей: {1}. Убедитесь, что это правильно перед отправкой документа."
Contact Info,Контактная информация
Transaction reference no {0} dated {1},Ссылка на транзакцию № {0} от {1}
Currency is required for Price List {0},Валюта требуется для прайс-листа {0}
Program Name,Название программы
This is a root account and cannot be edited.,"Это корневой аккаунт, и его нельзя редактировать."
'Expected Start Date' can not be greater than 'Expected End Date',"«Ожидаемая дата начала» не может быть больше, чем «Ожидаемая дата окончания»"
Employee Tax Exemption Declaration Category,Категория декларации об освобождении от налогов
Item To Manufacture,Товар для производства
In Qty,В кол-во
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","«Фиксированный актив» не может быть снят, так как запись объекта существует против элемента"
Flexible Benefits,Гибкие преимущества
Leave Approval Notification,Оставить уведомление об утверждении
Total Actual Amount,Общая фактическая сумма
Party is mandatory,Вечеринка обязательна
Check all,Проверить все
"If unlimited expiry for the Loyalty Points, keep the Expiry Duration empty or 0.","Если срок действия очков лояльности не ограничен, оставьте поле «Длительность истечения» пустым или 0."
Explanation,объяснение
Exchange Rate,Курс обмена
Total Costing Amount (via Time Sheet),Общая сумма затрат (через табель рабочего времени)
Billing County,Округ Биллинг
Lead Source,Ведущий источник
Next email will be sent on:,Следующее письмо будет отправлено на:
Source Document Type,Тип исходного документа
Frequency To Collect Progress,Частота для сбора прогресса
Head of Marketing and Sales,Руководитель отдела маркетинга и продаж
Supplier Quotation {0} created,Предложение поставщика {0} создано
Successfully deleted all transactions related to this company!,"Успешно удалены все транзакции, связанные с этой компанией!"
On Net Total,Всего в сети
Ca/(K+Ca+Mg),Са / (К + Са + Mg)
Hold,Держать
You can not enter current voucher in 'Against Journal Entry' column,Вы не можете ввести текущий ваучер в столбце «Против записи в журнале»
Please select Company and Party Type first,"Пожалуйста, сначала выберите компанию и тип партии"
Go to ,Идти к
Work Orders in Progress,Выполняемые заказы
To Invoice Date,К дате выставления счета
Vacancies,Свободные места
Last Purchase Rate,Последняя ставка покупки
Sales Expenses,Расходы на продажу
Default income accounts to be used if not set in Healthcare Practitioner to book Appointment charges.,"Счета дохода по умолчанию, которые будут использоваться, если они не установлены в Healthcare Practitioner для учета расходов на назначение."
Student Group is already updated.,Студенческая группа уже обновлена.
Fleet Manager,Управляющий флотом
You are not authorized to approve leaves on Block Dates,Вы не уполномочены утверждать листы на блочных датах
Purchase Invoice Trends,Тенденции покупки счетов
On Previous Row Amount,На предыдущей строке
No Tax Withholding data found for the current Fiscal Year.,Данные об удержании налогов за текущий финансовый год не найдены.
Taxi,Такси
Inactive,Неактивный
Actual qty in stock,Актуальное количество на складе
Student Sibling,Студент брат
Go to Rooms,Перейти в комнаты
Create Employee Records,Создать записи сотрудников
"Ordered Qty: Quantity ordered for purchase, but not received.","Заказанное количество: количество, заказанное для покупки, но не полученное."
Patient ID,ID пациента
Permanent Address Is,Постоянный адрес
Guest Name,Имя гостя
Accumulated Values in Group Company,Накопленные ценности в группе компаний
Resume,Продолжить
BOM Stock Calculated,Спецификация запаса рассчитана
New Employee ID,Новый идентификатор сотрудника
Tax template for selling transactions.,Налоговый шаблон для продажи сделок.
To Currency,К валюте
Instructor Name,Имя инструктора
Research,Исследование
Employee Name,Имя сотрудника
Attendance can not be marked for future dates,Посещаемость не может быть отмечена для будущих дат
Min Grade,Мин класс
Manufactured Qty,Произведенное кол-во
Alcohol Current Use,Алкоголь Текущее использование
Total Leave Days,Всего дней отпуска
Repair Status,Статус ремонта
Territory Manager,Региональный менеджер
Sample ID,Образец ID
Cart is Empty,Корзина пуста
Asset {0} must be submitted,Актив {0} должен быть отправлен
Absent Student Report,Отчет об отсутствии студентов
Included in Gross Profit,Включено в валовую прибыль
Price List not found or disabled,Прайс-лист не найден или отключен
Funded Amount,Финансируемая сумма
{0} {1} has not been submitted so the action cannot be completed,"{0} {1} не было отправлено, поэтому действие не может быть завершено"
Trial Period End Date,Дата окончания пробного периода
The new BOM after replacement,Новая спецификация после замены
Item 5,Пункт 5
Passport Number,Номер паспорта
Temporary Opening,Временное открытие
Pricing Rules are further filtered based on quantity.,Правила ценообразования дополнительно фильтруются по количеству.
Appraisal {0} created for Employee {1} in the given date range,Оценка {0} создана для сотрудника {1} в заданном диапазоне дат
Variance,отклонение
Partly Delivered,Частично доставлено
Maintain Stock,Поддерживать запас
Started Time,Время начала
Shifts and Fleet Management,Смены и управление автопарком
Average time taken by the supplier to deliver,"Среднее время, необходимое поставщику для доставки"
Per Transferred,За переданный
Indicates that the package is a part of this delivery (Only Draft),"Указывает, что пакет является частью этой доставки (только черновик)"
Get Template,Получить шаблон
Next Business Day,Следующий рабочий день
Receivable / Payable Account,Счет дебиторской / кредиторской задолженности
You cannot credit and debit same account at the same time,Вы не можете одновременно кредитовать и дебетовать один и тот же аккаунт
Weather,Погода
Welcome to ERPNext,Добро пожаловать в ERPNext
Maximum Invoice Amount,Максимальная сумма счета
Expense Claim for Vehicle Log {0},Расходная заявка на регистрацию транспортного средства {0}
Patient Encounters in valid days,Встречи с пациентами в действительные дни
Student Fee Collection,Сбор студенческого сбора
Sales Order Required,Требуется заказ клиента
Serial No / Batch,Серийный номер / партия
Statement of Account,Выписка со счета
Offer Term,Срок действия предложения
Account {0} does not belong to company: {1},Аккаунт {0} не принадлежит компании: {1}
Tally Migration,Tally Migration
"Purchase, Replenishment Details","Покупка, детали пополнения"
"Once set, this invoice will be on hold till the set date",После выставления счета этот счет будет удерживаться до установленной даты.
Stock cannot exist for Item {0} since has variants,"Запас не может существовать для позиции {0}, так как имеет варианты"
Grouped,Сгруппированные
January,январь
Course Assessment Criteria,Критерии оценки курса
INR,INR
Completed Qty,Завершено Кол-во
Start Day,День начала
GoCardless payment gateway settings,Настройки платежного шлюза GoCardless
Depreciation Expense Account,Амортизационные расходы
Production Plan Sales Order,Производственный план Заказ на продажу
Finished product quantity <b>{0}</b> and For Quantity <b>{1}</b> cannot be different,Количество готового продукта <b>{0}</b> и Для количества <b>{1}</b> не может быть другим
View Lab Tests,Посмотреть лабораторные тесты
Instructor,инструктор
Show Public Attachments,Показать общедоступные вложения
Fields will be copied over only at time of creation.,Поля будут скопированы только во время создания.
Vehicle No,Автомобиль №
CRM-LEAD-.YYYY.-,CRM-LEAD-.YYYY.-
Payment Entry is already created,Запись о платеже уже создана
Multiple Variants,Несколько вариантов
Please select a csv file,"Пожалуйста, выберите CSV-файл"
Serial No Details,Серийный No Details
Source and Target Location cannot be same,Исходное и целевое местоположение не могут быть одинаковыми
Show Employee,Показать сотрудника
Writeoff,Списать
ISS-.YYYY.-,МКС-.YYYY.-
Payment Request,Платежный запрос
Selected Price List should have buying and selling fields checked.,В выбранном прайс-листе должны быть отмечены поля покупки и продажи.
Cannot covert to Group because Account Type is selected.,"Не удается перейти в группу, так как выбран тип учетной записи."
Exchange Gain / Loss Account,Обмен Gain / Loss Account
Project Template,Шаблон проекта
Reorder Qty,Изменить порядок
Too many columns. Export the report and print it using a spreadsheet application.,Слишком много столбцов. Экспортируйте отчет и распечатайте его с помощью приложения для работы с электронными таблицами.
Salary Slips Submitted,Представленные листы зарплаты
For Supplier,Для поставщика
Accounting entries have already been made in currency {0} for company {1}. Please select a receivable or payable account with currency {0}.,"Учетные записи уже были сделаны в валюте {0} для компании {1}. Пожалуйста, выберите счет к получению или к оплате в валюте {0}."
New Asset Value,Новая стоимость активов
Volunteer Type,Тип волонтера
Printed On,Напечатано на
Grant Leaves,Грант Листья
Vehicle Value,Стоимость автомобиля
Project Billing Summary,Сводка платежных данных по проекту
Receipt,Чек
Please click on 'Generate Schedule' to get schedule,"Пожалуйста, нажмите «Создать расписание», чтобы получить расписание"
TDS Rate %,TDS Rate%
Contact Number,Контактный номер
POS Closing Voucher,POS закрывающий ваучер
Quality Inspection Template Name,Название шаблона контроля качества
Added {0} users,Добавлено {0} пользователей
Convert to Non-Group,Преобразовать в не группу
Set as Lost,Сделать потерянным
Payroll Entry,Ввод заработной платы
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2}.,"{0} является обязательным. Возможно, запись обмена валют не создана для {1} - {2}."
Transporter Name,Название перевозчика
"Planned Qty: Quantity, for which, Work Order has been raised, but is pending to be manufactured.","Запланированное кол-во: количество, для которого было задано рабочее задание, но ожидается его изготовление."
Has Variants,Есть варианты
Securities & Commodity Exchanges,Ценные бумаги и товарные биржи
Deferred Expense,Отсроченные расходы
Salary Slip ID,ID зарплаты
Membership ID,ID участника
Sales Register,Реестр продаж
Please specify a valid 'From Case No.',"Пожалуйста, укажите действительный «От случая №»"
Primary Address and Contact Detail,Основной адрес и контактная информация
This is based on transactions against this Customer. See timeline below for details,Это основано на транзакциях против этого Клиента. Смотрите график ниже для деталей
Hotels,Отели
Valid for Countries,Действительно для стран
Territory Target Variance Based On Item Group,Целевое отклонение территории на основе группы товаров
Rename Tool,Переименовать инструмент
Total Payable Amount,Общая сумма к оплате
Add All Suppliers,Добавить всех поставщиков
Row {0}: Currency of the BOM #{1} should be equal to the selected currency {2},Строка {0}: валюта спецификации # {1} должна быть равна выбранной валюте {2}
Product,Товар
Value {0} for Attribute {1} does not exist in the list of valid Item Attribute Values for Item {2},Значение {0} для атрибута {1} не существует в списке допустимых значений атрибута элемента для элемента {2}
{0} units of [{1}](#Form/Item/{1}) found in [{2}](#Form/Warehouse/{2}),{0} единиц [{1}] (# Форма / Элемент / {1}) найдены в [{2}] (# Форма / Склад / {2})
Weight (In Kilogram),Вес (в килограммах)
Leave Approver,Оставьте утверждающего
Transactions,операции
Resolution Details,Детали разрешения
Delivery Note Item,Пункт накладной
Connected to QuickBooks,Подключен к QuickBooks
Shelf Life In Days,Срок годности в днях
Key Reports,Ключевые отчеты
Possible Supplier,Возможный поставщик
Issued Items Against Work Order,Выданные предметы против наряда на работу
Creating {0} Invoice,Создание {0} счета
Joining Date,Дата вступления
Requesting Site,Запрашивающий сайт
Against Expense Account,По счету расходов
Cannot create a Delivery Trip from Draft documents.,Невозможно создать маршрут доставки из черновиков документов.
Lead to Quotation,Привести к цитате
Check this if the Student is residing at the Institute's Hostel.,"Отметьте это, если студент проживает в общежитии института."
Student {0} - {1} appears Multiple times in row {2} & {3},Учащийся {0} - {1} появляется несколько раз в строке {2} &amp; {3}
Creating Payment Entries......,Создание платежных записей ......
Total Planned Qty,Всего запланированное кол-во
Cost,Стоимость
Healthcare Service Unit Type,Тип единицы медицинского обслуживания
Please enter atleast 1 invoice in the table,"Пожалуйста, введите хотя бы 1 счет в таблицу"
Sales Order {0} is not submitted,Заказ клиента {0} не отправлен
Attendance has been marked successfully.,Посещаемость была успешно отмечена.
Pre Sales,Предпродажа
Project master.,Мастер проекта.
Daily Work Summary,Ежедневная сводка работы
Partially Depreciated,Частично обесценился
'Days Since Last Order' must be greater than or equal to zero,«Количество дней с последнего заказа» должно быть больше или равно нулю
For Default Supplier (optional),Для поставщика по умолчанию (необязательно)
Leave Encashed?,Оставить Encashed?
Discuss ID,Обсудить ID
Please set GST Accounts in GST Settings,"Пожалуйста, установите учетные записи GST в настройках GST"
Billing Currency,Валюта выставления счета
Student Activity,Студенческая деятельность
Either target qty or target amount is mandatory,Целевое количество или целевое количество обязательно
{0} is now the default Fiscal Year. Please refresh your browser for the change to take effect.,"{0} теперь является финансовым годом по умолчанию. Пожалуйста, обновите ваш браузер, чтобы изменения вступили в силу."
From Address 2,С адреса 2
"Of the supplies shown in 3.1 (a) above, details of inter-State supplies made to unregisterd
	persons, composition taxable persons and UIN holders","Из поставок, показанных в пункте 3.1 (a) выше, информация о межгосударственных поставках, сделанных незарегистрированным лицам, составным налогоплательщикам и держателям UIN"
Default Inventory Account,Учетная запись по умолчанию
The Year End Date cannot be earlier than the Year Start Date. Please correct the dates and try again.,"Дата окончания года не может быть раньше даты начала года. Пожалуйста, исправьте даты и попробуйте снова."
Target  Amount,Целевая сумма
Hotel Rooms of type {0} are unavailable on {1},Гостиничные номера типа {0} недоступны {1}
New Customer Revenue,Доход нового клиента
Applicable Charges,Применимые сборы
Point of Sale,Торговая точка
Approving User  (above authorized value),Утверждающий пользователь (выше разрешенного значения)
Amount {0} {1} transferred from {2} to {3},Сумма {0} {1} переведена из {2} в {3}
Customer {0} does not belong to project {1},Клиент {0} не принадлежит проекту {1}
From Party Name,От имени партии
Maintenance Status,Состояние обслуживания
Pending Qty,В ожидании кол-во
 or ,или же
Not Delivered,Не поставляется
Leave Type {0} cannot be allocated since it is leave without pay,"Тип отпуска {0} не может быть назначен, так как это отпуск без оплаты"
Debit Amount,Сумма дебета
Already record exists for the item {0},Уже существует запись для элемента {0}
Sub Assemblies,Подборки
"If multiple Pricing Rules continue to prevail, users are asked to set Priority manually to resolve conflict.","Если несколько правил ценообразования продолжают преобладать, пользователям предлагается установить приоритет вручную, чтобы разрешить конфликт."
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',"Невозможно вычесть, когда категория для «Оценка» или «Оценка и итого»"
BOM and Manufacturing Quantity are required,Требуется спецификация и количество производства
Item {0} has reached its end of life on {1},Срок действия элемента {0} истек {1}
Reading 6,Чтение 6
Material Consumption is not set in Manufacturing Settings.,Расход материала не задан в настройках производства.
Assessment Group Name,Название оценочной группы
Manufacturer Part Number,Номер детали производителя
Payroll Payable,Payroll Payable
Row #{0}: {1} can not be negative for item {2},Строка # {0}: {1} не может быть отрицательным для элемента {2}
Balance Qty,Баланс Кол-во
1 Loyalty Points = How much base currency?,1 Очки лояльности = Сколько базовой валюты?
Note: There is not enough leave balance for Leave Type {0},Примечание. Недостаточно свободного баланса для типа отпуска {0}
Inpatient Record,Стационарная запись
Customer's Item Code,Код товара клиента
Change Item Code,Изменить код товара
Student Group Instructor,Студенческая группа Инструктор
Transaction Type,Тип операции
House rented dates should be atleast 15 days apart,Даты аренды дома должны быть не менее 15 дней
View Form,Посмотреть форму
Valuation Rate is mandatory if Opening Stock entered,"Коэффициент оценки является обязательным, если введен начальный запас"
Exit Interview Details,Выйти из интервью
Accounting Details,Бухгалтерские данные
Maintenance Schedule {0} must be cancelled before cancelling this Sales Order,График обслуживания {0} должен быть отменен перед отменой данного заказа на продажу
HR-DRI-.YYYY.-,HR-DRI-.YYYY.-
Mention if non-standard receivable account,"Укажите, если нестандартный дебиторский счет"
Prescription,давность
Set as Closed,Установить как закрытый
Opening Accumulated Depreciation,Начисление накопленной амортизации
Sand Composition (%),Песок Состав (%)
MFG-PP-.YYYY.-,MFG-PP-.YYYY.-
Import Day Book Data,Импорт данных дневника
Asset Owner Company,"Компания, владеющая активами"
Cost center is required to book an expense claim,"Учетный центр требуется, чтобы заказать расходную заявку"
{0} valid serial nos for Item {1},{0} действительные серийные номера для элемента {1}
Cannot promote Employee with status Left,Невозможно продвинуть сотрудника со статусом слева
Expiry (In Days),Срок действия (в днях)
Notify Other,Уведомить других
Please select Company,"Пожалуйста, выберите компанию"
Item-wise Purchase Register,Товарный реестр покупок
Reason For Leaving,Причина ухода
Earning & Deduction,Заработок и удержание
Employee Referral,Направление сотрудника
Qty to Order,Кол-во для заказа
Request for purchase.,Запрос на покупку.
Moving Average Rate,Скользящая средняя скорость
Tax template for buying transactions.,Налоговый шаблон для покупки транзакций.
Send SMS,Отправить смс
Unverified Webhook Data,Неподтвержденные данные Webhook
Human Resource,Человеческий ресурс
{0} {1} has been modified. Please refresh.,"{0} {1} был изменен. Пожалуйста, обновите."
Stock balance in Batch {0} will become negative {1} for Item {2} at Warehouse {3},Баланс запасов в партии {0} станет отрицательным {1} для позиции {2} на складе {3}
Asset Depreciation Ledger,Книга амортизации основных средств
Tree Details,Детали дерева
Create missing customer or supplier.,Создать недостающего клиента или поставщика.
Blood Pressure (diastolic),Артериальное давление (диастолическое)
As per rules 42 & 43 of CGST Rules,Согласно правилам 42 и 43 Правил CGST
Show in Website (Variant),Показать на сайте (вариант)
Please set the Email ID for the Student to send the Payment Request,"Пожалуйста, установите электронный адрес для студента, чтобы отправить запрос на оплату"
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.","Создайте упаковочные листы для доставки пакетов. Используется для уведомления номера пакета, содержимого пакета и его веса."
No of Requested SMS,Нет запрошенных SMS
Banking and Payments,Банковское дело и платежи
Instructor Log,Инструктор Лог
"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount",Максимальное вознаграждение работника {0} превышает {1} на сумму {2} пропорционального компонента \ пособия по заявке на пособие и предыдущей заявленной суммы
Please enter valid email address,"Пожалуйста, введите действующий адрес электронной почты"
Retail Operations,Розничные операции
Phone No,Номер телефона
Reqd By Date,Требуется по дате
Uncheck all,Снять все
To Place,Положить
Default Work In Progress Warehouse,Складская работа по умолчанию
Include Payment,Включить оплату
Byproducts,Субпродукты
Student,Ученик
Manage Customer Group Tree.,Управление деревом групп клиентов.
Payment From / To,Оплата от / до
Serial number {0} entered more than once,Серийный номер {0} введен более одного раза
Website Item Group,Группа элементов веб-сайта
CA,Калифорния
Under Warranty,На гарантии
Invoice Posting Date,Дата проводки счета
Delivery Note,Накладная
Attendance Freeze Date,Дата замораживания посещаемости
Item and Warranty Details,Детали и информация о гарантии
Time Logs,Время Журналы
Extra Bed Capacity,Вместимость дополнительной кровати
Net Pay (in words) will be visible once you save the Salary Slip.,Чистая оплата (в словах) будет видна после сохранения квитанции.
Could not solve weighted score function. Make sure the formula is valid.,"Не удалось решить функцию взвешенной оценки. Убедитесь, что формула верна."
Asset Owner,Владелец Актива
Warehouse is mandatory for stock Item {0} in row {1},Склад является обязательным для складской позиции {0} в строке {1}
Total Additional Costs,Всего дополнительных расходов
Last Sync On,Последняя синхронизация включена
Please set at least one row in the Taxes and Charges Table,"Пожалуйста, укажите хотя бы одну строку в таблице налогов и сборов"
Maintenance Team Name,Название группы обслуживания
Chart of Cost Centers,План центров затрат
Go to Users,Перейти к пользователям
Item Code,Код изделия
'Opening',«Открытие»
Set Exchange Gain / Loss,Установить обмен прибыли / убытка
Make Payment via Journal Entry,Произвести оплату через журнал
User has not applied rule on the invoice {0},Пользователь не применил правило к счету {0}
Payment Terms based on conditions,Условия оплаты на основе условий
% Received,% Получено
Work Order Qty,Кол-во заказов
WIP Warehouse,WIP Склад
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-
User ID not set for Employee {0},Идентификатор пользователя не установлен для Сотрудника {0}
"Available qty is {0}, you need {1}","Доступное количество: {0}, вам нужно {1}"
User {0} created,Пользователь {0} создан
Item Naming By,Наименование товара по
Ordered,Приказал
This is a root customer group and cannot be edited.,"Это корневая группа клиентов, которую нельзя редактировать."
Material Request {0} is cancelled or stopped,Запрос материала {0} отменен или остановлен
Supplied Qty,Поставляется Кол-во
Cash Flow Mapper,Денежный поток Mapper
Sand,песок
Employee cannot report to himself.,Сотрудник не может отчитываться перед собой.
Order rescheduled for sync,Заказ перенесен на синхронизацию
Default Unit of Measure for Variant '{0}' must be same as in Template '{1}',"Единица измерения по умолчанию для варианта &#39;{0}&#39; должна быть такой же, как в шаблоне &#39;{1}&#39;"
Purchasing,покупка
Cellphone Number,телефонный номер
Gross Pay,Валовая оплата
Hotel Room Pricing Package,Цены на гостиничные номера
Is Cumulative,Накопительно
Your cart is Empty,Ваша корзина пуста
Daily Timesheet Summary,Ежедневное расписание
New Quality Procedure,Новая процедура качества
Sub-contracting,Суб-сжимание
Total Students,Всего студентов
Local,Местный
Leave Reason,Оставьте причину
Condition and Formula,Состояние и формула
"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","Заработная плата уже обработана за период между {0} и {1}, период оставления заявки не может быть между этим диапазоном дат."
Basic Rate (Company Currency),Базовая ставка (валюта компании)
BOM Scrap Item,Спецификация лома
Serial #,Серийный №
Default Billing Rate,Платежная ставка по умолчанию
Coated,покрытый
More Info,Больше информации
Bill of Materials,Ведомость материалов
Inter Company Invoice Reference,Ссылка на счет Inter Company
Cycle Type,Тип цикла
Exit Interview Summary,Выйти из интервью
Item Variant Details,Детали варианта изделия
Partially Fulfilled,Частично выполнено
ACC-JV-.YYYY.-,ACC-СП-.YYYY.-
To {0},До {0}
GST Accounts,GST счета
Total Invoiced Amount,Общая сумма выставленного счета
Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,Отключает создание журналов времени для рабочих заданий. Операции не должны отслеживаться в соответствии с рабочим заданием
Group node warehouse is not allowed to select for transactions,Склад группового узла не может быть выбран для транзакций
Subscriber Name,Имя подписчика
Customer Mobile No,Клиент Мобильный №
Receiving,получающий
Is Group,Группа
Contacts and Address,Контакты и адрес
Warehouse Name,Название склада
Attendance not submitted for {0} as it is a Holiday.,"Посещаемость не отправлена за {0}, так как это выходной."
Rounding,округление
Ineligible ITC,Неподходящий ITC
{0} created,{0} создано
Select account head of the bank where cheque was deposited.,"Выберите главу банковского счета, куда был внесен чек."
Support and Resolution,Поддержка и разрешение
Bank,Банка
Receive at Warehouse Entry,Получить на складе
Send Supplier Emails,Отправить электронную почту поставщика
Add new line,Добавить новую строку
Duplicate item group found in the item group table,Дублированная группа товаров найдена в таблице групп товаров
Annual Salary,Годовой оклад
Weighting Function,Весовая функция
Error evaluating the criteria formula,Ошибка оценки формулы критерия
Lab Test Report,Отчет о лабораторных испытаниях
With Operations,С операциями
People who teach at your organisation,"Люди, которые преподают в вашей организации"
Account {0} does not belongs to company {1},Аккаунт {0} не принадлежит компании {1}
Has Expiry Date,Имеет срок годности
Sum of Scores of Assessment Criteria needs to be {0}.,Сумма баллов критериев оценки должна быть {0}.
Property already added,Недвижимость уже добавлена
SUP-.YYYY.-,SUP-.YYYY.-
Expense Claim Account,Счет расходов
No repayments available for Journal Entry,Нет доступных платежей для записи в журнале
{0} - {1} is inactive student,{0} - {1} неактивный студент
Activities,мероприятия
Atleast one warehouse is mandatory,По крайней мере один склад обязателен
Customer Credit Balance,Кредитный баланс клиента
Operations,операции
Create Salary Slips,Создать листы зарплаты
Monthly Attendance Sheet,Ежемесячная посещаемость
Reflexes,рефлексы
"Service Item,Type,frequency and expense amount are required","Требуется пункт обслуживания, тип, частота и сумма расходов"
Variables,переменные
Multiple Loyalty Program found for the Customer. Please select manually.,"Найдена Многократная Программа Лояльности для Клиента. Пожалуйста, выберите вручную."
Medication,медикаментозное лечение
Select Loyalty Program,Выберите программу лояльности
Raw Materials,Сырье
Fully Billed,Полностью выставлен счет
Please set Hotel Room Rate on {},"Пожалуйста, установите стоимость номера в отеле {}"
Please identify/create Account (Ledger) for type - {0},Укажите / создайте учетную запись (книгу) для типа - {0}
Total Credit/ Debit Amount should be same as linked Journal Entry,Общая сумма кредита / дебета должна совпадать с соответствующей записью в журнале
Is Fixed Asset,Фиксированный актив
To Party Name,На имя партии
This Item is a Variant of {0} (Template).,Этот элемент является вариантом {0} (шаблон).
This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,"Этот инструмент поможет вам обновить или исправить количество и оценку запасов в системе. Обычно он используется для синхронизации системных значений и того, что действительно существует на ваших складах."
Net Amount,Чистая сумма
Selling Price List,Прейскурант продаж
IT,ЭТО
{0} must be negative in return document,{0} должен быть отрицательным в возвращаемом документе
Please select a valid Date,Пожалуйста выберите правильную дату
End Day,Конец дня
Please confirm once you have completed your training,"Пожалуйста, подтвердите, как только вы закончили обучение"
Go to Letterheads,Перейти на фирменные бланки
Allow User,Разрешить пользователя
% of materials delivered against this Sales Order,"% материалов, доставленных по этому заказу"
Purpose of Travel,Цель поездки
Appointment Confirmation,Подтверждение назначения
Orders,заказы
Retirement Age,Пенсионный возраст
Projected Qty,Прогнозируемое кол-во
Deletion is not permitted for country {0},Удаление не разрешено для страны {0}
Row #{0}: Asset {1} is already {2},Строка # {0}: актив {1} уже {2}
Installation Status,Состояние установки
Attribute Value,Значение атрибута
Base Change Amount (Company Currency),Базовая сумма изменения (валюта компании)
Unused leaves,Неиспользованные листья
Finished Item {0} must be entered for Manufacture type entry,Готовая позиция {0} должна быть введена для ввода типа изготовления
'Entries' cannot be empty,«Записи» не могут быть пустыми
Go to Courses,Перейти на курсы
Fee Breakup for each student,Разделение платы за каждого студента
Will also apply for variants,Также будет применяться для вариантов
Shared secret,Общий секрет
Write Off Cost Center,Списание МВЗ
Silty Clay,Илистая глина
Redeemed Points,Погашенные очки
Mandate,мандат
Create Multiple,Создать несколько
Scoring Standings,Подсчет очков
Result Title Field,Поле заголовка результата
New Leaves Allocated,Новые листья выделены
Homepage,домашняя страница
Compensatory Off,Компенсационный выкл
Opening Invoices Summary,Открытие счета
Engine Oil,Машинное масло
Applicant Name,Имя заявителя
Delivery Document No,Документ доставки №
Hub Users,Пользователи Hub
Actual Quantity,Фактическое количество
Credit Days,Кредитные дни
Project Id,Идентификатор проекта
Electronics,электроника
Due Date is mandatory,Дата исполнения обязательна
Qty Consumed Per Unit,Кол-во потребляемых единиц
Completed Work Orders,Завершенные рабочие задания
Help Section,Раздел справки
Attendance date can not be less than employee's joining date,Дата посещения не может быть меньше даты вступления сотрудника
Total Cost(Company Currency),Общая стоимость (валюта компании)
Net Total,Всего нетто
Referral,Направления
Model,модель
Please specify from/to range,"Пожалуйста, укажите от / до диапазона"
Quantity to Manufacture must be greater than 0.,Количество для изготовления должно быть больше 0.
Maintenance Time,Время обслуживания
Naming Series,Серия имен
Contract Terms,Контрактные условия
Either target qty or target amount is mandatory.,Целевое количество или целевое количество является обязательным.
Invalid {0},Неверный {0}
FIFO,ФИФО
Meeting Date,Дата встречи
HLC-INP-.YYYY.-,HLC-INP-.YYYY.-
Abbreviation cannot have more than 5 characters,Аббревиатура не может содержать более 5 символов
