DocType: Accounting Period,Period Name,সময়কালের নাম
DocType: Quality Inspection,MAT-QA-.YYYY.-,Mat-QA তে-.YYYY.-
DocType: Quality Meeting Table,Quality Meeting Table,মান সভা সারণী
apps/erpnext/erpnext/templates/pages/help.html,Visit the forums,ফোরাম দেখুন
DocType: Student,Student Mobile Number,শিক্ষার্থীর মোবাইল নম্বর
DocType: Item,Has Variants,ধরন আছে
DocType: Employee Benefit Claim,Claim Benefit For,জন্য বেনিফিট দাবি
apps/erpnext/erpnext/templates/emails/training_event.html,Update Response,প্রতিক্রিয়া আপডেট করুন
apps/erpnext/erpnext/public/js/utils.js,You have already selected items from {0} {1},আপনি ইতিমধ্যে থেকে আইটেম নির্বাচন করা আছে {0} {1}
DocType: Monthly Distribution,Name of the Monthly Distribution,মাসিক বন্টন নাম
DocType: Quality Procedure Process,Quality Procedure Process,গুণমান প্রক্রিয়া প্রক্রিয়া
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Batch ID is mandatory,ব্যাচ আইডি বাধ্যতামূলক
apps/erpnext/erpnext/stock/doctype/pick_list/pick_list.js,Please select Customer first,প্রথমে গ্রাহক নির্বাচন করুন
DocType: Sales Person,Parent Sales Person,মূল সেলস পারসন
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,No items to be received are overdue,প্রাপ্ত করা কোন আইটেম মুলতুবি হয়
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The seller and the buyer cannot be the same,বিক্রেতা এবং ক্রেতা একই হতে পারে না
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,No views yet,এখনো পর্যন্ত কোন মতামত নেই
DocType: Project,Collect Progress,সংগ্রহ অগ্রগতি
DocType: Delivery Note,MAT-DN-.YYYY.-,Mat-ডিএন .YYYY.-
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.py,Select the program first,প্রোগ্রাম প্রথম নির্বাচন করুন
DocType: Patient Appointment,Patient Age,রোগীর বয়স
apps/erpnext/erpnext/config/help.py,Managing Projects,প্রকল্প পরিচালনার
DocType: Quiz,Latest Highest Score,সর্বশেষ সর্বোচ্চ স্কোর
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial no {0} has been already returned,Serial no {0} ইতিমধ্যেই ফিরে এসেছে
DocType: Supplier,Supplier of Goods or Services.,পণ্য বা সেবার সরবরাহকারী.
DocType: Budget,Fiscal Year,অর্থবছর
DocType: Asset Maintenance Log,Planned,পরিকল্পিত
apps/erpnext/erpnext/hr/utils.py,A {0} exists between {1} and {2} (,{1} এবং {2} এর মধ্যে একটি {0} বিদ্যমান
DocType: Vehicle Log,Fuel Price,জ্বালানীর দাম
DocType: BOM Explosion Item,Include Item In Manufacturing,উত্পাদন আইটেম অন্তর্ভুক্ত
DocType: Bank Guarantee,Margin Money,মার্জিন টাকা
DocType: Budget,Budget,বাজেট
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Set Open,খুলুন সেট করুন
apps/erpnext/erpnext/stock/doctype/item/item.py,Fixed Asset Item must be a non-stock item.,পরিসম্পদ আইটেম একটি অ স্টক আইটেম হতে হবে.
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,"Budget cannot be assigned against {0}, as it's not an Income or Expense account",এটি একটি আয় বা ব্যয় অ্যাকাউন্ট না হিসাবে বাজেট বিরুদ্ধে {0} নিয়োগ করা যাবে না
DocType: Quality Review Table,Achieved,অর্জন
DocType: Student Admission,Application Form Route,আবেদনপত্র রুট
apps/erpnext/erpnext/support/doctype/service_level_agreement/service_level_agreement.py,End Date of Agreement can't be less than today.,চুক্তির শেষ তারিখ আজকের চেয়ে কম হতে পারে না।
apps/erpnext/erpnext/public/js/hub/components/CommentInput.vue,Ctrl + Enter to submit,জমা দিতে Ctrl + Enter
DocType: Healthcare Settings,Patient Encounters in valid days,বৈধ দিনগুলিতে রোগীর সম্মুখীন
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Leave Type {0} cannot be allocated since it is leave without pay,ত্যাগ প্রকার {0} বরাদ্দ করা যাবে না যেহেতু এটা বিনা বেতনে ছুটি হয়
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,Row {0}: Allocated amount {1} must be less than or equals to invoice outstanding amount {2},সারি {0}: বরাদ্দ পরিমাণ {1} কম হতে পারে অথবা বকেয়া পরিমাণ চালান সমান নয় {2}
DocType: Sales Invoice,In Words will be visible once you save the Sales Invoice.,আপনি বিক্রয় চালান সংরক্ষণ একবার শব্দ দৃশ্যমান হবে.
DocType: Lead,Follow Up,অনুসরণ করুন
apps/erpnext/erpnext/accounts/report/financial_statements.py,Cost Center: {0} does not exist,ব্যয় কেন্দ্র: {0} বিদ্যমান নেই
DocType: Item,Is Sales Item,সেলস আইটেম
apps/erpnext/erpnext/setup/doctype/item_group/item_group.js,Item Group Tree,আইটেমটি গ্রুপ বৃক্ষ
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Item {0} is not setup for Serial Nos. Check Item master,{0} আইটেম সিরিয়াল আমরা জন্য সেটআপ নয়. আইটেম মাস্টার চেক
DocType: Maintenance Visit,Maintenance Time,রক্ষণাবেক্ষণ সময়
,Amount to Deliver,পরিমাণ প্রদান করতে
DocType: Asset,Insurance Start Date,বীমা শুরু তারিখ
DocType: Salary Component,Flexible Benefits,নমনীয় উপকারিতা
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Same item has been entered multiple times. {0},একই আইটেম বহুবার প্রবেশ করা হয়েছে। {0}
apps/erpnext/erpnext/education/doctype/academic_term/academic_term.py,The Term Start Date cannot be earlier than the Year Start Date of the Academic Year to which the term is linked (Academic Year {}). Please correct the dates and try again.,টার্ম শুরুর তারিখ চেয়ে একাডেমিক ইয়ার ইয়ার স্টার্ট তারিখ যা শব্দটি সংযুক্ত করা হয় তার আগে না হতে পারে (শিক্ষাবর্ষ {}). তারিখ সংশোধন করে আবার চেষ্টা করুন.
apps/erpnext/erpnext/setup/doctype/company/company.js,There were errors.,ত্রুটি রয়েছে.
apps/erpnext/erpnext/templates/includes/cart/cart_address.html,Pin Code,পিনকোড
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Failed to setup defaults,ডিফল্ট সেটআপ করতে ব্যর্থ
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Employee {0} has already applied for {1} between {2} and {3} : ,কর্মচারী {0} ইতিমধ্যে {1} এবং {3} এর মধ্যে {1} জন্য প্রয়োগ করেছেন:
DocType: Guardian,Guardian Interests,গার্ডিয়ান রুচি
apps/erpnext/erpnext/accounts/doctype/account/account.js,Update Account Name / Number,অ্যাকাউন্টের নাম / সংখ্যা আপডেট করুন
DocType: Naming Series,Current Value,বর্তমান মূল্য
apps/erpnext/erpnext/controllers/accounts_controller.py,Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,একাধিক অর্থ বছরের তারিখ {0} জন্য বিদ্যমান. অর্থবছরে কোম্পানির নির্ধারণ করুন
DocType: Education Settings,Instructor Records to be created by,প্রশিক্ষক রেকর্ডস দ্বারা তৈরি করা হবে
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,{0} created,{0} তৈরি হয়েছে
DocType: GST Account,GST Account,জিএসটি অ্যাকাউন্ট
DocType: Delivery Note Item,Against Sales Order,সেলস আদেশের বিরুদ্ধে
,Serial No Status,সিরিয়াল কোন স্ট্যাটাস
DocType: Payment Entry Reference,Outstanding,অনিষ্পন্ন
DocType: Supplier,Warn POs,পিএইচ
,Daily Timesheet Summary,দৈনিক শ্রমিকের খাটুনিঘণ্টা লিপিবদ্ধ কার্ড সারাংশ
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Row {0}: To set {1} periodicity, difference between from and to date \
						must be greater than or equal to {2}","সারি {0}: সেট করুন {1} পর্যায়কাল, থেকে এবং তারিখ \ করার মধ্যে পার্থক্য এর চেয়ে বড় বা সমান হবে {2}"
apps/erpnext/erpnext/stock/doctype/item/item_dashboard.py,This is based on stock movement. See {0} for details,এই স্টক আন্দোলনের উপর ভিত্তি করে তৈরি. দেখুন {0} বিস্তারিত জানতে
DocType: Pricing Rule,Selling,বিক্রি
DocType: Payment Entry,Payment Order Status,পেমেন্ট অর্ডার স্থিতি
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Amount {0} {1} deducted against {2},পরিমাণ {0} {1} বিরুদ্ধে কাটা {2}
DocType: Sales Person,Name and Employee ID,নাম ও কর্মী ID
DocType: Promotional Scheme,Promotional Scheme Product Discount,প্রচারমূলক প্রকল্পের ছাড়
DocType: Website Item Group,Website Item Group,ওয়েবসাইট আইটেমটি গ্রুপ
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,No salary slip found to submit for the above selected criteria OR salary slip already submitted,কোনও বেতন স্লিপ পাওয়া যায় নিচের নির্বাচিত মানদণ্ডের জন্য অথবা ইতিমধ্যে জমা দেওয়া বেতন স্লিপের জন্য
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Duties and Taxes,কর্তব্য এবং কর
DocType: Projects Settings,Projects Settings,প্রকল্প সেটিংস
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Please enter Reference date,রেফারেন্স তারিখ লিখুন দয়া করে
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,{0} payment entries can not be filtered by {1},{0} পেমেন্ট থেকে দ্বারা ফিল্টার করা যাবে না {1}
DocType: Item Website Specification,Table for Item that will be shown in Web Site,ওয়েব সাইট এ দেখানো হবে যে আইটেমটি জন্য ছক
DocType: Purchase Order Item Supplied,Supplied Qty,সরবরাহকৃত Qty
DocType: Clinical Procedure,HLC-CPR-.YYYY.-,HLC-সি পি আর-.YYYY.-
DocType: Purchase Order Item,Material Request Item,উপাদানের জন্য অনুরোধ আইটেম
apps/erpnext/erpnext/config/buying.py,Tree of Item Groups.,আইটেম গ্রুপ বৃক্ষ.
DocType: Production Plan,Total Produced Qty,মোট উত্পাদিত পরিমাণ
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,No reviews yet,এখনও কোন পর্যালোচনা নেই
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Cannot refer row number greater than or equal to current row number for this Charge type,এই চার্জ ধরণ জন্য বর্তমান সারির সংখ্যা এর চেয়ে বড় বা সমান সারির সংখ্যা পড়ুন করতে পারবেন না
DocType: Asset,Sold,বিক্রীত
,Item-wise Purchase History,আইটেম-বিজ্ঞ ক্রয় ইতিহাস
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please click on 'Generate Schedule' to fetch Serial No added for Item {0},সিরিয়াল কোন আইটেম জন্য যোগ সংগ্রহ করার &#39;নির্মাণ সূচি&#39; তে ক্লিক করুন {0}
DocType: Account,Frozen,হিমায়িত
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Vehicle Type,গাড়ির ধরন
DocType: Sales Invoice Payment,Base Amount (Company Currency),বেজ পরিমাণ (কোম্পানি মুদ্রা)
DocType: Purchase Invoice,Registered Regular,নিয়মিত নিবন্ধিত
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Raw Materials,কাচামাল
DocType: Payment Reconciliation Payment,Reference Row,রেফারেন্স সারি
DocType: Installation Note,Installation Time,ইনস্টলেশনের সময়
DocType: Sales Invoice,Accounting Details,অ্যাকাউন্টিং এর বর্ণনা
DocType: Shopify Settings,status html,অবস্থা এইচটিএমএল
apps/erpnext/erpnext/setup/doctype/company/company.js,Delete all the Transactions for this Company,এই কোম্পানির জন্য সব লেনদেন মুছে
DocType: Designation,Required Skills,প্রয়োজনীয় দক্ষতা
DocType: Inpatient Record,O Positive,ও ইতিবাচক
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Investments,বিনিয়োগ
DocType: Issue,Resolution Details,রেজোলিউশনের বিবরণ
DocType: Leave Ledger Entry,Transaction Type,লেনদেন প্রকার
DocType: Item Quality Inspection Parameter,Acceptance Criteria,গ্রহণযোগ্য বৈশিষ্ট্য
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,Please enter Material Requests in the above table,উপরে টেবিল উপাদান অনুরোধ দয়া করে প্রবেশ করুন
apps/erpnext/erpnext/hr/doctype/loan/loan.py,No repayments available for Journal Entry,জার্নাল এন্ট্রি জন্য কোন প্রতিস্থাপনের উপলব্ধ
DocType: Hub Tracked Item,Image List,চিত্র তালিকা
DocType: Item Attribute,Attribute Name,নাম গুন
DocType: Subscription,Generate Invoice At Beginning Of Period,সময়ের শুরুতে চালান তৈরি করুন
DocType: BOM,Show In Website,ওয়েবসাইট দেখান
DocType: Loan Application,Total Payable Amount,মোট প্রদেয় টাকার পরিমাণ
DocType: Task,Expected Time (in hours),(ঘণ্টায়) প্রত্যাশিত সময়
DocType: Item Reorder,Check in (group),চেক ইন করুন (গ্রুপ)
DocType: Soil Texture,Silt,পলি
,Qty to Order,অর্ডার Qty
DocType: Period Closing Voucher,"The account head under Liability or Equity, in which Profit/Loss will be booked","দায় বা ইক্যুইটি অধীনে অ্যাকাউন্ট মাথা, যা লাভ / ক্ষতি বুকিং করা হবে"
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},আরেকটি বাজেট রেকর্ড &#39;{0}&#39; ইতিমধ্যে {1} &#39;{2}&#39; এবং আর্থিক বছরের জন্য &#39;{3}&#39; এর বিরুদ্ধে বিদ্যমান {4}
apps/erpnext/erpnext/config/projects.py,Gantt chart of all tasks.,সমস্ত কাজগুলো Gantt চার্ট.
DocType: Opportunity,Mins to First Response,প্রথম প্রতিক্রিয়া মিনিট
DocType: Pricing Rule,Margin Type,মার্জিন প্রকার
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,{0} hours,{0} ঘন্টা
DocType: Course,Default Grading Scale,ডিফল্ট শূন্য স্কেল
DocType: Appraisal,For Employee Name,কর্মচারীর নাম জন্য
DocType: Holiday List,Clear Table,সাফ ছক
DocType: Woocommerce Settings,Tax Account,ট্যাক্স অ্যাকাউন্ট
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Available slots,উপলব্ধ স্লট
DocType: C-Form Invoice Detail,Invoice No,চালান নং
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Make Payment,পেমেন্ট করুন
DocType: Room,Room Name,রুমের নাম
DocType: Prescription Duration,Prescription Duration,প্রেসক্রিপশন সময়কাল
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","ছুটি ভারসাম্য ইতিমধ্যে হ্যান্ড ফরওয়ার্ড ভবিষ্যতে ছুটি বরাদ্দ রেকর্ড হয়েছে হিসাবে, আগে {0} বাতিল / প্রয়োগ করা যাবে না ছেড়ে {1}"
DocType: Activity Cost,Costing Rate,খোয়াতে হার
apps/erpnext/erpnext/config/selling.py,Customer Addresses And Contacts,গ্রাহক ঠিকানা এবং পরিচিতি
DocType: Homepage Section,Section Cards,বিভাগ কার্ড
,Campaign Efficiency,ক্যাম্পেইন দক্ষতা
DocType: Discussion,Discussion,আলোচনা
apps/erpnext/erpnext/setup/default_energy_point_rules.py,On Sales Order Submission,বিক্রয় আদেশ জমা দিন
DocType: Bank Transaction,Transaction ID,লেনদেন নাম্বার
DocType: Payroll Entry,Deduct Tax For Unsubmitted Tax Exemption Proof,Unsubmitted কর ছাড় ছাড়ের জন্য ট্যাক্স আদায়
DocType: Volunteer,Anytime,যে কোনো সময়
DocType: Bank Account,Bank Account No,ব্যাংক অ্যাকাউন্ট নাম্বার
DocType: Employee Tax Exemption Proof Submission,Employee Tax Exemption Proof Submission,কর্মচারী ট্যাক্স ছাড় প্রুফ জমা
DocType: Patient,Surgical History,অস্ত্রোপচারের ইতিহাস
DocType: Bank Statement Settings Item,Mapped Header,ম্যাপ করা শিরোলেখ
DocType: Employee,Resignation Letter Date,পদত্যাগ পত্র তারিখ
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Pricing Rules are further filtered based on quantity.,দামে আরও পরিমাণের উপর ভিত্তি করে ফিল্টার করা হয়.
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Please set the Date Of Joining for employee {0},কর্মচারী জন্য যোগদানের তারিখ সেট করুন {0}
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Please enter Difference Account,পার্থক্য অ্যাকাউন্ট প্রবেশ করুন
DocType: Inpatient Record,Discharge,নির্গমন
DocType: Task,Total Billing Amount (via Time Sheet),মোট বিলিং পরিমাণ (টাইম শিট মাধ্যমে)
apps/erpnext/erpnext/education/doctype/fee_structure/fee_structure.js,Create Fee Schedule,ফি শিডিউল তৈরি করুন
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py,Repeat Customer Revenue,পুনরাবৃত্ত গ্রাহক রাজস্ব
DocType: Soil Texture,Silty Clay Loam,সিলি ক্লাই লোম
DocType: Quiz,Enter 0 to waive limit,সীমা ছাড়ার জন্য 0 লিখুন
DocType: Bank Statement Settings,Mapped Items,ম্যাপ আইটেম
DocType: Amazon MWS Settings,IT,আইটি
DocType: Chapter,Chapter,অধ্যায়
,Fixed Asset Register,স্থির সম্পদ রেজিস্টার
apps/erpnext/erpnext/utilities/user_progress.py,Pair,জুড়ি
DocType: Mode of Payment Account,Default account will be automatically updated in POS Invoice when this mode is selected.,এই মোড নির্বাচিত হলে ডিফল্ট অ্যাকাউন্ট স্বয়ংক্রিয়ভাবে পিওএস ইনভয়েস আপডেট হবে।
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM and Qty for Production,উত্পাদনের জন্য BOM এবং Qty নির্বাচন
DocType: Asset,Depreciation Schedule,অবচয় সূচি
DocType: Bank Reconciliation Detail,Against Account,অ্যাকাউন্টের বিরুদ্ধে
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Half Day Date should be between From Date and To Date,অর্ধদিবস তারিখ তারিখ থেকে এবং তারিখ থেকে মধ্যবর্তী হওয়া উচিত
DocType: Maintenance Schedule Detail,Actual Date,সঠিক তারিখ
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.py,Please set the Default Cost Center in {0} company.,{0} কোম্পানির মধ্যে ডিফল্ট মূল্য কেন্দ্র সেট করুন।
DocType: Item,Has Batch No,ব্যাচ কোন আছে
apps/erpnext/erpnext/public/js/utils.js,Annual Billing: {0},বার্ষিক বিলিং: {0}
DocType: Shopify Webhook Detail,Shopify Webhook Detail,Shopify ওয়েবহুক বিস্তারিত
apps/erpnext/erpnext/config/accounting.py,Goods and Services Tax (GST India),দ্রব্য এবং পরিষেবা কর (GST ভারত)
DocType: Delivery Note,Excise Page Number,আবগারি পৃষ্ঠা সংখ্যা
DocType: Asset,Purchase Date,ক্রয় তারিখ
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.js,Could not generate Secret,সিক্রেট তৈরি করা যায়নি
DocType: Volunteer,Volunteer Type,স্বেচ্ছাসেবক প্রকার
DocType: Payment Request,ACC-PRQ-.YYYY.-,দুদক-PRQ-.YYYY.-
DocType: Shift Assignment,Shift Type,Shift প্রকার
DocType: Student,Personal Details,ব্যক্তিগত বিবরণ
apps/erpnext/erpnext/regional/report/electronic_invoice_register/electronic_invoice_register.js,Export E-Invoices,ই-চালান রফতানি করুন
apps/erpnext/erpnext/assets/doctype/asset/depreciation.py,Please set 'Asset Depreciation Cost Center' in Company {0},কোম্পানি &#39;অ্যাসেট অবচয় খরচ কেন্দ্র&#39; নির্ধারণ করুন {0}
,Maintenance Schedules,রক্ষণাবেক্ষণ সময়সূচী
DocType: Pricing Rule,Apply Rule On Brand,ব্র্যান্ডের উপর নিয়ম প্রয়োগ করুন
DocType: Task,Actual End Date (via Time Sheet),প্রকৃত শেষ তারিখ (টাইম শিট মাধ্যমে)
DocType: Soil Texture,Soil Type,মৃত্তিকা টাইপ
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Amount {0} {1} against {2} {3},পরিমাণ {0} {1} বিরুদ্ধে {2} {3}
,Quotation Trends,উদ্ধৃতি প্রবণতা
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Item Group not mentioned in item master for item {0},আইটেমটি গ্রুপ আইটেমের জন্য আইটেম মাস্টার উল্লেখ না {0}
DocType: GoCardless Mandate,GoCardless Mandate,GoCardless ম্যান্ডেট
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Debit To account must be a Receivable account,অ্যাকাউন্ট ডেবিট একটি গ্রহনযোগ্য অ্যাকাউন্ট থাকতে হবে
DocType: Shipping Rule,Shipping Amount,শিপিং পরিমাণ
DocType: Supplier Scorecard Period,Period Score,সময়কাল স্কোর
apps/erpnext/erpnext/public/js/event.js,Add Customers,গ্রাহকরা যোগ করুন
apps/erpnext/erpnext/accounts/report/delivered_items_to_be_billed/delivered_items_to_be_billed.py,Pending Amount,অপেক্ষারত পরিমাণ
DocType: Lab Test Template,Special,বিশেষ
DocType: Loyalty Program,Conversion Factor,রূপান্তর ফ্যাক্টর
DocType: Purchase Order,Delivered,নিষ্কৃত
,Vehicle Expenses,গাড়ির খরচ
DocType: Healthcare Settings,Create Lab Test(s) on Sales Invoice Submit,বিক্রয় ইনভয়েস নেভিগেশন ল্যাব টেস্ট (গুলি) তৈরি করুন
DocType: Serial No,Invoice Details,চালান বিস্তারিত
apps/erpnext/erpnext/regional/india/utils.py,Salary Structure must be submitted before submission of Tax Ememption Declaration,শুল্ক ছাড়ের ঘোষণা জমা দেওয়ার আগে বেতন কাঠামো জমা দিতে হবে
DocType: Grant Application,Show on Website,ওয়েবসাইট দেখান
apps/erpnext/erpnext/education/doctype/student_admission/templates/student_admission.html,Start on,শুরু করা যাক
DocType: Hub Tracked Item,Hub Category,হাব বিভাগ
DocType: Purchase Invoice,SEZ,এসইজেড
DocType: Purchase Receipt,Vehicle Number,গাড়ির সংখ্যা
DocType: Loan,Loan Amount,ঋণের পরিমাণ
DocType: Student Report Generation Tool,Add Letterhead,লেটারহেড যোগ করুন
DocType: Program Enrollment,Self-Driving Vehicle,স্বচালিত যানবাহন
DocType: Supplier Scorecard Standing,Supplier Scorecard Standing,সরবরাহকারী স্কোরকার্ড স্থায়ী
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,Row {0}: Bill of Materials not found for the Item {1},সারি {0}: সামগ্রী বিল আইটেমের জন্য পাওয়া যায়নি {1}
DocType: Contract Fulfilment Checklist,Requirement,প্রয়োজন
DocType: Journal Entry,Accounts Receivable,গ্রহনযোগ্য অ্যাকাউন্ট
DocType: Quality Goal,Objectives,উদ্দেশ্য
DocType: Travel Itinerary,Meal Preference,খাবারের পছন্দসমূহ
,Supplier-Wise Sales Analytics,সরবরাহকারী প্রজ্ঞাময় বিক্রয় বিশ্লেষণ
apps/erpnext/erpnext/accounts/doctype/subscription_plan/subscription_plan.py,Billing Interval Count cannot be less than 1,বিলিং ব্যবধান গণনা 1 এর চেয়ে কম হতে পারে না
DocType: Purchase Invoice,Availed ITC Central Tax,আসন্ন আইটিসি কেন্দ্রীয় কর
DocType: Sales Invoice,Company Address Name,কোম্পানির ঠিকানা নাম
DocType: Work Order,Use Multi-Level BOM,মাল্টি লেভেল BOM ব্যবহার
DocType: Bank Reconciliation,Include Reconciled Entries,মীমাংসা দাখিলা অন্তর্ভুক্ত
apps/erpnext/erpnext/accounts/doctype/bank_transaction/bank_transaction.py,The total allocated amount ({0}) is greated than the paid amount ({1}).,মোট বরাদ্দকৃত পরিমাণ ({0}) প্রদত্ত পরিমাণের ({1}) চেয়ে গ্রেটেড।
DocType: Landed Cost Voucher,Distribute Charges Based On,বিতরণ অভিযোগে নির্ভরশীল
DocType: Projects Settings,Timesheets,Timesheets
DocType: HR Settings,HR Settings,এইচআর সেটিংস
apps/erpnext/erpnext/config/accounting.py,Accounting Masters,হিসাবরক্ষণ মাস্টার্স
DocType: Salary Slip,net pay info,নেট বিল তথ্য
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,CESS Amount,CESS পরিমাণ
DocType: Woocommerce Settings,Enable Sync,সিঙ্ক সক্ষম করুন
DocType: Tax Withholding Rate,Single Transaction Threshold,একক লেনদেন থ্রেশহোল্ড
DocType: Lab Test Template,This value is updated in the Default Sales Price List.,এই মান ডিফল্ট সেলস মূল্য তালিকাতে আপডেট করা হয়।
apps/erpnext/erpnext/templates/pages/cart.html,Your cart is Empty,তোমার থলে তো খালি
DocType: Email Digest,New Expenses,নিউ খরচ
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.js,Cannot Optimize Route as Driver Address is Missing.,ড্রাইভারের ঠিকানা মিস হওয়ায় রুটটি অনুকূল করা যায় না।
DocType: Shareholder,Shareholder,ভাগীদার
DocType: Purchase Invoice,Additional Discount Amount,অতিরিক্ত মূল্য ছাড়ের পরিমাণ
DocType: Cash Flow Mapper,Position,অবস্থান
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Get Items from Prescriptions,প্রেসক্রিপশন থেকে আইটেম পান
DocType: Patient,Patient Details,রোগীর বিবরণ
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Nature Of Supplies,সরবরাহ প্রকৃতি
DocType: Inpatient Record,B Positive,বি ইতিবাচক
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of previous claimed\
			amount",কর্মচারীর সর্বাধিক বেনিফিট {1} পূর্ববর্তী দাবি করা \ sum এর সমষ্টি {2} দ্বারা {1} অতিক্রম করেছে
apps/erpnext/erpnext/buying/report/subcontracted_raw_materials_to_be_transferred/subcontracted_raw_materials_to_be_transferred.py,Transferred Quantity,স্থানান্তরিত পরিমাণ
apps/erpnext/erpnext/controllers/accounts_controller.py,"Row #{0}: Qty must be 1, as item is a fixed asset. Please use separate row for multiple qty.","সারি # {0}: Qty, 1 হবে যেমন আইটেম একটি নির্দিষ্ট সম্পদ. একাধিক Qty এ জন্য পৃথক সারি ব্যবহার করুন."
DocType: Leave Block List Allow,Leave Block List Allow,ব্লক মঞ্জুর তালিকা ত্যাগ
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbr can not be blank or space,সংক্ষিপ্তকরণ ফাঁকা বা স্থান হতে পারে না
DocType: Patient Medical Record,Patient Medical Record,রোগীর চিকিৎসা রেকর্ড
DocType: Quality Meeting Agenda,Quality Meeting Agenda,কোয়ালিটি মিটিং এজেন্ডা
apps/erpnext/erpnext/accounts/doctype/account/account.js,Group to Non-Group,অ-গ্রুপ গ্রুপ
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Sports,স্পোর্টস
DocType: Leave Control Panel,Employee (optional),কর্মচারী (alচ্ছিক)
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Material Request {0} submitted.,উপাদান অনুরোধ {0} জমা দেওয়া হয়েছে।
DocType: Loan Type,Loan Name,ঋণ নাম
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py,Total Actual,প্রকৃত মোট
DocType: Chart of Accounts Importer,Chart Preview,চার্ট পূর্বরূপ
DocType: Attendance,Shift,পরিবর্তন
