Pension Funds,Pensionsmidler
Net Amount,Netto beløb
Selling Price List,Salgsprisliste
IT,DET
{0} must be negative in return document,{0} skal være negativt i retur dokument
Please select a valid Date,Vælg venligst en gyldig dato
End Day,Slutdato
Please confirm once you have completed your training,"Bekræft venligst, når du har gennemført din uddannelse"
Go to Letterheads,Gå til Letterheads
Allow User,Tillad bruger
% of materials delivered against this Sales Order,% af materialer leveret mod denne salgsordre
Purpose of Travel,Formålet med rejser
Appointment Confirmation,Aftalebekræftelse
Orders,ordrer
Retirement Age,Pensionsalder
Projected Qty,Projiceret antal
Deletion is not permitted for country {0},Sletning er ikke tilladt for land {0}
Row #{0}: Asset {1} is already {2},Række # {0}: aktiv {1} er allerede {2}
Installation Status,Installationsstatus
Attribute Value,Egenskabsværdi
Base Change Amount (Company Currency),Basisændringsbeløb (Firma Valuta)
Unused leaves,Ubrugte blade
Finished Item {0} must be entered for Manufacture type entry,Færdig post {0} skal indtastes for Produktionstypeindtastning
'Entries' cannot be empty,&#39;Indlæg&#39; kan ikke være tomme
Go to Courses,Gå til kurser
Fee Breakup for each student,Fee Breakup for hver elev
Will also apply for variants,Vil også søge om varianter
Shared secret,Delt hemmelighed
Write Off Cost Center,Afskriv omkostningscenter
Silty Clay,Silty Clay
Redeemed Points,Forladte point
Mandate,Mandat
Create Multiple,Opret flere
Scoring Standings,Scoring Standings
Result Title Field,Resultat Titel Field
New Leaves Allocated,Nye blade tildelt
Homepage,Hjemmeside
Compensatory Off,Kompenserende Off
Opening Invoices Summary,Åbning af fakturaoversigt
Engine Oil,Motorolie
Applicant Name,Ansøgers navn
Delivery Document No,Leveringsdokument nr
Hub Users,Hub-brugere
Actual Quantity,Faktisk mængde
Credit Days,Kreditdage
Project Id,Projekt-id
Electronics,Elektronik
Due Date is mandatory,Forfaldsdato er obligatorisk
Qty Consumed Per Unit,Antal forbrugt pr. Enhed
Completed Work Orders,Afsluttede arbejdsordrer
Help Section,Hjælp sektion
Attendance date can not be less than employee's joining date,Deltagelsesdato kan ikke være mindre end medarbejderens tilmeldingsdato
Total Cost(Company Currency),Samlede omkostninger (selskabsvaluta)
Net Total,Netto i alt
Referral,Henvisning
Model,Model
Please specify from/to range,Angiv venligst fra / til rækkevidde
Quantity to Manufacture must be greater than 0.,Mængde til Fremstilling skal være større end 0.
Maintenance Time,Vedligeholdelsestid
Naming Series,Navngivningsserie
Contract Terms,Kontraktvilkår
Either target qty or target amount is mandatory.,Enten målsætning eller målbeløb er obligatorisk.
Invalid {0},Ugyldig {0}
FIFO,FIFO
Meeting Date,Mødedato
HLC-INP-.YYYY.-,HLC np-.YYYY.-
Abbreviation cannot have more than 5 characters,Forkortelse må ikke have mere end 5 tegn
Max Benefits (Yearly),Maksimale fordele (Årlig)
Create Material Request,Opret materialeanmodning
Primary Address Details,Primær adresseoplysninger
Duration (Days),Varighed (dage)
Customer Feedback Template Table,Kundefejlskabelon
Price List Rate,Prisliste sats
Action if Annual Budget Exceeded on PO,Handling hvis årligt budget oversteg på PO
Campaign,Kampagne
Accounting,Regnskab
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,Indstil produktgruppe-kloge budgetter på dette område. Du kan også inkludere årstidens ved at indstille Distribution.
Insurance Start date should be less than Insurance End date,Forsikring Startdato skal være mindre end Forsikrings Slutdato
{0} items in progress,{0} varer i gang
Foreign Trade Details,Udenrigshandelsoplysninger
Yes/No,Ja Nej
Is Master Data Imported,Er importdata importeret
Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable,Konto Skat Række {0} skal have regnskab af typen Skat eller Indkomst eller Udgift eller Opladelig
{0} is not a valid Batch Number for Item {1},{0} er ikke et gyldigt batchnummer for vare {1}
Learn More,Lær mere
Credit Note {0} has been created automatically,Kreditnota {0} er oprettet automatisk
Queued for replacing the BOM. It may take a few minutes.,Kø for at erstatte BOM. Det kan tage et par minutter.
Result Date,Resultatdato
Currency exchange rate master.,Valutakursmester.
Latest price updated in all BOMs,Seneste pris opdateret i alle BOMs
Series Updated Successfully,Serie opdateret succesfuldt
Clay Loam,Clay Loam
Please select item code,Vælg venligst varekode
Default warehouse is required for selected item,Standardlager er påkrævet for den valgte vare
No Item with Serial No {0},Ingen vare med serienummer {0}
Party Type and Party is mandatory for {0} account,Party Type og Party er obligatorisk for {0} konto
Accountant,Revisor
POS Closing Voucher alreday exists for {0} between date {1} and {2},POS Closing Voucher eksisterer alligevel for {0} mellem dato {1} og {2}
Navigating,Navigation
Customer / Item Name,Navn på kunde / varenummer
New Serial No cannot have Warehouse. Warehouse must be set by Stock Entry or Purchase Receipt,Nyt serienummer kan ikke have lager. Lager skal indstilles ved lageropgørelse eller købskvittering
Via Customer Portal,Via kundeportalen
Planned Start Time,Planlagt starttid
{0} {1} is {2},{0} {1} er {2}
Number of Depreciations Booked cannot be greater than Total Number of Depreciations,"Antal afskrivninger, der bogføres, kan ikke være større end det samlede antal afskrivninger"
Share Ledger,Del Ledger
Accounts Payable,Betalingspligtige
Select Terms and Conditions,Vælg vilkår og betingelser
Ends On date cannot be before Next Contact Date.,Slutter På dato kan ikke være før næste kontaktdato.
Goods are already received against the outward entry {0},Varer modtages allerede mod den udadgående post {0}
Tax Exemption Category,Skattefritagelseskategori
Debit To,Debit til
"Selling must be checked, if Applicable For is selected as {0}","Salg skal kontrolleres, hvis Anvendes For er valgt som {0}"
Date of Establishment,Dato for etablering
Leave Type is madatory,Forlad Type er madatory
Sales Taxes and Charges Template,Salgsskatter og afgifter skabelon
Return Against Purchase Receipt,Retur mod købskvittering
Student Group: ,Studentgruppe:
Cheque Size,Kontroller størrelse
Consolidated Financial Statement,Koncernregnskab
Scanned Cheque,Scannet Check
Reservation End Time,Reservation Slut Tid
In Value,I værdi
Staffing Plan,Bemandingsplan
Material Transferred for Manufacture,Materiale overført til fremstilling
Reserved for manufacturing,Reserveret til fremstilling
Undeposited Funds Account,Ubestemt fondskonto
Material Request No,Materialeanmodning nr
Unreconciled Payment Details,Ukononstruerede betalingsdetaljer
RFQs are not allowed for {0} due to a scorecard standing of {1},RFQ&#39;er er ikke tilladt for {0} på grund af et scorecard stående på {1}
Validity in Days,Gyldighed i dage
Applicable for Countries,Gælder for lande
Individual,Individuel
Clinical Procedure Template,Klinisk procedureskabelon
Net Asset value as on,Nettoaktiver værdi som på
Redemption Account,Indløsningskonto
Tree of Item Groups.,Træ af varegrupper.
Show Items,Vis emner
Paid Loan,Betalt lån
Do you really want to scrap this asset?,Ønsker du virkelig at skrabe dette aktiv?
Sales Order Date,Salgsordre
Operating Costs,Driftsomkostninger
Lead Time in days,Blytid i dage
Repay from Salary,Tilbagebetaling fra Løn
Discounted Invoice,Rabatfaktura
Leave Block List Allow,Tillad blokeringslisten Tillad
AMC Expiry Date,AMC Udløbsdato
Number of Depreciations Booked,Antal Afskrivninger Reserveret
Student Group Creation Tool,Studentgruppe Oprettelsesværktøj
Purchase Order Items To Be Billed,"Indkøbsordrer, der skal faktureres"
Holiday List for Optional Leave,Ferieliste for valgfri ferie
Default settings for accounting transactions.,Standardindstillinger for regnskabstransaktioner.
Scan Barcode,Scan stregkode
Update Cost Center Number,Opdater Cost Center Number
Service Start Date,Service Startdato
Furnitures and Fixtures,Møbler og inventar
Criteria weights must add up to 100%,Kriterier vægt skal tilføje op til 100%
Average Discount,Gennemsnitlig rabat
Discount must be less than 100,Rabatten skal være mindre end 100
Accumulated Depreciation as on,Akkumulerede afskrivninger pr
Supplier Scorecard Scoring Variable,Leverandør Scorecard Scoringsvariabel
Message to show,Meddelelse til visning
No Students in,Ingen studerende i
Temporary Accounts,Midlertidige regnskaber
Bank Charges,Bankudgifter
Goods Transferred,Varer overført
Primary Contact Details,Primær kontaktoplysninger
Values,Værdier
"If not checked, the list will have to be added to each Department where it has to be applied.","Hvis ikke markeret, skal listen tilføjes til hver afdeling, hvor den skal anvendes."
Show this slideshow at the top of the page,Vis dette diasshow øverst på siden
{0} parameter is invalid,{0} parameteren er ugyldig
No description given,Ingen beskrivelse givet
Closed Documents,Afsluttede dokumenter
Gross Margin,Bruttomargin
Exchange Rate Revaluation Account,Valutakursomskrivningskonto
Quotation To,Tilbud til
Bank Statement Settings Item,Betalingsindstillinger for bankerklæring
Setup Series,Setup Series
Reload Linked Analysis,Reload Linked Analysis
Quantity must be less than or equal to {0},Mængden skal være mindre end eller lig med {0}
Out Qty,Antal ud
Outward,Udgående
Please enter Sales Orders in the above table,Indtast venligst salgsordrer i ovenstående tabel
Bank Charges Account,Bankgebyrer Konto
Get Outstanding Invoices,Få udestående fakturaer
Opportunity From,Mulighed fra
Customer Code,Kundekode
Please enter Item first,Indtast venligst først vare
Website Listing,Website liste
Invalid GSTIN! The input you've entered doesn't match the format of GSTIN.,"Ugyldig GSTIN! Indgangen, du har indtastet, stemmer ikke overens med formatet for GSTIN."
Re-order Qty,Re-order Antal
Maintenance Required,Vedligeholdelse kræves
Doc Name,Doc Name
Lead Owner cannot be same as the Lead,Leder ejeren kan ikke være den samme som bly
"e.g. Bank, Cash, Credit Card","fx bank, kontanter, kreditkort"
Serial Number Series,Serienummer Serie
Bank Statement Transaction Entry List,Bankoversigt Transaktionsregistreringsliste
Postal Expenses,Postudgifter
Management,Ledelse
To view logs of Loyalty Points assigned to a Customer.,"For at se logfiler af loyalitetspoint, der er tildelt en kunde."
If subcontracted to a vendor,Hvis udleveres til en leverandør
Visit the forums,Besøg fora
C-Form,C-Form
Maintenance Team,Vedligeholdelse Team
{0} on Half day Leave on {1},{0} på halv dag forladt på {1}
Combined invoice portion must equal 100%,Kombineret faktura del skal svare til 100%
Occupational Hazards and Environmental Factors,Arbejdsfarer og miljøfaktorer
Volunteer,Frivillig
Custom Result,Brugerdefineret resultat
Opening Date,Åbningsdato
The selected BOMs are not for the same item,De valgte BOM&#39;er er ikke for samme vare
Delivery To,Levering til
Bank Data,Bankdata
Scheduled Upto,Planlagt Upto
Everyday,Hver dag
Maintain Billing Hours and Working Hours Same on Timesheet,Vedligeholde faktureringstid og arbejdstid samme på tidsskema
Track Leads by Lead Source.,Sporledninger af blykilde.
Nursing User,Sygeplejerske bruger
Response Key List,Response Key List
Ageing Based On,Aging Based On
Balance,Balance
Warehouse where you are maintaining stock of rejected items,"Lager, hvor du opretholder lager af afviste varer"
Retail,Detail
Maintenance Schedules,Vedligeholdelsesplaner
Cannot convert Cost Center to ledger as it has child nodes,"Kan ikke konvertere Omkostningscenter til hovedbog, da det har børne noder"
Please specify at least one attribute in the Attributes table,Angiv mindst én attribut i tabellen Attributter
Create Chart Of Accounts Based On,Opret diagram over konti baseret på
Sales Invoice {0} must be cancelled before cancelling this Sales Order,"Salgsfaktura {0} skal annulleres, før du annullerer denne salgsordre"
Default Purchase Unit of Measure,Standardindkøbsenhed
Location Details,Placering detaljer
Basic Rate (as per Stock UOM),Grundfrekvens (pr. Lager UOM)
Travel Request Costing,Rejseforespørgsel Costing
Create Sales Invoice,Opret salgsfaktura
From Time cannot be greater than To Time.,Fra tiden kan ikke være større end til tiden.
To Date cannot be less than From Date,Dato kan ikke være mindre end fra dato
Manage Territory Tree.,Administrer Territory Tree.
Voucher Type,Voucher Type
Serial No Service Contract Expiry,Serienr. Service Kontrakt Udløb
Certified,Certificeret
Manufacture,Fremstille
{0} items produced,{0} producerede varer
Payment Request for {0},Betalingsanmodning om {0}
Days Since Last Order,Dage siden sidste ordre
Please set default Cash or Bank account in Mode of Payment {0},Indstil venligst standard kontant eller bankkonto i betalingsform {0}
Instructors,Instruktører
Mark Present,Mark Present
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes","For at gøre det lettere for kunderne, kan disse koder bruges i printformater som Fakturaer og Leveringsnotater"
Enable Amazon,Aktivér Amazon
Total Interest Payable,Samlet rente betales
Topic Content,Emneindhold
Company Address Name,Virksomhedens adresse navn
Goods In Transit,Varer i transit
You can only redeem max {0} points in this order.,Du kan kun indløse maksimalt {0} point i denne ordre.
Please set account in Warehouse {0},Venligst indstil konto i lager {0}
Resolution,Løsning
Loyalty Points Redemption,Loyalitetspoint Indfrielse
Total Taxable Value,Samlet skattepligtig værdi
Scheduled,Planlagt
Partner Type,Partner Type
Import of services,Import af tjenester
School/University,Skole / Universitet
Row {0}: UOM Conversion Factor is mandatory,Række {0}: UOM Konverteringsfaktor er obligatorisk
Reference No.,Referencenummer.
Additional Operating Cost,Yderligere driftsomkostninger
Collection Factor (=1 LP),Indsamlingsfaktor (= 1 LP)
Delivery Document Type,Leveringsdokumenttype
Attributes,Egenskaber
Bank Guarantee,Bank garanti
Territory Name,Territorienavn
Minimum Qty ,Mindste antal
Per Week,Per uge
Warn for new Request for Quotations,Advarer om ny anmodning om tilbud
Tax,Skat
Visited,besøgte
Auto Opt In (For all customers),Auto Opt In (For alle kunder)
Rate at which Customer Currency is converted to customer's base currency,"Pris, hvor kundens valuta konverteres til kundens basisvaluta"
Applicable if the company is an Individual or a Proprietorship,"Gældende, hvis virksomheden er en enkeltperson eller et ejerskab"
Restaurant,Restaurant
Address Name,Adressenavn
Employee Promotion,Medarbejderfremme
No repayments selected for Journal Entry,Ingen tilbagebetalinger valgt til Journal Entry
Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,Indstil faktura værdi for B2C. B2CL og B2CS beregnet ud fra denne faktura værdi.
Cannot deduct when category is for 'Valuation' or 'Vaulation and Total',"Kan ikke trække fra, når kategorien er for &#39;Værdiansættelse&#39; eller &#39;Vaulering og Total&#39;"
Revised On,Revideret On
Please enter Root Type for - {0},Indtast venligst Root Type for - {0}
The item referenced by {0} - {1} is already invoiced,"Varen, der henvises til af {0} - {1}, er allerede faktureret"
Suspended,Suspenderet
Accumulated Depreciation Account,Akkumuleret afskrivningskonto
Credit in Company Currency,Kredit i selskabets valuta
Entertainment & Leisure,Underholdning og fritid
New Sales Invoice,Ny salgsfaktura
Net Profit,Nettoresultat
Another Sales Person {0} exists with the same Employee id,En anden sælger person {0} eksisterer med samme medarbejder id
Closing (Dr),Lukning (Dr)
Loyalty Program Tier,Loyalitetsprogram Tier
Total Taxes and Charges,Samlede skatter og afgifter
JP,JP
Operation Description,Funktionsbeskrivelse
Bank Transaction Entries,Bankoverførselsangivelser
Leave Approval Notification Template,Forlad godkendelsesskabelonen
Doc Type,Doc Type
New Purchase Invoice,Ny købsfaktura
"Requested Qty: Quantity requested for purchase, but not ordered.","Forespurgt antal: Antal anmodet om køb, men ikke bestilt."
Supplier Name,Leverandør Navn
Please click on 'Generate Schedule' to fetch Serial No added for Item {0},"Klik venligst på &#39;Generer planlægning&#39; for at hente serienumre, der er tilføjet til punkt {0}"
Cost of Delivered Items,Omkostninger ved leverede varer
Consumed,forbrugt
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,Juridisk Entitet / Datterselskab med et separat Kontoplan tilhørende Organisationen.
Show In Website,Vis på webstedet
"Then Pricing Rules are filtered out based on Customer, Customer Group, Territory, Supplier, Supplier Type, Campaign, Sales Partner etc.","Derefter bliver priserne filtreret ud baseret på kunde, kundegruppe, territorium, leverandør, leverandør type, kampagne, salgspartner mv."
Payment Request Type,Betalingsanmodningstype
The field To Shareholder cannot be blank,Feltet Til Aktionær kan ikke være tomt
QuickBooks Migrator,QuickBooks Migrator
POS Profile is required to use Point-of-Sale,POS-profil er påkrævet for at bruge Point of Sale
Purchase Order Pricing Rule,Ordreprisregulering for indkøbsordre
Expenses,Udgifter
Cheque,Kontrollere
Currency and Price List,Valuta og prisliste
Shop URL,Shop URL
Source Location,Kildeplacering
Enter value must be positive,Indtast værdi skal være positiv
Allow Cost Center In Entry of Balance Sheet Account,Tillad omkostningscenter ved indtastning af Balance Konto
Attendance,Tilstedeværelse
Internet,Internet
Monthly Distribution Percentages,Månedlige fordelingsprocent
Dispatch Notification Template,Dispatch Notification Template
Total (Without Tax),I alt (uden skat)
Cash Flow Mapping,Cash Flow Mapping
HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
Section Leader,Sektion Leader
Budget Variance Report,Budgetvariantrapport
Gross Purchase Amount,Brutto købsbeløb
Half Day Date is mandatory,Halvdagsdato er obligatorisk
Removed items with no change in quantity or value.,Fjernede elementer uden ændring i mængde eller værdi.
Applicant Type,Ansøgers Type
To Address 2,Til adresse 2
Range,Rækkevidde
BUDGET,BUDGET
Depreciation Entry,Afskrivningsindtægter
Price List Rate (Company Currency),Prisliste (Company Valuta)
Not Paid and Not Delivered,Ikke betalt og ikke leveret
Sales Invoice {0} created,Salgsfaktura {0} oprettet
Objective,Objektiv
Admission Scheduled,Adgang planlagt
To be delivered to customer,Leveres til kunde
On Duty,På vagt
Variable,Variabel
Row {0}: Depreciation Start Date is required,Række {0}: Afskrivnings startdato er påkrævet
Option,Mulighed
Out Patient SMS Alerts,Out Patient SMS Alerts
Sales Account,Salgskonto
Weather Parameter,Vejrparameter
Allocate,Afsætte
Maintenance Schedule Detail,Vedligeholdelsesplan detaljer
BOM Update Tool,BOM Update Tool
Notice Period,Meddelelsesperiode
Lead Owner Efficiency,Lederegenskaber Effektivitet
Total Characters,Samlede tegn
Alcohol Past Use,Alkohol tidligere brug
Divorced,Skilt
Allocate Advances Automatically (FIFO),Fordel automatisk Advance (FIFO)
Is Compensatory,Er kompenserende
Employees working on a holiday,Medarbejdere der arbejder på en ferie
Mobile,Mobil
"Timesheets help keep track of time, cost and billing for activites done by your team","Tidsskemaer hjælper med at holde styr på tid, omkostninger og fakturering for aktiviteter udført af dit team"
Order Information,Ordreinformation
Subtotal,Subtotal
Invoice Discounting,Faktura rabat
Nos,nos
Freeze Stock Entries,Fryse aktieindgange
Item {0} not found,Vare {0} ikke fundet
You have entered duplicate items. Please rectify and try again.,Du har indtastet to eksemplarer. Ret venligst og prøv igen.
Rate,Sats
Saving {0},Gemmer {0}
Total Message(s),Samlet Besked (r)
Group by Account,Gruppe efter konto
In Words will be visible once you save the Quotation.,"I Ord bliver du synlig, når du gemmer citatet."
Quantity to Produce,Mængde at producere
Row #{0}: Cannot set Rate if amount is greater than billed amount for Item {1}.,Row # {0}: Kan ikke indstille Rate hvis beløb er større end faktureret beløb for Item {1}.
Actual Start Time,Faktisk starttid
Laboratory User,Laboratoriebruger
Online Auctions,Online auktioner
Fee Creation Status,Fee Creation Status
Softwares,Softwares
Sales Order to Payment,Salgsordre til betaling
This is based on transactions against this Healthcare Practitioner.,Dette er baseret på transaktioner mod denne Healthcare Practitioner.
Assigning Structures...,Tildele strukturer ...
Details of the operations carried out.,Detaljer om de udførte operationer.
Operation Time must be greater than 0 for Operation {0},Driftstiden skal være større end 0 for Drift {0}
A qustion must have at least one correct options,Et qustion skal have mindst en korrekt mulighed
Folio no.,Folio nr.
A Negative,En negativ
{0} is mandatory for Item {1},{0} er obligatorisk for konto {1}
Production Analytics,Produktionsanalyse
Row #{0}: Set Supplier for item {1},Række nr. {0}: Indstil leverandør for vare {1}
Records,Records
Case No(s) already in use. Try from Case No {0},"Sagsnummer (er), der allerede er i brug. Prøv fra sag nr {0}"
Website URL,Hjemmeside URL
Report Type is mandatory,Rapporttype er obligatorisk
Policy No,Politik nr
Replies,Svar
Variable Name,Variabelt navn
Utilities,Hjælpeprogrammer
Total Completed Qty,Samlet færdiggjort antal
No Items with Bill of Materials to Manufacture,Ingen genstande med materialeliste til fremstilling
Blanket Order Rate,Tæppe Ordre Rate
Track separate Income and Expense for product verticals or divisions.,Spor separat indkomst og udgift for produkt vertikaler eller divisioner.
Warning: Invalid SSL certificate on attachment {0},Advarsel: Ugyldigt SSL-certifikat på vedhæftet fil {0}
Opp Count,Opp Count
As Examiner,Som eksaminator
Default Expense Claim Payable Account,Standard Expense Claim Payable Konto
HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-. MM.-
Docs Search,Doksøgning
End Date can not be less than Start Date,Slutdato kan ikke være mindre end startdato
No Items with Bill of Materials.,Ingen genstande med materialeliste.
Single unit of an Item.,Enkelt enhed af en vare.
Quotations,citater
Could not generate Secret,Kunne ikke generere Secret
Valuation and Total,Værdiansættelse og Total
Member Activity,Medlem Aktivitet
Import Attendance,Import Tilstedeværelse
Account for Change Amount,Angiv ændringsbeløb
Item Price Stock,Vare pris lager
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-
"Request for Quotation is disabled to access from portal, for more check portal settings.","Request for Quotation er deaktiveret for at få adgang til portal, for flere check portalindstillinger."
Mapped Header,Mapped Header
"Item Code, warehouse, quantity are required on row","Varenummer, lager, mængde er påkrævet på række"
Bank Account Details,Bankkontooplysninger
Homepage Slideshow,Hjemmeside Slideshow
"Partially Sponsored, Require Partial Funding","Delvist sponsoreret, kræver delfinansiering"
Payment of {0} from {1} to {2},Betaling af {0} fra {1} til {2}
Serial No Status,Serienummer Status
Donor,Donor
Item UOM,Vare UOM
Row {0}: select the workstation against the operation {1},Række {0}: Vælg arbejdsstationen imod operationen {1}
Default Return Warehouse,Standard Return Warehouse
{0} must be submitted,{0} skal indsendes
Estimated Cost,Anslået pris
Quot/Lead %,Quot / Bly%
Member information.,Medlemsoplysninger.
Reverse Journal Entry,Reverse Journal Entry
Set a sales goal you'd like to achieve for your company.,"Indstil et salgsmål, du gerne vil opnå for din virksomhed."
Special,Særlig
Reserved Qty for Subcontract: Raw materials quantity to make subcotracted items.,Reserveret antal for underentreprise: Råmateriale mængder til at lave subcotracted poster.
In print,I print
Could not retrieve information for {0}.,Kunne ikke hente oplysninger for {0}.
Billing currency must be equal to either default company's currency or party account currency,Faktureringsvaluta skal være lig med enten standardfirmaets valuta eller part konto konto valuta
Please enter Employee Id of this sales person,Indtast venligst medarbejder-id for denne sælger
Create Opening Sales and Purchase Invoices,Opret åbne salgs- og købsfakturaer
Treatment Period,Behandlingsperiode
Setting up Email,Opsætning af e-mail
Debit Note Amount,Debet Note Beløb
Rate at which Price list currency is converted to customer's base currency,"Pris, hvor Prisliste valuta konverteres til kundens basisvaluta"
Certification,Certificering
"Here you can maintain height, weight, allergies, medical concerns etc","Her kan du opretholde højde, vægt, allergier, medicinske bekymringer mv"
Print Heading,Udskriv overskrift
Withdrawn,Trukket tilbage
Select company first,Vælg firma først
Application period cannot be across two allocation records,Ansøgningsperioden kan ikke være på tværs af to tildelingsregistre
Rate:,Sats:
Employee {0} has no maximum benefit amount,Medarbejder {0} har ingen maksimal ydelsesbeløb
Employee Skills,Medarbejderfærdigheder
Student Name: ,Elevnavn:
Sent On,Sendt på
Sales Invoice,Salgsfaktura
Response Time can't be greater than Resolution Time,Response Time kan ikke være større end Resolution Time
"For Course based Student Group, the Course will be validated for every Student from the enrolled Courses in Program Enrollment.",For kursusbaseret studentegruppe vil kurset blive valideret for hver elev fra de tilmeldte kurser i programtilmelding.
Intra-State Supplies,Intra-State Supplies
Create User Permission,Opret brugertilladelse
Please save the report again to rebuild or update,Gem venligst rapporten igen for at genopbygge eller opdatere
Territory,Territorium
Quarter,Kvarter
Grand Total (Company Currency),Grand Total (Company Valuta)
Prescription Dosage,Receptpligtig dosering
Hour Rate,Timepris
Latitude,Breddegrad
Expense Date,Udgiftsdato
Show Payment Details,Vis betalingsoplysninger
Default Payable Account,Standardbetalbar konto
Serial No {0} does not belong to any Warehouse,Serienummer {0} tilhører ikke noget lager
Group by Party,Gruppe efter parti
Evening,Aften
SAL-CAM-.YYYY.-,SAL-CAM-.YYYY.-
Exchange Gain/Loss,Exchange Gain / Loss
Make Sales Invoice,Lav salgsfaktura
Create Missing Party,Opret manglende parti
For quantity {0} should not be grater than work order quantity {1},For mængden {0} bør ikke være rivende end arbejdsordre kvantitet {1}
Additional Charges,Yderligere gebyrer
Assessment Result Tool,Evalueringsresultatværktøj
Contra Entry,Kontraindgang
Application Status,Ansøgningsstatus
Total Amount in Words,Samlede beløb i ord
"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment. ","Hold styr på salgskampagner. Hold styr på Leads, Quotations, Sales Order osv. Fra kampagner for at måle Return on Investment."
Missing Currency Exchange Rates for {0},Manglende valutakurs for {0}
Pricing Rule Item Group,Prissætning Regelvare Gruppe
Reading 8,Læsning 8
From Fiscal Year,Fra Skatteår
Tally Creditors Account,Tally kreditorer konto
Print Section,Udskrivningsafsnit
This is a root department and cannot be edited.,Dette er en rodafdeling og kan ikke redigeres.
Project Quantity,Projekt Mængde
Standard contract terms for Sales or Purchase.,Standard kontraktvilkår for salg eller køb.
Customer PO Details,Kunde PO Detaljer
Patient not found,Patient ikke fundet
Remove item if charges is not applicable to that item,"Fjern element, hvis gebyrer ikke er gældende for den pågældende vare"
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"En kundegruppe eksisterer med samme navn, skal du ændre kundens navn eller omdøbe kundegruppen"
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","Standard skat skabelon, der kan anvendes på alle Salgstransaktioner. Denne skabelon kan indeholde en liste over skattehoveder og også andre udgifter / indkomsthoveder som &quot;Shipping&quot;, &quot;Insurance&quot;, &quot;Handling&quot; osv. Bemærk! Den skattesats, du definerer her, vil være standardskattesatsen for alle ** Elementer **. Hvis der er ** Elementer **, der har forskellige satser, skal de tilføjes i ** Element Skat ** -tabellen i ** Element ** -masteren. #### Beskrivelse af kolonner 1. Beregningstype: - Dette kan være på ** Net Total ** (det er summen af basisbeløbet). - ** På tidligere række Total / Beløb ** (for kumulative skatter eller afgifter). Hvis du vælger denne indstilling, vil skatten blive anvendt som en procentdel af den forrige række (i skat tabel) beløb eller total. - ** Faktisk ** (som nævnt). 2. Kontochef: Kontoboksen, under hvilken denne skat vil blive reserveret 3. Omkostningscenter: Hvis skat / afgift er en indkomst (som forsendelse) eller udgift, skal den bookes mod et omkostningscenter. 4. Beskrivelse: Beskrivelse af skatten (som vil blive trykt i fakturaer / citater). 5. Rate: Skattesats. 6. Beløb: Skattebeløb. 7. I alt: Kumulative i alt til dette punkt. 8. Indtast række: Hvis du er baseret på &quot;Forrige række i alt&quot;, kan du vælge det række nummer, som vil blive taget som basis for denne beregning (standard er den forrige række). 9. Er denne skat inkluderet i Basispris ?: Hvis du tjekker dette betyder det, at denne skat ikke vil blive vist under elementet tabellen, men vil blive inkluderet i grundfrekvensen i hovedtabellen. Dette er nyttigt, hvor du vil give en fast pris (inklusive alle skatter) pris til kunder."
To Date must be greater than From Date,Dato skal være større end fra dato
Parent Customer Group,Moderselskabskundegruppe
Prices will not be shown if Price List is not set,"Priserne vil ikke blive vist, hvis prislisten ikke er angivet"
ERPNext Settings,ERPNæste indstillinger
Time Sheet for manufacturing.,Tidsskema til fremstilling.
Student Language,Elevens sprog
Please set the Payment Schedule,Indstil Betalingsplanen
Name of Organizer,Navn på arrangør
