DocType: Accounting Period,Period Name,Periode Naam
DocType: Loan Application,Total Payable Amount,Totaal te betalen bedrag
DocType: Task,Expected Time (in hours),Verwachte Tijd (in uren)
DocType: Item Reorder,Check in (group),Check-in (groeps)
DocType: Soil Texture,Silt,Slib
,Qty to Order,Aantal te bestellen
DocType: Period Closing Voucher,"The account head under Liability or Equity, in which Profit/Loss will be booked","De rekening hoofd onder Aansprakelijkheid of Equity, waarbij winst / verlies zal worden geboekt"
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},Een ander budgetrecord &#39;{0}&#39; bestaat al voor {1} &#39;{2}&#39; en account &#39;{3}&#39; voor het fiscale jaar {4}
apps/erpnext/erpnext/config/projects.py,Gantt chart of all tasks.,Gantt-diagram van alle taken.
DocType: Opportunity,Mins to First Response,Minuten naar First Response
DocType: Pricing Rule,Margin Type,marge Type
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,{0} hours,{0} uren
DocType: Course,Default Grading Scale,Default Grading Scale
DocType: Appraisal,For Employee Name,Voor Naam werknemer
DocType: Holiday List,Clear Table,Wis Tabel
DocType: Woocommerce Settings,Tax Account,BTW-account
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Available slots,Beschikbare slots
DocType: C-Form Invoice Detail,Invoice No,Factuur nr.
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Make Payment,Betaling maken
DocType: Room,Room Name,Kamer naam
DocType: Prescription Duration,Prescription Duration,Voorschrift Duur
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Verlaat niet kan worden toegepast / geannuleerd voordat {0}, als verlof balans al-carry doorgestuurd in de toekomst toewijzing verlof record is {1}"
DocType: Activity Cost,Costing Rate,Costing Rate
apps/erpnext/erpnext/config/selling.py,Customer Addresses And Contacts,Klant adressen en contacten
DocType: Homepage Section,Section Cards,Sectiekaarten
,Campaign Efficiency,Campagne-efficiëntie
DocType: Discussion,Discussion,Discussie
apps/erpnext/erpnext/setup/default_energy_point_rules.py,On Sales Order Submission,Bij het verzenden van klantorders
DocType: Bank Transaction,Transaction ID,Transactie ID
DocType: Payroll Entry,Deduct Tax For Unsubmitted Tax Exemption Proof,Belastingaftrek voor niet-ingediende bewijs van belastingvrijstelling
DocType: Volunteer,Anytime,Anytime
DocType: Bank Account,Bank Account No,Bankrekening nummer
DocType: Employee Tax Exemption Proof Submission,Employee Tax Exemption Proof Submission,Vrijstelling van werknemersbelasting Bewijsverzending
DocType: Patient,Surgical History,Chirurgische Geschiedenis
DocType: Bank Statement Settings Item,Mapped Header,Toegewezen koptekst
DocType: Employee,Resignation Letter Date,Ontslagbrief Datum
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Pricing Rules are further filtered based on quantity.,Prijsbepalingsregels worden verder gefilterd op basis van aantal.
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Please set the Date Of Joining for employee {0},Stel de datum van aansluiting in voor werknemer {0}
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Please set the Date Of Joining for employee {0},Stel de datum van aansluiting in voor werknemer {0}
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Please enter Difference Account,Voer Verschilaccount in
DocType: Inpatient Record,Discharge,ontlading
DocType: Task,Total Billing Amount (via Time Sheet),Totaal Billing Bedrag (via Urenregistratie)
apps/erpnext/erpnext/education/doctype/fee_structure/fee_structure.js,Create Fee Schedule,Creëer een vergoedingsschema
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py,Repeat Customer Revenue,Terugkerende klanten Opbrengsten
DocType: Soil Texture,Silty Clay Loam,Silty Clay Loam
DocType: Quiz,Enter 0 to waive limit,Voer 0 in om afstand te doen
DocType: Bank Statement Settings,Mapped Items,Toegewezen items
DocType: Amazon MWS Settings,IT,HET
DocType: Chapter,Chapter,Hoofdstuk
,Fixed Asset Register,Vaste-activaregister
apps/erpnext/erpnext/utilities/user_progress.py,Pair,paar
DocType: Mode of Payment Account,Default account will be automatically updated in POS Invoice when this mode is selected.,Het standaardaccount wordt automatisch bijgewerkt in POS Invoice wanneer deze modus is geselecteerd.
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM and Qty for Production,Selecteer BOM en Aantal voor productie
DocType: Asset,Depreciation Schedule,afschrijving Schedule
DocType: Bank Reconciliation Detail,Against Account,Tegen Rekening
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Half Day Date should be between From Date and To Date,Halve dag datum moet zijn tussen Van Datum en To Date
DocType: Maintenance Schedule Detail,Actual Date,Werkelijke Datum
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.py,Please set the Default Cost Center in {0} company.,Stel het standaard kostenplaatsadres in {0} bedrijf in.
apps/erpnext/erpnext/projects/doctype/project/project.py,Daily Project Summary for {0},Dagelijkse projectsamenvatting voor {0}
DocType: Item,Has Batch No,Heeft Batch nr.
apps/erpnext/erpnext/public/js/utils.js,Annual Billing: {0},Jaarlijkse Billing: {0}
DocType: Shopify Webhook Detail,Shopify Webhook Detail,Shopify Webhook Detail
apps/erpnext/erpnext/config/accounting.py,Goods and Services Tax (GST India),Goederen en Diensten Belasting (GST India)
DocType: Delivery Note,Excise Page Number,Accijnzen Paginanummer
DocType: Asset,Purchase Date,aankoopdatum
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.js,Could not generate Secret,Kon geen geheim genereren
DocType: Volunteer,Volunteer Type,Vrijwilligers type
DocType: Payment Request,ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-
DocType: Shift Assignment,Shift Type,Shift Type
DocType: Student,Personal Details,Persoonlijke Gegevens
apps/erpnext/erpnext/regional/report/electronic_invoice_register/electronic_invoice_register.js,Export E-Invoices,E-facturen exporteren
apps/erpnext/erpnext/assets/doctype/asset/depreciation.py,Please set 'Asset Depreciation Cost Center' in Company {0},Stel &#39;Asset Afschrijvingen Cost Center&#39; in Company {0}
,Maintenance Schedules,Onderhoudsschema&#39;s
DocType: Pricing Rule,Apply Rule On Brand,Regel op merk toepassen
DocType: Task,Actual End Date (via Time Sheet),Werkelijke Einddatum (via Urenregistratie)
apps/erpnext/erpnext/projects/doctype/task/task.py,Cannot close task {0} as its dependant task {1} is not closed.,Kan taak {0} niet sluiten omdat de afhankelijke taak {1} niet is gesloten.
DocType: Soil Texture,Soil Type,Grondsoort
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Amount {0} {1} against {2} {3},Bedrag {0} {1} tegen {2} {3}
,Quotation Trends,Offerte Trends
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Item Group not mentioned in item master for item {0},Artikelgroep niet genoemd in Artikelstam voor Artikel {0}
DocType: GoCardless Mandate,GoCardless Mandate,GoCardless Mandate
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Debit To account must be a Receivable account,Debet Om rekening moet een vordering-account
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Select finance book for the item {0} at row {1},Selecteer financieringsboek voor het artikel {0} op rij {1}
DocType: Shipping Rule,Shipping Amount,Verzendbedrag
DocType: Supplier Scorecard Period,Period Score,Periode Score
apps/erpnext/erpnext/public/js/event.js,Add Customers,Voeg klanten toe
apps/erpnext/erpnext/accounts/report/delivered_items_to_be_billed/delivered_items_to_be_billed.py,Pending Amount,In afwachting van Bedrag
DocType: Lab Test Template,Special,speciaal
DocType: Loyalty Program,Conversion Factor,Conversiefactor
DocType: Purchase Order,Delivered,Geleverd
,Vehicle Expenses,Voertuig kosten
DocType: Healthcare Settings,Create Lab Test(s) on Sales Invoice Submit,Maak Lab-test (s) op Sales Invoice Submit
DocType: Serial No,Invoice Details,Factuurgegevens
apps/erpnext/erpnext/regional/india/utils.py,Salary Structure must be submitted before submission of Tax Ememption Declaration,De salarisstructuur moet worden ingediend voordat de belastingemissieverklaring wordt ingediend
DocType: Grant Application,Show on Website,Weergeven op website
apps/erpnext/erpnext/education/doctype/student_admission/templates/student_admission.html,Start on,Begin maar
DocType: Hub Tracked Item,Hub Category,Hubcategorie
DocType: Purchase Invoice,SEZ,SEZ
DocType: Purchase Receipt,Vehicle Number,Voertuig Aantal
DocType: Loan,Loan Amount,Leenbedrag
DocType: Student Report Generation Tool,Add Letterhead,Voeg briefhoofd toe
DocType: Program Enrollment,Self-Driving Vehicle,Zelfrijdend voertuig
DocType: Supplier Scorecard Standing,Supplier Scorecard Standing,Leverancier Scorecard Standing
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,Row {0}: Bill of Materials not found for the Item {1},Rij {0}: Bill of Materials niet gevonden voor het artikel {1}
DocType: Contract Fulfilment Checklist,Requirement,eis
DocType: Journal Entry,Accounts Receivable,Debiteuren
DocType: Quality Goal,Objectives,Doelen
DocType: Travel Itinerary,Meal Preference,Maaltijd Voorkeur
,Supplier-Wise Sales Analytics,Leverancier-gebaseerde Verkoop Analyse
apps/erpnext/erpnext/accounts/doctype/subscription_plan/subscription_plan.py,Billing Interval Count cannot be less than 1,Factuurintervaltelling kan niet minder zijn dan 1
DocType: Purchase Invoice,Availed ITC Central Tax,Gebruikmaken van ITC Central Tax
DocType: Sales Invoice,Company Address Name,Bedrijfs Adres Naam
DocType: Work Order,Use Multi-Level BOM,Gebruik Multi-Level Stuklijst
DocType: Bank Reconciliation,Include Reconciled Entries,Omvatten Reconciled Entries
apps/erpnext/erpnext/accounts/doctype/bank_transaction/bank_transaction.py,The total allocated amount ({0}) is greated than the paid amount ({1}).,Het totale toegewezen bedrag ({0}) is groter dan het betaalde bedrag ({1}).
DocType: Landed Cost Voucher,Distribute Charges Based On,Verdeel Toeslagen op basis van
DocType: Projects Settings,Timesheets,timesheets
DocType: HR Settings,HR Settings,HR-instellingen
apps/erpnext/erpnext/config/accounting.py,Accounting Masters,Accounting Masters
DocType: Salary Slip,net pay info,nettoloon info
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,CESS Amount,CESS-bedrag
DocType: Woocommerce Settings,Enable Sync,Synchronisatie inschakelen
DocType: Tax Withholding Rate,Single Transaction Threshold,Drempel voor enkele transactie
DocType: Lab Test Template,This value is updated in the Default Sales Price List.,Deze waarde is bijgewerkt in de standaard verkoopprijslijst.
apps/erpnext/erpnext/templates/pages/cart.html,Your cart is Empty,Uw winkelwagen is leeg
DocType: Email Digest,New Expenses,nieuwe Uitgaven
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.js,Cannot Optimize Route as Driver Address is Missing.,Kan route niet optimaliseren omdat het adres van de bestuurder ontbreekt.
DocType: Shareholder,Shareholder,Aandeelhouder
DocType: Purchase Invoice,Additional Discount Amount,Extra korting Bedrag
DocType: Cash Flow Mapper,Position,Positie
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Get Items from Prescriptions,Items van recepten ophalen
DocType: Patient,Patient Details,Patient Details
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Nature Of Supplies,Aard van leveringen
DocType: Inpatient Record,B Positive,B positief
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of previous claimed\
			amount",Het maximale voordeel van werknemer {0} overschrijdt {1} met de som {2} van het vorige geclaimde \ aantal
apps/erpnext/erpnext/buying/report/subcontracted_raw_materials_to_be_transferred/subcontracted_raw_materials_to_be_transferred.py,Transferred Quantity,Overgedragen hoeveelheid
apps/erpnext/erpnext/controllers/accounts_controller.py,"Row #{0}: Qty must be 1, as item is a fixed asset. Please use separate row for multiple qty.",Rij # {0}: Aantal moet 1 als item is een vaste activa. Gebruik aparte rij voor meerdere aantal.
DocType: Leave Block List Allow,Leave Block List Allow,Laat Block List Laat
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbr can not be blank or space,Abbr kan niet leeg of ruimte
DocType: Patient Medical Record,Patient Medical Record,Patient Medical Record
DocType: Quality Meeting Agenda,Quality Meeting Agenda,Kwaliteitsvergaderingsagenda
apps/erpnext/erpnext/accounts/doctype/account/account.js,Group to Non-Group,Groep om Non-groep
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Sports,Sport
DocType: Leave Control Panel,Employee (optional),Werknemer (optioneel)
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Material Request {0} submitted.,Materiaalaanvraag {0} ingediend.
DocType: Loan Type,Loan Name,lening Naam
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py,Total Actual,Totaal Werkelijke
DocType: Chart of Accounts Importer,Chart Preview,Grafiek voorbeeld
DocType: Attendance,Shift,Verschuiving
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.py,Enter API key in Google Settings.,Voer de API-sleutel in in Google Instellingen.
apps/erpnext/erpnext/accounts/doctype/exchange_rate_revaluation/exchange_rate_revaluation.js,Create Journal Entry,Maak een journaalboeking
DocType: Student Siblings,Student Siblings,student Broers en zussen
DocType: Subscription Plan Detail,Subscription Plan Detail,Abonnementsplan Detail
DocType: Quality Objective,Unit,eenheid
apps/erpnext/erpnext/stock/get_item_details.py,Please specify Company,Specificeer Bedrijf
,Customer Acquisition and Loyalty,Klantenwerving en behoud
DocType: Issue,Response By Variance,Reactie door variantie
DocType: Asset Maintenance Task,Maintenance Task,Onderhoudstaak
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.py,Please set B2C Limit in GST Settings.,Stel B2C-limiet in GST-instellingen in.
DocType: Marketplace Settings,Marketplace Settings,Marketplace-instellingen
DocType: Purchase Invoice,Warehouse where you are maintaining stock of rejected items,Magazijn waar u voorraad bijhoudt van afgewezen artikelen
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Publish {0} Items,Publiceer {0} items
apps/erpnext/erpnext/setup/utils.py,Unable to find exchange rate for {0} to {1} for key date {2}. Please create a Currency Exchange record manually,Kan wisselkoers voor {0} tot {1} niet vinden voor de sleuteldatum {2}. Creëer alsjeblieft een valuta-wisselrecord
DocType: POS Profile,Price List,Prijslijst
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,{0} is now the default Fiscal Year. Please refresh your browser for the change to take effect.,{0} is nu het standaard Boekjaar. Ververs uw browser om de wijziging door te voeren .
apps/erpnext/erpnext/projects/doctype/task/task.js,Expense Claims,Declaraties
DocType: Issue,Support,Support
DocType: Employee Tax Exemption Declaration,Total Exemption Amount,Totale vrijstellingsbedrag
DocType: Content Question,Question Link,Vraag link
,BOM Search,BOM Zoeken
DocType: Accounting Dimension Detail,Mandatory For Balance Sheet,Verplicht voor balans
DocType: Project,Total Consumed Material Cost  (via Stock Entry),Totale verbruikte materiaalkosten (via voorraadinvoer)
DocType: Subscription,Subscription Period,Abonnementsperiode
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.js,To Date cannot be less than From Date,Tot op heden kan niet minder zijn dan Van datum
,Delayed Order Report,Vertraagd orderrapport
DocType: Item,"Publish ""In Stock"" or ""Not in Stock"" on Hub based on stock available in this warehouse.",Publiceer &#39;In voorraad&#39; of &#39;Niet op voorraad&#39; op Hub op basis van de voorraad die beschikbaar is in dit magazijn.
DocType: Vehicle,Fuel Type,Brandstoftype
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Please specify currency in Company,Omschrijf valuta Company
DocType: Workstation,Wages per hour,Loon per uur
apps/erpnext/erpnext/templates/generators/item/item_configure.js,Configure {0},Configureer {0}
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Customer &gt; Customer Group &gt; Territory,Klant&gt; Klantengroep&gt; Gebied
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py,Stock balance in Batch {0} will become negative {1} for Item {2} at Warehouse {3},Voorraadbalans in Batch {0} zal negatief worden {1} voor Artikel {2} in Magazijn {3}
apps/erpnext/erpnext/templates/emails/reorder_item.html,Following Material Requests have been raised automatically based on Item's re-order level,Volgende Material Aanvragen werden automatisch verhoogd op basis van re-order niveau-item
apps/erpnext/erpnext/controllers/accounts_controller.py,Account {0} is invalid. Account Currency must be {1},Account {0} is ongeldig. Account Valuta moet {1} zijn
apps/erpnext/erpnext/hr/doctype/salary_structure_assignment/salary_structure_assignment.py,From Date {0} cannot be after employee's relieving Date {1},Vanaf datum {0} kan niet worden na ontlastingsdatum van medewerker {1}
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js,Create Payment Entries,Creëer betalingsinvoer
DocType: Supplier,Is Internal Supplier,Is interne leverancier
DocType: Employee,Create User Permission,Maak gebruiker toestemming
DocType: Employee Benefit Claim,Employee Benefit Claim,Employee Benefit Claim
DocType: Healthcare Settings,Remind Before,Herinner je alvast
apps/erpnext/erpnext/buying/utils.py,UOM Conversion factor is required in row {0},Eenheid Omrekeningsfactor is vereist in rij {0}
DocType: Production Plan Item,material_request_item,material_request_item
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,"Row #{0}: Reference Document Type must be one of Sales Order, Sales Invoice or Journal Entry","Rij # {0}: Reference document moet een van Sales Order, verkoopfactuur of Inboeken zijn"
DocType: Loyalty Program,1 Loyalty Points = How much base currency?,1 Loyaliteitspunten = Hoeveel basisvaluta?
DocType: Salary Component,Deduction,Aftrek
DocType: Item,Retain Sample,Bewaar monster
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Row {0}: From Time and To Time is mandatory.,Rij {0}: Van tijd en binnen Tijd is verplicht.
DocType: Stock Reconciliation Item,Amount Difference,bedrag Verschil
apps/erpnext/erpnext/public/js/hub/pages/Buying.vue,This page keeps track of items you want to buy from sellers.,Deze pagina houdt bij welke artikelen u van verkopers wilt kopen.
apps/erpnext/erpnext/stock/get_item_details.py,Item Price added for {0} in Price List {1},Item Prijs toegevoegd {0} in de prijslijst {1}
DocType: Delivery Stop,Order Information,order informatie
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person_tree.js,Please enter Employee Id of this sales person,Vul Employee Id van deze verkoper
DocType: Territory,Classification of Customers by region,Indeling van de klanten per regio
apps/erpnext/erpnext/stock/report/item_variant_details/item_variant_details.py,In Production,In de maak
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Difference Amount must be zero,Verschil Bedrag moet nul zijn
DocType: Project,Gross Margin,Bruto Marge
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,{0} applicable after {1} working days,{0} van toepassing na {1} werkdagen
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Please enter Production Item first,Vul eerst Productie Artikel in
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py,Calculated Bank Statement balance,Berekende bankafschrift balans
DocType: Normal Test Template,Normal Test Template,Normaal Testsjabloon
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.js,disabled user,Uitgeschakelde gebruiker
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Quotation,Offerte
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Cannot set a received RFQ to No Quote,Kan geen ontvangen RFQ zonder citaat instellen
DocType: Salary Slip,Total Deduction,Totaal Aftrek
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Select an account to print in account currency,Selecteer een account om in rekeningsvaluta af te drukken
DocType: BOM,Transfer Material Against,Materiaal overbrengen tegen
,Production Analytics,Production Analytics
apps/erpnext/erpnext/healthcare/doctype/patient/patient_dashboard.py,This is based on transactions against this Patient. See timeline below for details,Dit is gebaseerd op transacties tegen deze patiënt. Zie de tijdlijn hieronder voor details
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.py,Loan Start Date and Loan Period are mandatory to save the Invoice Discounting,De startdatum en de uitleentermijn van de lening zijn verplicht om de korting op de factuur op te slaan
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Cost Updated,Kosten Bijgewerkt
apps/erpnext/erpnext/regional/india/utils.py,Vehicle Type is required if Mode of Transport is Road,Voertuigtype is vereist als de wijze van vervoer weg is
DocType: Inpatient Record,Date of Birth,Geboortedatum
DocType: Quality Action,Resolutions,resoluties
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Item {0} has already been returned,Artikel {0} is al geretourneerd
DocType: Fiscal Year,**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,**Boekjaar** staat voor een financieel jaar. Alle boekingen en andere belangrijke transacties worden bijgehouden in **boekjaar**.
DocType: Opportunity,Customer / Lead Address,Klant / Lead Adres
DocType: Supplier Scorecard Period,Supplier Scorecard Setup,Leveranciers Scorecard Setup
DocType: Customer Credit Limit,Customer Credit Limit,Kredietlimiet klant
apps/erpnext/erpnext/education/report/assessment_plan_status/assessment_plan_status.py,Assessment Plan Name,Beoordeling plannaam
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year_dashboard.py,Target Details,Doelgegevens
apps/erpnext/erpnext/regional/italy/setup.py,"Applicable if the company is SpA, SApA or SRL","Van toepassing als het bedrijf SpA, SApA of SRL is"
DocType: Work Order Operation,Work Order Operation,Werkorder operatie
apps/erpnext/erpnext/stock/doctype/item/item.py,Warning: Invalid SSL certificate on attachment {0},Waarschuwing: Ongeldig SSL certificaat op attachment {0}
apps/erpnext/erpnext/regional/italy/setup.py,Set this if the customer is a Public Administration company.,Stel dit in als de klant een bedrijf voor openbaar bestuur is.
apps/erpnext/erpnext/utilities/activation.py,"Leads help you get business, add all your contacts and more as your leads","Leads u helpen om zaken, voeg al uw contacten en nog veel meer als uw leads"
DocType: Work Order Operation,Actual Operation Time,Werkelijke Operatie Duur
DocType: Authorization Rule,Applicable To (User),Van toepassing zijn op (Gebruiker)
DocType: Purchase Taxes and Charges,Deduct,Aftrekken
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Job Description,Functiebeschrijving
DocType: Student Applicant,Applied,Toegepast
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Details of Outward Supplies and inward supplies liable to reverse charge,Details van uitgaande leveringen en binnenkomende leveringen die kunnen worden teruggeboekt
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Re-open,Heropenen
DocType: Sales Invoice Item,Qty as per Stock UOM,Aantal per Voorraad eenheid
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian2 Name,Guardian2 Naam
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,Root Company,Root Company
DocType: Attendance,Attendance Request,Aanwezigheidsaanvraag
DocType: Purchase Invoice,02-Post Sale Discount,02-Korting na verkoop
DocType: Campaign,"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment.","Blijf op de hoogte van Sales Campaigns. Blijf op de hoogte van Leads, Offertes, Sales Order etc van campagnes te meten Return on Investment."
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.py,You can't redeem Loyalty Points having more value than the Grand Total.,Je kunt geen Loyalty Points verzilveren die meer waarde hebben dan het Eindtotaal.
DocType: Department Approver,Approver,Goedkeurder
apps/erpnext/erpnext/selling/report/pending_so_items_for_purchase_request/pending_so_items_for_purchase_request.py,SO Qty,VO Aantal
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field To Shareholder cannot be blank,Het veld Naar aandeelhouder mag niet leeg zijn
DocType: Guardian,Work Address,Werk adres
DocType: Appraisal,Calculate Total Score,Bereken Totaalscore
DocType: Employee,Health Insurance,Ziektekostenverzekering
DocType: Asset Repair,Manufacturing Manager,Productie Manager
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Serial No {0} is under warranty upto {1},Serienummer {0} is onder garantie tot {1}
DocType: Plant Analysis Criteria,Minimum Permissible Value,Minimaal toelaatbare waarde
apps/erpnext/erpnext/education/doctype/guardian/guardian.py,User {0} already exists,Gebruiker {0} bestaat al
apps/erpnext/erpnext/hooks.py,Shipments,Zendingen
DocType: Payment Entry,Total Allocated Amount (Company Currency),Totaal toegewezen bedrag (Company Munt)
DocType: Purchase Order Item,To be delivered to customer,Om de klant te leveren
DocType: BOM,Scrap Material Cost,Scrap Materiaal Cost
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial No {0} does not belong to any Warehouse,Serienummer {0} niet behoren tot een Warehouse
DocType: Grant Application,Email Notification Sent,E-mailmelding verzonden
DocType: Purchase Invoice,In Words (Company Currency),In Woorden (Bedrijfsvaluta)
apps/erpnext/erpnext/accounts/doctype/bank_account/bank_account.py,Company is manadatory for company account,Bedrijf is typisch voor bedrijfsaccount
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,"Item Code, warehouse, quantity are required on row","Artikelcode, magazijn, aantal is verplicht op rij"
DocType: Bank Guarantee,Supplier,Leverancier
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js,Get From,Krijg Van
apps/erpnext/erpnext/hr/doctype/department/department.js,This is a root department and cannot be edited.,Dit is een rootafdeling en kan niet worden bewerkt.
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show Payment Details,Toon betalingsgegevens
apps/erpnext/erpnext/crm/report/lead_conversion_time/lead_conversion_time.py,Duration in Days,Duur in dagen
DocType: C-Form,Quarter,Kwartaal
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Miscellaneous Expenses,Diverse Kosten
DocType: Global Defaults,Default Company,Standaard Bedrijf
DocType: Company,Transactions Annual History,Transacties Jaaroverzicht
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Bank account '{0}' has been synchronized,Bankrekening &#39;{0}&#39; is gesynchroniseerd
apps/erpnext/erpnext/controllers/stock_controller.py,Expense or Difference account is mandatory for Item {0} as it impacts overall stock value,Kosten- of verschillenrekening is verplicht voor artikel {0} omdat het invloed heeft op de totale voorraadwaarde
DocType: Bank,Bank Name,Banknaam
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Leave the field empty to make purchase orders for all suppliers,Laat het veld leeg om inkooporders voor alle leveranciers te maken
DocType: Healthcare Practitioner,Inpatient Visit Charge Item,Vergoedingsitem voor inkomende patiëntenbezoek
DocType: Vital Signs,Fluid,Vloeistof
DocType: Leave Application,Total Leave Days,Totaal verlofdagen
DocType: Email Digest,Note: Email will not be sent to disabled users,Opmerking: E-mail wordt niet verzonden naar uitgeschakelde gebruikers
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.js,Number of Interaction,Aantal interacties
DocType: GSTR 3B Report,February,februari
apps/erpnext/erpnext/stock/doctype/item/item.js,Item Variant Settings,Item Variant Settings
apps/erpnext/erpnext/public/js/account_tree_grid.js,Select Company...,Selecteer Bedrijf ...
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,{0} is mandatory for Item {1},{0} is verplicht voor Artikel {1}
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,"Item {0}: {1} qty produced, ","Artikel {0}: {1} aantal geproduceerd,"
DocType: Payroll Entry,Fortnightly,van twee weken
DocType: Currency Exchange,From Currency,Van Valuta
DocType: Vital Signs,Weight (In Kilogram),Gewicht (in kilogram)
