DocType: Accounting Period,Period Name,Periode Navn
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.js,Type of Business,Type virksomhet
DocType: Sales Invoice,Consumer,forbruker~~POS=TRUNC
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,"Please select Allocated Amount, Invoice Type and Invoice Number in atleast one row","Vennligst velg avsatt beløp, fakturatype og fakturanummer i minst én rad"
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost of New Purchase,Kostnad for nye kjøp
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Sales Order required for Item {0},Salgsordre kreves for Element {0}
DocType: Grant Application,Grant Description,Grant Beskrivelse
DocType: Purchase Invoice Item,Rate (Company Currency),Rate (Selskap Valuta)
DocType: Student Guardian,Others,Annet
DocType: Subscription,Discounts,rabatter
DocType: Bank Transaction,Unallocated Amount,uallokert Beløp
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,Vennligst aktiver gjeldende på innkjøpsordre og gjeldende ved bestilling av faktiske kostnader
apps/erpnext/erpnext/templates/includes/product_page.js,Cannot find a matching Item. Please select some other value for {0}.,Kan ikke finne en matchende element. Vennligst velg en annen verdi for {0}.
DocType: POS Profile,Taxes and Charges,Skatter og avgifter
DocType: Item,"A Product or a Service that is bought, sold or kept in stock.","Et produkt eller en tjeneste som er kjøpt, solgt eller holdes på lager."
apps/erpnext/erpnext/hr/page/team_updates/team_updates.js,No more updates,Ingen flere oppdateringer
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,Kan ikke velge charge type som &#39;On Forrige Row beløp &quot;eller&quot; On Forrige Row Totals for første rad
DocType: Purchase Order,PUR-ORD-.YYYY.-,PUR-ORD-.YYYY.-
apps/erpnext/erpnext/buying/doctype/supplier_scorecard/supplier_scorecard_dashboard.py,This covers all scorecards tied to this Setup,Dette dekker alle scorecards knyttet til denne oppsettet
apps/erpnext/erpnext/selling/doctype/product_bundle/product_bundle.py,Child Item should not be a Product Bundle. Please remove item `{0}` and save,Barn Varen bør ikke være et produkt Bundle. Vennligst fjern element `{0}` og lagre
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Banking,Banking
apps/erpnext/erpnext/utilities/activation.py,Add Timesheets,Legg Timelister
DocType: Vehicle Service,Service Item,tjenesten Element
DocType: Bank Guarantee,Bank Guarantee,Bankgaranti
DocType: Bank Guarantee,Bank Guarantee,Bankgaranti
DocType: Payment Request,Transaction Details,Transaksjonsdetaljer
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please click on 'Generate Schedule' to get schedule,Vennligst klikk på &quot;Generer Schedule &#39;for å få timeplanen
DocType: Item,"Purchase, Replenishment Details","Informasjon om kjøp, påfyll"
DocType: Products Settings,Enable Field Filters,Aktiver feltfiltre
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Customer Provided Item"" cannot be Purchase Item also",&quot;Kundeleveret vare&quot; kan ikke være kjøpsvarer også
DocType: Blanket Order Item,Ordered Quantity,Bestilte Antall
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Build tools for builders""",f.eks &quot;Bygg verktøy for utbyggere&quot;
DocType: Grading Scale,Grading Scale Intervals,Karakterskalaen Intervaller
apps/erpnext/erpnext/regional/india/utils.py,Invalid {0}! The check digit validation has failed. ,Ugyldig {0}! Valideringen av kontrollsifret mislyktes.
DocType: Item Default,Purchase Defaults,Kjøpsstandarder
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again","Kunne ikke opprette kredittnota automatisk, vennligst fjern merket for &quot;Utsted kredittnota&quot; og send igjen"
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Added to Featured Items,Lagt til utvalgte elementer
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Profit for the year,Årets resultat
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: Regnskap Entry for {2} kan bare gjøres i valuta: {3}
DocType: Fee Schedule,In Process,Igang
DocType: Authorization Rule,Itemwise Discount,Itemwise Rabatt
apps/erpnext/erpnext/config/accounting.py,Tree of financial accounts.,Tre av finansregnskap.
DocType: Cash Flow Mapping,Cash Flow Mapping,Cash Flow Mapping
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Sales Order {1},{0} mot Salgsordre {1}
DocType: Account,Fixed Asset,Fast Asset
DocType: Amazon MWS Settings,After Date,Etter dato
apps/erpnext/erpnext/config/help.py,Serialized Inventory,Serialisert Lager
,Department Analytics,Avdeling Analytics
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Email not found in default contact,E-post ikke funnet i standardkontakt
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.js,Generate Secret,Generer hemmelighet
DocType: Question,Question,Spørsmål
DocType: Loan,Account Info,Kontoinformasjon
DocType: Activity Type,Default Billing Rate,Standard Billing pris
DocType: Fees,Include Payment,Inkluder betaling
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,{0} Student Groups created.,{0} Studentgrupper opprettet.
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,{0} Student Groups created.,{0} Studentgrupper opprettet.
DocType: Sales Invoice,Total Billing Amount,Total Billing Beløp
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.py,Program in the Fee Structure and Student Group {0} are different.,Programmet i avgiftsstrukturen og studentgruppen {0} er forskjellig.
DocType: Bank Statement Transaction Entry,Receivable Account,Fordring konto
apps/erpnext/erpnext/stock/doctype/item_price/item_price.py,Valid From Date must be lesser than Valid Upto Date.,Gyldig fra dato må være mindre enn gyldig utløpsdato.
DocType: Employee Skill,Evaluation Date,Evalueringsdato
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} is already {2},Row # {0}: Asset {1} er allerede {2}
DocType: Quotation Item,Stock Balance,Stock Balance
apps/erpnext/erpnext/config/help.py,Sales Order to Payment,Salgsordre til betaling
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,CEO,administrerende direktør
DocType: Purchase Invoice,With Payment of Tax,Med betaling av skatt
DocType: Expense Claim Detail,Expense Claim Detail,Expense krav Detalj
apps/erpnext/erpnext/education/utils.py,You are not allowed to enroll for this course,Du har ikke lov til å melde deg på dette kurset
DocType: Purchase Invoice,TRIPLICATE FOR SUPPLIER,TRIPLIKAT FOR LEVERANDØR
DocType: Exchange Rate Revaluation Account,New Balance In Base Currency,Ny balanse i basisvaluta
DocType: Location,Is Container,Er Container
DocType: Crop Cycle,This will be day 1 of the crop cycle,Dette blir dag 1 i avlingen syklus
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Please select correct account,Velg riktig konto
DocType: Salary Structure Assignment,Salary Structure Assignment,Lønnsstrukturoppgave
DocType: Purchase Invoice Item,Weight UOM,Vekt målenheter
apps/erpnext/erpnext/config/accounting.py,List of available Shareholders with folio numbers,Liste over tilgjengelige Aksjonærer med folio nummer
DocType: Salary Structure Employee,Salary Structure Employee,Lønn Struktur Employee
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.js,Show Variant Attributes,Vis variantattributter
DocType: Student,Blood Group,Blodgruppe
DocType: Purchase Invoice Item,Page Break,Page Break
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,The payment gateway account in plan {0} is different from the payment gateway account in this payment request,Betalingsgatewaykontoen i plan {0} er forskjellig fra betalingsgatewaykontoen i denne betalingsanmodningen
DocType: Course,Course Name,Course Name
apps/erpnext/erpnext/accounts/doctype/tax_withholding_category/tax_withholding_category.py,No Tax Withholding data found for the current Fiscal Year.,Ingen skattelettende data funnet for det nåværende regnskapsåret.
DocType: Employee Leave Approver,Users who can approve a specific employee's leave applications,Brukere som kan godkjenne en bestemt ansattes permisjon applikasjoner
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Equipments,Kontor utstyr
DocType: Pricing Rule,Qty,Antall
DocType: Fiscal Year,Companies,Selskaper
DocType: Supplier Scorecard,Scoring Setup,Scoring Setup
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Electronics,Elektronikk
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Debit ({0}),Debet ({0})
DocType: BOM,Allow Same Item Multiple Times,Tillat samme gjenstand flere ganger
DocType: Stock Settings,Raise Material Request when stock reaches re-order level,Hev Material Request når aksjen når re-order nivå
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Full-time,Fulltid
DocType: Payroll Entry,Employees,medarbeidere
DocType: Question,Single Correct Answer,Enkelt riktig svar
DocType: C-Form,Received Date,Mottatt dato
DocType: Delivery Note,"If you have created a standard template in Sales Taxes and Charges Template, select one and click on the button below.","Hvis du har opprettet en standard mal i salgs skatter og avgifter mal, velger du ett og klikk på knappen under."
DocType: BOM Scrap Item,Basic Amount (Company Currency),Grunnbeløpet (Selskap Valuta)
DocType: Student,Guardians,Voktere
apps/erpnext/erpnext/templates/pages/integrations/gocardless_confirmation.html,Payment Confirmation,Betalingsbekreftelse
apps/erpnext/erpnext/regional/india/utils.py,Unsupported GST Category for e-Way Bill JSON generation,Ikke støttet GST-kategori for e-veis Bill JSON-generasjon
DocType: Shopping Cart Settings,Prices will not be shown if Price List is not set,Prisene vil ikke bli vist hvis prislisten er ikke satt
DocType: Material Request Item,Received Quantity,Mottatt mengde
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,To Date must be greater than From Date,Til dags dato må være større enn Fra dato
DocType: Stock Entry,Total Incoming Value,Total Innkommende Verdi
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Debit To is required,Debet Å kreves
DocType: Clinical Procedure,Inpatient Record,Inpatient Record
apps/erpnext/erpnext/utilities/activation.py,"Timesheets help keep track of time, cost and billing for activites done by your team","Timelister bidra til å holde styr på tid, kostnader og fakturering for aktiviteter gjort av teamet ditt"
apps/erpnext/erpnext/stock/report/item_prices/item_prices.py,Purchase Price List,Kjøp Prisliste
DocType: Communication Medium Timeslot,Employee Group,Ansattegruppe
apps/erpnext/erpnext/accounts/report/tds_payable_monthly/tds_payable_monthly.py,Date of Transaction,Dato for transaksjon
apps/erpnext/erpnext/config/buying.py,Templates of supplier scorecard variables.,Maler av leverandørens scorecard-variabler.
DocType: Job Offer Term,Offer Term,Tilbudet Term
DocType: Asset,Quality Manager,Quality Manager
DocType: Job Applicant,Job Opening,Job Opening
DocType: Employee,Default Shift,Standard skift
DocType: Payment Reconciliation,Payment Reconciliation,Betaling Avstemming
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please select Incharge Person's name,Vennligst velg Incharge persons navn
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Technology,Teknologi
apps/erpnext/erpnext/public/js/utils.js,Total Unpaid: {0},Total Ubetalte: {0}
DocType: BOM Website Operation,BOM Website Operation,BOM Nettstedet Operasjon
DocType: Bank Statement Transaction Payment Item,outstanding_amount,utestående beløp
DocType: Supplier Scorecard,Supplier Score,Leverandørpoeng
apps/erpnext/erpnext/healthcare/doctype/patient_encounter/patient_encounter.js,Schedule Admission,Planleggingsopptak
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Total Payment Request amount cannot be greater than {0} amount,Totalt beløp for forespørsel om betaling kan ikke være større enn {0} beløp
DocType: Tax Withholding Rate,Cumulative Transaction Threshold,Kumulativ transaksjonsgrense
DocType: Promotional Scheme Price Discount,Discount Type,Rabatttype
DocType: Purchase Invoice Item,Is Free Item,Er gratis vare
DocType: Buying Settings,Percentage you are allowed to transfer more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to transfer 110 units.,"Prosentandel du har lov til å overføre mer mot bestilt mengde. For eksempel: Hvis du har bestilt 100 enheter. og godtgjørelsen din er 10%, har du lov til å overføre 110 enheter."
DocType: Supplier,Warn RFQs,Advarsel RFQs
apps/erpnext/erpnext/public/js/hub/pages/Home.vue,Explore,Utforske
DocType: BOM,Conversion Rate,konverterings~~POS=TRUNC
apps/erpnext/erpnext/www/all-products/index.html,Product Search,Produktsøk
,Bank Remittance,Bankoverføring
DocType: Cashier Closing,To Time,Til Time
DocType: Invoice Discounting,Loan End Date,Sluttdato for lån
apps/erpnext/erpnext/hr/utils.py,) for {0},) for {0}
DocType: Authorization Rule,Approving Role (above authorized value),Godkjenne Role (ovenfor autorisert verdi)
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Credit To account must be a Payable account,Kreditt til kontoen må være en Betales konto
DocType: Loan,Total Amount Paid,Totalt beløp betalt
DocType: Asset,Insurance End Date,Forsikrings sluttdato
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.py,Please select Student Admission which is mandatory for the paid student applicant,"Vennligst velg Student Admission, som er obligatorisk for den betalte student søkeren"
DocType: Pick List,STO-PICK-.YYYY.-,STO-PICK-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,Budget List,Budsjettliste
DocType: Campaign,Campaign Schedules,Kampanjeplaner
DocType: Job Card Time Log,Completed Qty,Fullført Antall
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,"For {0}, only debit accounts can be linked against another credit entry",For {0} kan bare belastning kontoer knyttes opp mot en annen kreditt oppføring
DocType: Manufacturing Settings,Allow Overtime,Tillat Overtid
DocType: Training Event Employee,Training Event Employee,Trening Hendelses Employee
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Maximum Samples - {0} can be retained for Batch {1} and Item {2}.,Maksimale prøver - {0} kan beholdes for Batch {1} og Item {2}.
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js,Add Time Slots,Legg til tidsluker
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} serienumre som kreves for Element {1}. Du har gitt {2}.
DocType: Stock Reconciliation Item,Current Valuation Rate,Nåværende Verdivurdering Rate
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.py,Number of root accounts cannot be less than 4,Antall rotkontoer kan ikke være mindre enn 4
DocType: Training Event,Advance,Avansere
apps/erpnext/erpnext/config/integrations.py,GoCardless payment gateway settings,GoCardless betalings gateway innstillinger
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Exchange Gain/Loss,Valutagevinst / tap
DocType: Opportunity,Lost Reason,Mistet Reason
DocType: Amazon MWS Settings,Enable Amazon,Aktiver Amazon
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Account {1} does not belong to company {2},Rute # {0}: Konto {1} tilhører ikke firma {2}
apps/erpnext/erpnext/setup/doctype/naming_series/naming_series.py,Unable to find DocType {0},Kan ikke finne DocType {0}
apps/erpnext/erpnext/public/js/templates/address_list.html,New Address,Ny adresse
DocType: Quality Inspection,Sample Size,Sample Size
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Please enter Receipt Document,Fyll inn Kvittering Document
apps/erpnext/erpnext/stock/doctype/purchase_receipt/purchase_receipt.py,All items have already been invoiced,Alle elementene er allerede blitt fakturert
apps/erpnext/erpnext/hr/report/employee_leave_balance_summary/employee_leave_balance_summary.py,Leaves Taken,Blader tatt
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.py,Please specify a valid 'From Case No.',Vennligst oppgi en gyldig &quot;Fra sak nr &#39;
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,Further cost centers can be made under Groups but entries can be made against non-Groups,Ytterligere kostnadsbærere kan gjøres under Grupper men oppføringene kan gjøres mot ikke-grupper
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Total allocated leaves are more days than maximum allocation of {0} leave type for employee {1} in the period,Totalt tildelte blader er flere dager enn maksimal tildeling av {0} permisjonstype for ansatt {1} i perioden
DocType: Branch,Branch,Branch
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"Other outward supplies(Nil rated,Exempted)","Andre forsyninger (ikke vurdert, unntatt)"
DocType: Soil Analysis,Ca/(K+Ca+Mg),Ca / (K + Ca + Mg)
DocType: Delivery Trip,Fulfillment User,Fulfillment User
apps/erpnext/erpnext/config/settings.py,Printing and Branding,Trykking og merkevarebygging
DocType: Company,Total Monthly Sales,Totalt månedlig salg
DocType: Course Activity,Enrollment,Registrering
DocType: Payment Request,Subscription Plans,Abonnementsplaner
DocType: Agriculture Analysis Criteria,Weather,Vær
DocType: Bin,Actual Quantity,Selve Antall
DocType: Shipping Rule,example: Next Day Shipping,Eksempel: Neste Day Shipping
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Serial No {0} not found,Serial No {0} ikke funnet
DocType: Fee Schedule Program,Fee Schedule Program,Avgift Schedule Program
DocType: Fee Schedule Program,Student Batch,student Batch
DocType: Pricing Rule,Advanced Settings,Avanserte innstillinger
DocType: Supplier Scorecard Scoring Standing,Min Grade,Min karakter
DocType: Healthcare Service Unit Type,Healthcare Service Unit Type,Helsesektorenhetstype
DocType: Training Event Employee,Feedback Submitted,Tilbakemelding Sendt inn
apps/erpnext/erpnext/projects/doctype/project/project.py,You have been invited to collaborate on the project: {0},Du har blitt invitert til å samarbeide om prosjektet: {0}
DocType: Supplier Group,Parent Supplier Group,Foreldre Leverandørgruppe
DocType: Email Digest,Purchase Orders to Bill,Innkjøpsordrer til Bill
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.js,Accumulated Values in Group Company,Akkumulerte verdier i konsernselskapet
DocType: Leave Block List Date,Block Date,Block Dato
DocType: Item,You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Du kan bruke hvilken som helst gyldig Bootstrap 4-markering i dette feltet. Det vil vises på varesiden din.
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"Outward taxable supplies(other than zero rated, nil rated and exempted","Utgående skattepliktige leveranser (unntatt null, ikke vurdert og unntatt"
DocType: Crop,Crop,Avling
DocType: Purchase Receipt,Supplier Delivery Note,Leverandørleverans Note
apps/erpnext/erpnext/education/doctype/student_admission/templates/student_admission.html,Apply Now,Søk nå
DocType: Employee Tax Exemption Proof Submission Detail,Type of Proof,Type bevis
apps/erpnext/erpnext/stock/dashboard/item_dashboard_list.html,Actual Qty {0} / Waiting Qty {1},Faktisk antall {0} / Venter antall {1}
apps/erpnext/erpnext/stock/dashboard/item_dashboard_list.html,Actual Qty {0} / Waiting Qty {1},Faktisk antall {0} / Venter antall {1}
DocType: Purchase Invoice,E-commerce GSTIN,E-handel GSTIN
DocType: Sales Order,Not Delivered,Ikke levert
,Bank Clearance Summary,Bank Lagersalg Summary
apps/erpnext/erpnext/config/settings.py,"Create and manage daily, weekly and monthly email digests.","Opprette og administrere daglige, ukentlige og månedlige e-postfordøyer."
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person_dashboard.py,This is based on transactions against this Sales Person. See timeline below for details,Dette er basert på transaksjoner mot denne selgeren. Se tidslinjen nedenfor for detaljer
DocType: Appraisal Goal,Appraisal Goal,Appraisal Goal
DocType: Stock Reconciliation Item,Current Amount,Gjeldende Beløp
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Buildings,bygninger
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period.py,Leaves has been granted sucessfully,Blader har blitt gitt suksessivt
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_transaction_row.html,New Invoice,Ny faktura
DocType: Products Settings,Enable Attribute Filters,Aktiver attributtfiltre
DocType: Fee Schedule,Fee Structure,Avgiftsstruktur struktur~~POS=HEADCOMP
DocType: Timesheet Detail,Costing Amount,Costing Beløp
DocType: Student Admission Program,Application Fee,Påmeldingsavgift
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.js,Submit Salary Slip,Send Lønn Slip
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice_list.js,On Hold,På vent
apps/erpnext/erpnext/education/doctype/question/question.py,A qustion must have at least one correct options,En spørsmål må ha minst ett riktig alternativ
apps/erpnext/erpnext/hooks.py,Purchase Orders,Innkjøpsordrer
DocType: Account,Inter Company Account,Inter Company Account
apps/erpnext/erpnext/stock/doctype/item_price/item_price.js,Import in Bulk,Import i Bulk
DocType: Sales Partner,Address & Contacts,Adresse og Kontakt
DocType: SMS Log,Sender Name,Avsender Navn
DocType: Vital Signs,Very Hyper,Veldig Hyper
DocType: Agriculture Analysis Criteria,Agriculture Analysis Criteria,Landbruk Analyse Kriterier
DocType: HR Settings,Leave Approval Notification Template,Legg igjen godkjenningsmeldingskjemaet
DocType: POS Profile,[Select],[Velg]
DocType: Staffing Plan Detail,Number Of Positions,Antall posisjoner
DocType: Vital Signs,Blood Pressure (diastolic),Blodtrykk (diastolisk)
apps/erpnext/erpnext/accounts/doctype/coupon_code/coupon_code.py,Please select the customer.,Velg kunde.
DocType: SMS Log,Sent To,Sendt til
DocType: Agriculture Task,Holiday Management,Holiday Management
DocType: Payment Request,Make Sales Invoice,Gjør Sales Faktura
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Softwares,programvare
apps/erpnext/erpnext/crm/doctype/lead/lead.py,Next Contact Date cannot be in the past,Neste Kontakt Datoen kan ikke være i fortiden
DocType: Company,For Reference Only.,For referanse.
apps/erpnext/erpnext/accounts/page/pos/pos.js,Select Batch No,Velg batchnummer
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Invalid {0}: {1},Ugyldig {0}: {1}
,GSTR-1,GSTR-en
DocType: Fee Validity,Reference Inv,Referanse Inv
DocType: Sales Invoice Advance,Advance Amount,Forskuddsbeløp
DocType: Manufacturing Settings,Capacity Planning,Kapasitetsplanlegging
DocType: Supplier Quotation,Rounding Adjustment (Company Currency,Avrundingsjustering (Bedriftsvaluta
DocType: Asset,Policy number,Politikk nummer
apps/erpnext/erpnext/stock/report/batch_item_expiry_status/batch_item_expiry_status.py,'From Date' is required,&quot;Fra dato&quot; er nødvendig
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Assign to Employees,Tildel til ansatte
DocType: Bank Transaction,Reference Number,Referanse Nummer
DocType: Employee,New Workplace,Nye arbeidsplassen
DocType: Retention Bonus,Retention Bonus,Retensjonsbonus
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Material Consumption,Materialforbruk
apps/erpnext/erpnext/crm/doctype/opportunity/opportunity_list.js,Set as Closed,Sett som Stengt
apps/erpnext/erpnext/stock/get_item_details.py,No Item with Barcode {0},Ingen Element med Barcode {0}
DocType: Normal Test Items,Require Result Value,Krever resultatverdi
DocType: Purchase Invoice,Pricing Rules,Prisregler
DocType: Item,Show a slideshow at the top of the page,Vis en lysbildeserie på toppen av siden
DocType: Tax Withholding Rate,Tax Withholding Rate,Skattefradrag
DocType: Pricing Rule,Max Amt,Max Amt
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Boms,Boms
apps/erpnext/erpnext/stock/doctype/item/item.py,Stores,Butikker
DocType: Project Type,Projects Manager,Prosjekter manager
DocType: Serial No,Delivery Time,Leveringstid
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Based On,Aldring Based On
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,Appointment cancelled,Avtale kansellert
DocType: Item,End of Life,Slutten av livet
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Travel,Reise
DocType: Student Report Generation Tool,Include All Assessment Group,Inkluder alle vurderingsgrupper
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,No active or default Salary Structure found for employee {0} for the given dates,Ingen aktive eller standard Lønn Struktur funnet for arbeidstaker {0} for den gitte datoer
DocType: Leave Block List,Allow Users,Gi brukere
DocType: Purchase Order,Customer Mobile No,Kunden Mobile No
DocType: Leave Type,Calculated in days,Beregnet i dager
DocType: Call Log,Received By,Mottatt av
DocType: Cash Flow Mapping Template Details,Cash Flow Mapping Template Details,Kontantstrøm kartlegging detaljer
apps/erpnext/erpnext/config/non_profit.py,Loan Management,Lånestyring
DocType: Cost Center,Track separate Income and Expense for product verticals or divisions.,Spor separat inntekter og kostnader for produkt vertikaler eller divisjoner.
DocType: Rename Tool,Rename Tool,Rename Tool
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.js,Update Cost,Oppdater Cost
DocType: Item Reorder,Item Reorder,Sak Omgjøre
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,GSTR3B-Form,GSTR3B-Form
DocType: Sales Invoice,Mode of Transport,Transportmiddel
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Show Salary Slip,Vis Lønn Slip
apps/erpnext/erpnext/stock/doctype/material_request/material_request.js,Transfer Material,Transfer Material
DocType: Fees,Send Payment Request,Send betalingsforespørsel
DocType: Travel Request,Any other details,Eventuelle andre detaljer
DocType: Water Analysis,Origin,Opprinnelse
apps/erpnext/erpnext/controllers/status_updater.py,This document is over limit by {0} {1} for item {4}. Are you making another {3} against the same {2}?,Dette dokumentet er over grensen av {0} {1} for elementet {4}. Er du gjør en annen {3} mot samme {2}?
apps/erpnext/erpnext/public/js/controllers/transaction.js,Please set recurring after saving,Vennligst sett gjentakende etter lagring
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Select change amount account,Velg endring mengde konto
DocType: Purchase Invoice,Price List Currency,Prisliste Valuta
DocType: Naming Series,User must always select,Brukeren må alltid velge
DocType: Stock Settings,Allow Negative Stock,Tillat Negative Stock
DocType: Installation Note,Installation Note,Installasjon Merk
apps/erpnext/erpnext/stock/report/stock_ageing/stock_ageing.js,Show Warehouse-wise Stock,Vis lagermessig lager
DocType: Soil Texture,Clay,Leire
DocType: Course Topic,Topic,Emne
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Cash Flow from Financing,Kontantstrøm fra finansierings
DocType: Budget Account,Budget Account,budsjett konto
DocType: Quality Inspection,Verified By,Verified by
DocType: Travel Request,Name of Organizer,Navn på arrangør
apps/erpnext/erpnext/setup/doctype/company/company.py,"Cannot change company's default currency, because there are existing transactions. Transactions must be cancelled to change the default currency.","Kan ikke endre selskapets standardvaluta, fordi det er eksisterende transaksjoner. Transaksjoner må avbestilles å endre valgt valuta."
DocType: Cash Flow Mapping,Is Income Tax Liability,Er skatt på inntektsskatt
DocType: Grading Scale Interval,Grade Description,grade Beskrivelse
DocType: Clinical Procedure,Is Invoiced,Er fakturert
apps/erpnext/erpnext/setup/doctype/company/company.js,Create Tax Template,Lag skattemaler
DocType: Stock Entry,Purchase Receipt No,Kvitteringen Nei
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Earnest Money,Earnest Penger
DocType: Sales Invoice, Shipping Bill Number,Fraktregningsnummer
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.js,Create Salary Slip,Lag Lønn Slip
apps/erpnext/erpnext/stock/doctype/item/item_dashboard.py,Traceability,Sporbarhet
