Pension Funds,Lífeyrissjóðir
Procedure,Málsmeðferð
Total Stock Summary,Samtals yfirlit yfir lager
Additional Discount,Viðbótarupplýsingar afsláttur
Patient Name By,Nafn sjúklinga eftir
Rate / UOM,Rate / UOM
Job Offer Terms,Atvinna tilboðsskilmálar
Debit Amount in Account Currency,Gengisupphæð í reikningsvalkosti
{0} must appear only once,{0} verður aðeins að birtast einu sinni
Expense / Difference account ({0}) must be a 'Profit or Loss' account,Kostnaður / mismunur reikningur ({0}) verður að vera &#39;Hagnaður eða tap&#39; reikningur
Row No {0}: Amount cannot be greater than Pending Amount against Expense Claim {1}. Pending Amount is {2},Rauði Nei {0}: Upphæð má ekki vera hærri en Veltur á upphæð gegn kostnaðarkröfu {1}. Veltan er {2}
Earnest Money,Aflaðu peninga
All Supplier scorecards.,Allir Birgir scorecards.
Terms and Conditions Details,Skilmálar og skilyrði Upplýsingar
Get Entries,Fá færslur
Service Item,Þjónustudeild
Customer's Purchase Order,Innkaupapöntun viðskiptavina
Syntax error in formula or condition: {0},Setningafræði í formúlu eða ástandi: {0}
Agriculture User,Landbúnaður Notandi
Please enter Reqd by Date,Vinsamlegast sláðu inn Reqd eftir dagsetningu
Total Monthly Sales,Samtals mánaðarleg sala
Monthly Distribution Percentage,Mánaðarleg dreifingarhlutfall
Reconciliation JSON,Sætt JSON
No Item with Barcode {0},Ekkert lið með strikamerki {0}
Scrapped,Skrúfað
Delivery Trip,Afhendingartími
Application Fee,Umsóknargjald
Sales orders are not available for production,Sölufyrirmæli eru ekki tiltæk til framleiðslu
Attribute,Eigindi
Rename Log,Endurnefna Log
'Based On' and 'Group By' can not be same,&#39;Byggt á&#39; og &#39;Group By&#39; getur ekki verið það sama
Show Ageing Warehouse-wise,Sýna öldrun vöruhús-vitur
Write Off Outstanding Amount,Skrifa burt útistandandi upphæð
Employee Details,Upplýsingar um starfsmenn
Start Time can't be greater than End Time for {0}.,Upphafstími getur ekki verið meiri en lokadagur fyrir {0}.
Discount Amount,Afsláttarmagn
Item Details,Atriði í hlutanum
Duplicate Tax Declaration of {0} for period {1},Afritaskattyfirlýsing um {0} fyrir tímabil {1}
From Delivery Note,Frá afhendingartilkynningu
Holiday,Frí
Line spacing for amount in words,Línubil fyrir upphæð í orðum
Item Group Defaults,Varahópur sjálfgefið
Abbr,Abbr
Warranty Claim against Serial No.,Ábyrgðarkröfur gegn raðnúmeri
Quality,Gæði
{0} is not a stock Item,{0} er ekki birgðir hlutur
Raw Materials Supplied Cost,Hráefni fylgir kostnaði
Permanent Address,Heimilisfang
Booked Fixed Asset,Bókað fast eign
Your tickets,Miða þín
Create Supplier Quotation,Búðu til kaupanda tilvitnun
Inspection Required before Purchase,Skoðun þarf fyrir kaup
Payment Ordered,Greiðsla pantað
"There seems to be an issue with the server's GoCardless configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Það virðist vera vandamál með GoCardless stillingar miðlara. Ekki hafa áhyggjur, ef bilun verður, þá færðu upphæðina endurgreitt á reikninginn þinn."
"Payment Mode is not configured. Please check, whether account has been set on Mode of Payments or on POS Profile.",Greiðslumáti er ekki stillt. Vinsamlegast athugaðu hvort reikningur hefur verið stilltur á Greiðslumáti eða á POS prófíl.
Purchase Orders Items Overdue,Innkaupapantanir Atriði tímabært
Inspection Required,Skoðun krafist
{0} {1} is cancelled so the action cannot be completed,{0} {1} er lokað þannig að aðgerðin er ekki hægt að ljúka
Project Template Task,Verkefni Sniðmát Verkefni
Circular Reference Error,Hringlaga tilvísunar Villa
{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,{0} {1}: &quot;Profit and Loss&quot; tegund reikningur {2} er ekki leyft í opnunarnúmeri
Cross Listing of Item in multiple groups,Krossskráning á hlut í mörgum hópum
Account with existing transaction cannot be converted to ledger,Ekki er hægt að breyta reikningi við núverandi viðskipti í aðalbók
Display Items In Stock,Skoða vörur á lager
Service Level,Þjónustustig
"Other outward supplies(Nil rated,Exempted)","Aðrar útivistar (Nil, án undanþágu)"
TDS Payable Monthly,TDS greiðanleg mánaðarlega
Please select Posting Date before selecting Party,Vinsamlegast veldu Senda dagsetningu áður en þú velur aðila
GST Purchase Register,GST Purchase Register
Automatically Add Taxes and Charges from Item Tax Template,Setja sjálfkrafa skatta og gjöld af vöruskatti
Stock Options,Kaupréttir
Healthcare Schedule Time Slot,Heilsugæsluáætlunartímabil
Tap items to add them here,Pikkaðu á atriði til að bæta þeim við hér
Invoice Portion,Reikningshluti
Tax Category for overriding tax rates.,Skattflokkur fyrir yfirburða skatthlutföll.
Retained Earnings,Óráðstafað eigið fé
Requested Amount,Óskað eftir upphæð
Additional Amount,Viðbótarupphæð
Quiz Configuration,Quiz Configuration
General,Almennt
Annual Expenses,Árlegur kostnaður
Expected End Date can not be less than Expected Start Date,Væntanlegur lokadagur getur ekki verið minni en áætlað upphafsdagur
Disable In Words,Slökkva á orðum
CUST-.YYYY.-,CUST-.YYYY.-
Net pay cannot be negative,Nettó laun geta ekki verið neikvæðar
No of Interactions,Engar milliverkanir
Row {0}# Item {1} cannot be transferred more than {2} against Purchase Order {3},Row {0} # Liður {1} er ekki hægt að flytja meira en {2} gegn innkaupapöntun {3}
Processing Chart of Accounts and Parties,Vinnsla reikningsskila og aðila
Convert Item Description to Clean HTML,Breyta liður Lýsing til að hreinsa HTML
All Supplier Groups,Allir Birgir Hópar
Final Assessment Grades,Endanlegt námsmat
Cannot close task {0} as its dependant task {1} is not closed.,Ekki er hægt að loka verkefni {0} þar sem háð verkefni {1} er ekki lokað.
Promotional Scheme Price Discount,Kynningaráætlun Verð Afsláttur
Installation Note,Uppsetning athugasemd
Application Form Route,Umsóknareyðublað
Planned Operating Cost,Áætlaður rekstrarkostnaður
Colour,Litur
{0} is not in Optional Holiday List,{0} er ekki í valfrjálsum frílista
Show Marks,Sýna merki
Max Benefit Amount (Yearly),Hámarksbætur (Árlega)
Depreciation Row {0}: Next Depreciation Date cannot be before Purchase Date,Afskriftir Róður {0}: Næsta Afskriftir Dagsetning má ekki vera fyrir kaupdegi
Customer Group,Viðskiptavinahópur
Fiscal Year Start Date should be one year earlier than Fiscal Year End Date,Upphafsdagur reikningsárs skal vera einu ári fyrr en reikningsársdagur
BOM Items and Scraps,BOM atriði og einingum
High Sensitivity,Hár næmi
Apply Discount on Rate,Sækja um afslátt á hlutfalli
"Update BOM cost automatically via Scheduler, based on latest valuation rate / price list rate / last purchase rate of raw materials.","Uppfæra BOM kostnað sjálfkrafa með áætlun, byggt á nýjustu verðlagsgengi / verðskrárgengi / síðasta kaupgengi hráefna."
Tally Company,Tally Company
Quiz Question,Quiz Spurning
Task Depends On,Verkefnið fer eftir
Lead Id,Leiða Id
Subscription Plan Detail,Áskriftaráætlun smáatriði
Created {0} scorecards for {1} between: ,Búið til {0} stigakort fyrir {1} á milli:
This Week's Summary,Samantekt þessa vikunnar
Pricing Rule Item Code,Verðlagning Regla Liður
Storage Temperature,Geymslu hiti
Direct Income,Bein tekjur
Amt,Amt
Sales Analytics,Sala Analytics
Total Billable Amount (via Timesheets),Samtals reikningshæft magn (með tímariti)
Domains,Lén
"Not permitted, configure Lab Test Template as required","Ekki heimilt, stilla Lab Test Template eftir þörfum"
Default Unit of Measure,Sjálfgefin mælieining
Distinct unit of an Item,Einstök eining hlutar
Synch Products,Synch Products
Path,Leið
Task ID,Verkefni
Opening (Dr),Opnun (Dr)
% Completed,% Lokið
Commission Rate,Framkvæmdastjórnin
Central Tax,Miðskattur
Total Outstanding Amount,Samtals útistandandi upphæð
Maximum Exemption Amount,Hámarksfjöldi undanþága
Based on price list,Byggt á verðskrá
Additional Cost,Viðbótar kostnaður
Closing Account {0} must be of type Liability / Equity,Loka reikningur {0} verður að vera af tegund skulda / eiginfjár
Setup Company,Uppsetningarfyrirtæki
Check In,Innritun
Customer and Supplier,Viðskiptavinur og birgir
Support Team,Stuðningur Team
Account {0}: You can not assign itself as parent account,Reikningur {0}: Þú getur ekki úthlutað sjálfum sér sem foreldrisreikning
Fixed Asset Item must be a non-stock item.,Fast eignaliður verður að vera hlutur sem ekki er hlutur.
New Batch ID (Optional),Ný lotunúmer (valfrjálst)
Gantt Chart,Gantt Mynd
Max Benefit Amount,Hámarksbætur
{0} on Leave on {1},{0} í leyfi á {1}
Do you really want to restore this scrapped asset?,Viltu virkilega að endurheimta þessa skaftaða eign?
Registration fee can not be Zero,Skráningargjald getur ekki verið núll
Item Tax Template,Atriði Skattur Sniðmát
Auto Created,Sjálfvirkt búið til
Quality Objective,Gæðamarkmið
"The account head under Liability or Equity, in which Profit/Loss will be booked","Reikningsstjóri undir ábyrgð eða eigin fé, þar sem hagnaður / tap verður bókaður"
Credit Amount in Account Currency,Lánsfjárhæð í reikningsvalkosti
Employee Onboarding Activity,Starfsmaður um borð í starfsemi
Parent Service Unit,Foreldraþjónustudeild
Include Payment (POS),Hafa greiðslu (POS)
Private Equity,Einkaeign
Receipt Document,Kvittunarskjal
Supplier Scorecard Period,Birgir Tímabil
Default Salary Structure,Sjálfgefið launauppbygging
Total Gain/Loss,Heildaraukning / tap
Student is already enrolled.,Nemandi er þegar skráður.
Parent Item,Móðurhluti
Brokerage,Miðlari
Please create purchase receipt or purchase invoice for the item {0},Vinsamlegast búðu til kaup kvittun eða kaup reikning fyrir hlutinn {0}
Company Name cannot be Company,Nafn fyrirtækis má ekki vera félag
Breakdown,Brotna niður
B Negative,B neikvæð
Response By,Svar eftir
Credit To,Credit to
Submit this Work Order for further processing.,Sendu inn þessa vinnu til að fá frekari vinnslu.
Bank Guarantee Number,Bankareikningsnúmer
Delivered: {0},Afgreidd: {0}
Under Review,Til athugunar
Agriculture (beta),Landbúnaður (beta)
Average Commission Rate,Meðaltal framkvæmdastjórnarinnar
Customer's Purchase Order Date,Innkaupapöntunardagur viðskiptavina
All Contacts.,Allir tengiliðir.
Used Leaves,Notaðir blöð
The field From Shareholder cannot be blank,Svæðið frá Hluthafi getur ekki verið auður
Brand Defaults,Vörumerki sjálfgefið
Depends on Tasks,Fer eftir verkefnum
Healthcare Settings,Heilbrigðisstofnanir
{0} Student Groups created.,{0} Nemendahópar búin til.
Register,Nýskráning
"This warehouse will be used to create Sale Orders. The fallback warehouse is ""Stores"".",Þetta vörugeymsla verður notað til að búa til sölupantanir. Fallback vörugeymsla er &quot;Stores&quot;.
Oil Change,Olíubreyting
Project User,Project User
Assessment,Mat
Price Discount Slabs,Verð Afsláttarplötum
New Customers,Nýir viðskiptavinir
Total Expense Claim (via Expense Claims),Samtals kostnaður krafa (með kostnað kröfur)
Other Details,Aðrar upplýsingar
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,Get ekki breytt eiginleiki eftir viðskipti með hlutabréf. Gerðu nýtt lið og flytðu birgðir til nýju hlutarins
Employees HTML,Starfsmenn HTML
Stop users from making Leave Applications on following days.,Hættu notendum að gera leyfi umsókna á næstu dögum.
Ignore,Hunsa
Sales Person Target Variance Based On Item Group,Velta einstaklings miða á milli hópa
Current Academic Year,Núverandi námsár
Submit/Reconcile Payments,Sendu inn / afgreiðdu greiðslur
Set Advances and Allocate (FIFO),Setja framfarir og úthluta (FIFO)
Item to be manufactured or repacked,Liður sem á að framleiða eða endurpakkað
New Cart,Ný körfu
MAT-PRE-.YYYY.-,MAT-PRE-.YYYY.-
Please select Sample Retention Warehouse in Stock Settings first,Vinsamlegast veldu sýnishorn varðveisla vörugeymsla í lagerstillingum fyrst
Result Format,Niðurstaða snið
Heads (or groups) against which Accounting Entries are made and balances are maintained.,Höfðingjar (eða hópar) sem eru færðir til reikninga og jafnvægi eru viðhaldið.
Material Request used to make this Stock Entry,Efnisbeiðni notað til að búa til þessa vöru
Link to material requests,Tengill við efnisbeiðnir
Unsecured Loans,Ótryggð lán
Add Customers,Bæta við viðskiptavinum
Default Finished Goods Warehouse,Sjálfgefið lokað vöruhús
Grant Description,Grant Lýsing
"Weight is mentioned,\nPlease mention ""Weight UOM"" too","Þyngd er getið, \ nVeldu einnig &quot;Þyngd UOM&quot;"
{0} {1} is disabled,{0} {1} er óvirk
Contract Period,Samningstími
Please enter Item Code to get Batch Number,Vinsamlegast sláðu inn vörulínu til að fá lotunúmer
Is Working Capital,Er vinnumarkaður
Missing email template for dispatch. Please set one in Delivery Settings.,Vantar email sniðmát til sendingar. Vinsamlegast stilltu einn í Afhendingastillingar.
MAT-PAC-.YYYY.-,MAT-PAC-.YYYY.-
"Scorecard variables can be used, as well as:
{total_score} (the total score from that period),
{period_number} (the number of periods to present day)
","Nota má punktabreytur, svo og: {total_score} (heildarskoran frá því tímabili), {tímabil_númer} (fjöldi tímabila til dagsins í dag)"
Value Or Qty,Gildi eða magn
Please register the SIREN number in the company information file,Vinsamlegast skráðu SIREN númerið í upplýsingaskránni fyrirtækisins
Check this to enable a scheduled Daily synchronization routine via scheduler,Athugaðu þetta til að virkja daglegt daglegt samstillingarferli með tímasetningu
Declarations,Yfirlýsingar
Backflush Raw Materials Based On,Backflush Raw Materials Byggt á
Distance from top edge,Fjarlægð frá efstu brún
Job Description,Starfslýsing
"Can not filter based on Voucher No, if grouped by Voucher","Get ekki síað á grundvelli Voucher Nei, ef flokkað er með Voucher"
Received and Accepted,Móttekið og samþykkt
Negative Valuation Rate is not allowed,Neikvæð verðmat er ekki leyfilegt
"The user that will be used to create Customers, Items and Sales Orders. This user should have the relevant permissions.","Notandinn sem verður notaður til að búa til Viðskiptavinir, Atriði og Sölupantanir. Þessi notandi ætti að hafa viðeigandi heimildir."
Create Purchase Order,Búðu til innkaupapöntun
Define budget for a financial year.,Skilgreina fjárhagsáætlun fyrir fjárhagsár.
Accounts table cannot be blank.,Reikningurartafla má ekki vera auður.
Payment Period Based On Invoice Date,Greiðslutímabil byggt á gjalddaga
Installation date cannot be before delivery date for Item {0},Uppsetningardagur getur ekki verið fyrir afhendingu fyrir lið {0}
Link to Material Request,Tengill við efnisbeiðni
From Company,Frá félaginu
Mapped Data Type,Mapped Data Type
Row {0}: An Reorder entry already exists for this warehouse {1},Row {0}: Reorder færsla er þegar til fyrir þetta vörugeymsla {1}
Doc Date,Skjal dagsetning
Distribution Name,Dreifingarheiti
Group to Non-Group,Hóp til Non-Group
Update in progress. It might take a while.,Uppfærsla í gangi. Það gæti tekið smá stund.
"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.",Dæmi: ABCD. ##### Ef röð er stillt og raðnúmer er ekki nefnt í viðskiptum þá verður sjálfkrafa raðnúmer byggt á þessari röð. Ef þú vilt alltaf að nefna Serial Nos fyrir þetta atriði. yfirgefið þetta autt.
Stock Entry (Outward GIT),Stock innganga (Outward GIT)
Processing Party Addresses,Aðgangsaðferðir viðtakenda
Delivery Note Required,Tilkynning um afhendingarskilyrði
Sales Partner,Söluaðili
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Bókhald færslu frosinn upp til þessa dags, enginn getur gert / breytt færslu nema hlutverki sem tilgreint er hér að neðan."
Fuel Qty,Magn eldsneytis
Guardian1 Mobile No,Guardian1 Mobile No
Disbursed,Útborgað
Net Change in Accounts Payable,Hrein breyting á reikningum sem greiðast
Not Available,Ekki í boði
Part-time,Hluta
Delivery,Afhending
Student Group Creation Tool Course,Námskeiðshópur Sköpunarverkfæri
Allocated amount cannot be greater than unadjusted amount,Úthlutað magn má ekki vera meiri en óstillt magn
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Þriðji söluaðili / söluaðili / umboðsmaður / samstarfsaðili / sölumaður sem selur fyrirtækin vörur fyrir þóknun.
Original Item,Upprunaleg atriði
Series is mandatory,Röð er skylt
Potential opportunities for selling.,Möguleg tækifæri til að selja.
Show PDC in Print,Sýna PDC í prenti
Shopify Supplier,Shopify Birgir
POS Profile User,POS prófíl notandi
Middle Name,Millinafn
Sales Person Name,Söluheiti Nafn
Gross Weight,Heildarþyngd
Bill No,Bill nr
New Location,Nýtt Staðsetning
Project wise Stock Tracking,Verkefnalegt birgðakönnun
HR-VLOG-.YYYY.-,HR-VLOG-.YYYY.-
A+,A +
Service Level Agreement,Þjónustusamningur
Please select Employee and Date first,Vinsamlegast veldu Starfsmaður og Dagsetning fyrst
Item valuation rate is recalculated considering landed cost voucher amount,Eiginfjárhlutfall er endurreiknað miðað við lendingu kostnaðarskírteini
Employee Detail,Starfsmannaupplýsingar
Vouchers,Fylgiskjölum
Guardian Details,Guardian Upplýsingar
eg: frappe.myshopify.com,td: frappe.myshopify.com
"Email Address must be unique, already exists for {0}","Netfang verður að vera einstakt, er þegar til fyrir {0}"
Match Payments with Invoices,Match greiðslur með reikningum
Weekly Off,Vikulega Off
Not allow to set alternative item for the item {0},Ekki leyfa að setja annað atriði fyrir hlutinn {0}
Program {0} does not exist.,Forrit {0} er ekki til.
You cannot edit root node.,Þú getur ekki breytt rótarkóða.
Student Category,Nemandi Flokkur
"Item {0}: {1} qty produced, ","Liður {0}: {1} Magn framleitt,"
Identification Document Type,Auðkenning skjal tegund
Insufficient Stock,Ófullnægjandi lager
Row {0}: Conversion Factor is mandatory,Row {0}: viðskiptaþáttur er skylt
Purchase Receipt Required,Kaup kvittun krafist
BOM Rate,BOM hlutfall
Invalid GSTIN! The check digit validation has failed. ,Ógild GSTIN! Úttektarskírteinið hefur mistekist.
Max working hours against Timesheet,Hámarks vinnutími gagnvart tímariti
Include holidays in Total no. of Working Days,Hafa frí í heildar nr. af vinnudögum
Quality Meeting,Gæði fundur
Consulting,Ráðgjöf
Default Payment Request Message,Sjálfgefin greiðsluskilaboð
GSTIN Email Sent On,GSTIN Email Sent On
Enable Scheduled Synch,Virkja áætlaða samstillingu
Please select Employee,Vinsamlegast veldu Starfsmaður
"If checked, a customer will be created, mapped to Patient.
Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.","Ef athugað verður viðskiptavinur búinn til, kortlagður til sjúklinga. Sjúkratryggingar verða búnar til fyrir þennan viðskiptavin. Þú getur einnig valið núverandi viðskiptavin þegar þú býrð til sjúklinga."
Stock User,Stock User
Service Level Agreement.,Þjónustusamningur.
Date on which this component is applied,Dagsetning sem þessi hluti er beitt
List of available Shareholders with folio numbers,Listi yfir tiltæka hluthafa með folíumnúmerum
Setup Gateway accounts.,Uppsetning Gateway reikninga.
Response Time Period,Svörunartímabil
Purchase Taxes and Charges,Kaupskattar og gjöld
Activity Date,Virkisdagur
Select or add new customer,Veldu eða bæta við nýjum viðskiptavini
Unfulfilled,Ófullnægjandi
Read blog,Lesa bloggið
Project Value,Verkefnisgildi
Expected Time (in hours),Væntanlegur tími (í klukkustundum)
Updating Variants...,Uppfærir afbrigði ...
Show Sales Person in Print,Sýna söluaðila í prenti
Per Year,Hvert ár
Admitted Datetime,Viðurkenndur Datetime
Tax Template is mandatory.,Skattasnið er nauðsynlegt.
Patient,Sjúklingur
Costing Amount,Kostnaðarverð
Add / Edit Prices,Bæta við / breyta verði
Non-GST outward supplies,Non-GST utanaðkomandi vistir
Row {0}: From time must be less than to time,Rú {0}: Frá tíma verður að vera minna en í tíma
User {0} is already assigned to Employee {1},Notandi {0} er þegar úthlutað starfsmanni {1}
Form View,Form Skoða
Auto Repeat Section,Sjálfvirk endurtekin þáttur
Select company name first.,Veldu nafn fyrirtækisins fyrst.
Financial Year,Fjárhagsár
Deferred Revenue,Frestað tekjur
Atleast one of the Selling or Buying must be selected,Að minnsta kosti einn af sölu- eða kaupunum verður að vera valinn
Item-wise Purchase History,Liður-vitur kaupsaga
Cannot change Service Stop Date for item in row {0},Ekki er hægt að breyta þjónustustöðvunardegi fyrir atriði í röð {0}
Include Subcontracted Items,Inniheldur undirverktaka
Max Benefits (Amount),Max Hagur (upphæð)
Hero Section,Hero Section
Where manufacturing operations are carried.,Þar sem framleiðsluaðgerðir eru gerðar.
Dispatch Notification,Sendingarnúmer
Timesheets,Tímarit
Get current stock,Fáðu núverandi birgðir
Expense,Kostnaður
{0} asset cannot be transferred,Ekki er hægt að flytja {0} eignina
Unpaid Expense Claim,Ógreidd kostnaðarkröfu
Family Background,Fjölskyldubakgrunnur
Bonus Payment Date cannot be a past date,Bónus Greiðsludagur getur ekki verið síðasta dagsetning
No {0} found for Inter Company Transactions.,Engin {0} fundust fyrir millifærsluviðskipti.
Party Type,Samningsgerð
Finish,Klára
C-Form Applicable,C-formi gildir
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",Reikningsjöfnuður þegar í skuldfærslu er ekki heimilt að stilla &#39;Balance Must Be&#39; sem &#39;Credit&#39;
Row #{0}: Qty increased by 1,Row # {0}: Magn aukist um 1
Set targets Item Group-wise for this Sales Person.,Setja markmið Markhópur-vitur fyrir þessa söluaðila.
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-
Student Mobile Number,Námsmaður farsímanúmer
Academic Year: ,Námsár:
Please set Naming Series for {0} via Setup &gt; Settings &gt; Naming Series,Vinsamlegast settu Nafngerðaröð fyrir {0} í gegnum Skipulag&gt; Stillingar&gt; Nöfnunarröð
"As per the Buying Settings if Purchase Order Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Order first for item {0}","Eins og á kaupstillingum ef kaupin krafist == &#39;YES&#39; og síðan til að búa til innheimtufé, þarf notandi að búa til kauppöntun fyrst fyrir atriði {0}"
To Value,Að gildi
Please add the account to root level Company - ,Vinsamlegast bættu við reikningnum við rótarnetið Fyrirtæki -
Number of Days in Fiscal Year,Fjöldi daga á reikningsárinu
Total Amount Currency,Samtals upphæð Gjaldmiðill
Allow Same Item Multiple Times,Leyfa sama hlut marga sinnum
Create BOM,Búðu til BOM
Charges,Gjöld
Personal Details,Persónulegar upplýsingar
Billing and Delivery Status,Innheimtu- og afhendingarstaða
Row {0}: For supplier {0} Email Address is required to send email,Róður {0}: Fyrir birgir {0} Netfang er nauðsynlegt til að senda tölvupóst
Cash Flow from Investing,Handbært fé frá fjárfestingu
Approving Role cannot be same as role the rule is Applicable To,Samþykkja Hlutverk getur ekki verið eins og hlutverk reglunnar gildir um
Crop Spacing,Crop Spacing
How often should project and company be updated based on Sales Transactions.,Hversu oft ætti verkefnið og fyrirtækið að uppfæra byggt á söluviðskiptum.
Period Settings,Tímastillingar
Net Change in Accounts Receivable,Nettó Breyting á Viðskiptakröfum
For Quantity must be greater than zero,Fyrir Magn verður að vera meiri en núll
Goal Objectives,Markmið Markmið
"There are inconsistencies between the rate, no of shares and the amount calculated","Það eru ósamræmi á milli gengisins, hlutafjár og fjárhæð reiknuð"
Leave blank if you make students groups per year,Leyfi eftir ef þú gerir nemendur hópa á ári
Loans (Liabilities),Lán (Skuldir)
Send Grant Review Email,Sendu Grant Review Email
GSTR3B-Form,GSTR3B-formi
Produced Qty,Framleitt magn
Journal Entry,Dagbókarfærsla
Purchase Receipt No,Kaup kvittun nr
From Date {0} cannot be before employee's joining Date {1},Frá degi {0} getur ekki verið áður en liðsdagur starfsmanns {1}
Debit Note,Greiðslubréf
Is this Tax included in Basic Rate?,Er þetta skatt innifalið í grunnfjárhæð?
Purchased,Keypt
Rate at which Price list currency is converted to company's base currency,Meta hvaða verðlistagjald er breytt í grunn gjaldmiðli félagsins
View Fees Records,Skoða gjaldskrár
Theory,Kenning
Create Quotation,Búðu til tilvitnun
Row #{0}: Journal Entry {1} does not have account {2} or already matched against another voucher,Row # {0}: Dagbókarfærsla {1} hefur ekki reikning {2} eða þegar verið er að passa við annan voucher
Create a new Customer,Búðu til nýjan viðskiptavin
BOM Website Operation,BOM Website Operation
Invoice/Journal Entry Details,Reikningsupplýsingar / Journal Entry Upplýsingar
Share Balance,Eiginfjárjöfnuður
Period Closing Entry,Lokatímabil
Purchase Price List,Kaupverðskrá
Party User,Party notandi
Restaurant Order Entry,Veitingahús Order Entry
"Serialized Item {0} cannot be updated using Stock Reconciliation, please use Stock Entry","Serialized Item {0} er ekki hægt að uppfæra með Stock Sátt, vinsamlegast notaðu Stock Entry"
Time Slots,Tími rifa
Select at least one value from each of the attributes.,Veldu að minnsta kosti eitt gildi af hverju eiginleiki.
Bank Draft,Banka drög
Send regular summary reports via Email.,Sendu reglulegar samantektarskýrslur í tölvupósti.
Step,Skref
Result Value,Niðurstaða gildi
Is Income Tax Liability,Er tekjuskattsskuldbinding
Inpatient Visit Charge Item,Göngudeild í sjúkrahúsum
{0} {1} does not exist.,{0} {1} er ekki til.
Update Response,Uppfæra svar
Supplier,Birgir
Enter value betweeen {0} and {1},Sláðu inn gildi betweeen {0} og {1}
Order Confirmation Date,Panta staðfestingardagur
Calculate Estimated Arrival Times,Reikna áætlaðan komutíma
Consumable,Neysluverðs
EDU-INS-.YYYY.-,EDU-INS-.YYYY.-
Subscription Start Date,Upphafsdagsetning
Woocommerce Server URL,Vefslóðir Woocommerce Server
Number Of Employees,Fjöldi starfsmanna
{0} field is limited to size {1},{0} reitinn er takmörkuð við stærð {1}
This {0} conflicts with {1} for {2} {3},Þetta {0} átök við {1} fyrir {2} {3}
Value Proposition,Verðmæti framsetning
Contact Email,Hafðu tölvupóst
Cannot set authorization on basis of Discount for {0},Ekki er hægt að stilla heimild á grundvelli afsláttar fyrir {0}
Work From Home,Vinna heiman
Row {0}: From Time and To Time is mandatory.,Rú {0}: Frá tíma og tíma er skylt.
Supplier Id,Birgir Id
Invoice can't be made for zero billing hour,Reikningur er ekki hægt að gera í núll reikningstíma
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Leyfi er ekki hægt að úthluta fyrir {0}, þar sem skilaröð hefur þegar verið framseldur í framtíðarsamningi um úthlutun launa {1}"
Last Order Date,Síðasta pöntunardagsetning
Course: ,Námskeið:
Dispatch,Sending
Installation Note Item,Uppsetning Athugaðu Item
Journal Entry Account,Journal Entry Account
Variant,Variant
Forum Activity,Forum Activity
Resolution Time Period,Upplausnartími
Supplier Detail,Upplýsingar um birgir
View Task,Skoða verkefni
Purchase / Manufacture Details,Kaup / Framleiðsla Upplýsingar
Book Asset Depreciation Entry Automatically,Bókfært eignaaukning sjálfkrafa
Operation completed for how many finished goods?,Rekstur lokið fyrir hve mörg fullbúin vörur?
Employee name and designation in print,Starfsmaður nafn og heiti í prenti
Is Day Book Data Processed,Er dagbókargagna unnið
Courses,Námskeið
Update stock must be enable for the purchase invoice {0},Uppfæra hlutabréfa verður að vera virk fyrir kaupreikninginn {0}
Employee Boarding Activity,Starfsmannaþjónusta
Warehouse {0} does not belong to company {1},Vörugeymsla {0} tilheyrir ekki fyrirtæki {1}
"If disable, 'In Words' field will not be visible in any transaction","Ef slökkt er á, mun &#39;In Words&#39; reitinn ekki sjást í neinum viðskiptum"
Allocated,Úthlutað
Time to send,Tími til að senda
Bloated,Uppblásið
Order Type,Order Type
Period Start Date,Tímabil Upphafsdagur
Generate Schedule,Búðu til dagskrá
Opening Value,Opnunargildi
Additional Salary,Viðbótarupplýsingar Laun
Repayment Method,Endurgreiðsluaðferð
Cost of various activities,Kostnaður við ýmis verkefni
Mins to First Response,Minnir á fyrsta svarið
Patient Age,Sjúklingur Aldur
Investigations,Rannsóknir
Office Equipments,Skrifstofa útbúnaður
"LocalStorage is full , did not save","LocalStorage er fullt, ekki vistað"
Items for Raw Material Request,Atriði fyrir Raw Materials Request
Select Item (optional),Veldu hlut (valfrjálst)
Parent Item {0} must not be a Stock Item,Móðurhluti {0} má ekki vera hlutabréf
Against Stock Entry,Gegn hlutabréfum
Fetch exploded BOM (including sub-assemblies),Hentu sprakk BOM (þ.mt undirþættir)
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-
Loan Application,Lán umsókn
For Job Card,Fyrir starfskort
Process Master Data,Gera úr vinnslu gagna
Is Account Payable,Er reikningur greiðanlegur
