DocType: Accounting Period,Period Name,Numele perioadei
DocType: Homepage,Homepage,Pagina Principală
DocType: Grant Application,Grant Application Details ,Detalii privind cererile de finanțare
DocType: Employee Separation,Employee Separation,Separarea angajaților
DocType: BOM Item,Original Item,Articolul original
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Date,Data Documentelor
apps/erpnext/erpnext/education/doctype/program_enrollment/program_enrollment.py,Fee Records Created - {0},Taxa de inregistrare Creat - {0}
DocType: Asset Category Account,Asset Category Account,Cont activ Categorie
apps/erpnext/erpnext/controllers/item_variant.py,The value {0} is already assigned to an exisiting Item {2}.,Valoarea {0} este deja atribuită unui articol de ieșire {2}.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Row #{0} (Payment Table): Amount must be positive,Rândul # {0} (tabelul de plată): Suma trebuie să fie pozitivă
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Cannot produce more Item {0} than Sales Order quantity {1},Nu se pot produce mai multe Articole {0} decât cantitatea din Ordinul de Vânzări {1}
apps/erpnext/erpnext/accounts/report/gross_and_net_profit_report/gross_and_net_profit_report.py,Nothing is included in gross,Nimic nu este inclus în brut
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill already exists for this document,e-Way Bill există deja pentru acest document
apps/erpnext/erpnext/stock/doctype/item/item.js,Select Attribute Values,Selectați valorile atributelor
DocType: Purchase Invoice,Reason For Issuing document,Motivul pentru documentul de emitere
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Stock Entry {0} is not submitted,Stock intrare {0} nu este prezentat
DocType: Payment Reconciliation,Bank / Cash Account,Cont bancă / numerar
DocType: Bank Transaction,ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-
apps/erpnext/erpnext/crm/doctype/lead/lead.py,Next Contact By cannot be same as the Lead Email Address,Următoarea Contact Prin faptul că nu poate fi aceeași cu adresa de e-mail Plumb
DocType: Tax Rule,Billing City,Oraș de facturare
apps/erpnext/erpnext/regional/italy/setup.py,Applicable if the company is an Individual or a Proprietorship,Se aplică dacă compania este o persoană fizică sau o proprietate
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,Log Type is required for check-ins falling in the shift: {0}.,Tipul de jurnal este necesar pentru check-in-urile care intră în schimb: {0}.
DocType: Asset,Manual,Manual
DocType: Tally Migration,Is Master Data Processed,Sunt prelucrate datele master
DocType: Salary Component Account,Salary Component Account,Contul de salariu Componentă
DocType: Global Defaults,Hide Currency Symbol,Ascunde simbol moneda
apps/erpnext/erpnext/config/non_profit.py,Donor information.,Informații despre donator.
apps/erpnext/erpnext/config/accounting.py,"e.g. Bank, Cash, Credit Card","de exemplu, bancar, Cash, Card de credit"
DocType: Vital Signs,"Normal resting blood pressure in an adult is approximately 120 mmHg systolic, and 80 mmHg diastolic, abbreviated ""120/80 mmHg""","Tensiunea arterială normală de repaus la un adult este de aproximativ 120 mmHg sistolică și 80 mmHg diastolică, abreviată &quot;120/80 mmHg&quot;"
DocType: Journal Entry,Credit Note,Nota de Credit
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,Finished Good Item Code,Cod articol bun finalizat
apps/erpnext/erpnext/config/desktop.py,Quality,Calitate
DocType: Projects Settings,Ignore Employee Time Overlap,Ignorați suprapunerea timpului angajatului
DocType: Warranty Claim,Service Address,Adresa serviciu
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.js,Import Master Data,Importați datele de bază
DocType: Asset Maintenance Task,Calibration,Calibrare
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} is a company holiday,{0} este o sărbătoare a companiei
apps/erpnext/erpnext/projects/report/billing_summary.py,Billable Hours,Ore Billable
apps/erpnext/erpnext/patches/v11_0/add_default_email_template_for_leave.py,Leave Status Notification,Lăsați notificarea de stare
DocType: Patient Appointment,Procedure Prescription,Procedura de prescriere
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Furnitures and Fixtures,Furnitures și Programe
DocType: Travel Request,Travel Type,Tip de călătorie
DocType: Purchase Invoice Item,Manufacture,Fabricare
DocType: Blanket Order,MFG-BLR-.YYYY.-,MFG-BLR-.YYYY.-
apps/erpnext/erpnext/utilities/user_progress.py,Setup Company,Configurare Companie
,Lab Test Report,Raport de testare în laborator
DocType: Employee Benefit Application,Employee Benefit Application,Aplicația pentru beneficiile angajaților
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.py,Row({0}): {1} is already discounted in {2},Rândul ({0}): {1} este deja actualizat în {2}
apps/erpnext/erpnext/hr/doctype/additional_salary/additional_salary.py,Additional Salary Component Exists.,Există o componentă suplimentară a salariului.
DocType: Purchase Invoice,Unregistered,neînregistrat
DocType: Student Applicant,Application Date,Data aplicării
DocType: Salary Component,Amount based on formula,Suma bazată pe formula generală
DocType: Purchase Invoice,Currency and Price List,Valută și lista de prețuri
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Create Maintenance Visit,Creați vizită de întreținere
DocType: Opportunity,Customer / Lead Name,Client / Nume Principal
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py,Clearance Date not mentioned,Data Aprobare nespecificata
DocType: Payroll Period,Taxable Salary Slabs,Taxe salariale
apps/erpnext/erpnext/config/manufacturing.py,Production,Producţie
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! The input you've entered doesn't match the format of GSTIN.,GSTIN nevalid! Intrarea introdusă nu corespunde formatului GSTIN.
DocType: Guardian,Occupation,Ocupaţie
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,For Quantity must be less than quantity {0},Cantitatea trebuie să fie mai mică decât cantitatea {0}
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Row {0}:Start Date must be before End Date,Rând {0}: Data începerii trebuie să fie înainte de Data de încheiere
DocType: Salary Component,Max Benefit Amount (Yearly),Sumă maximă pentru beneficiu (anual)
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,TDS Rate %,Rata TDS%
DocType: Crop,Planting Area,Zona de plantare
apps/erpnext/erpnext/controllers/trends.py,Total(Qty),Total (Cantitate)
DocType: Installation Note Item,Installed Qty,Instalat Cantitate
apps/erpnext/erpnext/utilities/user_progress.py,You added ,Ați adăugat
,Product Bundle Balance,Soldul pachetului de produse
DocType: Purchase Taxes and Charges,Parenttype,ParentType
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Central Tax,Impozitul central
apps/erpnext/erpnext/hr/doctype/training_event/training_event.js,Training Result,Rezultatul de formare
DocType: Purchase Invoice,Is Paid,Este platit
DocType: Salary Structure,Total Earning,Câștigul salarial total de
DocType: Purchase Receipt,Time at which materials were received,Timp în care s-au primit materiale
DocType: Products Settings,Products per Page,Produse pe Pagină
DocType: Stock Ledger Entry,Outgoing Rate,Rata de ieșire
apps/erpnext/erpnext/controllers/accounts_controller.py, or ,sau
apps/erpnext/erpnext/public/js/purchase_trends_filters.js,Billing Date,Data de facturare
apps/erpnext/erpnext/accounts/utils.py,Allocated amount cannot be negative,Suma alocată nu poate fi negativă
DocType: Sales Order,Billing Status,Stare facturare
apps/erpnext/erpnext/public/js/conf.js,Report an Issue,Raportați o problemă
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","Dacă {0} {1} cantități de articol <b>{2}</b> , schema <b>{3} se</b> va aplica pe articol."
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Utility Expenses,Cheltuieli de utilitate
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,90-Above,90-si mai mult
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Row #{0}: Journal Entry {1} does not have account {2} or already matched against another voucher,Rând # {0}: Jurnal de intrare {1} nu are cont {2} sau deja compensată împotriva unui alt voucher
DocType: Supplier Scorecard Criteria,Criteria Weight,Criterii Greutate
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Account: {0} is not permitted under Payment Entry,Cont: {0} nu este permis în baza intrării de plată
DocType: Production Plan,Ignore Existing Projected Quantity,Ignorați cantitatea proiectată existentă
apps/erpnext/erpnext/patches/v11_0/add_default_email_template_for_leave.py,Leave Approval Notification,Lăsați notificarea de aprobare
DocType: Buying Settings,Default Buying Price List,Lista de POrețuri de Cumparare Implicita
DocType: Payroll Entry,Salary Slip Based on Timesheet,Bazat pe salariu Slip Pontaj
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Buying Rate,Rata de cumparare
apps/erpnext/erpnext/controllers/buying_controller.py,Row {0}: Enter location for the asset item {1},Rând {0}: introduceți locația pentru elementul de activ {1}
DocType: Employee Checkin,Attendance Marked,Prezentare marcată
DocType: Request for Quotation,PUR-RFQ-.YYYY.-,PUR-RFQ-.YYYY.-
apps/erpnext/erpnext/public/js/hub/pages/Seller.vue,About the Company,Despre Companie
apps/erpnext/erpnext/config/settings.py,"Set Default Values like Company, Currency, Current Fiscal Year, etc.","Seta valorile implicite, cum ar fi Compania, valutar, Current Anul fiscal, etc"
DocType: Payment Entry,Payment Type,Tip de plată
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Please select a Batch for Item {0}. Unable to find a single batch that fulfills this requirement,Selectați un lot pentru articolul {0}. Nu se poate găsi un singur lot care să îndeplinească această cerință
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Please select a Batch for Item {0}. Unable to find a single batch that fulfills this requirement,Selectați un lot pentru articolul {0}. Nu se poate găsi un singur lot care să îndeplinească această cerință
DocType: Asset Maintenance Log,ACC-AML-.YYYY.-,ACC-CSB-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,No gain or loss in the exchange rate,Nu există cheltuieli sau venituri din diferente ale cursului de schimb
DocType: Leave Control Panel,Select Employees,Selectați angajati
DocType: Shopify Settings,Sales Invoice Series,Seria de facturi de vânzări
DocType: Bank Reconciliation,To Date,La Data
DocType: Opportunity,Potential Sales Deal,Oferta potențiale Vânzări
DocType: Complaint,Complaints,Reclamații
DocType: Employee Tax Exemption Declaration,Employee Tax Exemption Declaration,Declarația de scutire fiscală a angajaților
DocType: Payment Entry,Cheque/Reference Date,Cec/Dată de Referință
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,No Items with Bill of Materials.,Nu există articole cu Bill of Materials.
apps/erpnext/erpnext/portal/doctype/homepage/homepage.js,Customize Homepage Sections,Personalizați secțiunile homepage
DocType: Purchase Invoice,Total Taxes and Charges,Total Impozite și Taxe
DocType: Payment Entry,Company Bank Account,Cont bancar al companiei
DocType: Employee,Emergency Contact,Contact de Urgență
DocType: Bank Reconciliation Detail,Payment Entry,Intrare plăţi
,sales-browser,vânzări browser
apps/erpnext/erpnext/accounts/doctype/account/account.js,Ledger,Registru Contabil
DocType: Drug Prescription,Drug Code,Codul drogurilor
DocType: Target Detail,Target  Amount,Suma țintă
apps/erpnext/erpnext/education/utils.py,Quiz {0} does not exist,Chestionarul {0} nu există
DocType: POS Profile,Print Format for Online,Imprimare pentru online
DocType: Shopping Cart Settings,Shopping Cart Settings,Setări Cosul de cumparaturi
DocType: Journal Entry,Accounting Entries,Înregistrări contabile
DocType: Job Card Time Log,Job Card Time Log,Jurnalul de timp al cărții de lucru
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"If selected Pricing Rule is made for 'Rate', it will overwrite Price List. Pricing Rule rate is the final rate, so no further discount should be applied. Hence, in transactions like Sales Order, Purchase Order etc, it will be fetched in 'Rate' field, rather than 'Price List Rate' field.","Dacă regula de preț este selectată pentru &quot;Rate&quot;, va suprascrie lista de prețuri. Tarifarea tarifului Rata de rată este rata finală, deci nu trebuie să aplicați nici o reducere suplimentară. Prin urmare, în tranzacții cum ar fi Comandă de Vânzare, Comandă de Achiziție etc, va fi extrasă în câmpul &quot;Rată&quot;, mai degrabă decât în câmpul &quot;Rata Prețurilor&quot;."
DocType: Journal Entry,Paid Loan,Imprumut platit
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Duplicate Entry. Please check Authorization Rule {0},Inregistrare Duplicat. Vă rugăm să verificați Regula de Autorizare {0}
DocType: Journal Entry Account,Reference Due Date,Data de referință pentru referință
DocType: Purchase Order,Ref SQ,Ref SQ
DocType: Issue,Resolution By,Rezolvare de
DocType: Leave Type,Applicable After (Working Days),Aplicabil după (zile lucrătoare)
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Receipt document must be submitted,Document primire trebuie să fie depuse
DocType: Purchase Invoice Item,Received Qty,Cantitate primita
DocType: Stock Entry Detail,Serial No / Batch,Serial No / lot
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Not Paid and Not Delivered,Nu sunt plătite și nu sunt livrate
DocType: Product Bundle,Parent Item,Părinte Articol
DocType: Account,Account Type,Tipul Contului
DocType: Shopify Settings,Webhooks Details,Detaliile Webhooks
apps/erpnext/erpnext/templates/pages/projects.html,No time sheets,Nu există nicio foaie de timp
DocType: GoCardless Mandate,GoCardless Customer,Clientul GoCardless
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Leave Type {0} cannot be carry-forwarded,Lasă Tipul {0} nu poate fi transporta-transmise
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Maintenance Schedule is not generated for all the items. Please click on 'Generate Schedule',Programul de Mentenanta nu este generat pentru toate articolele. Vă rugăm să faceți clic pe 'Generare Program'
,To Produce,Pentru a produce
DocType: Leave Encashment,Payroll,stat de plată
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,"For row {0} in {1}. To include {2} in Item rate, rows {3} must also be included","Pentru rândul {0} în {1}. Pentru a include {2} ratei punctul, randuri {3} De asemenea, trebuie să fie incluse"
DocType: Healthcare Service Unit,Parent Service Unit,Serviciul pentru părinți
DocType: Packing Slip,Identification of the package for the delivery (for print),Identificarea pachetului pentru livrare (pentru imprimare)
apps/erpnext/erpnext/support/doctype/issue/issue.js,Service Level Agreement was reset.,Acordul privind nivelul serviciilor a fost resetat.
DocType: Bin,Reserved Quantity,Cantitate rezervata
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html,Please enter valid email address,Introduceți adresa de e-mail validă
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html,Please enter valid email address,Introduceți adresa de e-mail validă
DocType: Volunteer Skill,Volunteer Skill,Abilități de voluntariat
DocType: Bank Reconciliation,Include POS Transactions,Includeți tranzacțiile POS
DocType: Quality Action,Corrective/Preventive,Corectivă / preventivă
DocType: Purchase Invoice,Inter Company Invoice Reference,Interfața de referință pentru interfața companiei
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Please select an item in the cart,Selectați un element din coș
DocType: Landed Cost Voucher,Purchase Receipt Items,Primirea de cumpărare Articole
apps/erpnext/erpnext/regional/italy/utils.py,Please set Tax ID for the customer '%s',Vă rugăm să setați codul fiscal pentru clientul „% s”
apps/erpnext/erpnext/config/help.py,Customizing Forms,Personalizare Formulare
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Arrear,restanță
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Depreciation Amount during the period,Suma de amortizare în timpul perioadei
DocType: Sales Invoice,Is Return (Credit Note),Este retur (nota de credit)
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.js,Start Job,Începeți lucrul
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Serial no is required for the asset {0},Numărul de serie nu este necesar pentru elementul {0}
DocType: Leave Control Panel,Allocate Leaves,Alocați frunzele
apps/erpnext/erpnext/accounts/doctype/sales_taxes_and_charges_template/sales_taxes_and_charges_template.py,Disabled template must not be default template,șablon cu handicap nu trebuie să fie șablon implicit
DocType: Pricing Rule,Price or Product Discount,Preț sau reducere produs
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,For row {0}: Enter planned qty,Pentru rândul {0}: Introduceți cantitatea planificată
DocType: Account,Income Account,Contul de venit
DocType: Payment Request,Amount in customer's currency,Suma în moneda clientului
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Delivery,Livrare
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Assigning Structures...,Alocarea structurilor ...
DocType: Stock Reconciliation Item,Current Qty,Cantitate curentă
DocType: Restaurant Menu,Restaurant Menu,Meniu Restaurant
apps/erpnext/erpnext/public/js/event.js,Add Suppliers,Adăugă Furnizori
DocType: Sales Invoice,ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-
DocType: Loyalty Program,Help Section,Secțiunea Ajutor
apps/erpnext/erpnext/www/all-products/index.html,Prev,Anterior
DocType: Appraisal Goal,Key Responsibility Area,Domeni de Responsabilitate Cheie
DocType: Delivery Trip,Distance UOM,Distanță UOM
apps/erpnext/erpnext/utilities/activation.py,"Student Batches help you track attendance, assessments and fees for students","Student Sarjele ajută să urmăriți prezență, evaluările și taxele pentru studenți"
DocType: Payment Entry,Total Allocated Amount,Suma totală alocată
apps/erpnext/erpnext/setup/doctype/company/company.py,Set default inventory account for perpetual inventory,Setați contul inventarului implicit pentru inventarul perpetuu
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Cannot deliver Serial No {0} of item {1} as it is reserved to \
												fullfill Sales Order {2}",Nu se poate livra numărul de serie {0} al elementului {1} deoarece este rezervat pentru \ fullfill Order Order {2}
DocType: Material Request Plan Item,Material Request Type,Material Cerere tip
apps/erpnext/erpnext/non_profit/doctype/grant_application/grant_application.js,Send Grant Review Email,Trimiteți e-mailul de examinare a granturilor
apps/erpnext/erpnext/accounts/page/pos/pos.js,"LocalStorage is full, did not save","LocalStorage este plin, nu a salvat"
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row {0}: UOM Conversion Factor is mandatory,Row {0}: Factorul de conversie UOM este obligatorie
DocType: Employee Benefit Claim,Claim Date,Data revendicării
apps/erpnext/erpnext/utilities/user_progress.py,Room Capacity,Capacitate Cameră
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field Asset Account cannot be blank,Câmpul Contul de active nu poate fi gol
apps/erpnext/erpnext/stock/doctype/item_alternative/item_alternative.py,Already record exists for the item {0},Încă există înregistrare pentru articolul {0}
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Ref,Re
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,You will lose records of previously generated invoices. Are you sure you want to restart this subscription?,Veți pierde înregistrări ale facturilor generate anterior. Sigur doriți să reporniți acest abonament?
DocType: Lab Test,LP-,LP-
DocType: Healthcare Settings,Registration Fee,Taxă de Înregistrare
DocType: Loyalty Program Collection,Loyalty Program Collection,Colecția de programe de loialitate
DocType: Stock Entry Detail,Subcontracted Item,Subcontractat element
apps/erpnext/erpnext/education/__init__.py,Student {0} does not belong to group {1},Studentul {0} nu aparține grupului {1}
DocType: Budget,Cost Center,Centrul de cost
apps/erpnext/erpnext/stock/report/stock_ledger/stock_ledger.py,Voucher #,Voucher #
DocType: Tax Rule,Shipping Country,Transport Tara
DocType: Selling Settings,Hide Customer's Tax Id from Sales Transactions,Ascunde Id-ul fiscal al Clientului din tranzacțiile de vânzare
DocType: Upload Attendance,Upload HTML,Încărcați HTML
DocType: Employee,Relieving Date,Alinarea Data
DocType: Purchase Invoice,Total Quantity,Cantitatea totala
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"Pricing Rule is made to overwrite Price List / define discount percentage, based on some criteria.","Regula de stabilire a prețurilor se face pentru a suprascrie Pret / defini procent de reducere, pe baza unor criterii."
apps/erpnext/erpnext/support/doctype/issue/issue.py,Service Level Agreement has been changed to {0}.,Acordul privind nivelul serviciilor a fost modificat în {0}.
DocType: Serial No,Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,Depozit poate fi modificat numai prin Bursa de primire de intrare / livrare Nota / cumparare
DocType: Employee Education,Class / Percentage,Clasă / Procent
DocType: Shopify Settings,Shopify Settings,Rafinați setările
DocType: Amazon MWS Settings,Market Place ID,ID-ul pieței
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Head of Marketing and Sales,Director de Marketing și Vânzări
DocType: Video,Vimeo,Vimeo
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Income Tax,Impozit pe venit
DocType: HR Settings,Check Vacancies On Job Offer Creation,Verificați posturile vacante pentru crearea ofertei de locuri de muncă
apps/erpnext/erpnext/utilities/user_progress.py,Go to Letterheads,Mergeți la Letterheads
DocType: Subscription,Cancel At End Of Period,Anulați la sfârșitul perioadei
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Property already added,Proprietățile deja adăugate
DocType: Item Supplier,Item Supplier,Furnizor Articol
apps/erpnext/erpnext/public/js/controllers/transaction.js,Please enter Item Code to get batch no,Va rugam sa introduceti codul articol pentru a obține lot nu
apps/erpnext/erpnext/public/js/utils.js,Loyalty Points: {0},Puncte de fidelitate: {0}
apps/erpnext/erpnext/selling/doctype/quotation/quotation.js,Please select a value for {0} quotation_to {1},Vă rugăm să selectați o valoare de {0} {1} quotation_to
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,No Items selected for transfer,Nu există elemente selectate pentru transfer
apps/erpnext/erpnext/config/buying.py,All Addresses.,Toate adresele.
DocType: Company,Stock Settings,Setări stoc
apps/erpnext/erpnext/accounts/doctype/account/account.py,"Merging is only possible if following properties are same in both records. Is Group, Root Type, Company","Fuziune este posibilă numai în cazul în care următoarele proprietăți sunt aceleași în ambele registre. Este Group, Root Type, Company"
DocType: Vehicle,Electric,Electric
DocType: Task,% Progress,% Progres
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Gain/Loss on Asset Disposal,Câștigul / Pierdere de eliminare a activelor
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.js,"Only the Student Applicant with the status ""Approved"" will be selected in the table below.",În tabelul de mai jos va fi selectat numai Solicitantul studenților cu statutul &quot;Aprobat&quot;.
DocType: Tax Withholding Category,Rates,Tarife
apps/erpnext/erpnext/regional/report/fichier_des_ecritures_comptables_[fec]/fichier_des_ecritures_comptables_[fec].py,Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Numărul contului pentru contul {0} nu este disponibil. <br> Vă rugăm să configurați corect planul de conturi.
DocType: Task,Depends on Tasks,Depinde de Sarcini
apps/erpnext/erpnext/config/crm.py,Manage Customer Group Tree.,Gestioneaza Ramificatiile de Group a Clientului.
DocType: Normal Test Items,Result Value,Valoare Rezultat
DocType: Hotel Room,Hotels,Hoteluri
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,New Cost Center Name,Numele noului centru de cost
DocType: Leave Control Panel,Leave Control Panel,Panou de Control Concediu
DocType: Project,Task Completion,sarcina Finalizarea
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,Not in Stock,Nu este în stoc
DocType: Volunteer,Volunteer Skills,Abilități de voluntariat
DocType: Additional Salary,HR User,Utilizator HR
DocType: Bank Guarantee,Reference Document Name,Numele documentului de referință
DocType: Purchase Invoice,Taxes and Charges Deducted,Impozite și Taxe dedus
DocType: Support Settings,Issues,Probleme
DocType: Loyalty Program,Loyalty Program Name,Nume program de loialitate
apps/erpnext/erpnext/controllers/status_updater.py,Status must be one of {0},Statusul trebuie să fie unul din {0}
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Reminder to update GSTIN Sent,Memento pentru actualizarea mesajului GSTIN Trimis
DocType: Discounted Invoice,Debit To,Debit Pentru
DocType: Restaurant Menu Item,Restaurant Menu Item,Articol Meniu Restaurant
DocType: Delivery Note,Required only for sample item.,Necesar numai pentru articolul de probă.
DocType: Stock Ledger Entry,Actual Qty After Transaction,Cant. efectivă după tranzacție
,Pending SO Items For Purchase Request,Până la SO articole pentru cerere de oferta
apps/erpnext/erpnext/education/doctype/student_admission/student_admission.py,Student Admissions,Admitere Student
DocType: Supplier,Billing Currency,Moneda de facturare
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Extra Large,Extra mare
DocType: Loan,Loan Application,Cerere de împrumut
DocType: Crop,Scientific Name,Nume stiintific
DocType: Healthcare Service Unit,Service Unit Type,Tip de unitate de service
DocType: Bank Account,Branch Code,Codul filialei
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Leaves,Frunze totale
DocType: Customer,"Reselect, if the chosen contact is edited after save",Resetați dacă contactul ales este editat după salvare
DocType: Quality Procedure,Parent Procedure,Procedura părinților
DocType: Patient Encounter,In print,În imprimare
DocType: Accounting Dimension,Accounting Dimension,Dimensiunea contabilității
,Profit and Loss Statement,Profit și pierdere
DocType: Bank Reconciliation Detail,Cheque Number,Număr Cec
apps/erpnext/erpnext/healthcare/utils.py,The item referenced by {0} - {1} is already invoiced,Elementul menționat de {0} - {1} este deja facturat
,Sales Browser,Browser de vanzare
DocType: Journal Entry,Total Credit,Total credit
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Warning: Another {0} # {1} exists against stock entry {2},Atenție: Un alt {0} # {1} există împotriva intrării stoc {2}
apps/erpnext/erpnext/utilities/user_progress_utils.py,Local,Local
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans and Advances (Assets),Împrumuturi și Avansuri (Active)
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Debtors,Debitori
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Large,Mare
DocType: Bank Statement Settings,Bank Statement Settings,Setările declarației bancare
DocType: Shopify Settings,Customer Settings,Setările clientului
DocType: Homepage Featured Product,Homepage Featured Product,Pagina de intrare de produse recomandate
apps/erpnext/erpnext/manufacturing/doctype/blanket_order/blanket_order.js,View Orders,Afișați comenzi
DocType: Marketplace Settings,Marketplace URL (to hide and update label),Adresa URL de pe piață (pentru ascunderea și actualizarea etichetei)
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,All Assessment Groups,Toate grupurile de evaluare
apps/erpnext/erpnext/regional/india/utils.py,{} is required to generate e-Way Bill JSON,{} este necesar pentru a genera Bill JSON e-Way
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse_tree.js,New Warehouse Name,Nume nou depozit
DocType: Shopify Settings,App Type,Tipul aplicației
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,Total {0} ({1}),Total {0} ({1})
DocType: C-Form Invoice Detail,Territory,Teritoriu
DocType: Pricing Rule,Apply Rule On Item Code,Aplicați regula pe codul articolului
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please mention no of visits required,Vă rugăm să menționați nici de vizite necesare
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Stock Balance Report,Raportul soldului stocurilor
DocType: Stock Settings,Default Valuation Method,Metoda de Evaluare Implicită
apps/erpnext/erpnext/education/doctype/program/program_dashboard.py,Fee,taxă
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.js,Show Cumulative Amount,Afișați suma cumulată
