Pension Funds,Emeklilik fonları
Student Fee Collection,Öğrenci Ücreti Tahsilatı
Sales Order Required,Satış Siparişi Gerekli
Serial No / Batch,Seri no / toplu
Statement of Account,Hesap bildirimi
Offer Term,Teklif Süresi
Account {0} does not belong to company: {1},{0} hesabı şirkete ait değil: {1}
Tally Migration,Tally Göç
"Purchase, Replenishment Details","Satın Alma, Yenileme Detayları"
"Once set, this invoice will be on hold till the set date","Ayarlandığında, bu fatura belirlenen tarihe kadar bekletilecektir"
Stock cannot exist for Item {0} since has variants,Değişkenleri olduğundan {0} öğesi için hisse senedi mevcut değil
Grouped,gruplanmış
January,Ocak
Course Assessment Criteria,Ders Değerlendirme Kriterleri
INR,INR
Completed Qty,Tamamlanan Adet
Start Day,Güne Başla
GoCardless payment gateway settings,GoCardless ödeme ağ geçidi ayarları
Depreciation Expense Account,Amortisman Gider Hesabı
Production Plan Sales Order,Üretim Planı Satış Siparişi
Finished product quantity <b>{0}</b> and For Quantity <b>{1}</b> cannot be different,<b>{0}</b> ve <b>{1}</b> Miktarı için bitmiş ürün miktarı farklı olamaz
View Lab Tests,Laboratuvar Testlerini Görüntüle
Instructor,Eğitmen
Show Public Attachments,Genel Ekleri Göster
Fields will be copied over only at time of creation.,Alanlar yalnızca oluşturma sırasında kopyalanacaktır.
Vehicle No,Araç No
CRM-LEAD-.YYYY.-,CRM-KURŞUN-.YYYY.-
Payment Entry is already created,Ödeme Girişi zaten oluşturuldu
Multiple Variants,Çoklu değişken
Please select a csv file,Lütfen bir csv dosyası seçin
Serial No Details,Seri Ayrıntı Yok
Source and Target Location cannot be same,Kaynak ve Hedef Konum aynı olamaz
Show Employee,Çalışanı Göster
Writeoff,Silmek
ISS-.YYYY.-,ISS-.YYYY.-
Payment Request,Ödeme talebi
Selected Price List should have buying and selling fields checked.,"Seçilen Fiyat Listesi, tarlaların alım satımını kontrol etmelidir."
Cannot covert to Group because Account Type is selected.,Hesap Türü seçildiğinden Grupla gizlenemiyor.
Exchange Gain / Loss Account,Döviz Kazanç / Zarar Hesabı
Project Template,Proje Şablonu
Reorder Qty,Yeniden Sipariş Miktarı
Too many columns. Export the report and print it using a spreadsheet application.,Çok fazla sütun var. Raporu dışa aktarın ve bir elektronik tablo uygulamasını kullanarak yazdırın.
Salary Slips Submitted,Gönderilen Maaş Fişleri
For Supplier,Tedarikçi İçin
Accounting entries have already been made in currency {0} for company {1}. Please select a receivable or payable account with currency {0}.,"Muhasebe girişleri, {1} şirketi için {0} para biriminde zaten yapıldı. Lütfen {0} para birimiyle alacak veya borç hesabını seçin."
New Asset Value,Yeni Varlık Değeri
Volunteer Type,Gönüllü Türü
Printed On,Üzerinde baskılı
Grant Leaves,Grant Leaves
Vehicle Value,Taşıt Değeri
Project Billing Summary,Proje Fatura Özeti
Receipt,Fiş
Please click on 'Generate Schedule' to get schedule,Lütfen program almak için &#39;Program Oluştur&#39; düğmesini tıklayın.
TDS Rate %,TDS Oranı%
Contact Number,İletişim numarası
POS Closing Voucher,POS Kapanış Çeki
Quality Inspection Template Name,Kalite Kontrol Şablonu Adı
Added {0} users,{0} kullanıcı eklendi
Convert to Non-Group,Gruba Olmayanlara Dönüştür
Set as Lost,Kayıp olarak ayarla
Payroll Entry,Bordro Girişi
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2}.,{0} zorunludur. Belki {1} - {2} arasında Döviz Değişimi kaydı oluşturulmamıştır.
Transporter Name,Taşıyıcı Adı
"Planned Qty: Quantity, for which, Work Order has been raised, but is pending to be manufactured.","Planlanan Miktar: İş Emri&#39;nin yükseltildiği, ancak üretilmeyi beklediği miktar."
Has Variants,Değişkenleri Var
Securities & Commodity Exchanges,Menkul Kıymetler ve Emtia Borsaları
Deferred Expense,Ertelenmiş Gider
Salary Slip ID,Maaş Fişi No
Membership ID,Üyelik No
Sales Register,Satış kayıt
Please specify a valid 'From Case No.',Lütfen geçerli bir &#39;Vaka No.&#39; belirtin
Primary Address and Contact Detail,Birincil Adres ve İletişim Detayı
This is based on transactions against this Customer. See timeline below for details,"Bu, bu Müşteriye karşı yapılan işlemlere dayanmaktadır. Ayrıntılar için aşağıdaki zaman çizelgesine bakın"
Hotels,Oteller
Valid for Countries,Ülkeler İçin Geçerli
Territory Target Variance Based On Item Group,Öğe Grubuna Göre Bölge Hedefi Varyansı
Rename Tool,Aracı Yeniden Adlandır
Total Payable Amount,Ödenecek Toplam Tutar
Add All Suppliers,Tüm Tedarikçileri Ekleyin
Row {0}: Currency of the BOM #{1} should be equal to the selected currency {2},"{0} Satırı: {1} ürün listesinin para birimi, seçilen para birimine eşit olmalıdır {2}"
Product,Ürün
Value {0} for Attribute {1} does not exist in the list of valid Item Attribute Values for Item {2},"{1} Özniteliği için {0} değeri, {2} Öğesi için geçerli Öğe Özniteliği Değerleri listesinde yok."
{0} units of [{1}](#Form/Item/{1}) found in [{2}](#Form/Warehouse/{2}),[{2}] (# Form / Depo / {2}) &#39;da bulunan {0} birim [{1}] (# Form / Ürün / {1})
Weight (In Kilogram),Ağırlık (Kilogramda)
Leave Approver,Onaylayıcıyı Bırak
Transactions,işlemler
Resolution Details,Çözünürlük Detayları
Delivery Note Item,Teslimat notu öğe
Connected to QuickBooks,QuickBooks&#39;a bağlı
Shelf Life In Days,Günlerde Raf Ömrü
Key Reports,Anahtar Raporlar
Possible Supplier,Olası Tedarikçi
Issued Items Against Work Order,İş Emrine Karşı İhraç Edilen Ürünler
Creating {0} Invoice,{0} Fatura Oluşturma
Joining Date,Katılma Tarihi
Requesting Site,Site İsteği
Against Expense Account,Gider Hesaplarına Karşı
Cannot create a Delivery Trip from Draft documents.,Taslak belgelerden bir Teslim Gezisi oluşturulamıyor.
Lead to Quotation,Teklif Verme
Check this if the Student is residing at the Institute's Hostel.,Öğrenci Enstitü&#39;nün Hostelinde ikamet ediyorsa bunu kontrol edin.
Student {0} - {1} appears Multiple times in row {2} & {3},{0} - {1} öğrencisi {2} &amp; {3} satırında birden çok kez görünüyor
Creating Payment Entries......,Ödeme Girişleri Oluşturma ......
Total Planned Qty,Toplam Planlanan Adet
Cost,Maliyet
Healthcare Service Unit Type,Sağlık Hizmet Birimi Tipi
Please enter atleast 1 invoice in the table,Lütfen tabloya en az 1 fatura girin
Sales Order {0} is not submitted,{0} Müşteri Siparişi gönderilmedi
Attendance has been marked successfully.,Katılım başarıyla işaretlendi.
Pre Sales,Ön satış
Project master.,Proje ustası.
Daily Work Summary,Günlük İş Özeti
Partially Depreciated,Kısmen Amortismana tabi
'Days Since Last Order' must be greater than or equal to zero,&#39;Son Siparişten itibaren Günler&#39; sıfıra eşit veya büyük olmalıdır
For Default Supplier (optional),Varsayılan Tedarikçi İçin (isteğe bağlı)
Leave Encashed?,Encashed&#39;i bırak?
Discuss ID,ID&#39;yi tartışın
Please set GST Accounts in GST Settings,Lütfen GST Ayarlarında GST Hesaplarını ayarlayın
Billing Currency,Fatura Para Birimi
Student Activity,Öğrenci Etkinliği
Either target qty or target amount is mandatory,Hedef miktar veya hedef tutar zorunludur
{0} is now the default Fiscal Year. Please refresh your browser for the change to take effect.,{0} şimdi varsayılan Mali Yıl&#39;dır. Değişikliğin yürürlüğe girmesi için lütfen tarayıcınızı yenileyin.
From Address 2,Adres 2&#39;den
"Of the supplies shown in 3.1 (a) above, details of inter-State supplies made to unregisterd
	persons, composition taxable persons and UIN holders","Yukarıda 3.1 (a) &#39;da gösterilen malzemeler arasında, kayıtsız kişiler için yapılan devletlerarası malzemelerin detayları, vergi mükelleflerinin kompozisyonu ve UIN sahipleri"
Default Inventory Account,Varsayılan Envanter Hesabı
The Year End Date cannot be earlier than the Year Start Date. Please correct the dates and try again.,"Yıl Sonu Tarihi, Yıl Başlama Tarihinden daha eski olamaz. Lütfen tarihleri düzeltip tekrar deneyin."
Target  Amount,Hedef Tutar
Hotel Rooms of type {0} are unavailable on {1},"{0} tipindeki Otel Odaları, {1} tarihinde kullanılamaz"
New Customer Revenue,Yeni Müşteri Geliri
Applicable Charges,Uygulanabilir Ücretler
Point of Sale,Satış noktası
Approving User  (above authorized value),Kullanıcıyı Onaylama (yetkili değerin üstünde)
Amount {0} {1} transferred from {2} to {3},{0} {1} tutarı {2} &#39;den {3}&#39; e transfer edildi
Customer {0} does not belong to project {1},{0} müşterisi {1} projesine ait değil
From Party Name,Parti Adından
Maintenance Status,Bakım durumu
Pending Qty,Bekleyen Miktar
 or ,veya
Not Delivered,Teslim edilmedi
Leave Type {0} cannot be allocated since it is leave without pay,{0} türüne izinsiz izin verildiğinden bırakılamaz
Debit Amount,Borç miktarı
Already record exists for the item {0},{0} öğesi için zaten kayıt var
Sub Assemblies,Alt Meclisler
"If multiple Pricing Rules continue to prevail, users are asked to set Priority manually to resolve conflict.","Birden fazla Fiyatlandırma Kuralları geçerli olmaya devam ederse, kullanıcılardan anlaşmazlığı çözmek için Önceliği manuel olarak belirlemeleri istenir."
Cannot deduct when category is for 'Valuation' or 'Valuation and Total',Kategori &#39;Değerleme&#39; veya &#39;Değerleme ve Toplam&#39; olduğunda indirimden çıkarılamıyor
BOM and Manufacturing Quantity are required,Malzeme Listesi ve Üretim Miktarı gerekli
Item {0} has reached its end of life on {1},{0} maddesi {1} tarihinde ömrünün sonuna ulaştı
Reading 6,6 okuma
Material Consumption is not set in Manufacturing Settings.,Üretim ayarlarında malzeme tüketimi ayarlanmamış.
Assessment Group Name,Değerlendirme Grubu Adı
Manufacturer Part Number,Üretici parti numarası
Payroll Payable,Ödenecek Bordro
Row #{0}: {1} can not be negative for item {2},{2} satırı: {1} {2} öğesi için negatif olamaz
Balance Qty,Bakiye Adet
1 Loyalty Points = How much base currency?,1 Sadakat Puanları = Ne kadar temel para birimi?
Note: There is not enough leave balance for Leave Type {0},Not: {0} İzin Türü için yeterli izin bakiyesi yoktur.
Inpatient Record,Yatan Hasta Kaydı
Customer's Item Code,Müşterinin Öğe Kodu
Change Item Code,Öğe Kodunu Değiştir
Student Group Instructor,Öğrenci Grubu Öğretim Görevlisi
Transaction Type,işlem tipi
House rented dates should be atleast 15 days apart,Kiralanan evlerin tarihleri en az 15 gün olmalıdır
View Form,Formu Görüntüle
Valuation Rate is mandatory if Opening Stock entered,Açılış Stoku girilirse Değerleme Oranı zorunludur
Exit Interview Details,Röportaj Detaylarından Çık
Accounting Details,Muhasebe Detayları
Maintenance Schedule {0} must be cancelled before cancelling this Sales Order,Bu Müşteri Siparişini iptal etmeden önce {0} Bakım Takvimi iptal edilmelidir
HR-DRI-.YYYY.-,HR-DRI-.YYYY.-
Mention if non-standard receivable account,Standart olmayan alacak hesabı varsa söz
Prescription,reçete
Set as Closed,Kapalı olarak ayarla
Opening Accumulated Depreciation,Birikmiş Amortisman Açma
Sand Composition (%),Kum bileşimi (%)
MFG-PP-.YYYY.-,MFG-PP-.YYYY.-
Import Day Book Data,Günlük Kitap Verilerini İçe Aktar
Asset Owner Company,Varlık Sahibi Şirket
Cost center is required to book an expense claim,Bir masraf talebi için Masraf yeri gerekir
{0} valid serial nos for Item {1},"{0}, {1} Maddesi için geçerli seri no&#39;lar"
Cannot promote Employee with status Left,Çalışan Sol statüsünde terfi edemiyor
Expiry (In Days),Bitiş (Gün İçi)
Notify Other,Diğer bildir
Please select Company,Lütfen şirket seçiniz
Item-wise Purchase Register,Ürün bazında Satın Alma Kaydı
Reason For Leaving,Ayrılma sebebi
Earning & Deduction,Kazanç ve Kesinti
Employee Referral,İşçi başvurusu
Qty to Order,Sipariş Adedi
Request for purchase.,Satın alma talebi.
Moving Average Rate,Hareketli Ortalama Oran
Tax template for buying transactions.,Alım işlemleri için vergi şablonu.
Send SMS,SMS gönder
Unverified Webhook Data,Doğrulanmamış Web Kanalı Verileri
Human Resource,İnsan kaynakları
{0} {1} has been modified. Please refresh.,{0} {1} değiştirildi. Lütfen yenileyin.
Stock balance in Batch {0} will become negative {1} for Item {2} at Warehouse {3},"{0} kümesindeki hisse senedi bakiyesi, Depo {3} &#39;deki {2} maddesi için {1} negatif olacaktır."
Asset Depreciation Ledger,Varlık Amortisman Defteri
Tree Details,Ağaç detayları
Create missing customer or supplier.,Eksik müşteri veya tedarikçi oluşturun.
Blood Pressure (diastolic),Kan Basıncı (diyastolik)
As per rules 42 & 43 of CGST Rules,CGST Kurallarının 42 ve 43 numaralı kuralları uyarınca
Show in Website (Variant),Web Sitesinde Göster (Varyant)
Please set the Email ID for the Student to send the Payment Request,Lütfen öğrencinin Ödeme İsteğini göndermesi için E-posta Kimliğini ayarlayın.
"Generate packing slips for packages to be delivered. Used to notify package number, package contents and its weight.","Teslim edilecek paketler için paketleme fişleri oluşturun. Paket numarasını, paket içeriğini ve ağırlığını bildirmek için kullanılır."
No of Requested SMS,Talep Edilen SMS Sayısı
Banking and Payments,Bankacılık ve Ödemeler
Instructor Log,Eğitmen Günlüğü
"Maximum benefit of employee {0} exceeds {1} by the sum {2} of benefit application pro-rata component\
			amount and previous claimed amount","{0} çalışanının azami faydası, fayda uygulaması protata bileşeni \ tutarının ve önceden talep edilen tutarın {2} toplamının {1} değerini aşıyor"
Please enter valid email address,Lütfen geçerli bir e-posta adresi girin
Retail Operations,Perakende İşlemleri
Phone No,Telefon yok
Reqd By Date,Tarihe Göre Talep
Uncheck all,Tümünü işaretleme
To Place,Yerleştirmek
Default Work In Progress Warehouse,Devam Eden Depodaki Varsayılan Çalışma
Include Payment,Ödeme dahil
Byproducts,Yan ürünler
Student,Öğrenci
Manage Customer Group Tree.,Müşteri Grubu Ağacını Yönet.
Payment From / To,/ To&#39;dan Ödeme
Serial number {0} entered more than once,{0} seri numarası bir kereden fazla girildi
Website Item Group,Web Sitesi Öğe Grubu
CA,CA
Under Warranty,Garanti kapsamında
Invoice Posting Date,Fatura Kayıt Tarihi
Delivery Note,Teslimat notu
Attendance Freeze Date,Seyirci Donma Tarihi
Item and Warranty Details,Ürün ve Garanti Detayları
Time Logs,Zaman günlükleri
Extra Bed Capacity,Ekstra Yatak Kapasitesi
Net Pay (in words) will be visible once you save the Salary Slip.,Maaş Fişi&#39;ni kaydettikten sonra Net Pay (kelimelerle) görünecektir.
Could not solve weighted score function. Make sure the formula is valid.,Ağırlıklı puanlama işlevi çözülemedi. Formülün geçerli olduğundan emin olun.
Asset Owner,Varlık Sahibi
Warehouse is mandatory for stock Item {0} in row {1},"Depo, {1} satırındaki {0} kalemi için zorunludur"
Total Additional Costs,Toplam Ek Maliyet
Last Sync On,Son Senkronizasyon Açık
Please set at least one row in the Taxes and Charges Table,Lütfen Vergiler ve Ücretler Tablosunda en az bir satır belirtin
Maintenance Team Name,Bakım Ekibi Adı
Chart of Cost Centers,Maliyet Merkezleri Tablosu
Go to Users,Kullanıcılara Git
Item Code,Ürün Kodu
'Opening',&#39;Açılış&#39;
Set Exchange Gain / Loss,Kur Kazanç / Kaybını Belirle
Make Payment via Journal Entry,Dergi Girişi ile Ödeme Yap
User has not applied rule on the invoice {0},Kullanıcı {0} faturasına kural uygulamadı
Payment Terms based on conditions,Koşullara göre Ödeme Koşulları
% Received,% Alınan
Work Order Qty,İş Emri Adet
WIP Warehouse,WIP Depo
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-
User ID not set for Employee {0},Kullanıcı Kimliği {0} Çalışan için ayarlanmadı
"Available qty is {0}, you need {1}","Kullanılabilir miktar {0}, {1}"
User {0} created,{0} adlı kullanıcı yaratıldı
Item Naming By,Öğe Adlandırma
Ordered,düzenli
This is a root customer group and cannot be edited.,Bu bir kök müşteri grubudur ve düzenlenemez.
Material Request {0} is cancelled or stopped,{0} Malzeme İsteği iptal edildi veya durduruldu
Supplied Qty,Verilen Adet
Cash Flow Mapper,Nakit Akışı Eşleştiricisi
Sand,Kum
Employee cannot report to himself.,Çalışan kendisine rapor veremez.
Order rescheduled for sync,Sipariş senkronizasyon için yeniden planlandı
Default Unit of Measure for Variant '{0}' must be same as in Template '{1}',&#39;{0}&#39; değişkeni için varsayılan ölçü birimi &#39;{1}&#39; şablonundakiyle aynı olmalıdır
Purchasing,Satın alma
Cellphone Number,cep telefonu numarası
Gross Pay,Brüt ödeme
Hotel Room Pricing Package,Otel Odası Fiyatlandırma Paketi
Is Cumulative,Birikimli mi
Your cart is Empty,Sepetiniz boş
Daily Timesheet Summary,Günlük Zaman Çizelgesi Özeti
New Quality Procedure,Yeni Kalite Prosedürü
Sub-contracting,Alt sözleşme
Total Students,Toplam Öğrenci Sayısı
Local,Yerel
Leave Reason,Nedeni Bırak
Condition and Formula,Koşul ve Formül
"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","{0} ve {1} arasındaki süre için zaten işlenen maaş, Uygulamadan ayrılma süresi bu tarih aralığında olamaz."
Basic Rate (Company Currency),Temel Ücret (Şirket Para Birimi)
BOM Scrap Item,BOM Hurda Maddesi
Serial #,Seri no.
Default Billing Rate,Varsayılan Fatura Oranı
Coated,Kaplanmış
More Info,Daha fazla bilgi
Bill of Materials,Malzeme Listesi
Inter Company Invoice Reference,Şirketler Arası Fatura Referansı
Cycle Type,Döngü Tipi
Exit Interview Summary,Röportaj Özetinden Çık
Item Variant Details,Ürün Varyant Detayları
Partially Fulfilled,Kısmen Yerine Getirildi
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
To {0},{0}
GST Accounts,GST Hesapları
Total Invoiced Amount,Toplam Faturalanan Tutar
Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,İş Emirlerine karşı zaman günlüklerinin oluşturulmasını engeller. Operasyonlar İş Emrine Göre İzlenmeyecektir
Group node warehouse is not allowed to select for transactions,Grup düğümü deposunun işlemler için seçim yapmasına izin verilmiyor
Subscriber Name,Abone Adı
Customer Mobile No,Müşteri Cep No
Receiving,kabul
Is Group,Grup mu
Contacts and Address,Rehber ve Adres
Warehouse Name,Depo adı
Attendance not submitted for {0} as it is a Holiday.,"{0} için katılım, Tatil olduğu için gönderilmedi."
Rounding,yuvarlatma
Ineligible ITC,Uygun olmayan ITC
{0} created,{0} oluşturuldu
Select account head of the bank where cheque was deposited.,Çekin yatırıldığı bankanın hesap başkanını seçin.
Support and Resolution,Destek ve Çözünürlük
Bank,Banka
Receive at Warehouse Entry,Depo Girişinden Alma
Send Supplier Emails,Tedarikçi E-postaları Gönder
Add new line,Yeni satır ekle
Duplicate item group found in the item group table,Öğe grubu tablosunda yinelenen öğe grubu bulundu
Annual Salary,Yıllık gelir
Weighting Function,Ağırlıklandırma fonksiyonu
Error evaluating the criteria formula,Ölçüt formülünü değerlendirirken hata oluştu
Lab Test Report,Laboratuvar Test Raporu
With Operations,İşlemleri ile
People who teach at your organisation,Kuruluşunuzda öğretmenlik yapan insanlar
Account {0} does not belongs to company {1},{0} hesabı {1} şirketine ait değil
Has Expiry Date,Sona Erme Tarihi Var
Sum of Scores of Assessment Criteria needs to be {0}.,Değerlendirme Kriterleri Toplamının {0} olması gerekiyor.
Property already added,Mülk zaten eklenmiş
SUP-.YYYY.-,SUP-.YYYY.-
Expense Claim Account,Gider Talep Hesabı
No repayments available for Journal Entry,Dergi Girişi için geri ödeme yok
{0} - {1} is inactive student,{0} - {1} aktif öğrenci değil
Activities,faaliyetler
Atleast one warehouse is mandatory,En az bir depo zorunludur
Customer Credit Balance,Müşteri Kredisi Bakiyesi
Operations,Operasyonlar
Create Salary Slips,Maaş Fişleri Yaratın
Monthly Attendance Sheet,Aylık Seyirci Formu
Reflexes,refleksler
"Service Item,Type,frequency and expense amount are required","Hizmet Maddesi, Tip, sıklık ve gider tutarı gereklidir"
Variables,Değişkenler
Multiple Loyalty Program found for the Customer. Please select manually.,Müşteri için Çoklu Sadakat Programı bulundu. Lütfen manuel olarak seçin.
Medication,ilaç
Select Loyalty Program,Sadakat Programını Seçin
Raw Materials,İşlenmemiş içerikler
Fully Billed,Tamamen fatura
Please set Hotel Room Rate on {},Lütfen Otel Oda Fiyatı&#39;nı {} olarak ayarlayın
Please identify/create Account (Ledger) for type - {0},Lütfen tür - {0} türü için Hesap (Muhasebe) tanımlayın / oluşturun
Total Credit/ Debit Amount should be same as linked Journal Entry,Toplam Kredi / Borç Tutarı bağlantılı Dergi Girişi ile aynı olmalıdır.
Is Fixed Asset,Duran Varlık mı
To Party Name,Parti adına
This Item is a Variant of {0} (Template).,"Bu Öğe, {0} (Şablon) türevidir."
This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,"Bu araç, sistemdeki stok miktarını ve değerini güncellemenize veya düzeltmenize yardımcı olur. Genellikle sistem değerlerini ve depolarınızda gerçekte bulunanları senkronize etmek için kullanılır."
Net Amount,Net tutar
Selling Price List,Satış fiyat listesi
IT,O
{0} must be negative in return document,İade belgesinde {0} negatif olmalı
Please select a valid Date,Lütfen geçerli bir tarih seçiniz
End Day,Gün sonu
Please confirm once you have completed your training,Lütfen eğitiminizi tamamladıktan sonra onaylayın
Go to Letterheads,Antetli Kağıtlara Git
Allow User,Kullanıcıya İzin Ver
% of materials delivered against this Sales Order,Bu Müşteri Siparişine karşı teslim edilen malzemelerin% &#39;si
Purpose of Travel,Seyahat amacı
Appointment Confirmation,Randevu onayı
Orders,Emirler
Retirement Age,Emeklilik yaşı
Projected Qty,Öngörülen Adet
Deletion is not permitted for country {0},{0} ülkesi için silinmeye izin verilmiyor
Row #{0}: Asset {1} is already {2},Satır # {0}: {1} Varlığı zaten {2}
Installation Status,Kurulum durumu
Attribute Value,Özellik Değeri
Base Change Amount (Company Currency),Baz Değişim Tutarı (Şirket Para Birimi)
Unused leaves,Kullanılmayan yapraklar
Finished Item {0} must be entered for Manufacture type entry,Üretim tipi girişi için {0} bitmiş ürün girilmelidir
'Entries' cannot be empty,&#39;Girişler&#39; boş olamaz
Go to Courses,Kurslara Git
Fee Breakup for each student,Her öğrenci için ücret ayrılığı
Will also apply for variants,Ayrıca değişkenler için de geçerli olacak
Shared secret,Paylaşılan sır
Write Off Cost Center,Masraf Yeri Yazma
Silty Clay,Siltli Kil
Redeemed Points,Kazanılan Puanlar
Mandate,manda
Create Multiple,Birden Çok Yarat
Scoring Standings,Puanlama Puanları
Result Title Field,Sonuç Başlığı Alanı
New Leaves Allocated,Tahsis Edilen Yeni Yapraklar
Homepage,Anasayfa
Compensatory Off,Telafi et
Opening Invoices Summary,Fatura Açma Özeti
Engine Oil,Motor yağı
Applicant Name,Başvuranın ismi
Delivery Document No,Teslimat Belgesi No
Hub Users,Hub Kullanıcıları
Actual Quantity,Gerçek Miktar
Credit Days,Kredi Günleri
Project Id,Proje No
Electronics,Elektronik
Due Date is mandatory,Bitiş Tarihi zorunludur
Qty Consumed Per Unit,Birim Başına Tüketilen Miktar
Completed Work Orders,Tamamlanan İş Emri
Help Section,Yardım bölümü
Attendance date can not be less than employee's joining date,Katılım tarihi çalışanın katılım tarihinden daha az olamaz.
Total Cost(Company Currency),Toplam Maliyet (Şirket Para Birimi)
Net Total,Net toplam
Referral,Referans
Model,model
Please specify from/to range,Lütfen aralığını / aralığını belirtin
Quantity to Manufacture must be greater than 0.,Üretilecek miktar 0&#39;dan büyük olmalıdır.
Maintenance Time,Bakım zamanı
Naming Series,Adlandırma Serileri
Contract Terms,Anlaşma koşulları
Either target qty or target amount is mandatory.,Hedef miktar veya hedef tutar zorunludur.
Invalid {0},Geçersiz {0}
FIFO,FIFO
Meeting Date,Buluşma tarihi
HLC-INP-.YYYY.-,HLC-INP-.YYYY.-
Abbreviation cannot have more than 5 characters,Kısaltma 5&#39;ten fazla karakter içeremez
Max Benefits (Yearly),Maksimum Fayda (Yıllık)
Create Material Request,Malzeme Talebi Yaratın
Primary Address Details,Birincil Adres Ayrıntıları
Duration (Days),Süre (Günler)
Customer Feedback Template Table,Müşteri Geribildirim Şablon Tablosu
Price List Rate,Fiyat Listesi Ücreti
Action if Annual Budget Exceeded on PO,PO’da Yıllık Bütçe Aşıldıysa Eylem
Campaign,Kampanya
Accounting,Muhasebe
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,Bu Bölgedeki Ürün Grup bütçelerini ayarlayın. Dağılımı ayarlayarak mevsimsellik de ekleyebilirsiniz.
Insurance Start date should be less than Insurance End date,"Sigorta Başlangıç tarihi, Sigorta Bitiş tarihinden daha az olmalıdır"
{0} items in progress,{0} devam eden öğe
Foreign Trade Details,Dış Ticaret Detayları
Yes/No,Evet Hayır
Is Master Data Imported,Ana Veriler Alındı mı
Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable,"{0} Maddesi Vergi Satırı, Vergi veya Gelir veya Gider veya Ücretli türünde bir hesaba sahip olmalıdır"
{0} is not a valid Batch Number for Item {1},"{0}, {1} Maddesi için geçerli bir Parti Numarası değil"
Learn More,Daha fazla bilgi edin
Credit Note {0} has been created automatically,Kredi Notu {0} otomatik olarak yaratıldı
Queued for replacing the BOM. It may take a few minutes.,Malzeme Listesini değiştirmek için sıraya alındı. Birkaç dakika sürebilir.
Result Date,Sonuç tarihi
Currency exchange rate master.,Döviz kuru ustası.
Latest price updated in all BOMs,Tüm ürün reçetelerinde güncellenen son fiyat
Series Updated Successfully,Seri başarıyla güncellendi
Clay Loam,Killi toprak
Please select item code,Lütfen ürün kodunu seçiniz
Default warehouse is required for selected item,Seçilen öğe için varsayılan depo gerekir
No Item with Serial No {0},Seri No {0} olan ürün yok
Party Type and Party is mandatory for {0} account,Parti Türü ve Parti {0} hesabı için zorunludur
Accountant,Muhasebeci
POS Closing Voucher alreday exists for {0} between date {1} and {2},"POS Kapanış Kuponu, {1} ve {2} tarihleri arasında {0} için zaten var."
Navigating,gezinme
Customer / Item Name,Müşteri / Ürün Adı
New Serial No cannot have Warehouse. Warehouse must be set by Stock Entry or Purchase Receipt,Yeni Seri No&#39;da Depo yoktur. Depo Stok Girişi veya Satın Alma Fişi ile ayarlanmalıdır
Via Customer Portal,Müşteri Portalı Üzerinden
Planned Start Time,Planlanan Başlangıç Saati
{0} {1} is {2},"{0} {1}, {2}"
Number of Depreciations Booked cannot be greater than Total Number of Depreciations,Ayrılan Amortisman Sayısı Toplam Amortisman Sayısından fazla olamaz
Share Ledger,Ledger
Accounts Payable,Ödenebilir hesaplar
Select Terms and Conditions,Şartlar ve Koşulları Seçin
Ends On date cannot be before Next Contact Date.,"Bitiş Tarihi, Sonraki İletişim Tarihinden önce olamaz."
Goods are already received against the outward entry {0},{0} dış girişine karşı ürünler zaten alındı
Tax Exemption Category,Vergi Muafiyeti Kategorisi
Debit To,Borçlanma
"Selling must be checked, if Applicable For is selected as {0}",{0} olarak Uygulanabilir İçin seçilirse satış kontrol edilmelidir
Date of Establishment,Kuruluş tarihi
Leave Type is madatory,Bırakma Türü zararlıdır
Sales Taxes and Charges Template,Satış Vergileri ve Masrafları Şablonu
Return Against Purchase Receipt,Satınalma Fişine Karşı İade
Student Group: ,Öğrenci Grubu:
Cheque Size,Kontrol boyutu
Consolidated Financial Statement,Konsolide finansal tablolar
Scanned Cheque,Taranan Kontrol
Reservation End Time,Rezervasyon Bitiş Saati
In Value,Değerinde
Staffing Plan,Personel planı
Material Transferred for Manufacture,Üretim İçin Transfer Edilen Malzeme
Reserved for manufacturing,İmalat için ayrılmıştır
Undeposited Funds Account,Tahsis Edilmemiş Fonlar Hesabı
Material Request No,Malzeme Talep No
Unreconciled Payment Details,Mutabakatsız Ödeme Detayları
Validity in Days,Günlerdeki Geçerlilik
Applicable for Countries,Ülkeler İçin Uygulanabilir
Individual,bireysel
Clinical Procedure Template,Klinik İşlem Şablonu
Net Asset value as on,Net Varlık değeri
Redemption Account,Ödeme Hesabı
Tree of Item Groups.,Öğe Grupları Ağacı.
Show Items,Öğeleri Göster
Paid Loan,Ödenmiş Kredi
