Pension Funds,Pensioenfonds
Is Working Capital,Is bedryfskapitaal
Missing email template for dispatch. Please set one in Delivery Settings.,Ontbrekende e-pos sjabloon vir gestuur. Stel asseblief een in afleweringsinstellings in.
MAT-PAC-.YYYY.-,MAT-PAC-.YYYY.-
"Scorecard variables can be used, as well as:
{total_score} (the total score from that period),
{period_number} (the number of periods to present day)
","Scorecard veranderlikes kan gebruik word, sowel as: {total_score} (die totale telling van daardie tydperk), {period_number} (die aantal tydperke wat vandag aangebied word)"
Value Or Qty,Waarde of Hoeveelheid
Please register the SIREN number in the company information file,Registreer asseblief die SIREN nommer in die maatskappy inligting lêer
Check this to enable a scheduled Daily synchronization routine via scheduler,Kontroleer hierdie om &#39;n geskeduleerde daaglikse sinkronisasie roetine in te stel via skedulering
Declarations,verklarings
Backflush Raw Materials Based On,Backflush grondstowwe gebaseer op
Distance from top edge,Afstand van boonste rand
Job Description,Pos beskrywing
"Can not filter based on Voucher No, if grouped by Voucher","Kan nie filter gebaseer op Voucher No, indien gegroepeer deur Voucher"
Received and Accepted,Ontvang en aanvaar
Negative Valuation Rate is not allowed,Negatiewe Waardasietempo word nie toegelaat nie
"The user that will be used to create Customers, Items and Sales Orders. This user should have the relevant permissions.","Die gebruiker wat gebruik sal word om kliënte, items en verkope bestellings te skep. Hierdie gebruiker moet die toepaslike regte hê."
Create Purchase Order,Skep aankoopbestelling
Define budget for a financial year.,Definieer begroting vir &#39;n finansiële jaar.
Accounts table cannot be blank.,Rekeningtabel kan nie leeg wees nie.
Payment Period Based On Invoice Date,Betalingsperiode gebaseer op faktuurdatum
Installation date cannot be before delivery date for Item {0},Installasiedatum kan nie voor afleweringsdatum vir Item {0} wees nie.
Link to Material Request,Skakel na Materiaal Versoek
From Company,Van Maatskappy
Mapped Data Type,Mapped Data Type
Row {0}: An Reorder entry already exists for this warehouse {1},Ry {0}: &#39;n Herbestellinginskrywing bestaan reeds vir hierdie pakhuis {1}
Doc Date,Doc Datum
Distribution Name,Verspreidingsnaam
Group to Non-Group,Groep na Nie-Groep
Update in progress. It might take a while.,Werk aan die gang. Dit kan &#39;n rukkie neem.
"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","Voorbeeld: ABCD. ##### As reeks is ingestel en Serienommer nie in transaksies genoem word nie, sal outomatiese reeksnommer op grond van hierdie reeks geskep word. As u altyd Seriële Nos vir hierdie item uitdruklik wil noem. laat dit leeg."
Stock Entry (Outward GIT),Voorraad Inskrywing (Uitgaande GIT)
Processing Party Addresses,Verwerking Party Adresse
Delivery Note Required,Afleweringsnota benodig
Sales Partner,Verkoopsvennoot
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Rekeningkundige inskrywing bevrore tot op hierdie datum, niemand kan die inskrywing doen / verander behalwe die rol wat hieronder gespesifiseer word nie."
Fuel Qty,Brandstof Aantal
Guardian1 Mobile No,Voog 1 Mobiele Nr
Disbursed,uitbetaal
Net Change in Accounts Payable,Netto verandering in rekeninge betaalbaar
Not Available,Nie beskikbaar nie
Part-time,Deeltyds
Delivery,aflewering
Student Group Creation Tool Course,Studente Groepskeppingsgereedskapskursus
Allocated amount cannot be greater than unadjusted amount,Toegewysde bedrag kan nie groter wees as onaangepaste bedrag nie
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,&#39;N Derdeparty verspreider / handelaar / kommissie agent / geaffilieerde / reseller wat die maatskappye produkte vir &#39;n kommissie verkoop.
Original Item,Oorspronklike item
Series is mandatory,Reeks is verpligtend
Potential opportunities for selling.,Potensiële geleenthede vir verkoop.
Show PDC in Print,Wys PDC in Print
Shopify Supplier,Shopify Verskaffer
POS Profile User,POS Profiel gebruiker
Middle Name,Middelnaam
Sales Person Name,Verkoop Persoon Naam
Gross Weight,Totale gewig
Bill No,Wetsontwerp Nr
New Location,Nuwe Plek
Project wise Stock Tracking,Projek-wyse Voorraad dop
HR-VLOG-.YYYY.-,HR-VLOG-.YYYY.-
A+,A +
Service Level Agreement,Diensvlakooreenkoms
Please select Employee and Date first,Kies asseblief Werknemer en Datum eerste
Item valuation rate is recalculated considering landed cost voucher amount,Itemwaardasiekoers word herbereken na oorweging van die koste van die gelde kosprys
Employee Detail,Werknemersbesonderhede
Vouchers,geskenkbewyse
Guardian Details,Besonderhede van die voog
eg: frappe.myshopify.com,bv .: frappe.myshopify.com
"Email Address must be unique, already exists for {0}","E-pos adres moet uniek wees, bestaan reeds vir {0}"
Match Payments with Invoices,Pas betalings met fakture
Weekly Off,Weeklikse af
Not allow to set alternative item for the item {0},Moenie toelaat dat alternatiewe item vir die item {0}
Program {0} does not exist.,Program {0} bestaan nie.
You cannot edit root node.,U kan nie wortelknoop wysig nie.
Student Category,Student Kategorie
"Item {0}: {1} qty produced, ","Item {0}: {1} hoeveelheid geproduseer,"
Identification Document Type,Identifikasiedokument Tipe
Insufficient Stock,Onvoldoende voorraad
Row {0}: Conversion Factor is mandatory,Ry {0}: Omskakelfaktor is verpligtend
Purchase Receipt Required,Aankoop Ontvangs Benodig
BOM Rate,BOM-koers
Invalid GSTIN! The check digit validation has failed. ,Ongeldige GSTIN! Die tjek syfer validering het misluk.
Max working hours against Timesheet,Maksimum werksure teen Timesheet
Include holidays in Total no. of Working Days,Sluit vakansiedae in Totaal nr. van werksdae
Quality Meeting,Kwaliteit Vergadering
Consulting,Consulting
Default Payment Request Message,Verstekbetalingsversoekboodskap
GSTIN Email Sent On,GSTIN E-pos gestuur op
Enable Scheduled Synch,Aktiveer Geskeduleerde Sink
Please select Employee,Kies asseblief Werknemer
"If checked, a customer will be created, mapped to Patient.
Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.","Indien gekontroleer, sal &#39;n kliënt geskep word, gekarteer na Pasiënt. Pasiëntfakture sal teen hierdie kliënt geskep word. U kan ook bestaande kliënt kies terwyl u pasiënt skep."
Stock User,Voorraad gebruiker
Service Level Agreement.,Diensvlakooreenkoms.
Date on which this component is applied,Datum waarop hierdie komponent toegepas word
List of available Shareholders with folio numbers,Lys van beskikbare Aandeelhouers met folio nommers
Setup Gateway accounts.,Setup Gateway rekeninge.
Response Time Period,Reaksie Tyd Periode
Purchase Taxes and Charges,Koopbelasting en heffings
Activity Date,Aktiwiteitsdatum
Select or add new customer,Kies of voeg nuwe kliënt by
Unfulfilled,onvervulde
Read blog,Lees blog
Project Value,Projekwaarde
Expected Time (in hours),Verwagte Tyd (in ure)
Updating Variants...,Opdatering van variante ...
Show Sales Person in Print,Wys verkoopspersoon in druk
Per Year,Per jaar
Admitted Datetime,Toegelaat Date Time
Tax Template is mandatory.,Belasting sjabloon is verpligtend.
Patient,pasiënt
Costing Amount,Koste Bedrag
Add / Edit Prices,Voeg pryse by
Non-GST outward supplies,Nie-GST uiterlike voorrade
Row {0}: From time must be less than to time,Ry {0}: Van tyd tot tyd moet minder wees as tyd
User {0} is already assigned to Employee {1},Gebruiker {0} is reeds toegewys aan Werknemer {1}
Form View,Form View
Auto Repeat Section,Outo Herhaal afdeling
Select company name first.,Kies die maatskappy se naam eerste.
Financial Year,Finansiële jaar
Deferred Revenue,Uitgestelde Inkomste
Atleast one of the Selling or Buying must be selected,Ten minste een van die verkope of koop moet gekies word
Item-wise Purchase History,Item-wyse Aankoop Geskiedenis
Cannot change Service Stop Date for item in row {0},Kan nie diensstopdatum vir item in ry {0} verander nie
Include Subcontracted Items,Sluit onderaannemerte items in
Max Benefits (Amount),Maksimum Voordele (Bedrag)
Hero Section,Heldafdeling
Where manufacturing operations are carried.,Waar vervaardigingsbedrywighede uitgevoer word.
Dispatch Notification,Versending Kennisgewing
Timesheets,roosters
Get current stock,Kry huidige voorraad
Expense,koste
{0} asset cannot be transferred,{0} bate kan nie oorgedra word nie
Unpaid Expense Claim,Onbetaalde koste-eis
Family Background,Familie agtergrond
Bonus Payment Date cannot be a past date,Bonusbetalingsdatum kan nie &#39;n verloopdatum wees nie
No {0} found for Inter Company Transactions.,Geen {0} gevind vir intermaatskappy transaksies nie.
Party Type,Party Tipe
Finish,afwerking
C-Form Applicable,C-vorm van toepassing
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Rekeningbalans reeds in Debiet, jy mag nie &#39;Balans moet wees&#39; as &#39;Krediet&#39; wees nie."
Row #{0}: Qty increased by 1,Ry # {0}: Hoeveelheid het met 1 toegeneem
Set targets Item Group-wise for this Sales Person.,Stel teikens itemgroep-wys vir hierdie verkoopspersoon.
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-
Student Mobile Number,Student Mobiele Nommer
Academic Year: ,Akademiese jaar:
Please set Naming Series for {0} via Setup &gt; Settings &gt; Naming Series,Stel Naming Series vir {0} via Setup&gt; Settings&gt; Naming Series
"As per the Buying Settings if Purchase Order Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Order first for item {0}","Soos vir die aankoop instellings as aankoop bestelling benodig == &#39;JA&#39;, dan moet u die aankoop bestelling eers vir item {0} skep om Aankoopfaktuur te skep."
To Value,Om waarde
Please add the account to root level Company - ,Voeg asseblief die rekening by wortelvlak Company -
Number of Days in Fiscal Year,Aantal dae in fiskale jaar
Total Amount Currency,Totale Bedrag Geld
Allow Same Item Multiple Times,Laat dieselfde item meervoudige tye toe
Create BOM,Skep BOM
Charges,koste
Personal Details,Persoonlike inligting
Billing and Delivery Status,Rekening- en afleweringsstatus
Row {0}: For supplier {0} Email Address is required to send email,Ry {0}: Vir verskaffer {0} E-pos adres is nodig om e-pos te stuur
Cash Flow from Investing,Kontantvloei uit Belegging
Approving Role cannot be same as role the rule is Applicable To,Goedkeurende rol kan nie dieselfde wees as die rol waarvan die reël van toepassing is op
Crop Spacing,Gewas Spasie
How often should project and company be updated based on Sales Transactions.,"Hoe gereeld moet projek en maatskappy opgedateer word, gebaseer op verkoops transaksies."
Period Settings,Periode instellings
Net Change in Accounts Receivable,Netto verandering in rekeninge ontvangbaar
For Quantity must be greater than zero,Vir Hoeveelheid moet groter as nul wees
Goal Objectives,Doelwitte
"There are inconsistencies between the rate, no of shares and the amount calculated","Daar is teenstrydighede tussen die koers, aantal aandele en die bedrag wat bereken word"
Leave blank if you make students groups per year,Los leeg as jy studente groepe per jaar maak
Loans (Liabilities),Lenings (laste)
Send Grant Review Email,Stuur Grant Review Email
GSTR3B-Form,GSTR3B-Form
Produced Qty,Geproduceerde hoeveelheid
Journal Entry,Joernaalinskrywing
Purchase Receipt No,Aankoop Kwitansie Nee
From Date {0} cannot be before employee's joining Date {1},Vanaf datum {0} kan nie voor werknemer se aanvangsdatum wees nie {1}
Debit Note,Debietnota
Is this Tax included in Basic Rate?,Is hierdie belasting ingesluit in basiese tarief?
Purchased,gekoop
Rate at which Price list currency is converted to company's base currency,Koers waarteen Pryslys-geldeenheid omgeskakel word na die maatskappy se basiese geldeenheid
View Fees Records,View Fees Records
Theory,teorie
Create Quotation,Skep kwotasie
Row #{0}: Journal Entry {1} does not have account {2} or already matched against another voucher,Ry # {0}: Tydskrifinskrywing {1} het nie rekening {2} of alreeds teen &#39;n ander geskenkbewys aangepas nie
Create a new Customer,Skep &#39;n nuwe kliënt
BOM Website Operation,BOM Website Operasie
Invoice/Journal Entry Details,Faktuur / Joernaalinskrywingsbesonderhede
Share Balance,Aandelebalans
Period Closing Entry,Tydperk sluitingsinskrywing
Purchase Price List,Aankooppryslys
Party User,Party gebruiker
Restaurant Order Entry,Restaurant bestellinginskrywing
"Serialized Item {0} cannot be updated using Stock Reconciliation, please use Stock Entry",Serialized Item {0} kan nie opgedateer word met behulp van Voorraadversoening nie. Gebruik asseblief Voorraadinskrywing
Time Slots,Tydgleuwe
Select at least one value from each of the attributes.,Kies ten minste een waarde uit elk van die eienskappe.
Bank Draft,Bank Konsep
Send regular summary reports via Email.,Stuur gereelde opsommingsverslae per e-pos.
Step,stap
Result Value,Resultaatwaarde
Is Income Tax Liability,Is Inkomstebelasting Aanspreeklikheid
Inpatient Visit Charge Item,Inpatient besoek koste
{0} {1} does not exist.,{0} {1} bestaan nie.
Update Response,Update Response
Supplier,verskaffer
Enter value betweeen {0} and {1},Gee waarde tussen {0} en {1}
Order Confirmation Date,Bestel Bevestigingsdatum
Calculate Estimated Arrival Times,Bereken die beraamde aankomstye
Consumable,verbruikbare
EDU-INS-.YYYY.-,EDU-INS-.YYYY.-
Subscription Start Date,Inskrywing begin datum
Woocommerce Server URL,Woocommerce Server-URL
Number Of Employees,Aantal werknemers
{0} field is limited to size {1},{0} veld is beperk tot grootte {1}
This {0} conflicts with {1} for {2} {3},Hierdie {0} bots met {1} vir {2} {3}
Value Proposition,Waarde Proposisie
Contact Email,Kontak e-pos
Cannot set authorization on basis of Discount for {0},Kan nie magtiging instel op grond van Korting vir {0}
Work From Home,Werk van die huis af
Row {0}: From Time and To Time is mandatory.,Ry {0}: Van tyd tot tyd is verpligtend.
Supplier Id,Verskaffer ID
Invoice can't be made for zero billing hour,Faktuur kan nie vir nul faktuuruur gemaak word nie
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Verlof kan nie voor {0} toegeken word nie, aangesien verlofbalans reeds in die toekomstige verlofrekordrekord {1} oorgedra is."
Last Order Date,Laaste bestellingsdatum
Course: ,Kursus:
Dispatch,versending
Installation Note Item,Installasie Nota Item
Journal Entry Account,Tydskrifinskrywingsrekening
Variant,Variant
Forum Activity,Forum Aktiwiteit
Resolution Time Period,Resolusie Tyd Periode
Supplier Detail,Verskaffer Detail
View Task,Bekyk Taak
Purchase / Manufacture Details,Aankoop- / Vervaardigingsbesonderhede
Book Asset Depreciation Entry Automatically,Boekbate-waardeverminderinginskrywing outomaties
Operation completed for how many finished goods?,Operasie voltooi vir hoeveel klaarprodukte?
Employee name and designation in print,Werknemer naam en aanwysing in druk
Is Day Book Data Processed,Is dagboekdata verwerk
Courses,kursusse
Update stock must be enable for the purchase invoice {0},Opdateringsvoorraad moet in staat wees om vir die aankoopfaktuur {0}
Employee Boarding Activity,Werknemersboorduuraktiwiteit
Warehouse {0} does not belong to company {1},Pakhuis {0} behoort nie aan maatskappy nie {1}
"If disable, 'In Words' field will not be visible in any transaction","As dit gedeaktiveer word, sal &#39;In Woorde&#39;-veld nie sigbaar wees in enige transaksie nie"
Allocated,toegeken
Time to send,Tyd om te stuur
Bloated,opgeblase
Order Type,Bestelling Tipe
Period Start Date,Periode Begin Datum
Generate Schedule,Genereer skedule
Opening Value,Openingswaarde
Additional Salary,Bykomende Salaris
Repayment Method,Terugbetaling Metode
Cost of various activities,Koste van verskeie aktiwiteite
Mins to First Response,Mins to First Response
Patient Age,Pasiënt ouderdom
Investigations,ondersoeke
Office Equipments,Kantoor Uitrustingen
"LocalStorage is full , did not save","LocalStorage is vol, het nie gestoor nie"
Items for Raw Material Request,Items vir grondstofversoek
Select Item (optional),Kies item (opsioneel)
Parent Item {0} must not be a Stock Item,Ouer Item {0} moet nie &#39;n voorraaditem wees nie
Against Stock Entry,Teen Voorraad Inskrywing
Fetch exploded BOM (including sub-assemblies),Haal ontplof BOM (insluitend sub-gemeentes)
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-
Loan Application,Leningsaansoek
For Job Card,Vir Job Card
Process Master Data,Proses Meesterdata
Is Account Payable,Is rekening betaalbaar
Total Order Value,Totale bestellingswaarde
Supplier {0} not found in {1},Verskaffer {0} nie gevind in {1}
Setup SMS gateway settings,Opstel SMS gateway instellings
Root cannot have a parent cost center,Wortel kan nie &#39;n ouer-koste-sentrum hê nie
Allow Appointments,Laat afsprake toe
Show Operations,Wys Bedryf
Practitioner Schedule,Praktisynskedule
Calibration,kalibrasie
Apply On,Pas aan
Close Balance Sheet and book Profit or Loss.,Sluit balansstaat en boek wins of verlies.
Provide Email Address registered in company,Verskaf e-pos adres geregistreer in die maatskappy
Alternative Item Name,Alternatiewe Item Naam
Course,Kursus
Patient Details,Pasiëntbesonderhede
Employee Separation,Werknemersskeiding
Debtors,debiteure
Mapped Items,Gemerkte items
Department (optional),Departement (opsioneel)
Task Type,Taak Tipe
Debit A/C Number,Debiet A / C-nommer
Total Billed Amount,Totale gefactureerde bedrag
Due / Reference Date cannot be after {0},Verwysingsdatum kan nie na {0} wees nie.
Add unused leaves from previous allocations,Voeg ongebruikte blare by vorige toekennings by
New Company,Nuwe Maatskappy
Commission Rate (%),Kommissie Koers (%)
Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,Pakhuis kan slegs verander word via Voorraadinskrywing / Afleweringsnota / Aankoop Ontvangst
Close Issue After Days,Beslote uitgawe na dae
Payment Schedule,Betalingskedule
Spouse,eggenoot
Reason For Putting On Hold,Rede vir die aanskakel
Increment,inkrement
Cuts,sny
LMS Only,Slegs LMS
Show Contact Us Button,Wys Kontak Button
Add Employees,Voeg werknemers by
Holidays,vakansies
Chapter Head,Hoofstuk Hoof
Not permitted. Please disable the Test Template,Nie toegelaat. Skakel asseblief die Toets Sjabloon uit
No Show,Geen vertoning
Selling Amount,Verkoopbedrag
AWS Access Key ID,AWS Access Key ID
{0} {1} is not present in the parent company,{0} {1} is nie in die moedermaatskappy teenwoordig nie
To Date cannot be before From Date,Datum kan nie voor Vanaf datum wees nie
Add Suppliers,Voeg verskaffers by
Summary for this month and pending activities,Opsomming vir hierdie maand en hangende aktiwiteite
Mode of Transport,Vervoermodus
Gross Pay - Total Deduction - Loan Repayment,Bruto Betaling - Totale Aftrekking - Lening Terugbetaling
Posting Date cannot be future date,Posdatum kan nie toekomstige datum wees nie
Work Order Stock Report,Werkorder Voorraad Verslag
Enable / disable currencies.,Aktiveer / deaktiveer geldeenhede.
View in Cart,Kyk in die winkelwagen
Fetch based on FIFO,Haal gebaseer op EIEU
Total Billable Amount,Totale betaalbare bedrag
Material Request of maximum {0} can be made for Item {1} against Sales Order {2},Materiaal Versoek van maksimum {0} kan gemaak word vir Item {1} teen Verkoopsbestelling {2}
Production Item,Produksie-item
Equity/Liability Account,Aandele / Aanspreeklikheidsrekening
No values,Geen waardes nie
Cancel the journal entry {0} first,Kanselleer die joernaalinskrywing {0} eerste
Remarks,opmerkings
Row {0}: Advance against Supplier must be debit,Ry {0}: Voorskot teen Verskaffer moet debiet wees
Attended by Parents,Bygewoon deur ouers
Update Stock,Werk Voorraad
Old Parent,Ou Ouer
Download Materials Required,Laai materiaal wat benodig word
Item Template,Item Sjabloon
Discount on Price List Rate (%),Afslag op pryslyskoers (%)
Abbreviation is mandatory,Afkorting is verpligtend
Domestic,binnelandse
SO Qty,SO Aantal
Pick/Drop by Guardian,Pick / Drop by Guardian
Balance In Base Currency,Saldo in Basiese Geld
All Products or Services.,Alle Produkte of Dienste.
Brake Pad,Remskoen
Max Amt,Max Amt
Show Stock Availability,Toon voorraad beskikbaarheid
Hotel Room Pricing Item,Hotel Kamerpryse Item
Pending Review,Hangende hersiening
Date of Joining,Datum van aansluiting
Patient Relation,Pasiëntverhouding
For Selling,Vir verkoop
Cash Flow from Financing,Kontantvloei uit finansiering
Manufacturing,vervaardiging
By {0},By {0}
Restaurant Manager,Restaurant Bestuurder
Out Value,Uitwaarde
Availability and Skills,Beskikbaarheid en Vaardighede
Advance Account,Voorskotrekening
Invoices with no Place Of Supply,Fakture sonder plek van aanbod
Ref,ref
Loan End Date,Lening einddatum
Quantity in row {0} ({1}) must be same as manufactured quantity {2},Hoeveelheid in ry {0} ({1}) moet dieselfde wees as vervaardigde hoeveelheid {2}
Commercial,kommersiële
Bank Account No.,Bankrekeningnommer
Advance amount cannot be greater than {0} {1},Voorskotbedrag kan nie groter wees as {0} {1}
Width of amount in word,Breedte van die bedrag in woord
MAT-DN-.YYYY.-,MAT-DN-.YYYY.-
Assign Salary Structure,Ken Salarisstruktuur toe
Stock Entry Type,Voorraad Inskrywing Tipe
Responsible,verantwoordelik
Room Number,Kamer nommer
Select Fiscal Year...,Kies fiskale jaar ...
Trial Balance,Proefbalans
Employee Transfer cannot be submitted before Transfer Date ,Werknemeroordrag kan nie voor die Oordragdatum ingedien word nie
Grading Scale Name,Gradering Skaal Naam
Area UOM,Area UOM
Total Costing Amount,Totale kosteberekening
Material Issue,Materiële Uitgawe
Item Image (if not slideshow),Item Image (indien nie skyfievertoning nie)
Is Company,Is Maatskappy
Update latest price in all BOMs,Werk die nuutste prys in alle BOM&#39;s
Messages greater than 160 characters will be split into multiple messages,Boodskappe groter as 160 karakters word in verskeie boodskappe verdeel
Salary Slip submitted for period from {0} to {1},Salarisstrokie ingedien vir tydperk vanaf {0} tot {1}
Project-wise data is not available for Quotation,Projek-wyse data is nie beskikbaar vir aanhaling nie
Total Outstanding Amt,Totaal Uitstaande Amt
Item Tax Rate,Item Belastingkoers
Planned Quantity,Beplande hoeveelheid
Retention Stock Entry,Behoud Voorraad Inskrywing
In Words (Export) will be visible once you save the Delivery Note.,In Woorde (Uitvoer) sal sigbaar wees sodra jy die Afleweringsnota stoor.
Each Transaction,Elke transaksie
Institute's Bus,Instituut se Bus
Please select the Company first,Kies asseblief die Maatskappy eerste
Attendance for employee {0} is already marked for this day,Bywoning vir werknemer {0} is reeds gemerk vir hierdie dag
Opening,opening
Detected Disease,Opgesiene Siekte
{0} ({1}) cannot be greater than planned quanitity ({2}) in Production Order {3},{0} ({1}) kan nie groter wees as beplande quanitity ({2}) in Produksie Orde {3}
Stock Queue (FIFO),Voorraadwinkel (EIEU)
Please enter 'Is Subcontracted' as Yes or No,Tik asb. &#39;Ja&#39; of &#39;Nee&#39; in
Default Holiday List,Verstek Vakansie Lys
Current Value,Huidige waarde
"Seasonality for setting budgets, targets etc.","Seisoenaliteit vir die opstel van begrotings, teikens ens."
Program Code,Program Kode
Warning: Sales Order {0} already exists against Customer's Purchase Order {1},Waarskuwing: Verkoopsbestelling {0} bestaan alreeds teen kliënt se aankoopbestelling {1}
Monthly Sales Target (,Maandelikse verkoopsdoelwit (
Guardian Interests,Voogbelange
Batch ID is mandatory,Lotnommer is verpligtend
Allow over delivery or receipt upto this percent,Laat oor die aflewering of kwitansie tot hierdie persentasie toe
Paid Amount (Company Currency),Betaalde Bedrag (Maatskappy Geld)
Shipping Rule Condition,Versending Reël Voorwaarde
Required for Employee Creation,Benodig vir die skep van werknemers
Loyalty Point Entry Redemption,Loyalty Point Entry Redemption
Cover Letter,Dekbrief
Chart Preview,Grafiekvoorskou
Item Quality Inspection Parameter,Item Kwaliteit Inspeksie Parameter
Get Started Sections,Kry begin afdelings
% of materials delivered against this Delivery Note,% materiaal wat teen hierdie afleweringsnota afgelewer word
Warranty / AMC Status,Garantie / AMC Status
Gram,gram
Allocated amount cannot be negative,Toegewysde bedrag kan nie negatief wees nie
Item Groups,Itemgroepe
Customer LPO No.,Kliënt LPO No.
Company Name,maatskappynaam
To Address 1,Om Adres 1
Purchase Receipt Trends,Aankoopontvangstendense
Leave Block List Dates,Los blokkie lys datums
Student {0} exist against student applicant {1},Studente {0} bestaan teen studente aansoeker {1}
LMS Settings,LMS instellings
Titles for print templates e.g. Proforma Invoice.,"Titels vir druk templates, bv. Proforma-faktuur."
Delivery Time,Afleweringstyd
Repayment Period in Months,Terugbetalingsperiode in maande
Transporter ID,Vervoerder ID
Price List master.,Pryslysmeester.
The first Expense Approver in the list will be set as the default Expense Approver.,Die eerste uitgawes goedere in die lys sal ingestel word as die standaard uitgawes goedkeur.
Advertising,Advertising
Customer or Item,Kliënt of Item
Invoice Ref,Faktuur Ref
C-form is not applicable for Invoice: {0},C-vorm is nie van toepassing op faktuur nie: {0}
Invoice Created,Invoice Created
Review Details,Hersien Besonderhede
Row {0}: Hours value must be greater than zero.,Ry {0}: Ure waarde moet groter as nul wees.
Account Number,Rekening nommer
Assessment Result Detail,Assesseringsresultaat Detail
"To allow over-billing or over-ordering, update ""Allowance"" in Stock Settings or the Item.","Om oor-faktuur of oorbestelling toe te laat, werk &quot;Toelae&quot; in Voorraadinstellings of die Item op."
Auto close Issue after 7 days,Outo sluit uitgawe na 7 dae
Is Frozen,Is gevries
Total weightage assigned should be 100%. It is {0},Totale gewig toegeken moet 100% wees. Dit is {0}
"Applicable if the company is SpA, SApA or SRL","Toepaslik indien die maatskappy SpA, SApA of SRL is"
Overlapping conditions found between:,Oorvleuelende toestande tussen:
Paid and Not Delivered,Betaal en nie afgelewer nie
Item Code is mandatory because Item is not automatically numbered,Item Kode is verpligtend omdat Item nie outomaties genommer is nie
HSN Code,HSN-kode
September,September
Administrative Expenses,Administratiewe uitgawes
C-Form No,C-vorm nr
End date of current invoice's period,Einddatum van huidige faktuur se tydperk
Crop Cycle,Gewassiklus
Creation Time,Skeppingstyd
Please enter Approving Role or Approving User,Voer asseblief &#39;n Toepaslike Rol of Goedgekeurde Gebruiker in
Discharged,ontslaan
Raw Material Cost(Company Currency),Grondstofkoste (Maatskappy Geld)
Note: Due / Reference Date exceeds allowed customer credit days by {0} day(s),Nota: Vervaldatum / Verwysingsdatum oorskry toegelate kliënte kredietdae teen {0} dag (e)
New Sales Orders,Nuwe verkope bestellings
based_on,gebaseer op
Owned,Owned
Item Default,Item Standaard
Party can only be one of ,Party kan net een van wees
Entertainment Expenses,Vermaak Uitgawes
Inspection Required before Delivery,Inspeksie benodig voor aflewering
Opening Entry Journal,Opening Entry Journal
Add or Deduct,Voeg of Trek af
Collected Amount,Versamel bedrag
Commission on Sales,Kommissie op verkope
Start entering data from here : ,Begin met die invoer van data van hier af:
Rest Of The World,Res van die wêreld
Customer &gt; Customer Group &gt; Territory,Kliënt&gt; Kliëntegroep&gt; Territorium
Publications,publikasies
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,Verstekbank / Kontantrekening sal outomaties opgedateer word in Salarisjoernaalinskrywing wanneer hierdie modus gekies word.
Total Budget,Totale begroting
Upload HTML,Laai HTML op
Payment Document,Betalingsdokument
Opportunity Item,Geleentheidspunt
Travel From,Reis Van
CWIP Account,CWIP rekening
Sender Name,Sender Naam
Supplier Group,Verskaffersgroep
Date of Issue,Datum van uitreiking
Requested Items To Be Transferred,Gevraagde items wat oorgedra moet word
Contract End Date,Kontrak Einddatum
Returned Qty,Teruggekeerde hoeveelheid
SAL-ORD-.YYYY.-,SAL-ORD-.YYYY.-
Required only for sample item.,Slegs benodig vir monsteritem.
Vacant,vakante
Sales Stage,Verkoopsfase
In Words will be visible once you save the Sales Order.,In Woorde sal sigbaar wees sodra jy die verkoopsbestelling stoor.
Re-order Level,Herbestel vlak
Preference,voorkeur
Department Analytics,Departement Analytics
Scientific Name,Wetenskaplike Naam
Discount amount cannot be greater than 100%,Afslagbedrag kan nie groter as 100% wees nie.
Relation,verhouding
Name or Email is mandatory,Naam of e-pos is verpligtend
Billing Zipcode,Faktuur poskode
Marketplace,mark
{0} {1} status is {2},{0} {1} status is {2}
Quiz Activity,Quiz-aktiwiteit
{0} is not in a valid Payroll Period,{0} is nie in &#39;n geldige betaalstaat nie
Billed,billed
Last Sales Invoice,Laaste Verkoopfaktuur
Payment Terms,Betalingsvoorwaardes
"Reserved Qty: Quantity ordered for sale, but not delivered.","Gereserveerde hoeveelheid: Hoeveelheid bestel te koop, maar nie afgelewer nie."
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},{0} is verpligtend. Miskien is Geldwissel-rekord nie geskep vir {1} tot {2}
Actual End Date (via Time Sheet),Werklike Einddatum (via Tydblad)
Score must be less than or equal to 5,Die telling moet minder as of gelyk wees aan 5
Please select BOM in BOM field for Item {0},Kies asseblief BOM in BOM-veld vir Item {0}
Serial No {0} is under warranty upto {1},Volgnummer {0} is onder garantie tot en met {1}
Split,verdeel
Bank Account No,Bankrekeningnommer
Salary Slip Based on Timesheet,Salarisstrokie gebaseer op tydsopgawe
