DocType: Accounting Period,Period Name,دورانیہ کا نام
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Employee Transfer cannot be submitted before Transfer Date ,منتقلی کی تاریخ سے پہلے ملازم کی منتقلی جمع نہیں کی جا سکتی
DocType: Certification Application,USD,امریکن روپے
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Remaining Balance,بقیہ رقم
DocType: Selling Settings,Auto close Opportunity after 15 days,15 دنوں کے بعد آٹو بند مواقع
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,Purchase Orders are not allowed for {0} due to a scorecard standing of {1}.,{1} کے سکور کارڈ کارڈ کے سبب {0} کے لئے خریداری کے حکم کی اجازت نہیں ہے.
apps/erpnext/erpnext/stock/doctype/item/item.py,Barcode {0} is not a valid {1} code,بارکوڈ {0} ایک درست {1} کوڈ نہیں ہے
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.js,End Year,اختتام سال
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Quot/Lead %,عمومی quot / لیڈ٪
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Quot/Lead %,عمومی quot / لیڈ٪
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Contract End Date must be greater than Date of Joining,معاہدہ اختتام تاریخ شمولیت کی تاریخ سے زیادہ ہونا چاہیے
DocType: Sales Invoice,Driver,ڈرائیور
DocType: Vital Signs,Nutrition Values,غذائی اقدار
DocType: Lab Test Template,Is billable,قابل ہے
DocType: Sales Partner,A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,ایک کمیشن کے کمپنیوں کی مصنوعات فروخت کرتا ہے جو ایک تیسری پارٹی ڈسٹریبیوٹر / ڈیلر / کمیشن ایجنٹ / الحاق / ری سیلر.
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Purchase Order {1},{0} خریداری کے آرڈر کے خلاف {1}
DocType: Patient,Patient Demographics,مریض ڈیموگرافکس
DocType: Task,Actual Start Date (via Time Sheet),اصل آغاز کی تاریخ (وقت شیٹ کے ذریعے)
apps/erpnext/erpnext/portal/doctype/homepage/homepage.py,This is an example website auto-generated from ERPNext,یہ ایک مثال ویب سائٹ ERPNext سے آٹو پیدا کیا جاتا ہے
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Range 1,خستہ رینج 1
DocType: Shopify Settings,Enable Shopify,Shopify کو فعال کریں
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Total advance amount cannot be greater than total claimed amount,کل پیشگی رقم کل دعوی رقم سے زیادہ نہیں ہوسکتی ہے
DocType: Purchase Taxes and Charges Template,"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.",تمام خریداری لین دین پر لاگو کیا جا سکتا ہے کہ معیاری ٹیکس سانچے. اس سانچے وغیرہ #### آپ سب ** اشیا کے لئے معیاری ٹیکس کی شرح ہو جائے گا یہاں وضاحت ٹیکس کی شرح یاد رکھیں &quot;ہینڈلنگ&quot;، ٹیکس سر اور &quot;شپنگ&quot;، &quot;انشورنس&quot; کی طرح بھی دیگر اخراجات کے سروں کی فہرست پر مشتمل کر سکتے ہیں * *. مختلف شرح ہے *** *** کہ اشیاء موجود ہیں تو، وہ ** آئٹم ٹیکس میں شامل ہونا ضروری ہے *** *** آئٹم ماسٹر میں میز. #### کالم کی وضاحت 1. حساب قسم: - یہ (کہ بنیادی رقم کی رقم ہے) *** نیٹ کل *** پر ہو سکتا ہے. - ** پچھلے صف کل / رقم ** پر (مجموعی ٹیکس یا الزامات کے لئے). اگر آپ اس اختیار کا انتخاب کرتے ہیں، ٹیکس کی رقم یا کل (ٹیکس ٹیبل میں) پچھلے صف کے ایک فی صد کے طور پر لاگو کیا جائے گا. - *** اصل (بیان). 2. اکاؤنٹ سربراہ: اس ٹیکس 3. لاگت مرکز بک کیا جائے گا جس کے تحت اکاؤنٹ لیجر: ٹیکس / انچارج (شپنگ کی طرح) ایک آمدنی ہے یا خرچ تو یہ ایک لاگت مرکز کے خلاف مقدمہ درج کیا جا کرنے کی ضرورت ہے. 4. تفصیل: ٹیکس کی تفصیل (کہ انوائس / واوین میں پرنٹ کیا جائے گا). 5. شرح: ٹیکس کی شرح. 6. رقم: ٹیکس کی رقم. 7. کل: اس نقطہ پر مجموعی کل. 8. صف درج کریں: کی بنیاد پر تو &quot;پچھلا صف کل&quot; آپ کو اس کے حساب کے لئے ایک بنیاد کے (پہلے سے مقررشدہ پچھلے صف ہے) کے طور پر لیا جائے گا جس میں صفیں منتخب کر سکتے ہیں. 9. کے لئے ٹیکس یا انچارج پر غور کریں: ٹیکس / انچارج تشخیص کے لئے ہے (کل کی ایک حصہ) یا صرف (شے کی قیمت شامل نہیں ہے) کل کے لئے یا دونوں کے لئے ہے اس سیکشن میں آپ وضاحت کر سکتے ہیں. 10. کریں یا منہا: آپ کو شامل یا ٹیکس کی کٹوتی کے لئے چاہتے ہیں.
DocType: Homepage,Homepage,مرکزی صفحہ
DocType: Grant Application,Grant Application Details ,گرانٹ درخواست کی تفصیلات
DocType: Employee Separation,Employee Separation,ملازم علیحدگی
DocType: BOM Item,Original Item,اصل آئٹم
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Date,ڈاکٹر کی تاریخ
apps/erpnext/erpnext/education/doctype/program_enrollment/program_enrollment.py,Fee Records Created - {0},فیس ریکارڈز کی تشکیل - {0}
DocType: Asset Category Account,Asset Category Account,ایسیٹ زمرہ اکاؤنٹ
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Row #{0} (Payment Table): Amount must be positive,قطار # {0} (ادائیگی کی میز): رقم مثبت ہونا ضروری ہے
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Cannot produce more Item {0} than Sales Order quantity {1},سیلز آرڈر کی مقدار سے زیادہ آئٹم {0} پیدا نہیں کر سکتے ہیں {1}
apps/erpnext/erpnext/accounts/report/gross_and_net_profit_report/gross_and_net_profit_report.py,Nothing is included in gross,مجموعی طور پر کچھ بھی شامل نہیں ہے۔
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill already exists for this document,اس دستاویز کے لئے ای وے بل پہلے ہی موجود ہے۔
apps/erpnext/erpnext/stock/doctype/item/item.js,Select Attribute Values,خصوصیت اقدار منتخب کریں
DocType: Purchase Invoice,Reason For Issuing document,دستاویز جاری کرنے کے لۓ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Stock Entry {0} is not submitted,اسٹاک انٹری {0} پیش نہیں ہے
DocType: Payment Reconciliation,Bank / Cash Account,بینک / کیش اکاؤنٹ
DocType: Bank Transaction,ACC-BTN-.YYYY.-,ACC-BTN - .YYYY.-
apps/erpnext/erpnext/crm/doctype/lead/lead.py,Next Contact By cannot be same as the Lead Email Address,اگلا رابطے کی طرف سے لیڈ ای میل ایڈریس کے طور پر ایک ہی نہیں ہو سکتا
DocType: Tax Rule,Billing City,بلنگ شہر
apps/erpnext/erpnext/regional/italy/setup.py,Applicable if the company is an Individual or a Proprietorship,قابل اطلاق اگر کمپنی انفرادی یا ملکیت ہے۔
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,Log Type is required for check-ins falling in the shift: {0}.,شفٹ میں پڑنے والے چیک انس کیلئے لاگ ٹائپ ضروری ہے: {0}.
DocType: Asset,Manual,دستی
DocType: Tally Migration,Is Master Data Processed,ماسٹر ڈیٹا پر کارروائی ہے۔
DocType: Salary Component Account,Salary Component Account,تنخواہ اجزاء اکاؤنٹ
DocType: Global Defaults,Hide Currency Symbol,کرنسی کی علامت چھپائیں
apps/erpnext/erpnext/config/non_profit.py,Donor information.,ڈونر کی معلومات.
apps/erpnext/erpnext/config/accounting.py,"e.g. Bank, Cash, Credit Card",مثال کے طور پر بینک، کیش، کریڈٹ کارڈ
DocType: Vital Signs,"Normal resting blood pressure in an adult is approximately 120 mmHg systolic, and 80 mmHg diastolic, abbreviated ""120/80 mmHg""",بالغ میں عام آرام دہ بلڈ پریشر تقریبا 120 ملی میٹر ہیزیسولول ہے، اور 80 ملی میٹر ایچ جی ڈاسکولک، مختصر &quot;120/80 ملی میٹر&quot;
DocType: Journal Entry,Credit Note,کریڈٹ نوٹ
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,Finished Good Item Code,اچھا آئٹم کوڈ ختم ہوگیا۔
apps/erpnext/erpnext/config/desktop.py,Quality,معیار
DocType: Projects Settings,Ignore Employee Time Overlap,ملازمت کا وقت اوورلوپ کو نظر انداز کریں
DocType: Warranty Claim,Service Address,سروس ایڈریس
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.js,Import Master Data,ماسٹر ڈیٹا درآمد کریں۔
DocType: Asset Maintenance Task,Calibration,انشانکن
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} is a company holiday,{0} ایک کمپنی کی چھٹی ہے
apps/erpnext/erpnext/projects/report/billing_summary.py,Billable Hours,قابل قابل اوقات
apps/erpnext/erpnext/patches/v11_0/add_default_email_template_for_leave.py,Leave Status Notification,حیثیت کی اطلاع چھوڑ دو
DocType: Patient Appointment,Procedure Prescription,طریقہ کار نسخہ
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Furnitures and Fixtures,فرنیچر اور فکسچر
DocType: Travel Request,Travel Type,سفر کی قسم
DocType: Purchase Invoice Item,Manufacture,تیاری
DocType: Blanket Order,MFG-BLR-.YYYY.-,MFG-BLR-YYYY.-
apps/erpnext/erpnext/utilities/user_progress.py,Setup Company,سیٹ اپ کمپنی
,Lab Test Report,لیب ٹیسٹ کی رپورٹ
DocType: Employee Benefit Application,Employee Benefit Application,ملازمت کے فوائد کی درخواست
apps/erpnext/erpnext/hr/doctype/additional_salary/additional_salary.py,Additional Salary Component Exists.,اضافی تنخواہ اجزاء موجود ہیں۔
DocType: Purchase Invoice,Unregistered,غیر رجسٹرڈ
DocType: Student Applicant,Application Date,تاریخ درخواست
DocType: Salary Component,Amount based on formula,فارمولے پر مبنی رقم
DocType: Purchase Invoice,Currency and Price List,کرنسی اور قیمت کی فہرست
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Create Maintenance Visit,بحالی کا دورہ بنائیں۔
DocType: Opportunity,Customer / Lead Name,کسٹمر / لیڈ نام
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py,Clearance Date not mentioned,کلیئرنس تاریخ کا ذکر نہیں
DocType: Payroll Period,Taxable Salary Slabs,ٹیکس قابل تنخواہ سلیب
apps/erpnext/erpnext/config/manufacturing.py,Production,پیداوار
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! The input you've entered doesn't match the format of GSTIN.,غلط جی ایس ٹی این! آپ نے جو ان پٹ داخل کیا ہے وہ GSTIN کی شکل سے مماثل نہیں ہے۔
DocType: Guardian,Occupation,کاروبار
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,For Quantity must be less than quantity {0},مقدار کے لئے مقدار سے کم ہونا ضروری ہے {0}
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Row {0}:Start Date must be before End Date,صف {0}: شروع کرنے کی تاریخ تاریخ اختتام سے پہلے ہونا ضروری ہے
DocType: Salary Component,Max Benefit Amount (Yearly),زیادہ سے زیادہ منافع رقم (سالانہ)
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,TDS Rate %,TDS شرح٪
DocType: Crop,Planting Area,پودے لگانا ایریا
apps/erpnext/erpnext/controllers/trends.py,Total(Qty),کل (مقدار)
DocType: Installation Note Item,Installed Qty,نصب مقدار
apps/erpnext/erpnext/utilities/user_progress.py,You added ,آپ نے مزید کہا
,Product Bundle Balance,پروڈکٹ بنڈل بیلنس۔
DocType: Purchase Taxes and Charges,Parenttype,Parenttype
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Central Tax,مرکزی ٹیکس
apps/erpnext/erpnext/hr/doctype/training_event/training_event.js,Training Result,تربیت کا نتیجہ
DocType: Purchase Invoice,Is Paid,ادا کیا جاتا ہے
DocType: Salary Structure,Total Earning,کل کمائی
DocType: Purchase Receipt,Time at which materials were received,مواد موصول ہوئیں جس میں وقت
DocType: Products Settings,Products per Page,فی صفحہ مصنوعات
DocType: Stock Ledger Entry,Outgoing Rate,سبکدوش ہونے والے کی شرح
apps/erpnext/erpnext/controllers/accounts_controller.py, or ,یا
apps/erpnext/erpnext/public/js/purchase_trends_filters.js,Billing Date,بلنگ کی تاریخ
apps/erpnext/erpnext/accounts/utils.py,Allocated amount cannot be negative,مختص رقم منفی نہیں ہوسکتی ہے۔
DocType: Sales Order,Billing Status,بلنگ کی حیثیت
apps/erpnext/erpnext/public/js/conf.js,Report an Issue,ایک مسئلہ کی اطلاع دیں
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Utility Expenses,یوٹیلٹی اخراجات
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,90-Above,۹۰ سے بڑھ کر
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Row #{0}: Journal Entry {1} does not have account {2} or already matched against another voucher,صف # {0}: جرنل اندراج {1} اکاؤنٹ نہیں ہے {2} یا پہلے سے ہی ایک اور واؤچر کے خلاف میچ نہیں کرتے
DocType: Supplier Scorecard Criteria,Criteria Weight,معیار وزن
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Account: {0} is not permitted under Payment Entry,اکاؤنٹ: ادائیگی کے اندراج کے تحت {0} کی اجازت نہیں ہے۔
DocType: Production Plan,Ignore Existing Projected Quantity,موجودہ متوقع مقدار کو نظر انداز کریں۔
apps/erpnext/erpnext/patches/v11_0/add_default_email_template_for_leave.py,Leave Approval Notification,منظوری کی اطلاع چھوڑ دو
DocType: Buying Settings,Default Buying Price List,پہلے سے طے شدہ خرید قیمت کی فہرست
DocType: Payroll Entry,Salary Slip Based on Timesheet,تنخواہ کی پرچی Timesheet کی بنیاد پر
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Buying Rate,خریداری کی شرح
apps/erpnext/erpnext/controllers/buying_controller.py,Row {0}: Enter location for the asset item {1},قطار {0}: اثاثہ شے کے لئے مقام درج کریں {1}
DocType: Employee Checkin,Attendance Marked,حاضری نشان زد۔
DocType: Request for Quotation,PUR-RFQ-.YYYY.-,PUR-RFQ -YYYY-
apps/erpnext/erpnext/public/js/hub/pages/Seller.vue,About the Company,کمپنی کے بارے میں
apps/erpnext/erpnext/config/settings.py,"Set Default Values like Company, Currency, Current Fiscal Year, etc.",وغیرہ کمپنی، کرنسی، رواں مالی سال کی طرح پہلے سے طے شدہ اقدار
DocType: Payment Entry,Payment Type,ادائیگی کی قسم
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Please select a Batch for Item {0}. Unable to find a single batch that fulfills this requirement,آئٹم کے لئے ایک بیچ براہ مہربانی منتخب کریں {0}. اس ضرورت کو پورا کرتا ہے کہ ایک بیچ کو تلاش کرنے سے قاصر ہے
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Please select a Batch for Item {0}. Unable to find a single batch that fulfills this requirement,آئٹم کے لئے ایک بیچ براہ مہربانی منتخب کریں {0}. اس ضرورت کو پورا کرتا ہے کہ ایک بیچ کو تلاش کرنے سے قاصر ہے
DocType: Asset Maintenance Log,ACC-AML-.YYYY.-,اے اے اے اے ایل- .YYYY-
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,No gain or loss in the exchange rate,تبادلے کی شرح میں کوئی فائدہ یا نقصان نہیں
DocType: Leave Control Panel,Select Employees,منتخب ملازمین
DocType: Shopify Settings,Sales Invoice Series,سیلز انوائس سیریز
DocType: Bank Reconciliation,To Date,تاریخ کرنے کے لئے
DocType: Opportunity,Potential Sales Deal,ممکنہ فروخت ڈیل
DocType: Complaint,Complaints,شکایات
DocType: Employee Tax Exemption Declaration,Employee Tax Exemption Declaration,ملازم ٹیکس چھوٹ اعلامیہ
DocType: Payment Entry,Cheque/Reference Date,چیک / حوالہ تاریخ
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,No Items with Bill of Materials.,بل اشیاء کے ساتھ کوئی اشیا نہیں ہیں۔
apps/erpnext/erpnext/portal/doctype/homepage/homepage.js,Customize Homepage Sections,مرکزی صفحہ حصے کو اپنی مرضی کے مطابق بنائیں۔
DocType: Purchase Invoice,Total Taxes and Charges,کل ٹیکس اور الزامات
DocType: Payment Entry,Company Bank Account,کمپنی بینک اکاؤنٹ۔
DocType: Employee,Emergency Contact,ہنگامی رابطے
DocType: Bank Reconciliation Detail,Payment Entry,ادائیگی انٹری
,sales-browser,سیلز براؤزر
apps/erpnext/erpnext/accounts/doctype/account/account.js,Ledger,لیجر
DocType: Drug Prescription,Drug Code,منشیات کا کوڈ
DocType: Target Detail,Target  Amount,ہدف رقم
apps/erpnext/erpnext/education/utils.py,Quiz {0} does not exist,کوئز {0} موجود نہیں ہے۔
DocType: POS Profile,Print Format for Online,آن لائن کے لئے پرنٹ فارمیٹ
DocType: Shopping Cart Settings,Shopping Cart Settings,خریداری کی ٹوکری کی ترتیبات
DocType: Journal Entry,Accounting Entries,اکاؤنٹنگ اندراجات
DocType: Job Card Time Log,Job Card Time Log,جاب کارڈ ٹائم لاگ
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"If selected Pricing Rule is made for 'Rate', it will overwrite Price List. Pricing Rule rate is the final rate, so no further discount should be applied. Hence, in transactions like Sales Order, Purchase Order etc, it will be fetched in 'Rate' field, rather than 'Price List Rate' field.",اگر &#39;قیمت&#39; کے لئے منتخب کردہ قیمت کا تعین کرنے والا اصول بنایا جاتا ہے تو، یہ قیمت کی فہرست کو اوور کر دیں گے. قیمتوں کا تعین کرنے کی شرح کی شرح حتمی شرح ہے، لہذا مزید رعایت نہیں کی جاسکتی ہے. لہذا، سیلز آرڈر، خریداری آرڈر وغیرہ جیسے ٹرانزیکشن میں، یہ &#39;قیمت فہرست کی شرح&#39; فیلڈ کے بجائے &#39;شرح&#39; فیلڈ میں لے جائے گا.
DocType: Journal Entry,Paid Loan,ادا کردہ قرض
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Duplicate Entry. Please check Authorization Rule {0},انٹری نقل. براہ مہربانی چیک کریں کی اجازت حکمرانی {0}
DocType: Journal Entry Account,Reference Due Date,حوالہ کی تاریخ کی تاریخ
DocType: Purchase Order,Ref SQ,ممبران SQ
DocType: Issue,Resolution By,قرارداد بذریعہ۔
DocType: Leave Type,Applicable After (Working Days),کے بعد قابل اطلاق (ورکنگ دن)
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.py,Receipt document must be submitted,رسید دستاویز پیش کرنا ضروری ہے
DocType: Purchase Invoice Item,Received Qty,موصولہ مقدار
DocType: Stock Entry Detail,Serial No / Batch,سیریل نمبر / بیچ
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Not Paid and Not Delivered,نہیں ادا کی اور نجات نہیں
DocType: Product Bundle,Parent Item,والدین آئٹم
DocType: Account,Account Type,اکاؤنٹ کی اقسام
DocType: Shopify Settings,Webhooks Details,ویب ہک تفصیلات
apps/erpnext/erpnext/templates/pages/projects.html,No time sheets,کوئی وقت شیٹس
DocType: GoCardless Mandate,GoCardless Customer,GoCardless کسٹمر
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Leave Type {0} cannot be carry-forwarded,{0} لے بھیج دیا جائے نہیں کر سکتے ہیں کی قسم چھوڑ دو
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Maintenance Schedule is not generated for all the items. Please click on 'Generate Schedule',بحالی کے شیڈول تمام اشیاء کے لئے پیدا نہیں کر رہا. &#39;پیدا شیڈول&#39; پر کلک کریں براہ مہربانی
,To Produce,پیدا کرنے کے لئے
DocType: Leave Encashment,Payroll,پے رول
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,"For row {0} in {1}. To include {2} in Item rate, rows {3} must also be included",صف کے لئے {0} میں {1}. شے کی درجہ بندی میں {2} شامل کرنے کے لئے، قطار {3} بھی شامل کیا جانا چاہئے
DocType: Healthcare Service Unit,Parent Service Unit,والدین سروس یونٹ
DocType: Packing Slip,Identification of the package for the delivery (for print),کی ترسیل کے لئے پیکج کی شناخت (پرنٹ کے لئے)
apps/erpnext/erpnext/support/doctype/issue/issue.js,Service Level Agreement was reset.,سروس لیول کا معاہدہ دوبارہ تشکیل دے دیا گیا۔
DocType: Bin,Reserved Quantity,محفوظ مقدار
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html,Please enter valid email address,درست ای میل ایڈریس درج کریں
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html,Please enter valid email address,درست ای میل ایڈریس درج کریں
DocType: Volunteer Skill,Volunteer Skill,رضاکارانہ مہارت
DocType: Bank Reconciliation,Include POS Transactions,پی او ایس کے لین دین میں شامل کریں
DocType: Quality Action,Corrective/Preventive,اصلاحی / روک تھام کرنے والا۔
DocType: Purchase Invoice,Inter Company Invoice Reference,انٹر کمپنی انوائس ریفرنس
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Please select an item in the cart,ٹوکری میں ایک آئٹم منتخب کریں
DocType: Landed Cost Voucher,Purchase Receipt Items,خریداری کی رسید اشیا
apps/erpnext/erpnext/regional/italy/utils.py,Please set Tax ID for the customer '%s',برائے کرم صارف کے لئے ٹیکس کی شناخت &#39;٪ s&#39; متعین کریں
apps/erpnext/erpnext/config/help.py,Customizing Forms,تخصیص فارم
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Arrear,بقایا
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Depreciation Amount during the period,اس مدت کے دوران ہراس رقم
DocType: Sales Invoice,Is Return (Credit Note),کیا واپسی ہے (کریڈٹ نوٹ)
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.js,Start Job,ملازمت شروع کریں
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Serial no is required for the asset {0},شریعت {0} کے لئے سیریل نمبر کی ضرورت نہیں ہے
DocType: Leave Control Panel,Allocate Leaves,پتے مختص کریں۔
apps/erpnext/erpnext/accounts/doctype/sales_taxes_and_charges_template/sales_taxes_and_charges_template.py,Disabled template must not be default template,معذور کے سانچے ڈیفالٹ ٹیمپلیٹ نہیں ہونا چاہئے
DocType: Pricing Rule,Price or Product Discount,قیمت یا مصنوع کی چھوٹ۔
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,For row {0}: Enter planned qty,قطار {0} کے لئے: منصوبہ بندی کی مقدار درج کریں
DocType: Account,Income Account,انکم اکاؤنٹ
DocType: Payment Request,Amount in customer's currency,کسٹمر کی کرنسی میں رقم
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Delivery,ڈلیوری
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Assigning Structures...,ڈھانچے کی تفویض…
DocType: Stock Reconciliation Item,Current Qty,موجودہ مقدار
DocType: Restaurant Menu,Restaurant Menu,ریسٹورانٹ مینو
apps/erpnext/erpnext/public/js/event.js,Add Suppliers,سپلائر شامل کریں
DocType: Sales Invoice,ACC-SINV-.YYYY.-,اے اے سی - این - .YYYY-
DocType: Loyalty Program,Help Section,مدد سیکشن
apps/erpnext/erpnext/www/all-products/index.html,Prev,پچھلا
DocType: Appraisal Goal,Key Responsibility Area,کلیدی ذمہ داری کے علاقے
DocType: Delivery Trip,Distance UOM,فاصلہ UOM
apps/erpnext/erpnext/utilities/activation.py,"Student Batches help you track attendance, assessments and fees for students",طالب علم بیچوں آپ کے طالب علموں کے لئے حاضری، جائزوں اور فیس کو ٹریک میں مدد
DocType: Payment Entry,Total Allocated Amount,کل مختص رقم
apps/erpnext/erpnext/setup/doctype/company/company.py,Set default inventory account for perpetual inventory,ہمیشہ کی انوینٹری کے لئے پہلے سے طے شدہ انوینٹری اکاؤنٹ
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Cannot deliver Serial No {0} of item {1} as it is reserved to \
												fullfill Sales Order {2}",آئٹم {1} کے سیریل نمبر {0} کو نہیں فراہم کر سکتا ہے کیونکہ یہ \ &quot;مکمل سیل سیل آرڈر {2}
DocType: Material Request Plan Item,Material Request Type,مواد درخواست کی قسم
apps/erpnext/erpnext/non_profit/doctype/grant_application/grant_application.js,Send Grant Review Email,گرانٹ کا جائزہ ای میل بھیجیں
apps/erpnext/erpnext/accounts/page/pos/pos.js,"LocalStorage is full, did not save",لئے LocalStorage بھرا ہوا ہے، نہیں بچا تھا
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row {0}: UOM Conversion Factor is mandatory,صف {0}: UOM تبادلوں فیکٹر لازمی ہے
DocType: Employee Benefit Claim,Claim Date,دعوی کی تاریخ
apps/erpnext/erpnext/utilities/user_progress.py,Room Capacity,کمرہ کی صلاحیت
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field Asset Account cannot be blank,فیلڈ اثاثہ اکاؤنٹ خالی نہیں ہوسکتا ہے۔
apps/erpnext/erpnext/stock/doctype/item_alternative/item_alternative.py,Already record exists for the item {0},آئٹم کے لئے پہلے ہی ریکارڈ موجود ہے {0}
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Ref,ممبران
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,You will lose records of previously generated invoices. Are you sure you want to restart this subscription?,آپ پہلے سے تیار کردہ انوائس کے ریکارڈ کھو جائیں گے. کیا آپ واقعی اس رکنیت کو دوبارہ شروع کرنا چاہتے ہیں؟
DocType: Lab Test,LP-,ایل پی-
DocType: Healthcare Settings,Registration Fee,رجسٹریشن فیس
DocType: Loyalty Program Collection,Loyalty Program Collection,وفادار پروگرام مجموعہ
DocType: Stock Entry Detail,Subcontracted Item,ذیلی کنکریٹ آئٹم
apps/erpnext/erpnext/education/__init__.py,Student {0} does not belong to group {1},طالب علم {0} گروپ سے تعلق رکھتا ہے {1}
DocType: Budget,Cost Center,لاگت مرکز
apps/erpnext/erpnext/stock/report/stock_ledger/stock_ledger.py,Voucher #,واؤچر #
DocType: Tax Rule,Shipping Country,شپنگ ملک
