DocType: Accounting Period,Period Name,Názov obdobia
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Failed to setup defaults,Nepodarilo sa nastaviť predvolené hodnoty
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Employee {0} has already applied for {1} between {2} and {3} : ,Zamestnanec {0} už požiadal {1} medzi {2} a {3}:
DocType: Guardian,Guardian Interests,Guardian záujmy
apps/erpnext/erpnext/accounts/doctype/account/account.js,Update Account Name / Number,Aktualizovať názov / číslo účtu
DocType: Naming Series,Current Value,Current Value
apps/erpnext/erpnext/controllers/accounts_controller.py,Multiple fiscal years exist for the date {0}. Please set company in Fiscal Year,Niekoľko fiškálnych rokov existujú pre dáta {0}. Prosím nastavte spoločnosť vo fiškálnom roku
DocType: Education Settings,Instructor Records to be created by,"Záznamy inštruktorov, ktoré vytvorí"
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,{0} created,{0} vytvoril
DocType: GST Account,GST Account,Účet GST
DocType: Delivery Note Item,Against Sales Order,Proti přijaté objednávce
,Serial No Status,Serial No Status
DocType: Payment Entry Reference,Outstanding,vynikajúci
DocType: Supplier,Warn POs,Upozorňujte organizácie výrobcov
,Daily Timesheet Summary,Denný súhrn pracovných výkazov
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,"Row {0}: To set {1} periodicity, difference between from and to date \
						must be greater than or equal to {2}","Řádek {0}: Pro nastavení {1} periodicita, rozdíl mezi z a aktuální \
 musí být větší než nebo rovno {2}"
apps/erpnext/erpnext/stock/doctype/item/item_dashboard.py,This is based on stock movement. See {0} for details,To je založené na akciovom pohybu. Pozri {0} Podrobnosti
DocType: Pricing Rule,Selling,Predaj
DocType: Payment Entry,Payment Order Status,Stav platobného príkazu
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Amount {0} {1} deducted against {2},Množstvo {0} {1} odpočítať proti {2}
DocType: Sales Person,Name and Employee ID,Meno a ID zamestnanca
DocType: Promotional Scheme,Promotional Scheme Product Discount,Zľava na propagačnú schému
DocType: Website Item Group,Website Item Group,Website Item Group
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,No salary slip found to submit for the above selected criteria OR salary slip already submitted,Žiadna schéma platu sa nepodarilo predložiť na vyššie uvedené kritériá ALEBO platový výkaz už bol predložený
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Duties and Taxes,Odvody a dane
DocType: Projects Settings,Projects Settings,Nastavenia projektov
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Please enter Reference date,"Prosím, zadejte Referenční den"
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,{0} payment entries can not be filtered by {1},{0} platobné položky nemôžu byť filtrované podľa {1}
DocType: Item Website Specification,Table for Item that will be shown in Web Site,"Tabuľka k Položke, která sa zobrazí na webových stránkách"
DocType: Purchase Order Item Supplied,Supplied Qty,Dodávané Množstvo
DocType: Clinical Procedure,HLC-CPR-.YYYY.-,HLC-CPR-.YYYY.-
DocType: Purchase Order Item,Material Request Item,Materiál Žádost o bod
apps/erpnext/erpnext/config/buying.py,Tree of Item Groups.,Strom skupiny položek.
DocType: Production Plan,Total Produced Qty,Celkový vyrobený počet
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,No reviews yet,Zatiaľ žiadne recenzie
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Cannot refer row number greater than or equal to current row number for this Charge type,Nelze odkazovat číslo řádku větší nebo rovnou aktuální číslo řádku pro tento typ Charge
DocType: Asset,Sold,Predané
,Item-wise Purchase History,Item-moudrý Historie nákupů
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please click on 'Generate Schedule' to fetch Serial No added for Item {0},"Prosím, klikněte na ""Generovat Schedule"", aby přinesla Pořadové číslo přidán k bodu {0}"
DocType: Account,Frozen,Zmražený
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Vehicle Type,Typ vozidla
DocType: Sales Invoice Payment,Base Amount (Company Currency),Základná suma (Company Currency)
DocType: Purchase Invoice,Registered Regular,Pravidelná registrácia
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Raw Materials,Suroviny
DocType: Payment Reconciliation Payment,Reference Row,referenčnej Row
DocType: Installation Note,Installation Time,Instalace Time
DocType: Sales Invoice,Accounting Details,Účtovné Podrobnosti
DocType: Shopify Settings,status html,status html
apps/erpnext/erpnext/setup/doctype/company/company.js,Delete all the Transactions for this Company,Odstráňte všetky transakcie pre túto spoločnosť
DocType: Designation,Required Skills,Požadované zručnosti
DocType: Inpatient Record,O Positive,O pozitívne
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Investments,Investice
DocType: Issue,Resolution Details,Rozlišení Podrobnosti
DocType: Leave Ledger Entry,Transaction Type,Typ transakcie
DocType: Item Quality Inspection Parameter,Acceptance Criteria,Kritéria přijetí
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,Please enter Material Requests in the above table,"Prosím, zadajte Žiadosti materiál vo vyššie uvedenej tabuľke"
apps/erpnext/erpnext/hr/doctype/loan/loan.py,No repayments available for Journal Entry,Pre položku zápisu nie sú k dispozícii žiadne splátky
DocType: Hub Tracked Item,Image List,Zoznam obrázkov
DocType: Item Attribute,Attribute Name,Názov atribútu
DocType: Subscription,Generate Invoice At Beginning Of Period,Generovanie faktúry na začiatku obdobia
DocType: BOM,Show In Website,Zobraziť na webstránke
DocType: Loan Application,Total Payable Amount,Celková suma Splatné
DocType: Task,Expected Time (in hours),Predpokladaná doba (v hodinách)
DocType: Item Reorder,Check in (group),Check in (skupina)
DocType: Soil Texture,Silt,kal
,Qty to Order,Množství k objednávce
DocType: Period Closing Voucher,"The account head under Liability or Equity, in which Profit/Loss will be booked","Účet hlavu pod záväzkom alebo vlastným imaním, v ktorom budú Zisk / strata rezervovať"
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},Ďalší rozpočetový záznam {0} už existuje proti {1} &#39;{2}&#39; a účet {3} pre fiškálny rok {4}
apps/erpnext/erpnext/config/projects.py,Gantt chart of all tasks.,Ganttův diagram všech zadaných úkolů.
DocType: Opportunity,Mins to First Response,Min First Response
DocType: Pricing Rule,Margin Type,margin Type
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,{0} hours,{0} hodín
DocType: Course,Default Grading Scale,Predvolené Stupnica
DocType: Appraisal,For Employee Name,Pro jméno zaměstnance
DocType: Holiday List,Clear Table,Clear Table
DocType: Woocommerce Settings,Tax Account,Daňový účet
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Available slots,Dostupné priestory
DocType: C-Form Invoice Detail,Invoice No,Faktúra č.
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Make Payment,Vykonať platbu
DocType: Room,Room Name,Room Meno
DocType: Prescription Duration,Prescription Duration,Trvanie predpisu
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Nechajte nemožno aplikovať / zrušená pred {0}, pretože rovnováha dovolenky už bolo carry-odovzdávané v budúcej pridelenie dovolenku záznamu {1}"
DocType: Activity Cost,Costing Rate,Sadzba kalkulácie nákladov
apps/erpnext/erpnext/config/selling.py,Customer Addresses And Contacts,Adresy zákazníkov a kontakty
DocType: Homepage Section,Section Cards,Karty sekcií
,Campaign Efficiency,Efektívnosť kampane
,Campaign Efficiency,Efektívnosť kampane
DocType: Discussion,Discussion,diskusia
apps/erpnext/erpnext/setup/default_energy_point_rules.py,On Sales Order Submission,O zadaní zákazky odberateľa
DocType: Bank Transaction,Transaction ID,ID transakcie
DocType: Payroll Entry,Deduct Tax For Unsubmitted Tax Exemption Proof,Odpočítajte daň z nezdaniteľnej daňovej výnimky
DocType: Volunteer,Anytime,kedykoľvek
DocType: Bank Account,Bank Account No,Číslo bankového účtu
DocType: Employee Tax Exemption Proof Submission,Employee Tax Exemption Proof Submission,Oslobodenie od dane z oslobodenia od dane zamestnancov
DocType: Patient,Surgical History,Chirurgická história
DocType: Bank Statement Settings Item,Mapped Header,Zmapovaná hlavička
DocType: Employee,Resignation Letter Date,Rezignace Letter Datum
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Pricing Rules are further filtered based on quantity.,Pravidla pro stanovení sazeb jsou dále filtrována na základě množství.
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Please set the Date Of Joining for employee {0},Nastavte dátum založenia pre zamestnanca {0}
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Please set the Date Of Joining for employee {0},Nastavte dátum založenia pre zamestnanca {0}
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Please enter Difference Account,Zadajte rozdielny účet
DocType: Inpatient Record,Discharge,výtok
DocType: Task,Total Billing Amount (via Time Sheet),Celková suma Billing (cez Time Sheet)
apps/erpnext/erpnext/education/doctype/fee_structure/fee_structure.js,Create Fee Schedule,Vytvorte rozvrh poplatkov
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py,Repeat Customer Revenue,Repeat Customer Příjmy
DocType: Soil Texture,Silty Clay Loam,Silty Clay Loam
DocType: Quiz,Enter 0 to waive limit,"Ak chcete upustiť od limitu, zadajte 0"
DocType: Bank Statement Settings,Mapped Items,Mapované položky
DocType: Amazon MWS Settings,IT,IT
DocType: Chapter,Chapter,kapitola
,Fixed Asset Register,Register fixných aktív
apps/erpnext/erpnext/utilities/user_progress.py,Pair,Pár
DocType: Mode of Payment Account,Default account will be automatically updated in POS Invoice when this mode is selected.,"Predvolený účet sa automaticky aktualizuje v POS faktúre, keď je vybratý tento režim."
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM and Qty for Production,Vyberte BOM a Množstvo na výrobu
DocType: Asset,Depreciation Schedule,plán odpisy
DocType: Bank Reconciliation Detail,Against Account,Proti účet
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Half Day Date should be between From Date and To Date,Half Day Date by mala byť v rozmedzí od dátumu a do dnešného dňa
DocType: Maintenance Schedule Detail,Actual Date,Skutečné datum
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.py,Please set the Default Cost Center in {0} company.,Nastavte štandardné cenové centrum v spoločnosti {0}.
apps/erpnext/erpnext/projects/doctype/project/project.py,Daily Project Summary for {0},Zhrnutie denného projektu za {0}
DocType: Item,Has Batch No,Má číslo šarže
apps/erpnext/erpnext/public/js/utils.js,Annual Billing: {0},Ročný Billing: {0}
DocType: Shopify Webhook Detail,Shopify Webhook Detail,Nakupujte podrobnosti Webhook
apps/erpnext/erpnext/config/accounting.py,Goods and Services Tax (GST India),Daň z tovarov a služieb (GST India)
DocType: Delivery Note,Excise Page Number,Spotřební Číslo stránky
DocType: Asset,Purchase Date,Dátum nákupu
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.js,Could not generate Secret,Tajomstvo sa nepodarilo vytvoriť
DocType: Volunteer,Volunteer Type,Typ dobrovoľníka
DocType: Payment Request,ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-
DocType: Shift Assignment,Shift Type,Typ posunu
DocType: Student,Personal Details,Osobné údaje
apps/erpnext/erpnext/regional/report/electronic_invoice_register/electronic_invoice_register.js,Export E-Invoices,Export elektronických faktúr
apps/erpnext/erpnext/assets/doctype/asset/depreciation.py,Please set 'Asset Depreciation Cost Center' in Company {0},Prosím nastavte &quot;odpisy majetku nákladové stredisko&quot; vo firme {0}
,Maintenance Schedules,Plány údržby
DocType: Pricing Rule,Apply Rule On Brand,Použiť pravidlo na značku
DocType: Task,Actual End Date (via Time Sheet),Skutočný dátum ukončenia (cez Time Sheet)
apps/erpnext/erpnext/projects/doctype/task/task.py,Cannot close task {0} as its dependant task {1} is not closed.,"Úlohu {0} nemožno zavrieť, pretože jej závislá úloha {1} nie je uzavretá."
DocType: Soil Texture,Soil Type,Typ pôdy
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Amount {0} {1} against {2} {3},Množstvo {0} {1} na {2} {3}
,Quotation Trends,Vývoje ponúk
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Item Group not mentioned in item master for item {0},Položková skupina nie je uvedená v hlavnej položke pre  položku {0}
DocType: GoCardless Mandate,GoCardless Mandate,GoCardless Mandate
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Debit To account must be a Receivable account,"Debetní Chcete-li v úvahu, musí být pohledávka účet"
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Select finance book for the item {0} at row {1},Vyberte finančnú knihu pre položku {0} v riadku {1}
DocType: Shipping Rule,Shipping Amount,Prepravovaná čiastka
DocType: Supplier Scorecard Period,Period Score,Skóre obdobia
apps/erpnext/erpnext/public/js/event.js,Add Customers,Pridajte zákazníkov
apps/erpnext/erpnext/accounts/report/delivered_items_to_be_billed/delivered_items_to_be_billed.py,Pending Amount,Čeká Částka
DocType: Lab Test Template,Special,špeciálna
DocType: Loyalty Program,Conversion Factor,Konverzný koeficient
DocType: Purchase Order,Delivered,Dodané
,Vehicle Expenses,Náklady pre autá
DocType: Healthcare Settings,Create Lab Test(s) on Sales Invoice Submit,Vytvorte laboratórne testy na odoslanie faktúry predaja
DocType: Serial No,Invoice Details,Podrobnosti faktúry
apps/erpnext/erpnext/regional/india/utils.py,Salary Structure must be submitted before submission of Tax Ememption Declaration,Štruktúra miezd musí byť predložená pred predložením daňového priznania
DocType: Grant Application,Show on Website,Zobraziť na webovej stránke
apps/erpnext/erpnext/education/doctype/student_admission/templates/student_admission.html,Start on,Začnite zapnuté
DocType: Hub Tracked Item,Hub Category,Kategória Hubu
DocType: Purchase Invoice,SEZ,SEZ
DocType: Purchase Receipt,Vehicle Number,Číslo vozidla
DocType: Loan,Loan Amount,Výška pôžičky
DocType: Student Report Generation Tool,Add Letterhead,Pridať hlavičkový papier
DocType: Program Enrollment,Self-Driving Vehicle,Samohybné vozidlo
DocType: Supplier Scorecard Standing,Supplier Scorecard Standing,Hodnota karty dodávateľa je stála
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,Row {0}: Bill of Materials not found for the Item {1},Riadok {0}: Nomenklatúra nebol nájdený pre výtlačku {1}
DocType: Contract Fulfilment Checklist,Requirement,požiadavka
DocType: Journal Entry,Accounts Receivable,Pohledávky
DocType: Quality Goal,Objectives,ciele
DocType: Travel Itinerary,Meal Preference,Preferencia jedla
,Supplier-Wise Sales Analytics,Dodavatel-Wise Prodej Analytics
apps/erpnext/erpnext/accounts/doctype/subscription_plan/subscription_plan.py,Billing Interval Count cannot be less than 1,Počet intervalov fakturácie nesmie byť menší ako 1
DocType: Purchase Invoice,Availed ITC Central Tax,Využil centrálnu daň ITC
DocType: Sales Invoice,Company Address Name,Názov adresy spoločnosti
DocType: Work Order,Use Multi-Level BOM,Použijte Multi-Level BOM
DocType: Bank Reconciliation,Include Reconciled Entries,Zahrnout odsouhlasené zápisy
apps/erpnext/erpnext/accounts/doctype/bank_transaction/bank_transaction.py,The total allocated amount ({0}) is greated than the paid amount ({1}).,Celková alokovaná čiastka ({0}) je označená ako zaplatená suma ({1}).
DocType: Landed Cost Voucher,Distribute Charges Based On,Distribuovat poplatků na základě
DocType: Projects Settings,Timesheets,Pracovné výkazy
DocType: HR Settings,HR Settings,Nastavení HR
apps/erpnext/erpnext/config/accounting.py,Accounting Masters,Masters účtovníctva
DocType: Salary Slip,net pay info,Čistá mzda info
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,CESS Amount,Čiastka CESS
DocType: Woocommerce Settings,Enable Sync,Povoliť synchronizáciu
DocType: Tax Withholding Rate,Single Transaction Threshold,Jednoduchá transakčná prahová hodnota
DocType: Lab Test Template,This value is updated in the Default Sales Price List.,Táto hodnota sa aktualizuje v Predvolenom zozname cien predaja.
apps/erpnext/erpnext/templates/pages/cart.html,Your cart is Empty,Vaša karta je prázdna
DocType: Email Digest,New Expenses,nové výdavky
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.js,Cannot Optimize Route as Driver Address is Missing.,"Nie je možné optimalizovať trasu, pretože chýba adresa vodiča."
DocType: Shareholder,Shareholder,akcionár
DocType: Purchase Invoice,Additional Discount Amount,Dodatočná zľava Suma
DocType: Cash Flow Mapper,Position,pozície
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Get Items from Prescriptions,Získajte položky z predpisov
DocType: Patient,Patient Details,Podrobnosti o pacientoch
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Nature Of Supplies,Povaha spotrebného materiálu
DocType: Inpatient Record,B Positive,B Pozitívne
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of previous claimed\
			amount",Maximálny prínos zamestnanca {0} presahuje {1} sumou {2} predchádzajúcej nárokovanej sumy
apps/erpnext/erpnext/buying/report/subcontracted_raw_materials_to_be_transferred/subcontracted_raw_materials_to_be_transferred.py,Transferred Quantity,Prevedené množstvo
apps/erpnext/erpnext/controllers/accounts_controller.py,"Row #{0}: Qty must be 1, as item is a fixed asset. Please use separate row for multiple qty.","Riadok # {0}: Množstvo musí byť 1, keď je položka investičného majetku. Prosím použiť samostatný riadok pre viacnásobné Mn."
DocType: Leave Block List Allow,Leave Block List Allow,Nechte Block List Povolit
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbr can not be blank or space,Skrátená nemôže byť prázdne alebo priestor
DocType: Patient Medical Record,Patient Medical Record,Záznam pacienta
DocType: Quality Meeting Agenda,Quality Meeting Agenda,Program rokovania o kvalite
apps/erpnext/erpnext/accounts/doctype/account/account.js,Group to Non-Group,Skupina na Non-Group
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Sports,Sportovní
DocType: Leave Control Panel,Employee (optional),Zamestnanec (voliteľné)
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Material Request {0} submitted.,Žiadosť o materiál {0} bola odoslaná.
DocType: Loan Type,Loan Name,pôžička Name
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py,Total Actual,Celkem Aktuální
DocType: Chart of Accounts Importer,Chart Preview,Ukážka grafu
DocType: Attendance,Shift,smena
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.py,Enter API key in Google Settings.,Zadajte kľúč rozhrania API v Nastaveniach Google.
apps/erpnext/erpnext/accounts/doctype/exchange_rate_revaluation/exchange_rate_revaluation.js,Create Journal Entry,Vytvoriť zápis do denníka
DocType: Student Siblings,Student Siblings,študentské Súrodenci
DocType: Subscription Plan Detail,Subscription Plan Detail,Podrobný popis predplatného
DocType: Quality Objective,Unit,Jednotka
apps/erpnext/erpnext/stock/get_item_details.py,Please specify Company,"Uveďte prosím, firmu"
,Customer Acquisition and Loyalty,Zákazník Akvizice a loajality
DocType: Issue,Response By Variance,Odpoveď podľa odchýlky
DocType: Asset Maintenance Task,Maintenance Task,Úloha údržby
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.py,Please set B2C Limit in GST Settings.,V nastavení GST nastavte limit B2C.
DocType: Marketplace Settings,Marketplace Settings,Nastavenia trhov
DocType: Purchase Invoice,Warehouse where you are maintaining stock of rejected items,"Sklad, kde se udržují zásoby odmítnutých položek"
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Publish {0} Items,Zverejniť {0} položiek
apps/erpnext/erpnext/setup/utils.py,Unable to find exchange rate for {0} to {1} for key date {2}. Please create a Currency Exchange record manually,Nepodarilo sa nájsť kurz {0} až {1} pre kľúčový dátum {2}. Ručne vytvorte záznam o menovej karte
DocType: POS Profile,Price List,Cenník
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,{0} is now the default Fiscal Year. Please refresh your browser for the change to take effect.,"{0} je teraz predvolený Fiškálny rok. Prosím aktualizujte svoj prehliadač, aby sa prejavili zmeny."
apps/erpnext/erpnext/projects/doctype/task/task.js,Expense Claims,Nákladové Pohľadávky
DocType: Issue,Support,Podpora
DocType: Employee Tax Exemption Declaration,Total Exemption Amount,Celková suma oslobodenia od dane
DocType: Content Question,Question Link,Odkaz na otázku
,BOM Search,BOM Search
DocType: Accounting Dimension Detail,Mandatory For Balance Sheet,Povinné pre súvahu
DocType: Project,Total Consumed Material Cost  (via Stock Entry),Celková spotreba materiálových nákladov (prostredníctvom vkladu)
DocType: Subscription,Subscription Period,Obdobie upisovania
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.js,To Date cannot be less than From Date,Dátumu nemôže byť menšia ako od dátumu
,Delayed Order Report,Správa o oneskorení objednávky
DocType: Item,"Publish ""In Stock"" or ""Not in Stock"" on Hub based on stock available in this warehouse.",Zverejnite na sklade &quot;Na sklade&quot; alebo &quot;Nie je na sklade&quot; na základe dostupných zásob v tomto sklade.
DocType: Vehicle,Fuel Type,Druh paliva
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Please specify currency in Company,"Uveďte prosím měnu, ve společnosti"
DocType: Workstation,Wages per hour,Mzda za hodinu
apps/erpnext/erpnext/templates/generators/item/item_configure.js,Configure {0},Konfigurovať {0}
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Customer &gt; Customer Group &gt; Territory,Zákazník&gt; Skupina zákazníkov&gt; Územie
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py,Stock balance in Batch {0} will become negative {1} for Item {2} at Warehouse {3},Sklad bilance v dávce {0} se zhorší {1} k bodu {2} ve skladu {3}
apps/erpnext/erpnext/templates/emails/reorder_item.html,Following Material Requests have been raised automatically based on Item's re-order level,Nasledujúci materiál žiadosti boli automaticky zvýšená na základe úrovni re-poradie položky
apps/erpnext/erpnext/controllers/accounts_controller.py,Account {0} is invalid. Account Currency must be {1},Účet {0} je neplatná. Mena účtu musí byť {1}
apps/erpnext/erpnext/hr/doctype/salary_structure_assignment/salary_structure_assignment.py,From Date {0} cannot be after employee's relieving Date {1},Od dátumu {0} nemôže byť po uvoľnení zamestnanca Dátum {1}
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js,Create Payment Entries,Vytvorte platobné položky
DocType: Supplier,Is Internal Supplier,Je interný dodávateľ
DocType: Employee,Create User Permission,Vytvoriť povolenie používateľa
DocType: Employee Benefit Claim,Employee Benefit Claim,Požiadavka na zamestnanecké požitky
DocType: Healthcare Settings,Remind Before,Pripomenúť predtým
apps/erpnext/erpnext/buying/utils.py,UOM Conversion factor is required in row {0},UOM Konverzní faktor je nutné v řadě {0}
DocType: Production Plan Item,material_request_item,material_request_item
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,"Row #{0}: Reference Document Type must be one of Sales Order, Sales Invoice or Journal Entry","Riadok # {0}: Reference Document Type musí byť jedným zo zákazky odberateľa, predajné faktúry alebo Journal Entry"
DocType: Loyalty Program,1 Loyalty Points = How much base currency?,1 Vernostné body = Koľko základnej meny?
DocType: Salary Component,Deduction,Dedukce
DocType: Item,Retain Sample,Zachovať ukážku
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Row {0}: From Time and To Time is mandatory.,Riadok {0}: From Time a na čas je povinná.
DocType: Stock Reconciliation Item,Amount Difference,vyššie Rozdiel
apps/erpnext/erpnext/public/js/hub/pages/Buying.vue,This page keeps track of items you want to buy from sellers.,"Táto stránka sleduje položky, ktoré chcete kúpiť od predajcov."
apps/erpnext/erpnext/stock/get_item_details.py,Item Price added for {0} in Price List {1},Položka Cena pridaný pre {0} v Cenníku {1}
DocType: Delivery Stop,Order Information,informacie o objednavke
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person_tree.js,Please enter Employee Id of this sales person,"Prosím, zadajte ID zamestnanca z tohto predaja osoby"
DocType: Territory,Classification of Customers by region,Rozdělení zákazníků podle krajů
apps/erpnext/erpnext/stock/report/item_variant_details/item_variant_details.py,In Production,Vo výrobe
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Difference Amount must be zero,Rozdiel Suma musí byť nula
DocType: Project,Gross Margin,Hrubá marža
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,{0} applicable after {1} working days,{0} uplatniteľné po {1} pracovných dňoch
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Please enter Production Item first,"Prosím, zadejte první výrobní položku"
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py,Calculated Bank Statement balance,Vypočítaná výpis z bankového účtu zostatok
DocType: Normal Test Template,Normal Test Template,Normálna šablóna testu
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.js,disabled user,zakázané uživatelské
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Quotation,Ponuka
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Cannot set a received RFQ to No Quote,Nie je možné nastaviť prijatú RFQ na žiadnu ponuku
DocType: Salary Slip,Total Deduction,Celkem Odpočet
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Select an account to print in account currency,"Vyberte účet, ktorý chcete vytlačiť v mene účtu"
DocType: BOM,Transfer Material Against,Preneste materiál proti
,Production Analytics,Analýza výroby
apps/erpnext/erpnext/healthcare/doctype/patient/patient_dashboard.py,This is based on transactions against this Patient. See timeline below for details,Toto je založené na transakciách proti tomuto pacientovi. Viac informácií nájdete v nasledujúcej časovej osi
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.py,Loan Start Date and Loan Period are mandatory to save the Invoice Discounting,Dátum začatia pôžičky a obdobie pôžičky sú povinné na uloženie diskontovania faktúry
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Cost Updated,Náklady aktualizované
apps/erpnext/erpnext/regional/india/utils.py,Vehicle Type is required if Mode of Transport is Road,"Ak je spôsob dopravy cestný, vyžaduje sa typ vozidla"
DocType: Inpatient Record,Date of Birth,Dátum narodenia
DocType: Quality Action,Resolutions,rezolúcia
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Item {0} has already been returned,Bod {0} již byla vrácena
DocType: Fiscal Year,**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Fiškálny rok ** predstavuje finančný rok. Všetky účtovné záznamy a ďalšie významné transakcie sú sledované pod ** Fiškálny rok **.
DocType: Opportunity,Customer / Lead Address,Adresa zákazníka/obchodnej iniciatívy
DocType: Supplier Scorecard Period,Supplier Scorecard Setup,Nastavenie tabuľky dodávateľov
DocType: Customer Credit Limit,Customer Credit Limit,Kreditný limit zákazníka
apps/erpnext/erpnext/education/report/assessment_plan_status/assessment_plan_status.py,Assessment Plan Name,Názov plánu hodnotenia
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year_dashboard.py,Target Details,Podrobnosti o cieli
apps/erpnext/erpnext/regional/italy/setup.py,"Applicable if the company is SpA, SApA or SRL","Uplatniteľné, ak je spoločnosť SpA, SApA alebo SRL"
DocType: Work Order Operation,Work Order Operation,Obsluha pracovnej objednávky
apps/erpnext/erpnext/stock/doctype/item/item.py,Warning: Invalid SSL certificate on attachment {0},Varovanie: Neplatný certifikát SSL na prílohu {0}
