DocType: Accounting Period,Period Name,Periodo pavadinimas
apps/erpnext/erpnext/config/buying.py,Tree of Item Groups.,Medis punktas grupes.
DocType: Production Plan,Total Produced Qty,Bendras pagamintas kiekis
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,No reviews yet,Nėra atsiliepimų dar
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Cannot refer row number greater than or equal to current row number for this Charge type,Negali remtis eilutės skaičius didesnis nei arba lygus dabartinės eilutės numeris Šio mokesčio tipą
DocType: Asset,Sold,parduota
,Item-wise Purchase History,Prekė išmintingas pirkimas Istorija
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please click on 'Generate Schedule' to fetch Serial No added for Item {0},Prašome spausti &quot;Generuoti grafiką&quot; parsiųsti Serijos Nr pridėta punkte {0}
DocType: Account,Frozen,užšalęs
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Vehicle Type,Transporto priemonės tipas
DocType: Sales Invoice Payment,Base Amount (Company Currency),Bazinė suma (Įmonės valiuta)
DocType: Purchase Invoice,Registered Regular,Registruotas įprastas
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Raw Materials,Žaliavos
DocType: Payment Reconciliation Payment,Reference Row,nuoroda eilutė
DocType: Installation Note,Installation Time,montavimo laikas
DocType: Sales Invoice,Accounting Details,apskaitos informacija
DocType: Shopify Settings,status html,būsena html
apps/erpnext/erpnext/setup/doctype/company/company.js,Delete all the Transactions for this Company,Ištrinti visus sandorių šiai bendrovei
DocType: Designation,Required Skills,Reikalingi įgūdžiai
DocType: Inpatient Record,O Positive,O teigiamas
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Investments,investicijos
DocType: Issue,Resolution Details,geba detalės
DocType: Leave Ledger Entry,Transaction Type,Sandorio tipas
DocType: Item Quality Inspection Parameter,Acceptance Criteria,priimtinumo kriterijai
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,Please enter Material Requests in the above table,Prašome įvesti Materialieji prašymus pirmiau pateiktoje lentelėje
apps/erpnext/erpnext/hr/doctype/loan/loan.py,No repayments available for Journal Entry,Negalima grąžinti žurnalo įrašo
DocType: Hub Tracked Item,Image List,Vaizdų sąrašas
DocType: Item Attribute,Attribute Name,atributo pavadinimas
DocType: Subscription,Generate Invoice At Beginning Of Period,Sukurkite sąskaitą pradžioje
DocType: BOM,Show In Website,Rodyti svetainė
DocType: Loan Application,Total Payable Amount,Iš viso mokėtina suma
DocType: Task,Expected Time (in hours),Numatomas laikas (valandomis)
DocType: Item Reorder,Check in (group),Atvykimas (grupė)
DocType: Soil Texture,Silt,Silt
,Qty to Order,Kiekis užsisakyti
DocType: Period Closing Voucher,"The account head under Liability or Equity, in which Profit/Loss will be booked","Sąskaitos galva pagal įsipareigojimą arba nuosavybės, kurioje Pelnas / nuostolis bus nubaustas"
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},Kitas biudžetinis įrašas „{0}“ jau egzistuoja {1} „{2}“ ir sąskaita „{3}“ už {4} fiskalinius metus
apps/erpnext/erpnext/config/projects.py,Gantt chart of all tasks.,Ganto diagrama visų užduočių.
DocType: Opportunity,Mins to First Response,Min First Response
DocType: Pricing Rule,Margin Type,marža tipas
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,{0} hours,{0} valandos
DocType: Course,Default Grading Scale,Numatytasis vertinimo skalė
DocType: Appraisal,For Employee Name,Darbuotojo Vardas
DocType: Holiday List,Clear Table,Išvalyti lentelė
DocType: Woocommerce Settings,Tax Account,Mokesčių sąskaita
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Available slots,Galimos laiko tarpsniai
DocType: C-Form Invoice Detail,Invoice No,sąskaitoje Nr
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Make Payment,Sumokėti
DocType: Room,Room Name,Kambarių Vardas
DocType: Prescription Duration,Prescription Duration,Recepto trukmė
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Palikite negali būti taikomas / atšaukė prieš {0}, kaip atostogos balansas jau perkėlimo persiunčiami būsimos atostogos paskirstymo įrašo {1}"
DocType: Activity Cost,Costing Rate,Sąnaudų norma
apps/erpnext/erpnext/config/selling.py,Customer Addresses And Contacts,Klientų Adresai ir kontaktai
DocType: Homepage Section,Section Cards,Skyriaus kortelės
,Campaign Efficiency,Kampanijos efektyvumas
,Campaign Efficiency,Kampanijos efektyvumas
DocType: Discussion,Discussion,Diskusija
apps/erpnext/erpnext/setup/default_energy_point_rules.py,On Sales Order Submission,Pateikus pardavimo užsakymą
DocType: Bank Transaction,Transaction ID,sandorio ID
DocType: Payroll Entry,Deduct Tax For Unsubmitted Tax Exemption Proof,Išskyrus mokesčius už neapmokestinamojo mokesčio išimties įrodymą
DocType: Volunteer,Anytime,Anytime
DocType: Bank Account,Bank Account No,Banko sąskaita Nr
DocType: Employee Tax Exemption Proof Submission,Employee Tax Exemption Proof Submission,Darbuotojų atleidimo nuo mokesčio įrodymas pateikimas
DocType: Patient,Surgical History,Chirurginė istorija
DocType: Bank Statement Settings Item,Mapped Header,Mape Header
DocType: Employee,Resignation Letter Date,Atsistatydinimas raštas data
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Pricing Rules are further filtered based on quantity.,Kainodaros taisyklės yra toliau filtruojamas remiantis kiekį.
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Please set the Date Of Joining for employee {0},Prašome nustatykite data Prisijungimas darbuotojo {0}
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Please set the Date Of Joining for employee {0},Prašome nustatykite data Prisijungimas darbuotojo {0}
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Please enter Difference Account,Įveskite skirtumų sąskaitą
DocType: Inpatient Record,Discharge,Išleidimas
DocType: Task,Total Billing Amount (via Time Sheet),Iš viso Atsiskaitymo suma (per Time lapas)
apps/erpnext/erpnext/education/doctype/fee_structure/fee_structure.js,Create Fee Schedule,Susikurkite mokesčių grafiką
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py,Repeat Customer Revenue,Pakartokite Klientų pajamos
DocType: Soil Texture,Silty Clay Loam,Šilkmedžio sluoksnis
DocType: Quiz,Enter 0 to waive limit,"Įveskite 0, jei norite atsisakyti limito"
DocType: Bank Statement Settings,Mapped Items,Priskirti elementai
DocType: Amazon MWS Settings,IT,IT
DocType: Chapter,Chapter,Skyrius
,Fixed Asset Register,Ilgalaikio turto registras
apps/erpnext/erpnext/utilities/user_progress.py,Pair,Pora
DocType: Mode of Payment Account,Default account will be automatically updated in POS Invoice when this mode is selected.,"Numatytoji paskyra bus automatiškai atnaujinama POS sąskaitoje, kai bus pasirinktas šis režimas."
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select BOM and Qty for Production,Pasirinkite BOM ir Kiekis dėl gamybos
DocType: Asset,Depreciation Schedule,Nusidėvėjimas Tvarkaraštis
DocType: Bank Reconciliation Detail,Against Account,prieš sąskaita
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Half Day Date should be between From Date and To Date,Pusė dienos data turi būti tarp Nuo datos ir iki šiol
DocType: Maintenance Schedule Detail,Actual Date,Tikrasis data
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.py,Please set the Default Cost Center in {0} company.,Nustatykite &quot;Numatytųjų kainų centro&quot; skaičių {0} kompanijoje.
apps/erpnext/erpnext/projects/doctype/project/project.py,Daily Project Summary for {0},Dienos {0} projekto suvestinė
DocType: Item,Has Batch No,Turi Serijos Nr
apps/erpnext/erpnext/public/js/utils.js,Annual Billing: {0},Metinė Atsiskaitymo: {0}
DocType: Shopify Webhook Detail,Shopify Webhook Detail,Shopify &quot;Webhook&quot; Išsamiau
apps/erpnext/erpnext/config/accounting.py,Goods and Services Tax (GST India),Prekių ir paslaugų mokesčio (PVM Indija)
DocType: Delivery Note,Excise Page Number,Akcizo puslapio numeris
DocType: Asset,Purchase Date,Pirkimo data
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.js,Could not generate Secret,Negaliu generuoti paslapties
DocType: Volunteer,Volunteer Type,Savanorio tipas
DocType: Payment Request,ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-
DocType: Shift Assignment,Shift Type,Shift tipo
DocType: Student,Personal Details,Asmeninės detalės
apps/erpnext/erpnext/regional/report/electronic_invoice_register/electronic_invoice_register.js,Export E-Invoices,Eksportuoti elektronines sąskaitas
apps/erpnext/erpnext/assets/doctype/asset/depreciation.py,Please set 'Asset Depreciation Cost Center' in Company {0},Prašome nustatyti &quot;turto nusidėvėjimo sąnaudų centro&quot; įmonėje {0}
,Maintenance Schedules,priežiūros Tvarkaraščiai
DocType: Pricing Rule,Apply Rule On Brand,Taikyti prekės ženklo taisyklę
DocType: Task,Actual End Date (via Time Sheet),Tikrasis Pabaigos data (per Time lapas)
apps/erpnext/erpnext/projects/doctype/task/task.py,Cannot close task {0} as its dependant task {1} is not closed.,"Neįmanoma uždaryti {0} užduoties, nes nuo jos priklausoma užduotis {1} nėra uždaryta."
DocType: Soil Texture,Soil Type,Dirvožemio tipas
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Amount {0} {1} against {2} {3},Suma {0} {1} prieš {2} {3}
,Quotation Trends,Kainų tendencijos
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Item Group not mentioned in item master for item {0},Prekė Grupė nepaminėta prekės šeimininkui už prekę {0}
DocType: GoCardless Mandate,GoCardless Mandate,GoCardless įgaliojimas
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Debit To account must be a Receivable account,Debeto sąskaitą turi būti Gautinos sąskaitos
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Select finance book for the item {0} at row {1},Pasirinkite {0} eilutės {1} finansinę knygą
DocType: Shipping Rule,Shipping Amount,Pristatymas suma
DocType: Supplier Scorecard Period,Period Score,Laikotarpio balas
apps/erpnext/erpnext/public/js/event.js,Add Customers,Pridėti klientams
apps/erpnext/erpnext/accounts/report/delivered_items_to_be_billed/delivered_items_to_be_billed.py,Pending Amount,kol suma
DocType: Lab Test Template,Special,Specialus
DocType: Loyalty Program,Conversion Factor,konversijos koeficientas
DocType: Purchase Order,Delivered,Pristatyta
,Vehicle Expenses,Transporto išlaidos
DocType: Healthcare Settings,Create Lab Test(s) on Sales Invoice Submit,Sukurkite laboratorijos testą (-us) dėl pardavimo sąskaitų pateikimo
DocType: Serial No,Invoice Details,informacija apie sąskaitą
apps/erpnext/erpnext/regional/india/utils.py,Salary Structure must be submitted before submission of Tax Ememption Declaration,Atlyginimo struktūra turi būti pateikta prieš pateikiant mokesčių pašalinimo deklaraciją
DocType: Grant Application,Show on Website,Rodyti svetainėje
apps/erpnext/erpnext/education/doctype/student_admission/templates/student_admission.html,Start on,Pradėk nuo
DocType: Hub Tracked Item,Hub Category,Hub kategorija
DocType: Purchase Invoice,SEZ,SEZ
DocType: Purchase Receipt,Vehicle Number,Automobilio numeris
DocType: Loan,Loan Amount,Paskolos suma
DocType: Student Report Generation Tool,Add Letterhead,Pridėti burtinę
DocType: Program Enrollment,Self-Driving Vehicle,Savęs Vairavimas automobiliai
DocType: Supplier Scorecard Standing,Supplier Scorecard Standing,Tiekėjo rezultatų lentelė nuolatinė
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,Row {0}: Bill of Materials not found for the Item {1},Eilutė {0}: bilis medžiagas prekė nerasta {1}
DocType: Contract Fulfilment Checklist,Requirement,Reikalavimas
DocType: Journal Entry,Accounts Receivable,gautinos
DocType: Quality Goal,Objectives,Tikslai
DocType: Travel Itinerary,Meal Preference,Maitinimosi pirmenybė
,Supplier-Wise Sales Analytics,Tiekėjas išmintingas Pardavimų Analytics &quot;
apps/erpnext/erpnext/accounts/doctype/subscription_plan/subscription_plan.py,Billing Interval Count cannot be less than 1,Atsiskaitymo intervalo skaičius negali būti mažesnis nei 1
DocType: Purchase Invoice,Availed ITC Central Tax,Pasinaudojo ITC centriniu mokesčiu
DocType: Sales Invoice,Company Address Name,Įmonės Adresas Pavadinimas
DocType: Work Order,Use Multi-Level BOM,Naudokite Multi-level BOM
DocType: Bank Reconciliation,Include Reconciled Entries,Įtraukti susitaikė įrašai
apps/erpnext/erpnext/accounts/doctype/bank_transaction/bank_transaction.py,The total allocated amount ({0}) is greated than the paid amount ({1}).,Visa paskirta suma ({0}) yra didesnė nei sumokėta suma ({1}).
DocType: Landed Cost Voucher,Distribute Charges Based On,Paskirstykite Mokesčiai remiantis
DocType: Projects Settings,Timesheets,laiko apskaitos žiniaraščiai
DocType: HR Settings,HR Settings,HR Nustatymai
apps/erpnext/erpnext/config/accounting.py,Accounting Masters,Apskaitos meistrai
DocType: Salary Slip,net pay info,neto darbo užmokestis informacijos
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,CESS Amount,CESS suma
DocType: Woocommerce Settings,Enable Sync,Įgalinti sinchronizavimą
DocType: Tax Withholding Rate,Single Transaction Threshold,Vieno sandorio slenkstis
DocType: Lab Test Template,This value is updated in the Default Sales Price List.,Ši vertė yra atnaujinta pagal numatytą pardavimo kainoraštį.
apps/erpnext/erpnext/templates/pages/cart.html,Your cart is Empty,Jūsų krepšelis tuščias
DocType: Email Digest,New Expenses,Nauja išlaidos
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.js,Cannot Optimize Route as Driver Address is Missing.,"Neįmanoma optimizuoti maršruto, nes trūksta vairuotojo adreso."
DocType: Shareholder,Shareholder,Akcininkas
DocType: Purchase Invoice,Additional Discount Amount,Papildoma Nuolaida suma
DocType: Cash Flow Mapper,Position,Pozicija
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Get Items from Prescriptions,Gauti daiktus iš receptų
DocType: Patient,Patient Details,Paciento duomenys
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Nature Of Supplies,Tiekimo pobūdis
DocType: Inpatient Record,B Positive,B teigiamas
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,"Maximum benefit of employee {0} exceeds {1} by the sum {2} of previous claimed\
			amount",Maksimali nauda darbuotojui {0} viršija {1} ankstesnės sumos {2} suma
apps/erpnext/erpnext/buying/report/subcontracted_raw_materials_to_be_transferred/subcontracted_raw_materials_to_be_transferred.py,Transferred Quantity,Perduotas kiekis
apps/erpnext/erpnext/controllers/accounts_controller.py,"Row #{0}: Qty must be 1, as item is a fixed asset. Please use separate row for multiple qty.","Eilutės # {0}: Kiekis turi būti 1, kaip elementas yra ilgalaikio turto. Prašome naudoti atskirą eilutę daugkartiniam vnt."
DocType: Leave Block List Allow,Leave Block List Allow,Palikite Blokuoti sąrašas Leisti
apps/erpnext/erpnext/setup/doctype/company/company.py,Abbr can not be blank or space,Santrumpos reikšmė negali būti tuščia arba tarpas
DocType: Patient Medical Record,Patient Medical Record,Paciento medicinos ataskaita
DocType: Quality Meeting Agenda,Quality Meeting Agenda,Kokybės susitikimo darbotvarkė
apps/erpnext/erpnext/accounts/doctype/account/account.js,Group to Non-Group,Grupė ne grupės
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Sports,sporto
DocType: Leave Control Panel,Employee (optional),Darbuotojas (neprivaloma)
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Material Request {0} submitted.,Medžiagos užklausa {0} pateikta.
DocType: Loan Type,Loan Name,paskolos Vardas
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py,Total Actual,Iš viso Tikrasis
DocType: Chart of Accounts Importer,Chart Preview,Diagramos peržiūra
DocType: Attendance,Shift,Pamaina
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.py,Enter API key in Google Settings.,Įveskite API raktą „Google“ nustatymuose.
apps/erpnext/erpnext/accounts/doctype/exchange_rate_revaluation/exchange_rate_revaluation.js,Create Journal Entry,Sukurkite žurnalo įrašą
DocType: Student Siblings,Student Siblings,studentų seserys
DocType: Subscription Plan Detail,Subscription Plan Detail,Išsami prenumeratos plano informacija
DocType: Quality Objective,Unit,vienetas
apps/erpnext/erpnext/stock/get_item_details.py,Please specify Company,Prašome nurodyti Company
,Customer Acquisition and Loyalty,Klientų įsigijimas ir lojalumo
DocType: Issue,Response By Variance,Atsakymas pagal dispersiją
DocType: Asset Maintenance Task,Maintenance Task,Techninės priežiūros užduotis
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.py,Please set B2C Limit in GST Settings.,Nustatykite B2C limitus GST nustatymuose.
DocType: Marketplace Settings,Marketplace Settings,Marketplace Settings
DocType: Purchase Invoice,Warehouse where you are maintaining stock of rejected items,"Sandėlis, kuriame jūs išlaikyti atsargų atmestų daiktų"
apps/erpnext/erpnext/public/js/hub/pages/Publish.vue,Publish {0} Items,Skelbti {0} elementus
apps/erpnext/erpnext/setup/utils.py,Unable to find exchange rate for {0} to {1} for key date {2}. Please create a Currency Exchange record manually,"Negali rasti keitimo kursą {0}, kad {1} rakto dienos {2}. Prašome sukurti valiutos keitykla įrašą rankiniu būdu"
DocType: POS Profile,Price List,Kainoraštis
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,{0} is now the default Fiscal Year. Please refresh your browser for the change to take effect.,{0} dabar numatytasis finansinius metus. Prašome atnaujinti savo naršyklę pakeitimas įsigaliotų.
apps/erpnext/erpnext/projects/doctype/task/task.js,Expense Claims,Išlaidų Pretenzijos
DocType: Issue,Support,parama
DocType: Employee Tax Exemption Declaration,Total Exemption Amount,Visa išimties suma
DocType: Content Question,Question Link,Klausimo nuoroda
,BOM Search,BOM Paieška
DocType: Accounting Dimension Detail,Mandatory For Balance Sheet,Privaloma balanso lapui
DocType: Project,Total Consumed Material Cost  (via Stock Entry),Iš viso sunaudotų medžiagų kaina (per sandėlius)
DocType: Subscription,Subscription Period,Prenumeratos laikotarpis
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.js,To Date cannot be less than From Date,Iki data negali būti mažesnis nei nuo datos
,Delayed Order Report,Pavėluota užsakymo ataskaita
DocType: Item,"Publish ""In Stock"" or ""Not in Stock"" on Hub based on stock available in this warehouse.","Paskelbkite &quot;Sandėliuoju&quot; arba &quot;Nėra sandelyje&quot; centre, priklausomai nuo sandėlyje esančių atsargų."
DocType: Vehicle,Fuel Type,degalų tipas
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Please specify currency in Company,Prašome nurodyti valiutą Company
DocType: Workstation,Wages per hour,Darbo užmokestis per valandą
apps/erpnext/erpnext/templates/generators/item/item_configure.js,Configure {0},Konfigūruoti {0}
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Customer &gt; Customer Group &gt; Territory,Klientas&gt; Klientų grupė&gt; Teritorija
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py,Stock balance in Batch {0} will become negative {1} for Item {2} at Warehouse {3},Akcijų balansas Serija {0} taps neigiamas {1} už prekę {2} į sandėlį {3}
apps/erpnext/erpnext/templates/emails/reorder_item.html,Following Material Requests have been raised automatically based on Item's re-order level,Šios medžiagos prašymai buvo iškeltas automatiškai pagal elemento naujo užsakymo lygio
apps/erpnext/erpnext/controllers/accounts_controller.py,Account {0} is invalid. Account Currency must be {1},Sąskaita {0} yra neteisinga. Sąskaitos valiuta turi būti {1}
apps/erpnext/erpnext/hr/doctype/salary_structure_assignment/salary_structure_assignment.py,From Date {0} cannot be after employee's relieving Date {1},Nuo datos {0} negali būti po darbuotojo atleidimo data {1}
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js,Create Payment Entries,Sukurkite mokėjimo įrašus
DocType: Supplier,Is Internal Supplier,Ar yra vidinis tiekėjas
DocType: Employee,Create User Permission,Sukurti vartotojo leidimą
DocType: Employee Benefit Claim,Employee Benefit Claim,Darbuotojų išmokų reikalavimas
DocType: Healthcare Settings,Remind Before,Prisiminti anksčiau
apps/erpnext/erpnext/buying/utils.py,UOM Conversion factor is required in row {0},UOM Konversijos koeficientas yra reikalaujama iš eilės {0}
DocType: Production Plan Item,material_request_item,material_request_item
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,"Row #{0}: Reference Document Type must be one of Sales Order, Sales Invoice or Journal Entry","Eilutės # {0}: Informacinis dokumentas tipas turi būti vienas iš pardavimų užsakymų, pardavimo sąskaitoje-faktūroje ar žurnalo įrašą"
DocType: Loyalty Program,1 Loyalty Points = How much base currency?,1 lojalumo taškai = kiek pagrindinės valiutos?
DocType: Salary Component,Deduction,Atskaita
DocType: Item,Retain Sample,Išsaugoti pavyzdį
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Row {0}: From Time and To Time is mandatory.,Eilutės {0}: Nuo Laikas ir laiko yra privalomas.
DocType: Stock Reconciliation Item,Amount Difference,suma skirtumas
apps/erpnext/erpnext/public/js/hub/pages/Buying.vue,This page keeps track of items you want to buy from sellers.,"Šiame puslapyje saugomos prekės, kurias norite nusipirkti iš pardavėjų."
apps/erpnext/erpnext/stock/get_item_details.py,Item Price added for {0} in Price List {1},Prekė Kaina pridėta {0} kainoraštis {1}
DocType: Delivery Stop,Order Information,Užsakymo informacija
apps/erpnext/erpnext/setup/doctype/sales_person/sales_person_tree.js,Please enter Employee Id of this sales person,Prašome įvesti darbuotojo ID Šio pardavimo asmuo
DocType: Territory,Classification of Customers by region,Klasifikacija klientams regione
apps/erpnext/erpnext/stock/report/item_variant_details/item_variant_details.py,In Production,Gamyboje
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Difference Amount must be zero,Skirtumas suma turi būti lygi nuliui
DocType: Project,Gross Margin,bendroji marža
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,{0} applicable after {1} working days,{0} taikomas po {1} darbo dienų
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Please enter Production Item first,Prašome įvesti Gamybos Elementą pirmas
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py,Calculated Bank Statement balance,Apskaičiuota bankas pareiškimas balansas
DocType: Normal Test Template,Normal Test Template,Normalioji bandymo šablonas
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.js,disabled user,neįgaliesiems vartotojas
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Quotation,Pasiūlymas
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Cannot set a received RFQ to No Quote,Negalima nustatyti gauta RFQ jokiai citata
DocType: Salary Slip,Total Deduction,Iš viso išskaičiavimas
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Select an account to print in account currency,"Pasirinkite paskyrą, kurią norite spausdinti paskyros valiuta"
DocType: BOM,Transfer Material Against,Perduoti medžiagą prieš
,Production Analytics,gamybos Analytics &quot;
apps/erpnext/erpnext/healthcare/doctype/patient/patient_dashboard.py,This is based on transactions against this Patient. See timeline below for details,Tai pagrįsta operacijomis su šiuo pacientu. Išsamiau žr. Toliau pateiktą laiko juostą
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.py,Loan Start Date and Loan Period are mandatory to save the Invoice Discounting,"Paskyros pradžios data ir paskolos laikotarpis yra privalomi, norint išsaugoti sąskaitos faktūros nuolaidą"
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Cost Updated,kaina Atnaujinta
apps/erpnext/erpnext/regional/india/utils.py,Vehicle Type is required if Mode of Transport is Road,"Transporto priemonės tipas yra būtinas, jei transporto rūšis yra kelias"
DocType: Inpatient Record,Date of Birth,Gimimo data
DocType: Quality Action,Resolutions,Rezoliucijos
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Item {0} has already been returned,Prekė {0} jau buvo grąžinta
DocType: Fiscal Year,**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Finansiniai metai ** reiškia finansinius metus. Visi apskaitos įrašai ir kiti pagrindiniai sandoriai yra stebimi nuo ** finansiniams metams **.
DocType: Opportunity,Customer / Lead Address,Klientas / Švino Adresas
DocType: Supplier Scorecard Period,Supplier Scorecard Setup,Tiekėjo rezultatų kortelės sąranka
DocType: Customer Credit Limit,Customer Credit Limit,Kliento kredito limitas
apps/erpnext/erpnext/education/report/assessment_plan_status/assessment_plan_status.py,Assessment Plan Name,Vertinimo plano pavadinimas
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year_dashboard.py,Target Details,Tikslinė informacija
apps/erpnext/erpnext/regional/italy/setup.py,"Applicable if the company is SpA, SApA or SRL","Taikoma, jei įmonė yra SpA, SApA ar SRL"
DocType: Work Order Operation,Work Order Operation,Darbų užsakymo operacija
apps/erpnext/erpnext/stock/doctype/item/item.py,Warning: Invalid SSL certificate on attachment {0},Įspėjimas: Neteisingas SSL sertifikatas nuo prisirišimo {0}
apps/erpnext/erpnext/regional/italy/setup.py,Set this if the customer is a Public Administration company.,"Nustatykite tai, jei klientas yra viešojo administravimo įmonė."
apps/erpnext/erpnext/utilities/activation.py,"Leads help you get business, add all your contacts and more as your leads","Laidai padėti jums gauti verslo, pridėti visus savo kontaktus ir daugiau kaip jūsų laidų"
DocType: Work Order Operation,Actual Operation Time,Tikrasis veikimo laikas
DocType: Authorization Rule,Applicable To (User),Taikoma (Vartotojas)
DocType: Purchase Taxes and Charges,Deduct,atskaityti
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Job Description,Darbo aprašymas
DocType: Student Applicant,Applied,taikomas
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Details of Outward Supplies and inward supplies liable to reverse charge,"Informacija apie išorinius ir vidinius tiekiamus produktus, kurie gali būti apmokestinti atvirkščiai"
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Re-open,Iš naujo atidarykite
DocType: Sales Invoice Item,Qty as per Stock UOM,Kiekis pagal vertybinių popierių UOM
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian2 Name,Guardian2 Vardas
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,Root Company,Šaknų įmonė
DocType: Attendance,Attendance Request,Dalyvavimo užklausa
DocType: Purchase Invoice,02-Post Sale Discount,02-pardavimo nuolaida
DocType: Campaign,"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment.","Sekite pardavimo kampanijų. Sekite veda, citatos, pardavimų užsakymų ir tt iš kampanijų įvertinti investicijų grąžą."
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.py,You can't redeem Loyalty Points having more value than the Grand Total.,"Jūs negalite išpirkti lojalumo taškų, kurių vertė yra didesnė nei Didžioji suma."
DocType: Department Approver,Approver,Tvirtintojas
apps/erpnext/erpnext/selling/report/pending_so_items_for_purchase_request/pending_so_items_for_purchase_request.py,SO Qty,SO Kiekis
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field To Shareholder cannot be blank,Laukas &quot;Akcininkas&quot; negali būti tuščias
DocType: Guardian,Work Address,Darbovietės adresas
DocType: Appraisal,Calculate Total Score,Apskaičiuokite bendras rezultatas
DocType: Employee,Health Insurance,Sveikatos draudimas
