Pension Funds,Mirovinski fondovi
All Contacts.,Svi kontakti.
Used Leaves,Korišteni listovi
The field From Shareholder cannot be blank,Polje Od dioničara ne može biti prazno
Brand Defaults,Zadane postavke robne marke
Depends on Tasks,Ovisi o zadacima
Healthcare Settings,Postavke zdravstvene zaštite
{0} Student Groups created.,{0} Stvorene su studentske grupe.
Register,Registrirajte se
"This warehouse will be used to create Sale Orders. The fallback warehouse is ""Stores"".",Ovo skladište će se koristiti za izradu Narudžbi prodaje. Skladište za pohranu je &quot;Trgovine&quot;.
Oil Change,Zamjena ulja
Project User,Korisnik projekta
Assessment,procjena
Price Discount Slabs,Ploče s popustom za cijene
New Customers,Novi kupci
Total Expense Claim (via Expense Claims),Ukupno potraživanje troškova (putem potraživanja troškova)
Other Details,Ostali detalji
Cannot change Attributes after stock transaction. Make a new Item and transfer stock to the new Item,Nije moguće promijeniti atribute nakon transakcije dionica. Napravite novu stavku i prenesite zalihe u novu stavku
Employees HTML,Zaposlenici u HTML-u
Stop users from making Leave Applications on following days.,Zaustavite korisnike od primjene programa &quot;Napusti&quot; sljedećih dana.
Ignore,Zanemariti
Sales Person Target Variance Based On Item Group,Prodajna osoba ciljana varijacija na temelju grupe proizvoda
Current Academic Year,Trenutna akademska godina
Submit/Reconcile Payments,Slanje / Usklađivanje plaćanja
Set Advances and Allocate (FIFO),Postavite predujmove i dodijelite (FIFO)
Item to be manufactured or repacked,Proizvod koji će se proizvoditi ili prepakirati
New Cart,Nova košarica
MAT-PRE-.YYYY.-,MAT-PRE-.YYYY.-
Please select Sample Retention Warehouse in Stock Settings first,Najprije odaberite Skladište uzorka zadržavanja u postavkama zaliha
Result Format,Format rezultata
Heads (or groups) against which Accounting Entries are made and balances are maintained.,Glave (ili grupe) prema kojima se sastavljaju računovodstveni unosi i održavaju stanja.
Material Request used to make this Stock Entry,Zahtjev za materijal koji se koristi za unos dionica
Link to material requests,Veza na materijalne zahtjeve
Unsecured Loans,Unsecured zajmovi
Add Customers,Dodajte klijente
Default Finished Goods Warehouse,Zadano skladište gotovih proizvoda
Grant Description,Opis potpore
"Weight is mentioned,\nPlease mention ""Weight UOM"" too","Navedite težinu, Molimo vas da navedete i &quot;Težina UOM&quot;"
{0} {1} is disabled,{0} {1} je onemogućeno
Contract Period,Trajanje ugovora
Please enter Item Code to get Batch Number,Unesite kôd artikla za dobivanje broja serije
Is Working Capital,Je li radni kapital
Missing email template for dispatch. Please set one in Delivery Settings.,Nedostaje predložak e-pošte za slanje. Postavite ga u Postavke isporuke.
MAT-PAC-.YYYY.-,MAT-PAC-.YYYY.-
"Scorecard variables can be used, as well as:
{total_score} (the total score from that period),
{period_number} (the number of periods to present day)
","Mogu se upotrijebiti varijable indeksne kartice, kao i: {total_score} (ukupni rezultat iz tog razdoblja), {period_number} (broj razdoblja do današnjeg dana)"
Value Or Qty,Vrijednost ili broj
Please register the SIREN number in the company information file,Registrirajte SIREN broj u datoteci s informacijama o tvrtki
Check this to enable a scheduled Daily synchronization routine via scheduler,Označite ovo da biste omogućili zakazanu dnevnu rutinu sinkronizacije putem rasporeda
Declarations,izjave
Backflush Raw Materials Based On,Povratno ispiranje sirovina na temelju
Distance from top edge,Udaljenost od gornjeg ruba
Job Description,Opis posla
"Can not filter based on Voucher No, if grouped by Voucher","Nije moguće filtrirati na temelju broja vaučera, ako je grupiran po vaučeru"
Received and Accepted,Primljeno i prihvaćeno
Negative Valuation Rate is not allowed,Negativna stopa procjene nije dopuštena
"The user that will be used to create Customers, Items and Sales Orders. This user should have the relevant permissions.","Korisnik koji će se koristiti za izradu klijenata, stavki i prodajnih narudžbi. Ovaj korisnik treba imati odgovarajuće dozvole."
Create Purchase Order,Izradite narudžbenicu
Define budget for a financial year.,Definirati proračun za financijsku godinu.
Accounts table cannot be blank.,Tablica računa ne može biti prazna.
Payment Period Based On Invoice Date,Razdoblje plaćanja na temelju datuma fakture
Installation date cannot be before delivery date for Item {0},Datum instalacije ne može biti prije datuma isporuke za stavku {0}
Link to Material Request,Veza na Zahtjev materijala
From Company,Iz tvrtke
Mapped Data Type,Mapirani tip podataka
Row {0}: An Reorder entry already exists for this warehouse {1},Redak {0}: stavka za promjenu redoslijeda već postoji za ovo skladište {1}
Doc Date,Datum dokumenta
Distribution Name,Naziv distribucije
Group to Non-Group,Grupirajte u neku grupu
Update in progress. It might take a while.,Ažuriranje u tijeku. Može potrajati.
"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","Primjer: ABCD. ##### Ako je serija postavljena i serijski broj se ne spominje u transakcijama, automatski će se kreirati serijski broj na temelju ove serije. Ako uvijek želite izričito spomenuti serijske brojeve za ovu stavku. ostavite ovo prazno."
Stock Entry (Outward GIT),Unos dionica (Outward GIT)
Processing Party Addresses,Obrada adresa stranke
Delivery Note Required,Potrebna je obavijest o isporuci
Sales Partner,Prodajni partner
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","Računovodstveni unos zamrznut do tog datuma, nitko ne može učiniti / izmijeniti unos osim uloge navedene u nastavku."
Fuel Qty,Količina goriva
Guardian1 Mobile No,Guardian1 Mobile br
Disbursed,isplaćeni
Net Change in Accounts Payable,Neto promjena obveza prema dobavljačima
Not Available,Nije dostupno
Part-time,Skraćeno radno vrijeme
Delivery,dostava
Student Group Creation Tool Course,Tečaj za izradu programa za studentske grupe
Allocated amount cannot be greater than unadjusted amount,Dodijeljeni iznos ne može biti veći od neprilagođenog iznosa
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Distributer / distributer / treća strana / agent / affiliate / prodavač koji prodaje proizvode tvrtke za proviziju.
Original Item,Izvorna stavka
Series is mandatory,Serija je obavezna
Potential opportunities for selling.,Potencijalne prilike za prodaju.
Show PDC in Print,Prikaži PDC u ispisu
Shopify Supplier,Shopify Dobavljač
POS Profile User,Korisnik POS profila
Middle Name,Srednje ime
Sales Person Name,Ime prodavača
Gross Weight,Bruto težina
Bill No,Bill No
New Location,Nova lokacija
Project wise Stock Tracking,Projekt praćenja dionica
HR-VLOG-.YYYY.-,HR-Vlogu-.YYYY.-
A+,A +
Service Level Agreement,Ugovor o razini usluge
Please select Employee and Date first,Najprije odaberite zaposlenika i datum
Item valuation rate is recalculated considering landed cost voucher amount,Stopa procjene stavke preračunava se s obzirom na iznos voucher-a za zemljišne troškove
Employee Detail,Pojedinosti zaposlenika
Vouchers,bonovi
Guardian Details,Pojedinosti čuvara
eg: frappe.myshopify.com,npr .: frappe.myshopify.com
"Email Address must be unique, already exists for {0}","Adresa e-pošte mora biti jedinstvena, već postoji za {0}"
Match Payments with Invoices,Uskladite plaćanja s računima
Weekly Off,Tjedno je isključeno
Not allow to set alternative item for the item {0},Nije dopušteno postaviti alternativnu stavku za stavku {0}
Program {0} does not exist.,Program {0} ne postoji.
You cannot edit root node.,Ne možete uređivati korijenski čvor.
Student Category,Kategorija učenika
"Item {0}: {1} qty produced, ","Stavka {0}: {1} proizvedeno,"
Identification Document Type,Vrsta identifikacijskog dokumenta
Insufficient Stock,Nedovoljna zaliha
Row {0}: Conversion Factor is mandatory,Red {0}: faktor konverzije je obavezan
Purchase Receipt Required,Potrebna je potvrda o kupnji
BOM Rate,Brzina sastavnice
Invalid GSTIN! The check digit validation has failed. ,Nevažeći GSTIN! Provjera valjanosti kontrolne znamenke nije uspjela.
Max working hours against Timesheet,Maksimalno radno vrijeme u odnosu na timesheet
Include holidays in Total no. of Working Days,Uključite praznike u Ukupno br. radnih dana
Quality Meeting,Sastanak kvalitete
Consulting,savjetodavni
Default Payment Request Message,Poruka zadanog zahtjeva za plaćanje
GSTIN Email Sent On,GSTIN e-pošta je poslana na
Enable Scheduled Synch,Omogući Scheduled Synch
Please select Employee,Odaberite zaposlenika
"If checked, a customer will be created, mapped to Patient.
Patient Invoices will be created against this Customer. You can also select existing Customer while creating Patient.","Ako je označeno, klijent će biti kreiran, mapiran u Patient. Računi pacijenta bit će izrađeni protiv ovog klijenta. Također možete odabrati postojećeg klijenta tijekom stvaranja pacijenta."
Stock User,Korisnik dionica
Service Level Agreement.,Ugovor o razini usluge.
Date on which this component is applied,Datum na koji se primjenjuje ova komponenta
List of available Shareholders with folio numbers,Popis dostupnih dioničara s brojevima dionica
Setup Gateway accounts.,Postavite račune pristupnika.
Response Time Period,Razdoblje odgovora
Purchase Taxes and Charges,Kupnja poreza i naknada
Activity Date,Datum aktivnosti
Select or add new customer,Odaberite ili dodajte novog kupca
Unfulfilled,neispunjen
Read blog,Pročitajte blog
Project Value,Vrijednost projekta
Expected Time (in hours),Očekivano vrijeme (u satima)
Updating Variants...,Ažuriranje varijacija ...
Show Sales Person in Print,Pokaži prodajnu osobu u ispisu
Per Year,Godišnje
Admitted Datetime,Prihvaćen Datetime
Tax Template is mandatory.,Predložak poreza je obvezan.
Patient,Pacijent
Costing Amount,Iznos obračuna troškova
Add / Edit Prices,Dodaj / uredi cijene
Non-GST outward supplies,Ne-GST vanjske zalihe
Row {0}: From time must be less than to time,Red {0}: Od vremena mora biti manje od vremena
User {0} is already assigned to Employee {1},Korisnik {0} već je dodijeljen zaposleniku {1}
Form View,Prikaz obrasca
Auto Repeat Section,Odjeljak automatskog ponavljanja
Select company name first.,Najprije odaberite naziv tvrtke.
Financial Year,Financijska godina
Deferred Revenue,Odgođeni prihod
Atleast one of the Selling or Buying must be selected,"U svakom slučaju, mora se odabrati jedna od prodaja ili kupnja"
Item-wise Purchase History,Povijest nabave
Cannot change Service Stop Date for item in row {0},Nije moguće promijeniti datum zaustavljanja usluge za stavku u retku {0}
Include Subcontracted Items,Uključite stavke podugovora
Max Benefits (Amount),Maksimalne prednosti (iznos)
Hero Section,Odjeljak heroja
Where manufacturing operations are carried.,Tamo gdje se obavljaju proizvodne operacije.
Dispatch Notification,Obavijest o otpremi
Timesheets,timesheets
Get current stock,Nabavite trenutne zalihe
Expense,Trošak
{0} asset cannot be transferred,Ne može se prenijeti {0} sredstvo
Unpaid Expense Claim,Neplaćeni zahtjev za troškove
Family Background,Pozadina obitelji
Bonus Payment Date cannot be a past date,Datum plaćanja bonusa ne može biti prošli datum
No {0} found for Inter Company Transactions.,Nije pronađena {0} za transakcije između tvrtki.
Party Type,Vrsta stranke
Finish,Završi
C-Form Applicable,C-obrazac koji se primjenjuje
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Stanje na računu već u dugu, nije vam dopušteno postaviti &quot;Stanje mora biti&quot; kao &quot;kredit&quot;"
Row #{0}: Qty increased by 1,Red # {0}: Količina povećana za 1
Set targets Item Group-wise for this Sales Person.,Postavite ciljeve Stavka Grupno za ovu prodajnu osobu.
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-
Student Mobile Number,Studentski broj mobitela
Academic Year: ,Akademska godina:
Please set Naming Series for {0} via Setup &gt; Settings &gt; Naming Series,Podesite serije Naming za {0} putem postavke&gt; Postavke&gt; Serije imenovanja
"As per the Buying Settings if Purchase Order Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Order first for item {0}","Prema postavkama za kupnju ako je potrebna narudžbenica == &#39;DA&#39;, tada za izradu fakture kupnje korisnik mora najprije izraditi narudžbenicu za stavku {0}"
To Value,Cijeniti
Please add the account to root level Company - ,Dodajte račun na korijensku razinu tvrtke -
Number of Days in Fiscal Year,Broj dana u fiskalnoj godini
Total Amount Currency,Valuta ukupnog iznosa
Allow Same Item Multiple Times,Dopusti istu stavku više puta
Create BOM,Stvorite sastavnicu
Charges,Troškovi
Personal Details,Osobni podatci
Billing and Delivery Status,Status naplate i isporuke
Row {0}: For supplier {0} Email Address is required to send email,Red {0}: Za dobavljača {0} E-mail adresa je potrebna za slanje e-pošte
Cash Flow from Investing,Novčani tijek od ulaganja
Approving Role cannot be same as role the rule is Applicable To,Uloga odobravanja ne može biti ista kao uloga za koju se primjenjuje
Crop Spacing,Razmak usjeva
How often should project and company be updated based on Sales Transactions.,Koliko često treba ažurirati projekt i tvrtku na temelju prodajnih transakcija.
Period Settings,Postavke razdoblja
Net Change in Accounts Receivable,Neto promjena potraživanja
For Quantity must be greater than zero,Za Količina mora biti veća od nule
Goal Objectives,Ciljevi cilja
"There are inconsistencies between the rate, no of shares and the amount calculated","Postoje nedosljednosti između stope, broja dionica i izračunatog iznosa"
Leave blank if you make students groups per year,Ostavite prazno ako napravite grupe studenata godišnje
Loans (Liabilities),Zajmovi (obveze)
Send Grant Review Email,Pošalji e-poruku za pregled odobrenja
GSTR3B-Form,GSTR3B-Oblik
Produced Qty,Proizvedena količina
Journal Entry,Unos dnevnika
Purchase Receipt No,Potvrda o kupnji br
From Date {0} cannot be before employee's joining Date {1},Od datuma {0} ne može biti prije datuma pridruživanja zaposlenika {1}
Debit Note,Tekuća bilješka
Is this Tax included in Basic Rate?,Je li ovaj porez uključen u osnovnu stopu?
Purchased,kupljen
Rate at which Price list currency is converted to company's base currency,Stopa po kojoj se valuta cjenika pretvara u osnovnu valutu tvrtke
View Fees Records,Pogledajte zapise o naknadama
Theory,Teorija
Create Quotation,Izradi ponudu
Row #{0}: Journal Entry {1} does not have account {2} or already matched against another voucher,Red # {0}: unos dnevnika {1} nema račun {2} ili se već podudara s drugim vaučerima
Create a new Customer,Stvorite novog klijenta
BOM Website Operation,BOM Web stranica Operacija
Invoice/Journal Entry Details,Detalji fakture / unosa dnevnika
Share Balance,Dijelite bilancu
Period Closing Entry,Unos zatvaranja razdoblja
Purchase Price List,Cjenik kupnje
Party User,Korisnik stranke
Restaurant Order Entry,Unos narudžbe restorana
"Serialized Item {0} cannot be updated using Stock Reconciliation, please use Stock Entry","Serijski broj {0} ne može se ažurirati pomoću usklađivanja zaliha, molimo koristite unos dionica"
Time Slots,Vremenski utori
Select at least one value from each of the attributes.,Odaberite barem jednu vrijednost iz svakog atributa.
Bank Draft,Nacrt banke
Send regular summary reports via Email.,Slanje redovnih zbirnih izvješća putem e-pošte.
Step,Korak
Result Value,Vrijednost rezultata
Is Income Tax Liability,Odgovornost za porez na dohodak
Inpatient Visit Charge Item,Stavka plaćanja u bolničkom posjetu
{0} {1} does not exist.,{0} {1} ne postoji.
Update Response,Ažuriraj odgovor
Supplier,Dobavljač
Enter value betweeen {0} and {1},Unesite vrijednost između {0} i {1}
Order Confirmation Date,Datum potvrde narudžbe
Calculate Estimated Arrival Times,Izračunaj procijenjeno vrijeme dolaska
Consumable,potrošni
EDU-INS-.YYYY.-,EDU-INS-.YYYY.-
Subscription Start Date,Datum početka pretplate
Woocommerce Server URL,URL poslužitelja Woocommerce
Number Of Employees,Broj zaposlenih
{0} field is limited to size {1},Polje {0} ograničeno je na veličinu {1}
This {0} conflicts with {1} for {2} {3},Ovaj {0} u sukobu s {1} za {2} {3}
Value Proposition,Vrijednost propozicija
Contact Email,email za kontakt
Cannot set authorization on basis of Discount for {0},Nije moguće postaviti ovlaštenje na temelju Popusta za {0}
Work From Home,Rad od kuće
Row {0}: From Time and To Time is mandatory.,Red {0}: Od vremena do vremena obavezno je.
Supplier Id,Id dobavljača
Invoice can't be made for zero billing hour,Faktura se ne može izvršiti za nulti sat naplate
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Ostaviti se ne može dodijeliti prije {0}, budući da je saldo dopusta već prenesen u zapis za buduću dodjelu dopusta {1}"
Last Order Date,Datum zadnjeg narudžbe
Course: ,Tečaj:
Dispatch,otpremiti
Installation Note Item,Napomena za instalaciju
Journal Entry Account,Račun za unos dnevnika
Variant,Varijanta
Forum Activity,Aktivnost foruma
Resolution Time Period,Razdoblje razlučivosti
Supplier Detail,Pojedinosti dobavljača
View Task,Prikaži zadatak
Purchase / Manufacture Details,Pojedinosti o kupnji / proizvodnji
Book Asset Depreciation Entry Automatically,Automatski unesite unos amortizacije imovine
Operation completed for how many finished goods?,Operacija završena za koliko gotovih proizvoda?
Employee name and designation in print,Ime zaposlenika i oznaka u tisku
Is Day Book Data Processed,Obrađen je dan podataka knjige
Courses,Tečajevi
Update stock must be enable for the purchase invoice {0},Za fakturu kupnje mora se omogućiti ažuriranje zaliha {0}
Employee Boarding Activity,Djelatnost poslovođe
Warehouse {0} does not belong to company {1},Skladište {0} ne pripada tvrtki {1}
"If disable, 'In Words' field will not be visible in any transaction","Ako je onemogućeno, polje &quot;U riječima&quot; neće biti vidljivo ni u jednoj transakciji"
Allocated,dodijeljeni
Time to send,Vrijeme je za slanje
Bloated,Otečen
Order Type,Vrsta narudžbe
Period Start Date,Datum početka razdoblja
Generate Schedule,Generiraj raspored
Opening Value,Početna vrijednost
Additional Salary,Dodatna plaća
Repayment Method,Metoda otplate
Cost of various activities,Trošak različitih aktivnosti
Mins to First Response,Min. Do prvog odgovora
Patient Age,Starost pacijenta
Investigations,istraživanja
Office Equipments,Uredska oprema
"LocalStorage is full , did not save","LocalStorage je pun, nije spremio"
Items for Raw Material Request,Stavke za zahtjev za sirovinu
Select Item (optional),Odaberite stavku (izborno)
Parent Item {0} must not be a Stock Item,Roditeljska stavka {0} ne smije biti dionica
Against Stock Entry,Protiv upisa dionica
Fetch exploded BOM (including sub-assemblies),Dohvati eksplodiranu sastavnicu (uključujući podsklopove)
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-
Loan Application,Zahtjev za kredit
For Job Card,Za karticu za posao
Process Master Data,Glavni podaci procesa
Is Account Payable,Je li obveza prema dobavljaču
Total Order Value,Ukupna vrijednost narudžbe
Supplier {0} not found in {1},Dobavljač {0} nije pronađen u {1}
Setup SMS gateway settings,Postavite postavke SMS pristupnika
Root cannot have a parent cost center,Root ne može imati nadređeno mjesto troška
Allow Appointments,Dopusti sastanke
Show Operations,Prikaži operacije
Practitioner Schedule,Raspored liječnika
Calibration,Kalibriranje
Apply On,Primijeni Uključeno
Close Balance Sheet and book Profit or Loss.,Zatvorite bilancu i knjižite dobit ili gubitak.
Provide Email Address registered in company,Navedite adresu e-pošte registriranu u tvrtki
Alternative Item Name,Alternativni naziv stavke
Course,Tečaj
Patient Details,Pojedinosti o pacijentu
Employee Separation,Odvajanje zaposlenika
Debtors,dužnici
Mapped Items,Mapirane stavke
Department (optional),Odjel (izborno)
Task Type,Vrsta zadatka
Debit A/C Number,Debitni A / C broj
Total Billed Amount,Ukupni iznos naplate
Due / Reference Date cannot be after {0},Datum / referentni datum ne može biti nakon {0}
Add unused leaves from previous allocations,Dodajte neiskorištene listove iz prethodnih alokacija
New Company,Nova tvrtka
Commission Rate (%),Stopa provizije (%)
Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,Skladište se može mijenjati samo putem unosa / isporuke dionica / potvrde o kupnji
Close Issue After Days,Zatvori izdanje nakon nekoliko dana
Payment Schedule,Raspored plaćanja
Spouse,suprug
Reason For Putting On Hold,Razlog stavljanja na čekanje
Increment,povećanje
Cuts,rezovi
LMS Only,Samo LMS
Show Contact Us Button,Gumb Pokaži kontakt
Add Employees,Dodaj zaposlenike
Holidays,Praznici
Chapter Head,Poglavlje Glava
Not permitted. Please disable the Test Template,Nije dopušteno. Onemogućite predložak testa
No Show,Nema prikazivanja
Selling Amount,Iznos prodaje
AWS Access Key ID,ID ključa za pristup AWS-u
{0} {1} is not present in the parent company,{0} {1} nije prisutan u nadređenoj tvrtki
To Date cannot be before From Date,Datum ne može biti prije datuma
Add Suppliers,Dodaj dobavljače
Summary for this month and pending activities,Sažetak za ovaj mjesec i aktivnosti na čekanju
Mode of Transport,Način prijevoza
Gross Pay - Total Deduction - Loan Repayment,Bruto plaća - ukupni odbitak - otplata kredita
Posting Date cannot be future date,Datum knjiženja ne može biti budući datum
Work Order Stock Report,Izvješće o stanju radnog naloga
Enable / disable currencies.,Omogućite / onemogućite valute.
View in Cart,Prikaži u košarici
Fetch based on FIFO,Dohvat na temelju FIFO-a
Total Billable Amount,Ukupni iznos za naplatu
Material Request of maximum {0} can be made for Item {1} against Sales Order {2},Za stavku {1} protiv prodajnog naloga {2} može se napraviti Zahtjev materijala od maksimalno {0}
Production Item,Proizvodna stavka
Equity/Liability Account,Račun vlasničkih udjela / obveza
No values,Nema vrijednosti
Cancel the journal entry {0} first,Najprije poništite stavku dnevnika {0}
Remarks,Opaske
Row {0}: Advance against Supplier must be debit,Red {0}: Naplata protiv dobavljača mora biti zadužena
Attended by Parents,Prisustvovali su roditelji
Update Stock,Ažuriraj zalihe
Old Parent,Stari roditelj
Download Materials Required,Potrebni materijali za preuzimanje
Another Period Closing Entry {0} has been made after {1},Nakon {1} izvršen je drugi unos zatvaranja razdoblja {0}
Item Template,Predložak stavke
Discount on Price List Rate (%),Popust na cijenu popisa (%)
Abbreviation is mandatory,Skraćenica je obavezna
Domestic,domaći
SO Qty,SO Kol
Pick/Drop by Guardian,Pick / Drop od strane Guardiana
Balance In Base Currency,Stanje u osnovnoj valuti
All Products or Services.,Svi proizvodi ili usluge.
Brake Pad,Kočna pločica
Max Amt,Max Amt
Show Stock Availability,Prikaži dostupnost zaliha
Hotel Room Pricing Item,Cijene hotelskih soba
Pending Review,Pregled na čekanju
Date of Joining,Datum pridruživanja
Patient Relation,Odnos pacijenta
For Selling,Za prodaju
Cash Flow from Financing,Novčani tijek iz financiranja
Manufacturing,Proizvodnja
By {0},Do {0}
Restaurant Manager,Voditelj restorana
Out Value,Izlazna vrijednost
Availability and Skills,Dostupnost i vještine
Advance Account,Račun unaprijed
Invoices with no Place Of Supply,Računi bez mjesta opskrbe
Ref,Ref
Loan End Date,Datum završetka kredita
Quantity in row {0} ({1}) must be same as manufactured quantity {2},Količina u retku {0} ({1}) mora biti ista kao proizvedena količina {2}
Commercial,trgovački
Bank Account No.,Broj bankovnog računa
Advance amount cannot be greater than {0} {1},Iznos unaprijed ne može biti veći od {0} {1}
Width of amount in word,Širina iznosa u riječi
MAT-DN-.YYYY.-,MAT-DN-.YYYY.-
Assign Salary Structure,Dodijelite strukturu plaća
Stock Entry Type,Vrsta unosa dionica
Responsible,Odgovoran
Room Number,Broj sobe
Select Fiscal Year...,Odaberite fiskalnu godinu ...
Trial Balance,Probno stanje
Employee Transfer cannot be submitted before Transfer Date ,Prijenos zaposlenika ne može se poslati prije datuma prijenosa
Grading Scale Name,Naziv ljestvice ocjenjivanja
Area UOM,Područje UOM
Total Costing Amount,Ukupni iznos obračuna troškova
Material Issue,Izdavanje materijala
Item Image (if not slideshow),Slika stavke (ako ne i slideshow)
Is Company,Je li tvrtka
Update latest price in all BOMs,Ažurirajte zadnju cijenu u svim sastavnicama
Messages greater than 160 characters will be split into multiple messages,Poruke veće od 160 znakova podijelit će se u više poruka
Salary Slip submitted for period from {0} to {1},Prikaz zarade poslan u razdoblju od {0} do {1}
Project-wise data is not available for Quotation,Podaci o projektu nisu dostupni za ponudu
Total Outstanding Amt,Ukupno nepodmireni amt
Item Tax Rate,Stopa poreza na stavku
Planned Quantity,Planirana količina
Retention Stock Entry,Zadržavanje zaliha
In Words (Export) will be visible once you save the Delivery Note.,U riječima (Izvoz) bit će vidljivo kada spremite obavijest o isporuci.
Each Transaction,Svaka transakcija
Institute's Bus,Autobuski institut
Please select the Company first,Najprije odaberite tvrtku
Attendance for employee {0} is already marked for this day,Sudjelovanje zaposlenika {0} već je označeno za ovaj dan
Opening,Otvor
Detected Disease,Otkrivena bolest
{0} ({1}) cannot be greater than planned quanitity ({2}) in Production Order {3},{0} ({1}) ne može biti veći od planirane količine ({2}) u proizvodnom nalogu {3}
Stock Queue (FIFO),Red čekanja na dionice (FIFO)
Please enter 'Is Subcontracted' as Yes or No,Molimo unesite &quot;Je li podugovor&quot; kao Da ili Ne
Default Holiday List,Zadani popis za odmor
Current Value,Trenutna vrijednost
"Seasonality for setting budgets, targets etc.","Sezonsko za postavljanje proračuna, ciljeva itd."
Program Code,Programski kod
Warning: Sales Order {0} already exists against Customer's Purchase Order {1},Upozorenje: prodajni nalog {0} već postoji protiv narudžbenice kupca {1}
Monthly Sales Target (,Mjesečni cilj prodaje (
Guardian Interests,Interesi čuvara
Batch ID is mandatory,ID serije je obavezan
Allow over delivery or receipt upto this percent,Dopustite više isporuke ili prijema do ovog postotka
Paid Amount (Company Currency),Plaćeni iznos (valuta tvrtke)
Shipping Rule Condition,Stanje pravila slanja
Required for Employee Creation,Potrebno za stvaranje zaposlenika
Loyalty Point Entry Redemption,Otkup ulaznice bodova lojalnosti
Cover Letter,Naslovno pismo
Chart Preview,Prikaz karte
Item Quality Inspection Parameter,Parametar za provjeru kvalitete proizvoda
Get Started Sections,Započnite dijelove
% of materials delivered against this Delivery Note,% materijala isporučenih u odnosu na dostavnicu
Warranty / AMC Status,Status jamstva / AMC-a
Gram,Gram
Allocated amount cannot be negative,Dodijeljeni iznos ne može biti negativan
Item Groups,Grupe stavki
Customer LPO No.,Korisnički LPO broj
Company Name,Naziv tvrtke
To Address 1,U adresu 1
Purchase Receipt Trends,Trendovi kupnje za kupnju
Leave Block List Dates,Ostavite datum blokirane liste
Student {0} exist against student applicant {1},Student {0} postoji prema studentu {1}
LMS Settings,Postavke LMS-a
Titles for print templates e.g. Proforma Invoice.,"Naslovi za predloške za ispis, npr. Proforma faktura."
Delivery Time,Vrijeme isporuke
Repayment Period in Months,Razdoblje otplate u mjesecima
Transporter ID,ID transportera
Price List master.,Master cjenovnik.
The first Expense Approver in the list will be set as the default Expense Approver.,Prvi Expense Approver u popisu bit će postavljen kao zadani Expense Approver.
Advertising,Oglašavanje
Customer or Item,Kupac ili stavka
Invoice Ref,Račun Ref
C-form is not applicable for Invoice: {0},C-obrazac nije primjenjiv za dostavnicu: {0}
Invoice Created,Račun je izrađen
Review Details,Pojedinosti pregleda
Row {0}: Hours value must be greater than zero.,Red {0}: Vrijednost sata mora biti veća od nule.
Account Number,Broj računa
Assessment Result Detail,Detaljni rezultat ocjenjivanja
"To allow over-billing or over-ordering, update ""Allowance"" in Stock Settings or the Item.","Da biste omogućili prekomjerno naplatu ili prekomjerno naručivanje, ažurirajte &quot;Allowance&quot; u postavkama zaliha ili stavci."
Auto close Issue after 7 days,Automatsko zatvaranje Izdavanje nakon 7 dana
Is Frozen,Zamrznuto je
Total weightage assigned should be 100%. It is {0},Ukupna dodijeljena težina treba biti 100%. To je {0}
"Applicable if the company is SpA, SApA or SRL","Primjenjivo ako je tvrtka SpA, SApA ili SRL"
Overlapping conditions found between:,Uvjeti preklapanja pronađeni između:
Paid and Not Delivered,Plaćeno i nije isporučeno
Item Code is mandatory because Item is not automatically numbered,Šifra artikla je obavezna jer stavka nije automatski numerirana
HSN Code,HSN kod
September,rujan
Administrative Expenses,Administrativni troškovi
C-Form No,C-Obrazac br
End date of current invoice's period,Datum završetka razdoblja tekućeg računa
Crop Cycle,Crop Cycle
Creation Time,Vrijeme stvaranja
Please enter Approving Role or Approving User,Unesite uloga za odobravanje ili korisnika za odobravanje
Discharged,Ispražnjen
Raw Material Cost(Company Currency),Trošak sirovine (valuta tvrtke)
Note: Due / Reference Date exceeds allowed customer credit days by {0} day(s),Napomena: Datum dospijeća / referentni datum premašuje dopuštene kreditne dane klijenta do {0} dana (a)
New Sales Orders,Novi prodajni nalozi
based_on,based_on
Owned,U vlasništvu
Item Default,Stavka Zadana
Party can only be one of ,Stranka može biti samo jedna od
Entertainment Expenses,Troškovi zabave
Inspection Required before Delivery,Pregled prije isporuke
Opening Entry Journal,Dnevnik otvaranja unosa
Add or Deduct,Dodati ili oduzeti
Collected Amount,Prikupljeni iznos
Commission on Sales,Komisija za prodaju
Start entering data from here : ,Počnite unositi podatke odavde:
Rest Of The World,Ostatak svijeta
Customer &gt; Customer Group &gt; Territory,Kupac&gt; Korisnička grupa&gt; Teritorij
Publications,publikacije
