DocType: Accounting Period,Period Name,Όνομα περιόδου
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.py,Loan Start Date and Loan Period are mandatory to save the Invoice Discounting,Η ημερομηνία έναρξης δανείου και η περίοδος δανείου είναι υποχρεωτικές για την αποθήκευση της έκπτωσης τιμολογίου
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Cost Updated,Κόστος Ενημερώθηκε
apps/erpnext/erpnext/regional/india/utils.py,Vehicle Type is required if Mode of Transport is Road,Ο τύπος οχήματος απαιτείται εάν ο τρόπος μεταφοράς είναι οδικώς
DocType: Inpatient Record,Date of Birth,Ημερομηνία γέννησης
DocType: Quality Action,Resolutions,Ψηφίσματα
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Item {0} has already been returned,Το είδος {0} έχει ήδη επιστραφεί
DocType: Fiscal Year,**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Η χρήση ** αντιπροσωπεύει ένα οικονομικό έτος. Όλες οι λογιστικές εγγραφές και άλλες σημαντικές συναλλαγές παρακολουθούνται ανά ** χρήση **.
DocType: Opportunity,Customer / Lead Address,Πελάτης / διεύθυνση Σύστασης
DocType: Supplier Scorecard Period,Supplier Scorecard Setup,Ρύθμιση πίνακα καρτών προμηθευτή
DocType: Customer Credit Limit,Customer Credit Limit,Όριο πίστωσης πελατών
apps/erpnext/erpnext/education/report/assessment_plan_status/assessment_plan_status.py,Assessment Plan Name,Όνομα σχεδίου αξιολόγησης
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year_dashboard.py,Target Details,Στοιχεία στόχου
apps/erpnext/erpnext/regional/italy/setup.py,"Applicable if the company is SpA, SApA or SRL","Ισχύει εάν η εταιρεία είναι SpA, SApA ή SRL"
DocType: Work Order Operation,Work Order Operation,Λειτουργία εντολής εργασίας
apps/erpnext/erpnext/stock/doctype/item/item.py,Warning: Invalid SSL certificate on attachment {0},Προειδοποίηση: Μη έγκυρο πιστοποιητικό SSL στο συνημμένο {0}
apps/erpnext/erpnext/regional/italy/setup.py,Set this if the customer is a Public Administration company.,Ορίστε αυτό εάν ο πελάτης είναι εταιρεία Δημόσιας Διοίκησης.
apps/erpnext/erpnext/utilities/activation.py,"Leads help you get business, add all your contacts and more as your leads","Οδηγεί σας βοηθήσει να πάρετε την επιχείρησή, προσθέστε όλες τις επαφές σας και περισσότερο, όπως σας οδηγεί"
DocType: Work Order Operation,Actual Operation Time,Πραγματικός χρόνος λειτουργίας
DocType: Authorization Rule,Applicable To (User),Εφαρμοστέα σε (user)
DocType: Purchase Taxes and Charges,Deduct,Αφαίρεσε
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Job Description,Περιγραφή Δουλειάς
DocType: Student Applicant,Applied,Εφαρμοσμένος
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Details of Outward Supplies and inward supplies liable to reverse charge,Λεπτομέρειες σχετικά με τις εξωτερικές προμήθειες και τις εισερχόμενες προμήθειες που ενδέχεται να αντιστραφούν
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Re-open,Άνοιγμα ξανά
DocType: Sales Invoice Item,Qty as per Stock UOM,Ποσότητα σύμφωνα με τη Μ.Μ. Αποθέματος
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian2 Name,Όνομα Guardian2
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,Root Company,Root Company
DocType: Attendance,Attendance Request,Αίτηση Συμμετοχής
DocType: Purchase Invoice,02-Post Sale Discount,02 Έκπτωση μετά την πώληση
DocType: Campaign,"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment.","Παρακολουθήστε εκστρατείες προώθησης των πωλήσεων. Παρακολουθήστε Συστάσεις, προσφορές, παραγγελίες πωλήσεων κλπ από τις εκστρατείες στις οποίες πρέπει να γίνει μέτρηση της απόδοσης των επενδύσεων."
apps/erpnext/erpnext/accounts/doctype/loyalty_program/loyalty_program.py,You can't redeem Loyalty Points having more value than the Grand Total.,Δεν μπορείτε να εξαργυρώσετε πόντους επιβράβευσης που έχουν μεγαλύτερη αξία από το συνολικό ποσό.
DocType: Department Approver,Approver,Ο εγκρίνων
apps/erpnext/erpnext/selling/report/pending_so_items_for_purchase_request/pending_so_items_for_purchase_request.py,SO Qty,Ποσότητα παρ. πώλησης
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field To Shareholder cannot be blank,Το πεδίο Ο Μεριδιούχος δεν μπορεί να είναι κενό
DocType: Guardian,Work Address,Διεύθυνση εργασίας
DocType: Appraisal,Calculate Total Score,Υπολογισμός συνολικής βαθμολογίας
DocType: Employee,Health Insurance,Ασφάλεια υγείας
DocType: Asset Repair,Manufacturing Manager,Υπεύθυνος παραγωγής
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Serial No {0} is under warranty upto {1},Ο σειριακός αριθμός {0} έχει εγγύηση μέχρι {1}
DocType: Plant Analysis Criteria,Minimum Permissible Value,Ελάχιστη επιτρεπτή τιμή
apps/erpnext/erpnext/education/doctype/guardian/guardian.py,User {0} already exists,Ο χρήστης {0} υπάρχει ήδη
apps/erpnext/erpnext/hooks.py,Shipments,Αποστολές
DocType: Payment Entry,Total Allocated Amount (Company Currency),Συνολικό ποσό που χορηγήθηκε (Εταιρεία νομίσματος)
DocType: Purchase Order Item,To be delivered to customer,Να παραδοθεί στον πελάτη
DocType: BOM,Scrap Material Cost,Άχρηστα Υλικών Κατασκευής Νέων Κτιρίων
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial No {0} does not belong to any Warehouse,Αύξων αριθμός {0} δεν ανήκουν σε καμία αποθήκη
DocType: Grant Application,Email Notification Sent,Αποστολή ειδοποίησης ηλεκτρονικού ταχυδρομείου
DocType: Purchase Invoice,In Words (Company Currency),Με λόγια (νόμισμα της εταιρείας)
apps/erpnext/erpnext/accounts/doctype/bank_account/bank_account.py,Company is manadatory for company account,Η εταιρεία είναι διευθυντής για λογαριασμό εταιρείας
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,"Item Code, warehouse, quantity are required on row","Κωδικός είδους, αποθήκη, ποσότητα που απαιτείται στη σειρά"
DocType: Bank Guarantee,Supplier,Προμηθευτής
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.js,Get From,Πάρτε Από
apps/erpnext/erpnext/hr/doctype/department/department.js,This is a root department and cannot be edited.,Αυτό είναι ένα ριζικό τμήμα και δεν μπορεί να επεξεργαστεί.
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show Payment Details,Δείξτε λεπτομέρειες πληρωμής
apps/erpnext/erpnext/crm/report/lead_conversion_time/lead_conversion_time.py,Duration in Days,Διάρκεια σε ημέρες
DocType: C-Form,Quarter,Τρίμηνο
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Miscellaneous Expenses,Διάφορες δαπάνες
DocType: Global Defaults,Default Company,Προεπιλεγμένη εταιρεία
DocType: Company,Transactions Annual History,Ετήσια Ιστορία Συναλλαγών
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Bank account '{0}' has been synchronized,Ο τραπεζικός λογαριασμός &#39;{0}&#39; έχει συγχρονιστεί
apps/erpnext/erpnext/controllers/stock_controller.py,Expense or Difference account is mandatory for Item {0} as it impacts overall stock value,"Ο λογαριασμός δαπάνης ή ποσό διαφοράς είναι απαραίτητος για το είδος {0}, καθώς επηρεάζουν τη συνολική αξία των αποθεμάτων"
DocType: Bank,Bank Name,Όνομα τράπεζας
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Leave the field empty to make purchase orders for all suppliers,Αφήστε το πεδίο κενό για να κάνετε παραγγελίες αγοράς για όλους τους προμηθευτές
DocType: Healthcare Practitioner,Inpatient Visit Charge Item,Στοιχείο φόρτισης επίσκεψης ασθενούς
DocType: Vital Signs,Fluid,Υγρό
DocType: Leave Application,Total Leave Days,Σύνολο ημερών άδειας
DocType: Email Digest,Note: Email will not be sent to disabled users,Σημείωση: το email δε θα σταλεί σε απενεργοποιημένους χρήστες
apps/erpnext/erpnext/crm/report/prospects_engaged_but_not_converted/prospects_engaged_but_not_converted.js,Number of Interaction,Αριθμός Αλληλεπίδρασης
DocType: GSTR 3B Report,February,Φεβρουάριος
apps/erpnext/erpnext/stock/doctype/item/item.js,Item Variant Settings,Ρυθμίσεις παραλλαγής αντικειμένου
apps/erpnext/erpnext/public/js/account_tree_grid.js,Select Company...,Επιλέξτε εταιρία...
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,{0} is mandatory for Item {1},Η {0} είναι απαραίτητη για το είδος {1}
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,"Item {0}: {1} qty produced, ","Το στοιχείο {0}: {1} έχει παραχθεί,"
DocType: Payroll Entry,Fortnightly,Κατά δεκατετραήμερο
DocType: Currency Exchange,From Currency,Από το νόμισμα
DocType: Vital Signs,Weight (In Kilogram),Βάρος (σε χιλιόγραμμα)
DocType: Chapter,"chapters/chapter_name
leave blank automatically set after saving chapter.",κεφάλαια / όνομα_κλειδιού αφήστε αυτόματα να τεθεί κενό μετά την αποθήκευση κεφαλαίου.
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Please set GST Accounts in GST Settings,Ορίστε λογαριασμούς GST στις ρυθμίσεις GST
apps/erpnext/erpnext/regional/report/gstr_1/gstr_1.js,Type of Business,Είδος επιχείρησης
DocType: Sales Invoice,Consumer,Καταναλωτής
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py,"Please select Allocated Amount, Invoice Type and Invoice Number in atleast one row","Παρακαλώ επιλέξτε χορηγούμενο ποσό, τύπο τιμολογίου και αριθμό τιμολογίου σε τουλάχιστον μία σειρά"
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost of New Purchase,Το κόστος της Νέας Αγοράς
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Sales Order required for Item {0},Η παραγγελία πώλησης για το είδος {0} είναι απαραίτητη
DocType: Grant Application,Grant Description,Περιγραφή επιχορήγησης
DocType: Purchase Invoice Item,Rate (Company Currency),Τιμή (νόμισμα της εταιρείας)
DocType: Student Guardian,Others,Άλλα
DocType: Subscription,Discounts,Εκπτώσεις
DocType: Bank Transaction,Unallocated Amount,μη διατεθέντων Ποσό
apps/erpnext/erpnext/accounts/doctype/budget/budget.py,Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,Παρακαλούμε ενεργοποιήστε την Εφαρμοστέα στην Εντολή Αγοράς και την Ισχύουσα για τα Κρατικά Έξοδα Κράτησης
apps/erpnext/erpnext/templates/includes/product_page.js,Cannot find a matching Item. Please select some other value for {0}.,Δεν μπορείτε να βρείτε μια αντίστοιχη Θέση. Παρακαλούμε επιλέξτε κάποια άλλη τιμή για το {0}.
DocType: POS Profile,Taxes and Charges,Φόροι και επιβαρύνσεις
DocType: Item,"A Product or a Service that is bought, sold or kept in stock.","Ένα προϊόν ή μια υπηρεσία που αγοράζεται, πωλείται ή διατηρείται σε απόθεμα."
apps/erpnext/erpnext/hr/page/team_updates/team_updates.js,No more updates,Δεν περισσότερες ενημερώσεις
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Cannot select charge type as 'On Previous Row Amount' or 'On Previous Row Total' for first row,Δεν μπορείτε να επιλέξετε τον τύπο επιβάρυνσης ως ποσό προηγούμενης γραμμής ή σύνολο προηγούμενης γραμμής για την πρώτη γραμμή
DocType: Purchase Order,PUR-ORD-.YYYY.-,PUR-ORD-.YYYY.-
apps/erpnext/erpnext/buying/doctype/supplier_scorecard/supplier_scorecard_dashboard.py,This covers all scorecards tied to this Setup,Αυτό καλύπτει όλες τις κάρτες αποτελεσμάτων που συνδέονται με αυτό το πρόγραμμα Εγκατάστασης
apps/erpnext/erpnext/selling/doctype/product_bundle/product_bundle.py,Child Item should not be a Product Bundle. Please remove item `{0}` and save,Παιδί στοιχείο δεν πρέπει να είναι ένα Bundle προϊόντων. Παρακαλώ αφαιρέστε το αντικείμενο `{0}` και να αποθηκεύσετε
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Banking,Κατάθεση
apps/erpnext/erpnext/utilities/activation.py,Add Timesheets,Προσθήκη Timesheets
DocType: Vehicle Service,Service Item,υπηρεσία Στοιχείο
DocType: Bank Guarantee,Bank Guarantee,Τραπεζική εγγύηση
DocType: Payment Request,Transaction Details,Λεπτομέρειες Συναλλαγής
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please click on 'Generate Schedule' to get schedule,Παρακαλώ κάντε κλικ στο 'δημιουργία χρονοδιαγράμματος' για να δείτε το πρόγραμμα
DocType: Item,"Purchase, Replenishment Details","Αγορά, Λεπτομέρειες αναπλήρωσης"
DocType: Products Settings,Enable Field Filters,Ενεργοποίηση φίλτρων πεδίου
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Customer Provided Item"" cannot be Purchase Item also","""Στοιχείο που παρέχεται από τον πελάτη"" δεν μπορεί να είναι  επίσης στοιχείο αγοράς"
DocType: Blanket Order Item,Ordered Quantity,Παραγγελθείσα ποσότητα
apps/erpnext/erpnext/public/js/setup_wizard.js,"e.g. ""Build tools for builders""",Π.Χ. Χτίστε εργαλεία για τους κατασκευαστές '
DocType: Grading Scale,Grading Scale Intervals,Διαστήματα Κλίμακα βαθμολόγησης
apps/erpnext/erpnext/regional/india/utils.py,Invalid {0}! The check digit validation has failed. ,Μη έγκυρο {0}! Η επικύρωση του ψηφίου ελέγχου απέτυχε.
DocType: Item Default,Purchase Defaults,Προεπιλογές αγοράς
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,"Could not create Credit Note automatically, please uncheck 'Issue Credit Note' and submit again","Δεν ήταν δυνατή η αυτόματη δημιουργία πιστωτικής σημείωσης, καταργήστε την επιλογή του &#39;Issue Credit Note&#39; και υποβάλετε ξανά"
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Added to Featured Items,Προστέθηκε στα Επιλεγμένα στοιχεία
apps/erpnext/erpnext/accounts/report/profit_and_loss_statement/profit_and_loss_statement.py,Profit for the year,Κέρδος για το έτος
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: λογιστική καταχώριση για {2} μπορεί να γίνει μόνο στο νόμισμα: {3}
DocType: Fee Schedule,In Process,Σε επεξεργασία
DocType: Authorization Rule,Itemwise Discount,Έκπτωση ανά είδος
apps/erpnext/erpnext/config/accounting.py,Tree of financial accounts.,Δέντρο των χρηματοοικονομικών λογαριασμών.
DocType: Cash Flow Mapping,Cash Flow Mapping,Χαρτογράφηση ταμειακών ροών
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Sales Order {1},{0} κατά την παραγγελία πώλησης {1}
DocType: Account,Fixed Asset,Πάγιο
DocType: Amazon MWS Settings,After Date,Μετά την ημερομηνίαν ταυτήν
apps/erpnext/erpnext/config/help.py,Serialized Inventory,Απογραφή συνέχειες
,Department Analytics,Τμήμα Analytics
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Email not found in default contact,Δεν βρέθηκε διεύθυνση ηλεκτρονικού ταχυδρομείου στην προεπιλεγμένη επαφή
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.js,Generate Secret,Δημιουργία μυστικού
DocType: Question,Question,Ερώτηση
DocType: Loan,Account Info,Πληροφορίες λογαριασμού
DocType: Activity Type,Default Billing Rate,Επιτόκιο Υπερημερίας Τιμολόγησης
DocType: Fees,Include Payment,Συμπεριλάβετε την πληρωμή
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,{0} Student Groups created.,{0} Δημιουργήθηκαν ομάδες σπουδαστών.
DocType: Sales Invoice,Total Billing Amount,Συνολικό Ποσό Χρέωσης
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.py,Program in the Fee Structure and Student Group {0} are different.,Το πρόγραμμα στη δομή των αμοιβών και στην Ομάδα σπουδαστών {0} είναι διαφορετικό.
DocType: Bank Statement Transaction Entry,Receivable Account,Εισπρακτέα λογαριασμού
apps/erpnext/erpnext/stock/doctype/item_price/item_price.py,Valid From Date must be lesser than Valid Upto Date.,Η ισχύουσα από την ημερομηνία πρέπει να είναι μικρότερη από την έγκυρη μέχρι την ημερομηνία.
DocType: Employee Skill,Evaluation Date,Ημερομηνία αξιολόγησης
apps/erpnext/erpnext/controllers/accounts_controller.py,Row #{0}: Asset {1} is already {2},Σειρά # {0}: Asset {1} είναι ήδη {2}
DocType: Quotation Item,Stock Balance,Ισοζύγιο αποθέματος
apps/erpnext/erpnext/config/help.py,Sales Order to Payment,Πωλήσεις Τάξης να Πληρωμής
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,CEO,CEO
DocType: Purchase Invoice,With Payment of Tax,Με την πληρωμή του φόρου
DocType: Expense Claim Detail,Expense Claim Detail,Λεπτομέρειες αξίωσης δαπανών
apps/erpnext/erpnext/education/utils.py,You are not allowed to enroll for this course,Δεν επιτρέπεται να εγγραφείτε σε αυτό το μάθημα
DocType: Purchase Invoice,TRIPLICATE FOR SUPPLIER,ΤΡΙΛΙΚΑ ΓΙΑ ΠΡΟΜΗΘΕΥΤΗ
DocType: Exchange Rate Revaluation Account,New Balance In Base Currency,Νέο υπόλοιπο σε βασικό νόμισμα
DocType: Location,Is Container,Είναι Container
DocType: Crop Cycle,This will be day 1 of the crop cycle,Αυτή θα είναι η πρώτη ημέρα του κύκλου καλλιέργειας
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Please select correct account,Παρακαλώ επιλέξτε σωστό λογαριασμό
DocType: Salary Structure Assignment,Salary Structure Assignment,Υπολογισμός δομής μισθών
DocType: Purchase Invoice Item,Weight UOM,Μονάδα μέτρησης βάρους
apps/erpnext/erpnext/config/accounting.py,List of available Shareholders with folio numbers,Κατάλογος διαθέσιμων Μετόχων με αριθμούς φακέλων
DocType: Salary Structure Employee,Salary Structure Employee,Δομή μισθό του υπαλλήλου
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.js,Show Variant Attributes,Εμφάνιση παραμέτρων παραλλαγών
DocType: Student,Blood Group,Ομάδα αίματος
DocType: Purchase Invoice Item,Page Break,Αλλαγή σελίδας
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,The payment gateway account in plan {0} is different from the payment gateway account in this payment request,Ο λογαριασμός πύλης πληρωμής στο πρόγραμμα {0} διαφέρει από τον λογαριασμό της πύλης πληρωμής σε αυτό το αίτημα πληρωμής
DocType: Course,Course Name,Όνομα Μαθήματος
apps/erpnext/erpnext/accounts/doctype/tax_withholding_category/tax_withholding_category.py,No Tax Withholding data found for the current Fiscal Year.,Δεν βρέθηκαν στοιχεία για την παρακράτηση φόρου για το τρέχον οικονομικό έτος.
DocType: Employee Leave Approver,Users who can approve a specific employee's leave applications,Χρήστες που μπορούν να εγκρίνουν αιτήσεις για έναν συγκεκριμένο εργαζόμενο
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Office Equipments,Εξοπλισμός γραφείου
DocType: Pricing Rule,Qty,Ποσότητα
DocType: Fiscal Year,Companies,Εταιρείες
DocType: Supplier Scorecard,Scoring Setup,Ρύθμιση βαθμολόγησης
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Electronics,Ηλεκτρονικά
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py,Debit ({0}),Χρέωση ({0})
DocType: BOM,Allow Same Item Multiple Times,Επιτρέψτε στο ίδιο στοιχείο πολλαπλούς χρόνους
DocType: Stock Settings,Raise Material Request when stock reaches re-order level,Δημιουργία αιτήματος υλικού όταν το απόθεμα φτάνει το επίπεδο για επαναπαραγγελία
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Full-time,Πλήρης απασχόληση
DocType: Payroll Entry,Employees,εργαζόμενοι
DocType: Question,Single Correct Answer,Ενιαία σωστή απάντηση
DocType: C-Form,Received Date,Ημερομηνία παραλαβής
DocType: Delivery Note,"If you have created a standard template in Sales Taxes and Charges Template, select one and click on the button below.","Αν έχετε δημιουργήσει ένα πρότυπο πρότυπο στη φόροι επί των πωλήσεων και επιβαρύνσεις Πρότυπο, επιλέξτε ένα και κάντε κλικ στο κουμπί παρακάτω."
DocType: BOM Scrap Item,Basic Amount (Company Currency),Βασικό ποσό (Εταιρεία νομίσματος)
DocType: Student,Guardians,φύλακες
apps/erpnext/erpnext/templates/pages/integrations/gocardless_confirmation.html,Payment Confirmation,Επιβεβαίωση πληρωμής
apps/erpnext/erpnext/regional/india/utils.py,Unsupported GST Category for e-Way Bill JSON generation,Μη υποστηριζόμενη κατηγορία GST για την παραγωγή του Bill JSON μέσω e-Way
DocType: Shopping Cart Settings,Prices will not be shown if Price List is not set,Οι τιμές δεν θα εμφανίζεται αν Τιμοκατάλογος δεν έχει οριστεί
DocType: Material Request Item,Received Quantity,Ποσότητα παραλαβής
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,To Date must be greater than From Date,Η ημερομηνία πρέπει να είναι μεγαλύτερη από την ημερομηνία
DocType: Stock Entry,Total Incoming Value,Συνολική εισερχόμενη αξία
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Debit To is required,Χρεωστικό να απαιτείται
DocType: Clinical Procedure,Inpatient Record,Εγγραφή στα νοσοκομεία
apps/erpnext/erpnext/utilities/activation.py,"Timesheets help keep track of time, cost and billing for activites done by your team","Φύλλων βοηθήσει να παρακολουθείτε την ώρα, το κόστος και τη χρέωση για δραστηριότητες γίνεται από την ομάδα σας"
apps/erpnext/erpnext/stock/report/item_prices/item_prices.py,Purchase Price List,Τιμοκατάλογος αγορών
DocType: Communication Medium Timeslot,Employee Group,Ομάδα εργαζομένων
apps/erpnext/erpnext/accounts/report/tds_payable_monthly/tds_payable_monthly.py,Date of Transaction,Ημερομηνία συναλλαγής
apps/erpnext/erpnext/config/buying.py,Templates of supplier scorecard variables.,Πρότυπα των μεταβλητών βαθμολογίας του προμηθευτή.
DocType: Job Offer Term,Offer Term,Προσφορά Όρος
DocType: Asset,Quality Manager,Υπεύθυνος διασφάλισης ποιότητας
DocType: Job Applicant,Job Opening,Άνοιγμα θέσης εργασίας
DocType: Employee,Default Shift,Προεπιλεγμένη μετατόπιση
DocType: Payment Reconciliation,Payment Reconciliation,Συμφωνία πληρωμής
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please select Incharge Person's name,Παρακαλώ επιλέξτε το όνομα υπευθύνου
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Technology,Τεχνολογία
apps/erpnext/erpnext/public/js/utils.js,Total Unpaid: {0},Το σύνολο των απλήρωτων: {0}
DocType: BOM Website Operation,BOM Website Operation,BOM λειτουργίας της ιστοσελίδας
DocType: Bank Statement Transaction Payment Item,outstanding_amount,εξωπραγματική ποσότητα
DocType: Supplier Scorecard,Supplier Score,Βαθμός προμηθευτή
apps/erpnext/erpnext/healthcare/doctype/patient_encounter/patient_encounter.js,Schedule Admission,Προγραμματίστε την εισαγωγή
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Total Payment Request amount cannot be greater than {0} amount,Το ποσό του συνολικού αιτήματος πληρωμής δεν μπορεί να είναι μεγαλύτερο από το {0} ποσό
DocType: Tax Withholding Rate,Cumulative Transaction Threshold,Όριο σωρευτικής συναλλαγής
DocType: Promotional Scheme Price Discount,Discount Type,Τύπος έκπτωσης
DocType: Purchase Invoice Item,Is Free Item,Είναι δωρεάν στοιχείο
DocType: Buying Settings,Percentage you are allowed to transfer more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to transfer 110 units.,"Ποσοστό που σας επιτρέπεται να μεταφέρετε περισσότερο έναντι της παραγγελθείσας ποσότητας. Για παράδειγμα: Εάν έχετε παραγγείλει 100 μονάδες. και το Επίδομά σας είναι 10%, τότε μπορείτε να μεταφέρετε 110 μονάδες."
DocType: Supplier,Warn RFQs,Προειδοποίηση RFQ
apps/erpnext/erpnext/public/js/hub/pages/Home.vue,Explore,Εξερευνώ
DocType: BOM,Conversion Rate,Συναλλαγματική ισοτιμία
apps/erpnext/erpnext/www/all-products/index.html,Product Search,Αναζήτηση προϊόντων
,Bank Remittance,Τράπεζα Remittance
DocType: Cashier Closing,To Time,Έως ώρα
DocType: Invoice Discounting,Loan End Date,Ημερομηνία λήξης δανείου
apps/erpnext/erpnext/hr/utils.py,) for {0},) για {0}
DocType: Authorization Rule,Approving Role (above authorized value),Έγκριση Ρόλος (πάνω από εξουσιοδοτημένο αξία)
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Credit To account must be a Payable account,Ο λογαριασμός πίστωσης πρέπει να είναι πληρωτέος λογαριασμός
DocType: Loan,Total Amount Paid,Συνολικό ποσό που καταβλήθηκε
DocType: Asset,Insurance End Date,Ημερομηνία λήξης ασφάλισης
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.py,Please select Student Admission which is mandatory for the paid student applicant,"Επιλέξτε φοιτητική εισαγωγή, η οποία είναι υποχρεωτική για τον αιτούντα πληρωμένο φοιτητή"
DocType: Pick List,STO-PICK-.YYYY.-,STO-PICK-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,Budget List,Λίστα Προϋπολογισμών
DocType: Campaign,Campaign Schedules,Πρόγραμμα εκστρατειών
DocType: Job Card Time Log,Completed Qty,Ολοκληρωμένη ποσότητα
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,"For {0}, only debit accounts can be linked against another credit entry","Για {0}, μόνο χρεωστικοί λογαριασμοί μπορούν να συνδέονται με άλλες καταχωρήσεις πίστωσης"
DocType: Manufacturing Settings,Allow Overtime,Επιτρέψτε Υπερωρίες
DocType: Training Event Employee,Training Event Employee,Κατάρτιση Εργαζομένων Event
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Maximum Samples - {0} can be retained for Batch {1} and Item {2}.,Τα μέγιστα δείγματα - {0} μπορούν να διατηρηθούν για το Batch {1} και το στοιχείο {2}.
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js,Add Time Slots,Προσθήκη χρονικών θυρίδων
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} αύξοντες αριθμούς που απαιτούνται για τη θέση {1}. Έχετε προβλέπεται {2}.
DocType: Stock Reconciliation Item,Current Valuation Rate,Τρέχουσα Αποτίμηση Τιμή
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.py,Number of root accounts cannot be less than 4,Ο αριθμός των root λογαριασμών δεν μπορεί να είναι μικρότερος από 4
DocType: Training Event,Advance,Προκαταβολή
apps/erpnext/erpnext/config/integrations.py,GoCardless payment gateway settings,GoCardless ρυθμίσεις πύλης πληρωμής
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Exchange Gain/Loss,Ανταλλαγή Κέρδος / Ζημιά
DocType: Opportunity,Lost Reason,Αιτιολογία απώλειας
