DocType: Accounting Period,Period Name,Název období
,Profit and Loss Statement,Výkaz zisků a ztrát
DocType: Bank Reconciliation Detail,Cheque Number,Šek číslo
apps/erpnext/erpnext/healthcare/utils.py,The item referenced by {0} - {1} is already invoiced,Položka odkazovaná na {0} - {1} je již fakturována
,Sales Browser,Sales Browser
DocType: Journal Entry,Total Credit,Celkový Credit
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Warning: Another {0} # {1} exists against stock entry {2},Upozornění: dalším {0} č. {1} existuje proti pohybu skladu {2}
apps/erpnext/erpnext/utilities/user_progress_utils.py,Local,Místní
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans and Advances (Assets),Úvěry a zálohy (aktiva)
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Debtors,Dlužníci
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Large,Velký
DocType: Bank Statement Settings,Bank Statement Settings,Nastavení bankovního výpisu
DocType: Shopify Settings,Customer Settings,Nastavení zákazníka
DocType: Homepage Featured Product,Homepage Featured Product,Úvodní Doporučené zboží
apps/erpnext/erpnext/manufacturing/doctype/blanket_order/blanket_order.js,View Orders,Zobrazit objednávky
DocType: Marketplace Settings,Marketplace URL (to hide and update label),Adresa URL tržiště (skrýt a aktualizovat štítek)
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,All Assessment Groups,Všechny skupiny Assessment
apps/erpnext/erpnext/regional/india/utils.py,{} is required to generate e-Way Bill JSON,{} je vyžadován pro vygenerování e-Way Bill JSON
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse_tree.js,New Warehouse Name,Název nového skladu
DocType: Shopify Settings,App Type,Typ aplikace
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,Total {0} ({1}),Celkem {0} ({1})
DocType: C-Form Invoice Detail,Territory,Území
DocType: Pricing Rule,Apply Rule On Item Code,Použít pravidlo na kód položky
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please mention no of visits required,"Prosím, uveďte počet požadovaných návštěv"
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Stock Balance Report,Zpráva o stavu zásob
DocType: Stock Settings,Default Valuation Method,Výchozí metoda ocenění
apps/erpnext/erpnext/education/doctype/program/program_dashboard.py,Fee,Poplatek
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.js,Show Cumulative Amount,Zobrazit kumulativní částku
apps/erpnext/erpnext/setup/doctype/company/company.js,Update in progress. It might take a while.,Aktualizace probíhá. Může chvíli trvat.
DocType: Production Plan Item,Produced Qty,Vyrobeno množství
DocType: Vehicle Log,Fuel Qty,palivo Množství
DocType: Work Order Operation,Planned Start Time,Plánované Start Time
DocType: Course,Assessment,Posouzení
DocType: Payment Entry Reference,Allocated,Přidělené
apps/erpnext/erpnext/config/accounting.py,Close Balance Sheet and book Profit or Loss.,Zavřete Rozvahu a zapiš účetní zisk nebo ztrátu.
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,ERPNext could not find any matching payment entry,ERPNext nemohl najít žádnou odpovídající platební položku
DocType: Student Applicant,Application Status,Stav aplikace
DocType: Additional Salary,Salary Component Type,Typ platového komponentu
DocType: Sensitivity Test Items,Sensitivity Test Items,Položky testu citlivosti
DocType: Website Attribute,Website Attribute,Atribut webové stránky
DocType: Project Update,Project Update,Aktualizace projektu
DocType: Fees,Fees,Poplatky
DocType: Currency Exchange,Specify Exchange Rate to convert one currency into another,Zadejte Exchange Rate převést jednu měnu na jinou
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Quotation {0} is cancelled,Nabídka {0} je zrušena
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Total Outstanding Amount,Celková dlužná částka
DocType: Sales Partner,Targets,Cíle
apps/erpnext/erpnext/regional/report/fichier_des_ecritures_comptables_[fec]/fichier_des_ecritures_comptables_[fec].js,Please register the SIREN number in the company information file,Zaregistrujte prosím číslo SIREN v informačním souboru společnosti
DocType: Quality Action Table,Responsible,Odpovědný
DocType: Email Digest,Sales Orders to Bill,Prodejní příkazy k Billu
DocType: Price List,Price List Master,Ceník Master
DocType: GST Account,CESS Account,Účet CESS
DocType: Sales Person,All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Všechny prodejní transakce mohou být označeny proti více ** prodejcům **, takže si můžete nastavit a sledovat cíle."
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Link to Material Request,Odkaz na materiálovou žádost
DocType: Quiz,Score out of 100,Skóre ze 100
apps/erpnext/erpnext/templates/pages/help.html,Forum Activity,Aktivita fóra
DocType: Quiz,Grading Basis,Základ klasifikace
apps/erpnext/erpnext/selling/report/pending_so_items_for_purchase_request/pending_so_items_for_purchase_request.py,S.O. No.,SO Ne.
DocType: Bank Statement Transaction Settings Item,Bank Statement Transaction Settings Item,Položka položek transakce bankovního výpisu
apps/erpnext/erpnext/hr/utils.py,To date can not greater than employee's relieving date,K dnešnímu dni nemůže být větší než datum uvolnění zaměstnance
apps/erpnext/erpnext/selling/doctype/quotation/quotation.py,Please create Customer from Lead {0},Prosím vytvořte Zákazník z olova {0}
apps/erpnext/erpnext/healthcare/page/patient_history/patient_history.html,Select Patient,Vyberte pacienta
DocType: Price List,Applicable for Countries,Pro země
DocType: Supplier Scorecard Scoring Variable,Parameter Name,Název parametru
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,"Nechte pouze aplikace, které mají status &quot;schváleno&quot; i &quot;Zamítnuto&quot; může být předložena"
apps/erpnext/erpnext/accounts/doctype/accounting_dimension/accounting_dimension.py,Creating Dimensions...,Vytváření dimenzí ...
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,Student Group Name is mandatory in row {0},Student Název skupiny je povinné v řadě {0}
DocType: Homepage,Products to be shown on website homepage,"Produkty, které mají být uvedeny na internetových stránkách domovské"
DocType: HR Settings,Password Policy,Zásady hesla
apps/erpnext/erpnext/setup/doctype/customer_group/customer_group.js,This is a root customer group and cannot be edited.,"To je kořen skupiny zákazníků, a nelze upravovat."
DocType: Student,AB-,AB-
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty must be greater than zero,Celkové dokončené množství musí být větší než nula
DocType: Budget,Action if Accumulated Monthly Budget Exceeded on PO,Akce při překročení akumulovaného měsíčního rozpočtu v PO
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Place,Na místo
DocType: Stock Entry,Stock Entry (Outward GIT),Zásoby (Outward GIT)
DocType: Exchange Rate Revaluation,Exchange Rate Revaluation,Přehodnocení směnného kurzu
DocType: POS Profile,Ignore Pricing Rule,Ignorovat Ceny pravidlo
DocType: Employee Education,Graduate,Absolvent
DocType: Leave Block List,Block Days,Blokové dny
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,"Shipping Address does not have country, which is required for this Shipping Rule","Odeslání adresy nemá zemi, která je požadována pro toto Pravidlo plavby"
DocType: Journal Entry,Excise Entry,Spotřební Entry
DocType: Bank,Bank Transaction Mapping,Mapování bankovních transakcí
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Warning: Sales Order {0} already exists against Customer's Purchase Order {1},Upozornění: prodejní objednávky {0} již existuje proti Zákazníka Objednávky {1}
DocType: Terms and Conditions,"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Všeobecné obchodní podmínky, které mohou být přidány do prodejů a nákupů.

 Příklady: 

 1. Platnost nabídky.
 1. Platební podmínky (v předstihu, na úvěr, část zálohy atd.)
 1. Co je to další (nebo zaplatit zákazníkem).
 1. Bezpečnost / varování využití.
 1. Záruka, pokud existuje.
 1. Vrátí zásady.
 1. Podmínky přepravy, v případě potřeby.
 1. Způsoby řešení sporů, náhrady škody, odpovědnosti za škodu, atd 
 1. Adresa a kontakt na vaši společnost."
DocType: Homepage Section,Section Based On,Sekce založená na
DocType: Shopping Cart Settings,Show Apply Coupon Code,Zobrazit Použít kód kupónu
DocType: Issue,Issue Type,Typ vydání
DocType: Attendance,Leave Type,Typ absence
DocType: Purchase Invoice,Supplier Invoice Details,Dodavatel fakturační údaje
DocType: Agriculture Task,Ignore holidays,Ignorovat svátky
apps/erpnext/erpnext/accounts/doctype/coupon_code/coupon_code.js,Add/Edit Coupon Conditions,Přidat / upravit podmínky kupónu
apps/erpnext/erpnext/controllers/stock_controller.py,Expense / Difference account ({0}) must be a 'Profit or Loss' account,"Náklady / Rozdíl účtu ({0}), musí být ""zisk nebo ztráta"" účet"
DocType: Stock Entry Detail,Stock Entry Child,Zásoby dítě
DocType: Project,Copied From,Zkopírován z
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Invoice already created for all billing hours,Faktura již vytvořená pro všechny fakturační hodiny
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Name error: {0},Název chyba: {0}
DocType: Healthcare Service Unit Type,Item Details,Položka Podrobnosti
DocType: Cash Flow Mapping,Is Finance Cost,Jsou finanční náklady
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance for employee {0} is already marked,Účast na zaměstnance {0} je již označen
DocType: Packing Slip,If more than one package of the same type (for print),Pokud je více než jeden balík stejného typu (pro tisk)
apps/erpnext/erpnext/restaurant/doctype/restaurant_order_entry/restaurant_order_entry.py,Please set default customer in Restaurant Settings,Nastavte výchozího zákazníka v nastavení restaurace
,Salary Register,plat Register
DocType: Company,Default warehouse for Sales Return,Výchozí sklad pro vrácení prodeje
DocType: Pick List,Parent Warehouse,Nadřízený sklad
DocType: Subscription,Net Total,Net Total
apps/erpnext/erpnext/stock/doctype/batch/batch.py,"Set item's shelf life in days, to set expiry based on manufacturing date plus shelf-life.","Nastavte dobu použitelnosti položky ve dnech, nastavte dobu použitelnosti na základě data výroby plus doby použitelnosti."
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Default BOM not found for Item {0} and Project {1},Výchozí kusovník nebyl nalezen pro položku {0} a projekt {1}
apps/erpnext/erpnext/regional/italy/utils.py,Row {0}: Please set the Mode of Payment in Payment Schedule,Řádek {0}: Nastavte prosím platební režim v plánu plateb
apps/erpnext/erpnext/config/non_profit.py,Define various loan types,Definovat různé typy půjček
DocType: Bin,FCFS Rate,FCFS Rate
DocType: Bank Statement Transaction Invoice Item,Outstanding Amount,Dlužné částky
apps/erpnext/erpnext/templates/generators/bom.html,Time(in mins),Čas (v min)
DocType: Task,Working,Pracovní
DocType: Stock Ledger Entry,Stock Queue (FIFO),Sklad fronty (FIFO)
DocType: Homepage Section,Section HTML,Sekce HTML
apps/erpnext/erpnext/public/js/setup_wizard.js,Financial Year,Finanční rok
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,{0} does not belong to Company {1},{0} nepatří do Společnosti {1}
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_period/supplier_scorecard_period.py,Could not solve criteria score function for {0}. Make sure the formula is valid.,"Nelze vyřešit funkci skóre kritérií pro {0}. Zkontrolujte, zda je vzorec platný."
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost as on,Stát jak na
DocType: Healthcare Settings,Out Patient Settings,Out Nastavení pacienta
DocType: Account,Round Off,Zaokrouhlit
DocType: Service Level Priority,Resolution Time,Čas rozlišení
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Quantity must be positive,Množství musí být kladné
DocType: Job Card,Requested Qty,Požadované množství
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The fields From Shareholder and To Shareholder cannot be blank,Políčka Od Akcionáře a Akcionáře nesmí být prázdná
DocType: Cashier Closing,Cashier Closing,Pokladní pokladna
DocType: Tax Rule,Use for Shopping Cart,Použití pro Košík
DocType: Homepage,Homepage Slideshow,Domovská stránka Prezentace
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Select Serial Numbers,Zvolte sériová čísla
DocType: BOM Item,Scrap %,Scrap%
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,"Charges will be distributed proportionately based on item qty or amount, as per your selection","Poplatky budou rozděleny úměrně na základě položky Množství nebo částkou, dle Vašeho výběru"
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Create Supplier Quotation,Vytvořit nabídku dodavatele
DocType: Travel Request,Require Full Funding,Požádejte o plné financování
DocType: Maintenance Visit,Purposes,Cíle
DocType: Stock Entry,MAT-STE-.YYYY.-,MAT-STE-.YYYY.-
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Atleast one item should be entered with negative quantity in return document,Aspoň jedna položka by měla být zadána s negativním množství ve vratném dokumentu
DocType: Shift Type,Grace Period Settings For Auto Attendance,Nastavení doby odkladu pro automatickou účast
apps/erpnext/erpnext/manufacturing/doctype/workstation/workstation.py,"Operation {0} longer than any available working hours in workstation {1}, break down the operation into multiple operations","Provoz {0} déle, než všech dostupných pracovních hodin v pracovní stanici {1}, rozložit provoz do několika operací"
DocType: Membership,Membership Status,Stav členství
DocType: Travel Itinerary,Lodging Required,Požadováno ubytování
DocType: Promotional Scheme,Price Discount Slabs,Cenové slevové desky
DocType: Stock Reconciliation Item,Current Serial No,Aktuální sériové číslo
DocType: Employee,Attendance and Leave Details,Docházka a podrobnosti o dovolené
,BOM Comparison Tool,Nástroj pro porovnání kusovníků
,Requested,Požadované
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,No Remarks,Žádné poznámky
DocType: Asset,In Maintenance,V údržbě
DocType: Amazon MWS Settings,Click this button to pull your Sales Order data from Amazon MWS.,Kliknutím na toto tlačítko vygenerujete údaje o prodejní objednávce z Amazon MWS.
DocType: Vital Signs,Abdomen,Břicho
apps/erpnext/erpnext/accounts/doctype/exchange_rate_revaluation/exchange_rate_revaluation.py,No outstanding invoices require exchange rate revaluation,Žádné nevyfakturované faktury nevyžadují přehodnocení směnného kurzu
DocType: Purchase Invoice,Overdue,Zpožděný
DocType: Account,Stock Received But Not Billed,Sklad nepřijali Účtovaný
apps/erpnext/erpnext/accounts/doctype/account/account.py,Root Account must be a group,Root účet musí být skupina
DocType: Drug Prescription,Drug Prescription,Předepisování léků
DocType: Service Level,Support and Resolution,Podpora a rozlišení
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Free item code is not selected,Volný kód položky není vybrán
DocType: Loan,Repaid/Closed,Splacena / Zavřeno
DocType: Amazon MWS Settings,CA,CA
DocType: Item,Total Projected Qty,Celková předpokládaná Množství
DocType: Monthly Distribution,Distribution Name,Distribuce Name
DocType: Chart of Accounts Importer,Chart Tree,Strom grafu
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.js,Include UOM,Zahrnout UOM
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Material Request No,Materiál Poptávka No
DocType: Service Level Agreement,Default Service Level Agreement,Výchozí dohoda o úrovni služeb
DocType: SG Creation Tool Course,Course Code,Kód předmětu
apps/erpnext/erpnext/hr/utils.py,More than one selection for {0} not allowed,Více než jeden výběr pro {0} není povolen
DocType: Pick List,Qty of raw materials will be decided based on the qty of the Finished Goods Item,Množství surovin bude rozhodnuto na základě množství hotového zboží
DocType: Location,Parent Location,Umístění rodiče
DocType: POS Settings,Use POS in Offline Mode,Používejte POS v režimu offline
apps/erpnext/erpnext/support/doctype/issue/issue.py,Priority has been changed to {0}.,Priorita byla změněna na {0}.
apps/erpnext/erpnext/accounts/page/pos/pos.js,{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},"{0} je povinné. Možná, že záznam o výměně měny není vytvořen pro {1} až {2}"
DocType: Quotation,Rate at which customer's currency is converted to company's base currency,"Sazba, za kterou je měna zákazníka převedena na základní měnu společnosti"
DocType: Purchase Invoice Item,Net Rate (Company Currency),Čistý Rate (Company měny)
DocType: Salary Detail,Condition and Formula Help,Stav a Formula nápovědy
apps/erpnext/erpnext/config/crm.py,Manage Territory Tree.,Správa Territory strom.
apps/erpnext/erpnext/config/getting_started.py,Import Chart Of Accounts from CSV / Excel files,Importujte graf účtů ze souborů CSV / Excel
DocType: Patient Service Unit,Patient Service Unit,Jednotka služeb pacienta
DocType: Bank Statement Transaction Invoice Item,Sales Invoice,Prodejní faktury
DocType: Journal Entry Account,Party Balance,Balance Party
DocType: Cash Flow Mapper,Section Subtotal,Sekce Mezisoučet
apps/erpnext/erpnext/accounts/page/pos/pos.js,Please select Apply Discount On,"Prosím, vyberte Použít Sleva na"
DocType: Stock Settings,Sample Retention Warehouse,Úložiště uchovávání vzorků
DocType: Company,Default Receivable Account,Výchozí pohledávek účtu
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.js,Projected Quantity Formula,Předpokládané množství
DocType: Sales Invoice,Deemed Export,Považován za export
DocType: Pick List,Material Transfer for Manufacture,Materiál Přenos: Výroba
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Discount Percentage can be applied either against a Price List or for all Price List.,Sleva v procentech lze použít buď proti Ceníku nebo pro všechny Ceníku.
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Accounting Entry for Stock,Účetní položka na skladě
DocType: Lab Test,LabTest Approver,Nástroj LabTest
apps/erpnext/erpnext/education/doctype/assessment_plan/assessment_plan.py,You have already assessed for the assessment criteria {}.,Již jste hodnotili kritéria hodnocení {}.
DocType: Vehicle Service,Engine Oil,Motorový olej
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Work Orders Created: {0},Vytvořené zakázky: {0}
apps/erpnext/erpnext/crm/doctype/email_campaign/email_campaign.py,Please set an email id for the Lead {0},Zadejte prosím e-mailové ID pro potenciálního zákazníka {0}
DocType: Sales Invoice,Sales Team1,Sales Team1
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Item {0} does not exist,Bod {0} neexistuje
DocType: Sales Invoice,Customer Address,Zákazník Address
DocType: Loan,Loan Details,půjčka Podrobnosti
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Failed to setup post company fixtures,Nepodařilo se nastavit příslušenství společnosti
DocType: Company,Default Inventory Account,Výchozí účet inventáře
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The folio numbers are not matching,Čísla fólií se neodpovídají
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Payment Request for {0},Žádost o platbu za {0}
DocType: Item Barcode,Barcode Type,Typ čárového kódu
DocType: Antibiotic,Antibiotic Name,Název antibiotika
apps/erpnext/erpnext/config/buying.py,Supplier Group master.,Hlavní dodavatel skupiny.
DocType: Healthcare Service Unit,Occupancy Status,Stav obsazení
DocType: Purchase Invoice,Apply Additional Discount On,Použít dodatečné Sleva na
apps/erpnext/erpnext/healthcare/page/appointment_analytic/appointment_analytic.js,Select Type...,Vyberte typ ...
apps/erpnext/erpnext/templates/pages/help.html,Your tickets,Vaše lístky
DocType: Account,Root Type,Root Type
DocType: Item,FIFO,FIFO
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Close the POS,Zavřete POS
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Row # {0}: Cannot return more than {1} for Item {2},Řádek # {0}: Nelze vrátit více než {1} pro bodu {2}
DocType: Item Group,Show this slideshow at the top of the page,Zobrazit tuto prezentaci v horní části stránky
DocType: BOM,Item UOM,Položka UOM
DocType: Sales Taxes and Charges,Tax Amount After Discount Amount (Company Currency),Částka daně po slevě Částka (Company měny)
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Target warehouse is mandatory for row {0},Target sklad je povinná pro řadu {0}
apps/erpnext/erpnext/config/retail.py,Retail Operations,Maloobchodní operace
DocType: Cheque Print Template,Primary Settings,primární Nastavení
DocType: Attendance Request,Work From Home,Práce z domova
DocType: Purchase Invoice,Select Supplier Address,Vybrat Dodavatel Address
apps/erpnext/erpnext/public/js/event.js,Add Employees,Přidejte Zaměstnanci
DocType: Purchase Invoice Item,Quality Inspection,Kontrola kvality
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Extra Small,Extra Malé
DocType: Company,Standard Template,standardní šablona
DocType: Training Event,Theory,Teorie
apps/erpnext/erpnext/stock/doctype/material_request/material_request.js,Warning: Material Requested Qty is less than Minimum Order Qty,Upozornění: Materiál Požadované množství je menší než minimální objednávka Množství
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,Account {0} is frozen,Účet {0} je zmrazen
DocType: Quiz Question,Quiz Question,Kvízová otázka
DocType: Company,Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,"Právní subjekt / dceřiná společnost s oddělenou Graf účtů, které patří do organizace."
DocType: Payment Request,Mute Email,Mute Email
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,"Food, Beverage & Tobacco","Potraviny, nápoje a tabák"
DocType: Account,Account Number,Číslo účtu
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Can only make payment against unbilled {0},Lze provést pouze platbu proti nevyfakturované {0}
DocType: Call Log,Missed,Zmeškal
apps/erpnext/erpnext/controllers/selling_controller.py,Commission rate cannot be greater than 100,Rychlost Komise nemůže být větší než 100
apps/erpnext/erpnext/stock/doctype/item_manufacturer/item_manufacturer.py,Duplicate entry against the item code {0} and manufacturer {1},Duplicitní zadání oproti kódu položky {0} a výrobci {1}
DocType: Sales Invoice,Allocate Advances Automatically (FIFO),Automaticky přidělit předdavky (FIFO)
DocType: Volunteer,Volunteer,Dobrovolník
DocType: Buying Settings,Subcontract,Subdodávka
apps/erpnext/erpnext/public/js/utils/party.js,Please enter {0} first,"Prosím, zadejte {0} jako první"
apps/erpnext/erpnext/hr/doctype/daily_work_summary/daily_work_summary.py,No replies from,Žádné odpovědi od
DocType: Work Order Operation,Actual End Time,Aktuální End Time
DocType: Production Plan,Download Materials Required,Požadavky na materiál ke stažení
DocType: Purchase Invoice Item,Manufacturer Part Number,Typové označení
DocType: Taxable Salary Slab,Taxable Salary Slab,Zdanitelná mzdová deska
DocType: Work Order Operation,Estimated Time and Cost,Odhadovná doba a náklady
apps/erpnext/erpnext/controllers/stock_controller.py,Quality Inspection: {0} is not submitted for the item: {1} in row {2},Kontrola kvality: {0} není zadán pro položku: {1} v řádku {2}
DocType: Bin,Bin,Popelnice
DocType: Bank Transaction,Bank Transaction,Bankovní transakce
DocType: Crop,Crop Name,Název plodiny
apps/erpnext/erpnext/hub_node/api.py,Only users with {0} role can register on Marketplace,Pouze uživatelé s rolí {0} se mohou zaregistrovat na trhu
DocType: SMS Log,No of Sent SMS,Počet odeslaných SMS
DocType: Leave Application,HR-LAP-.YYYY.-,HR-LAP-.YYYY.-
apps/erpnext/erpnext/healthcare/doctype/inpatient_record/inpatient_record_dashboard.py,Appointments and Encounters,Setkání a setkání
DocType: Antibiotic,Healthcare Administrator,Správce zdravotní péče
apps/erpnext/erpnext/utilities/user_progress.py,Set a Target,Nastavte cíl
DocType: Dosage Strength,Dosage Strength,Síla dávkování
DocType: Healthcare Practitioner,Inpatient Visit Charge,Poplatek za návštěvu v nemocnici
apps/erpnext/erpnext/public/js/hub/pages/PublishedItems.vue,Published Items,Publikované položky
DocType: Account,Expense Account,Účtet nákladů
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Software,Software
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Colour,Barevné
DocType: Assessment Plan Criteria,Assessment Plan Criteria,Plan Assessment Criteria
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period_dashboard.py,Transactions,Transakce
DocType: Supplier Scorecard Scoring Standing,Prevent Purchase Orders,Zabránit nákupním objednávkám
DocType: Coupon Code,Coupon Name,Název kupónu
apps/erpnext/erpnext/healthcare/setup.py,Susceptible,Citlivý
DocType: Email Campaign,Scheduled,Plánované
DocType: Shift Type,Working Hours Calculation Based On,Výpočet pracovní doby na základě
apps/erpnext/erpnext/config/buying.py,Request for quotation.,Žádost o cenovou nabídku.
apps/erpnext/erpnext/selling/doctype/product_bundle/product_bundle.js,"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Product Bundle","Prosím, vyberte položku, kde &quot;Je skladem,&quot; je &quot;Ne&quot; a &quot;je Sales Item&quot; &quot;Ano&quot; a není tam žádný jiný produkt Bundle"
apps/erpnext/erpnext/restaurant/doctype/restaurant_order_entry/restaurant_order_entry.js,Select Customer,Vyberte zákazníka
DocType: Student Log,Academic,Akademický
DocType: Patient,Personal and Social History,Osobní a sociální historie
apps/erpnext/erpnext/education/doctype/guardian/guardian.py,User {0} created,Uživatel {0} byl vytvořen
DocType: Fee Schedule,Fee Breakup for each student,Rozdělení poplatků za každého studenta
apps/erpnext/erpnext/controllers/accounts_controller.py,Total advance ({0}) against Order {1} cannot be greater than the Grand Total ({2}),Celková záloha ({0}) na objednávku {1} nemůže být větší než celkový součet ({2})
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure_template/clinical_procedure_template.js,Change Code,Změnit kód
DocType: Purchase Invoice Item,Valuation Rate,Ocenění
apps/erpnext/erpnext/stock/doctype/item/item.js,Create Variants,Vytvoření variant
DocType: Vehicle,Diesel,motorová nafta
apps/erpnext/erpnext/stock/get_item_details.py,Price List Currency not selected,Ceníková Měna není zvolena
DocType: Quick Stock Balance,Available Quantity,dostupné množství
DocType: Purchase Invoice,Availed ITC Cess,Využil ITC Cess
apps/erpnext/erpnext/education/doctype/instructor/instructor.py,Please setup Instructor Naming System in Education &gt; Education Settings,Nastavte prosím Pojmenovací systém instruktorů v sekci Vzdělávání&gt; Nastavení vzdělávání
,Student Monthly Attendance Sheet,Student měsíční návštěvnost Sheet
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,Shipping rule only applicable for Selling,Pravidlo plavby platí pouze pro prodej
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Depreciation Row {0}: Next Depreciation Date cannot be before Purchase Date,Odpisový řádek {0}: Další datum odpisu nemůže být před datem nákupu
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Project Start Date,Datum zahájení projektu
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Until,Dokud
DocType: Rename Tool,Rename Log,Přejmenovat Přihlásit
apps/erpnext/erpnext/education/doctype/student_attendance/student_attendance.py,Student Group or Course Schedule is mandatory,Studentská skupina nebo program je povinný
DocType: Maintenance Visit Purpose,Against Document No,Proti dokumentu č
DocType: BOM,Scrap,Šrot
apps/erpnext/erpnext/utilities/user_progress.py,Go to Instructors,Přejděte na instruktory
apps/erpnext/erpnext/config/selling.py,Manage Sales Partners.,Správa prodejních partnerů.
DocType: Quality Inspection,Inspection Type,Kontrola Type
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,All bank transactions have been created,Byly vytvořeny všechny bankovní transakce
DocType: Fee Validity,Visited yet,Ještě navštěvováno
apps/erpnext/erpnext/public/js/hub/pages/FeaturedItems.vue,You can Feature upto 8 items.,Můžete zadat až 8 položek.
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py,Warehouses with existing transaction can not be converted to group.,Sklady se stávajícími transakce nelze převést na skupinu.
