Pension Funds,年金基金
Could not solve weighted score function. Make sure the formula is valid.,加重スコア関数を解くことができませんでした。式が有効であることを確認してください。
Asset Owner,アセットオーナー
Warehouse is mandatory for stock Item {0} in row {1},行{1}の在庫品目{0}には倉庫が必須です
Total Additional Costs,追加費用の合計
Last Sync On,最後の同期オン
Please set at least one row in the Taxes and Charges Table,税金テーブルに1行以上設定してください
Maintenance Team Name,保守チーム名
Chart of Cost Centers,原価センタ表
Go to Users,ユーザーに行く
Item Code,商品番号
'Opening',「開く」
Set Exchange Gain / Loss,為替差損益の設定
Make Payment via Journal Entry,仕訳伝票による支払
User has not applied rule on the invoice {0},ユーザーが請求書{0}にルールを適用していません
Payment Terms based on conditions,条件に基づく支払条件
% Received,受信率
Work Order Qty,作業指示数量
WIP Warehouse,仕掛品倉庫
ACC-PRQ-.YYYY.-,ACC-PRQ-YYYY-
User ID not set for Employee {0},ユーザーIDが従業員{0}に設定されていません
"Available qty is {0}, you need {1}",利用可能な数量は{0}です。{1}が必要です
User {0} created,ユーザー{0}が作成されました
Item Naming By,アイテムの命名
Ordered,順序付けられました
This is a root customer group and cannot be edited.,これはルート顧客グループであり、編集できません。
Material Request {0} is cancelled or stopped,品目要求{0}が取り消されたか停止されました
Supplied Qty,供給数量
Cash Flow Mapper,キャッシュフローマッパー
Sand,砂
Employee cannot report to himself.,従業員は自分自身に報告することはできません。
Order rescheduled for sync,同期のために再スケジュールされた注文
Default Unit of Measure for Variant '{0}' must be same as in Template '{1}',バリアント &#39;{0}&#39;のデフォルトの測定単位は、テンプレート &#39;{1}&#39;と同じである必要があります
Purchasing,購入
Cellphone Number,携帯番号
Gross Pay,給与総額
Hotel Room Pricing Package,ホテルの客室料金パッケージ
Is Cumulative,累積的です
Your cart is Empty,あなたのカートは空です
Daily Timesheet Summary,日次タイムシートの要約
New Quality Procedure,新しい品質手順
Sub-contracting,外注
Total Students,総学生
Local,地元
Leave Reason,理由を残す
Condition and Formula,条件と式
"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.",給与はすでに{0}から{1}の期間に処理されています。休暇期間はこの日付範囲内にすることはできません。
Basic Rate (Company Currency),基本レート（会社通貨）
BOM Scrap Item,BOMスクラップ明細
Serial #,シリアル番号
Default Billing Rate,デフォルトの請求レート
Coated,コーティング済み
More Info,より多くの情報
Bill of Materials,部品表
Inter Company Invoice Reference,会社間請求書参照
Cycle Type,サイクルタイプ
Exit Interview Summary,インタビューの終了
Item Variant Details,品目バリアント詳細
Partially Fulfilled,部分的に満たされた
ACC-JV-.YYYY.-,ACC-JV-YYYY-
To {0},{0}へ
GST Accounts,GSTアカウント
Total Invoiced Amount,合計請求金額
Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,作業指示書に対するタイムログの作成を無効にします。作業指示に対して作業を追跡してはならない
Group node warehouse is not allowed to select for transactions,グループノードウェアハウスはトランザクションを選択できません
Subscriber Name,加入者名
Customer Mobile No,顧客の携帯電話番号
Receiving,受け取り
Is Group,グループです
Contacts and Address,連絡先とアドレス
Warehouse Name,倉庫名
Attendance not submitted for {0} as it is a Holiday.,{0}は休日なので、出席は送信されませんでした。
Rounding,丸め
Ineligible ITC,対象外ITC
{0} created,{0}が作成されました
Select account head of the bank where cheque was deposited.,小切手が入金された銀行の口座名義人を選択します。
Support and Resolution,サポートと解決
Bank,バンク
Receive at Warehouse Entry,倉庫の入り口で受け取る
Send Supplier Emails,サプライヤメールを送る
Add new line,新しい行を追加
Duplicate item group found in the item group table,商品グループテーブルに重複する商品グループが見つかりました
Annual Salary,年俸
Weighting Function,重み付け関数
Error evaluating the criteria formula,基準式の評価中にエラーが発生しました
Lab Test Report,ラボテストレポート
With Operations,オペレーションとは
People who teach at your organisation,あなたの組織で教える人々
Account {0} does not belongs to company {1},アカウント{0}は会社{1}に属していません
Has Expiry Date,有効期限があります
Sum of Scores of Assessment Criteria needs to be {0}.,評価基準のスコアの合計は{0}である必要があります。
Property already added,プロパティはすでに追加されています
SUP-.YYYY.-,SUP -YYYY-
Expense Claim Account,経費請求アカウント
No repayments available for Journal Entry,仕訳入力に対する返済はありません。
{0} - {1} is inactive student,{0}  -  {1}は非アクティブな学生です
Activities,アクティビティ
Atleast one warehouse is mandatory,少なくとも1つの倉庫は必須です
Customer Credit Balance,顧客のクレジットバランス
Operations,オペレーション
Create Salary Slips,給与明細を作成する
Monthly Attendance Sheet,月次出席シート
Reflexes,反射神経
"Service Item,Type,frequency and expense amount are required",サービス項目、種類、頻度、および費用額が必要です
Variables,変数
Multiple Loyalty Program found for the Customer. Please select manually.,顧客に複数のロイヤリティプログラムが見つかりました。手動で選択してください。
Medication,薬
Select Loyalty Program,ロイヤリティプログラムを選択
Raw Materials,原材料
Fully Billed,全額請求
Please set Hotel Room Rate on {},ホテルの客室料金を{}に設定してください
Please identify/create Account (Ledger) for type - {0},タイプ -  {0}のアカウント（元帳）を識別/作成してください
Total Credit/ Debit Amount should be same as linked Journal Entry,合計貸方/借方金額は、リンクされた仕訳伝票と同じである必要があります。
Is Fixed Asset,固定資産です
To Party Name,パーティー名へ
This Item is a Variant of {0} (Template).,この商品は{0}（テンプレート）の変形です。
This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,このツールは、システム内の在庫の数量と評価を更新または修正するのに役立ちます。通常、システム値と倉庫に実際に存在するものとを同期させるために使用されます。
Net Amount,正味金額
Selling Price List,販売価格表
IT,それ
{0} must be negative in return document,返品伝票では{0}が負である必要があります
Please select a valid Date,有効な日付を選択してください
End Day,終了日
Please confirm once you have completed your training,トレーニングが完了したら確認してください
Go to Letterheads,レターヘッドに行く
Allow User,ユーザーを許可
% of materials delivered against this Sales Order,この受注に対して出荷された品目の割合
Purpose of Travel,旅行の目的
Appointment Confirmation,予約確認
Orders,ご注文
Retirement Age,退職年齢
Projected Qty,予測数量
Deletion is not permitted for country {0},国{0}の削除は許可されていません
Row #{0}: Asset {1} is already {2},行＃{0}：資産{1}はすでに{2}です
Installation Status,インストール状況
Attribute Value,属性値
Base Change Amount (Company Currency),基準変更額（会社通貨）
Unused leaves,未使用の葉
Finished Item {0} must be entered for Manufacture type entry,製造品目タイプ入力には、完成品{0}を入力する必要があります
'Entries' cannot be empty,「エントリ」は空にできません
Go to Courses,コースへ
Fee Breakup for each student,各学生のための手数料の分割
Will also apply for variants,バリアントにも適用されます
Shared secret,共有の秘密
Write Off Cost Center,原価センタ償却
Silty Clay,シルト質粘土
Redeemed Points,引き換えポイント
Mandate,委任
Create Multiple,複数作成
Scoring Standings,得点順位
Result Title Field,結果のタイトルフィールド
New Leaves Allocated,割り当てられた新しい葉
Homepage,ホームページ
Compensatory Off,報酬オフ
Opening Invoices Summary,請求書の概要を開く
Engine Oil,エンジンオイル
Applicant Name,申請者名
Delivery Document No,出荷伝票番号
Hub Users,ハブユーザー
Actual Quantity,実績数量
Credit Days,クレジット日数
Project Id,プロジェクトID
Electronics,エレクトロニクス
Due Date is mandatory,期日は必須です
Qty Consumed Per Unit,単位当たりの消費数量
Completed Work Orders,完了作業オーダー
Help Section,ヘルプセクション
Attendance date can not be less than employee's joining date,出席日は従業員の入会日より短くすることはできません
Total Cost(Company Currency),総原価（会社の通貨）
Net Total,合計額
Referral,紹介
Model,モデル
Please specify from/to range,から/までの範囲を指定してください
Quantity to Manufacture must be greater than 0.,製造する数量は0より大きくなければなりません。
Maintenance Time,メンテナンス時間
Naming Series,命名シリーズ
Contract Terms,契約条件
Either target qty or target amount is mandatory.,目標数量または目標金額のいずれかが必須です。
Invalid {0},無効な{0}
FIFO,FIFO
Meeting Date,ミーティング日
HLC-INP-.YYYY.-,HLC-INP-YYYY-
Abbreviation cannot have more than 5 characters,略語は5文字を超えることはできません
Max Benefits (Yearly),最大のメリット（年間）
Create Material Request,品目依頼の登録
Primary Address Details,一次住所の詳細
Duration (Days),期間（日数）
Customer Feedback Template Table,顧客フィードバックテンプレート表
Price List Rate,価格表レート
Action if Annual Budget Exceeded on PO,POで年間予算が超過した場合の対処
Campaign,キャンペーン
Accounting,経理
Set Item Group-wise budgets on this Territory. You can also include seasonality by setting the Distribution.,このテリトリーにアイテムグループごとの予算を設定します。 Distributionを設定して季節性を含めることもできます。
Insurance Start date should be less than Insurance End date,保険開始日は保険終了日より短くなければなりません
{0} items in progress,進行中の{0}個のアイテム
Foreign Trade Details,貿易の詳細
Yes/No,はい・いいえ
Is Master Data Imported,マスタデータのインポート
Item Tax Row {0} must have account of type Tax or Income or Expense or Chargeable,明細税行{0}は、タイプが税または所得、または経費または請求対象の勘定でなければなりません。
{0} is not a valid Batch Number for Item {1},{0}は商品{1}の有効なバッチ番号ではありません
Learn More,もっと詳しく知る
Credit Note {0} has been created automatically,クレジットメモ{0}が自動的に作成されました
Queued for replacing the BOM. It may take a few minutes.,BOMを交換するためにキューに入れられました。数分かかる場合があります。
Result Date,結果日
Currency exchange rate master.,通貨為替レートマスタ
Latest price updated in all BOMs,すべてのBOMで最新の価格が更新されました
Series Updated Successfully,シリーズが正常に更新された
Clay Loam,粘土ローム
Please select item code,商品コードを選択してください
Default warehouse is required for selected item,選択した商品にはデフォルトの倉庫が必要です
No Item with Serial No {0},シリアル番号{0}の項目なし
Party Type and Party is mandatory for {0} account,パーティータイプとパーティーは{0}アカウントには必須です
Accountant,会計士
POS Closing Voucher alreday exists for {0} between date {1} and {2},日付{1}と{2}の間の{0}にPOS決済伝票がすでに存在します
Navigating,ナビゲート
Customer / Item Name,顧客/商品名
New Serial No cannot have Warehouse. Warehouse must be set by Stock Entry or Purchase Receipt,新しいシリアル番号は倉庫を持つことはできません。倉庫は、在庫または購買入庫で設定する必要があります。
Via Customer Portal,カスタマーポータル経由
Planned Start Time,計画開始時間
{0} {1} is {2},{0} {1}は{2}です
Number of Depreciations Booked cannot be greater than Total Number of Depreciations,減価償却数は総減価償却数を超えることはできません
Share Ledger,元帳を共有する
Accounts Payable,買掛金勘定
Select Terms and Conditions,利用規約を選択
Ends On date cannot be before Next Contact Date.,終了日を次の連絡日より前にすることはできません。
Goods are already received against the outward entry {0},商品はすでに外部エントリ{0}に対して受け取られています
Tax Exemption Category,免税区分
Debit To,借方
"Selling must be checked, if Applicable For is selected as {0}",Applicable Forが{0}として選択されている場合、販売を確認する必要があります。
Date of Establishment,設立日
Leave Type is madatory,脱退タイプは狂気です
Sales Taxes and Charges Template,売上税と請求テンプレート
Return Against Purchase Receipt,購入領収書に対する返品
Student Group: ,学生グループ
Cheque Size,サイズを確認
Consolidated Financial Statement,連結財務諸表
Scanned Cheque,スキャンチェック
Reservation End Time,予約終了時間
In Value,インバリュー
Staffing Plan,人員配置計画
Material Transferred for Manufacture,製造に転送される品目
Reserved for manufacturing,製造用に予約済み
Undeposited Funds Account,未払いの資金アカウント
Material Request No,資料請求番号
Unreconciled Payment Details,未調整の支払い詳細
RFQs are not allowed for {0} due to a scorecard standing of {1},スコアカードの順位が{1}であるため、{0}にRFQは許可されていません
Validity in Days,日数での有効性
Applicable for Countries,国のために適当
Individual,個々
Clinical Procedure Template,臨床手順テンプレート
Net Asset value as on,上の純資産の値
Redemption Account,償還口座
Tree of Item Groups.,アイテムグループのツリー。
Show Items,アイテムを表示する
Paid Loan,有償ローン
Do you really want to scrap this asset?,本当にこのアセットを廃棄しますか？
Sales Order Date,受注日
Operating Costs,運用費用
Lead Time in days,リードタイム（日数）
Repay from Salary,給料からの返済
Discounted Invoice,割引請求書
Leave Block List Allow,ブロックリストを許可する
AMC Expiry Date,AMCの有効期限
Number of Depreciations Booked,減価償却数
Student Group Creation Tool,学生グループ作成ツール
Purchase Order Items To Be Billed,請求する発注品目
Holiday List for Optional Leave,任意休暇の休日リスト
Default settings for accounting transactions.,会計取引のデフォルト設定。
Scan Barcode,バーコードをスキャン
Update Cost Center Number,原価センタ番号の更新
Service Start Date,サービス開始日
Furnitures and Fixtures,家具と備品
Criteria weights must add up to 100%,基準の重みは100％まで追加する必要があります
Average Discount,平均割引
Discount must be less than 100,割引は100未満でなければなりません
Accumulated Depreciation as on,以下のように累積減価償却
Supplier Scorecard Scoring Variable,サプライヤスコアカードスコアリング変数
Message to show,見せるメッセージ
No Students in,に学生はいません
Temporary Accounts,一時アカウント
Bank Charges,銀行手数料
Goods Transferred,転送された商品
Primary Contact Details,主な連絡先の詳細
Values,値
"If not checked, the list will have to be added to each Department where it has to be applied.",チェックされていない場合、リストは適用されなければならない各部署に追加されなければなりません。
Show this slideshow at the top of the page,このスライドショーをページ上部に表示する
{0} parameter is invalid,{0}パラメータが無効です
No description given,説明なし
Closed Documents,クローズドドキュメント
Gross Margin,粗利益
Exchange Rate Revaluation Account,為替レート再評価勘定
Quotation To,見積もり
Bank Statement Settings Item,銀行取引明細書の設定項目
Setup Series,セットアップシリーズ
Reload Linked Analysis,リンク分析の再読み込み
Quantity must be less than or equal to {0},数量は{0}以下でなければなりません
Out Qty,アウト数量
Outward,外向き
Please enter Sales Orders in the above table,上の表に受注を入力してください
Bank Charges Account,銀行手数料アカウント
Get Outstanding Invoices,未払い請求書を取得する
Opportunity From,からの機会
Customer Code,顧客コード
Please enter Item first,最初に商品を入力してください
Website Listing,ウェブサイトのリスト
Invalid GSTIN! The input you've entered doesn't match the format of GSTIN.,GSTINが無効です。入力した入力がGSTINの形式と一致しません。
Re-order Qty,数量を並べ替える
Maintenance Required,メンテナンスが必要
Doc Name,ドキュメント名
Lead Owner cannot be same as the Lead,リードオーナーはリードと同じではいけません
"e.g. Bank, Cash, Credit Card",例：銀行、現金、クレジットカード
Serial Number Series,シリアル番号シリーズ
Bank Statement Transaction Entry List,銀行取引明細書取引エントリ一覧
Postal Expenses,郵便経費
Management,管理
To view logs of Loyalty Points assigned to a Customer.,顧客に割り当てられたロイヤルティポイントのログを表示する。
If subcontracted to a vendor,仕入先に外注した場合
Visit the forums,フォーラムにアクセスする
C-Form,Cフォーム
Maintenance Team,メンテナンスチーム
{0} on Half day Leave on {1},半日{0} {1}に出発
Combined invoice portion must equal 100%,請求書の合計金額は100％である必要があります
Occupational Hazards and Environmental Factors,職業上の危険と環境要因
Volunteer,ボランティア
Custom Result,カスタム結果
Opening Date,開会日
The selected BOMs are not for the same item,選択されたBOMは同じ品目用ではありません
Delivery To,へ配達する
Bank Data,銀行データ
Scheduled Upto,予定日
Everyday,毎日
Maintain Billing Hours and Working Hours Same on Timesheet,タイムシートで請求時間と勤務時間を同じに維持する
Track Leads by Lead Source.,リードソース別にリードを追跡します。
Nursing User,看護ユーザー
Response Key List,応答キーリスト
Ageing Based On,に基づく老化
Balance,バランス
Warehouse where you are maintaining stock of rejected items,拒否品目の在庫を管理している倉庫
Retail,小売
Maintenance Schedules,メンテナンススケジュール
Cannot convert Cost Center to ledger as it has child nodes,子ノードがあるため、原価センタを元帳に変換できません
Please specify at least one attribute in the Attributes table,属性テーブルに少なくとも1つの属性を指定してください
Create Chart Of Accounts Based On,に基づいて勘定科目表を作成する
Sales Invoice {0} must be cancelled before cancelling this Sales Order,この販売注文をキャンセルする前に、販売請求書{0}をキャンセルする必要があります
Default Purchase Unit of Measure,デフォルトの購入単位
Location Details,場所の詳細
Basic Rate (as per Stock UOM),基本レート（在庫単位による）
Travel Request Costing,出張申請原価計算
Create Sales Invoice,売上請求書を作成する
From Time cannot be greater than To Time.,開始時刻を終了時刻より大きくすることはできません。
To Date cannot be less than From Date,終了日を開始日より短くすることはできません
Manage Territory Tree.,テリトリーツリーを管理します。
Voucher Type,伝票タイプ
Serial No Service Contract Expiry,シリアルサービス契約の期限切れ
Certified,認定済み
Manufacture,製造
{0} items produced,{0}個の商品が生産されました
Payment Request for {0},{0}の支払い要求
Days Since Last Order,ラストオーダーからの日数
Please set default Cash or Bank account in Mode of Payment {0},デフォルトの現金または銀行口座を支払い方法{0}に設定してください
Instructors,インストラクター
Mark Present,プレゼントをマーク
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes",顧客の便宜のために、これらのコードは請求書や納品書などの印刷形式で使用できます。
Enable Amazon,Amazonを有効にする
Total Interest Payable,支払利息合計
Topic Content,トピックの内容
Company Address Name,会社の住所名
Goods In Transit,輸送中の商品
You can only redeem max {0} points in this order.,あなたはこの順序で最大{0}ポイントのみを引き換えることができます。
Please set account in Warehouse {0},倉庫{0}にアカウントを設定してください
Resolution,解決
Loyalty Points Redemption,ロイヤルティポイントの引き換え
Total Taxable Value,課税総額
Scheduled,予定
Partner Type,パートナーの種類
Import of services,サービスの輸入
School/University,学校/大学
Row {0}: UOM Conversion Factor is mandatory,行{0}：UOM換算係数は必須です
Reference No.,参照番号
Additional Operating Cost,追加の運営費
Collection Factor (=1 LP),回収率（= 1 LP）
Delivery Document Type,出荷伝票タイプ
Attributes,属性
Bank Guarantee,銀行保証
Territory Name,地域名
Minimum Qty ,最小数量
Per Week,1週間あたり
Warn for new Request for Quotations,新しい見積依頼を警告する
Tax,税金
Visited,訪れた
Auto Opt In (For all customers),自動オプトイン（すべてのお客様向け）
Rate at which Customer Currency is converted to customer's base currency,顧客通貨が顧客の基本通貨に変換される割合
Applicable if the company is an Individual or a Proprietorship,会社が個人または所有者の場合
Restaurant,レストラン
Address Name,住所名
Employee Promotion,従業員の昇進
No repayments selected for Journal Entry,仕訳入力に対して返済が選択されていません
Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,B2Cの請求書金額を設定します。 B2CLとB2CSは、この請求金額に基づいて計算されます。
Cannot deduct when category is for 'Valuation' or 'Vaulation and Total',カテゴリが「評価」または「給与と合計」の場合は差し引きできません
Revised On,改訂日
Please enter Root Type for - {0},-  {0}のルートタイプを入力してください
The item referenced by {0} - {1} is already invoiced,{0}  -  {1}によって参照されている商品は既に請求されています
Suspended,一時停止
Accumulated Depreciation Account,減価償却累計額
Credit in Company Currency,会社通貨での貸方
Entertainment & Leisure,エンターテイメント＆レジャー
New Sales Invoice,新しい販売請求書
Net Profit,純利益
Another Sales Person {0} exists with the same Employee id,同じ従業員IDを持つ別の営業担当者{0}が存在します
Closing (Dr),閉会（Dr）
Loyalty Program Tier,ロイヤルティプログラム層
Total Taxes and Charges,合計税金
JP,JP
Operation Description,操作説明
Bank Transaction Entries,銀行取引エントリ
Leave Approval Notification Template,承認通知テンプレートを残す
Doc Type,ドキュメントタイプ
New Purchase Invoice,新規購入請求書
"Requested Qty: Quantity requested for purchase, but not ordered.",要求数量：購入のために要求されたが注文されていない数量。
Supplier Name,サプライヤ名
Please click on 'Generate Schedule' to fetch Serial No added for Item {0},項目{0}に追加されたシリアル番号を取得するには、「スケジュールの生成」をクリックしてください。
Cost of Delivered Items,納入品のコスト
Consumed,消費した
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,組織に属する個別の勘定科目表を持つ法人/子会社。
Show In Website,ウェブサイトに表示
"Then Pricing Rules are filtered out based on Customer, Customer Group, Territory, Supplier, Supplier Type, Campaign, Sales Partner etc.",次に、顧客、顧客グループ、地域、サプライヤ、サプライヤタイプ、キャンペーン、販売パートナーなどに基づいて価格設定ルールが除外されます。
Payment Request Type,支払請求タイプ
The field To Shareholder cannot be blank,[株主へ]フィールドは空白にできません
QuickBooks Migrator,QuickBooks Migrator
POS Profile is required to use Point-of-Sale,POSプロファイルは、POSを使用するために必要です。
Purchase Order Pricing Rule,発注価格設定ルール
Expenses,経費
Cheque,チェック
Currency and Price List,通貨と価格表
Shop URL,ショップのURL
Source Location,ソースの場所
Enter value must be positive,値を入力してください
Allow Cost Center In Entry of Balance Sheet Account,貸借対照表勘定の入力で原価センタを許可
Attendance,出席
Internet,インターネット
Monthly Distribution Percentages,月別分布率
Dispatch Notification Template,発送通知テンプレート
Total (Without Tax),合計（税抜き）
Cash Flow Mapping,キャッシュフローマッピング
HLC-ENC-.YYYY.-,HLC-ENC-YYYY-
Section Leader,セクションリーダー
Budget Variance Report,予算差異レポート
Gross Purchase Amount,購入総額
Half Day Date is mandatory,半日の日付は必須です
Removed items with no change in quantity or value.,数量や金額に変化がないアイテムを削除しました。
Applicant Type,申請者のタイプ
To Address 2,住所2へ
Range,範囲
BUDGET,予算
Depreciation Entry,減価償却エントリ
Price List Rate (Company Currency),価格表レート（会社通貨）
Not Paid and Not Delivered,未払いおよび未配達
Sales Invoice {0} created,販売請求書{0}が作成されました
Objective,目的
Admission Scheduled,入学予定
To be delivered to customer,得意先に納入する
On Duty,勤務中
Variable,変数
Row {0}: Depreciation Start Date is required,行{0}：減価償却開始日が必要です
Option,オプション
Out Patient SMS Alerts,患者向けSMSアラート
Sales Account,セールスアカウント
Weather Parameter,天気パラメータ
Allocate,割り当てる
Maintenance Schedule Detail,メンテナンススケジュール詳細
BOM Update Tool,BOM更新ツール
Notice Period,通知期間
Lead Owner Efficiency,リードオーナーの効率
Total Characters,総キャラクター
Alcohol Past Use,アルコール過去の使用
Divorced,離婚
Allocate Advances Automatically (FIFO),自動的に前払を割り当てる（FIFO）
Is Compensatory,補償的です
Employees working on a holiday,休日に働く従業員
Mobile,モバイル
"Timesheets help keep track of time, cost and billing for activites done by your team",タイムシートは、チームによって行われた活動の時間、コスト、および請求額を追跡するのに役立ちます。
Order Information,注文情報
Subtotal,小計
Invoice Discounting,請求書割引
Nos,いや
Freeze Stock Entries,在庫エントリの凍結
Item {0} not found,アイテム{0}が見つかりません
You have entered duplicate items. Please rectify and try again.,重複した項目を入力しました。修正してもう一度やり直してください。
Rate,レート
Saving {0},{0}を保存しています
Total Message(s),合計メッセージ数
Group by Account,アカウントでグループ化
In Words will be visible once you save the Quotation.,見積を保存すると、単語が表示されます。
Quantity to Produce,生産する数量
Row #{0}: Cannot set Rate if amount is greater than billed amount for Item {1}.,行＃{0}：金額が商品{1}の請求金額より多い場合、レートを設定できません。
Actual Start Time,実際の開始時間
Laboratory User,ラボユーザー
Online Auctions,オンラインオークション
Fee Creation Status,料金作成ステータス
Softwares,ソフトウェア
Sales Order to Payment,受注から支払へ
This is based on transactions against this Healthcare Practitioner.,これは、この医療従事者に対する取引に基づいています。
Assigning Structures...,構造を割り当てています...
Details of the operations carried out.,実行された操作の詳細。
Operation Time must be greater than 0 for Operation {0},操作{0}の操作時間は0より大きくなければなりません
A qustion must have at least one correct options,qustionには少なくとも1つの正しいオプションが必要です
Folio no.,フォリオ
A Negative,マイナス
{0} is mandatory for Item {1},アイテム{1}には{0}が必須です
Production Analytics,生産分析
Row #{0}: Set Supplier for item {1},行＃{0}：商品{1}のサプライヤーを設定
Records,記録
Case No(s) already in use. Try from Case No {0},ケース番号はすでに使用されています。ケース番号{0}から試してください
Website URL,ウェブサイトのURL
Report Type is mandatory,レポートタイプは必須です
Policy No,ポリシーいいえ
Replies,返信
Variable Name,変数名
Utilities,公益事業
Total Completed Qty,完了した合計数量
No Items with Bill of Materials to Manufacture,製造部品表のない品目
Blanket Order Rate,一括注文率
Track separate Income and Expense for product verticals or divisions.,製品の業種や部門ごとに別々の収入と費用を追跡します。
Warning: Invalid SSL certificate on attachment {0},警告：添付ファイル{0}の無効なSSL証明書
Opp Count,オプトカウント
As Examiner,審査官として
Default Expense Claim Payable Account,デフォルトの支払請求支払勘定
HR-ADS-.YY.-.MM.-,HR-ADS-YY-MM-
Docs Search,ドキュメント検索
End Date can not be less than Start Date,終了日は開始日より短くすることはできません
No Items with Bill of Materials.,部品表のある品目はありません。
Single unit of an Item.,案件の1単位。
Quotations,名言集
Could not generate Secret,秘密を生成できませんでした
Valuation and Total,評価と合計
Member Activity,メンバーの活動
Import Attendance,インポート出席
Account for Change Amount,変更額の勘定
Item Price Stock,商品価格在庫
ACC-ASS-.YYYY.-,ACC-ASS-YYYY-
"Request for Quotation is disabled to access from portal, for more check portal settings.",より多くのポータル設定を確認するために、見積依頼はポータルからのアクセスが無効になっています。
Mapped Header,マッピングヘッダ
"Item Code, warehouse, quantity are required on row",品目コード、倉庫、数量が行に必要です
Bank Account Details,銀行口座の詳細
Homepage Slideshow,ホームページスライドショー
"Partially Sponsored, Require Partial Funding",部分的に後援、部分的な資金が必要
Payment of {0} from {1} to {2},{1}から{2}への{0}の支払い
Serial No Status,シリアルNoステータス
Donor,ドナー
Item UOM,アイテム単位
Row {0}: select the workstation against the operation {1},行{0}：操作{1}に対してワークステーションを選択してください
Default Return Warehouse,デフォルト返品倉庫
{0} must be submitted,{0}を送信する必要があります
Estimated Cost,見積もり金額
Quot/Lead %,見積もり/リード％
Member information.,会員情報
Reverse Journal Entry,逆仕訳入力
Set a sales goal you'd like to achieve for your company.,あなたの会社のために達成したい販売目標を設定してください。
Special,特殊
Reserved Qty for Subcontract: Raw materials quantity to make subcotracted items.,外注の予約数量：外注品目を作成するための原材料数量。
In print,印刷中
Could not retrieve information for {0}.,{0}の情報を取得できませんでした。
Billing currency must be equal to either default company's currency or party account currency,請求通貨は、デフォルトの会社の通貨またはパーティーアカウントの通貨と同じである必要があります。
Please enter Employee Id of this sales person,この販売員の従業員IDを入力してください
Create Opening Sales and Purchase Invoices,開始販売および購買請求書の登録
Treatment Period,治療期間
Setting up Email,メールを設定する
Debit Note Amount,デビットノート金額
Rate at which Price list currency is converted to customer's base currency,価格表通貨が顧客の基本通貨に変換される割合
Certification,認証
"Here you can maintain height, weight, allergies, medical concerns etc",ここでは身長、体重、アレルギー、医療上の問題などを管理できます。
Print Heading,印刷見出し
Withdrawn,引きこもった
Select company first,最初に会社を選択
Application period cannot be across two allocation records,申請期間は2つの割当レコードにまたがることはできません
Rate:,レート：
Employee {0} has no maximum benefit amount,従業員{0}には最大給付額がありません
Employee Skills,従業員のスキル
Student Name: ,学生の名前：
Sent On,送信済み
Sales Invoice,売上請求書
Response Time can't be greater than Resolution Time,応答時間は解決時間より長くすることはできません
"For Course based Student Group, the Course will be validated for every Student from the enrolled Courses in Program Enrollment.",コースベースの学生グループの場合、コースは、プログラム登録の登録済みコースからすべての学生に対して検証されます。
Intra-State Supplies,州内物資
Create User Permission,ユーザー権限を作成する
Please save the report again to rebuild or update,再構築または更新するには、レポートをもう一度保存してください
Territory,地域
Quarter,四半期
Grand Total (Company Currency),総計（会社の通貨）
Prescription Dosage,処方薬の投与量
Hour Rate,時間レート
Latitude,緯度
Expense Date,経費日
Show Payment Details,支払い詳細を表示
Default Payable Account,デフォルトの買掛金
Serial No {0} does not belong to any Warehouse,シリアル番号{0}はどの倉庫にも属していません
Group by Party,パーティー別グループ
Evening,イブニング
SAL-CAM-.YYYY.-,SAL-CAM-.YYYY.-
Exchange Gain/Loss,為替差損益
Make Sales Invoice,売上請求書を作成する
Create Missing Party,行方不明のパーティーを作成する
For quantity {0} should not be grater than work order quantity {1},数量{0}は作業指示数量{1}よりも多いことはできません
Additional Charges,追加料金
Assessment Result Tool,評価結果ツール
Contra Entry,コントラエントリ
Application Status,アプリケーションの状態
Total Amount in Words,単語の合計金額
"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment. ",セールスキャンペーンを追跡します。キャンペーンからの見込み客、見積もり、受注などを追跡し、投資収益率を測定します。
Missing Currency Exchange Rates for {0},{0}の通貨の為替レートが見つかりません
Pricing Rule Item Group,価格設定ルール明細グループ
Reading 8,読む8
From Fiscal Year,会計年度から
Tally Creditors Account,タリークレジットアカウント
Print Section,印刷セクション
This is a root department and cannot be edited.,これはルート部門であり、編集できません。
Project Quantity,プロジェクト数量
Standard contract terms for Sales or Purchase.,販売または購入の標準契約条件
Customer PO Details,顧客POの詳細
Patient not found,患者が見つかりません
Remove item if charges is not applicable to that item,料金がそのアイテムに適用されない場合はアイテムを削除します
A Customer Group exists with same name please change the Customer name or rename the Customer Group,同じ名前のカスタマーグループが存在しますカスタマーネームを変更するか、カスタマーグループの名前を変更してください。
