Pension Funds,Fundusze emerytalne
"Item Code, warehouse, quantity are required on row","Kod towaru, magazyn, ilość są wymagane w rzędzie"
Bank Account Details,Szczegóły konta bankowego
Homepage Slideshow,Pokaz slajdów na stronie głównej
"Partially Sponsored, Require Partial Funding","Częściowo sponsorowane, wymagane częściowe finansowanie"
Payment of {0} from {1} to {2},Płatność {0} od {1} do {2}
Serial No Status,Status szeregowy
Donor,Dawca
Item UOM,Pozycja UOM
Row {0}: select the workstation against the operation {1},Wiersz {0}: wybierz stację roboczą przeciwko operacji {1}
Default Return Warehouse,Domyślny magazyn zwrotów
{0} must be submitted,{0} należy przesłać
Estimated Cost,Szacowany koszt
Quot/Lead %,Quot / Lead%
Member information.,Informacje o członkach.
Reverse Journal Entry,Odwróć wpis do dziennika
Set a sales goal you'd like to achieve for your company.,"Ustaw cel sprzedaży, który chcesz osiągnąć dla swojej firmy."
Special,Specjalny
Reserved Qty for Subcontract: Raw materials quantity to make subcotracted items.,Zarezerwowana ilość na zlecenie podwykonawstwa: ilość surowców do produkcji artykułów objętych subkontraktami.
In print,W druku
Could not retrieve information for {0}.,Nie można pobrać informacji dla {0}.
Billing currency must be equal to either default company's currency or party account currency,Waluta rozliczeniowa musi być równa domyślnej walucie firmy lub walucie konta podmiotu
Please enter Employee Id of this sales person,Wprowadź identyfikator pracownika tego sprzedawcy
Create Opening Sales and Purchase Invoices,Utwórz otwarcie sprzedaży i faktury zakupu
Treatment Period,Okres leczenia
Setting up Email,Konfigurowanie poczty e-mail
Debit Note Amount,Kwota noty debetowej
Rate at which Price list currency is converted to customer's base currency,"Oceń, po której walucie Cennika przelicza się na walutę podstawową klienta"
Certification,Orzecznictwo
"Here you can maintain height, weight, allergies, medical concerns etc","Tutaj możesz utrzymać wzrost, wagę, alergie, problemy medyczne itp"
Print Heading,Drukuj nagłówek
Withdrawn,Wycofane
Select company first,Najpierw wybierz firmę
Application period cannot be across two allocation records,Okres składania wniosków nie może obejmować dwóch rekordów przydziału
Rate:,Oceniać:
Employee {0} has no maximum benefit amount,Pracownik {0} nie ma maksymalnej kwoty świadczenia
Employee Skills,Umiejętności pracowników
Student Name: ,Nazwa ucznia:
Sent On,Wysłane
Sales Invoice,Faktura sprzedaży
Response Time can't be greater than Resolution Time,Czas odpowiedzi nie może być większy niż czas rozdzielczości
"For Course based Student Group, the Course will be validated for every Student from the enrolled Courses in Program Enrollment.","W przypadku Grupy Studenckiej opartej na Kursie, Kurs zostanie zatwierdzony dla każdego Ucznia z zapisanych Kursów w Rejestracji Programu."
Intra-State Supplies,Materiały wewnątrzpaństwowe
Create User Permission,Utwórz uprawnienia użytkownika
Please save the report again to rebuild or update,"Zapisz raport ponownie, aby go odbudować lub zaktualizować"
Territory,Terytorium
Quarter,Jedna czwarta
Grand Total (Company Currency),Wielka suma (waluta firmy)
Prescription Dosage,Dawkowanie na receptę
Hour Rate,Stawka godzinowa
Latitude,Szerokość
Expense Date,Data wydatków
Show Payment Details,Pokaż szczegóły płatności
Default Payable Account,Domyślne konto płatne
Serial No {0} does not belong to any Warehouse,Numer seryjny {0} nie należy do żadnej hurtowni
Group by Party,Grupa według partii
Evening,Wieczór
SAL-CAM-.YYYY.-,SAL-CAM-.YYYY.-
Exchange Gain/Loss,Zysk / Strata Wymiany
Make Sales Invoice,Utwórz fakturę sprzedaży
Create Missing Party,Stwórz Missing Party
For quantity {0} should not be grater than work order quantity {1},Dla ilości {0} nie powinno być więcej niż ilość zlecenia pracy {1}
Additional Charges,Dodatkowe opłaty
Assessment Result Tool,Narzędzie oceny wyników
Contra Entry,Contra Entry
Application Status,Status aplikacji
Total Amount in Words,Łączna kwota w słowach
"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment. ","Śledź kampanie sprzedaży. Śledź oferty, oferty, zamówienia sprzedaży itp. Z kampanii, aby ocenić zwrot z inwestycji."
Missing Currency Exchange Rates for {0},Brakujące kursy wymiany walut dla {0}
Pricing Rule Item Group,Grupa pozycji Reguły cenowe
Reading 8,Czytanie 8
From Fiscal Year,Od roku podatkowego
Tally Creditors Account,Tally Credit Accounts
Print Section,Sekcja drukowania
This is a root department and cannot be edited.,To jest dział główny i nie można go edytować.
Project Quantity,Ilość projektu
Standard contract terms for Sales or Purchase.,Standardowe warunki umowy dotyczące sprzedaży lub zakupu.
Customer PO Details,Szczegóły zamówienia klienta
Patient not found,Nie znaleziono pacjenta
Remove item if charges is not applicable to that item,"Usuń przedmiot, jeśli opłaty nie dotyczą tego przedmiotu"
A Customer Group exists with same name please change the Customer name or rename the Customer Group,Istnieje grupa klientów o tej samej nazwie. Zmień nazwę klienta lub zmień nazwę grupy klientów
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","Standardowy szablon podatku, który można zastosować do wszystkich transakcji sprzedaży. Ten szablon może zawierać listę szefów podatkowych, a także innych szefów wydatków / dochodów, takich jak „Wysyłka”, „Ubezpieczenie”, „Obsługa” itp. Przedmiotów**. Jeśli istnieją ** przedmioty **, które mają różne stawki, muszą zostać dodane w tabeli ** Podatek od przedmiotów ** w tytule ** Przedmiot **. #### Opis kolumn 1. Typ kalkulacji: - Może być na ** Suma netto ** (czyli suma kwoty podstawowej). - ** W przypadku poprzedniej sumy wierszy / kwoty ** (dla skumulowanych podatków lub opłat). Jeśli wybierzesz tę opcję, podatek zostanie zastosowany jako procent kwoty poprzedniego wiersza (w tabeli podatkowej) kwoty lub sumy. - ** Rzeczywisty ** (jak wspomniano). 2. Kierownik rachunku: księga rachunkowa, w ramach której podatek zostanie zaksięgowany 3. Miejsce powstawania kosztów: Jeśli podatek / opłata jest dochodem (np. Wysyłka) lub wydatkiem, należy go zarezerwować w miejscu powstawania kosztów. 4. Opis: opis podatku (który zostanie wydrukowany w fakturach / ofertach). 5. Stawka: Stawka podatku. 6. Kwota: kwota podatku. 7. Suma: Łączna suma do tego punktu. 8. Wpisz wiersz: Jeśli opiera się na „Poprzedni wiersz sumy”, możesz wybrać numer wiersza, który zostanie przyjęty jako podstawa do tego obliczenia (domyślnie jest to poprzedni wiersz). 9. Czy ten podatek jest wliczony w stawkę podstawową ?: Jeśli to zaznaczysz, oznacza to, że podatek ten nie zostanie pokazany poniżej tabeli przedmiotów, ale zostanie uwzględniony w stawce podstawowej w głównej tabeli przedmiotów. Jest to przydatne tam, gdzie chcesz podać klientom cenę płaską (włącznie ze wszystkimi podatkami)."
To Date must be greater than From Date,To Date musi być większe niż From Date
Parent Customer Group,Parent Customer Group
Prices will not be shown if Price List is not set,"Ceny nie będą wyświetlane, jeśli cennik nie zostanie ustawiony"
ERPNext Settings,Ustawienia ERPNext
Time Sheet for manufacturing.,Arkusz czasu dla produkcji.
Student Language,Język ucznia
Please set the Payment Schedule,Ustaw harmonogram płatności
Name of Organizer,Nazwa organizatora
Please set Depreciation related Accounts in Asset Category {0} or Company {1},Ustaw konta związane z amortyzacją w kategorii aktywów {0} lub w firmie {1}
Setup cheque dimensions for printing,Ustawienia sprawdź wymiary do drukowania
"If you have any questions, please get back to us.","Jeśli masz jakieś pytania, skontaktuj się z nami."
Purchase Receipt {0} is not submitted,Potwierdzenie zakupu {0} nie zostało przesłane
Total Expense Claim (via Expense Claim),Roszczenie o łączną kwotę wydatków (za pośrednictwem oświadczenia o wydatkach)
Quality Goal,Cel jakości
Support Portal,Portal wsparcia
End date of task <b>{0}</b> cannot be less than <b>{1}</b> expected start date <b>{2}</b>,Data zakończenia zadania <b>{0}</b> nie może być mniejsza niż <b>{1}</b> oczekiwana data rozpoczęcia <b>{2}</b>
Employee {0} is on Leave on {1},Pracownik {0} jest włączony Opuść {1}
Held On,Wstrzymany
Practitioner Schedules,Harmonogramy dla praktyków
Begin On (Days),Rozpocznij od (dni)
"If enabled, then system will create the material even if the raw materials are available","Jeśli ta opcja jest włączona, system utworzy materiał, nawet jeśli surowce są dostępne"
Work Order has been {0},Zlecenie pracy zostało {0}
Admission Schedule Date,Data harmonogramu przyjęcia
Asset Value Adjustment,Korekta wartości aktywów
Supplies made to Unregistered Persons,Dostawy dla niezarejestrowanych osób
All Jobs,Wszystkie prace
Appointment Type,Rodzaj spotkania
Allow Overtime,Zezwalaj na dogrywkę
Available Qty at Warehouse,Dostępna ilość w magazynie
Sales Invoice Item,Pozycja faktury sprzedaży
HR,HR
Assessment Terms,Warunki oceny
Increment for Attribute {0} cannot be 0,Przyrost dla atrybutu {0} nie może wynosić 0
Carry Forward,Carry Forward
Dependent Task,Zadanie zależne
Allowed To Transact With,Dozwolone transakcje
Become a Seller,Zostań sprzedawcą
Bank Reconciliation,Uzgodnienie bankowe
Types of activities for Time Logs,Rodzaje działań dla dzienników czasu
POS Closing Voucher Invoices,Faktury na kupon zamknięcia POS
AB Negative,AB Negatyw
Budget Detail,Szczegóły budżetu
Normal reference range for an adult is 16–20 breaths/minute (RCP 2012),Normalny zakres odniesienia dla osoby dorosłej wynosi 16–20 oddechów / minutę (RCP 2012)
Sales Orders,Zlecenia sprzedaży
Create Journal Entry,Utwórz wpis do dziennika
Secured Loans,Pożyczki zabezpieczone
To Shareholder,Do Akcjonariusza
Maintenance Schedule,Harmonogram przeglądów
"chapters/chapter_name
leave blank automatically set after saving chapter.",rozdziały / nazwa_działu pozostawiają puste pole ustawione automatycznie po zapisaniu rozdziału.
Payment Success Url,URL sukcesu płatności
Delivered Amount,Dostarczona kwota
Min Amt can not be greater than Max Amt,Min Amt nie może być większy niż Max Amt
Salary Structure not found for employee {0} and date {1},Nie znaleziono struktury wynagrodzenia dla pracownika {0} i daty {1}
Invoice Appointments Automatically,Terminy spotkań automatycznie
Please fill in all the details to generate Assessment Result.,"Proszę wypełnić wszystkie szczegóły, aby wygenerować wynik oceny."
Variance ({}),Wariancja ({})
Patient Name,Imię pacjenta
Your Organization,Twoja organizacja
Fulfilment Details,Szczegóły realizacji
Total Billed Amount (via Sales Invoices),Łączna kwota faktury (za pośrednictwem faktur sprzedaży)
Kg,Kg
Appointment cancelled,Odwołanie spotkania
Reminder Message,Wiadomość z przypomnieniem
Balance Loan Amount,Saldo Kwota pożyczki
Manage Sales Person Tree.,Zarządzaj drzewem sprzedaży.
There are more holidays than working days this month.,W tym miesiącu jest więcej świąt niż dni roboczych.
Default BOM,Domyślna LM
Operating Cost (Company Currency),Koszt operacyjny (waluta firmy)
Item Price,Cena przedmiotu
Party Name,Nazwa imprezy
Please select a customer,Wybierz klienta
Course Intro,Wprowadzenie do kursu
New Program,Nowy program
"Number of new Cost Center, it will be included in the cost center name as a prefix","Liczba nowych miejsc powstawania kosztów, które zostaną uwzględnione w nazwie miejsca powstawania kosztów jako prefiks"
Select the customer or supplier.,Wybierz klienta lub dostawcę.
Valid till date cannot be before transaction date,Ważny do daty nie może być przed datą transakcji
Cannot deactivate or cancel BOM as it is linked with other BOMs,"Nie można dezaktywować ani anulować zestawienia komponentów, ponieważ jest ono połączone z innymi zestawieniami materiałowymi"
Place Of Supply (State/UT),Miejsce zaopatrzenia (stan / UT)
Job Title,Stanowisko
Fee Component,Składnik opłaty
C-Form records,Rekordy C-Form
Payment Cancelled. Please check your GoCardless Account for more details,Płatność anulowana. Sprawdź szczegóły swojego konta GoCardless
Less than a year,Mniej niż rok
Work Order {0} must be submitted,Zamówienie pracy {0} musi zostać złożone
Filter Total Zero Qty,Filtruj całkowitą ilość zero
Applicant for a Job,Wnioskodawca o pracę
No records found in the Invoice table,Brak rekordów w tabeli faktur
Chart of Accounts Importer,Importer planu kont
Item or Warehouse for row {0} does not match Material Request,Pozycja lub magazyn dla wiersza {0} nie pasuje do żądania materiału
IGST Amount,Kwota IGST
Delivery Notes {0} updated,Zaktualizowano uwagi dostawy {0}
Lodging Required,Wymagane mieszkanie
Total Revenue,Całkowity dochód
Student Group Student,Student Group Student
Buyer of Goods and Services.,Kupujący towarów i usług.
Vehicle,Pojazd
Quantity ({0}) cannot be a fraction in row {1},Ilość ({0}) nie może być ułamkiem w rzędzie {1}
Bonus Amount,Kwota bonusowa
Amount Difference,Różnica kwot
Maintenance Tasks,Zadania konserwacyjne
Stop Birthday Reminders,Zatrzymaj przypomnienia o urodzinach
Payment Account,Konto płatności
Stock Frozen Upto,Stock Frozen Upto
Default Material Request Type,Domyślny typ żądania materiału
Clinical Procedure Item,Przedmiot procedury klinicznej
Finance Book,Książka finansowa
From Datetime,From Datetime
Currency of the price list {0} must be {1} or {2},Waluta cennika {0} musi być {1} lub {2}
Open Orders,Otwarte zlecenia
Admit,Przyznać
Total {0} ({1}),Łącznie {0} ({1})
GitHub ID,GitHub ID
From Address 1,Od adresu 1
Total hours: {0},Suma godzin: {0}
Transfer Date,Data przeniesienia
Enter name of campaign if source of enquiry is campaign,"Wprowadź nazwę kampanii, jeśli źródłem zapytania jest kampania"
This Item is a Template and cannot be used in transactions. Item attributes will be copied over into the variants unless 'No Copy' is set,"Ten przedmiot jest szablonem i nie może być używany w transakcjach. Atrybuty elementów zostaną skopiowane do wariantów, chyba że ustawiono „Brak kopii”"
Regular,Regularny
Maximum discount for Item {0} is {1}%,Maksymalny rabat dla przedmiotu {0} wynosi {1}%
Not Started,Nie rozpoczął
Treatment Task,Zadanie leczenia
Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,Wiersz {0}: użytkownik nie zastosował reguły <b>{1}</b> do elementu <b>{2}</b>
Landed Cost Help,Pomoc w kosztach lądowania
Scoring Criteria,Kryteria oceny
Matching Invoices,Dopasowywanie faktur
Donor Name,Nazwa dawcy
Select Property,Wybierz właściwość
Homepage Section,Sekcja strony głównej
Grade,Stopień
Production Plan Material Request,Żądanie materiału planu produkcji
Send Email,Wysłać email
Retain Sample,Zachowaj próbkę
Row #{0} (Payment Table): Amount must be negative,Wiersz # {0} (Tabela płatności): kwota musi być ujemna
Warehouse wise Item Balance Age and Value,Mądry bilans magazynowy Wiek i wartość
The gross weight of the package. Usually net weight + packaging material weight. (for print),Waga brutto paczki. Zwykle masa netto + masa materiału opakowaniowego. (do druku)
Laboratory Testing Datetime,Laboratoryjna data badania
The Item {0} cannot have Batch,Przedmiot {0} nie może mieć partii
Sales Pipeline by Stage,Rurociąg sprzedaży według etapu
Student Group Strength,Siła grupy studentów
Bank Statement Transaction Entry,Wpis transakcji wyciągu bankowego
Get Items from Open Material Requests,Uzyskaj przedmioty z otwartych żądań materiałowych
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Rok Obrachunkowy ** oznacza Rok Finansowy. Wszystkie zapisy księgowe i inne główne transakcje są śledzone w odniesieniu do ** roku obrachunkowego **.
Procedure Name,Nazwa procedury
Add Sales Partners,Dodaj partnerów handlowych
Qty Total,Ilość całkowita
Outstanding,Wybitny
Employee Tax Exemption Proof Submission,Złożenie dowodu zwolnienia z podatku od pracowników
Requirement,Wymaganie
No active or default Salary Structure found for employee {0} for the given dates,Nie znaleziono aktywnej ani domyślnej struktury wynagrodzenia dla pracownika {0} w podanych datach
Quantity should be greater than 0,Ilość powinna być większa niż 0
Supplier Quotation Item,Przedmiot oferty cenowej dostawcy
Appraisal Template,Szablon oceny
Hub Category to Publish,Kategoria koncentratora do opublikowania
Current Openings,Aktualne otwarcia
Customer Database.,Baza danych klientów.
As On Date,Jak w dniu
Delivery Note {0} is not submitted,Nota dostawy {0} nie została przesłana
Appraisal Template Goal,Cel szablonu oceny
Closing (Cr),Zamykanie (Cr)
Restaurant Reservation,Rezerwacja restauracji
Last Order Amount,Kwota ostatniego zamówienia
Learn,Uczyć się
Multiple default mode of payment is not allowed,Wiele domyślnych sposobów płatności nie jest dozwolone
This will be day 1 of the crop cycle,Będzie to pierwszy dzień cyklu zbiorów
{0} {1} is not associated with {2} {3},{0} {1} nie jest powiązany z {2} {3}
Expense or Difference account is mandatory for Item {0} as it impacts overall stock value,"Rachunek wydatków lub różnic jest obowiązkowy w przypadku pozycji {0}, ponieważ wpływa na ogólną wartość zapasów"
Price List Exchange Rate,Kurs wymiany cenników
Amount (Company Currency),Kwota (waluta firmy)
Driver,Kierowca
CGST Account,Konto CGST
Disbursement Date,Data wypłaty
New task,Nowe zadanie
Customer Feedback Table,Tabela opinii klientów
{0} - {1} is not enrolled in the Course {2},{0} - {1} nie jest zarejestrowany w Kursie {2}
Difference Amount,Kwota różnicy
Cheques and Deposits incorrectly cleared,Nieprawidłowo rozliczone czeki i depozyty
Cash Entry,Wejście gotówkowe
GST Settings,Ustawienia GST
Item-wise Sales Register,Rzeczowy rejestr sprzedaży
Item has variants.,Przedmiot ma warianty.
Difference Amount must be zero,Kwota różnicy musi wynosić zero
Institution,Instytucja
Tobacco Current Use,Obecne użycie tytoniu
Setup your ,Ustaw swoje
Payment Entry Deduction,Odliczenie wpisu płatności
"Row #{0}: The batch {1} has only {2} qty. Please select another batch which has {3} qty available or split the row into multiple rows, to deliver/issue from multiple batches","Wiersz # {0}: partia {1} ma tylko {2} ilość. Wybierz inną partię, która ma {3} ilość dostępną lub podziel wiersz na wiele wierszy, aby dostarczyć / wydać z wielu partii"
Procedure,Procedura
Total Stock Summary,Podsumowanie zapasów ogółem
Additional Discount,Dodatkowa zniżka
Patient Name By,Nazwa pacjenta wg
Rate / UOM,Oceń / UOM
Job Offer Terms,Warunki oferty pracy
Debit Amount in Account Currency,Kwota obciążenia w walucie rachunku
{0} must appear only once,{0} musi pojawić się tylko raz
Expense / Difference account ({0}) must be a 'Profit or Loss' account,Rachunek wydatków / różnic ({0}) musi być kontem „Zysk lub strata”
Row No {0}: Amount cannot be greater than Pending Amount against Expense Claim {1}. Pending Amount is {2},Wiersz nr {0}: kwota nie może być większa niż kwota oczekująca przeciwko roszczeniu o zwrot kosztów {1}. Oczekująca kwota wynosi {2}
Earnest Money,Poważne pieniądze
All Supplier scorecards.,Wszystkie karty wyników dostawcy.
Terms and Conditions Details,Warunki umowy
Get Entries,Uzyskaj wpisy
Service Item,Przedmiot usługi
Customer's Purchase Order,Zamówienie klienta
Syntax error in formula or condition: {0},Błąd składniowy w formule lub warunku: {0}
Agriculture User,Użytkownik rolnictwa
Please enter Reqd by Date,Wpisz Reqd według daty
Total Monthly Sales,Całkowita miesięczna sprzedaż
Monthly Distribution Percentage,Miesięczny procent dystrybucji
Reconciliation JSON,Pojednanie JSON
No Item with Barcode {0},Brak elementu z kodem kreskowym {0}
Scrapped,Złomowany
Delivery Trip,Podróż dostawy
Application Fee,Opłata za wniosek
Sales orders are not available for production,Zamówienia sprzedaży nie są dostępne do produkcji
Attribute,Atrybut
Rename Log,Zmień nazwę dziennika
'Based On' and 'Group By' can not be same,„Based On” i „Group By” nie mogą być takie same
Show Ageing Warehouse-wise,Pokaż Aging Warehouse-wise
Write Off Outstanding Amount,Zapisz Off Outstanding Amount
Employee Details,Szczegóły pracownika
Start Time can't be greater than End Time for {0}.,Czas rozpoczęcia nie może być większy niż czas zakończenia dla {0}.
Discount Amount,Kwota rabatu
Item Details,szczegóły produktu
Duplicate Tax Declaration of {0} for period {1},Zduplikowana deklaracja podatkowa {0} na okres {1}
From Delivery Note,Z notatki dostawy
Holiday,Wakacje
Line spacing for amount in words,Odstępy między wierszami dla ilości słów
Item Group Defaults,Domyślne grupy elementów
Abbr,Abbr
Warranty Claim against Serial No.,Roszczenie gwarancyjne wobec numeru seryjnego
Quality,Jakość
{0} is not a stock Item,{0} nie jest towarem
Raw Materials Supplied Cost,Koszt dostarczonych surowców
Permanent Address,Stały adres
Booked Fixed Asset,Zarezerwowane środki trwałe
Your tickets,Twoje bilety
Create Supplier Quotation,Utwórz ofertę dla dostawców
Inspection Required before Purchase,Kontrola wymagana przed zakupem
Payment Ordered,Zamówione płatności
"There seems to be an issue with the server's GoCardless configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Wydaje się, że występuje problem z konfiguracją serwera GoCardless. Nie martw się, w przypadku niepowodzenia kwota zostanie zwrócona na Twoje konto."
"Payment Mode is not configured. Please check, whether account has been set on Mode of Payments or on POS Profile.","Tryb płatności nie jest skonfigurowany. Sprawdź, czy konto zostało ustawione w trybie płatności lub w profilu POS."
Purchase Orders Items Overdue,Zaległe zamówienia Zamówienia
Inspection Required,Wymagana kontrola
{0} {1} is cancelled so the action cannot be completed,"{0} {1} zostało anulowane, więc nie można wykonać akcji"
Project Template Task,Zadanie szablonu projektu
Circular Reference Error,Okrągły błąd odniesienia
{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,{0} {1}: Konto typu „Zysk i strata” {2} nie jest dozwolone w Otwarciu wpisu
Cross Listing of Item in multiple groups,Lista krzyżowa przedmiotu w wielu grupach
Account with existing transaction cannot be converted to ledger,Konta z istniejącą transakcją nie można przekształcić w księgę główną
Display Items In Stock,Wyświetl elementy w magazynie
Service Level,Poziom usług
"Other outward supplies(Nil rated,Exempted)","Inne dostawy zewnętrzne (bez oceny, zwolnione)"
TDS Payable Monthly,Miesięczny płatny TDS
Please select Posting Date before selecting Party,Wybierz opcję Data księgowania przed wybraniem opcji Party
GST Purchase Register,Rejestr zakupów GST
Automatically Add Taxes and Charges from Item Tax Template,Automatycznie dodawaj podatki i opłaty z szablonu podatku od towarów
Stock Options,Opcje na akcje
Healthcare Schedule Time Slot,Szczelina czasowa harmonogramu opieki zdrowotnej
Tap items to add them here,"Dotknij elementów, aby dodać je tutaj"
Invoice Portion,Część faktury
Tax Category for overriding tax rates.,Kategoria podatkowa za nadrzędne stawki podatkowe.
Retained Earnings,Zyski zatrzymane
Requested Amount,Wnioskowana kwota
Additional Amount,Dodatkowa ilość
Quiz Configuration,Konfiguracja quizu
General,Generał
Annual Expenses,Roczne wydatki
Expected End Date can not be less than Expected Start Date,Oczekiwana data zakończenia nie może być mniejsza niż oczekiwana data rozpoczęcia
Disable In Words,Wyłącz w słowach
CUST-.YYYY.-,CUST-.YYYY.-
Net pay cannot be negative,Wynagrodzenie netto nie może być ujemne
No of Interactions,Liczba interakcji
Row {0}# Item {1} cannot be transferred more than {2} against Purchase Order {3},Wiersz {0} # Element {1} nie może zostać przeniesiony więcej niż {2} w stosunku do zamówienia {3}
Processing Chart of Accounts and Parties,Przetwarzanie planu kont i stron
Convert Item Description to Clean HTML,Konwertuj opis elementu do czyszczenia HTML
All Supplier Groups,Wszystkie grupy dostawców
Final Assessment Grades,Końcowe oceny
Cannot close task {0} as its dependant task {1} is not closed.,"Nie można zamknąć zadania {0}, ponieważ jego zadanie zależne {1} nie jest zamknięte."
Promotional Scheme Price Discount,Zniżka cenowa programu promocyjnego
Installation Note,Uwaga dotycząca instalacji
Application Form Route,Formularz zgłoszeniowy
Planned Operating Cost,Planowane koszty operacyjne
Colour,Kolor
{0} is not in Optional Holiday List,{0} nie ma na liście opcjonalnych świąt
Show Marks,Pokaż znaki
Max Benefit Amount (Yearly),Maksymalna kwota świadczenia (rocznie)
Depreciation Row {0}: Next Depreciation Date cannot be before Purchase Date,Wiersz amortyzacji {0}: Następna data amortyzacji nie może być przed datą zakupu
Customer Group,Grupa klientów
Fiscal Year Start Date should be one year earlier than Fiscal Year End Date,Data rozpoczęcia roku podatkowego powinna być o rok wcześniejsza niż data zakończenia roku obrotowego
BOM Items and Scraps,Przedmioty BOM i notki
High Sensitivity,Wysoka czułość
Apply Discount on Rate,Zastosuj zniżkę na stawkę
"Update BOM cost automatically via Scheduler, based on latest valuation rate / price list rate / last purchase rate of raw materials.","Aktualizuj koszt BOM automatycznie za pomocą Harmonogramu, na podstawie ostatniej stawki wyceny / stawki cennika / ostatniej stawki zakupu surowców."
Tally Company,Firma Tally
Quiz Question,Pytanie do quizu
Task Depends On,Zadanie zależy od
Lead Id,Ołów Id
Subscription Plan Detail,Szczegóły planu subskrypcji
Created {0} scorecards for {1} between: ,Utworzono {0} karty wyników dla {1} między:
This Week's Summary,Podsumowanie tego tygodnia
Pricing Rule Item Code,Kod pozycji reguły cenowej
Storage Temperature,Temperatura przechowywania
Direct Income,Dochód bezpośredni
Amt,Amt
Sales Analytics,Analityka sprzedaży
Total Billable Amount (via Timesheets),Całkowita kwota podlegająca rozliczeniu (za pomocą grafików)
Domains,Domeny
"Not permitted, configure Lab Test Template as required","Niedozwolone, skonfiguruj szablon testu laboratoryjnego zgodnie z wymaganiami"
Default Unit of Measure,Domyślna jednostka miary
Distinct unit of an Item,Odrębna jednostka przedmiotu
Synch Products,Synchronizuj produkty
Path,Ścieżka
Task ID,ID zadania
Opening (Dr),Otwarcie (Dr)
% Completed,% Ukończone
Commission Rate,Stawka prowizji
Central Tax,Podatek centralny
Total Outstanding Amount,Całkowita kwota zaległa
Maximum Exemption Amount,Maksymalna kwota zwolnienia
Based on price list,Na podstawie cennika
Additional Cost,Dodatkowy koszt
Closing Account {0} must be of type Liability / Equity,Rachunek zamknięcia {0} musi być typu Odpowiedzialność / Kapitał
Setup Company,Firma instalacyjna
Check In,Zameldować się
Customer and Supplier,Klient i dostawca
Support Team,Grupa wsparcia
Account {0}: You can not assign itself as parent account,Konto {0}: nie można przypisać się jako konto nadrzędne
Fixed Asset Item must be a non-stock item.,Fixed Asset Item musi być towarem niebędącym towarem.
New Batch ID (Optional),Nowy identyfikator partii (opcjonalnie)
Gantt Chart,Wykres Gantta
Max Benefit Amount,Maksymalna kwota świadczenia
{0} on Leave on {1},{0} w Opuść {1}
Do you really want to restore this scrapped asset?,Czy na pewno chcesz przywrócić ten złomowany majątek?
Registration fee can not be Zero,Opłata rejestracyjna nie może być zerowa
Item Tax Template,Szablon podatku od towarów
Auto Created,Auto utworzone
Quality Objective,Cel jakości
"The account head under Liability or Equity, in which Profit/Loss will be booked","Głowica konta w części „Odpowiedzialność” lub „Kapitał”, w której księgowany będzie zysk / strata"
Credit Amount in Account Currency,Kwota kredytu w walucie rachunku
Employee Onboarding Activity,Aktywność na pokładzie pracownika
Parent Service Unit,Jednostka usługowa dla rodziców
Include Payment (POS),Dołącz płatność (POS)
Private Equity,Private Equity
Receipt Document,Dokument odbioru
Supplier Scorecard Period,Okres karty wyników dostawcy
Default Salary Structure,Domyślna struktura wynagrodzenia
Total Gain/Loss,Całkowity zysk / strata
Student is already enrolled.,Student jest już zapisany.
Parent Item,Przedmiot nadrzędny
Brokerage,Pośrednictwo
Please create purchase receipt or purchase invoice for the item {0},Utwórz paragon zakupu lub fakturę zakupu dla produktu {0}
Company Name cannot be Company,Nazwa firmy nie może być firmą
Breakdown,Awaria
B Negative,B Negatywny
Response By,Odpowiedź wg
Credit To,Kredyt do
Submit this Work Order for further processing.,Prześlij to zlecenie do dalszego przetwarzania.
Bank Guarantee Number,Numer gwarancji bankowej
Delivered: {0},Dostarczono: {0}
Under Review,W ramach przeglądu
Agriculture (beta),Rolnictwo (beta)
Average Commission Rate,Średnia stawka prowizji
Customer's Purchase Order Date,Data zamówienia klienta
