Period Name,期間名稱
Project Status,項目狀態
Check this to disallow fractions. (for Nos),勾選此選項則禁止分數。 （對於NOS）
Naming Series (for Student Applicant),命名系列（面向學生申請人）
Practitioner Service Unit Schedule,從業者服務單位時間表
Transporter Name,貨運公司名稱
Authorized Value,授權值
Show Operations,顯示操作
Minutes to First Response for Opportunity,分鐘的機會第一個反應
Item or Warehouse for row {0} does not match Material Request,行{0}的項目或倉庫不符合物料需求
Unit of Measure,計量單位
Year End Date,年結結束日期
Task Depends On,任務取決於
Opportunity,機會
Default Workstation,預設工作站
Expense Claim Approved Message,報銷批准的訊息
Deductions or Loss,扣除或損失
{0} {1} is closed,{0} {1}關閉
How frequently?,多久？
Total Collected: {0},總計：{0}
Get Current Stock,取得當前庫存資料
Tree of Bill of Materials,物料清單樹狀圖
TDS Computation Summary,TDS計算摘要
Current State,當前狀態
Mark Present,馬克現在
From Shareholder,來自股東
Drug,藥物
Maintenance start date can not be before delivery date for Serial No {0},序號{0}的維護開始日期不能早於交貨日期
Actual End Date,實際結束日期
Is Finance Cost Adjustment,財務成本調整
Operating Cost (Company Currency),營業成本（公司貨幣）
Applicable To (Role),適用於（角色）
Pending Leaves,等待葉子
Replace BOM,更換BOM,
Code {0} already exist,代碼{0}已經存在
Sales orders are not available for production,銷售訂單不可用於生產
Fixed Asset Depreciation Settings,固定資產折舊設置
Will also apply for variants unless overrridden,同時將申請變種，除非overrridden,
Advances,進展
Manufacture against Material Request,對製造材料要求
Assessment Group: ,評估組：
Request for,要求
Approving User cannot be same as user the rule is Applicable To,批准用戶作為用戶的規則適用於不能相同
Basic Rate (as per Stock UOM),基本速率（按庫存計量單位）
No of Requested SMS,無的請求短信
Leave Without Pay does not match with approved Leave Application records,停薪留職不批准請假的記錄相匹配
Please supply the specified items at the best possible rates,請在提供最好的利率規定的項目
Employee Transfer cannot be submitted before Transfer Date ,員工轉移無法在轉移日期前提交
Make Invoice,製作發票
Remaining Balance,保持平衡
Auto close Opportunity after 15 days,15天之後自動關閉商機
Purchase Orders are not allowed for {0} due to a scorecard standing of {1}.,由於{1}的記分卡，{0}不允許採購訂單。
Barcode {0} is not a valid {1} code,條形碼{0}不是有效的{1}代碼
End Year,結束年份
Quot/Lead %,報價/鉛％
Quot/Lead %,報價/鉛％
Contract End Date must be greater than Date of Joining,合同結束日期必須大於加入的日期
Driver,司機
Nutrition Values,營養價值觀
Is billable,是可計費的
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,第三方分銷商/經銷商/代理商/分支機構/分銷商誰銷售公司產品的佣金。
{0} against Purchase Order {1},{0}針對採購訂單{1}
Patient Demographics,患者人口統計學
Actual Start Date (via Timesheet),實際開始日期（通過時間表）
This is an example website auto-generated from ERPNext,這是一個由 ERPNext 自動產生的範例網站
Ageing Range 1,老齡範圍1,
Enable Shopify,啟用Shopify,
Total advance amount cannot be greater than total claimed amount,總預付金額不能超過索賠總額
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note,

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns,

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked,
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","可應用到所有購買交易稅的標準模板。這個模板可以包含稅收元首和像“送貨”，“保險”還包括其他費用清單的頭，“處理”等

 ####注

您在此處定義的稅率將標準稅率對所有** **的項目。如果有** **物品具有不同的速率，就必須在**項計稅添加**表中的** **項目主。

 ####列

 1的說明。計算類型：
 - 這可以是在淨** **總（即基本量的總和）。
 - **以前的行總計/金額**（對於累計稅費）。如果選擇此選項，稅收將與前行的百分比（在稅率表）量或總被應用。
 - ** **實際（如前所述）。
 2。帳戶負責人：該帳戶下的台帳此稅收將被黃牌警告
 3。成本中心：如果稅/收費收入（如海運）或費用，它需要對一個成本中心預訂。
 4。說明：稅收的說明（將在發票/報價印刷）。
 5。速度：稅率。
 6。金額：稅額。
 7。總計：累積總數達到了這一點。
 8。輸入行：如果基於“前行匯總”，您可以選擇將被視為這種計算基礎（預設值是前行）的行號。
 9。考慮稅收或收費為：在本節中，你可以指定是否稅/費僅用於評估（總不是部分），或只為總（不增加價值的項目），或兩者兼有。
 10。添加或扣除：無論你是想增加或扣除的稅。"
Homepage,主頁
Grant Application Details ,授予申請細節
Original Item,原始項目
Recd Quantity,到貨數量
Fee Records Created - {0},費紀錄創造 -  {0}
Asset Category Account,資產類別的科目
Row #{0} (Payment Table): Amount must be positive,行＃{0}（付款表）：金額必須為正值
Cannot produce more Item {0} than Sales Order quantity {1},無法產生更多的項目{0}不是銷售訂單數量{1}
Select Attribute Values,選擇屬性值
Reason For Issuing document,簽發文件的原因
Stock Entry {0} is not submitted,庫存輸入{0}不提交
Bank / Cash Account,銀行／現金科目
Next Contact By cannot be same as the Lead Email Address,接著聯繫到不能相同鉛郵箱地址
Billing City,結算城市
Manual,手冊
Hide Currency Symbol,隱藏貨幣符號
Sales Opportunities by Source,來源的銷售機會
"e.g. Bank, Cash, Credit Card",例如：銀行，現金，信用卡
Source Name,源名稱
"Normal resting blood pressure in an adult is approximately 120 mmHg systolic, and 80 mmHg diastolic, abbreviated ""120/80 mmHg""",成年人的正常靜息血壓約為收縮期120mmHg，舒張壓80mmHg，縮寫為“120 / 80mmHg”
"Set items shelf life in days, to set expiry based on manufacturing_date plus self life",以天為單位設置貨架保質期，根據manufacturer_date加上自我壽命設置到期日
Credit Note,信用票據
Ignore Employee Time Overlap,忽略員工時間重疊
Service Address,服務地址
Calibration,校準
Procedure Prescription,程序處方
Furnitures and Fixtures,家具及固定裝置
Manufacture,製造
Setup Company,安裝公司
Lab Test Report,實驗室測試報告
Please Delivery Note first,請送貨單第一
Application Date,申請日期
Currency and Price List,貨幣和價格表
Customer / Lead Name,客戶/鉛名稱
Clearance Date not mentioned,清拆日期未提及
Production,生產
Occupation,佔用
For Quantity must be less than quantity {0},對於數量必須小於數量{0}
Row {0}:Start Date must be before End Date,列#{0}：開始日期必須早於結束日期
Planting Area,種植面積
Total(Qty),總計（數量）
Installed Qty,安裝數量
Is Paid,支付
Time at which materials were received,物料收到的時間
Products per Page,每頁產品
Outgoing Rate,傳出率
Billing Status,計費狀態
Report an Issue,報告問題
Utility Expenses,公用事業費用
Row #{0}: Journal Entry {1} does not have account {2} or already matched against another voucher,行＃{0}：日記條目{1}沒有帳戶{2}或已經對另一憑證匹配
Criteria Weight,標準重量
Default Buying Price List,預設採購價格表
Buying Rate,購買率
Row {0}: Enter location for the asset item {1},行{0}：輸入資產項目{1}的位置
About the Company,關於公司
Sales Order Message,銷售訂單訊息
"Set Default Values like Company, Currency, Current Fiscal Year, etc.",設定預設值如公司，貨幣，當前財政年度等
Payment Type,付款類型
Please select a Batch for Item {0}. Unable to find a single batch that fulfills this requirement,請選擇項目{0}的批次。無法找到滿足此要求的單個批次
Please select a Batch for Item {0}. Unable to find a single batch that fulfills this requirement,請選擇項目{0}的批次。無法找到滿足此要求的單個批次
No gain or loss in the exchange rate,匯率沒有收益或損失
Select Employees,選擇僱員
Sales Invoice Series,銷售發票系列
Potential Sales Deal,潛在的銷售交易
Complaints,投訴
Cheque/Reference Date,支票/參考日期
Total Taxes and Charges,總營業稅金及費用
Emergency Contact,緊急聯絡人
Payment Entry,付款輸入
sales-browser,銷售瀏覽器
Ledger,分類帳
Drug Code,藥品代碼
Target  Amount,目標金額
Print Format for Online,在線打印格式
Shopping Cart Settings,購物車設定
Accounting Entries,會計分錄
"If selected Pricing Rule is made for 'Rate', it will overwrite Price List. Pricing Rule rate is the final rate, so no further discount should be applied. Hence, in transactions like Sales Order, Purchase Order etc, it will be fetched in 'Rate' field, rather than 'Price List Rate' field.",如果選定的定價規則是針對“費率”制定的，則會覆蓋價目表。定價規則費率是最終費率，因此不應再應用更多折扣。因此，在諸如銷售訂單，採購訂單等交易中，它將在&#39;費率&#39;字段中取代，而不是在&#39;價格列表率&#39;字段中取出。
Paid Loan,付費貸款
Duplicate Entry. Please check Authorization Rule {0},重複的條目。請檢查授權規則{0}
Reference Due Date,參考到期日
Ref SQ,參考SQ,
Receipt document must be submitted,收到文件必須提交
Received Qty,到貨數量
Serial No / Batch,序列號/批次
Not Paid and Not Delivered,沒有支付，未送達
Parent Item,父項目
Account Type,科目類型
Webhooks Details,Webhooks詳細信息
No time sheets,沒有考勤表
GoCardless Customer,GoCardless客戶
Maintenance Schedule is not generated for all the items. Please click on 'Generate Schedule',維護計畫不會為全部品項生成。請點擊“生成表”
To Produce,以生產
"For row {0} in {1}. To include {2} in Item rate, rows {3} must also be included",對於行{0} {1}。以包括{2}中的檔案速率，行{3}也必須包括
Parent Service Unit,家長服務單位
Make User,使用戶
Identification of the package for the delivery (for print),寄送包裹的識別碼（用於列印）
Reserved Quantity,保留數量
Please enter valid email address,請輸入有效的電子郵件地址
Please enter valid email address,請輸入有效的電子郵件地址
Volunteer Skill,志願者技能
Inter Company Invoice Reference,Inter公司發票參考
Please select an item in the cart,請在購物車中選擇一個項目
Purchase Receipt Items,採購入庫項目
Customizing Forms,自定義表單
Arrear,拖欠
Depreciation Amount during the period,期間折舊額
Is Return (Credit Note),是退貨（信用票據）
Start Job,開始工作
Serial no is required for the asset {0},資產{0}需要序列號
Disabled template must not be default template,殘疾人模板必須不能默認模板
For row {0}: Enter planned qty,對於行{0}：輸入計劃的數量
Income Account,收入科目
Amount in customer's currency,量客戶的貨幣
Delivery,交貨
Current Qty,目前數量
Restaurant Menu,餐廳菜單
Add Suppliers,添加供應商
Help Section,幫助科
Prev,上一頁
Distance UOM,距離UOM,
"Student Batches help you track attendance, assessments and fees for students",學生批幫助您跟踪學生的出勤，評估和費用
Total Allocated Amount,總撥款額
Set default inventory account for perpetual inventory,設置永久庫存的默認庫存科目
"Cannot deliver Serial No {0} of item {1} as it is reserved to \
												fullfill Sales Order {2}",無法提供項目{1}的序列號{0}，因為它保留在\ fullfill銷售訂單{2}中
Material Request Type,材料需求類型
Send Grant Review Email,發送格蘭特回顧郵件
"LocalStorage is full, did not save",localStorage的是滿的，沒救
Row {0}: UOM Conversion Factor is mandatory,行{0}：計量單位轉換係數是必需的
Room Capacity,房間容量
Already record exists for the item {0},已有記錄存在項目{0}
Ref,參考
You will lose records of previously generated invoices. Are you sure you want to restart this subscription?,您將失去先前生成的發票記錄。您確定要重新啟用此訂閱嗎？
Registration Fee,註冊費用
Loyalty Program Collection,忠誠度計劃集
Subcontracted Item,轉包項目
Student {0} does not belong to group {1},學生{0}不屬於組{1}
Voucher #,憑證＃
Purchase Order Message,採購訂單的訊息
Shipping Country,航運國家
Hide Customer's Tax Id from Sales Transactions,從銷售交易隱藏客戶的稅號
Relieving Date,解除日期
Total Quantity,總數（量
"Pricing Rule is made to overwrite Price List / define discount percentage, based on some criteria.",定價規則是由覆蓋價格表/定義折扣百分比，基於某些條件。
Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,倉庫只能通過存貨分錄/送貨單/採購入庫單來改變
Class / Percentage,類／百分比
Shopify Settings,Shopify設置
Market Place ID,市場ID,
Head of Marketing and Sales,營銷和銷售主管
Income Tax,所得稅
Track Leads by Industry Type.,以行業類型追蹤訊息。
Go to Letterheads,去信頭
Item Supplier,產品供應商
Please enter Item Code to get batch no,請輸入產品編號，以取得批號
Please select a value for {0} quotation_to {1},請選擇一個值{0} quotation_to {1}
No Items selected for transfer,沒有選擇轉移項目
Stock Settings,庫存設定
"Merging is only possible if following properties are same in both records. Is Group, Root Type, Company",合併是唯一可能的，如果以下屬性中均有記載相同。是集團，根型，公司
Electric,電動
% Progress,％進展
Gain/Loss on Asset Disposal,在資產處置收益/損失
"Only the Student Applicant with the status ""Approved"" will be selected in the table below.",下表中將只選擇狀態為“已批准”的學生申請人。
Rates,價格
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,科目{0}的科目號碼不可用。 <br>請正確設置您的會計科目表。
Depends on Tasks,取決於任務
Manage Customer Group Tree.,管理客戶群組樹。
Result Value,結果值
New Cost Center Name,新的成本中心名稱
Task Completion,任務完成
Not in Stock,沒存貨
Volunteer Skills,志願者技能
HR User,HR用戶
Reference Document Name,參考文件名稱
Taxes and Charges Deducted,稅收和費用扣除
Issues,問題
Loyalty Program Name,忠誠計劃名稱
Status must be one of {0},狀態必須是一個{0}
Reminder to update GSTIN Sent,提醒更新GSTIN發送
Debit To,借方
Restaurant Menu Item,餐廳菜單項
Required only for sample item.,只對樣品項目所需。
Actual Qty After Transaction,交易後實際數量
Pending SO Items For Purchase Request,待處理的SO項目對於採購申請
Student Admissions,學生入學
{0} {1} is disabled,{0} {1}被禁用
Billing Currency,結算貨幣
Extra Large,特大號
Scientific Name,科學名稱
Service Unit Type,服務單位類型
Branch Code,分行代碼
"Reselect, if the chosen contact is edited after save",重新選擇，如果所選聯繫人在保存後被編輯
In print,已出版
Profit and Loss Statement,損益表
Cheque Number,支票號碼
The item referenced by {0} - {1} is already invoiced,{0}  -  {1}引用的項目已開具發票
Sales Browser,銷售瀏覽器
Total Credit,貸方總額
Warning: Another {0} # {1} exists against stock entry {2},警告：另一個{0}＃{1}存在對庫存分錄{2}
Local,當地
Loans and Advances (Assets),貸款及墊款（資產）
Debtors,債務人
Bank Statement Settings,銀行對賬單設置
Customer Settings,客戶設置
Homepage Featured Product,首頁推薦產品
View Orders,查看訂單
Marketplace URL (to hide and update label),市場URL（隱藏和更新標籤）
All Assessment Groups,所有評估組
New Warehouse Name,新倉庫名稱
App Type,應用類型
Total {0} ({1}),總{0}（{1}）
Territory,領土
Please mention no of visits required,請註明無需訪問
Default Valuation Method,預設的估值方法
Fee,費用
Show Cumulative Amount,顯示累計金額
Update in progress. It might take a while.,正在更新。它可能需要一段時間。
Produced Qty,生產數量
Target Warehouse Name,目標倉庫名稱
Planned Start Time,計劃開始時間
Assessment,評定
Allocated,分配
Close Balance Sheet and book Profit or Loss.,關閉資產負債表和賬面利潤或虧損。
Sensitivity Test Items,靈敏度測試項目
Project Update,項目更新
Fees,費用
Specify Exchange Rate to convert one currency into another,指定的匯率將一種貨幣兌換成另一種
Quotation {0} is cancelled,{0}報價被取消
Total Outstanding Amount,未償還總額
Targets,目標
Please register the SIREN number in the company information file,請在公司信息文件中註冊SIREN號碼
Sales Orders to Bill,比爾的銷售訂單
Price List Master,價格表主檔
CESS Account,CESS帳戶
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,所有的銷售交易，可以用來標記針對多個**銷售**的人，這樣你可以設置和監控目標。
Link to Material Request,鏈接到材料請求
Forum Activity,論壇活動
S.O. No.,SO號
Bank Statement Transaction Settings Item,銀行對賬單交易設置項目
Please create Customer from Lead {0},請牽頭建立客戶{0}
Select Patient,選擇患者
Applicable for Countries,適用於國家
Parameter Name,參數名稱
Student Group Name is mandatory in row {0},學生組名稱是強制性的行{0}
Products to be shown on website homepage,在網站首頁中顯示的產品
This is a root customer group and cannot be edited.,ERPNext是一個開源的基於Web的ERP系統，通過網路技術，向私人有限公司提供整合的工具，在一個小的組織管理大多數流程。有關Web註釋，或購買託管，想得到更多資訊，請連結
Action if Accumulated Monthly Budget Exceeded on PO,採購訂單上累計每月預算超出時的操作
Exchange Rate Revaluation,匯率重估
Ignore Pricing Rule,忽略定價規則
Graduate,畢業生
"Shipping Address does not have country, which is required for this Shipping Rule",送貨地址沒有國家，這是此送貨規則所必需的
Excise Entry,海關入境
Warning: Sales Order {0} already exists against Customer's Purchase Order {1},警告：銷售訂單{0}已經存在針對客戶的採購訂單{1}
"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","標準條款和可以添加到銷售和購買條件。

例子：

 1。有效性的報價。
 1。付款條款（事先，在信貸，部分提前等）。
 1。什麼是多餘的（或支付的客戶）。
 1。安全/使用警告。
 1。保修（如有）。
 1。退貨政策。
 1。航運條款（如果適用）。
 1。的解決糾紛，賠償，法律責任等
 1的方式。地址和公司聯繫。"
Issue Type,發行類型
Supplier Invoice Details,供應商發票明細
Expense / Difference account ({0}) must be a 'Profit or Loss' account,費用/差異科目（{0}）必須是一個'收益或損失'的科目
Copied From,複製自
Copied From,複製自
Invoice already created for all billing hours,發票已在所有結算時間創建
Name error: {0},名稱錯誤：{0}
Item Details,產品詳細信息
Is Finance Cost,財務成本
Attendance for employee {0} is already marked,員工{0}的考勤已標記
If more than one package of the same type (for print),如果不止一個相同類型的包裹（用於列印）
Please set default customer in Restaurant Settings,請在“餐廳設置”中設置默認客戶
Parent Warehouse,家長倉庫
Chart,圖表
Net Total,總淨值
Default BOM not found for Item {0} and Project {1},項目{0}和項目{1}找不到默認BOM,
Define various loan types,定義不同的貸款類型
Outstanding Amount,未償還的金額
Time(in mins),時間（分鐘）
Working,工作的
Stock Queue (FIFO),庫存序列（先進先出）
Financial Year,財政年度
{0} does not belong to Company {1},{0}不屬於公司{1}
Could not solve criteria score function for {0}. Make sure the formula is valid.,無法解決{0}的標準分數函數。確保公式有效。
Repayment amount {} should be greater than monthly interest amount {},還款金額{}應大於每月的利息金額{}
Out Patient Settings,出患者設置
Round Off,四捨五入
Quantity must be positive,數量必須是正數
Requested Qty,要求數量
The fields From Shareholder and To Shareholder cannot be blank,來自股東和股東的字段不能為空
Cashier Closing,收銀員關閉
Use for Shopping Cart,使用的購物車
Value {0} for Attribute {1} does not exist in the list of valid Item Attribute Values for Item {2},值{0}的屬性{1}不在有效的項目列表中存在的屬性值項{2}
Select Serial Numbers,選擇序列號
Scrap %,廢鋼％
"Charges will be distributed proportionately based on item qty or amount, as per your selection",費用將被分配比例根據項目數量或金額，按您的選擇
Atleast one item should be entered with negative quantity in return document,ATLEAST一個項目應該負數量回報文檔中輸入
"Operation {0} longer than any available working hours in workstation {1}, break down the operation into multiple operations",操作{0}比任何可用的工作時間更長工作站{1}，分解成運行多個操作
Membership Status,成員身份
No Remarks,暫無產品說明
In Maintenance,在維護中
Click this button to pull your Sales Order data from Amazon MWS.,單擊此按鈕可從亞馬遜MWS中提取銷售訂單數據。
Overdue,過期的
Stock Received But Not Billed,庫存接收，但不付款
Root Account must be a group,Root 科目必須是群組科目
Drug Prescription,藥物處方
Repaid/Closed,償還/關閉
Total Projected Qty,預計總數量
Distribution Name,分配名稱
Include UOM,包括UOM,
"Valuation rate not found for the Item {0}, which is required to do accounting entries for {1} {2}. If the item is transacting as a zero valuation rate item in the {1}, please mention that in the {1} Item table. Otherwise, please create an incoming stock transaction for the item or mention valuation rate in the Item record, and then try submiting/cancelling this entry",對於{1} {2}進行會計分錄所需的項目{0}，找不到估值。如果該項目在{1}中作為零估值率項目進行交易，請在{1}項目表中提及。否則，請在項目記錄中創建貨物的進貨庫存交易或提交估值費率，然後嘗試提交/取消此條目
Course Code,課程代碼
Quality Inspection required for Item {0},項目{0}需要品質檢驗
Use POS in Offline Mode,在離線模式下使用POS,
Supplier Variables,供應商變量
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},{0}是強制性的。可能沒有為{1}到{2}創建貨幣兌換記錄
Rate at which customer's currency is converted to company's base currency,客戶貨幣被換算成公司基礎貨幣的匯率
Net Rate (Company Currency),淨利率（公司貨幣）
Manage Territory Tree.,管理領地樹。
Patient Service Unit,病人服務單位
Sales Invoice,銷售發票
Party Balance,黨平衡
Section Subtotal,部分小計
Please select Apply Discount On,請選擇適用的折扣
Sample Retention Warehouse,樣品保留倉庫
Default Receivable Account,預設應收帳款
Deemed Export,被視為出口
Material Transfer for Manufacture,物料轉倉用於製造
Discount Percentage can be applied either against a Price List or for all Price List.,折扣百分比可以應用於單一價目表或所有價目表。
Accounting Entry for Stock,存貨的會計分錄
LabTest Approver,LabTest審批者
You have already assessed for the assessment criteria {}.,您已經評估了評估標準{}。
Work Orders Created: {0},創建的工單：{0}
Sales Team1,銷售團隊1,
Item {0} does not exist,項目{0}不存在
Customer Address,客戶地址
Failed to setup post company fixtures,未能設置公司固定裝置
Default Inventory Account,默認庫存科目
The folio numbers are not matching,作品集編號不匹配
Payment Request for {0},付款申請{0}
Barcode Type,條碼類型
Antibiotic Name,抗生素名稱
Supplier Group master.,供應商組主人。
Occupancy Status,佔用狀況
Apply Additional Discount On,收取額外折扣
Select Type...,選擇類型...
Root Type,root類型
FIFO,FIFO,
Close the POS,關閉POS,
Row # {0}: Cannot return more than {1} for Item {2},行＃{0}：無法返回超過{1}項{2}
Show this slideshow at the top of the page,這顯示在幻燈片頁面頂部
Item UOM,項目計量單位
Tax Amount After Discount Amount (Company Currency),稅額後，優惠金額（公司貨幣）
Target warehouse is mandatory for row {0},目標倉庫是強制性的行{0}
Primary Settings,主要設置
Select Supplier Address,選擇供應商地址
Add Employees,添加員工
Quality Inspection,品質檢驗
Standard Template,標準模板
Warning: Material Requested Qty is less than Minimum Order Qty,警告：物料需求的數量低於最少訂購量
Account {0} is frozen,帳戶{0}被凍結
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,法人/子公司與帳戶的獨立走勢屬於該組織。
Mute Email,靜音電子郵件
"Food, Beverage & Tobacco",食品、飲料＆煙草
Account Number,帳號
Can only make payment against unbilled {0},只能使支付對未付款的{0}
Commission rate cannot be greater than 100,佣金比率不能大於100,
Allocate Advances Automatically (FIFO),自動分配進度（FIFO）
Volunteer,志願者
Subcontract,轉包
Please enter {0} first,請輸入{0}第一
Actual End Time,實際結束時間
Manufacturer Part Number,製造商零件編號
Estimated Time and Cost,估計時間和成本
Bin,箱子
Crop Name,作物名稱
Only users with {0} role can register on Marketplace,只有{0}角色的用戶才能在Marketplace上註冊
No of Sent SMS,沒有發送短信
Appointments and Encounters,約會和遭遇
Healthcare Administrator,醫療管理員
Set a Target,設定目標
Dosage Strength,劑量強度
Inpatient Visit Charge,住院訪問費用
Expense Account,費用科目
Software,軟件
Colour,顏色
Assessment Plan Criteria,評估計劃標準
Expiry date is mandatory for selected item,有效期限對所選項目是強制性的
Prevent Purchase Orders,防止採購訂單
Scheduled,預定
Request for quotation.,詢價。
"Please select Item where ""Is Stock Item"" is ""No"" and ""Is Sales Item"" is ""Yes"" and there is no other Product Bundle",請選擇項，其中“正股項”是“否”和“是銷售物品”是“是”，沒有其他產品捆綁
Select Customer,選擇客戶
Academic,學術的
Personal and Social History,個人和社會史
User {0} created,用戶{0}已創建
Fee Breakup for each student,每名學生的費用分手
Total advance ({0}) against Order {1} cannot be greater than the Grand Total ({2}),總的超前（{0}）對二階{1}不能大於總計（{2}）
Select Monthly Distribution to unevenly distribute targets across months.,選擇按月分佈橫跨幾個月不均勻分佈的目標。
Change Code,更改代碼
Valuation Rate,估值率
Diesel,柴油機
Price List Currency not selected,尚未選擇價格表之貨幣
Availed ITC Cess,採用ITC Cess,
Student Monthly Attendance Sheet,學生每月考勤表
Shipping rule only applicable for Selling,運費規則僅適用於銷售
Depreciation Row {0}: Next Depreciation Date cannot be before Purchase Date,折舊行{0}：下一個折舊日期不能在購買日期之前
Project Start Date,專案開始日期
Rename Log,重命名日誌
Student Group or Course Schedule is mandatory,學生組或課程表是強制性的
Student Group or Course Schedule is mandatory,學生組或課程表是強制性的
Maintain Billing Hours and Working Hours Same on Timesheet,維護發票時間和工作時間的時間表相同
Against Document No,對文件編號
Scrap,廢料
Go to Instructors,去教練
Manage Sales Partners.,管理銷售合作夥伴。
Inspection Type,檢驗類型
Visited yet,已訪問
Warehouses with existing transaction can not be converted to group.,與現有的交易倉庫不能轉換為組。
Result HTML,結果HTML,
How often should project and company be updated based on Sales Transactions.,項目和公司應根據銷售交易多久更新一次。
Add Students,新增學生
Please select {0},請選擇{0}
C-Form No,C-表格編號
Exploded_items,Exploded_items,
Distance,距離
List your products or services that you buy or sell.,列出您所購買或出售的產品或服務。
Storage Temperature,儲存溫度
Researcher,研究員
Program Enrollment Tool Student,計劃註冊學生工具
Start date should be less than end date for task {0},開始日期應該小於任務{0}的結束日期
Consolidated Financial Statement,合併財務報表
Name or Email is mandatory,姓名或電子郵件是強制性
Instructor Log,講師日誌
Clinical Procedure,臨床程序
Delivery Note Series,送貨單系列
Returned Qty,返回的數量
Exit,出口
Root Type is mandatory,root類型是強制性的
Failed to install presets,無法安裝預設
UOM Conversion in Hours,UOM按小時轉換
Signee Details,簽名詳情
"{0} currently has a {1} Supplier Scorecard standing, and RFQs to this supplier should be issued with caution.",{0}目前擁有{1}供應商記分卡，並且謹慎地向該供應商發出詢價。
Non Profit Manager,非營利經理
Total Cost(Company Currency),總成本（公司貨幣）
Serial No {0} created,序列號{0}創建
Company Description for website homepage,公司介紹了網站的首頁
"For the convenience of customers, these codes can be used in print formats like Invoices and Delivery Notes",為方便客戶，這些代碼可以在列印格式，如發票和送貨單使用
Suplier Name,Suplier名稱
Could not retrieve information for {0}.,無法檢索{0}的信息。
Opening Entry Journal,開幕詞報
Fulfilment Terms,履行條款
Time Sheet List,時間表列表
You can enter any date manually,您可以手動輸入任何日期
Result Printed,結果打印
Depreciation Expense Account,折舊費用科目
Is Inter State,是國際
Shift Management,班次管理
Only leaf nodes are allowed in transaction,只有葉節點中允許交易
Total Costing Amount (via Timesheet),總成本金額（通過時間表）
Expense Approver,費用審批
Row {0}: Advance against Customer must be credit,行{0}：提前對客戶必須是信用
Hourly,每小時
Non-Group to Group,非集團集團
ERPNext User,ERPNext用戶
Batch is mandatory in row {0},在{0}行中必須使用批處理
Batch is mandatory in row {0},在{0}行中必須使用批處理
Purchase Receipt Item Supplied,採購入庫項目供應商
Enable Scheduled Synch,啟用預定同步
To Datetime,以日期時間
Logs for maintaining sms delivery status,日誌維護短信發送狀態
Make Payment via Journal Entry,通過日記帳分錄進行付款
Clinical Procedure Template,臨床步驟模板
Inspection Required before Delivery,分娩前檢查所需
Inspection Required before Purchase,購買前檢查所需
Pending Activities,待活動
Create Lab Test,創建實驗室測試
View Chart of Accounts,查看會計科目表
Chapter Member,章會員
Minimum Order Quantity,最小起訂量
Your Organization,你的組織
"Skipping Leave Allocation for the following employees, as Leave Allocation records already exists against them. {0}",跳過以下員工的休假分配，因為已經存在針對他們的休假分配記錄。 {0}
Fees Category,費用類別
Please enter relieving date.,請輸入解除日期。
Amt,AMT,
Notify Employee,通知員工
Enter name of campaign if source of enquiry is campaign,輸入活動的名稱，如果查詢來源是運動
Newspaper Publishers,報紙出版商
Select Fiscal Year,選擇財政年度
Expected Delivery Date should be after Sales Order Date,預計交貨日期應在銷售訂單日期之後
Reorder Level,重新排序級別
Chart Of Accounts Template,會計科目模板
Update stock must be enable for the purchase invoice {0},必須為購買發票{0}啟用更新庫存
Item Price updated for {0} in Price List {1},項目價格更新{0}價格表{1}
Account with child nodes cannot be converted to ledger,有子節點的帳不能轉換到總帳
Accepted Warehouse,收料倉庫
Posting Date,發布日期
