DocType: Accounting Period,Period Name,Nama Periode
DocType: Bin,Reserved Quantity,Reserved Kuantitas
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html,Please enter valid email address,Harap masukkan alamat email yang benar
DocType: Volunteer Skill,Volunteer Skill,Keterampilan Relawan
DocType: Bank Reconciliation,Include POS Transactions,Sertakan Transaksi POS
DocType: Quality Action,Corrective/Preventive,Korektif / Pencegahan
DocType: Purchase Invoice,Inter Company Invoice Reference,Referensi Faktur Perusahaan Inter
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Please select an item in the cart,Harap pilih item di keranjang
DocType: Landed Cost Voucher,Purchase Receipt Items,Nota Penerimaan Produk
apps/erpnext/erpnext/regional/italy/utils.py,Please set Tax ID for the customer '%s',Harap tetapkan ID Pajak untuk pelanggan &#39;% s&#39;
apps/erpnext/erpnext/config/help.py,Customizing Forms,Menyesuaikan Bentuk
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Arrear,tunggakan
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Depreciation Amount during the period,Penyusutan Jumlah selama periode tersebut
DocType: Sales Invoice,Is Return (Credit Note),Apakah Pengembalian (Catatan Kredit)
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.js,Start Job,Mulai Pekerjaan
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,Serial no is required for the asset {0},No serial diperlukan untuk aset {0}
DocType: Leave Control Panel,Allocate Leaves,Alokasikan Daun
apps/erpnext/erpnext/accounts/doctype/sales_taxes_and_charges_template/sales_taxes_and_charges_template.py,Disabled template must not be default template,Template cacat tidak harus template default
DocType: Pricing Rule,Price or Product Discount,Harga atau Diskon Produk
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,For row {0}: Enter planned qty,Untuk baris {0}: Masuki rencana qty
DocType: Account,Income Account,Akun Penghasilan
DocType: Payment Request,Amount in customer's currency,Jumlah dalam mata uang pelanggan
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Delivery,Pengiriman
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.py,Assigning Structures...,Menetapkan Struktur...
DocType: Stock Reconciliation Item,Current Qty,Jumlah saat ini
DocType: Restaurant Menu,Restaurant Menu,Menu Restoran
apps/erpnext/erpnext/public/js/event.js,Add Suppliers,Tambahkan Pemasok
DocType: Sales Invoice,ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-
DocType: Loyalty Program,Help Section,Bagian Bantuan
apps/erpnext/erpnext/www/all-products/index.html,Prev,Sebelumnya
DocType: Appraisal Goal,Key Responsibility Area,Key Responsibility area
DocType: Delivery Trip,Distance UOM,Jarak UOM
apps/erpnext/erpnext/utilities/activation.py,"Student Batches help you track attendance, assessments and fees for students","Batch Student membantu Anda melacak kehadiran, penilaian dan biaya untuk siswa"
DocType: Payment Entry,Total Allocated Amount,Jumlah Total Dialokasikan
apps/erpnext/erpnext/setup/doctype/company/company.py,Set default inventory account for perpetual inventory,Tetapkan akun inventaris default untuk persediaan perpetual
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,"Cannot deliver Serial No {0} of item {1} as it is reserved to \
												fullfill Sales Order {2}",Tidak dapat mengirim Serial No {0} item {1} seperti yang dicadangkan untuk \ mengisi Pesanan Penjualan {2}
DocType: Material Request Plan Item,Material Request Type,Permintaan Jenis Bahan
apps/erpnext/erpnext/non_profit/doctype/grant_application/grant_application.js,Send Grant Review Email,Kirim Email Peninjauan Donasi
apps/erpnext/erpnext/accounts/page/pos/pos.js,"LocalStorage is full, did not save","LocalStorage penuh, tidak menyimpan"
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Row {0}: UOM Conversion Factor is mandatory,Row {0}: UOM Faktor Konversi adalah wajib
DocType: Employee Benefit Claim,Claim Date,Tanggal Klaim
apps/erpnext/erpnext/utilities/user_progress.py,Room Capacity,Kapasitas Kamar
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The field Asset Account cannot be blank,Akun Aset bidang tidak boleh kosong
apps/erpnext/erpnext/stock/doctype/item_alternative/item_alternative.py,Already record exists for the item {0},Sudah ada catatan untuk item {0}
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Ref,Ref
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,You will lose records of previously generated invoices. Are you sure you want to restart this subscription?,Anda akan kehilangan rekaman faktur yang dibuat sebelumnya. Anda yakin ingin memulai ulang langganan ini?
DocType: Lab Test,LP-,LP-
DocType: Healthcare Settings,Registration Fee,Biaya pendaftaran
DocType: Loyalty Program Collection,Loyalty Program Collection,Koleksi Program Loyalitas
DocType: Stock Entry Detail,Subcontracted Item,Item Subkontrak
apps/erpnext/erpnext/education/__init__.py,Student {0} does not belong to group {1},Siswa {0} bukan milik grup {1}
DocType: Budget,Cost Center,Biaya Pusat
apps/erpnext/erpnext/stock/report/stock_ledger/stock_ledger.py,Voucher #,Voucher #
DocType: Tax Rule,Shipping Country,Pengiriman Negara
DocType: Selling Settings,Hide Customer's Tax Id from Sales Transactions,Menyembunyikan Id Pajak Nasabah Transaksi Penjualan
DocType: Upload Attendance,Upload HTML,Unggah HTML
DocType: Employee,Relieving Date,Menghilangkan Tanggal
DocType: Purchase Invoice,Total Quantity,Jumlah total
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,"Pricing Rule is made to overwrite Price List / define discount percentage, based on some criteria.","Rule harga dibuat untuk menimpa Daftar Harga / mendefinisikan persentase diskon, berdasarkan beberapa kriteria."
apps/erpnext/erpnext/support/doctype/issue/issue.py,Service Level Agreement has been changed to {0}.,Perjanjian Tingkat Layanan telah diubah menjadi {0}.
DocType: Serial No,Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,Gudang hanya dapat diubah melalui Entri Persediaan / Nota Pengiriman / Nota Pembelian
DocType: Employee Education,Class / Percentage,Kelas / Persentase
DocType: Shopify Settings,Shopify Settings,Pengaturan Shopify
DocType: Amazon MWS Settings,Market Place ID,ID Place Pasar
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Head of Marketing and Sales,Kepala Pemasaran dan Penjualan
DocType: Video,Vimeo,Vimeo
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Income Tax,Pajak Penghasilan
DocType: HR Settings,Check Vacancies On Job Offer Creation,Lihat Lowongan Penciptaan Tawaran Kerja
apps/erpnext/erpnext/utilities/user_progress.py,Go to Letterheads,Pergi ke kop surat
DocType: Subscription,Cancel At End Of Period,Batalkan Pada Akhir Periode
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.js,Property already added,Properti sudah ditambahkan
DocType: Item Supplier,Item Supplier,Item Supplier
apps/erpnext/erpnext/public/js/controllers/transaction.js,Please enter Item Code to get batch no,Entrikan Item Code untuk mendapatkan bets tidak
apps/erpnext/erpnext/public/js/utils.js,Loyalty Points: {0},Poin Loyalitas: {0}
apps/erpnext/erpnext/selling/doctype/quotation/quotation.js,Please select a value for {0} quotation_to {1},Silakan pilih nilai untuk {0} quotation_to {1}
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,No Items selected for transfer,Tidak ada item yang dipilih untuk transfer
apps/erpnext/erpnext/config/buying.py,All Addresses.,Semua Alamat
DocType: Company,Stock Settings,Pengaturan Persediaan
apps/erpnext/erpnext/accounts/doctype/account/account.py,"Merging is only possible if following properties are same in both records. Is Group, Root Type, Company","Penggabungan ini hanya mungkin jika sifat berikut yang sama di kedua catatan. Apakah Group, Akar Jenis, Perusahaan"
DocType: Vehicle,Electric,listrik
DocType: Task,% Progress,% Selesai
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Gain/Loss on Asset Disposal,Laba / Rugi Asset Disposal
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.js,"Only the Student Applicant with the status ""Approved"" will be selected in the table below.",Hanya Pelamar Pelajar dengan status &quot;Disetujui&quot; yang akan dipilih dalam tabel di bawah ini.
DocType: Tax Withholding Category,Rates,Tarif
apps/erpnext/erpnext/regional/report/fichier_des_ecritures_comptables_[fec]/fichier_des_ecritures_comptables_[fec].py,Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Nomor akun untuk akun {0} tidak tersedia. <br> Harap atur bagan akun Anda dengan benar.
DocType: Task,Depends on Tasks,Tergantung pada Tugas
apps/erpnext/erpnext/config/crm.py,Manage Customer Group Tree.,Kelola Pohon Kelompok Pelanggan.
DocType: Normal Test Items,Result Value,Nilai hasil
DocType: Hotel Room,Hotels,Hotel
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js,New Cost Center Name,Baru Nama Biaya Pusat
DocType: Leave Control Panel,Leave Control Panel,Cuti Control Panel
DocType: Project,Task Completion,tugas Penyelesaian
apps/erpnext/erpnext/templates/generators/item/item_add_to_cart.html,Not in Stock,Tidak tersedia
DocType: Volunteer,Volunteer Skills,Keterampilan Relawan
DocType: Additional Salary,HR User,HR Pengguna
DocType: Bank Guarantee,Reference Document Name,Nama Dokumen Referensi
DocType: Purchase Invoice,Taxes and Charges Deducted,Pajak dan Biaya Dikurangi
DocType: Support Settings,Issues,Isu
DocType: Loyalty Program,Loyalty Program Name,Nama Program Loyalitas
apps/erpnext/erpnext/controllers/status_updater.py,Status must be one of {0},Status harus menjadi salah satu {0}
apps/erpnext/erpnext/regional/doctype/gst_settings/gst_settings.py,Reminder to update GSTIN Sent,Pengingat untuk memperbarui GSTIN Terkirim
DocType: Discounted Invoice,Debit To,Debit Untuk
DocType: Restaurant Menu Item,Restaurant Menu Item,Item Menu Restoran
DocType: Delivery Note,Required only for sample item.,Diperlukan hanya untuk item sampel.
DocType: Stock Ledger Entry,Actual Qty After Transaction,Jumlah Aktual Setelah Transaksi
,Pending SO Items For Purchase Request,Pending SO Items Untuk Pembelian Permintaan
apps/erpnext/erpnext/education/doctype/student_admission/student_admission.py,Student Admissions,Penerimaan Mahasiswa
DocType: Supplier,Billing Currency,Mata Uang Penagihan
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Extra Large,Ekstra Besar
DocType: Loan,Loan Application,Permohonan pinjaman
DocType: Crop,Scientific Name,Nama ilmiah
DocType: Healthcare Service Unit,Service Unit Type,Jenis Unit Layanan
DocType: Bank Account,Branch Code,Kode cabang
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Leaves,Total Cuti
DocType: Customer,"Reselect, if the chosen contact is edited after save","Pilih ulang, jika kontak yang dipilih akan diedit setelah menyimpan"
DocType: Quality Procedure,Parent Procedure,Prosedur Induk
DocType: Patient Encounter,In print,Di cetak
DocType: Accounting Dimension,Accounting Dimension,Dimensi Akuntansi
,Profit and Loss Statement,Laba Rugi
DocType: Bank Reconciliation Detail,Cheque Number,Nomor Cek
apps/erpnext/erpnext/healthcare/utils.py,The item referenced by {0} - {1} is already invoiced,Item yang direferensikan oleh {0} - {1} sudah ditagih
,Sales Browser,Browser Penjualan
DocType: Journal Entry,Total Credit,Jumlah Kredit
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Warning: Another {0} # {1} exists against stock entry {2},Peringatan: Ada {0} # {1} lain terhadap entri persediaan {2}
apps/erpnext/erpnext/utilities/user_progress_utils.py,Local,[Daerah
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Loans and Advances (Assets),Pinjaman Uang Muka dan (Aset)
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Debtors,Debitur
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Large,Besar
DocType: Bank Statement Settings,Bank Statement Settings,Pengaturan Pernyataan Bank
DocType: Shopify Settings,Customer Settings,Pengaturan Pelanggan
DocType: Homepage Featured Product,Homepage Featured Product,Homepage Produk Pilihan
apps/erpnext/erpnext/manufacturing/doctype/blanket_order/blanket_order.js,View Orders,Lihat Pesanan
DocType: Marketplace Settings,Marketplace URL (to hide and update label),URL Marketplace (untuk menyembunyikan dan memperbarui label)
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,All Assessment Groups,Semua Grup Assessment
apps/erpnext/erpnext/regional/india/utils.py,{} is required to generate e-Way Bill JSON,{} diperlukan untuk menghasilkan Bill JSON e-Way
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse_tree.js,New Warehouse Name,Gudang baru Nama
DocType: Shopify Settings,App Type,Jenis Aplikasi
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.py,Total {0} ({1}),Total {0} ({1})
DocType: C-Form Invoice Detail,Territory,Wilayah
DocType: Pricing Rule,Apply Rule On Item Code,Terapkan Aturan Pada Item Kode
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please mention no of visits required,Harap menyebutkan tidak ada kunjungan yang diperlukan
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.js,Stock Balance Report,Laporan Neraca Stok
DocType: Stock Settings,Default Valuation Method,Metode Perhitungan Standar
apps/erpnext/erpnext/education/doctype/program/program_dashboard.py,Fee,Biaya
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.js,Show Cumulative Amount,Tampilkan Jumlah Kumulatif
apps/erpnext/erpnext/setup/doctype/company/company.js,Update in progress. It might take a while.,Perbaruan sedang berlangsung. Mungkin perlu beberapa saat.
DocType: Production Plan Item,Produced Qty,Diproduksi Qty
DocType: Vehicle Log,Fuel Qty,BBM Qty
DocType: Work Order Operation,Planned Start Time,Rencana Start Time
DocType: Course,Assessment,Penilaian
DocType: Payment Entry Reference,Allocated,Dialokasikan
apps/erpnext/erpnext/config/accounting.py,Close Balance Sheet and book Profit or Loss.,Tutup Neraca dan Perhitungan Laba Rugi atau buku.
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,ERPNext could not find any matching payment entry,ERPNext tidak dapat menemukan entri pembayaran yang cocok
DocType: Student Applicant,Application Status,Status aplikasi
DocType: Additional Salary,Salary Component Type,Tipe Komponen Gaji
DocType: Sensitivity Test Items,Sensitivity Test Items,Item Uji Sensitivitas
DocType: Website Attribute,Website Attribute,Atribut Situs Web
DocType: Project Update,Project Update,Pembaruan Proyek
DocType: Fees,Fees,biaya
DocType: Currency Exchange,Specify Exchange Rate to convert one currency into another,Tentukan Nilai Tukar untuk mengkonversi satu mata uang ke yang lain
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Quotation {0} is cancelled,Quotation {0} dibatalkan
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Total Outstanding Amount,Jumlah Total Outstanding
DocType: Sales Partner,Targets,Target
apps/erpnext/erpnext/regional/report/fichier_des_ecritures_comptables_[fec]/fichier_des_ecritures_comptables_[fec].js,Please register the SIREN number in the company information file,Silakan daftar nomor SIREN di file informasi perusahaan
DocType: Quality Action Table,Responsible,Bertanggung jawab
DocType: Email Digest,Sales Orders to Bill,Pesanan Penjualan ke Bill
DocType: Price List,Price List Master,Daftar Harga Guru
DocType: GST Account,CESS Account,Akun CESS
DocType: Sales Person,All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,Semua Transaksi Penjualan dapat ditandai terhadap beberapa ** Orang Penjualan ** sehingga Anda dapat mengatur dan memonitor target.
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Link to Material Request,Tautan ke Permintaan Material
DocType: Quiz,Score out of 100,Skor dari 100
apps/erpnext/erpnext/templates/pages/help.html,Forum Activity,Kegiatan Forum
DocType: Quiz,Grading Basis,Dasar Grading
apps/erpnext/erpnext/selling/report/pending_so_items_for_purchase_request/pending_so_items_for_purchase_request.py,S.O. No.,SO No
DocType: Bank Statement Transaction Settings Item,Bank Statement Transaction Settings Item,Item Pengaturan Transaksi Pernyataan Bank
apps/erpnext/erpnext/hr/utils.py,To date can not greater than employee's relieving date,Hingga saat ini tidak dapat lebih besar dari tanggal pelepasan karyawan
apps/erpnext/erpnext/selling/doctype/quotation/quotation.py,Please create Customer from Lead {0},Silakan membuat Pelanggan dari Prospek {0}
apps/erpnext/erpnext/healthcare/page/patient_history/patient_history.html,Select Patient,Pilih pasien
DocType: Price List,Applicable for Countries,Berlaku untuk Negara
DocType: Supplier Scorecard Scoring Variable,Parameter Name,Nama parameter
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,Hanya Tinggalkan Aplikasi status &#39;Disetujui&#39; dan &#39;Ditolak&#39; dapat disampaikan
apps/erpnext/erpnext/accounts/doctype/accounting_dimension/accounting_dimension.py,Creating Dimensions...,Membuat Dimensi ...
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,Student Group Name is mandatory in row {0},Mahasiswa Nama Group adalah wajib berturut-turut {0}
DocType: Homepage,Products to be shown on website homepage,Produk yang akan ditampilkan pada homepage website
DocType: HR Settings,Password Policy,Kebijakan Kata Sandi
apps/erpnext/erpnext/setup/doctype/customer_group/customer_group.js,This is a root customer group and cannot be edited.,Ini adalah kelompok pelanggan paling dasar dan tidak dapat diedit.
DocType: Student,AB-,AB-
apps/erpnext/erpnext/manufacturing/doctype/job_card/job_card.py,Total completed qty must be greater than zero,Total qty yang diselesaikan harus lebih besar dari nol
DocType: Budget,Action if Accumulated Monthly Budget Exceeded on PO,Tindakan jika Akumulasi Anggaran Bulanan Melebihi pada PO
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,To Place,Meletakkan
DocType: Stock Entry,Stock Entry (Outward GIT),Entri Masuk (GIT Keluar)
DocType: Exchange Rate Revaluation,Exchange Rate Revaluation,Revaluasi Nilai Tukar
DocType: POS Profile,Ignore Pricing Rule,Abaikan Aturan Harga
DocType: Employee Education,Graduate,Lulusan
DocType: Leave Block List,Block Days,Blok Hari
apps/erpnext/erpnext/accounts/doctype/shipping_rule/shipping_rule.py,"Shipping Address does not have country, which is required for this Shipping Rule","Alamat Pengiriman tidak memiliki negara, yang diperlukan untuk Aturan Pengiriman ini"
DocType: Journal Entry,Excise Entry,Cukai Entri
DocType: Bank,Bank Transaction Mapping,Pemetaan Transaksi Bank
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Warning: Sales Order {0} already exists against Customer's Purchase Order {1},Peringatan: Order Penjualan {0} sudah ada untuk Order Pembelian Pelanggan {1}
DocType: Terms and Conditions,"Standard Terms and Conditions that can be added to Sales and Purchases.

Examples:

1. Validity of the offer.
1. Payment Terms (In Advance, On Credit, part advance etc).
1. What is extra (or payable by the Customer).
1. Safety / usage warning.
1. Warranty if any.
1. Returns Policy.
1. Terms of shipping, if applicable.
1. Ways of addressing disputes, indemnity, liability, etc.
1. Address and Contact of your Company.","Syarat dan Ketentuan Standar yang dapat ditambahkan ke Penjualan dan Pembelian. Contoh : 1. Validitas tawaran. 1. Termin Pembayaran (Pembayaran Dimuka, Secara Kredit, pembayaran dimuka sebagian, dll). 1. Apa yang ekstra (atau dibayar oleh Pelanggan). 1. Peringatan keamanan / penggunaan. 1. Garansi jika ada. 1. Kebijakan Retur. 1. Syarat pengiriman, jika berlaku. 1. Cara menangani sengketa, ganti rugi, kewajiban, dll. 1. Alamat dan Kontak Perusahaan Anda."
DocType: Homepage Section,Section Based On,Bagian Berdasarkan
DocType: Shopping Cart Settings,Show Apply Coupon Code,Tampilkan Terapkan Kode Kupon
DocType: Issue,Issue Type,Jenis Isu
DocType: Attendance,Leave Type,Cuti Type
DocType: Purchase Invoice,Supplier Invoice Details,Pemasok Rincian Faktur
DocType: Agriculture Task,Ignore holidays,Abaikan hari libur
apps/erpnext/erpnext/accounts/doctype/coupon_code/coupon_code.js,Add/Edit Coupon Conditions,Tambah / Edit Ketentuan Kupon
apps/erpnext/erpnext/controllers/stock_controller.py,Expense / Difference account ({0}) must be a 'Profit or Loss' account,Beban akun / Difference ({0}) harus akun 'Laba atau Rugi'
DocType: Stock Entry Detail,Stock Entry Child,Anak Masuk Stock
DocType: Project,Copied From,Disalin dari
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Invoice already created for all billing hours,Faktur sudah dibuat untuk semua jam penagihan
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Name error: {0},Nama error: {0}
DocType: Healthcare Service Unit Type,Item Details,Item detail
DocType: Cash Flow Mapping,Is Finance Cost,Apakah Biaya Keuangan?
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance for employee {0} is already marked,Kehadiran bagi karyawan {0} sudah ditandai
DocType: Packing Slip,If more than one package of the same type (for print),Jika lebih dari satu paket dari jenis yang sama (untuk mencetak)
apps/erpnext/erpnext/restaurant/doctype/restaurant_order_entry/restaurant_order_entry.py,Please set default customer in Restaurant Settings,Harap tetapkan pelanggan default di Pengaturan Restoran
,Salary Register,Register Gaji
DocType: Company,Default warehouse for Sales Return,Gudang default untuk Pengembalian Penjualan
DocType: Pick List,Parent Warehouse,Gudang tua
DocType: Subscription,Net Total,Jumlah Bersih
apps/erpnext/erpnext/stock/doctype/batch/batch.py,"Set item's shelf life in days, to set expiry based on manufacturing date plus shelf-life.","Tetapkan umur simpan item dalam beberapa hari, untuk menetapkan masa berlaku berdasarkan tanggal pembuatan ditambah umur simpan."
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Default BOM not found for Item {0} and Project {1},Default BOM tidak ditemukan untuk Item {0} dan Project {1}
apps/erpnext/erpnext/regional/italy/utils.py,Row {0}: Please set the Mode of Payment in Payment Schedule,Baris {0}: Silakan tetapkan Mode Pembayaran dalam Jadwal Pembayaran
apps/erpnext/erpnext/config/non_profit.py,Define various loan types,Mendefinisikan berbagai jenis pinjaman
DocType: Bin,FCFS Rate,FCFS Tingkat
DocType: Bank Statement Transaction Invoice Item,Outstanding Amount,Jumlah belum terbayar
apps/erpnext/erpnext/templates/generators/bom.html,Time(in mins),Waktu (dalam menit)
DocType: Task,Working,Kerja
DocType: Stock Ledger Entry,Stock Queue (FIFO),Antrian Persediaan (FIFO)
DocType: Homepage Section,Section HTML,Bagian HTML
apps/erpnext/erpnext/public/js/setup_wizard.js,Financial Year,Tahun Keuangan
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,{0} does not belong to Company {1},{0} bukan milik Perusahaan {1}
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_period/supplier_scorecard_period.py,Could not solve criteria score function for {0}. Make sure the formula is valid.,Tidak dapat memecahkan kriteria fungsi skor untuk {0}. Pastikan rumusnya benar.
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Cost as on,Biaya seperti pada
DocType: Healthcare Settings,Out Patient Settings,Keluar Pengaturan Pasien
DocType: Account,Round Off,Membulatkan
DocType: Service Level Priority,Resolution Time,Waktu resolusi
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Quantity must be positive,Kuantitas harus positif
DocType: Job Card,Requested Qty,Diminta Qty
apps/erpnext/erpnext/accounts/doctype/share_transfer/share_transfer.py,The fields From Shareholder and To Shareholder cannot be blank,Bidang Dari Pemegang Saham dan Pemegang Saham tidak boleh kosong
DocType: Cashier Closing,Cashier Closing,Penutupan Kasir
DocType: Tax Rule,Use for Shopping Cart,Gunakan untuk Keranjang Belanja
DocType: Homepage,Homepage Slideshow,Tampilan Beranda Beranda
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Select Serial Numbers,Pilih Nomor Seri
DocType: BOM Item,Scrap %,Scrap%
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,"Charges will be distributed proportionately based on item qty or amount, as per your selection","Biaya akan didistribusikan secara proporsional berdasarkan pada item qty atau jumlah, sesuai pilihan Anda"
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Create Supplier Quotation,Buat Penawaran Pemasok
DocType: Travel Request,Require Full Funding,Memerlukan Pendanaan Penuh
DocType: Maintenance Visit,Purposes,Tujuan
DocType: Stock Entry,MAT-STE-.YYYY.-,MAT-STE-.YYYY.-
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py,Atleast one item should be entered with negative quantity in return document,Atleast satu item harus dimasukkan dengan kuantitas negatif dalam dokumen kembali
DocType: Shift Type,Grace Period Settings For Auto Attendance,Pengaturan Periode Rahmat Untuk Kehadiran Otomatis
apps/erpnext/erpnext/manufacturing/doctype/workstation/workstation.py,"Operation {0} longer than any available working hours in workstation {1}, break down the operation into multiple operations","Operasi {0} lebih lama daripada jam kerja yang tersedia di workstation {1}, memecah operasi menjadi beberapa operasi"
DocType: Membership,Membership Status,Status Keanggotaan
DocType: Travel Itinerary,Lodging Required,Penginapan Diperlukan
DocType: Promotional Scheme,Price Discount Slabs,Potongan Harga Diskon
DocType: Stock Reconciliation Item,Current Serial No,Nomor Seri Saat Ini
DocType: Employee,Attendance and Leave Details,Detail Kehadiran dan Cuti
,BOM Comparison Tool,Alat Perbandingan BOM
,Requested,Diminta
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,No Remarks,Tidak ada Keterangan
DocType: Asset,In Maintenance,Dalam perawatan
DocType: Amazon MWS Settings,Click this button to pull your Sales Order data from Amazon MWS.,Klik tombol ini untuk mengambil data Sales Order Anda dari Amazon MWS.
DocType: Vital Signs,Abdomen,Abdomen
apps/erpnext/erpnext/accounts/doctype/exchange_rate_revaluation/exchange_rate_revaluation.py,No outstanding invoices require exchange rate revaluation,Tidak ada faktur terutang yang membutuhkan penilaian kembali nilai tukar
DocType: Purchase Invoice,Overdue,Terlambat
DocType: Account,Stock Received But Not Billed,Persediaan Diterima Tapi Tidak Ditagih
apps/erpnext/erpnext/accounts/doctype/account/account.py,Root Account must be a group,Akar Rekening harus kelompok
DocType: Drug Prescription,Drug Prescription,Resep obat
DocType: Service Level,Support and Resolution,Dukungan dan Resolusi
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Free item code is not selected,Kode item gratis tidak dipilih
DocType: Loan,Repaid/Closed,Dilunasi / Ditutup
DocType: Amazon MWS Settings,CA,CA
DocType: Item,Total Projected Qty,Total Proyeksi Jumlah
DocType: Monthly Distribution,Distribution Name,Nama Distribusi
DocType: Chart of Accounts Importer,Chart Tree,Bagan Pohon
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.js,Include UOM,Termasuk UOM
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Material Request No,Permintaan Material yang
DocType: Service Level Agreement,Default Service Level Agreement,Perjanjian Tingkat Layanan Default
DocType: SG Creation Tool Course,Course Code,Kode Course
apps/erpnext/erpnext/hr/utils.py,More than one selection for {0} not allowed,Lebih dari satu pilihan untuk {0} tidak diizinkan
DocType: Pick List,Qty of raw materials will be decided based on the qty of the Finished Goods Item,Jumlah bahan baku akan ditentukan berdasarkan jumlah Barang Jadi
DocType: Location,Parent Location,Lokasi Orangtua
DocType: POS Settings,Use POS in Offline Mode,Gunakan POS dalam Mode Offline
apps/erpnext/erpnext/support/doctype/issue/issue.py,Priority has been changed to {0}.,Prioritas telah diubah menjadi {0}.
apps/erpnext/erpnext/accounts/page/pos/pos.js,{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},{0} wajib. Mungkin data Nilai Tukar Uang tidak dibuat untuk {1} sampai {2}
DocType: Quotation,Rate at which customer's currency is converted to company's base currency,Tingkat di mana mata uang pelanggan dikonversi ke mata uang dasar perusahaan
