DocType: Accounting Period,Period Name,ຊື່ໄລຍະເວລາ
apps/erpnext/erpnext/manufacturing/doctype/bom_update_tool/bom_update_tool.js,Latest price updated in all BOMs,ລາຄາຫຼ້າສຸດປັບປຸງໃນ Boms ທັງຫມົດ
DocType: Project User,Project Status,ສະຖານະການ
DocType: UOM,Check this to disallow fractions. (for Nos),ກວດສອບນີ້ຈະບໍ່ອະນຸຍາດແຕ່ສ່ວນຫນຶ່ງ. (ສໍາລັບພວກເຮົາ)
DocType: Student Admission Program,Naming Series (for Student Applicant),ການຕັ້ງຊື່ Series (ສໍາລັບນັກສຶກສາສະຫມັກ)
apps/erpnext/erpnext/hr/doctype/retention_bonus/retention_bonus.py,Bonus Payment Date cannot be a past date,ວັນທີຊໍາລະເງິນໂບນັດບໍ່ສາມາດເປັນວັນທີ່ຜ່ານມາ
DocType: Travel Request,Copy of Invitation/Announcement,Copy of Invitation / Announcement
DocType: Practitioner Service Unit Schedule,Practitioner Service Unit Schedule,Schedule of Unit Practitioner Service Unit
DocType: Sales Invoice,Transporter Name,ຊື່ການຂົນສົ່ງ
DocType: Authorization Rule,Authorized Value,ມູນຄ່າອະນຸຍາດ
DocType: BOM,Show Operations,ສະແດງໃຫ້ເຫັນການປະຕິບັດ
,Minutes to First Response for Opportunity,ນາທີຄວາມຮັບຜິດຊອບຫນ້າທໍາອິດສໍາລັບໂອກາດ
apps/erpnext/erpnext/hr/report/monthly_attendance_sheet/monthly_attendance_sheet.py,Total Absent,ທັງຫມົດຂາດ
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item or Warehouse for row {0} does not match Material Request,ລາຍການຫຼືໂກດັງຕິດຕໍ່ກັນ {0} ບໍ່ມີຄໍາວ່າວັດສະດຸຂໍ
apps/erpnext/erpnext/hr/report/loan_repayment/loan_repayment.py,Payable Amount,ຈຳ ນວນທີ່ຕ້ອງຈ່າຍ
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Unit of Measure,ຫນ່ວຍບໍລິການຂອງມາດຕະການ
DocType: Fiscal Year,Year End Date,ປີສິ້ນສຸດວັນທີ່
DocType: Task Depends On,Task Depends On,ວຽກງານຂຶ້ນໃນ
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Opportunity,ໂອກາດ
DocType: Options,Option,ທາງເລືອກ
apps/erpnext/erpnext/accounts/general_ledger.py,You can't create accounting entries in the closed accounting period {0},ທ່ານບໍ່ສາມາດສ້າງລາຍການບັນຊີໃນຊ່ວງບັນຊີທີ່ປິດ {0}
DocType: Operation,Default Workstation,Workstation ມາດຕະຖານ
DocType: Payment Entry,Deductions or Loss,ຫັກຄ່າໃຊ້ຈ່າຍຫຼືການສູນເສຍ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} {1} is closed,{0} {1} ແມ່ນປິດ
DocType: Email Digest,How frequently?,ວິທີເລື້ອຍໆ?
apps/erpnext/erpnext/education/doctype/fee_schedule/fee_schedule.js,Total Collected: {0},ຍອດລວມ: {0}
DocType: Purchase Receipt,Get Current Stock,ໄດ້ຮັບການ Stock ປັດຈຸບັນ
DocType: Purchase Invoice,ineligible,ບໍ່ມີສິດໄດ້ຮັບ
apps/erpnext/erpnext/config/manufacturing.py,Tree of Bill of Materials,ເປັນໄມ້ຢືນຕົ້ນຂອງບັນຊີລາຍການຂອງວັດສະດຸ
DocType: BOM,Exploded Items,ລາຍການລະເບີດ
DocType: Student,Joining Date,ເຂົ້າຮ່ວມວັນທີ່
,Employees working on a holiday,ພະນັກງານເຮັດວຽກກ່ຽວກັບວັນພັກ
,TDS Computation Summary,TDS Computation Summary
DocType: Share Balance,Current State,Current State
apps/erpnext/erpnext/hr/doctype/employee_attendance_tool/employee_attendance_tool.js,Mark Present,ເຄື່ອງຫມາຍປັດຈຸບັນ
DocType: Share Transfer,From Shareholder,ຈາກຜູ້ຖືຫຸ້ນ
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Greater Than Amount,ໃຫຍ່ກວ່າ ຈຳ ນວນເງິນ
DocType: Project,% Complete Method,% ວິທີການສໍາເລັດ
apps/erpnext/erpnext/healthcare/setup.py,Drug,ຢາເສບຕິດ
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Maintenance start date can not be before delivery date for Serial No {0},ວັນທີເລີ່ມຕົ້ນບໍາລຸງຮັກສາບໍ່ສາມາດກ່ອນທີ່ວັນທີສໍາລັບການບໍ່ມີ Serial {0}
DocType: Work Order,Actual End Date,ຕົວຈິງວັນທີ່ສິ້ນສຸດ
DocType: Cash Flow Mapping,Is Finance Cost Adjustment,ແມ່ນການກໍານົດຄ່າໃຊ້ຈ່າຍທາງດ້ານການເງິນ
DocType: BOM,Operating Cost (Company Currency),ຄ່າໃຊ້ຈ່າຍປະຕິບັດການ (ບໍລິສັດສະກຸນເງິນ)
DocType: Authorization Rule,Applicable To (Role),ສາມາດນໍາໃຊ້ການ (ພາລະບົດບາດ)
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application_dashboard.html,Pending Leaves,ລໍຖ້າໃບ
DocType: BOM Update Tool,Replace BOM,ແທນທີ່ BOM
apps/erpnext/erpnext/healthcare/doctype/lab_test_template/lab_test_template.py,Code {0} already exist,ລະຫັດ {0} ມີຢູ່ແລ້ວ
DocType: Patient Encounter,Procedures,Procedures
apps/erpnext/erpnext/manufacturing/doctype/production_plan/production_plan.py,Sales orders are not available for production,ຄໍາສັ່ງຂາຍບໍ່ສາມາດໃຊ້ໄດ້ສໍາລັບການຜະລິດ
DocType: Asset Movement,Purpose,ຈຸດປະສົງ
DocType: Company,Fixed Asset Depreciation Settings,ການຕັ້ງຄ່າເສື່ອມລາຄາຊັບສິນຄົງທີ່
DocType: Item,Will also apply for variants unless overrridden,ຍັງຈະນໍາໃຊ້ສໍາລັບການ variants ເວັ້ນເສຍແຕ່ວ່າ overrridden
DocType: Purchase Invoice,Advances,ຄວາມກ້າວຫນ້າ
DocType: HR Settings,Hiring Settings,ຈ້າງການຕັ້ງຄ່າ
DocType: Work Order,Manufacture against Material Request,ປີທີ່ຜະລິດຕໍ່ຂໍໃຊ້ບໍລິການວັດສະດຸ
apps/erpnext/erpnext/education/report/course_wise_assessment_report/course_wise_assessment_report.html,Assessment Group: ,ການປະເມີນຜົນ Group:
DocType: Item Reorder,Request for,ການຮ້ອງຂໍສໍາລັບການ
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Approving User cannot be same as user the rule is Applicable To,ການອະນຸມັດຜູ້ໃຊ້ບໍ່ສາມາດເຊັ່ນດຽວກັນກັບຜູ້ໃຊ້ລະບຽບການກ່ຽວຂ້ອງກັບ
DocType: Stock Entry Detail,Basic Rate (as per Stock UOM),ອັດຕາຂັ້ນພື້ນຖານ (ຕາມ Stock UOM)
DocType: SMS Log,No of Requested SMS,ບໍ່ມີຂອງ SMS ຂໍ
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py,Leave Without Pay does not match with approved Leave Application records,ອອກຈາກໂດຍບໍ່ມີການຈ່າຍບໍ່ມີຄໍາວ່າດ້ວຍການອະນຸມັດການບັນທຶກການອອກຈາກຄໍາຮ້ອງສະຫມັກ
apps/erpnext/erpnext/setup/page/welcome_to_erpnext/welcome_to_erpnext.html,Next Steps,ຂັ້ນຕອນຕໍ່ໄປ
apps/erpnext/erpnext/public/js/hub/Sidebar.vue,Saved Items,ລາຍການທີ່ບັນທຶກໄວ້
DocType: Travel Request,Domestic,ພາຍໃນປະເທດ
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js,Please supply the specified items at the best possible rates,ກະລຸນາສະຫນອງໃຫ້ແກ່ລາຍການທີ່ລະບຸໄວ້ໃນລາຄາທີ່ເປັນໄປໄດ້ທີ່ດີທີ່ສຸດ
apps/erpnext/erpnext/hr/doctype/employee_transfer/employee_transfer.py,Employee Transfer cannot be submitted before Transfer Date ,ບໍ່ສາມາດສົ່ງຄືນການໂອນເງິນພະນັກງານກ່ອນວັນທີໂອນ
DocType: Certification Application,USD,USD
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Remaining Balance,ຍອດຄົງເຫລືອ
DocType: Selling Settings,Auto close Opportunity after 15 days,Auto ໃກ້ໂອກາດພາຍໃນ 15 ວັນ
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.py,Purchase Orders are not allowed for {0} due to a scorecard standing of {1}.,ໃບສັ່ງຊື້ຍັງບໍ່ໄດ້ຮັບອະນຸຍາດສໍາລັບການ {0} ເນື່ອງຈາກການນຸ່ງປະຈໍາດັດນີຊີ້ວັດຂອງ {1}.
apps/erpnext/erpnext/stock/doctype/item/item.py,Barcode {0} is not a valid {1} code,ລະຫັດບາໂຄດ {0} ບໍ່ແມ່ນລະຫັດ {1} ທີ່ຖືກຕ້ອງ
apps/erpnext/erpnext/accounts/report/consolidated_financial_statement/consolidated_financial_statement.js,End Year,ປີສຸດທ້າຍ
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Quot/Lead %,quot /% Lead
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Quot/Lead %,quot /% Lead
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Contract End Date must be greater than Date of Joining,ສຸດທ້າຍສັນຍາວັນຕ້ອງໄດ້ຫຼາຍກ່ວາວັນຂອງການເຂົ້າຮ່ວມ
DocType: Sales Invoice,Driver,Driver
DocType: Vital Signs,Nutrition Values,Nutrition Values
DocType: Lab Test Template,Is billable,ແມ່ນໃບລາຍຈ່າຍ
DocType: Sales Partner,A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,A ຈໍາຫນ່າຍພາກສ່ວນທີສາມ / dealer / ຄະນະກໍາມະຕົວແທນ / ເປັນພີ່ນ້ອງກັນ / ຕົວແທນຈໍາຫນ່າຍຜູ້ທີ່ຂາຍໃນລາຄາຜະລິດຕະພັນບໍລິສັດສໍາລັບຄະນະກໍາມະ.
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,{0} against Purchase Order {1},{0} ຕໍ່ສັ່ງຊື້ {1}
DocType: Patient,Patient Demographics,Patient Demographics
DocType: Task,Actual Start Date (via Time Sheet),ຕົວຈິງວັນທີ່ເລີ່ມຕົ້ນ (ໂດຍຜ່ານທີ່ໃຊ້ເວລາ Sheet)
apps/erpnext/erpnext/portal/doctype/homepage/homepage.py,This is an example website auto-generated from ERPNext,ນີ້ແມ່ນເວັບໄຊທ໌ຕົວຢ່າງອັດຕະໂນມັດສ້າງຈາກ ERPNext
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Range 1,Range Ageing 1
DocType: Shopify Settings,Enable Shopify,ເປີດໃຊ້ Shopify
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Total advance amount cannot be greater than total claimed amount,ຈໍານວນເງິນລ່ວງຫນ້າທັງຫມົດບໍ່ສາມາດຈະສູງກວ່າຈໍານວນເງິນທີ່ຖືກຮຽກຮ້ອງທັງຫມົດ
DocType: Purchase Taxes and Charges Template,"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","ແມ່ແບບພາສີມາດຕະຖານທີ່ສາມາດໄດ້ຮັບການນໍາໃຊ້ກັບທຸກການຊື້. ແມ່ແບບນີ້ສາມາດປະກອບດ້ວຍບັນຊີລາຍຊື່ຂອງຫົວຫນ້າພາສີແລະຍັງຫົວຫນ້າຄ່າໃຊ້ຈ່າຍອື່ນໆເຊັ່ນ: &quot;ສົ່ງ&quot;, &quot;ການປະກັນໄພ&quot;, &quot;ການຈັດການ&quot; ແລະອື່ນໆ #### ຫມາຍເຫດອັດຕາພາສີທີ່ທ່ານອະທິບາຍຢູ່ທີ່ນີ້ຈະເປັນອັດຕາພາສີມາດຕະຖານສໍາລັບການທັງຫມົດ ** ລາຍະການ * *. ຖ້າຫາກວ່າມີການ ** ** ທີ່ມີອັດຕາທີ່ແຕກຕ່າງກັນ, ພວກເຂົາເຈົ້າຕ້ອງໄດ້ຮັບການເພີ່ມໃນ ** ພາສີສິນຄ້າ ** ຕາຕະລາງໃນ ** ສິນຄ້າ ** ຕົ້ນສະບັບ. #### ລາຍລະອຽດຂອງຖັນ 1 ເຄື່ອງກວດ: - ນີ້ສາມາດຈະຢູ່ ** ສຸດທິທັງຫມົດ ** (ທີ່ເປັນຜົນລວມຂອງຈໍານວນເງິນຂັ້ນພື້ນຖານ). - ** ກ່ຽວກັບ Row ກ່ອນຫນ້າທັງຫມົດ / ຈໍານວນເງິນ ** (ສໍາລັບພາສີອາກອນສະສົມຫຼືຄ່າບໍລິການ). ຖ້າຫາກວ່າທ່ານເລືອກຕົວເລືອກນີ້, ພາສີຈະໄດ້ຮັບການນໍາໃຊ້ເປັນອັດຕາສ່ວນຂອງການຕິດຕໍ່ກັນທີ່ຜ່ານມາ (ໃນຕາຕະລາງພາສີ) ເປັນຈໍານວນເງິນຫຼືຈໍານວນທັງຫມົດ. - ** ຈິງ ** (ທີ່ໄດ້ກ່າວມາ). 2. ຫົວຫນ້າບັນຊີ: ບັນຊີແຍກປະບັນຊີພາຍໃຕ້ການທີ່ພາສີນີ້ຈະໄດ້ຮັບການຈອງ 3 ສູນຕົ້ນທຶນ: ຖ້າຫາກວ່າພາສີ / ຄ່າໃຊ້ຈ່າຍແມ່ນເປັນລາຍຮັບ (ເຊັ່ນ: ການຂົນສົ່ງ) ຫລືຄ່າໃຊ້ຈ່າຍມັນຈໍາເປັນຕ້ອງໄດ້ຮັບການ booked ຕໍ່ສູນຕົ້ນທຶນໄດ້. 4. ລາຍລະອຽດ: ລາຍລະອຽດຂອງພາສີ (ທີ່ຈະໄດ້ຮັບການພິມອອກໃນໃບແຈ້ງຫນີ້ / ຄໍາເວົ້າ). 5. ອັດຕາ: ອັດຕາພາສີ. 6. ຈໍານວນເງິນ: ຈໍານວນເງິນພາສີ. 7 ທັງຫມົດ: ທັງຫມົດທີ່ສະສົມກັບຈຸດນີ້. 8. ກະລຸນາໃສ່ Row: ຖ້າຫາກວ່າຂຶ້ນຢູ່ກັບ &quot;Row ກ່ອນຫນ້າທັງຫມົດ&quot; ທ່ານສາມາດເລືອກຈໍານວນການຕິດຕໍ່ກັນທີ່ຈະໄດ້ຮັບການປະຕິບັດເປັນພື້ນຖານສໍາລັບການຄິດໄລ່ນີ້ (ໃນຕອນຕົ້ນແມ່ນຕິດຕໍ່ກັນຜ່ານມາ). 9. ພິຈາລະນາຈ່າຍພາສີຫລືຄ່າທໍານຽມສໍາລັບການ: ໃນພາກນີ້ທ່ານສາມາດກໍານົດຖ້າຫາກວ່າພາສີ / ຮັບຜິດຊອບແມ່ນມີພຽງແຕ່ສໍາລັບການປະເມີນມູນຄ່າ (ບໍ່ແມ່ນສ່ວນຫນຶ່ງຂອງທັງຫມົດ) ຫຼືພຽງແຕ່ສໍາລັບການທັງຫມົດ (ບໍ່ເພີ່ມມູນຄ່າໃຫ້ສິນຄ້າ) ຫຼືສໍາລັບທັງສອງ. 10 ເພີ່ມຫຼືຫັກ: ບໍ່ວ່າຈະເປັນທ່ານຕ້ອງການທີ່ຈະເພີ່ມຫຼືຫັກອາກອນ."
DocType: Homepage,Homepage,ຫນ້າທໍາອິດ
DocType: Grant Application,Grant Application Details ,Grant Application Details
DocType: Employee Separation,Employee Separation,Employee Separation
DocType: BOM Item,Original Item,Original Item
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Doc Date,Doc Date
apps/erpnext/erpnext/education/doctype/program_enrollment/program_enrollment.py,Fee Records Created - {0},ຄ່າບໍລິການບັນທຶກຂຽນເມື່ອຫລາຍ - {0}
DocType: Asset Category Account,Asset Category Account,ບັນຊີຊັບສິນປະເພດ
apps/erpnext/erpnext/controllers/item_variant.py,The value {0} is already assigned to an exisiting Item {2}.,ມູນຄ່າ {0} ໄດ້ຖືກມອບ ໝາຍ ໃຫ້ລາຍການທີ່ ໜ້າ ສົນໃຈ {2} ແລ້ວ.
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,Row #{0} (Payment Table): Amount must be positive,ແຖວ # {0} (ຕາລາງຈ່າຍ): ຈໍານວນເງິນຕ້ອງເປັນບວກ
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Cannot produce more Item {0} than Sales Order quantity {1},ບໍ່ສາມາດຜະລິດສິນຄ້າຫຼາຍ {0} ກ່ວາປະລິມານສັ່ງຂາຍ {1}
apps/erpnext/erpnext/accounts/report/gross_and_net_profit_report/gross_and_net_profit_report.py,Nothing is included in gross,ບໍ່ມີຫຍັງລວມຢູ່ໃນລວມຍອດ
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill already exists for this document,e-Way Bill ມີຢູ່ແລ້ວ ສຳ ລັບເອກະສານນີ້
apps/erpnext/erpnext/stock/doctype/item/item.js,Select Attribute Values,Select Values Attribute
DocType: Purchase Invoice,Reason For Issuing document,ເຫດຜົນສໍາລັບການອອກເອກະສານ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Stock Entry {0} is not submitted,Stock Entry {0} ບໍ່ໄດ້ສົ່ງ
DocType: Payment Reconciliation,Bank / Cash Account,ບັນຊີທະນາຄານ / ເງິນສົດ
DocType: Bank Transaction,ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-
apps/erpnext/erpnext/crm/doctype/lead/lead.py,Next Contact By cannot be same as the Lead Email Address,ຖັດໄປໂດຍບໍ່ສາມາດເຊັ່ນດຽວກັນກັບທີ່ຢູ່ອີເມວ Lead
DocType: Tax Rule,Billing City,City Billing
apps/erpnext/erpnext/regional/italy/setup.py,Applicable if the company is an Individual or a Proprietorship,ສະ ໝັກ ໄດ້ຖ້າບໍລິສັດເປັນບຸກຄົນຫລືຜູ້ຖືສິດຄອບຄອງ
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,Log Type is required for check-ins falling in the shift: {0}.,ປະເພດບັນທຶກແມ່ນຕ້ອງການ ສຳ ລັບການເຊັກອິນທີ່ລົ້ມລົງໃນການປ່ຽນແປງ: {0}.
DocType: Asset,Manual,ຄູ່ມື
DocType: Tally Migration,Is Master Data Processed,ແມ່ນການປຸງແຕ່ງຂໍ້ມູນຂອງ Master
DocType: Salary Component Account,Salary Component Account,ບັນຊີເງິນເດືອນ Component
DocType: Global Defaults,Hide Currency Symbol,ຊ່ອນສະກຸນເງິນ Symbol
apps/erpnext/erpnext/config/non_profit.py,Donor information.,ຂໍ້ມູນຜູ້ໃຫ້ທຶນ.
apps/erpnext/erpnext/config/accounting.py,"e.g. Bank, Cash, Credit Card","ຕົວຢ່າງ: ທະນາຄານ, ເງິນສົດ, ບັດເຄຣດິດ"
DocType: Vital Signs,"Normal resting blood pressure in an adult is approximately 120 mmHg systolic, and 80 mmHg diastolic, abbreviated ""120/80 mmHg""","ຄວາມດັນເລືອດປົກກະຕິຢູ່ໃນຜູ້ໃຫຍ່ແມ່ນປະມານ 120 mmHg systolic ແລະ 80 mmHg diastolic, ຫຍໍ້ວ່າ &quot;120/80 mmHg&quot;"
DocType: Journal Entry,Credit Note,Credit Note
apps/erpnext/erpnext/buying/report/subcontracted_item_to_be_received/subcontracted_item_to_be_received.py,Finished Good Item Code,ລະຫັດສິນຄ້າທີ່ຈົບງາມ
apps/erpnext/erpnext/config/desktop.py,Quality,ຄຸນະພາບ
DocType: Projects Settings,Ignore Employee Time Overlap,ບໍ່ສົນໃຈເວລາເຮັດວຽກຂອງພະນັກງານ
DocType: Warranty Claim,Service Address,ທີ່ຢູ່ບໍລິການ
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.js,Import Master Data,ການ ນຳ ເຂົ້າຂໍ້ມູນ Master
DocType: Asset Maintenance Task,Calibration,Calibration
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.py,{0} is a company holiday,{0} ເປັນວັນພັກຂອງບໍລິສັດ
apps/erpnext/erpnext/projects/report/billing_summary.py,Billable Hours,ຊົ່ວໂມງບິນໄດ້
apps/erpnext/erpnext/patches/v11_0/add_default_email_template_for_leave.py,Leave Status Notification,ອອກຈາກແຈ້ງການສະຖານະພາບ
DocType: Patient Appointment,Procedure Prescription,Procedure Prescription
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Furnitures and Fixtures,ເຟີນິເຈີແລະການແຂ່ງຂັນ
DocType: Travel Request,Travel Type,ປະເພດການເດີນທາງ
DocType: Purchase Invoice Item,Manufacture,ຜະລິດ
DocType: Blanket Order,MFG-BLR-.YYYY.-,MFG-BLR-YYYY.-
apps/erpnext/erpnext/utilities/user_progress.py,Setup Company,ຕິດຕັ້ງບໍລິສັດ
,Lab Test Report,Lab Report Test
DocType: Employee Benefit Application,Employee Benefit Application,Application Benefit Employee
apps/erpnext/erpnext/accounts/doctype/invoice_discounting/invoice_discounting.py,Row({0}): {1} is already discounted in {2},ແຖວ ({0}): {1} ແມ່ນຫຼຸດລົງແລ້ວໃນ {2}
apps/erpnext/erpnext/hr/doctype/additional_salary/additional_salary.py,Additional Salary Component Exists.,ອົງປະກອບເງິນເດືອນເພີ່ມເຕີມ.
DocType: Purchase Invoice,Unregistered,ບໍ່ໄດ້ລົງທະບຽນ
DocType: Student Applicant,Application Date,ຄໍາຮ້ອງສະຫມັກວັນທີ່
DocType: Salary Component,Amount based on formula,ຈໍານວນຕາມສູດ
DocType: Purchase Invoice,Currency and Price List,ສະກຸນເງິນແລະບັນຊີລາຄາ
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Create Maintenance Visit,ສ້າງການຢ້ຽມຢາມ ບຳ ລຸງຮັກສາ
DocType: Opportunity,Customer / Lead Name,ລູກຄ້າ / ຊື່ Lead
apps/erpnext/erpnext/accounts/doctype/bank_reconciliation/bank_reconciliation.py,Clearance Date not mentioned,ການເກັບກູ້ Date ບໍ່ໄດ້ກ່າວເຖິງ
DocType: Payroll Period,Taxable Salary Slabs,ເງິນເດືອນເງິນເດືອນ
apps/erpnext/erpnext/config/manufacturing.py,Production,ການຜະລິດ
apps/erpnext/erpnext/regional/india/utils.py,Invalid GSTIN! The input you've entered doesn't match the format of GSTIN.,GSTIN ບໍ່ຖືກຕ້ອງ! ວັດສະດຸປ້ອນທີ່ທ່ານໄດ້ໃສ່ບໍ່ກົງກັບຮູບແບບຂອງ GSTIN.
DocType: Guardian,Occupation,ອາຊີບ
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,For Quantity must be less than quantity {0},ສໍາລັບຈໍານວນຕ້ອງນ້ອຍກວ່າປະລິມານ {0}
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.js,Row {0}:Start Date must be before End Date,ຕິດຕໍ່ກັນ {0}: ວັນທີ່ເລີ່ມຕ້ອງມີກ່ອນວັນທີ່ສິ້ນສຸດ
DocType: Salary Component,Max Benefit Amount (Yearly),ອັດຕາດອກເບ້ຍສູງສຸດ (ປະຈໍາປີ)
apps/erpnext/erpnext/accounts/report/tds_computation_summary/tds_computation_summary.py,TDS Rate %,TDS Rate%
DocType: Crop,Planting Area,ການປູກພື້ນທີ່
apps/erpnext/erpnext/controllers/trends.py,Total(Qty),ທັງຫມົດ (ຈໍານວນ)
DocType: Installation Note Item,Installed Qty,ການຕິດຕັ້ງຈໍານວນ
apps/erpnext/erpnext/utilities/user_progress.py,You added ,ທ່ານເພີ່ມ
,Product Bundle Balance,ຍອດຜະລິດຕະພັນທີ່ສົມດຸນ
DocType: Purchase Taxes and Charges,Parenttype,Parenttype
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Central Tax,ພາສີສູນກາງ
apps/erpnext/erpnext/hr/doctype/training_event/training_event.js,Training Result,ຜົນການຝຶກອົບຮົມ
DocType: Purchase Invoice,Is Paid,ແມ່ນການຊໍາລະເງິນ
DocType: Salary Structure,Total Earning,ກໍາໄຮທັງຫມົດ
DocType: Purchase Receipt,Time at which materials were received,ເວລາທີ່ອຸປະກອນທີ່ໄດ້ຮັບ
DocType: Products Settings,Products per Page,ຜະລິດຕະພັນຕໍ່ຫນ້າ
DocType: Stock Ledger Entry,Outgoing Rate,ອັດຕາລາຍຈ່າຍ
apps/erpnext/erpnext/controllers/accounts_controller.py, or ,ຫຼື
apps/erpnext/erpnext/public/js/purchase_trends_filters.js,Billing Date,ວັນທີໃບບິນ
apps/erpnext/erpnext/accounts/utils.py,Allocated amount cannot be negative,ຈຳ ນວນເງິນທີ່ຈັດສັນໃຫ້ບໍ່ເປັນລົບ
DocType: Sales Order,Billing Status,ສະຖານະການເອີ້ນເກັບເງິນ
apps/erpnext/erpnext/public/js/conf.js,Report an Issue,ລາຍງານສະບັບທີ່ເປັນ
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"If you {0} {1} quantities of the item <b>{2}</b>, the scheme <b>{3}</b>
			will be applied on the item.","ຖ້າທ່ານ {0} {1} ປະລິມານຂອງລາຍການ <b>{2}</b> , ລະບົບ <b>{3}</b> ຈະຖືກ ນຳ ໃຊ້ໃນລາຍການ."
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Utility Expenses,ຄ່າໃຊ້ຈ່າຍຜົນປະໂຫຍດ
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py,90-Above,90 ຂ້າງເທິງ
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Row #{0}: Journal Entry {1} does not have account {2} or already matched against another voucher,"ຕິດຕໍ່ກັນ, {0}: Journal Entry {1} ບໍ່ມີບັນຊີ {2} ຫລືແລ້ວປຽບທຽບ voucher ອື່ນ"
DocType: Supplier Scorecard Criteria,Criteria Weight,ມາດຕະຖານນ້ໍາຫນັກ
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Account: {0} is not permitted under Payment Entry,ບັນຊີ: {0} ບໍ່ໄດ້ຮັບອະນຸຍາດພາຍໃຕ້ການເຂົ້າການຊໍາລະເງິນ
DocType: Production Plan,Ignore Existing Projected Quantity,ບໍ່ສົນໃຈ ຈຳ ນວນໂຄງການທີ່ມີຢູ່
apps/erpnext/erpnext/patches/v11_0/add_default_email_template_for_leave.py,Leave Approval Notification,ອອກແຈ້ງການອະນຸມັດ
DocType: Buying Settings,Default Buying Price List,ມາດຕະຖານບັນຊີການຊື້ລາຄາ
DocType: Payroll Entry,Salary Slip Based on Timesheet,Slip ເງິນເດືອນຈາກ Timesheet
