Pension Funds,የጡረታ ፈንዶች
Row {0}: Depreciation Start Date is required,ረድፍ {0}: የአልበሻ ቀን ጅምር ያስፈልጋል
Option,አማራጭ
Out Patient SMS Alerts,ታካሚ የኤስኤምኤስ ማስጠንቀቂያዎች
Sales Account,የሽያጭ መለያ
Weather Parameter,የአየር ሁኔታ መለኪያ
Allocate,ምደባ
Maintenance Schedule Detail,የጥገና ዕቅድ ዝርዝር
BOM Update Tool,የ BOM ማሻሻያ መሳሪያ
Notice Period,ማስታወቂያ ጊዜ
Lead Owner Efficiency,የዋና ባለቤት ውጤታማነት
Total Characters,ጠቅላላ ገጸ ባህሪያት
Alcohol Past Use,አልኮል አልፋ አገልግሎት
Divorced,ፍቺ
Allocate Advances Automatically (FIFO),ቅድመ ማሳደጊያዎችን በራስ-ሰር (FIFO)
Is Compensatory,ማካካሻ ነው
Employees working on a holiday,በበዓላት ላይ የሚሰሩ ሠራተኞች
Mobile,ሞባይል
"Timesheets help keep track of time, cost and billing for activites done by your team","የጊዜ ሰሌዳዎች በቡድንዎ የሚሰሩ የድርጊት ጊዜዎችን, ወጪዎችን እና የክፍያ መለኪያዎችን ለመከታተል ያግዛሉ"
Order Information,የትዕዛዝ መረጃ
Subtotal,ንዑስ ድምር
Invoice Discounting,ደረሰኝ ቅናሽ
Nos,Nos
Freeze Stock Entries,የግብአት ግቤቶችን እሰር
Item {0} not found,ንጥል {0} አልተገኘም
You have entered duplicate items. Please rectify and try again.,የተባዙ እቃዎችን አስገብተሃል. እባክዎን ያስተካክሉ እና እንደገና ይሞክሩ.
Rate,ደረጃ ይስጡ
Saving {0},በማስቀመጥ ላይ {0}
Total Message(s),ጠቅላላ መልዕክት (ዎች)
Group by Account,በመለያ በቡድን
In Words will be visible once you save the Quotation.,መጠይቁን ካስቀመጡ በኋላ በቃላት ውስጥ ይታያሉ.
Quantity to Produce,የሚፈለገው ብዛት
Row #{0}: Cannot set Rate if amount is greater than billed amount for Item {1}.,ረድፍ # {0}: &lt;የንጥል {1} ከተከፈለበት መጠን በላይ ከሆነ መጠን መጠን ማዘጋጀት አልተቻለም.
Actual Start Time,ትክክለኛው ጅምር ሰዓት
Laboratory User,የላቦራቶሪ ተጠቃሚ
Online Auctions,የመስመር ላይ ጨረታዎች
Fee Creation Status,የአገልግሎት ክፍያ ሁኔታ
Softwares,ሶፍትዌሮች
Sales Order to Payment,ለክፍያ ማዘዝ
This is based on transactions against this Healthcare Practitioner.,ይህ በ &quot;ሄልዝኬር አፕሪሽዬ&quot; ላይ የተደረጉ ግብይቶች ላይ የተመሰረተ ነው.
Assigning Structures...,መዋቅሮችን መወሰን ...
Details of the operations carried out.,የተከናወኑት ሥራዎች ዝርዝር.
Operation Time must be greater than 0 for Operation {0},የክወና ጊዜ ለትግበራ {0} ከ 0 በላይ መሆን አለበት.
A qustion must have at least one correct options,ቅፅበት ቢያንስ አንድ ትክክለኛ አማራጮች ሊኖረው ይገባል
Folio no.,Folio ቁጥር.
A Negative,አሉታዊ
{0} is mandatory for Item {1},{0} ለንጥል {1} የግድ ግዴታ ነው
Production Analytics,የምርት ትንታኔ
Row #{0}: Set Supplier for item {1},ረድፍ # {0}: ለንጥል ንጥል ነገር ያዋቅሩ {1}
Records,መዛግብት
Case No(s) already in use. Try from Case No {0},ኬዝ የለም (ችቶች) አስቀድሞ ጥቅም ላይ ናቸው. ከተለመደው ቁጥር {0} ይሞክሩ
Website URL,የድር ጣቢያ ዩአርኤል
Report Type is mandatory,የሪፖርት ዓይነት ግዴታ ነው
Policy No,መምሪያ ቁጥር
Replies,ምላሾች
Variable Name,ተለዋዋጭ ስም
Utilities,መገልገያዎች
Total Completed Qty,አጠቃላይ መጠናቀቅ ተጠናቋል
No Items with Bill of Materials to Manufacture,የታተመ ቁሳቁሶች ያሉባቸው ንጥሎች የሉም
Blanket Order Rate,የበራሪ ትዕዛዝ ተመን
Track separate Income and Expense for product verticals or divisions.,ለምርት ውስጣዊ ክፍፍል ወይም ክፍያዎች የተለየ የገቢና ወጪን ይከታተሉ.
Warning: Invalid SSL certificate on attachment {0},ማስጠንቀቂያ በአባሪነት ላይ ልክ ያልሆነ የኤስኤስኤል እውቅና ማረጋገጫ {0}
Opp Count,የተገላቢጦሽ ቁጥር
As Examiner,እንደ መመርመር
Default Expense Claim Payable Account,የነቢቢ ወለድ ክፍያ ጥያቄ
HR-ADS-.YY.-.MM.-,HR-ADS-.YY.- MM-
Docs Search,ሰነዶች ፍለጋ
End Date can not be less than Start Date,የማብቂያ ቀን ከጀመረበት ቀን በታች መሆን አይችልም
No Items with Bill of Materials.,በሂሳብ ቁሳቁሶች ምንም ንጥሎች የሉም.
Single unit of an Item.,የአንድ ንጥል ነጠላ ንጥረ ነገር.
Quotations,ጥቅሶች
Could not generate Secret,ምስጢሩን ማመንጨት አልተቻለም
Valuation and Total,ግምትና ጠቅላላ
Member Activity,የአባላት እንቅስቃሴ
Import Attendance,አስገባ ማስገባት
Account for Change Amount,ለለውጥ መለኪያ ሂሳብ
Item Price Stock,የንጥል ዋጋ አክሲዮን
ACC-ASS-.YYYY.-,ACC-ASS-yYYYY.-
"Request for Quotation is disabled to access from portal, for more check portal settings.",ለተጨማሪ የቼክ መለዋወጫ ቅንጅቶች የመግቢያ ጥያቄ ከድረ-ገጽ ለመድረስ ተሰናክሏል.
Mapped Header,የተቀረጸ የራስጌ ርዕስ
"Item Code, warehouse, quantity are required on row","የንጥል ህግ, መጋዘን, ብዛት በረድፍ ላይ ያስፈልጋል"
Bank Account Details,የባንክ ሂሳብ ዝርዝሮች
Homepage Slideshow,መነሻ ገጽ ተንሸራታች ትዕይንት
"Partially Sponsored, Require Partial Funding","በከፊል የተደገፈ, ከፊል የገንዘብ ድጋፍ ጠይቅ"
Payment of {0} from {1} to {2},የ {0} ክፍያ ከ {1} እስከ {2}
Serial No Status,ተከታታይ ሁኔታ ሁኔታ
Donor,ለጋሽ
Item UOM,ንጥል UOM
Row {0}: select the workstation against the operation {1},ረድፍ {0}: ከብጁሩ {1}
Default Return Warehouse,ነባሪ የመመለስ መጋዘን
{0} must be submitted,{0} መቅረብ አለበት
Estimated Cost,ግምታዊ ወጭ
Quot/Lead %,ጥቅል / መርምር%
Member information.,የአባላት መረጃ.
Reverse Journal Entry,የተራዘመ የጆርምድ ምዝገባ
Set a sales goal you'd like to achieve for your company.,ለኩባንያዎ ሊያገኙት የሚፈልጉት የሽያጭ ግብ ያዘጋጁ.
Special,ልዩ
Reserved Qty for Subcontract: Raw materials quantity to make subcotracted items.,ለተጨማሪ የንዐስ ኮንትራክተር-
In print,በኅትመት
Could not retrieve information for {0}.,ለ {0} መረጃ ማምጣት አልተቻለም.
Billing currency must be equal to either default company's currency or party account currency,የማስከፈያ ምንዛሬ ከተለመደው የኩባንያው ምንዛሬ ወይም የፓርቲው የመገበያያ ገንዘብ ጋር እኩል መሆን አለበት
Please enter Employee Id of this sales person,እባክዎን የዚህ ሽያጭ ሰው የሰራተኛ መታወቂያ ያስገቡ
Create Opening Sales and Purchase Invoices,ክፍት የሽያጭ እና የግዢ ደረሰኞችን ይፍጠሩ
Treatment Period,የሕክምና ጊዜ
Setting up Email,ኢሜይልን ማቀናበር
Debit Note Amount,የዕዳ ሒሳብ መጠን መጠን
Rate at which Price list currency is converted to customer's base currency,የትኛው የአማራጭ ገንዘብ ምንዛሬ ወደ ደንበኛው የመደበኛ ምንዛሪነት ይቀየራል
Certification,የዕውቅና ማረጋገጫ
"Here you can maintain height, weight, allergies, medical concerns etc","እዚህ ላይ ቁመት, ክብደት, አለርጂዎች, የህክምና ጉዳዮች ወዘተ ሊሆኑ ይችላሉ"
Print Heading,ራስጌ ማተም
Withdrawn,ተለቅቋል
Select company first,መጀመሪያ ኩባንያ ይምረጡ
Application period cannot be across two allocation records,የመመዝገቢያ ጊዜ በሁለት የምደባ መዛግብት ላይ አይለፍም
Rate:,ደረጃ ይስጡ:
Employee {0} has no maximum benefit amount,ተቀጣሪ / ሰራተኛ {0} ከፍተኛው የጥቅል መጠን የለውም
Employee Skills,የሰራተኞች ችሎታ
Student Name: ,የተማሪው ስም:
Sent On,ተልኳል
Sales Invoice,የሽያጭ ደረሰኝ
Response Time can't be greater than Resolution Time,የምላሽ ጊዜ ከየክፍሉ ጊዜ በላይ ሊሆን አይችልም
"For Course based Student Group, the Course will be validated for every Student from the enrolled Courses in Program Enrollment.","ከክፍል የተመሰረተ የተማሪ ቡድን, ኮርሱ ከተመዘገቡ ኮርሶች ውስጥ በመደበኛ ትምህርት ቤት ምዝገባ ለያንዳንዱ ተማሪ ይረጋገጣል."
Intra-State Supplies,በአገር ውስጥ መንግሥት አቅርቦቶች
Create User Permission,የተጠቃሚ ፍቃድ ፍጠር
Please save the report again to rebuild or update,ዳግም ለመገንባት ወይም ለማዘመን እባክዎ ሪፖርቱን እንደገና ያስቀምጡ
Territory,ግዛት
Quarter,ሩብ
Grand Total (Company Currency),አጠቃላይ ጠቅላላ (የኩባንያው የገንዘብ ምንዛሬ)
Prescription Dosage,የመድኃኒት መመዘኛ
Hour Rate,የሰዓት ልክ
Latitude,ኬክሮስ
Expense Date,የወጪ ክፍያ ቀን
Show Payment Details,የክፍያ ዝርዝሮችን አሳይ
Default Payable Account,ነባሪው የሚከፈልበት መለያ
Serial No {0} does not belong to any Warehouse,Serial No {0} ለማከማቻው ውስጥ አይደለም
Group by Party,በፓርቲ ቡድን
Evening,ምሽት
SAL-CAM-.YYYY.-,SAL-CAM-YYYYY.-
Exchange Gain/Loss,የ Exchange Gain / Loss
Make Sales Invoice,የሽያጭ መጠየቂያ ደረሰኝ አድርግ
Create Missing Party,ያመለጡትን ድግስ ይፍጠሩ
For quantity {0} should not be grater than work order quantity {1},ለጨውቁ {0} ከስራ የስራ ቅደም ተከተል ብዛት {1} በላይ መሆን የለባቸውም
Additional Charges,ተጨማሪ ክፍያዎች
Assessment Result Tool,የምዘና ውጤት መሣርያ
Contra Entry,የቁጥጥር መግቢያ
Application Status,የማመልከቻ ሁኔታ
Total Amount in Words,ጠቅላላ ብዛት በቃላት
"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment. ","የሽያጭ ዘመቻዎችን ይከታተሉ. ለኢንቨስትመንት መመለስን ለመገምገም ከምርጫዎች, ከጎብኝዎች, ከሽያጭ ትዕዛዞች ወዘተ."
Missing Currency Exchange Rates for {0},የ {0} የቀረው የገንዘብ ልውውጥ ተመኖች
Pricing Rule Item Group,የዋጋ አያያዝ ንጥል ቡድን
Reading 8,ንባብ 8
From Fiscal Year,ከፋይስቲክ ዓመት
Tally Creditors Account,የጡንቻዎች ክሬዲት ሒሳብ
Print Section,የህትመት ክፍል
This is a root department and cannot be edited.,ይህ የስርዓት ክፍል ነው እና አርትዖት ሊደረግበት አይችልም.
Project Quantity,የፕሮጄክት ብዛት
Standard contract terms for Sales or Purchase.,መደበኛ የሽያጭ ውል ለሽያጭ ወይም ለግዢ.
Customer PO Details,የደንበኛ PO ዝርዝሮች
Patient not found,ታካሚ አልተገኘም
Remove item if charges is not applicable to that item,ክፍያው ለዚያ ንጥል የማይተገበር ከሆነ ንጥሉን ያስወግዱ
A Customer Group exists with same name please change the Customer name or rename the Customer Group,የቡድኑ ቡድን ተመሳሳይ ስም ይኖረዋል እባክህ የደንበኛ ስም ቀይር ወይም የደንበኞችን ቡድን እንደገና ሰይም
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","በሁሉም የሽያጭ ግዢዎች ላይ ሊተገበር የሚችል መደበኛ የግብር አብነት. ይህ አብነት የገቢ ግብር ዝርዝር እና እንደ &quot;መላኪያ&quot;, &quot;ኢንሹራንስ&quot;, &quot;ማስተዳደር&quot; ወዘተ የመሳሰሉ ሌሎች የወጪ / የገቢ ማቅረቢያዎችን መያዝ ይችላል. #### ማስታወሻ እዚህ የተጠቀሰዉ የታክስ ክፍያ መጠን ለሁሉም ** መደበኛ የግብር ተመኖች ይሆናል. ንጥሎች **. የተለየ ዋጋ ያላቸው ** ንጥል ** ካሉ ** በ ** ንጥል ** ዋና ** ውስጥ ባለው ** ንጥል ግብር ** ተመርቶ ውስጥ መጨመር አለባቸው. #### የአምድ መግለጫዎች 1. የሂሳብ ዓይነት: - ይህ በ ** የተጣራ ጠቅላላ ** (ይህም የመሠረታዊ ድምር ዋጋ ነው) ሊኖረው ይችላል. - ** በቀድሮው ተራ ቁጥር / ጠቅላላ መጠን ** (ለተጠራቀሙ ታክሶች ወይም ክፍያዎች). ይህን አማራጭ ከመረጡ, ታክስ ከቀድሞው ረድፍ (በግብር ሠንጠረዥ) መጠን ወይም ጠቅላላ በመቶ ያገለግላል. - ** ትክክለኛ ** (እንደተጠቀሰው). ሒሳብ ኃላፊ: ይህ ታክስ ይመለሳል. 3. የዋጋ ማዕከል: ታክስ / ወጪው እንደ ገቢ (ወጪው እንደ መጓጓዣ) ወይም ወለድ ከሆነ በወጪ ማዕከል በኩል መቅረብ አለበት. 4. መግለጫ-የግብር ዝርዝር (በክፍያ መጠየቂያዎች / ዋጋዎች ውስጥ የታተመ). 5. ደረጃ: የግብር ተመን. 6. መጠን መጠን የግብር መጠን. 7. ድምር: እስከዚህ ነጥብ ድምር. 8. መስመር ማስገባት: በ &quot;ቀዳሚው የረድፍ ጠቅላላ&quot; መሰረት መሰረት ለዚህ ስሌት እንደ መሰረት ይወሰዳል (ነባሪው ቀዳሚው ረድፍ). 9. ይህ ግብር በዋነኛነት ተካቷልን ?: ይህን ካረጋገጡ, ይህ ግብር ከየ እቃው ሰንጠረዥ በታች አይታይም ነገር ግን በዋና ዋናው የሳጥን ሰንጠረዥ ውስጥ ከመሠረታዊ ደረጃ ጋር ተካቷል ማለት ነው. ይህ ዋጋ ለደንበኞች ዋጋን ጨምሮ (ሁሉንም ዓይነት ታክስን ጨምሮ) ዋጋ እንዲሰጥዎት ነው."
To Date must be greater than From Date,ቀኑ ወደ ቀን ከተጠቀሰው ቀን በላይ መሆን አለበት
Parent Customer Group,የወላጅ ደንበኛ ቡድን
Prices will not be shown if Price List is not set,የዋጋ ዝርዝር ካልተዘጋጀ ዋጋዎች አይታዩም
ERPNext Settings,ERPNext ቅንብሮች
Time Sheet for manufacturing.,ለማምረቻ የጊዜ ሰሌዳ.
Student Language,የተማሪ ቋንቋ
Please set the Payment Schedule,እባክዎ የክፍያ ቅደም ተከተል ያስቀምጡ
Name of Organizer,የአንድ አደራጅ ስም
Please set Depreciation related Accounts in Asset Category {0} or Company {1},እባክዎ የአልጋሾች ተዛማጅ የሆኑ መለያዎችን በንብረት ምድብ {0} ወይም በኩባንያ {1} ውስጥ ያስቀምጡ.
Setup cheque dimensions for printing,የፐርሺፕ የቼክሊን መስፈርቶች ለማተም
"If you have any questions, please get back to us.","ማንኛውም ጥያቄ ቢኖርዎት, እባክዎ ወደ እኛ ይመለሱ."
Purchase Receipt {0} is not submitted,የግዢ ደረሰኝ {0} አልገባም
Total Expense Claim (via Expense Claim),የወጪ ደረሰኝ ይገባኛል (በወር ክፍያ)
Quality Goal,ጥራት ግብ
Support Portal,የድጋፍ መግቢያ
End date of task <b>{0}</b> cannot be less than <b>{1}</b> expected start date <b>{2}</b>,የተግባር መጨረሻ <b>{0}</b> ከ <b>{1}</b> የሚጠበቀው የመጀመሪያ ቀን <b>{2}</b> ሊሆን አይችልም
Employee {0} is on Leave on {1},ተቀጣሪ {0} በርቷል {1} ላይ
Held On,ተይዟል
Practitioner Schedules,የልምድ መርሐ ግብሮች
Begin On (Days),ጀምር በ (ቀኖች)
"If enabled, then system will create the material even if the raw materials are available","ከነቃ, ጥሬ እቃዎቹ ቢገኙም ስርዓቱ ምንም እንኳን ፋይዳውን ይፈጥራል"
Work Order has been {0},የስራ ትዕዛዝ {0}
Admission Schedule Date,የምዝገባ የጊዜ ሰሌዳ
Asset Value Adjustment,የንብረት ማስተካከያ
Supplies made to Unregistered Persons,እቃዎች ባልተመዘገቡት ግለሰቦች የተሰጡ አቅርቦቶች
All Jobs,ሁሉም ስራዎች
Appointment Type,የቀጠሮ አይነት
Allow Overtime,የስራ ሰዓት ይፍቀዱ
Available Qty at Warehouse,በሱቅ መጋዘን ውስጥ የሚገኝ
Sales Invoice Item,የሽያጭ መጠየቂያ ደረሰኝ ንጥል
HR,HR
Assessment Terms,የግምገማ ውል
Increment for Attribute {0} cannot be 0,ባህሪ {0} ጨምር 0 መሆን አይችልም
Carry Forward,ተሸንፏል
Dependent Task,ጥገኛ ተግባር
Allowed To Transact With,ለማስተላለፍ የተፈቀደለት
Become a Seller,ሻጭ ሁን
Bank Reconciliation,የባንክ ማስታረቅ
Types of activities for Time Logs,ለጊዜ መዝገቦች የእንቅስቃሴ ዓይነቶች
POS Closing Voucher Invoices,POS መዘጋት ደረሰኝ ካርኒዎች
AB Negative,AB አሉታዊ
Budget Detail,የበጀት ዝርዝር
Normal reference range for an adult is 16–20 breaths/minute (RCP 2012),ለወጣቶች መደበኛ የማጣቀሻ ክልል 16-20 የእንፋሎት / ደቂቃ (RCP 2012)
Sales Orders,የሽያጭ ትዕዛዞች
Create Journal Entry,የጆርናል ምዝገባን ይፍጠሩ
Secured Loans,ዋስትና ያላቸው ብድሮች
To Shareholder,ለባለአክሲዮን
Maintenance Schedule,የጥገና ፕሮግራም
"chapters/chapter_name
leave blank automatically set after saving chapter.",ምዕራፎች / ምዕራፍ_ስም ምዕራፍን ካስቀመጡ በኋላ ባዶ ቦታ ይተዋሉ.
Payment Success Url,የክፍያ ስኬት ዩ አር ኤል
Delivered Amount,የተሰጠው መጠን
Min Amt can not be greater than Max Amt,ትንሹ አምት ከሊክስ አምት በላይ መሆን አይችልም
Salary Structure not found for employee {0} and date {1},የደመወዝ መዋቅር ለሠራተኞቹ {0} እና ቀን {1} አልተገኘም
Invoice Appointments Automatically,ደረሰኝ ቀጠሮዎች በራስ ሰር
Please fill in all the details to generate Assessment Result.,የግምገማ ውጤት ለማመንጨት እባክዎን ሁሉንም ዝርዝሮች ይሙሉ.
Variance ({}),ልዩነት ({})
Patient Name,የታካሚ ስም
Your Organization,የእርስዎ ድርጅት
Fulfilment Details,የመጨረስ ዝርዝሮች
Total Billed Amount (via Sales Invoices),አጠቃላይ የተጠየቀው መጠን (በሽያጭ ደረሰኞች በኩል)
Kg,ኪግ
Appointment cancelled,ቀጠሮ ተሰርዟል
Reminder Message,የአስታዋሽ መልእክት
Balance Loan Amount,የሂሳብ ብድር መጠን
Manage Sales Person Tree.,የሽያጭ ዛፍን ያቀናብሩ.
There are more holidays than working days this month.,በዚህ ወር የስራ ቀናት ውስጥ ተጨማሪ ዕለሎች አሉ.
Default BOM,ነባሪ እሴት
Operating Cost (Company Currency),የትርጉም ወጪ (የኩባንያው የገንዘብ ምንዛሬ)
Item Price,የንጥል ዋጋ
Party Name,የፓርቲ ስም
Please select a customer,እባክዎ ደንበኛ ይምረጡ
Course Intro,የኮርስ መግቢያ
New Program,አዲስ ፕሮግራም
"Number of new Cost Center, it will be included in the cost center name as a prefix","አዲስ የኮርሴል ማዕከል ቁጥር, እንደ የዋህ ቅጥያ ዋጋ ውስጥ ሆኖ ዋጋው ውስጥ ይካተታል"
Select the customer or supplier.,ደንቡን ወይም አቅራቢውን ይምረጡ.
Valid till date cannot be before transaction date,እስከ ቀን ድረስ የሚያገለግልበት ቀን ከክኔ ቀን በፊት መሆን አይችልም
Cannot deactivate or cancel BOM as it is linked with other BOMs,BOM ን ከሌሎች BOMዎች ጋር የተገናኘ እንደመሆኑ መጠን እንዳይንቀሳቀስ ወይም መሰረዝ አይቻልም
Place Of Supply (State/UT),አቅርቦቱ (ግዛት / ዩቲ)
Job Title,የስራ መደቡ መጠሪያ
Fee Component,የክፍያ አካል
C-Form records,የ C-ቅፅ መዝገቦች
Payment Cancelled. Please check your GoCardless Account for more details,ክፍያ ተሰርዟል. ለተጨማሪ ዝርዝሮች እባክዎ የ GoCardless መለያዎን ይመልከቱ
Less than a year,ከአንድ ዓመት ያነሰ
Work Order {0} must be submitted,የስራ ትዕዛዝ {0} ገቢ መሆን አለባቸው
Filter Total Zero Qty,ጠቅላላ ዜሮ መጠነኛ ያዋቅሩ
Applicant for a Job,ለስራ አመልካቾች
No records found in the Invoice table,በ Invoice ሠንጠረዥ ውስጥ ምንም መዛግብት አልተገኙም
Chart of Accounts Importer,የአምራቾች ገበያ አስመጪ
Item or Warehouse for row {0} does not match Material Request,የረድፍ {0} ንጥል ወይም መጋዘን ከቁሳዊ ጥያቄ ጋር አይዛመድም
IGST Amount,IGST ሂሳብ
Delivery Notes {0} updated,የማድረስ መላኪያ ማስታወሻዎች {0} ዘምኗል
Lodging Required,ማረፊያ አስፈላጊ ነው
Total Revenue,ጠቅላላ ገቢ
Student Group Student,የተማሪዎች የተማሪ ቡድን
Buyer of Goods and Services.,የዕቃዎች እና አገልግሎቶች ገዢ.
Vehicle,ተሽከርካሪ
Quantity ({0}) cannot be a fraction in row {1},ብዛት ({0}) በረድፍ ውስጥ {1} ውስጥ መሆን የለበትም
Bonus Amount,የጥሩ መጠን
Amount Difference,የገንዘብ መጠን ልዩነት
Maintenance Tasks,የጥገና ተግባራት
Stop Birthday Reminders,የልደት ቀን ማስታወሻዎችን ያስቁሙ
Payment Account,የክፍያ መለያ
Stock Frozen Upto,አክሲዮኑ አልፏል
Default Material Request Type,ነባሪ የጥቅያ መጠየቂያ አይነት
Clinical Procedure Item,የክሊኒካዊ ሂደት እሴት
Finance Book,የገንዘብ መጽሐፍ
From Datetime,ከዳተኛ ጊዜ
Currency of the price list {0} must be {1} or {2},የዋጋ ዝርዝር {0} ልኬት {1} ወይም {2} መሆን አለበት
Open Orders,ክፍት ትዕዛዞች
Admit,እቀበላለሁ
Total {0} ({1}),ጠቅላላ {0} ({1})
GitHub ID,GitHub መታወቂያ
From Address 1,ከ አድራሻ 1
Total hours: {0},ጠቅላላ ሰዓቶች: {0}
Transfer Date,የማስተላለፍ ቀን
Enter name of campaign if source of enquiry is campaign,መጠይቅ መጠየቂያ ዘመቻ ዘመቻ ከሆነ የዘመቻውን ስም ያስገቡ
This Item is a Template and cannot be used in transactions. Item attributes will be copied over into the variants unless 'No Copy' is set,ይህ ንጥል አብነት ሲሆን በሂደት ውስጥ መጠቀም አይቻልም. «ምንም ቅጂ የለም» እስካልተዋቀረ ድረስ ንጥል ባህሪያት ወደ ተለዋጭዎቹ ይገለበጣሉ
Regular,መደበኛ
Maximum discount for Item {0} is {1}%,ለእያንዳንዱ ነገር {0} ከፍተኛ ቅናሽ {1}% ነው
Not Started,አልተጀመረም
Treatment Task,የሕክምና ተግባር
Row {0}: user has not applied rule <b>{1}</b> on the item <b>{2}</b>,ረድፍ {0}: ወደ ንጥል ላይ ተጠቃሚ ተግባራዊ ሳይሆን ቆይቷል ደንብ <b>{1}</b> <b>{2}</b>
Landed Cost Help,የወቅታዊ ወጪ እገዛ
Scoring Criteria,የውጤት መስፈርት
Matching Invoices,ተመሳሳይ ካርኒዎች
Donor Name,ለጋሽ ስም
Select Property,ንብረትን ይምረጡ
Homepage Section,ሆምፔጅ ክፍል
Grade,ደረጃ
Production Plan Material Request,የምርት ዕቅድ ጥያቄ
Send Email,ኢሜይል ላክ
Retain Sample,ናሙና አቆይ
Row #{0} (Payment Table): Amount must be negative,ረድፍ # {0} (የክፍያ ሰንጠረዥ): መጠኑ አሉታዊ መሆን አለበት
Warehouse wise Item Balance Age and Value,የመጋዘን ጥበባዊ ጥበብ ንጥል ሚዛን ዕድሜ እና እሴት
The gross weight of the package. Usually net weight + packaging material weight. (for print),የጥቅሉ አጠቃላይ ክብደት. በአብዛኛው የተጣራ ክብደት + ጥቅል ክብደት. (ለማተም)
Laboratory Testing Datetime,የላቦራቶሪ ሙከራ ጊዜ
The Item {0} cannot have Batch,እቃው {0} ባች ሊኖረው አይችልም
Sales Pipeline by Stage,የሽያጭ ቧንቧ መስመር በደረጃ
Student Group Strength,የተማሪዎች ቡድን ጥንካሬ
Bank Statement Transaction Entry,የባንክ መግለጫ መግለጫ ግብይት
Get Items from Open Material Requests,ከእቃ ምድቦች ጥያቄዎችን ያግኙ
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** የፊስካል ዓመት ** አንድ የፋይናንስ ዓመት ይወክላል. ሁሉም የሒሳብ ዝርዝሮች እና ሌሎች ዋና ግብይቶች በ ** የፋይናንስ ዓመት ** ይመረመራሉ.
Procedure Name,የአሠራር ስም
Add Sales Partners,የሽያጭ አጋሮችን ያክሉ
Qty Total,ኳታ ጥምር
Outstanding,በጣም ጥሩ
Employee Tax Exemption Proof Submission,የተጣራ ከግብር ነፃ የመሆን ማረጋገጫ ማስረጃ
Requirement,መስፈርቶች
No active or default Salary Structure found for employee {0} for the given dates,ለተጠቀሱት ቀኖች ምንም ሰራተኛ ወይም መደበኛ የደመወዝ ሠነድ አልተገኘም {0}
Quantity should be greater than 0,መጠኑ ከ 0 በላይ መሆን አለበት
Supplier Quotation Item,የአቅራቢ ጠቅላላ ዋጋ
Appraisal Template,የገበያ ማቅረቢያ ቅጽ
Hub Category to Publish,Hub ምድብ ወደ ህትመት
Current Openings,ወቅታዊ ክፍት
Customer Database.,የደንበኛ ውሂብ ጎታ.
As On Date,እንደ ቀን
Delivery Note {0} is not submitted,የማድረስ የማሳወቂያ ማስታወሻ {0} አልገባም
Appraisal Template Goal,የገበያ ንድፍ ዓላማ ግብ
Closing (Cr),መዝጋት (ክ)
Restaurant Reservation,የምግብ ቤት ቦታ ማስያዣ
Last Order Amount,የመጨረሻው የትዕዛዝ መጠን
Learn,ይማሩ
Multiple default mode of payment is not allowed,ብዙ ነባሪ የክፍያ ስልት አይፈቀድም
This will be day 1 of the crop cycle,ይህ የሰብል ኡደት 1 ቀን ይሆናል
{0} {1} is not associated with {2} {3},{0} {1} ከ {2} {3} ጋር አልተያያዘም
Expense or Difference account is mandatory for Item {0} as it impacts overall stock value,የወጪ ወይም ልዩነት ንጥል የአጠቃላይ እሴት መጠን ላይ ተጽዕኖ ስለሚያሳድር የንጥል {0} ግዴታ ነው
Price List Exchange Rate,የዋጋ ዝርዝር ልውጥ ተመን
Amount (Company Currency),መጠን (ኩባንያ የገንዘብ ምንዛሬ)
Driver,ነጂ
CGST Account,የ CGST መለያ
Disbursement Date,የክፍያ ቀን
New task,አዲስ ተግባር
Customer Feedback Table,የደንበኞች አስተያየት ሰንጠረዥ
{0} - {1} is not enrolled in the Course {2},{0} - {1} በኮርሱ {2} ውስጥ አልተመዘገበም
Difference Amount,ልዩነት መጠን
Cheques and Deposits incorrectly cleared,ቼኮች እና ተቀማጭዎች በተሳሳተ መንገድ ይጸዳሉ
